,IT
2000-08-29,1091782687
2000-08-30,1070685437
2000-08-31,1128702875
2000-09-01,1123428562
2000-09-05,1149800125
2000-09-06,1123428562
2000-09-07,1118154250
2000-09-08,1112879937
2000-09-11,1144525812
2000-09-12,1107605625
2000-09-13,1123428562
2000-09-14,1181446000
2000-09-15,1170897375
2000-09-18,1181446000
2000-09-19,1155074437
2000-09-20,1075959750
2000-09-21,1070685437
2000-09-22,1081234062
2000-09-25,1102331312
2000-09-26,1060136812
2000-09-27,1070685437
2000-09-28,1017942312
2000-09-29,981022125
2000-10-02,1027198000
2000-10-03,1059466000
2000-10-04,1037954000
2000-10-05,1032576000
2000-10-06,984174000
2000-10-09,989552000
2000-10-10,941150000
2000-10-11,941150000
2000-10-12,935772000
2000-10-13,978796000
2000-10-16,968040000
2000-10-17,903504000
2000-10-18,876614000
2000-10-19,881992000
2000-10-20,876614000
2000-10-23,855102000
2000-10-24,774432000
2000-10-25,736786000
2000-10-26,758298000
2000-10-27,844346000
2000-10-30,865858000
2000-10-31,817456000
2000-11-01,855102000
2000-11-02,914260000
2000-11-03,898126000
2000-11-06,919638000
2000-11-07,935772000
2000-11-08,925016000
2000-11-09,903504000
2000-11-10,871236000
2000-11-13,849724000
2000-11-14,860480000
2000-11-15,855102000
2000-11-16,871236000
2000-11-17,849724000
2000-11-20,838968000
2000-11-21,838968000
2000-11-22,801322000
2000-11-24,801322000
2000-11-27,828212000
2000-11-28,795944000
2000-11-29,763676000
2000-11-30,731408000
2000-12-01,747542000
2000-12-04,730063500
2000-12-05,739475000
2000-12-06,684350500
2000-12-07,645360000
2000-12-08,731408000
2000-12-11,684350500
2000-12-12,653427000
2000-12-13,615781000
2000-12-14,594269000
2000-12-15,602336000
2000-12-18,580824000
2000-12-19,580824000
2000-12-20,560656500
2000-12-21,560656500
2000-12-22,559312000
2000-12-26,513599000
2000-12-27,572757000
2000-12-28,579479500
2000-12-29,594269000
2001-01-02,576105093
2001-01-03,647780140
2001-01-04,642370703
2001-01-05,647780140
2001-01-08,619380593
2001-01-09,631551828
2001-01-10,647780140
2001-01-11,653189578
2001-01-12,678884406
2001-01-16,696465078
2001-01-17,688350921
2001-01-18,691055640
2001-01-19,689703281
2001-01-22,688350921
2001-01-23,727569343
2001-01-24,712693390
2001-01-25,684293843
2001-01-26,692408000
2001-01-29,724431869
2001-01-30,729624930
2001-01-31,701063100
2001-02-01,722700850
2001-02-02,691542490
2001-02-05,679425350
2001-02-06,688945960
2001-02-07,734817990
2001-02-08,707987180
2001-02-09,707987180
2001-02-12,722700850
2001-02-13,696735550
2001-02-14,709718199
2001-02-15,710583710
2001-02-16,688080450
2001-02-20,668173720
2001-02-21,718373300
2001-02-22,724431869
2001-02-23,760783289
2001-02-26,791941650
2001-02-27,774631449
2001-02-28,735683500
2001-03-01,692408000
2001-03-02,687214940
2001-03-05,681156370
2001-03-06,689811470
2001-03-07,684618410
2001-03-08,671635760
2001-03-09,649132500
2001-03-12,605857000
2001-03-13,614512100
2001-03-14,592874350
2001-03-15,597201900
2001-03-16,562581500
2001-03-19,572967620
2001-03-20,567774560
2001-03-21,571236600
2001-03-22,575564150
2001-03-23,611915570
2001-03-26,598067410
2001-03-27,579891700
2001-03-28,570371090
2001-03-29,566909050
2001-03-30,583353740
2001-04-02,578484700
2001-04-03,554309220
2001-04-04,530133740
2001-04-05,516319180
2001-04-06,518046000
2001-04-09,557762860
2001-04-10,530997150
2001-04-11,550855580
2001-04-12,539631250
2001-04-16,556899450
2001-04-17,617338150
2001-04-18,650147730
2001-04-19,684684130
2001-04-20,669142750
2001-04-23,682093900
2001-04-24,682093900
2001-04-25,688137770
2001-04-26,687274360
2001-04-27,697635280
2001-04-30,690728000
2001-05-01,714903480
2001-05-02,716630300
2001-05-03,699362100
2001-05-04,707996199
2001-05-07,684684130
2001-05-08,687274360
2001-05-09,691591410
2001-05-10,690728000
2001-05-11,693318230
2001-05-14,717493710
2001-05-15,714903480
2001-05-16,733035090
2001-05-17,733898500
2001-05-18,733898500
2001-05-21,764981260
2001-05-22,785703100
2001-05-23,786566510
2001-05-24,774478770
2001-05-25,761527620
2001-05-29,777069000
2001-05-30,759800800
2001-05-31,785703100
2001-06-01,790883560
2001-06-04,795200610
2001-06-05,850458850
2001-06-06,841824750
2001-06-07,854775900
2001-06-08,866863639
2001-06-11,841824750
2001-06-12,897946400
2001-06-13,876361150
2001-06-14,828873600
2001-06-15,826283370
2001-06-18,773615360
2001-06-19,782249460
2001-06-20,837507699
2001-06-21,833190650
2001-06-22,820239500
2001-06-25,712313250
2001-06-26,768434900
2001-06-27,819376090
2001-06-28,824556550
2001-06-29,949751000
2001-07-02,843024150
2001-07-03,838830000
2001-07-05,855606600
2001-07-06,838830000
2001-07-09,851412450
2001-07-10,803599140
2001-07-11,759141150
2001-07-12,796888500
2001-07-13,795210840
2001-07-16,791855520
2001-07-17,813665100
2001-07-18,788500200
2001-07-19,921035340
2001-07-20,926907150
2001-07-23,897548100
2001-07-24,880771500
2001-07-25,875738520
2001-07-26,872383200
2001-07-27,872383200
2001-07-30,910130550
2001-07-31,931101300
2001-08-01,903419910
2001-08-02,878255010
2001-08-03,889159800
2001-08-06,863994900
2001-08-07,863994900
2001-08-08,832958190
2001-08-09,825408720
2001-08-10,822053400
2001-08-13,853928940
2001-08-14,839668830
2001-08-15,827925209
2001-08-16,827086380
2001-08-17,813665100
2001-08-20,822892230
2001-08-21,805276800
2001-08-22,817859250
2001-08-23,780111900
2001-08-24,832119360
2001-08-27,809470950
2001-08-28,826247550
2001-08-29,835474680
2001-08-30,809470950
2001-08-31,834635850
2001-09-04,844701810
2001-09-05,851412450
2001-09-06,801082650
2001-09-07,771723600
2001-09-10,830441700
2001-09-17,780111900
2001-09-18,785144880
2001-09-19,813665100
2001-09-20,780950730
2001-09-21,805276800
2001-09-24,791855520
2001-09-25,750752850
2001-09-26,713005500
2001-09-27,772562430
2001-09-28,759141150
2001-10-01,713005500
2001-10-02,746558700
2001-10-03,754947000
2001-10-04,746558700
2001-10-05,750752850
2001-10-08,738170400
2001-10-09,733976250
2001-10-10,754947000
2001-10-11,754947000
2001-10-12,759141150
2001-10-15,781789560
2001-10-16,788500200
2001-10-17,721393800
2001-10-18,757463490
2001-10-19,754947000
2001-10-22,770045940
2001-10-23,781789560
2001-10-24,756624660
2001-10-25,807793290
2001-10-26,793533180
2001-10-29,754947000
2001-10-30,758302319
2001-10-31,762496470
2001-11-01,825408720
2001-11-02,822053400
2001-11-05,830441700
2001-11-06,773401260
2001-11-07,761657640
2001-11-08,780111900
2001-11-09,754947000
2001-11-12,788500200
2001-11-13,746558700
2001-11-14,780111900
2001-11-15,733976250
2001-11-16,759141150
2001-11-19,788500200
2001-11-20,754947000
2001-11-21,753269340
2001-11-23,767529450
2001-11-26,763335300
2001-11-27,770045940
2001-11-28,763335300
2001-11-29,832958190
2001-11-30,834635850
2001-12-03,839668830
2001-12-04,879093840
2001-12-05,964654500
2001-12-06,926907150
2001-12-07,954588540
2001-12-10,922713000
2001-12-11,936973110
2001-12-12,938650770
2001-12-13,939489600
2001-12-14,929423640
2001-12-17,931101300
2001-12-18,979753440
2001-12-19,924390660
2001-12-20,931101300
2001-12-21,922713000
2001-12-24,964654500
2001-12-26,946200240
2001-12-27,962976840
2001-12-28,964654500
2001-12-31,989125970
2002-01-02,977280150
2002-01-03,985741450
2002-01-04,998433400
2002-01-07,960357550
2002-01-08,1007740830
2002-01-09,973049500
2002-01-10,1023817300
2002-01-11,1028047950
2002-01-14,1040739900
2002-01-15,1013663740
2002-01-16,987433710
2002-01-17,1006894700
2002-01-18,934973650
2002-01-22,960357550
2002-01-23,994202750
2002-01-24,978126280
2002-01-25,967972720
2002-01-28,978972410
2002-01-29,1005202440
2002-01-30,995048880
2002-01-31,990818230
2002-02-01,1015356000
2002-02-04,981510800
2002-02-05,985741450
2002-02-06,994202750
2002-02-07,951896250
2002-02-08,947665599
2002-02-11,968818849
2002-02-12,951896250
2002-02-13,956126900
2002-02-14,947665599
2002-02-15,940896559
2002-02-19,933281390
2002-02-20,970511110
2002-02-21,930743000
2002-02-22,973049500
2002-02-25,981510800
2002-02-26,991664360
2002-02-27,1015356000
2002-02-28,999279530
2002-03-01,1002664050
2002-03-04,1036509250
2002-03-05,1053431849
2002-03-06,1057662500
2002-03-07,1078815750
2002-03-08,1104199650
2002-03-11,1106738040
2002-03-12,1106738040
2002-03-13,1100815130
2002-03-14,1099969000
2002-03-15,1095738350
2002-03-18,1094046090
2002-03-19,1108430300
2002-03-20,1123660640
2002-03-21,1140583240
2002-03-22,1127891290
2002-03-25,1098276740
2002-03-26,1097430610
2002-03-27,1061047019
2002-03-28,1091507700
2002-04-01,1088347000
2002-04-02,1033929650
2002-04-03,1034766840
2002-04-04,1063231300
2002-04-05,1095044520
2002-04-08,1088347000
2002-04-09,1093370140
2002-04-10,1113462700
2002-04-11,1109276750
2002-04-12,1126020550
2002-04-15,1113462700
2002-04-16,1105090800
2002-04-17,1098393280
2002-04-18,1088347000
2002-04-19,1117648650
2002-04-22,1091695760
2002-04-23,1091695760
2002-04-24,1004628000
2002-04-25,1059045350
2002-04-26,971140400
2002-04-29,950210650
2002-04-30,979512300
2002-05-01,986209820
2002-05-02,979512300
2002-05-03,975326350
2002-05-06,962768500
2002-05-07,962768500
2002-05-08,983698250
2002-05-09,956070980
2002-05-10,958582550
2002-05-13,962768500
2002-05-14,996256100
2002-05-15,1001279240
2002-05-16,971140400
2002-05-17,977837920
2002-05-20,964442880
2002-05-21,954396600
2002-05-22,962768500
2002-05-23,986209820
2002-05-24,971140400
2002-05-28,969466020
2002-05-29,968628830
2002-05-30,976163540
2002-05-31,959419740
2002-06-03,919234620
2002-06-04,933466850
2002-06-05,922583380
2002-06-06,887421400
2002-06-07,946024700
2002-06-10,912537100
2002-06-11,879049500
2002-06-12,896630490
2002-06-13,870677600
2002-06-14,899142060
2002-06-17,899979250
2002-06-18,865654460
2002-06-19,853096610
2002-06-20,845561900
2002-06-21,850585040
2002-06-24,835515620
2002-06-25,822120580
2002-06-26,829655290
2002-06-27,834678430
2002-06-28,845561900
2002-07-01,786786240
2002-07-02,788428800
2002-07-03,763790400
2002-07-05,789250080
2002-07-08,776109600
2002-07-09,776109600
2002-07-10,763790400
2002-07-11,753113760
2002-07-12,729296640
2002-07-15,698088000
2002-07-16,698909280
2002-07-17,792535200
2002-07-18,698088000
2002-07-19,689875200
2002-07-22,697266720
2002-07-23,656202720
2002-07-24,677556000
2002-07-25,685768800
2002-07-26,673449600
2002-07-29,709585920
2002-07-30,710407200
2002-07-31,636492000
2002-08-01,685768800
2002-08-02,673449600
2002-08-05,655381440
2002-08-06,721905119
2002-08-07,720262560
2002-08-08,722726400
2002-08-09,720262560
2002-08-12,712049760
2002-08-13,670164480
2002-08-14,730939200
2002-08-15,764611680
2002-08-16,738330720
2002-08-19,780216000
2002-08-20,762969119
2002-08-21,795820320
2002-08-22,781858560
2002-08-23,743258400
2002-08-26,806496960
2002-08-27,737509440
2002-08-28,743258400
2002-08-29,778573440
2002-08-30,772824480
2002-09-03,739152000
2002-09-04,791713920
2002-09-05,749828640
2002-09-06,766254240
2002-09-09,772003200
2002-09-10,788428800
2002-09-11,775288320
2002-09-12,768718080
2002-09-13,779394720
2002-09-16,763790400
2002-09-17,739152000
2002-09-18,737509440
2002-09-19,699730560
2002-09-20,713692320
2002-09-23,692339040
2002-09-24,664415520
2002-09-25,666058080
2002-09-26,648811200
2002-09-27,657024000
2002-09-30,659169900
2002-10-01,651032000
2002-10-02,629059670
2002-10-03,621735560
2002-10-04,549308250
2002-10-07,497225690
2002-10-08,512687700
2002-10-09,507804960
2002-10-10,540356560
2002-10-11,550122040
2002-10-14,567211630
2002-10-15,592439120
2002-10-16,584301220
2002-10-17,655914740
2002-10-18,614411450
2002-10-21,643707890
2002-10-22,616852820
2002-10-23,657542320
2002-10-24,638825150
2002-10-25,680328440
2002-10-28,635569990
2002-10-29,651032000
2002-10-30,646963050
2002-10-31,651032000
2002-11-01,719390360
2002-11-04,712066250
2002-11-05,716135200
2002-11-06,720204150
2002-11-07,706369720
2002-11-08,690907710
2002-11-11,651845790
2002-11-12,663238850
2002-11-13,678700860
2002-11-14,713693830
2002-11-15,707183510
2002-11-18,694976659
2002-11-19,676259490
2002-11-20,724273100
2002-11-21,738107530
2002-11-22,736479950
2002-11-25,726714470
2002-11-26,716135200
2002-11-27,791003880
2002-11-29,795072830
2002-12-02,789376300
2002-12-03,789376300
2002-12-04,818672740
2002-12-05,850410550
2002-12-06,855293290
2002-12-09,784493560
2002-12-10,804024520
2002-12-11,792631460
2002-12-12,764962600
2002-12-13,736479950
2002-12-16,790190090
2002-12-17,765776390
2002-12-18,769031550
2002-12-19,767403970
2002-12-20,773100500
2002-12-23,761707440
2002-12-24,757638490
2002-12-26,740548900
2002-12-27,732411000
2002-12-30,741362690
2002-12-31,748686800
2003-01-02,756624800
2003-01-03,752600200
2003-01-06,755014960
2003-01-07,748575600
2003-01-08,740526400
2003-01-09,767088760
2003-01-10,759844480
2003-01-13,748575600
2003-01-14,757429720
2003-01-15,753405120
2003-01-16,750990360
2003-01-17,750185440
2003-01-21,722818160
2003-01-22,712354200
2003-01-23,715573880
2003-01-24,689816440
2003-01-27,680157400
2003-01-28,692231200
2003-01-29,695450880
2003-01-30,680962320
2003-01-31,698670560
2003-02-03,684986920
2003-02-04,669693440
2003-02-05,658424560
2003-02-06,647155679
2003-02-07,625422840
2003-02-10,603690000
2003-02-11,611739200
2003-02-12,603690000
2003-02-13,602080160
2003-02-14,602080160
2003-02-18,600470320
2003-02-19,598860480
2003-02-20,603690000
2003-02-21,610934280
2003-02-24,596445720
2003-02-25,603690000
2003-02-26,595640800
2003-02-27,595640800
2003-02-28,589201440
2003-03-03,595640800
2003-03-04,582762080
2003-03-05,591616200
2003-03-06,585981760
2003-03-07,576322720
2003-03-10,552175120
2003-03-11,555394800
2003-03-12,559419400
2003-03-13,565858760
2003-03-14,569078440
2003-03-17,578737480
2003-03-18,575517800
2003-03-19,578737480
2003-03-20,569078440
2003-03-21,593226040
2003-03-24,573907960
2003-03-25,582762080
2003-03-26,572298120
2003-03-27,585176840
2003-03-28,581152240
2003-03-31,550676300
2003-04-01,571277140
2003-04-02,586331600
2003-04-03,579992880
2003-04-04,573654160
2003-04-07,576031180
2003-04-08,578408200
2003-04-09,566523100
2003-04-10,572861820
2003-04-11,573654160
2003-04-14,597424360
2003-04-15,606140100
2003-04-16,596632020
2003-04-17,610894140
2003-04-21,618025200
2003-04-22,620402220
2003-04-23,633872000
2003-04-24,630702640
2003-04-25,608517120
2003-04-28,635456680
2003-04-29,629910300
2003-04-30,629117960
2003-05-01,621986900
2003-05-02,630702640
2003-05-05,610101800
2003-05-06,593462660
2003-05-07,586331600
2003-05-08,562561400
2003-05-09,591085640
2003-05-12,586331600
2003-05-13,594255000
2003-05-14,603763080
2003-05-15,614063500
2003-05-16,574446500
2003-05-19,549091620
2003-05-20,568107780
2003-05-21,579200540
2003-05-22,572861820
2003-05-23,563353740
2003-05-27,562561400
2003-05-28,583954580
2003-05-29,575238840
2003-05-30,589500960
2003-06-02,591877980
2003-06-03,599009040
2003-06-04,612478820
2003-06-05,614855840
2003-06-06,624363920
2003-06-09,610894140
2003-06-10,629910300
2003-06-11,629117960
2003-06-12,633872000
2003-06-13,629117960
2003-06-16,648134120
2003-06-17,647341780
2003-06-18,637833700
2003-06-19,633872000
2003-06-20,625948600
2003-06-23,606140100
2003-06-24,606932440
2003-06-25,606932440
2003-06-26,620402220
2003-06-27,606140100
2003-06-30,591437080
2003-07-01,624988260
2003-07-02,623427740
2003-07-03,621086960
2003-07-07,632790860
2003-07-08,643714500
2003-07-09,634351380
2003-07-10,624208000
2003-07-11,633571119
2003-07-14,651517100
2003-07-15,651517100
2003-07-16,672584119
2003-07-17,622647480
2003-07-18,650736840
2003-07-21,635131640
2003-07-22,649176320
2003-07-23,653077619
2003-07-24,632790860
2003-07-25,649956580
2003-07-28,667122300
2003-07-29,664781520
2003-07-30,667122300
2003-07-31,685848539
2003-08-01,769336360
2003-08-04,768556100
2003-08-05,756071940
2003-08-06,762314020
2003-08-07,763874539
2003-08-08,767775840
2003-08-11,751390380
2003-08-12,777919220
2003-08-13,778699480
2003-08-14,795865200
2003-08-15,782600780
2003-08-18,820833520
2003-08-19,819273000
2003-08-20,806788840
2003-08-21,802887539
2003-08-22,795865200
2003-08-25,800546760
2003-08-26,806008580
2003-08-27,818492740
2003-08-28,820053260
2003-08-29,817712480
2003-09-02,846582100
2003-09-03,881693800
2003-09-04,892617440
2003-09-05,893397700
2003-09-08,905881860
2003-09-09,891056920
2003-09-10,881693800
2003-09-11,890276660
2003-09-12,881693800
2003-09-15,878572760
2003-09-16,887155619
2003-09-17,886375360
2003-09-18,897299000
2003-09-19,965961880
2003-09-22,951136940
2003-09-23,952697460
2003-09-24,920706800
2003-09-25,869989900
2003-09-26,916805500
2003-09-29,894177960
2003-09-30,859846520
2003-10-01,902760820
2003-10-02,891056920
2003-10-03,905101600
2003-10-06,909002900
2003-10-07,909002900
2003-10-08,902760820
2003-10-09,905101600
2003-10-10,969082920
2003-10-13,976885520
2003-10-14,987028900
2003-10-15,968302660
2003-10-16,963621100
2003-10-17,969082920
2003-10-20,973764480
2003-10-21,974544740
2003-10-22,944114600
2003-10-23,951917200
2003-10-24,932410700
2003-10-27,955818500
2003-10-28,998732800
2003-10-29,1004974880
2003-10-30,1014338000
2003-10-31,994831500
2003-11-03,1022140600
2003-11-04,1049449700
2003-11-05,1043987880
2003-11-06,1054911520
2003-11-07,1049449700
2003-11-10,1011997220
2003-11-11,994831500
2003-11-12,1017459039
2003-11-13,1004194619
2003-11-14,1007315660
2003-11-17,997172280
2003-11-18,970643440
2003-11-19,999513060
2003-11-20,984688119
2003-11-21,1004194619
2003-11-24,1004194619
2003-11-25,1011997220
2003-11-26,1018239300
2003-11-28,1008095920
2003-12-01,1016678780
2003-12-02,1025261640
2003-12-03,1022140600
2003-12-04,1006535400
2003-12-05,997172280
2003-12-08,975325000
2003-12-09,935531740
2003-12-10,936312000
2003-12-11,941773820
2003-12-12,933971220
2003-12-15,884814840
2003-12-16,879353020
2003-12-17,884034580
2003-12-18,885595100
2003-12-19,896518740
2003-12-22,895738480
2003-12-23,892617440
2003-12-24,889496400
2003-12-26,890276660
2003-12-29,901980560
2003-12-30,887155619
2003-12-31,1473817410
2004-01-02,1492060950
2004-01-05,1488151620
2004-01-06,1465998750
2004-01-07,1485545400
2004-01-08,1485545400
2004-01-09,1455573870
2004-01-12,1479029850
2004-01-13,1464695640
2004-01-14,1485545400
2004-01-15,1485545400
2004-01-16,1499879610
2004-01-20,1544185350
2004-01-21,1541579130
2004-01-22,1531154250
2004-01-23,1535063580
2004-01-26,1537669800
2004-01-27,1502485830
2004-01-28,1459483200
2004-01-29,1465998750
2004-01-30,1481636070
2004-02-02,1463392530
2004-02-03,1490757840
2004-02-04,1452967650
2004-02-05,1446452100
2004-02-06,1528548030
2004-02-09,1485545400
2004-02-10,1533760470
2004-02-11,1544185350
2004-02-12,1528548030
2004-02-13,1512910710
2004-02-17,1537669800
2004-02-18,1537669800
2004-02-19,1514213820
2004-02-20,1506395160
2004-02-23,1452967650
2004-02-24,1442542770
2004-02-25,1479029850
2004-02-26,1473817410
2004-02-27,1472514300
2004-03-01,1492060950
2004-03-02,1465998750
2004-03-03,1477726740
2004-03-04,1502485830
2004-03-05,1493364060
2004-03-08,1498576500
2004-03-09,1493364060
2004-03-10,1458180090
2004-03-11,1433421000
2004-03-12,1489454730
2004-03-15,1471211190
2004-03-16,1472514300
2004-03-17,1482939180
2004-03-18,1475120520
2004-03-19,1465998750
2004-03-22,1456876980
2004-03-23,1469908080
2004-03-24,1481636070
2004-03-25,1505092050
2004-03-26,1495970280
2004-03-29,1524638700
2004-03-30,1498576500
2004-03-31,1539302850
2004-04-01,1627829280
2004-04-02,1674074430
2004-04-05,1697857650
2004-04-06,1679359590
2004-04-07,1704464100
2004-04-08,1666146690
2004-04-12,1707106680
2004-04-13,1651612500
2004-04-14,1664825400
2004-04-15,1635757020
2004-04-16,1629150570
2004-04-19,1650291210
2004-04-20,1592154450
2004-04-21,1648969920
2004-04-22,1687287330
2004-04-23,1651612500
2004-04-26,1614616380
2004-04-27,1684644750
2004-04-28,1623865410
2004-04-29,1585548000
2004-04-30,1577620260
2004-05-03,1627829280
2004-05-04,1648969920
2004-05-05,1613295090
2004-05-06,1606688640
2004-05-07,1585548000
2004-05-10,1568371230
2004-05-11,1576298970
2004-05-12,1568371230
2004-05-13,1590833160
2004-05-14,1569692520
2004-05-17,1580262840
2004-05-18,1585548000
2004-05-19,1578941550
2004-05-20,1604046060
2004-05-21,1600082190
2004-05-24,1604046060
2004-05-25,1638399600
2004-05-26,1618580250
2004-05-27,1631793150
2004-05-28,1618580250
2004-06-01,1645006050
2004-06-02,1645006050
2004-06-03,1585548000
2004-06-04,1604046060
2004-06-07,1650291210
2004-06-08,1621222830
2004-06-09,1602724770
2004-06-10,1625186700
2004-06-14,1545909300
2004-06-15,1584226710
2004-06-16,1564407360
2004-06-17,1610652510
2004-06-18,1722962160
2004-06-21,1720319580
2004-06-22,1737496350
2004-06-23,1729568610
2004-06-24,1725604740
2004-06-25,1767886020
2004-06-28,1733532480
2004-06-29,1741460220
2004-06-30,1609759740
2004-07-01,1601236050
2004-07-02,1603671390
2004-07-06,1586624010
2004-07-07,1591494690
2004-07-08,1556182260
2004-07-09,1570794300
2004-07-12,1559835270
2004-07-13,1564705950
2004-07-14,1552529250
2004-07-15,1556182260
2004-07-16,1540352550
2004-07-19,1546440900
2004-07-20,1575664980
2004-07-21,1534264200
2004-07-22,1533046530
2004-07-23,1541570220
2004-07-26,1522087500
2004-07-27,1522087500
2004-07-28,1503822450
2004-07-29,1503822450
2004-07-30,1528175850
2004-08-02,1534264200
2004-08-03,1494081090
2004-08-04,1517216820
2004-08-05,1515999150
2004-08-06,1479469050
2004-08-09,1452680310
2004-08-10,1480686720
2004-08-11,1459986330
2004-08-12,1450244970
2004-08-13,1463639340
2004-08-16,1474598370
2004-08-17,1470945360
2004-08-18,1475816040
2004-08-19,1469727690
2004-08-20,1496516430
2004-08-23,1480686720
2004-08-24,1475816040
2004-08-25,1485557400
2004-08-26,1480686720
2004-08-27,1472163030
2004-08-30,1467292350
2004-08-31,1455115650
2004-09-01,1457550990
2004-09-02,1452680310
2004-09-03,1434415260
2004-09-07,1446591960
2004-09-08,1422238560
2004-09-09,1436850600
2004-09-10,1442938950
2004-09-13,1446591960
2004-09-14,1440503610
2004-09-15,1425891570
2004-09-16,1452680310
2004-09-17,1435632930
2004-09-20,1417367880
2004-09-21,1449027300
2004-09-22,1418585550
2004-09-23,1422238560
2004-09-24,1414932540
2004-09-27,1369878750
2004-09-28,1397885160
2004-09-29,1418585550
2004-09-30,1289173200
2004-10-01,1315640400
2004-10-04,1333285200
2004-10-05,1334388000
2004-10-06,1337696400
2004-10-07,1334388000
2004-10-08,1334388000
2004-10-11,1335490800
2004-10-12,1331079600
2004-10-13,1320051600
2004-10-14,1312332000
2004-10-15,1328874000
2004-10-18,1332182400
2004-10-19,1323360000
2004-10-20,1334388000
2004-10-21,1345416000
2004-10-22,1325565600
2004-10-25,1345416000
2004-10-26,1336593600
2004-10-27,1336593600
2004-10-28,1324462800
2004-10-29,1312332000
2004-11-01,1290276000
2004-11-02,1289173200
2004-11-03,1288070400
2004-11-04,1289173200
2004-11-05,1301304000
2004-11-08,1269322800
2004-11-09,1292481600
2004-11-10,1306818000
2004-11-11,1312332000
2004-11-12,1310126400
2004-11-15,1304612400
2004-11-16,1295790000
2004-11-17,1297995600
2004-11-18,1260500400
