,PKG
2003-09-08,2128824230
2003-09-09,2149684830
2003-09-10,2130910290
2003-09-11,2105877570
2003-09-12,2089189090
2003-09-15,2091275150
2003-09-16,2106920600
2003-09-17,2140297560
2003-09-18,2134039380
2003-09-19,2124652110
2003-09-22,2083973940
2003-09-23,2086060000
2003-09-24,2071457580
2003-09-25,2023478199
2003-09-26,2007832750
2003-09-29,2045381830
2003-09-30,2043236460
2003-10-01,2086373789
2003-10-02,2089530180
2003-10-03,2089530180
2003-10-06,2103207869
2003-10-07,2102155740
2003-10-08,2102155740
2003-10-09,2125302600
2003-10-10,2133719640
2003-10-13,2143188810
2003-10-14,2095842960
2003-10-15,2167387800
2003-10-16,2138980289
2003-10-17,2101103609
2003-10-20,2075852490
2003-10-21,2049549240
2003-10-22,2009568300
2003-10-23,2009568300
2003-10-24,2020089600
2003-10-27,1999047000
2003-10-28,2015881080
2003-10-29,2025350250
2003-10-30,2073748230
2003-10-31,2072696100
2003-11-03,2073748230
2003-11-04,2084269529
2003-11-05,2050601369
2003-11-06,2081113140
2003-11-07,2098999350
2003-11-10,2037975810
2003-11-11,2048497109
2003-11-12,2079008880
2003-11-13,2093738699
2003-11-14,2105312130
2003-11-17,2091634440
2003-11-18,2063226930
2003-11-19,2045340720
2003-11-20,2036923680
2003-11-21,2042184330
2003-11-24,2081113140
2003-11-25,2080061010
2003-11-26,2069539710
2003-11-28,2073748230
2003-12-01,2110572779
2003-12-02,2100051480
2003-12-03,2209473000
2003-12-04,2227359210
2003-12-05,2210525130
2003-12-08,2234724120
2003-12-09,2257870980
2003-12-10,2256818850
2003-12-11,2235776250
2003-12-12,2241036900
2003-12-15,2235776250
2003-12-16,2239984770
2003-12-17,2245245420
2003-12-18,2262079500
2003-12-19,2250506070
2003-12-22,2249453940
2003-12-23,2246297550
2003-12-24,2246297550
2003-12-26,2244193290
2003-12-29,2254714590
2003-12-30,2262079500
2003-12-31,2313771700
2004-01-02,2297894950
2004-01-05,2330706900
2004-01-06,2313771700
2004-01-07,2360343500
2004-01-08,2392097000
2004-01-09,2369869550
2004-01-12,2353992800
2004-01-13,2382570950
2004-01-14,2395272350
2004-01-15,2386804750
2004-01-16,2398447700
2004-01-20,2432318100
2004-01-21,2413266000
2004-01-22,2349759000
2004-01-23,2288368900
2004-01-26,2323297750
2004-01-27,2318005500
2004-01-28,2262966100
2004-01-29,2254498500
2004-01-30,2290485800
2004-02-02,2291544250
2004-02-03,2284135100
2004-02-04,2238621750
2004-02-05,2274609050
2004-02-06,2353992800
2004-02-09,2337057600
2004-02-10,2361401950
2004-02-11,2367752650
2004-02-12,2327531550
2004-02-13,2341291400
2004-02-17,2374103350
2004-02-18,2366694200
2004-02-19,2406915300
2004-02-20,2446077950
2004-02-23,2420675150
2004-02-24,2418558250
2004-02-25,2455604000
2004-02-26,2475714550
2004-02-27,2493708200
2004-03-01,2528637050
2004-03-02,2487357500
2004-03-03,2451370200
2004-03-04,2447136400
2004-03-05,2450311750
2004-03-08,2425967400
