,C
2002-01-22,241317810000
2002-01-23,242789634000
2002-01-24,244752066000
2002-01-25,243382452000
2002-01-28,241859523000
2002-01-29,229108825500
2002-01-30,232982584500
2002-01-31,232491976500
2002-02-01,228025399500
2002-02-04,217288239000
2002-02-05,219736168500
2002-02-06,215816415000
2002-02-07,216501222000
2002-02-08,223124430000
2002-02-11,224790453000
2002-02-12,221453296500
2002-02-13,222434512500
2002-02-14,223415728500
2002-02-15,216450117000
2002-02-19,207082570500
2002-02-20,213460474500
2002-02-21,209929119000
2002-02-22,207966687000
2002-02-25,214784094000
2002-02-26,214835199000
2002-02-27,216991830000
2002-02-28,221943904500
2002-03-01,224642248500
2002-03-04,233519187000
2002-03-05,233963800500
2002-03-06,238869880500
2002-03-07,238966980000
2002-03-08,239702892000
2002-03-11,239845986000
2002-03-12,241956622500
2002-03-13,237346951500
2002-03-14,239406483000
2002-03-15,243724855500
2002-03-18,243034938000
2002-03-19,244752066000
2002-03-20,241563114000
2002-03-21,243280242000
2002-03-22,244460767500
2002-03-25,238624576500
2002-03-26,241072506000
2002-03-27,245242674000
2002-03-28,242891844000
2002-04-01,241889382000
2002-04-02,241889382000
2002-04-03,238566333600
2002-04-04,237980213100
2002-04-05,238077050400
2002-04-08,237735571500
2002-04-09,238907812500
2002-04-10,237878279100
2002-04-11,228734799300
2002-04-12,230396323500
2002-04-15,224621762400
2002-04-16,235335025800
2002-04-17,232939576800
2002-04-18,230151681900
2002-04-19,227608428600
2002-04-22,222323150700
2002-04-23,222567792300
2002-04-24,218653526700
2002-04-25,215967565800
2002-04-26,210585450600
2002-04-29,209754688500
2002-04-30,211808658600
2002-05-01,215034869700
2002-05-02,219876734700
2002-05-03,216650523600
2002-05-06,207552914100
2002-05-07,206181901800
2002-05-08,219000102300
2002-05-09,216844198200
2002-05-10,211808658600
2002-05-13,216405882000
2002-05-14,222078509100
2002-05-15,223841967300
2002-05-16,226726699500
2002-05-17,228831636600
2002-05-20,224280283500
2002-05-21,221395551300
2002-05-22,220121376300
2002-05-23,221787997200
2002-05-24,219244743900
2002-05-28,215131707000
2002-05-29,212787225000
2002-05-30,212002333200
2002-05-31,211222538100
2002-06-03,207405109800
2002-06-04,205402106700
2002-06-05,207109501200
2002-06-06,205447977000
2002-06-07,200555145000
2002-06-10,203980127400
2002-06-11,199138262400
2002-06-12,201533711400
2002-06-13,196544042100
2002-06-14,196645976100
2002-06-17,209510046900
2002-06-18,210682287900
2002-06-19,205743585600
2002-06-20,198062858700
2002-06-21,194688843300
2002-06-24,193659309900
2002-06-25,191360698200
2002-06-26,180988913700
2002-06-27,191554372800
2002-06-28,189551369700
2002-07-01,186057040600
2002-07-02,181176575200
2002-07-03,178905068600
2002-07-05,191184299400
2002-07-08,185961345200
2002-07-09,181609722800
2002-07-10,176678891400
2002-07-11,178371189000
2002-07-12,175711864200
2002-07-15,178567616400
2002-07-16,174986593800
2002-07-17,178517250400
2002-07-18,178371189000
2002-07-19,174024603200
2002-07-22,154880486600
2002-07-23,130518452400
2002-07-24,143034403400
2002-07-25,143326526200
2002-07-26,148594809800
2002-07-29,161020102000
2002-07-30,164112574400
2002-07-31,162133190600
2002-08-01,156134600000
2002-08-02,149274750800
2002-08-05,138491390200
2002-08-06,146952878200
2002-08-07,152367223200
2002-08-08,163870817600
2002-08-09,165855238000
2002-08-12,164742149400
2002-08-13,160002708800
2002-08-14,170347885200
2002-08-15,173248966800
2002-08-16,168705953600
2002-08-19,175711864200
2002-08-20,173007210000
2002-08-21,173007210000
2002-08-22,177187588000
2002-08-23,171244400000
2002-08-26,173259040000
2002-08-27,172251720000
2002-08-28,166963290000
2002-08-29,165301212000
2002-08-30,164948650000
2002-09-03,148025674000
2002-09-04,152608980000
2002-09-05,147572380000
2002-09-06,152508248000
2002-09-09,156487162000
2002-09-10,155479842000
2002-09-11,151803124000
2002-09-12,146816890000
2002-09-13,147975308000
2002-09-16,150493608000
2002-09-17,150090680000
2002-09-18,146615426000
2002-09-19,139261990000
2002-09-20,135131978000
2002-09-23,138859062000
2002-09-24,136995520000
2002-09-25,141427728000
2002-09-26,148630066000
2002-09-27,146162132000
2002-09-30,150269165000
2002-10-01,157111100000
2002-10-02,150015760000
2002-10-03,144491531000
2002-10-04,141805438000
2002-10-07,135470313000
2002-10-08,141095904000
2002-10-09,136281208999
2002-10-10,144795617000
2002-10-11,154070240000
2002-10-14,153614111000
2002-10-15,173024934000
2002-10-16,171555185000
2002-10-17,181184575000
2002-10-18,177282138000
2002-10-21,180018912000
2002-10-22,180069593000
2002-10-23,179866869000
2002-10-24,175711027000
2002-10-25,180931170000
2002-10-28,183972030000
2002-10-29,184985650000
2002-10-30,187925148000
2002-10-31,187266295000
2002-11-01,190813965000
2002-11-04,190560560000
2002-11-05,192638481000
2002-11-06,192030309000
2002-11-07,184732245000
2002-11-08,186860847000
2002-11-11,180931170000
2002-11-12,184428159000
2002-11-13,177383500000
2002-11-14,183161134000
2002-11-15,187012890000
2002-11-18,181539342000
2002-11-19,184681564000
2002-11-20,191523499000
2002-11-21,197351814000
2002-11-22,195324574000
2002-11-25,195882065000
2002-11-26,188330596000
2002-11-27,197503857000
2002-11-29,197047728000
2002-12-02,195223212000
2002-12-03,191827585000
2002-12-04,191827585000
2002-12-05,188229234000
2002-12-06,190357836000
2002-12-09,183211815000
2002-12-10,186455399000
2002-12-11,183769306000
2002-12-12,185593822000
2002-12-13,182451600000
2002-12-16,189952388000
2002-12-17,188178553000
2002-12-18,188279915000
2002-12-19,187519700000
2002-12-20,193297334000
2002-12-23,190966008000
2002-12-24,184985650000
2002-12-26,182552962000
2002-12-27,178245077000
2002-12-30,178650525000
2002-12-31,179289531000
2003-01-02,185199615000
2003-01-03,183976839000
2003-01-06,190090719000
2003-01-07,188409402000
2003-01-08,186931881000
2003-01-09,188664147000
2003-01-10,190854954000
2003-01-13,188715096000
2003-01-14,193249557000
2003-01-15,190804005000
2003-01-16,189071739000
2003-01-17,187492320000
2003-01-21,184129686000
2003-01-22,182906910000
2003-01-23,189224586000
2003-01-24,182346471000
2003-01-27,178780041000
2003-01-28,180665154000
2003-01-29,181123695000
2003-01-30,174245580000
2003-01-31,175162662000
2003-02-03,176538285000
2003-02-04,171392436000
2003-02-05,171443385000
2003-02-06,168895935000
2003-02-07,167673159000
2003-02-10,167571261000
2003-02-11,163291545000
2003-02-12,160081758000
2003-02-13,162221616000
2003-02-14,165788046000
2003-02-18,169354476000
2003-02-19,169965864000
2003-02-20,167418414000
2003-02-21,169150680000
2003-02-24,165227607000
2003-02-25,167571261000
2003-02-26,164361474000
2003-02-27,167418414000
2003-02-28,169863966000
2003-03-03,168386445000
2003-03-04,164921913000
2003-03-05,168997833000
2003-03-06,167061771000
2003-03-07,168946884000
2003-03-10,164055780000
2003-03-11,160744095000
2003-03-12,161304534000
2003-03-13,170118711000
2003-03-14,171952875000
2003-03-17,174245580000
2003-03-18,176945877000
2003-03-19,180665154000
2003-03-20,182550267000
2003-03-21,189530280000
2003-03-24,181887930000
2003-03-25,182906910000
2003-03-26,182855961000
2003-03-27,182906910000
2003-03-28,180461358000
2003-03-31,175195475000
2003-04-01,181043800000
2003-04-02,188366920000
2003-04-03,185722460000
2003-04-04,189333165000
2003-04-07,189282310000
2003-04-08,191265655000
2003-04-09,188366920000
2003-04-10,187909225000
2003-04-11,189943425000
2003-04-14,195435765000
2003-04-15,199605875000
2003-04-16,194571230000
2003-04-17,198537920000
2003-04-21,196808850000
2003-04-22,203114870000
2003-04-23,204894795000
2003-04-24,199097325000
2003-04-25,195537475000
2003-04-28,199656730000
2003-04-29,198843050000
2003-04-30,199605875000
2003-05-01,198334500000
2003-05-02,201894350000
2003-05-05,201029815000
2003-05-06,203165725000
2003-05-07,203521710000
2003-05-08,199402455000
2003-05-09,198588775000
2003-05-12,200317845000
2003-05-13,199707585000
2003-05-14,197825950000
2003-05-15,200622975000
2003-05-16,199097325000
2003-05-19,194418665000
2003-05-20,195893460000
2003-05-21,197622530000
2003-05-22,196910560000
2003-05-23,198792195000
2003-05-27,204335390000
2003-05-28,209217470000
2003-05-29,207335835000
2003-05-30,208607210000
2003-06-02,210387135000
2003-06-03,214862375000
2003-06-04,218778210000
2003-06-05,221219250000
2003-06-06,222185495000
2003-06-09,217964530000
2003-06-10,219693600000
2003-06-11,224219695000
2003-06-12,224117985000
2003-06-13,224270550000
2003-06-16,230068020000
2003-06-17,231695380000
2003-06-18,228389805000
2003-06-19,222694045000
2003-06-20,224016275000
2003-06-23,219185050000
2003-06-24,220812410000
2003-06-25,218930775000
2003-06-26,222338060000
2003-06-27,218727355000
2003-06-30,218143040000
2003-07-01,223290808000
2003-07-02,226297920000
2003-07-03,223647584000
2003-07-07,229050192000
2003-07-08,231241816000
2003-07-09,234401832000
2003-07-10,230375360000
2003-07-11,235217320000
2003-07-14,240161216000
2003-07-15,238683144000
2003-07-16,232006336000
2003-07-17,228438576000
2003-07-18,233127632000
2003-07-21,229101160000
2003-07-22,231649560000
2003-07-23,232617952000
2003-07-24,228693416000
2003-07-25,233076664000
2003-07-28,233433440000
2003-07-29,231598592000
2003-07-30,230528264000
2003-07-31,228336640000
2003-08-01,221455960000
2003-08-04,223596616000
2003-08-05,219519176000
2003-08-06,221812736000
2003-08-07,224768880000
2003-08-08,226297920000
2003-08-11,227062440000
2003-08-12,230324392000
2003-08-13,229203096000
2003-08-14,230018584000
2003-08-15,228846320000
2003-08-18,227572120000
2003-08-19,226348888000
2003-08-20,225074688000
2003-08-21,223800488000
2003-08-22,219672080000
2003-08-25,218754656000
2003-08-26,220742408000
2003-08-27,218958528000
2003-08-28,219621112000
2003-08-29,220946280000
2003-09-02,225176624000
2003-09-03,226807600000
2003-09-04,226348888000
2003-09-05,225992112000
2003-09-08,226909536000
2003-09-09,225686304000
2003-09-10,224004360000
2003-09-11,225329528000
2003-09-12,225788240000
2003-09-15,225074688000
2003-09-16,227826960000
2003-09-17,229050192000
2003-09-18,237765720000
2003-09-19,239498632000
2003-09-22,236389584000
2003-09-23,240416056000
2003-09-24,237154104000
2003-09-25,234299896000
2003-09-26,231190848000
2003-09-29,234809576000
2003-09-30,231900756000
2003-10-01,239493200000
2003-10-02,240767100000
2003-10-03,240053716000
2003-10-06,241072836000
2003-10-07,243722548000
2003-10-08,242346736000
2003-10-09,243977328000
2003-10-10,244079240000
2003-10-13,249327708000
2003-10-14,249684400000
2003-10-15,249072928000
2003-10-16,249684400000
2003-10-17,246525128000
2003-10-20,245302184000
2003-10-21,242397692000
2003-10-22,240512320000
2003-10-23,243467768000
2003-10-24,242550560000
2003-10-27,237964520000
2003-10-28,242448648000
2003-10-29,242499604000
2003-10-30,242142912000
2003-10-31,241531440000
2003-11-03,244792624000
2003-11-04,246219392000
2003-11-05,247136600000
2003-11-06,249123884000
2003-11-07,243314900000
2003-11-10,244334020000
2003-11-11,241480484000
2003-11-12,241480484000
2003-11-13,240002760000
2003-11-14,236588708000
2003-11-17,235926280000
2003-11-18,232155536000
2003-11-19,234091864000
2003-11-20,233225612000
2003-11-21,236130104000
2003-11-24,238168344000
2003-11-25,239034596000
2003-11-26,239238420000
2003-11-28,239646068000
2003-12-01,242346736000
2003-12-02,240614232000
2003-12-03,239238420000
2003-12-04,240461364000
2003-12-05,237353048000
2003-12-08,241378572000
2003-12-09,239951804000
2003-12-10,241327616000
2003-12-11,242397692000
2003-12-12,242295780000
2003-12-15,243467768000
2003-12-16,244283064000
2003-12-17,241990044000
2003-12-18,244028284000
2003-12-19,245964612000
2003-12-22,247136600000
2003-12-23,244945492000
2003-12-24,243824460000
2003-12-26,243875416000
2003-12-29,246474172000
2003-12-30,246779908000
2003-12-31,247340424000
2004-01-02,249684400000
2004-01-05,253709924000
2004-01-06,253964704000
2004-01-07,254321396000
2004-01-08,255391472000
2004-01-09,254219484000
2004-01-12,254015660000
2004-01-13,252741760000
2004-01-14,254780000000
2004-01-15,252232200000
2004-01-16,252232200000
2004-01-20,251162124000
2004-01-21,256614416000
2004-01-22,258295964000
2004-01-23,256410592000
2004-01-26,259518908000
2004-01-27,255136692000
2004-01-28,250856388000
2004-01-29,252130288000
2004-01-30,252130288000
2004-02-02,250856388000
2004-02-03,249072928000
2004-02-04,247493292000
2004-02-05,245149316000
2004-02-06,251264036000
2004-02-09,250448740000
2004-02-10,249276752000
2004-02-11,253455144000
2004-02-12,252283156000
2004-02-13,252181244000
2004-02-17,254270440000
2004-02-18,252537936000
2004-02-19,250295872000
2004-02-20,249123884000
2004-02-23,251314992000
2004-02-24,251926464000
2004-02-25,253964704000
2004-02-26,254780000000
2004-02-27,256104856000
2004-03-01,257123976000
2004-03-02,253608012000
2004-03-03,253862792000
2004-03-04,251620728000
2004-03-05,254780000000
2004-03-08,254474264000
2004-03-09,253964704000
2004-03-10,250754476000
2004-03-11,247748072000
2004-03-12,251264036000
2004-03-15,250295872000
2004-03-16,254729044000
2004-03-17,258958392000
2004-03-18,261302367999
2004-03-19,256512504000
2004-03-22,252792716000
2004-03-23,253760880000
2004-03-24,253709924000
2004-03-25,256104856000
2004-03-26,255085736000
2004-03-29,261506192000
2004-03-30,264665464000
2004-03-31,263695850000
2004-04-01,266705145000
2004-04-02,264205900000
2004-04-05,266399114999
2004-04-06,266450120000
2004-04-07,263746855000
2004-04-08,262828764999
2004-04-12,265532030000
2004-04-13,261145600000
2004-04-14,259870475000
2004-04-15,254616960000
2004-04-16,255535050000
2004-04-19,254922990000
2004-04-20,250995605000
2004-04-21,250638570000
2004-04-22,253290830000
2004-04-23,250842590000
2004-04-26,249873495000
2004-04-27,249720480000
2004-04-28,247017215000
2004-04-29,245691085000
2004-04-30,245283045000
2004-05-03,247680280000
2004-05-04,249108420000
2004-05-05,248037315000
2004-05-06,242324755000
2004-05-07,238295360000
2004-05-10,231613705000
2004-05-11,233041845000
2004-05-12,236204155000
2004-05-13,234418980000
2004-05-14,232837825000
2004-05-17,228808430000
2004-05-18,230287575000
2004-05-19,229522500000
2004-05-20,230950640000
2004-05-21,231256670000
2004-05-24,231460690000
2004-05-25,237173250000
2004-05-26,237377270000
2004-05-27,237275260000
2004-05-28,236816215000
2004-06-01,238550385000
2004-06-02,239876515000
2004-06-03,236459180000
2004-06-04,237428275000
2004-06-07,242426765000
2004-06-08,242783800000
2004-06-09,239978525000
2004-06-10,241508675000
2004-06-14,238397370000
2004-06-15,239825510000
2004-06-16,239825510000
2004-06-17,240131540000
2004-06-18,242273750000
2004-06-21,240641590000
2004-06-22,239672495000
2004-06-23,240947620000
2004-06-24,240335560000
2004-06-25,238703400000
2004-06-28,237275260000
2004-06-29,236306165000
2004-06-30,237721950000
2004-07-01,235319169000
2004-07-02,233938848000
2004-07-06,232354035000
2004-07-07,233274249000
2004-07-08,230922591000
2004-07-09,230206869000
2004-07-12,229542270000
2004-07-13,231587190000
2004-07-14,230564730000
2004-07-15,226014783000
2004-07-16,222998526000
2004-07-19,224890077000
2004-07-20,225196815000
2004-07-21,224634462000
2004-07-22,228008580000
2004-07-23,226526013000
2004-07-26,223969863000
2004-07-27,224429970000
2004-07-28,225503553000
2004-07-29,226372644000
2004-07-30,225401307000
2004-08-02,226577136000
2004-08-03,225145692000
2004-08-04,226986120000
2004-08-05,224072109000
2004-08-06,220800237000
2004-08-09,222231681000
2004-08-10,225861414000
2004-08-11,226730505000
2004-08-12,224429970000
2004-08-13,224992323000
2004-08-16,228877671000
2004-08-17,230871468000
2004-08-18,233325372000
2004-08-19,232405158000
2004-08-20,234910185000
2004-08-23,234245586000
2004-08-24,234756816000
