,ENDP
2014-07-01,10830617690
2014-07-02,10676948313
2014-07-03,10643141051
2014-07-07,10372682947
2014-07-08,10323508746
2014-07-09,10334265603
2014-07-10,10188279695
2014-07-11,10102224843
2014-07-14,10447980942
2014-07-15,10314288584
2014-07-16,10260504302
2014-07-17,10145252269
2014-07-18,10334265603
2014-07-21,10547866037
2014-07-22,10690778557
2014-07-23,10798347121
2014-07-24,10655434601
2014-07-25,10530962405
2014-07-28,10291238177
2014-07-29,10243600670
2014-07-30,10411100291
2014-07-31,10308141809
2014-08-01,10391123272
2014-08-04,10211330101
2014-08-05,9833303434
2014-08-06,9527501374
2014-08-07,9476790479
2014-08-08,9721124789
2014-08-11,9562845330
2014-08-12,9413786035
2014-08-13,9588200777
2014-08-14,9797959477
2014-08-15,9653510263
2014-08-18,9714978013
2014-08-19,9796422783
2014-08-20,9805642946
2014-08-21,9724198176
2014-08-22,9791812702
2014-08-25,9971605873
2014-08-26,10023853461
2014-08-27,9988509505
2014-08-28,9837913515
2014-08-29,9790276008
2014-09-02,9807179640
2014-09-03,9670413894
2014-09-04,9685780832
2014-09-05,9825619965
2014-09-08,9922431672
2014-09-09,9813326415
2014-09-10,9948555466
2014-09-11,9943945385
2014-09-12,9905528041
2014-09-15,9928578447
2014-09-16,10014633299
2014-09-17,10487934980
2014-09-18,10286628096
2014-09-19,10403416822
2014-09-22,10166765982
2014-09-23,10134495413
2014-09-24,10381903110
2014-09-25,10506375305
2014-09-26,10749172921
2014-09-29,10683095089
2014-09-30,10518413394
2014-10-01,10481474278
2014-10-02,10528417738
2014-10-03,10796995897
2014-10-06,10627691614
2014-10-07,10527648174
2014-10-08,10927821935
2014-10-09,10278309138
2014-10-10,9856587559
2014-10-13,9419474682
2014-10-14,9404083383
2014-10-15,9264022567
2014-10-16,9325587761
2014-10-17,9484118135
2014-10-20,9457183363
2014-10-21,9808874534
2014-10-22,9725761522
2014-10-23,9952013610
2014-10-24,10010500544
2014-10-27,10055135310
2014-10-28,10247526541
2014-10-29,10104387465
2014-10-30,10202891775
2014-10-31,10299856956
2014-11-03,10543039472
2014-11-04,10569204679
2014-11-05,10573822069
2014-11-06,10803152417
2014-11-07,10613839445
2014-11-10,10599987276
2014-11-11,10506100356
2014-11-12,10449152551
2014-11-13,10327561293
2014-11-14,10198274386
2014-11-17,10321404774
2014-11-18,10698491587
2014-11-19,10621535094
2014-11-20,10736200268
2014-11-21,10804691547
2014-11-24,11158691412
2014-11-25,11115595776
2014-11-26,11144839243
2014-11-28,11261813112
2014-12-01,10980152349
2014-12-02,10858561091
2014-12-03,10961682791
2014-12-04,10880108909
2014-12-05,11017091466
2014-12-08,11083274049
2014-12-09,11067882751
2014-12-10,10758517651
2014-12-11,10961682791
2014-12-12,10584595978
2014-12-15,10353726500
2014-12-16,10424526474
2014-12-17,10710804626
2014-12-18,10975534960
2014-12-19,11235647905
2014-12-22,11120213166
2014-12-23,11044795803
2014-12-24,11097126218
2014-12-26,11260273982
2014-12-29,11292595709
2014-12-30,11207943567
2014-12-31,12235374360
2015-01-02,12240463950
2015-01-05,12209926410
2015-01-06,12530570580
2015-01-07,13059887940
2015-01-08,13270257660
2015-01-09,13226147879
2015-01-12,13226147879
2015-01-13,13550185110
2015-01-14,13417855770
2015-01-15,13246506240
2015-01-16,13570543470
2015-01-20,13748679120
2015-01-21,13541702459
2015-01-22,13575633060
2015-01-23,13380532110
2015-01-26,13428034950
2015-01-27,13526433690
2015-01-28,13774975334
2015-01-29,13850470920
2015-01-30,13506075330
2015-02-02,13677424860
2015-02-03,13470448200
2015-02-04,13159983209
2015-02-05,13458572490
2015-02-06,13519647570
2015-02-09,13480627379
2015-02-10,13760554830
2015-02-11,13796181959
2015-02-12,14062537170
2015-02-13,14252548530
2015-02-17,14483276610
2015-02-18,14456132129
2015-02-19,14418808470
2015-02-20,14644446959
2015-02-23,14410325820
2015-02-24,14462918250
2015-02-25,14452739070
2015-02-26,14461221720
2015-02-27,14522296799
2015-03-02,14814099959
2015-03-03,14569799640
2015-03-04,14530779450
2015-03-05,14880264629
2015-03-06,14764900590
2015-03-09,15190729620
2015-03-10,15099117000
2015-03-11,14888747280
2015-03-12,15352748235
2015-03-13,14815796490
2015-03-16,15209391450
2015-03-17,15401099340
2015-03-18,15563966220
2015-03-19,15519856440
2015-03-20,15670847610
2015-03-23,15406188930
2015-03-24,15185640030
2015-03-25,14976966840
2015-03-26,14897229930
2015-03-27,15275556120
2015-03-30,15528339090
2015-03-31,16623921600
2015-04-01,16620215040
2015-04-02,16757357760
2015-04-06,16683226560
2015-04-07,16938979200
2015-04-08,17354113920
2015-04-09,17361527040
2015-04-10,17506082880
2015-04-13,17315195040
2015-04-14,17294808960
2015-04-15,17776661760
2015-04-16,17626546080
2015-04-17,17298515520
2015-04-20,17272569600
2015-04-21,17639519040
2015-04-22,17437511520
2015-04-23,17435658240
2015-04-24,17285542560
2015-04-27,16798129920
2015-04-28,16277358240
2015-04-29,16038285120
2015-04-30,15579598320
2015-05-01,15762146400
2015-05-04,15995659680
2015-05-05,15691721760
2015-05-06,15686161920
2015-05-07,15999366240
2015-05-08,16130949120
2015-05-11,16060524480
2015-05-12,15678748799
2015-05-13,15547165920
2015-05-14,15756586560
2015-05-15,15817744799
2015-05-18,14968942560
2015-05-19,15387783840
2015-05-20,15873343200
2015-05-21,15752880000
2015-05-22,15738053760
2015-05-26,15413729760
2015-05-27,15458208480
2015-05-28,15371104320
2015-05-29,15523073280
2015-06-01,15593497920
2015-06-02,15513806879
2015-06-03,15688015200
2015-06-04,15600911040
2015-06-05,15480447840
2015-06-08,15595351200
2015-06-09,15271027200
2015-06-10,15271027200
2015-06-11,15228401760
2015-06-12,14926317120
2015-06-15,15094965600
2015-06-16,15107938560
2015-06-17,14955969600
2015-06-18,15445235520
2015-06-19,15573111840
2015-06-22,15597204480
2015-06-23,15554579040
2015-06-24,15245081280
2015-06-25,15237668160
2015-06-26,14976355680
2015-06-29,14527861920
2015-06-30,18034117236
2015-07-01,18314874365
2015-07-02,18570725620
2015-07-06,18471102123
2015-07-07,18428082885
2015-07-08,17753360106
2015-07-09,18217515038
2015-07-10,18819784364
2015-07-13,19023559700
2015-07-14,19358656920
2015-07-15,19197900821
2015-07-16,19256769252
2015-07-17,19331486875
2015-07-20,19684697457
2015-07-21,19501299655
2015-07-22,19589602300
2015-07-23,19449223736
2015-07-24,19333751045
2015-07-27,19428846202
2015-07-28,19840925215
2015-07-29,19514884677
2015-07-30,19462808758
2015-07-31,19820547681
2015-08-03,19696018309
2015-08-04,19270354274
2015-08-05,19437902884
2015-08-06,18498272168
2015-08-07,18962427100
2015-08-10,19059786427
2015-08-11,18889973647
2015-08-12,18860539432
2015-08-13,18894501988
2015-08-14,19204693332
2015-08-17,19553375574
2015-08-18,19338279386
2015-08-19,19091484812
2015-08-20,18299025172
2015-08-21,17345809434
2015-08-24,16630331588
2015-08-25,16548821453
2015-08-26,17293733515
2015-08-27,17886946160
2015-08-28,17819021048
2015-08-31,17434112080
2015-09-01,16637124099
2015-09-02,16972221318
2015-09-03,16859012798
2015-09-04,16528443920
2015-09-08,17341281093
2015-09-09,16976749659
2015-09-10,17033353919
2015-09-11,16935994592
2015-09-14,16861276968
2015-09-15,17200902528
2015-09-16,17954871272
2015-09-17,18337516069
2015-09-18,18548083916
2015-09-21,17735246743
2015-09-22,17157883291
2015-09-23,17071844816
2015-09-24,16392593696
2015-09-25,15586549033
2015-09-28,13997101412
2015-09-29,13714080112
2015-09-30,15388770256
2015-10-01,15553142225
2015-10-02,15784151478
2015-10-05,14944521692
2015-10-06,14238166476
2015-10-07,14024927165
2015-10-08,14087121964
2015-10-09,14275927604
2015-10-12,14215954048
2015-10-13,13964953609
2015-10-14,14424750873
2015-10-15,14793477181
2015-10-16,15331017943
2015-10-19,14835680794
2015-10-20,13956068638
2015-10-21,12096888397
2015-10-22,11430515551
2015-10-23,12572234361
2015-10-26,13098668909
2015-10-27,12998712982
2015-10-28,13525147530
2015-10-29,13411864147
2015-10-30,13325235677
2015-11-02,13638430914
2015-11-03,13607333515
2015-11-04,13436297818
2015-11-05,11483825379
2015-11-06,12283472794
2015-11-09,12105773369
2015-11-10,12343446350
2015-11-11,12552243175
2015-11-12,12461172220
2015-11-13,12880987113
2015-11-16,12638871645
2015-11-17,12805464857
2015-11-18,13178633651
2015-11-19,13196403593
2015-11-20,13187518622
2015-11-23,13362996805
2015-11-24,13389651718
2015-11-25,13549581202
2015-11-27,13845006497
2015-11-30,13656200857
2015-12-01,13760599269
2015-12-02,13671749557
2015-12-03,13285253306
2015-12-04,13927192481
2015-12-07,13245270935
2015-12-08,13167527436
2015-12-09,12992049254
2015-12-10,12956509369
2015-12-11,12687738987
2015-12-14,12756597515
2015-12-15,13522926288
2015-12-16,13778369212
2015-12-17,13633988429
2015-12-18,13554023687
2015-12-21,13585121087
2015-12-22,13907201296
2015-12-23,13929413724
2015-12-24,13909422538
2015-12-28,13731723113
2015-12-29,13880546382
2015-12-30,13864997682
2015-12-31,13631090190
2016-01-04,13319369735
2016-01-05,13214720725
2016-01-06,12760499491
2016-01-07,12548974896
2016-01-08,11974518629
2016-01-11,11965612330
2016-01-12,12255067038
2016-01-13,11722915690
2016-01-14,12019050122
2016-01-15,11696196794
2016-01-19,11725142264
2016-01-20,12263973337
2016-01-21,12551201471
2016-01-22,13036594751
2016-01-25,12878507949
2016-01-26,13372807528
2016-01-27,12929719166
2016-01-28,12235027866
2016-01-29,12350809749
2016-02-01,12595732964
2016-02-02,12424286714
2016-02-03,12134832006
2016-02-04,12090300512
2016-02-05,11994557801
2016-02-08,11277600754
2016-02-09,11627172978
2016-02-10,11355530868
2016-02-11,10796660623
2016-02-12,11152912572
2016-02-16,11484672199
2016-02-17,11747408011
2016-02-18,11362210592
2016-02-19,11190764341
2016-02-22,11230842685
2016-02-23,11181858042
2016-02-24,11359984017
2016-02-25,11727368839
2016-02-26,11787486355
2016-02-29,9309308737
2016-03-01,9393918574
2016-03-02,9763529971
2016-03-03,9612122893
2016-03-04,9449582941
2016-03-07,9926069923
2016-03-08,9498567584
2016-03-09,9304855587
2016-03-10,8995361707
2016-03-11,9440676643
2016-03-14,9369426253
2016-03-15,7251953732
2016-03-16,7550314739
2016-03-17,6686403764
2016-03-18,6644098845
2016-03-21,6421441377
2016-03-22,6860076589
2016-03-23,6664138017
2016-03-24,6597340776
2016-03-28,6294526620
2016-03-29,6448160273
2016-03-30,6334604964
2016-03-31,6268076050
2016-04-01,6386089560
2016-04-04,6325969470
2016-04-05,5991968970
2016-04-06,6508556410
2016-04-07,6472929690
2016-04-08,6301476100
2016-04-11,5796022010
2016-04-12,5845008750
2016-04-13,6043182380
2016-04-14,6047635720
2016-04-15,5862822110
2016-04-18,6343782830
2016-04-19,6401676250
2016-04-20,6328196140
2016-04-21,7087490610
2016-04-22,7566224659
2016-04-25,6688916680
2016-04-26,6561996490
2016-04-27,6430622960
2016-04-28,6294796090
2016-04-29,6012009000
2016-05-02,6052089060
2016-05-03,6263622710
2016-05-04,6094395790
2016-05-05,5920715530
2016-05-06,3600525390
2016-05-09,3400125090
2016-05-10,3455791840
2016-05-11,3017137850
2016-05-12,2994871150
2016-05-13,3128471350
2016-05-16,3184138100
2016-05-17,3377858390
2016-05-18,3466925190
2016-05-19,3288791590
2016-05-20,3437978480
2016-05-23,3375631720
2016-05-24,3437978480
2016-05-25,3409031770
2016-05-26,3388991740
2016-05-27,3424618460
2016-05-31,3520365270
2016-06-01,3700725540
2016-06-02,3883312480
2016-06-03,3916712530
2016-06-06,3999099320
2016-06-07,3923392540
2016-06-08,3945659239
2016-06-09,4008006000
2016-06-10,3669552160
2016-06-13,3714085560
2016-06-14,3814285710
2016-06-15,3745258940
2016-06-16,3767525640
2016-06-17,3660645480
2016-06-20,3578258690
2016-06-21,3429071800
2016-06-22,3440205150
2016-06-23,3527045280
2016-06-24,3306604950
2016-06-27,3048311230
2016-06-28,3604978730
2016-06-29,3547085310
2016-06-30,3472937530
2016-07-01,3782583660
2016-07-05,3689021519
2016-07-06,3809315700
2016-07-07,3849413760
2016-07-08,3880601140
2016-07-11,3822681720
2016-07-12,3873918130
2016-07-13,3871690460
2016-07-14,3938520560
2016-07-15,3927382210
2016-07-18,3991984640
2016-07-19,3887284150
2016-07-20,4018716680
2016-07-21,4009806000
2016-07-22,3898422500
2016-07-25,3945203570
2016-07-26,3862779780
2016-07-27,3956341920
2016-07-28,3985301630
2016-07-29,3867235120
2016-08-01,3760306960
2016-08-02,3811543370
2016-08-03,4056587070
2016-08-04,4027627359
2016-08-05,4025399690
2016-08-08,4052131730
2016-08-09,4936516720
2016-08-10,4965476430
2016-08-11,5125868670
2016-08-12,5386506060
2016-08-15,5174877410
2016-08-16,5105819640
2016-08-17,5065721580
2016-08-18,5099136630
2016-08-19,5130324010
2016-08-22,5110274980
2016-08-23,5270667220
2016-08-24,4920923030
2016-08-25,4684790010
2016-08-26,4684790010
2016-08-29,4638008940
2016-08-30,4653602630
2016-08-31,4611276900
2016-09-01,4506576410
2016-09-02,4415241940
2016-09-06,4564495830
2016-09-07,4522170100
2016-09-08,4600138550
2016-09-09,4463136845
2016-09-12,4633553600
2016-09-13,4531080780
2016-09-14,4531080780
2016-09-15,4609049230
2016-09-16,4644691950
2016-09-19,4468706020
2016-09-20,4519942430
2016-09-21,4475389030
2016-09-22,4513259420
2016-09-23,5210520130
2016-09-26,4898646330
2016-09-27,5018940510
2016-09-28,4981070120
2016-09-29,4662513310
2016-09-30,4490830500
2016-10-03,4584435900
2016-10-04,4544319300
2016-10-05,4773875400
2016-10-06,4597808100
2016-10-07,4539861900
2016-10-10,4720386600
2016-10-11,4559920200
2016-10-12,4374938100
2016-10-13,4415054700
2016-10-14,4426198200
2016-10-17,4294704900
2016-10-18,4423969500
2016-10-19,4432884300
2016-10-20,4575521100
2016-10-21,4637924700
2016-10-24,4637924700
2016-10-25,4787247600
2016-10-26,4631238600
2016-10-27,4551005400
2016-10-28,4361565900
2016-10-31,4178812500
2016-11-01,4205556900
2016-11-02,4049547900
2016-11-03,3260588100
2016-11-04,3338592600
2016-11-07,3494601600
2016-11-08,3233843700
2016-11-09,3628323600
2016-11-10,3895767600
2016-11-11,3918054599
2016-11-14,4054005300
2016-11-15,3976000800
2016-11-16,3811077000
2016-11-17,3804390900
2016-11-18,3819991800
2016-11-21,3811077000
2016-11-22,3621637500
2016-11-23,3721929000
2016-11-25,3670668899
2016-11-28,3715242900
2016-11-29,3603807900
2016-11-30,3568148700
2016-12-01,3525803400
2016-12-02,3521346000
2016-12-05,3536946900
2016-12-06,3534718200
2016-12-07,3363108300
2016-12-08,3487915500
2016-12-09,3485686800
2016-12-12,3434426700
2016-12-13,3554776500
2016-12-14,3418825800
2016-12-15,3443341500
2016-12-16,3572606100
2016-12-19,3572606100
2016-12-20,3574834800
2016-12-21,3496830300
2016-12-22,3514659900
2016-12-23,3626094900
2016-12-27,3543633000
2016-12-28,3487915500
2016-12-29,3494601600
2016-12-30,3670668899
2017-01-03,3896054579
2017-01-04,3947347800
2017-01-05,3911665560
2017-01-06,3688651560
2017-01-09,3659659740
2017-01-10,3414344340
2017-01-11,3124426140
2017-01-12,3093204180
2017-01-13,2941554660
2017-01-17,2914792980
2017-01-18,2937094380
2017-01-19,2876880600
2017-01-20,2751992760
2017-01-23,2714080380
2017-01-24,2642715900
2017-01-25,2651636460
2017-01-26,2673937860
2017-01-27,2627104920
2017-01-30,2633795340
2017-01-31,2729691360
2017-02-01,2751992760
2017-02-02,2809976400
2017-02-03,2834507940
2017-02-06,2794365420
2017-02-07,2678398140
2017-02-08,2740842060
2017-02-09,2716310520
2017-02-10,2689548840
2017-02-13,2698469400
2017-02-14,2821127100
2017-02-15,3044141100
2017-02-16,2966086200
2017-02-17,2917023120
2017-02-21,2941554660
2017-02-22,2874650460
2017-02-23,2986157460
2017-02-24,2932634100
2017-02-27,2963856060
2017-02-28,3044141100
2017-03-01,2859039480
2017-03-02,2740842060
2017-03-03,2731921500
2017-03-06,2542359600
2017-03-07,2430852600
2017-03-08,2408551200
2017-03-09,2348337420
2017-03-10,2413011480
2017-03-13,2379559380
2017-03-14,2279203080
2017-03-15,2350567560
2017-03-16,2377329240
2017-03-17,2399630640
2017-03-20,2299274340
2017-03-21,2265822240
2017-03-22,2201148180
2017-03-23,2227909860
2017-03-24,2223449580
2017-03-27,2341647000
2017-03-28,2395170360
2017-03-29,2555740440
2017-03-30,2466534840
2017-03-31,2490443280
2017-04-03,2434653780
2017-04-04,2440232730
2017-04-05,2441348520
2017-04-06,2514990660
2017-04-07,2639959140
2017-04-10,2648885460
2017-04-11,2401180080
2017-04-12,2400064290
2017-04-13,2398948500
2017-04-17,2396716920
2017-04-18,2318611620
2017-04-19,2356548480
2017-04-20,2338695840
2017-04-21,2296295820
2017-04-24,2432422200
2017-04-25,2454738000
2017-04-26,2488211700
2017-04-27,2517222240
2017-04-28,2537306460
2017-05-01,2604253860
2017-05-02,2599790700
2017-05-03,2430190620
2017-05-04,2492674860
2017-05-05,2548464360
2017-05-08,2421264300
2017-05-09,2860885560
2017-05-10,2903285580
2017-05-11,3063959340
2017-05-12,3028254060
2017-05-15,3003706680
2017-05-16,2952380340
2017-05-17,2793938160
2017-05-18,2642190720
2017-05-19,2651117040
2017-05-22,2642190720
2017-05-23,2874275040
2017-05-24,2851959240
2017-05-25,2876506620
2017-05-26,2927832960
2017-05-30,2889896100
2017-05-31,2941222440
2017-06-01,3028254060
2017-06-02,2889896100
2017-06-05,2816253960
2017-06-06,2798401320
2017-06-07,2767159200
2017-06-08,3075117240
2017-06-09,2564085420
2017-06-12,2477053800
2017-06-13,2481516960
2017-06-14,2434653780
2017-06-15,2410106400
2017-06-16,2403411660
2017-06-19,2465895900
2017-06-20,2463664320
2017-06-21,2539538040
2017-06-22,2599790700
2017-06-23,2642190720
2017-06-26,2635495980
2017-06-27,2532843300
2017-06-28,2568548580
2017-06-29,2506064340
2017-06-30,2494249830
2017-07-03,2561239530
2017-07-05,2543375610
2017-07-06,2494249830
2017-07-07,2525511690
2017-07-10,2516579730
2017-07-11,2534443650
2017-07-12,2623763250
2017-07-13,2686286970
2017-07-14,2677355010
2017-07-17,2744344710
2017-07-18,2692985940
2017-07-19,2697451920
2017-07-20,2751043680
2017-07-21,2764441620
2017-07-24,2605899330
2017-07-25,2579103450
2017-07-26,2525511690
2017-07-27,2492016840
2017-07-28,2462987970
2017-07-31,2460754980
2017-08-01,2346872490
2017-08-02,2353571460
2017-08-03,2212893090
2017-08-04,2094544620
2017-08-07,2078913690
2017-08-08,1826585820
2017-08-09,1772994060
2017-08-10,1685907450
2017-08-11,1694839410
2017-08-14,1701538380
2017-08-15,1817653860
2017-08-16,1942701299
2017-08-17,1927070370
2017-08-18,1947167280
2017-08-21,1902507480
2017-08-22,1871245620
2017-08-23,1862313660
2017-08-24,1962798209
2017-08-25,2007458010
2017-08-28,2009691000
2017-08-29,1947167280
2017-08-30,1909206450
2017-08-31,1962798209
2017-09-01,1929303360
2017-09-05,1860080670
2017-09-06,1906973459
2017-09-07,1911439440
2017-09-08,1947167280
2017-09-11,2072214719
2017-09-12,2105709570
2017-09-13,2072214719
2017-09-14,1924837379
2017-09-15,1920371400
2017-09-18,1862313660
2017-09-19,1873478610
2017-09-20,1924837379
2017-09-21,1965031200
2017-09-22,1933769340
2017-09-25,1913672430
2017-09-26,1869012629
2017-09-27,2018622959
2017-09-28,1819886850
2017-09-29,1912555935
2017-10-02,2029996980
2017-10-03,1945134620
2017-10-04,1969700040
2017-10-05,1933968520
2017-10-06,1916102760
2017-10-09,1898237000
2017-10-10,1920569200
2017-10-11,2005431560
2017-10-12,1840173280
2017-10-13,1824540740
2017-10-16,1701713640
2017-10-17,1706180080
2017-10-18,1708413300
2017-10-19,1759777360
2017-10-20,1724045840
2017-10-23,1670448560
2017-10-24,1665982120
2017-10-25,1603451960
2017-10-26,1494024180
2017-10-27,1313133360
2017-10-30,1330999120
2017-10-31,1424794360
2017-11-01,1458292660
2017-11-02,1328765900
2017-11-03,1411395040
2017-11-06,1393529280
2017-11-07,1324299460
2017-11-08,1360030980
2017-11-09,1360030980
2017-11-10,1547621460
2017-11-13,1494024180
2017-11-14,1561020780
2017-11-15,1567720440
2017-11-16,1630250600
2017-11-17,1683847880
2017-11-20,1623550940
2017-11-21,1690547540
2017-11-22,1703946860
2017-11-24,1683847880
2017-11-27,1578886540
2017-11-28,1614618060
2017-11-29,1670448560
2017-11-30,1639183480
2017-12-01,1661515680
2017-12-04,1623550940
2017-12-05,1625784160
2017-12-06,1583352980
2017-12-07,1661515680
2017-12-08,1674915000
2017-12-11,1724045840
2017-12-12,1759777360
2017-12-13,1744144820
2017-12-14,1744144820
2017-12-15,1786576000
2017-12-18,1849106159
2017-12-19,1822307520
2017-12-20,1788809220
2017-12-21,1786576000
2017-12-22,1744144820
2017-12-26,1779876340
2017-12-27,1753077700
2017-12-28,1748611260
2017-12-29,1730745500
2018-01-02,1810520100
2018-01-03,1980396059
2018-01-04,1951338330
2018-01-05,1942397490
2018-01-08,1917810180
2018-01-09,1826166570
2018-01-10,1803814470
2018-01-11,1770286320
2018-01-12,1776991950
2018-01-16,1790403210
2018-01-17,1718876490
2018-01-18,1642879350
2018-01-19,1589234310
2018-01-22,1633938510
2018-01-23,1656290610
2018-01-24,1642879350
2018-01-25,1660761030
2018-01-26,1595939940
2018-01-29,1607115990
2018-01-30,1553470950
2018-01-31,1544530110
2018-02-01,1519942800
2018-02-02,1461827340
2018-02-05,1408182300
2018-02-06,1473003390
2018-02-07,1443945660
2018-02-08,1399241460
2018-02-09,1394771040
2018-02-12,1423828770
2018-02-13,1412652720
2018-02-14,1504296330
2018-02-15,1537824480
2018-02-16,1537824480
2018-02-20,1513237170
2018-02-21,1495355490
2018-02-22,1466297760
2018-02-23,1533354060
2018-02-26,1528883640
2018-02-27,1522178010
2018-02-28,1409299905
2018-03-01,1459592130
2018-03-02,1535589270
2018-03-05,1613821620
2018-03-06,1622762460
2018-03-07,1616056830
2018-03-08,1582528680
2018-03-09,1560176580
2018-03-12,1569117420
2018-03-13,1566882210
2018-03-14,1575823050
2018-03-15,1528883640
2018-03-16,1566882210
2018-03-19,1499825910
2018-03-20,1352302050
2018-03-21,1359007680
2018-03-22,1352302050
2018-03-23,1309833060
2018-03-26,1298657010
2018-03-27,1294186590
2018-03-28,1305362640
2018-03-29,1327714740
2018-04-02,1269138780
2018-04-03,1280330480
2018-04-04,1246755380
2018-04-05,1280330480
2018-04-06,1228848660
2018-04-09,1233325340
2018-04-10,1271377120
2018-04-11,1278092140
2018-04-12,1257947080
2018-04-13,1226610320
2018-04-16,1222133640
2018-04-17,1244517040
2018-04-18,1284807160
2018-04-19,1260185420
2018-04-20,1233325340
2018-04-23,1235563680
2018-04-24,1262423760
2018-04-25,1269138780
2018-04-26,1255708740
2018-04-27,1343004000
2018-04-30,1282568820
2018-05-01,1295998860
2018-05-02,1264662100
2018-05-03,1215418620
2018-05-04,1253470400
2018-05-07,1257947080
2018-05-08,1295998860
2018-05-09,1304952220
2018-05-10,1334050640
2018-05-11,1365387400
2018-05-14,1392247480
2018-05-15,1403439180
2018-05-16,1398962500
2018-05-17,1387770800
2018-05-18,1365387400
2018-05-21,1336288980
2018-05-22,1331812300
2018-05-23,1428060920
2018-05-24,1401200840
2018-05-25,1412392540
2018-05-29,1416869220
2018-05-30,1443729300
2018-05-31,1407915860
2018-06-01,1410154200
2018-06-04,1412392540
2018-06-05,1457159340
2018-06-06,1734713500
2018-06-07,1748143540
2018-06-08,1716806780
2018-06-11,1804102040
2018-06-12,1902589000
2018-06-13,1987645920
2018-06-14,1994360940
2018-06-15,1987645920
2018-06-18,2048081100
2018-06-19,2112992960
2018-06-20,2110754620
2018-06-21,2081656200
2018-06-22,2121946320
2018-06-25,2072702840
2018-06-26,2052557780
2018-06-27,2039127739
2018-06-28,2200288220
2018-06-29,2110754620
2018-07-02,2189769640
2018-07-03,2216665480
2018-07-05,2268215840
2018-07-06,2434073520
2018-07-09,2514761040
2018-07-10,2438556160
2018-07-11,2429590880
2018-07-12,2512519720
2018-07-13,2492347840
2018-07-16,2366833920
2018-07-17,2427349560
2018-07-18,2512519720
2018-07-19,2514761040
2018-07-20,2499071800
2018-07-23,2590965920
2018-07-24,2606655160
2018-07-25,2696307960
2018-07-26,2711997200
2018-07-27,2709755880
2018-07-30,2725445120
2018-07-31,2788202080
2018-08-01,2792684720
2018-08-02,2691825320
2018-08-03,2734410400
2018-08-06,2718721160
2018-08-07,2835269800
2018-08-08,3637662360
2018-08-09,3548009560
2018-08-10,3507665800
2018-08-13,3404565080
2018-08-14,3608525200
2018-08-15,3599559919
2018-08-16,3574905400
2018-08-17,3505424480
2018-08-20,3565940120
2018-08-21,3496459200
2018-08-22,3570422760
2018-08-23,3577146720
2018-08-24,3483011280
2018-08-27,3610766520
2018-08-28,3716108559
2018-08-29,3738521760
2018-08-30,3774382880
2018-08-31,3843863799
2018-09-04,3839381160
2018-09-05,3803520039
2018-09-06,3722832520
2018-09-07,3588353320
2018-09-10,3613007840
2018-09-11,3583870680
2018-09-12,3635421039
2018-09-13,3597318600
2018-09-14,3561457480
2018-09-17,3552492200
2018-09-18,3572664080
2018-09-19,3577146720
2018-09-20,3664558200
2018-09-21,3613007840
2018-09-24,3651110280
2018-09-25,3642145000
2018-09-26,3619731799
2018-09-27,3743004400
2018-09-28,3772141559
2018-10-01,3796052760
2018-10-02,3849897480
2018-10-03,3888037489
2018-10-04,3849897480
2018-10-05,3897011610
2018-10-08,3834192770
2018-10-09,3948612800
2018-10-10,3941882210
2018-10-11,3769130400
2018-10-12,3928421030
