,WOR
2001-05-08,564677648
2001-05-09,583164119
2001-05-10,595768531
2001-05-11,603331178
2001-05-14,614255001
2001-05-15,624338531
2001-05-16,647866766
2001-05-17,641984707
2001-05-18,632741472
2001-05-21,665512943
2001-05-22,632741472
2001-05-23,588205884
2001-05-24,584844707
2001-05-25,585685001
2001-05-29,578962648
2001-05-30,583164119
2001-05-31,595768531
2001-06-01,598289413
2001-06-04,614255001
2001-06-05,637783237
2001-06-06,641984707
2001-06-07,631901178
2001-06-08,626859413
2001-06-11,624338531
2001-06-12,633581766
2001-06-13,621817648
2001-06-14,626859413
2001-06-15,626859413
2001-06-18,621817648
2001-06-19,626859413
2001-06-20,635262354
2001-06-21,647866766
2001-06-22,653748825
2001-06-25,641144413
2001-06-26,657950295
2001-06-27,685680001
2001-06-28,710888825
2001-06-29,704166472
2001-07-02,699124707
2001-07-03,686520296
2001-07-05,691562060
2001-07-06,661311472
2001-07-09,694082943
2001-07-10,678957648
2001-07-11,678957648
2001-07-12,699124707
2001-07-13,706687354
2001-07-16,686520296
2001-07-17,704166472
2001-07-18,716770884
2001-07-19,723493237
2001-07-20,717611178
2001-07-23,727694707
2001-07-24,718451472
2001-07-25,732736472
2001-07-26,746181178
2001-07-27,743660296
2001-07-30,750382649
2001-07-31,728535002
2001-08-01,730215590
2001-08-02,751222943
2001-08-03,751222943
2001-08-06,727694707
2001-08-07,725173825
2001-08-08,732736472
2001-08-09,725173825
2001-08-10,725173825
2001-08-13,722652943
2001-08-14,748702060
2001-08-15,739458825
2001-08-16,750382649
2001-08-17,737778237
2001-08-20,746181178
2001-08-21,734417060
2001-08-22,746181178
2001-08-23,743660296
2001-08-24,765507943
2001-08-27,760466178
2001-08-28,736937943
2001-08-29,722652943
2001-08-30,712569413
2001-08-31,751673000
2001-09-04,755157000
2001-09-05,789126000
2001-09-06,778674000
2001-09-07,762125000
2001-09-10,759512000
2001-09-17,665444000
2001-09-18,669799000
2001-09-19,612313000
2001-09-20,553085000
2001-09-21,553085000
2001-09-24,564408000
2001-09-25,585312000
2001-09-26,607087000
2001-09-27,593151000
2001-09-28,604474000
2001-10-01,627991000
2001-10-02,679380000
2001-10-03,660218000
2001-10-04,660218000
2001-10-05,665444000
2001-10-08,643669000
2001-10-09,657605000
2001-10-10,708994000
2001-10-11,708994000
2001-10-12,687219000
2001-10-15,703768000
2001-10-16,717704000
2001-10-17,697671000
2001-10-18,697671000
2001-10-19,700283999
2001-10-22,732511000
2001-10-23,718575000
2001-10-24,711607000
2001-10-25,738608000
2001-10-26,746447000
2001-10-29,718575000
2001-10-30,703768000
2001-10-31,697671000
2001-11-01,703768000
2001-11-02,706381000
2001-11-05,695058000
2001-11-06,697671000
2001-11-07,734253000
2001-11-08,714219999
2001-11-09,742963000
2001-11-12,744705000
2001-11-13,751673000
2001-11-14,776932000
2001-11-15,770835000
2001-11-16,770835000
2001-11-19,773448000
2001-11-20,756899000
2001-11-21,768222000
2001-11-23,782158000
2001-11-26,774319000
2001-11-27,783900000
2001-11-28,787383999
2001-11-29,777803000
2001-11-30,789224152
2001-12-03,810858586
2001-12-04,787493397
2001-12-05,795281793
2001-12-06,791820284
2001-12-07,795281793
2001-12-10,768455095
2001-12-11,735570756
2001-12-12,739032265
2001-12-13,714801699
2001-12-14,735570756
2001-12-17,746820661
2001-12-18,768455095
2001-12-19,758070567
2001-12-20,764128208
2001-12-21,739032265
2001-12-24,773647359
2001-12-26,761532076
2001-12-27,761532076
2001-12-28,752012925
2001-12-31,757205190
2002-01-02,746820661
2002-01-03,752012925
2002-01-04,771051227
2002-01-07,777108869
2002-01-08,751147548
2002-01-09,749416793
2002-01-10,758935944
2002-01-11,757205190
2002-01-14,738166888
2002-01-15,739032265
2002-01-16,732109246
2002-01-17,752012925
2002-01-18,736436133
2002-01-22,747686039
2002-01-23,754609057
2002-01-24,763262831
2002-01-25,767589718
2002-01-28,784031888
2002-01-29,776243491
2002-01-30,781435756
2002-01-31,788358774
2002-02-01,789224152
2002-02-04,747686039
2002-02-05,759801322
2002-02-06,756339812
2002-02-07,749416793
2002-02-08,763262831
2002-02-11,795281793
2002-02-12,776243491
2002-02-13,784031888
2002-02-14,772781982
2002-02-15,776243491
2002-02-19,775378114
2002-02-20,784031888
2002-02-21,792685661
2002-02-22,797012548
2002-02-25,765858963
2002-02-26,796147171
2002-02-27,799608680
2002-02-28,779169687
2002-03-01,799787187
2002-03-04,836726875
2002-03-05,819545624
2002-03-06,807518750
2002-03-07,798928125
2002-03-08,789478437
2002-03-11,786901250
2002-03-12,797210000
2002-03-13,782605937
2002-03-14,791196562
2002-03-15,792055625
2002-03-18,780887812
2002-03-19,795491875
2002-03-20,768001875
2002-03-21,786042187
2002-03-22,776592499
2002-03-25,762847500
2002-03-26,794632812
2002-03-27,799787187
2002-03-28,813532187
2002-04-01,804082500
2002-04-02,794632812
2002-04-03,801505312
2002-04-04,792914687
2002-04-05,812673125
2002-04-08,810955000
2002-04-09,810095937
2002-04-10,849612812
2002-04-11,830713437
2002-04-12,837585937
2002-04-15,827277187
2002-04-16,836726875
2002-04-17,815250312
2002-04-18,823840937
2002-04-19,817827500
2002-04-22,789478437
2002-04-23,779169687
2002-04-24,786042187
2002-04-25,782605937
2002-04-26,778310625
2002-04-29,772297187
2002-04-30,783464999
2002-05-01,780028750
2002-05-02,814391250
2002-05-03,820404687
2002-05-06,804082500
2002-05-07,816968437
2002-05-08,827277187
2002-05-09,816968437
2002-05-10,815250312
2002-05-13,824700000
2002-05-14,839304062
2002-05-15,841022187
2002-05-16,828995312
2002-05-17,844458437
2002-05-20,834149687
2002-05-21,849612812
2002-05-22,858203437
2002-05-23,851330937
2002-05-24,841881250
2002-05-28,821263750
2002-05-29,821263750
2002-05-30,819545624
2002-05-31,807518750
2002-06-03,802364375
2002-06-04,804941562
2002-06-05,816968437
2002-06-06,804082500
2002-06-07,804082500
2002-06-10,810095937
2002-06-11,794632812
2002-06-12,780887812
2002-06-13,778310625
2002-06-14,764565625
2002-06-17,768001875
2002-06-18,782605937
2002-06-19,794632812
2002-06-20,866794062
2002-06-21,890847812
2002-06-24,914901562
2002-06-25,916619687
2002-06-26,913183437
2002-06-27,951841250
2002-06-28,958713750
2002-07-01,976754062
2002-07-02,969022500
2002-07-03,929505625
2002-07-05,950982187
2002-07-08,937237187
2002-07-09,949264062
2002-07-10,940673437
2002-07-11,931223750
2002-07-12,902874687
2002-07-15,921774062
2002-07-16,915760625
2002-07-17,917478750
2002-07-18,908029062
2002-07-19,869371249
2002-07-22,836726875
2002-07-23,832431562
2002-07-24,867653125
2002-07-25,878820937
2002-07-26,903733750
2002-07-29,968163437
2002-07-30,960431875
2002-07-31,929505625
2002-08-01,934660000
2002-08-02,891706875
2002-08-05,847035625
2002-08-06,883975312
2002-08-07,902874687
2002-08-08,905451874
2002-08-09,913183437
2002-08-12,924351250
2002-08-13,906310937
2002-08-14,906310937
2002-08-15,907170000
2002-08-16,909747187
2002-08-19,927787500
2002-08-20,940673437
2002-08-21,975035937
2002-08-22,970740625
2002-08-23,945827812
2002-08-26,953559375
2002-08-27,965586250
2002-08-28,926928437
2002-08-29,932082812
2002-08-30,939814375
2002-09-03,951768621
2002-09-04,1012280704
2002-09-05,974244537
2002-09-06,991533704
2002-09-09,986346954
2002-09-10,984618037
2002-09-11,1001042746
2002-09-12,967328871
2002-09-13,972515621
2002-09-16,964735496
2002-09-17,921512579
2002-09-18,972515621
2002-09-19,937937288
2002-09-20,959548746
2002-09-23,905952329
2002-09-24,900765579
2002-09-25,948310788
2002-09-26,1020925287
2002-09-27,1023518662
2002-09-30,996720454
2002-10-01,1048587954
2002-10-02,1018331912
2002-10-03,1033027704
2002-10-04,1027840954
2002-10-07,1007958412
2002-10-08,1059825912
2002-10-09,1033892162
2002-10-10,972515621
2002-10-11,1026976496
2002-10-14,934479454
2002-10-15,1020925287
2002-10-16,973380079
2002-10-17,1002771662
2002-10-18,1019196371
2002-10-21,1030434329
2002-10-22,1026112037
2002-10-23,1009687329
2002-10-24,1003636121
2002-10-25,1009687329
2002-10-28,987211412
2002-10-29,999313829
2002-10-30,1014009621
2002-10-31,1003636121
2002-11-01,1023518662
2002-11-04,1014874079
2002-11-05,988940329
2002-11-06,995855996
2002-11-07,988075871
2002-11-08,917190288
2002-11-11,909410163
2002-11-12,918054746
2002-11-13,916325829
2002-11-14,943988496
2002-11-15,912867996
2002-11-18,902494496
2002-11-19,896443288
2002-11-20,905952329
2002-11-21,931021621
2002-11-22,896443288
2002-11-25,903358954
2002-11-26,895578829
2002-11-27,932750538
2002-11-29,938801746
2002-12-02,940407899
2002-12-03,930960880
2002-12-04,936113800
2002-12-05,925807960
2002-12-06,908631560
2002-12-09,912925660
2002-12-10,917219760
2002-12-11,938690260
2002-12-12,939549080
2002-12-13,919796220
2002-12-16,953290200
2002-12-17,936113800
2002-12-18,863114100
2002-12-19,860537640
2002-12-20,846796520
2002-12-23,821031920
2002-12-24,820173100
2002-12-26,811584899
2002-12-27,804714339
2002-12-30,814161360
2002-12-31,806431980
2003-01-02,821031920
2003-01-03,819314279
2003-01-06,847655339
2003-01-07,842502420
2003-01-08,818455460
2003-01-09,837349500
2003-01-10,845078880
2003-01-13,844220060
2003-01-14,831337760
2003-01-15,799561420
2003-01-16,812443720
2003-01-17,807290800
2003-01-21,785820300
2003-01-22,767785080
2003-01-23,772938000
2003-01-24,764349800
2003-01-27,773796820
2003-01-28,794408500
2003-01-29,788396760
2003-01-30,780667380
2003-01-31,802996700
2003-02-03,789255580
2003-02-04,775514460
2003-02-05,763490980
2003-02-06,750608680
2003-02-07,740302839
2003-02-10,748032220
2003-02-11,730855820
2003-02-12,730855820
2003-02-13,725702899
2003-02-14,728279360
2003-02-18,744596940
2003-02-19,729997000
2003-02-20,711961779
2003-02-21,738585200
2003-02-24,714538240
2003-02-25,720549980
2003-02-26,714538240
2003-02-27,714538240
2003-02-28,730199430
2003-03-03,718158450
2003-03-04,709557750
2003-03-05,718158450
2003-03-06,696656700
2003-03-07,699236910
2003-03-10,680315370
2003-03-11,679455300
2003-03-12,672574740
2003-03-13,695796630
2003-03-14,686335860
2003-03-17,726759149
2003-03-18,718158450
2003-03-19,680315370
2003-03-20,676875090
2003-03-21,663974040
2003-03-24,667414320
2003-03-25,643332360
2003-03-26,642472290
2003-03-27,649352850
2003-03-28,651933060
2003-03-31,632151450
2003-04-01,646772640
2003-04-02,650212920
2003-04-03,646772640
2003-04-04,633871590
2003-04-07,663113970
2003-04-08,665694180
2003-04-09,656233410
2003-04-10,656233410
2003-04-11,649352850
2003-04-14,663113970
2003-04-15,688916070
2003-04-16,699236910
2003-04-17,708697680
2003-04-21,712137960
2003-04-22,720738660
2003-04-23,713858100
2003-04-24,722458800
2003-04-25,709557750
2003-04-28,731919570
2003-04-29,715578240
2003-04-30,712137960
2003-05-01,723318870
2003-05-02,737079990
2003-05-05,723318870
2003-05-06,749120970
2003-05-07,729339360
2003-05-08,729339360
2003-05-09,755141460
2003-05-12,766322370
2003-05-13,750841110
2003-05-14,752561250
2003-05-15,756861600
2003-05-16,752561250
2003-05-19,744820620
2003-05-20,743100480
2003-05-21,748260899
2003-05-22,741380339
2003-05-23,749981040
2003-05-27,770622720
2003-05-28,768902580
2003-05-29,765462300
2003-05-30,791264399
2003-06-02,809325870
2003-06-03,811906080
2003-06-04,822226920
2003-06-05,822226920
2003-06-06,825667200
2003-06-09,813626220
2003-06-10,827387339
2003-06-11,843728670
2003-06-12,842868600
2003-06-13,846308880
2003-06-16,860930070
2003-06-17,850609230
2003-06-18,782663700
2003-06-19,762882089
2003-06-20,737079990
2003-06-23,731919570
2003-06-24,727619220
2003-06-25,730199430
2003-06-26,725039010
2003-06-27,709557750
2003-06-30,710417820
2003-07-01,714718170
2003-07-02,730199430
2003-07-03,740520270
2003-07-07,739660200
2003-07-08,755141460
2003-07-09,738800130
2003-07-10,720738660
2003-07-11,739660200
2003-07-14,737079990
2003-07-15,729339360
2003-07-16,716438310
2003-07-17,725039010
2003-07-18,743100480
2003-07-21,728479290
2003-07-22,737940060
2003-07-23,745680690
2003-07-24,756861600
2003-07-25,775783140
2003-07-28,753421320
2003-07-29,778363350
2003-07-30,758581740
2003-07-31,779223420
2003-08-01,762022020
2003-08-04,763742160
2003-08-05,753421320
2003-08-06,739660200
2003-08-07,746540760
2003-08-08,756861600
2003-08-11,760301880
2003-08-12,772342860
2003-08-13,765462300
2003-08-14,776643210
2003-08-15,782663700
2003-08-18,790404330
2003-08-19,800725170
2003-08-20,804165450
2003-08-21,802445310
2003-08-22,794704680
2003-08-25,792984540
2003-08-26,790404330
2003-08-27,783523770
2003-08-28,790404330
2003-08-29,800725170
2003-09-02,807627380
2003-09-03,814515460
2003-09-04,779214050
2003-09-05,772325970
2003-09-08,789546170
2003-09-09,783519100
2003-09-10,768881930
2003-09-11,763715869
2003-09-12,768881930
2003-09-15,759410820
2003-09-16,753383750
2003-09-17,698279110
2003-09-18,692252039
2003-09-19,692252039
2003-09-22,682780930
2003-09-23,671587800
2003-09-24,680197900
2003-09-25,669004770
2003-09-26,662116690
2003-09-29,671587800
2003-09-30,666421740
2003-10-01,689669010
2003-10-02,698279110
2003-10-03,713777289
2003-10-06,708611230
2003-10-07,709472240
2003-10-08,720665369
2003-10-09,716360320
2003-10-10,720665369
2003-10-13,743051630
2003-10-14,745634660
2003-10-15,747356680
2003-10-16,761132840
2003-10-17,749078699
2003-10-20,745634660
2003-10-21,743912640
2003-10-22,732719510
2003-10-23,723248400
2003-10-24,723248400
2003-10-27,735302539
2003-10-28,750800720
2003-10-29,755966780
2003-10-30,757688800
2003-10-31,774047990
2003-11-03,762854860
2003-11-04,747356680
2003-11-05,739607590
2003-11-06,745634660
2003-11-07,739607590
2003-11-10,722387390
2003-11-11,727553449
2003-11-12,735302539
2003-11-13,730997490
2003-11-14,725831430
2003-11-17,724109410
2003-11-18,730997490
2003-11-19,723248400
2003-11-20,720665369
2003-11-21,727553449
2003-11-24,726692440
2003-11-25,743912640
2003-11-26,760271830
2003-11-28,760271830
2003-12-01,782910840
2003-12-02,776861860
2003-12-03,777726000
2003-12-04,794144660
2003-12-05,792416380
2003-12-08,839944080
2003-12-09,845128920
2003-12-10,853770320
2003-12-11,863275860
2003-12-12,871053120
2003-12-15,866732420
2003-12-16,843400640
2003-12-17,881422799
2003-12-18,929814640
2003-12-19,947097440
2003-12-22,956602980
2003-12-23,964380240
2003-12-24,945369160
2003-12-26,952282280
2003-12-29,961787820
2003-12-30,959195400
2003-12-31,960059540
2004-01-02,952282280
2004-01-05,959195400
2004-01-06,955738840
2004-01-07,929814640
2004-01-08,945369160
2004-01-09,921173240
2004-01-12,910803559
2004-01-13,911667700
2004-01-14,900433880
2004-01-15,908211140
2004-01-16,889200059
2004-01-20,916852540
2004-01-21,932407059
2004-01-22,932407059
2004-01-23,921173240
2004-01-26,922901520
2004-01-27,928086360
2004-01-28,895249040
2004-01-29,872781400
2004-01-30,870188980
2004-02-02,865868280
2004-02-03,863275860
2004-02-04,848585480
2004-02-05,846857200
2004-02-06,865868280
2004-02-09,872781400
2004-02-10,868460700
2004-02-11,892656620
2004-02-12,896113179
2004-02-13,892656620
2004-02-17,890064200
2004-02-18,906482860
2004-02-19,895249040
2004-02-20,890928340
2004-02-23,895249040
2004-02-24,914260120
2004-02-25,911667700
2004-02-26,920309100
2004-02-27,922901520
2004-03-01,955580480
2004-03-02,940758519
2004-03-03,943374160
2004-03-04,945117920
2004-03-05,943374160
2004-03-08,931167840
2004-03-09,933783480
2004-03-10,928552200
2004-03-11,917217760
2004-03-12,933783480
2004-03-15,926808440
2004-03-16,931167840
2004-03-17,973018080
2004-03-18,972146200
2004-03-19,986968160
2004-03-22,988711920
2004-03-23,987840040
2004-03-24,995686960
2004-03-25,988711920
2004-03-26,1002662000
2004-03-29,1016612080
2004-03-30,1030562160
2004-03-31,1030562160
2004-04-01,1019227720
2004-04-02,1037537200
2004-04-05,1041024720
2004-04-06,1035793440
2004-04-07,1034049680
2004-04-08,1028818400
2004-04-12,1029690280
2004-04-13,1020971480
2004-04-14,1006149519
2004-04-15,1021843360
2004-04-16,1027946519
2004-04-19,1023587120
2004-04-20,1013124559
2004-04-21,1006149519
2004-04-22,1032305920
2004-04-23,1021843360
2004-04-26,1023587120
2004-04-27,1020971480
2004-04-28,999174480
2004-04-29,981736880
2004-04-30,970402440
2004-05-03,959068000
2004-05-04,986096280
2004-05-05,981736880
2004-05-06,984352519
2004-05-07,933783480
2004-05-10,920705280
2004-05-11,939886640
2004-05-12,939014760
2004-05-13,952092960
2004-05-14,943374160
2004-05-17,913730240
2004-05-18,935527240
2004-05-19,933783480
2004-05-20,952092960
2004-05-21,963427400
2004-05-24,974761840
2004-05-25,991327559
2004-05-26,1011380800
2004-05-27,1028818400
2004-05-28,1028818400
2004-06-01,1032305920
2004-06-02,1027946519
2004-06-03,1027946519
2004-06-04,1038409080
2004-06-07,1063693599
2004-06-08,1067181120
2004-06-09,1056718559
2004-06-10,1068924880
2004-06-14,1052359160
2004-06-15,1074156160
2004-06-16,1067181120
2004-06-17,1075899920
2004-06-18,1085490600
2004-06-21,1089850000
2004-06-22,1098568800
2004-06-23,1088106240
2004-06-24,1095953160
2004-06-25,1094209400
2004-06-28,1085490600
2004-06-29,1082874960
2004-06-30,1103800080
2004-07-01,1078515560
2004-07-02,1075028040
2004-07-06,1065437360
2004-07-07,1089850000
2004-07-08,1067181120
2004-07-09,1079387440
2004-07-12,1067181120
2004-07-13,1084618720
2004-07-14,1085490600
2004-07-15,1078515560
2004-07-16,1090721880
2004-07-19,1096825040
2004-07-20,1106415720
2004-07-21,1088978120
2004-07-22,1069796760
2004-07-23,1052359160
2004-07-26,1035793440
2004-07-27,1056718559
2004-07-28,1075899920
2004-07-29,1096825040
2004-07-30,1101184440
2004-08-02,1095953160
2004-08-03,1079387440
2004-08-04,1064565480
2004-08-05,1037537200
2004-08-06,1000918240
2004-08-09,1020971480
2004-08-10,1045384120
2004-08-11,1044512240
2004-08-12,1009637040
2004-08-13,1030562160
2004-08-16,1051487280
2004-08-17,1050615400
2004-08-18,1068924880
2004-08-19,1077643680
2004-08-20,1077643680
2004-08-23,1048871640
2004-08-24,1051487280
2004-08-25,1052359160
2004-08-26,1055846680
2004-08-27,1080259320
2004-08-30,1081131200
2004-08-31,1099181160
2004-09-01,1121094660
2004-09-02,1128983520
2004-09-03,1121971200
2004-09-07,1142131620
2004-09-08,1116711960
2004-09-09,1153526640
2004-09-10,1124600820
2004-09-13,1123724280
2004-09-14,1115835420
2004-09-15,1115835420
2004-09-16,1128106980
2004-09-17,1121094660
2004-09-20,1118465040
2004-09-21,1119341580
2004-09-22,1043959140
2004-09-23,1050971460
2004-09-24,1108823100
2004-09-27,1099181160
2004-09-28,1143884700
2004-09-29,1129860060
2004-09-30,1153526640
2004-10-01,1157032800
2004-10-04,1189464780
2004-10-05,1221896760
2004-10-06,1227156000
2004-10-07,1203489420
2004-10-08,1177193220
2004-10-11,1178946300
2004-10-12,1137748920
2004-10-13,1080773820
2004-10-14,1084279980
2004-10-15,1094798460
2004-10-18,1081650360
2004-10-19,1051848000
2004-10-20,1072884960
2004-10-21,1095675000
2004-10-22,1067625720
2004-10-25,1067625720
2004-10-26,1080773820
2004-10-27,1080773820
2004-10-28,1056230700
2004-10-29,1072884960
2004-11-01,1076391120
2004-11-02,1079020740
2004-11-03,1094798460
2004-11-04,1149143940
2004-11-05,1128106980
2004-11-08,1131613140
2004-11-09,1156156260
2004-11-10,1143008160
2004-11-11,1148267400
2004-11-12,1164045120
2004-11-15,1151773560
2004-11-16,1137748920
2004-11-17,1140378540
2004-11-18,1140378540
2004-11-19,1124600820
2004-11-22,1147390860
2004-11-23,1135995840
2004-11-24,1150897020
2004-11-26,1179822840
2004-11-29,1160538960
2004-11-30,1164771660
2004-12-01,1163014840
2004-12-02,1133148900
2004-12-03,1134905720
2004-12-06,1119972750
2004-12-07,1105039780
2004-12-08,1087471580
2004-12-09,1066389740
2004-12-10,1076930660
2004-12-13,1089228400
2004-12-14,1069024970
2004-12-15,1072538610
2004-12-16,1110310240
2004-12-17,1045307900
2004-12-20,1039159030
2004-12-21,1059362460
2004-12-22,1067268150
2004-12-23,1068146560
2004-12-27,1072538610
2004-12-28,1077809070
2004-12-29,1077809070
