,TMO
2000-05-03,2582097900
2000-05-04,2624222760
2000-05-05,2683509600
2000-05-08,2591458980
2000-05-09,2532172140
2000-05-10,2422959540
2000-05-11,2515010160
2000-05-12,2507209260
2000-05-15,2507209260
2000-05-16,2566496100
2000-05-17,2566496100
2000-05-18,2591458980
2000-05-19,2524371240
2000-05-22,2524371240
2000-05-23,2490047280
2000-05-24,2432320620
2000-05-25,2447922420
2000-05-26,2405797560
2000-05-30,2499408360
2000-05-31,2490047280
2000-06-01,2574297000
2000-06-02,2607060780
2000-06-05,2582097900
2000-06-06,2574297000
2000-06-07,2591458980
2000-06-08,2539973040
2000-06-09,2532172140
2000-06-12,2515010160
2000-06-13,2507209260
2000-06-14,2499408360
2000-06-15,2490047280
2000-06-16,2422959540
2000-06-19,2532172140
2000-06-20,2557135020
2000-06-21,2624222760
2000-06-22,2549334120
2000-06-23,2591458980
2000-06-26,2741236260
2000-06-27,2892573720
2000-06-28,2917536600
2000-06-29,2859809939
2000-06-30,2825485980
2000-07-03,3318945080
2000-07-05,3347101560
2000-07-06,3537157800
2000-07-07,3556515380
2000-07-10,3632185920
2000-07-11,3556515380
2000-07-12,3413973199
2000-07-13,3498442640
2000-07-14,3537157800
2000-07-17,3470286160
2000-07-18,3528358900
2000-07-19,3470286160
2000-07-20,3517800219
2000-07-21,3394615620
2000-07-24,3262632120
2000-07-25,3271431020
2000-07-26,3120089940
2000-07-27,3091933460
2000-07-28,3091933460
2000-07-31,3139447520
2000-08-01,3225676739
2000-08-02,3452688360
2000-08-03,3366459140
2000-08-04,3405174300
2000-08-07,3290788600
2000-08-08,3290788600
2000-08-09,3206319160
2000-08-10,3150006199
2000-08-11,3111291040
2000-08-14,3120089940
2000-08-15,3091933460
2000-08-16,3035620500
2000-08-17,3195760480
2000-08-18,3206319160
2000-08-21,3310146180
2000-08-22,3509001320
2000-08-23,3470286160
2000-08-24,3452688360
2000-08-25,3480844840
2000-08-28,3498442640
2000-08-29,3489643739
2000-08-30,3480844840
2000-08-31,3517800219
2000-09-01,3593470760
2000-09-05,3621627239
2000-09-06,3632185920
2000-09-07,3649783719
2000-09-08,3517800219
2000-09-11,3574113180
2000-09-12,3669141300
2000-09-13,3621627239
2000-09-14,3783527000
2000-09-15,3906711600
2000-09-18,3952465880
2000-09-19,3792325900
2000-09-20,3820482380
2000-09-21,3820482380
2000-09-22,3772968320
2000-09-25,3867996440
2000-09-26,3991181040
2000-09-27,3906711600
2000-09-28,4075650480
2000-09-29,3934868080
2000-10-02,4362944160
2000-10-03,4295287440
2000-10-04,4225802160
2000-10-05,4264201920
2000-10-06,4156316880
2000-10-09,4176431040
2000-10-10,4147174080
2000-10-11,4048431840
2000-10-12,4205688000
2000-10-13,4176431040
2000-10-16,4205688000
2000-10-17,4127059920
2000-10-18,3980775120
2000-10-19,4117917120
2000-10-20,4117917120
2000-10-23,4097802960
2000-10-24,4106945760
2000-10-25,3949689600
2000-10-26,3832661760
2000-10-27,3812547600
2000-10-30,3980775120
2000-10-31,4560428640
2000-11-01,4490943360
2000-11-02,4531171680
2000-11-03,4560428640
2000-11-06,4578714240
2000-11-07,4618942560
2000-11-08,4677456480
2000-11-09,4706713440
2000-11-10,4598828400
2000-11-13,4403172480
2000-11-14,4531171680
2000-11-15,4589685600
2000-11-16,4569571440
2000-11-17,4511057520
2000-11-20,4403172480
2000-11-21,4362944160
2000-11-22,4324544400
2000-11-24,4333687200
2000-11-27,4540314480
2000-11-28,4461686400
2000-11-29,4618942560
2000-11-30,4560428640
2000-12-01,4697570640
2000-12-04,4728656160
2000-12-05,4796312880
2000-12-06,4673799360
2000-12-07,4695742080
2000-12-08,4865798160
2000-12-11,4889569440
2000-12-12,4825569840
2000-12-13,4688427840
2000-12-14,4522028880
2000-12-15,4540314480
2000-12-18,4675627920
2000-12-19,4708542000
2000-12-20,4540314480
2000-12-21,4598828400
2000-12-22,4591514160
2000-12-26,4639056720
2000-12-27,4673799360
2000-12-28,4622599680
2000-12-29,4677456480
2001-01-02,4560428640
2001-01-03,4511057520
2001-01-04,4564085760
2001-01-05,4346487120
2001-01-08,4269687600
2001-01-09,4150831200
2001-01-10,4213002240
2001-01-11,4428772320
2001-01-12,4405001040
2001-01-16,4403172480
2001-01-17,4403172480
2001-01-18,4386715440
2001-01-19,4196545200
2001-01-22,4355629920
2001-01-23,4267859040
2001-01-24,4331858640
2001-01-25,4335515760
2001-01-26,4351972800
2001-01-29,4401343920
2001-01-30,4593342720
2001-01-31,4662828000
2001-02-01,4646370960
2001-02-02,4717684800
2001-02-05,4695742080
2001-02-06,4741456080
2001-02-07,4730484720
2001-02-08,4796312880
2001-02-09,4693913520
2001-02-12,4673799360
2001-02-13,4715856240
2001-02-14,4589685600
2001-02-15,4653685200
2001-02-16,4600656960
2001-02-20,4655513760
2001-02-21,4494600480
2001-02-22,4245916320
2001-02-23,4245916320
2001-02-26,4509228960
2001-02-27,4492771920
2001-02-28,4386715440
2001-03-01,4277001840
2001-03-02,4264201920
2001-03-05,4417800960
2001-03-06,4383058320
2001-03-07,4408658160
2001-03-08,4403172480
2001-03-09,4260544800
2001-03-12,4106945760
2001-03-13,3986260800
2001-03-14,3775976399
2001-03-15,3803404800
2001-03-16,3562034880
2001-03-19,3450492720
2001-03-20,3353579040
2001-03-21,3271293840
2001-03-22,3121351920
2001-03-23,3370036080
2001-03-26,3538263600
2001-03-27,3459635520
2001-03-28,3474264000
2001-03-29,3521806560
2001-03-30,3534606479
2001-04-02,3436401760
2001-04-03,3274752840
2001-04-04,3425504080
2001-04-05,3568990199
2001-04-06,3481808760
2001-04-09,3521766920
2001-04-10,3327424960
2001-04-11,3280201680
2001-04-12,3323792400
2001-04-16,3287466800
2001-04-17,3389178480
2001-04-18,3583520440
2001-04-19,3612580920
2001-04-20,3552643680
2001-04-23,3507236680
2001-04-24,3527215760
2001-04-25,3550827400
2001-04-26,3627111160
2001-04-27,3814188000
2001-04-30,4117506760
2001-05-01,4150199800
2001-05-02,4215585880
2001-05-03,3997632280
2001-05-04,4097527680
2001-05-07,4101160239
2001-05-08,4162913760
2001-05-09,4093895120
2001-05-10,4155648640
2001-05-11,4048488120
2001-05-14,3992183440
2001-05-15,4015795080
2001-05-16,4072099760
2001-05-17,4224667280
2001-05-18,4353623160
2001-05-21,4435355760
2001-05-22,4444437160
2001-05-23,4362704560
2001-05-24,4373602240
2001-05-25,4386316200
2001-05-29,4462599960
2001-05-30,4342725480
2001-05-31,4359072000
2001-06-01,4380867360
2001-06-04,4382683640
2001-06-05,4424458080
2001-06-06,4371785960
2001-06-07,4284604520
2001-06-08,4199239360
2001-06-11,4152016080
2001-06-12,4041223000
2001-06-13,4082997440
2001-06-14,3999448560
2001-06-15,3905002000
2001-06-18,3885022920
2001-06-19,3766964719
2001-06-20,3739720520
2001-06-21,3670701880
2001-06-22,3592601840
2001-06-25,3460013400
2001-06-26,3420055239
2001-06-27,3401892440
2001-06-28,3400076160
2001-06-29,3438218040
2001-07-02,3464981600
2001-07-03,3412700400
2001-07-05,3464981600
2001-07-06,3373038800
2001-07-09,3302729600
2001-07-10,3255856800
2001-07-11,3205378400
2001-07-12,3333377199
2001-07-13,3365827600
2001-07-16,3176533600
2001-07-17,3136871999
2001-07-18,3335180000
2001-07-19,3288307199
2001-07-20,3217998000
2001-07-23,3311743600
2001-07-24,3380250000
2001-07-25,3178336400
2001-07-26,3293715600
2001-07-27,3421714400
2001-07-30,3490220800
2001-07-31,3535290800
2001-08-01,3522671200
2001-08-02,3538896400
2001-08-03,3479404000
2001-08-06,3441545200
2001-08-07,3391066800
2001-08-08,3255856800
2001-08-09,3333377199
2001-08-10,3437939600
2001-08-13,3437939600
2001-08-14,3385658400
2001-08-15,3322560400
2001-08-16,3324363200
2001-08-17,3320757600
2001-08-20,3324363200
2001-08-21,3281096000
2001-08-22,3284701600
2001-08-23,3320757600
2001-08-24,3441545200
2001-08-27,3437939600
2001-08-28,3452361999
2001-08-29,3470390000
2001-08-30,3473995600
2001-08-31,3497431999
2001-09-04,3488418000
2001-09-05,3506446000
2001-09-06,3412700400
2001-09-07,3400080800
2001-09-10,3418108800
2001-09-17,3259462399
2001-09-18,3241434400
2001-09-19,3122449600
2001-09-20,2913324800
2001-09-21,2805156800
2001-09-24,2886282800
2001-09-25,2907916400
2001-09-26,2806959600
2001-09-27,2841212800
2001-09-28,2913324800
2001-10-01,2786257500
2001-10-02,2815880000
2001-10-03,2925657500
2001-10-04,3042405000
2001-10-05,3096422500
2001-10-08,3026722500
2001-10-09,2986645000
2001-10-10,3227110000
2001-10-11,3295067500
2001-10-12,3246277500
2001-10-15,3253247500
2001-10-16,3324689999
2001-10-17,3268930000
2001-10-18,3126045000
2001-10-19,3139985000
2001-10-22,3291582500
2001-10-23,3275900000
2001-10-24,3258475000
2001-10-25,3228852500
2001-10-26,3471060000
2001-10-29,3343857500
2001-10-30,3261960000
2001-10-31,3298552500
2001-11-01,3422270000
2001-11-02,3399617500
2001-11-05,3479772500
2001-11-06,3498939999
2001-11-07,3488485000
2001-11-08,3505910000
2001-11-09,3544245000
2001-11-12,3582580000
2001-11-13,3695842500
2001-11-14,3708040000
2001-11-15,3753345000
2001-11-16,3861380000
2001-11-19,3897972500
2001-11-20,3857895000
2001-11-21,3845697500
2001-11-23,3871835000
2001-11-26,3899715000
2001-11-27,3887517500
2001-11-28,3859637499
2001-11-29,3894487500
2001-11-30,3781225000
2001-12-03,3744632499
2001-12-04,3894487500
2001-12-05,4072222500
2001-12-06,3971157500
2001-12-07,3985097500
2001-12-10,3897972500
2001-12-11,3889260000
2001-12-12,3849182500
2001-12-13,3868350000
2001-12-14,3849182500
2001-12-17,3850925000
2001-12-18,3920625000
2001-12-19,3955475000
2001-12-20,3955475000
2001-12-21,4009492500
2001-12-24,4032145000
2001-12-26,4066995000
2001-12-27,4098360000
2001-12-28,4124497500
2001-12-31,4157605000
2002-01-02,4094875000
2002-01-03,4183742500
2002-01-04,4188970000
2002-01-07,4227305000
2002-01-08,4246472500
2002-01-09,4058282500
2002-01-10,4007750000
2002-01-11,4002522500
2002-01-14,4033887499
2002-01-15,4019947500
2002-01-16,3922367500
2002-01-17,3972900000
2002-01-18,3922367500
2002-01-22,3948505000
2002-01-23,4009492500
2002-01-24,3943277500
2002-01-25,3938050000
2002-01-28,3931080000
2002-01-29,3814332500
2002-01-30,3755087500
2002-01-31,3826530000
2002-02-01,3802135000
2002-02-04,3694100000
2002-02-05,3659250000
2002-02-06,3542502499
2002-02-07,3521592500
2002-02-08,3491970000
2002-02-11,3671447500
2002-02-12,3676675000
2002-02-13,3683645000
2002-02-14,3603490000
2002-02-15,3580837500
2002-02-19,3425755000
2002-02-20,3404845000
2002-02-21,3363025000
2002-02-22,3389162500
2002-02-25,3387420000
2002-02-26,3397875000
2002-02-27,3551215000
2002-02-28,3545987500
2002-03-01,3425755000
2002-03-04,3504167500
2002-03-05,3511137499
2002-03-06,3638340000
2002-03-07,3565155000
2002-03-08,3650537500
2002-03-11,3598262499
2002-03-12,3512880000
2002-03-13,3523335000
2002-03-14,3519850000
2002-03-15,3504167500
2002-03-18,3523335000
2002-03-19,3554699999
2002-03-20,3552957500
2002-03-21,3608717500
2002-03-22,3612202500
2002-03-25,3617430000
2002-03-26,3612202500
2002-03-27,3615687500
2002-03-28,3612202500
2002-04-01,3506289779
2002-04-02,3448108299
2002-04-03,3468642940
2002-04-04,3525113200
2002-04-05,3502867340
2002-04-08,3499444900
2002-04-09,3484043920
2002-04-10,3502867340
2002-04-11,3415595120
2002-04-12,3338590220
2002-04-15,3345435100
2002-04-16,3395060480
2002-04-17,3294098500
2002-04-18,3383081940
2002-04-19,3424151220
2002-04-22,3377948279
2002-04-23,3381370720
2002-04-24,3377948279
2002-04-25,3276986299
2002-04-26,3205115060
2002-04-29,3253029220
2002-04-30,3234205799
2002-05-01,3251318000
2002-05-02,3241050680
2002-05-03,3165757000
2002-05-06,3153778460
2002-05-07,3167468220
2002-05-08,3283831180
2002-05-09,3278697520
2002-05-10,3220516040
2002-05-13,3174313100
2002-05-14,3229072140
2002-05-15,3237628240
2002-05-16,3330034120
2002-05-17,3331745340
2002-05-20,3347146320
2002-05-21,3266718980
2002-05-22,3222227259
2002-05-23,3242761900
2002-05-24,3177735540
2002-05-28,3220516040
2002-05-29,3169179440
2002-05-30,3140088700
2002-05-31,3141799920
2002-06-03,2998057440
2002-06-04,3044260380
2002-06-05,3030570620
2002-06-06,3028859400
2002-06-07,3013458420
2002-06-10,3028859400
2002-06-11,2950143279
2002-06-12,2891961799
2002-06-13,2821801779
2002-06-14,2842336420
2002-06-17,2869715940
2002-06-18,2905651560
2002-06-19,2849181299
2002-06-20,2794422259
2002-06-21,2779021279
2002-06-24,2737952000
2002-06-25,2785866160
2002-06-26,2719128580
2002-06-27,2669503200
2002-06-28,2823513000
2002-07-01,2681042180
2002-07-02,2586592610
2002-07-03,2584935600
2002-07-05,2732409489
2002-07-08,2614761780
2002-07-09,2556766430
2002-07-10,2526940250
2002-07-11,2618075800
2002-07-12,2601505700
2002-07-15,2563394470
2002-07-16,2551795400
2002-07-17,2603162710
2002-07-18,2593220650
2002-07-19,2518655200
2002-07-22,2420891610
2002-07-23,2402664500
2002-07-24,2574993540
2002-07-25,2512027160
2002-07-26,2611447760
2002-07-29,2783776800
2002-07-30,2773834739
2002-07-31,2813602980
2002-08-01,2815259989
2002-08-02,2722467430
2002-08-05,2619732810
2002-08-06,2747322579
2002-08-07,2715839390
2002-08-08,2836801120
2002-08-09,2820231020
2002-08-12,2813602980
2002-08-13,2730752480
2002-08-14,2803660920
2002-08-15,2816917000
2002-08-16,2858342250
2002-08-19,2863313280
2002-08-20,2848400190
2002-08-21,2909709560
2002-08-22,2949477800
2002-08-23,2899767500
2002-08-26,2878226370
2002-08-27,2931250690
2002-08-28,2898110489
2002-08-29,2903081520
2002-08-30,2946163780
2002-09-03,2846743180
2002-09-04,2881540390
2002-09-05,2810288960
2002-09-06,2871598329
2002-09-09,2850057200
2002-09-10,2879883380
2002-09-11,2891482450
2002-09-12,2803660920
2002-09-13,2816917000
2002-09-16,2775491750
2002-09-17,2783776800
2002-09-18,2747322579
2002-09-19,2684356200
2002-09-20,2740694540
2002-09-23,2732409489
2002-09-24,2624703840
2002-09-25,2750636600
2002-09-26,2740694540
2002-09-27,2695955270
2002-09-30,2626673720
2002-10-01,2747178280
2002-10-02,2678783800
2002-10-03,2654357200
2002-10-04,2524082000
2002-10-07,2473600360
2002-10-08,2528967320
2002-10-09,2532224200
2002-10-10,2607132440
2002-10-11,2717866360
2002-10-14,2732522320
2002-10-15,2869311280
2002-10-16,2817201200
2002-10-17,2787889280
2002-10-18,2768348000
2002-10-21,2867682840
2002-10-22,2809059000
2002-10-23,3009357120
2002-10-24,2952361720
2002-10-25,3048439680
2002-10-28,3063095640
2002-10-29,2984930519
2002-10-30,3024013080
2002-10-31,2994701160
2002-11-01,3076123160
2002-11-04,3138003880
2002-11-05,3146146080
2002-11-06,3186857080
2002-11-07,3206398360
2002-11-08,3118462600
2002-11-11,3045182800
2002-11-12,3110320400
2002-11-13,3103806640
2002-11-14,3188485519
2002-11-15,3243852480
2002-11-18,3191742400
2002-11-19,3133118559
2002-11-20,3175458000
2002-11-21,3269907519
2002-11-22,3139632320
2002-11-25,3221054320
2002-11-26,3146146080
2002-11-27,3217797440
2002-11-29,3190113960
2002-12-02,3232453400
2002-12-03,3232453400
2002-12-04,3181971760
2002-12-05,3183600200
2002-12-06,3191742400
2002-12-09,3144517640
2002-12-10,3235710280
2002-12-11,3273164400
2002-12-12,3253623120
2002-12-13,3053325000
2002-12-16,3152659840
2002-12-17,3170572680
2002-12-18,3154288280
2002-12-19,3152659840
2002-12-20,3256880000
2002-12-23,3256880000
2002-12-24,3250366240
2002-12-26,3341558880
2002-12-27,3256880000
2002-12-30,3240595600
2002-12-31,3276421280
2003-01-02,3318760720
2003-01-03,3248737800
2003-01-06,3253623120
2003-01-07,3235710280
2003-01-08,3178714880
2003-01-09,3214540559
2003-01-10,3229196519
2003-01-13,3243852480
2003-01-14,3199884600
2003-01-15,3149402960
2003-01-16,3128233240
2003-01-17,3092407559
2003-01-21,2999586480
2003-01-22,2984930519
2003-01-23,3035412160
2003-01-24,2981673640
2003-01-27,2978416760
2003-01-28,3040297480
2003-01-29,3015870880
2003-01-30,2896994760
2003-01-31,2958875480
2003-02-03,2963760800
2003-02-04,2870939720
2003-02-05,2896994760
2003-02-06,2890481000
2003-02-07,2866054400
2003-02-10,2921421360
2003-02-11,2911650720
2003-02-12,2851398440
2003-02-13,2849770000
2003-02-14,2849770000
2003-02-18,2929563559
2003-02-19,2890481000
2003-02-20,2890481000
2003-02-21,2911650720
2003-02-24,2836742480
2003-02-25,2843256240
2003-02-26,2807430559
2003-02-27,2831857160
2003-02-28,2866054400
2003-03-03,2874196600
2003-03-04,2880710360
2003-03-05,2919792920
2003-03-06,2898623200
2003-03-07,2955618600
2003-03-10,2892109440
2003-03-11,2818829640
2003-03-12,2771604880
2003-03-13,2869311280
2003-03-14,2931192000
2003-03-17,3064724080
2003-03-18,3081008480
2003-03-19,3028898400
2003-03-20,3028898400
2003-03-21,3076123160
2003-03-24,2958875480
2003-03-25,2986558960
2003-03-26,2958875480
2003-03-27,2957247040
2003-03-28,2947476400
2003-03-31,2933068800
2003-04-01,2950894080
2003-04-02,2989785600
2003-04-03,2949273600
2003-04-04,2937930240
2003-04-07,2968719360
2003-04-08,2944412160
2003-04-09,2934689280
2003-04-10,2976821760
2003-04-11,2968719360
2003-04-14,3041640960
2003-04-15,3106460160
2003-04-16,3101598720
2003-04-17,3132387839
2003-04-21,3130767360
2003-04-22,3215032320
2003-04-23,3236098560
2003-04-24,2916864000
2003-04-25,2847183360
2003-04-28,2894177280
2003-04-29,2949273600
2003-04-30,2944412160
2003-05-01,2965478400
2003-05-02,3038400000
2003-05-05,3023815680
2003-05-06,3010851839
2003-05-07,2996267519
2003-05-08,2983303680
2003-05-09,3046502400
2003-05-12,3065948160
2003-05-13,3057845760
2003-05-14,3014092800
2003-05-15,3087014400
2003-05-16,3125905920
2003-05-19,3051363839
2003-05-20,3103219200
2003-05-21,3116183040
2003-05-22,3182622720
2003-05-23,3253923839
2003-05-27,3320363519
2003-05-28,3343050240
2003-05-29,3330086400
2003-05-30,3419212800
2003-06-02,3435417600
2003-06-03,3500236800
2003-06-04,3561815040
2003-06-05,3490513920
2003-06-06,3479170560
2003-06-09,3469447680
2003-06-10,3526164480
2003-06-11,3623393280
2003-06-12,3597465600
2003-06-13,3610429440
2003-06-16,3615290880
2003-06-17,3621772800
2003-06-18,3613670400
2003-06-19,3527784960
2003-06-20,3563435519
2003-06-23,3441899519
2003-06-24,3415971839
2003-06-25,3412730880
2003-06-26,3490513920
2003-06-27,3471068160
2003-06-30,3416401620
2003-07-01,3484664640
2003-07-02,3531798630
2003-07-03,3479788710
2003-07-07,3557803590
2003-07-08,3549677040
2003-07-09,3539925180
2003-07-10,3486289950
2003-07-11,3494416500
2003-07-14,3487915260
2003-07-15,3461910300
2003-07-16,3455409060
2003-07-17,3413151000
2003-07-18,3453783750
2003-07-21,3432654720
2003-07-22,3526922700
2003-07-23,3626066610
2003-07-24,3616314750
2003-07-25,3624441300
2003-07-28,3629317229
2003-07-29,3596811030
2003-07-30,3575682000
2003-07-31,3616314750
2003-08-01,3632567850
2003-08-04,3604937580
2003-08-05,3520421460
2003-08-06,3497667120
2003-08-07,3515545530
2003-08-08,3481414020
2003-08-11,3497667120
2003-08-12,3567555450
2003-08-13,3556178280
2003-08-14,3543175800
2003-08-15,3526922700
2003-08-18,3575682000
2003-08-19,3613064130
2003-08-20,3666699360
2003-08-21,3757716720
2003-08-22,3689453700
2003-08-25,3678076530
2003-08-26,3673200600
2003-08-27,3678076530
2003-08-28,3656947500
2003-08-29,3704081490
2003-09-02,3754466100
2003-09-03,3747964860
2003-09-04,3790222920
2003-09-05,3773969820
2003-09-08,3791848229
2003-09-09,3760967340
2003-09-10,3689453700
2003-09-11,3721959900
2003-09-12,3666699360
2003-09-15,3694329630
2003-09-16,3725210520
2003-09-17,3723585210
2003-09-18,3749590170
2003-09-19,3731711760
2003-09-22,3730086450
2003-09-23,3770719200
2003-09-24,3665074050
2003-09-25,3593560410
2003-09-26,3530173320
2003-09-29,3674181439
2003-09-30,3584970200
2003-10-01,3629575820
2003-10-02,3705570580
2003-10-03,3718787060
2003-10-06,3750176200
2003-10-07,3700614400
2003-10-08,3694006160
2003-10-09,3733655600
2003-10-10,3753480320
2003-10-13,3758436500
2003-10-14,3786521520
2003-10-15,3791477700
2003-10-16,3854255979
2003-10-17,3811302420
2003-10-20,3803042120
2003-10-21,3773305040
2003-10-22,3601490800
2003-10-23,3566797540
2003-10-24,3543668700
2003-10-27,3535408400
2003-10-28,3573405780
2003-10-29,3546972820
2003-10-30,3535408400
2003-10-31,3631227880
2003-11-03,3675833500
2003-11-04,3705570580
2003-11-05,3690702040
2003-11-06,3743567960
2003-11-07,3778261220
2003-11-10,3748524140
2003-11-11,3750176200
2003-11-12,3807998300
2003-11-13,3869124520
2003-11-14,3841039500
2003-11-17,3819562720
2003-11-18,3801390060
2003-11-19,3824518900
2003-11-20,3822866840
2003-11-21,3849299800
2003-11-24,3915382200
2003-11-25,3961639880
2003-11-26,3948423400
2003-11-28,3948423400
2003-12-01,3974856360
2003-12-02,3931902800
2003-12-03,3931902800
2003-12-04,3900513660
2003-12-05,3892253360
2003-12-08,3864168340
2003-12-09,3817910660
2003-12-10,3773305040
2003-12-11,3847647740
2003-12-12,4031026400
2003-12-15,3997985200
2003-12-16,4017809920
2003-12-17,3993029020
2003-12-18,4083892320
2003-12-19,4055807300
2003-12-22,4087196439
2003-12-23,4085544380
2003-12-24,4131802060
2003-12-26,4130150000
2003-12-29,4191276220
2003-12-30,4171451500
2003-12-31,4163191200
2004-01-02,4135106180
2004-01-05,4154930900
2004-01-06,4191276220
2004-01-07,4230925660
2004-01-08,4316832780
2004-01-09,4297008060
2004-01-12,4249098320
2004-01-13,4287095700
2004-01-14,4419260500
2004-01-15,4391175480
2004-01-16,4486994960
2004-01-20,4493603200
2004-01-21,4539860880
2004-01-22,4596030920
2004-01-23,4584466500
2004-01-26,4663765380
2004-01-27,4625768000
2004-01-28,4597682980
2004-01-29,4586118560
2004-01-30,4604291220
2004-02-02,4546469120
2004-02-03,4634028300
2004-02-04,4667069500
2004-02-05,4559685600
2004-02-06,4681938040
2004-02-09,4597682980
2004-02-10,4648896840
2004-02-11,4718283360
2004-02-12,4762888980
2004-02-13,4701762760
2004-02-17,4672025680
2004-02-18,4642288600
2004-02-19,4612551520
2004-02-20,4571250020
2004-02-23,4529948520
2004-02-24,4486994960
2004-02-25,4518384100
2004-02-26,4576206200
2004-02-27,4637332420
2004-03-01,4710023060
2004-03-02,4675329800
2004-03-03,4683590100
2004-03-04,4756280740
2004-03-05,4782713700
2004-03-08,4726543660
2004-03-09,4638984480
2004-03-10,4554729420
2004-03-11,4505167620
2004-03-12,4554729420
2004-03-15,4486994960
2004-03-16,4475430540
2004-03-17,4574554140
2004-03-18,4551425300
2004-03-19,4515079980
2004-03-22,4427520800
2004-03-23,4373002820
2004-03-24,4344917800
2004-03-25,4453953760
2004-03-26,4444041400
2004-03-29,4592726800
2004-03-30,4678633920
2004-03-31,4672025680
2004-04-01,4724891600
2004-04-02,4845491980
2004-04-05,4882688790
2004-04-06,4814804680
2004-04-07,4826394650
2004-04-08,4864475980
2004-04-12,4890967340
2004-04-13,4818116100
2004-04-14,4824738940
2004-04-15,4856197430
2004-04-16,4957195740
2004-04-19,4953884320
2004-04-20,4823083230
2004-04-21,4904213020
2004-04-22,5049915500
2004-04-23,5132701000
2004-04-26,5109521060
2004-04-27,4940638640
2004-04-28,4814804680
2004-04-29,4934015800
2004-04-30,4834673200
2004-05-03,4851230300
2004-05-04,4842951750
2004-05-05,4962162870
2004-05-06,4852886010
2004-05-07,4720429210
2004-05-10,4604529510
2004-05-11,4763477670
2004-05-12,4783346190
2004-05-13,4814804680
2004-05-14,4785001900
2004-05-17,4713806370
2004-05-18,4690626430
2004-05-19,4735330600
2004-05-20,4715462080
2004-05-21,4745264860
2004-05-24,4803214710
2004-05-25,4958851450
2004-05-26,5039981240
2004-05-27,5059849760
2004-05-28,5096275380
2004-06-01,5076406860
2004-06-02,5048259790
2004-06-03,4922425830
2004-06-04,4894278760
2004-06-07,4998588490
2004-06-08,4953884320
2004-06-09,4864475980
2004-06-10,4940638640
2004-06-14,4846263170
2004-06-15,4841296040
2004-06-16,4824738940
2004-06-17,4849574590
2004-06-18,4821427520
2004-06-21,4834673200
2004-06-22,4907524440
2004-06-23,5006867040
2004-06-24,4943950060
2004-06-25,4968785710
2004-06-28,4965474290
2004-06-29,4973752840
2004-06-30,5089652540
2004-07-01,4995277070
2004-07-02,4915802990
2004-07-06,4721054220
2004-07-07,4756587300
2004-07-08,4679060580
2004-07-09,4611224700
2004-07-12,4601533860
2004-07-13,4598303580
2004-07-14,4670984880
2004-07-15,4667754600
2004-07-16,4564385640
2004-07-19,4566000780
2004-07-20,4570846200
2004-07-21,4407717060
2004-07-22,4377029400
2004-07-23,4318884360
2004-07-26,4207439700
2004-07-27,4183212600
2004-07-28,4018468320
2004-07-29,4079843640
2004-07-30,4154140080
2004-08-02,4157370359
2004-08-03,4084689060
2004-08-04,4097610180
2004-08-05,4016853180
2004-08-06,3937711320
2004-08-09,3961938420
2004-08-10,3981320100
2004-08-11,3970014119
2004-08-12,3910253940
2004-08-13,3915099359
2004-08-16,3992626080
2004-08-17,4016853180
2004-08-18,4163830920
2004-08-19,4150909800
2004-08-20,4221975960
2004-08-23,4242972780
