,ES
2000-08-30,3274036703
2000-08-31,3265424594
2000-09-01,3229540807
2000-09-05,3248200376
2000-09-06,3301308381
2000-09-07,3301308381
2000-09-08,3360157791
2000-09-11,3437666770
2000-09-12,3427619310
2000-09-13,3364463845
2000-09-14,3309920489
2000-09-15,3393170875
2000-09-18,3319967950
2000-09-19,3274036703
2000-09-20,3274036703
2000-09-21,3248200376
2000-09-22,3345804276
2000-09-25,3166385342
2000-09-26,3193657020
2000-09-27,3114712689
2000-09-28,3149161125
2000-09-29,3114712689
2000-10-02,2972547060
2000-10-03,2910265121
2000-10-04,2822504208
2000-10-05,2804102726
2000-10-06,2830997200
2000-10-09,2839490191
2000-10-10,2804102726
2000-10-11,2795609735
2000-10-12,2795609735
2000-10-13,2822504208
2000-10-16,2874877656
2000-10-17,2910265121
2000-10-18,2874877656
2000-10-19,3061723471
2000-10-20,3007934525
2000-10-23,3026336006
2000-10-24,2707848821
2000-10-25,2627165401
2000-10-26,2689447340
2000-10-27,2733327796
2000-10-30,2787116743
2000-10-31,2884786146
2000-11-01,2920173611
2000-11-02,2893279138
2000-11-03,2839490191
2000-11-06,2822504208
2000-11-07,2724834805
2000-11-08,2716341813
2000-11-09,2733327796
2000-11-10,2778623751
2000-11-13,2743236286
2000-11-14,2672461356
2000-11-15,2697940331
2000-11-16,2787116743
2000-11-17,2857891673
2000-11-20,2866384665
2000-11-21,2849398681
2000-11-22,2751729278
2000-11-24,2830997200
2000-11-27,2884786146
2000-11-28,2972547060
2000-11-29,3070216463
2000-11-30,3051814981
2000-12-01,3051814981
2000-12-04,3051814981
2000-12-05,3051814981
2000-12-06,3070216463
2000-12-07,3203273331
2000-12-08,3282541253
2000-12-11,3255646780
2000-12-12,3167885866
2000-12-13,3211766323
2000-12-14,3211766323
2000-12-15,3184871850
2000-12-18,3193364841
2000-12-19,3247153788
2000-12-20,3220259315
2000-12-21,3238660796
2000-12-22,3282541253
2000-12-26,3299527236
2000-12-27,3299527236
2000-12-28,3370302166
2000-12-29,3432584105
2001-01-02,3390583164
2001-01-03,3309992054
2001-01-04,3184788006
2001-01-05,3166079356
2001-01-08,3220766181
2001-01-09,3301357292
2001-01-10,3282648641
2001-01-11,3220766181
2001-01-12,3265379117
2001-01-16,3220766181
2001-01-17,3246670466
2001-01-18,3274013879
2001-01-19,3364678879
2001-01-22,3274013879
2001-01-23,3301357292
2001-01-24,3301357292
2001-01-25,3309992054
2001-01-26,3328700704
2001-01-29,3309992054
2001-01-30,3266818244
2001-01-31,3249548720
2001-02-01,3259622609
2001-02-02,3294161657
2001-02-05,3308552927
2001-02-06,3309992054
2001-02-07,3308552927
2001-02-08,3324383323
2001-02-09,3417926577
2001-02-12,3338774593
2001-02-13,3223644435
2001-02-14,3230840070
2001-02-15,3288405149
2001-02-16,3252426974
2001-02-20,3266818244
2001-02-21,3202057530
2001-02-22,3166079356
2001-02-23,3079731737
2001-02-26,3108514276
2001-02-27,3026484038
2001-02-28,2935819039
2001-03-01,2820688880
2001-03-02,3036557927
2001-03-05,3022166658
2001-03-06,2705558722
2001-03-07,2671019674
2001-03-08,2620650230
2001-03-09,2633602373
2001-03-12,2633602373
2001-03-13,2647993643
2001-03-14,2548693881
2001-03-15,2601941579
2001-03-16,2591867690
2001-03-19,2604819833
2001-03-20,2578915548
2001-03-21,2541498246
2001-03-22,2489689675
2001-03-23,2417733326
2001-03-26,2532863484
2001-03-27,2540059119
2001-03-28,2547254754
2001-03-29,2518472215
2001-03-30,2501202691
2001-04-02,2343402932
2001-04-03,2350098369
2001-04-04,2330012058
2001-04-05,2323316621
2001-04-06,2330012058
2001-04-09,2417052738
2001-04-10,2457225360
2001-04-11,2437139049
2001-04-12,2463920797
2001-04-16,2431782700
2001-04-17,2430443612
2001-04-18,2434460875
2001-04-19,2425087263
2001-04-20,2423748175
2001-04-23,2430443612
2001-04-24,2450529923
2001-04-25,2450529923
2001-04-26,2443834486
2001-04-27,2443834486
2001-04-30,2390270991
2001-05-01,2343402932
2001-05-02,2346081107
2001-05-03,2410357302
2001-05-04,2422409088
2001-05-07,2410357302
2001-05-08,2411696389
2001-05-09,2421070001
2001-05-10,2396966428
2001-05-11,2403661865
2001-05-14,2430443612
2001-05-15,2437139049
2001-05-16,2443834486
2001-05-17,2470616234
2001-05-18,2486685283
2001-05-21,2508110681
2001-05-22,2504093419
2001-05-23,2569708701
2001-05-24,2584438662
2001-05-25,2564352351
2001-05-29,2546944215
2001-05-30,2528196992
2001-05-31,2576404138
2001-06-01,2608542235
2001-06-04,2600507711
2001-06-05,2592473187
2001-06-06,2569708701
2001-06-07,2573725963
2001-06-08,2557656914
2001-06-11,2597829536
2001-06-12,2627289459
2001-06-13,2615237672
2001-06-14,2599168623
2001-06-15,2601846798
2001-06-18,2615237672
2001-06-19,2621933109
2001-06-20,2658088469
2001-06-21,2639341245
2001-06-22,2655410294
2001-06-25,2664783906
2001-06-26,2678174780
2001-06-27,2691565653
2001-06-28,2686209304
2001-06-29,2778606334
2001-07-02,2768297280
2001-07-03,2770968093
2001-07-05,2776309718
2001-07-06,2769632686
2001-07-09,2770968093
2001-07-10,2725564278
2001-07-11,2724228872
2001-07-12,2705533184
2001-07-13,2714881028
2001-07-16,2717551840
2001-07-17,2670812620
2001-07-18,2617396367
2001-07-19,2666806401
2001-07-20,2670812620
2001-07-23,2590688241
2001-07-24,2550626052
2001-07-25,2610719336
2001-07-26,2612054742
2001-07-27,2589352835
2001-07-30,2650781525
2001-07-31,2670812620
2001-08-01,2644104493
2001-08-02,2644104493
2001-08-03,2664135588
2001-08-06,2646775306
2001-08-07,2697520746
2001-08-08,2693514527
2001-08-09,2710874809
2001-08-10,2704197777
2001-08-13,2690843714
2001-08-14,2692179120
2001-08-15,2685502089
2001-08-16,2704197777
2001-08-17,2700191558
2001-08-20,2680160464
2001-08-21,2677489651
2001-08-22,2610719336
2001-08-23,2577334178
2001-08-24,2604042304
2001-08-27,2604042304
2001-08-28,2610719336
2001-08-29,2577334178
2001-08-30,2570657146
2001-08-31,2604042304
2001-09-04,2642769087
2001-09-05,2644104493
2001-09-06,2657458556
2001-09-07,2660129369
2001-09-10,2661464775
2001-09-17,2644104493
2001-09-18,2644104493
2001-09-19,2604042304
2001-09-20,2550626052
2001-09-21,2497209799
2001-09-24,2537271989
2001-09-25,2490532768
2001-09-26,2443793547
2001-09-27,2481184923
2001-09-28,2501216018
2001-10-01,2484780548
2001-10-02,2480711584
2001-10-03,2491562154
2001-10-04,2537677077
2001-10-05,2549883968
2001-10-08,2577010394
2001-10-09,2579723036
2001-10-10,2610918425
2001-10-11,2434596661
2001-10-12,2414251842
2001-10-15,2403401272
2001-10-16,2414251842
2001-10-17,2387125417
2001-10-18,2346435779
2001-10-19,2346435779
2001-10-22,2346435779
2001-10-23,2361355313
2001-10-24,2320665675
2001-10-25,2327447282
2001-10-26,2326090960
2001-10-29,2366780598
2001-10-30,2384412775
2001-10-31,2393907023
2001-11-01,2448159874
2001-11-02,2430527697
2001-11-05,2437309304
2001-11-06,2441378268
2001-11-07,2427815055
2001-11-08,2435952982
2001-11-09,2448159874
2001-11-12,2438665625
2001-11-13,2426458734
2001-11-14,2416964485
2001-11-15,2438665625
2001-11-16,2421033449
2001-11-19,2414251842
2001-11-20,2400688630
2001-11-21,2438665625
2001-11-23,2435952982
2001-11-26,2441378268
2001-11-27,2441378268
2001-11-28,2430527697
2001-11-29,2414251842
2001-11-30,2359998992
2001-12-03,2305746142
2001-12-04,2343723137
2001-12-05,2339654173
2001-12-06,2324734639
2001-12-07,2343723137
2001-12-10,2339654173
2001-12-11,2305746142
2001-12-12,2305746142
2001-12-13,2298964535
2001-12-14,2303033499
2001-12-17,2305746142
2001-12-18,2304389820
2001-12-19,2357286349
2001-12-20,2339654173
2001-12-21,2330159924
2001-12-24,2343723137
2001-12-26,2349148422
2001-12-27,2346435779
2001-12-28,2385769096
2001-12-31,2283155608
2002-01-02,2331072090
2002-01-03,2315531609
2002-01-04,2331072090
2002-01-07,2328482009
2002-01-08,2305171289
2002-01-09,2345317530
2002-01-10,2305171289
2002-01-11,2292220888
2002-01-14,2280565528
2002-01-15,2305171289
2002-01-16,2324596889
2002-01-17,2347907610
2002-01-18,2385463772
2002-01-22,2356972891
2002-01-23,2371218331
2002-01-24,2380283611
2002-01-25,2367333211
2002-01-28,2373808411
2002-01-29,2346612570
2002-01-30,2364743131
2002-01-31,2345317530
2002-02-01,2344022490
2002-02-04,2353087770
2002-02-05,2356972891
2002-02-06,2334957210
2002-02-07,2340137370
2002-02-08,2356972891
2002-02-11,2344022490
2002-02-12,2344022490
2002-02-13,2362153051
2002-02-14,2373808411
2002-02-15,2366038171
2002-02-19,2372513371
2002-02-20,2371218331
2002-02-21,2407479452
2002-02-22,2408774493
2002-02-25,2406184412
2002-02-26,2389348892
2002-02-27,2423019933
2002-02-28,2380283611
2002-03-01,2421724893
2002-03-04,2451510814
2002-03-05,2467051295
2002-03-06,2473526495
2002-03-07,2473526495
2002-03-08,2468346335
2002-03-11,2457986014
2002-03-12,2438560414
2002-03-13,2454100894
2002-03-14,2467051295
2002-03-15,2473526495
2002-03-18,2490362016
2002-03-19,2485181855
2002-03-20,2476116575
2002-03-21,2486476896
2002-03-22,2477411615
2002-03-25,2464461215
2002-03-26,2490362016
2002-03-27,2546048738
2002-03-28,2573244579
2002-04-01,2567620301
2002-04-02,2555949300
2002-04-03,2553355744
2002-04-04,2575400968
2002-04-05,2567620301
2002-04-08,2567620301
2002-04-09,2542981520
2002-04-10,2567620301
2002-04-11,2561136411
2002-04-12,2574104191
2002-04-15,2570213857
2002-04-16,2605226861
2002-04-17,2619491418
2002-04-18,2606523639
2002-04-19,2645426977
2002-04-22,2659691534
2002-04-23,2624678530
2002-04-24,2588368748
2002-04-25,2565026745
2002-04-26,2536497631
2002-04-29,2548168632
2002-04-30,2593555860
2002-05-01,2565026745
2002-05-02,2565026745
2002-05-03,2579291302
2002-05-06,2575400968
2002-05-07,2580588080
2002-05-08,2590962304
2002-05-09,2592259082
2002-05-10,2561136411
2002-05-13,2651910866
2002-05-14,2667472202
2002-05-15,2607820417
2002-05-16,2596149415
2002-05-17,2600039749
2002-05-20,2609117195
2002-05-21,2585775192
2002-05-22,2625975308
2002-05-23,2645426977
2002-05-24,2642833421
2002-05-28,2664878646
2002-05-29,2638943087
2002-05-30,2600039749
2002-05-31,2574104191
2002-06-03,2542981520
2002-06-04,2541684742
2002-06-05,2537794409
2002-06-06,2444426398
2002-06-07,2465174844
2002-06-10,2444426398
2002-06-11,2450910287
2002-06-12,2444426398
2002-06-13,2450910287
2002-06-14,2412006949
2002-06-17,2410710171
2002-06-18,2399039170
2002-06-19,2375697167
2002-06-20,2340684163
2002-06-21,2399039170
2002-06-24,2392555280
2002-06-25,2340684163
2002-06-26,2370510056
2002-06-27,2373103611
2002-06-28,2439239286
2002-07-01,2386410157
2002-07-02,2363128107
2002-07-03,2337259162
2002-07-05,2374769132
2002-07-08,2351487082
2002-07-09,2308803323
2002-07-10,2211794780
2002-07-11,2250598197
2002-07-12,2182045493
2002-07-15,2174284810
2002-07-16,2153589654
2002-07-17,2153589654
2002-07-18,2088917292
2002-07-19,2002256327
2002-07-22,1933703623
2002-07-23,1790130980
2002-07-24,1903954337
2002-07-25,2017777694
2002-07-26,2004843222
2002-07-29,2070809031
2002-07-30,2121253473
2002-07-31,2153589654
2002-08-01,2136774840
2002-08-02,2116079684
2002-08-05,2114786237
2002-08-06,2147122418
2002-08-07,2174284810
2002-08-08,2160056890
2002-08-09,2161350338
2002-08-12,2209207885
2002-08-13,2149709312
2002-08-14,2192393071
2002-08-15,2202740649
2002-08-16,2185925835
2002-08-19,2192393071
2002-08-20,2179458599
2002-08-21,2269999906
2002-08-22,2307509876
2002-08-23,2290695062
2002-08-26,2348900187
2002-08-27,2302336087
2002-08-28,2276467142
2002-08-29,2276467142
2002-08-30,2264826117
2002-09-03,2213088227
2002-09-04,2231196489
2002-09-05,2198860308
2002-09-06,2172991363
2002-09-09,2108319001
2002-09-10,2140655182
2002-09-11,2147122418
2002-09-12,2136774840
2002-09-13,2194979966
2002-09-16,2192393071
2002-09-17,2167817574
2002-09-18,2224729252
2002-09-19,2178165152
2002-09-20,2121253473
2002-09-23,2122546920
2002-09-24,2110905895
2002-09-25,2179458599
2002-09-26,2227316147
2002-09-27,2192393071
2002-09-30,2182644278
2002-10-01,2191684816
2002-10-02,2072866311
2002-10-03,2059951256
2002-10-04,2004416520
2002-10-07,1976003399
2002-10-08,1952756300
2002-10-09,1704787246
2002-10-10,1833937795
2002-10-11,1849435861
2002-10-14,1821022740
2002-10-15,1833937795
2002-10-16,1775820048
2002-10-17,1808107686
2002-10-18,1808107686
2002-10-21,1885598015
2002-10-22,1938549740
2002-10-23,1957922322
2002-10-24,1970837377
2002-10-25,1968254366
2002-10-28,1904970597
2002-10-29,1884306509
2002-10-30,1911428125
2002-10-31,1943715762
2002-11-01,1932092213
2002-11-04,1938549740
2002-11-05,1935966729
2002-11-06,1950173289
2002-11-07,1930800707
2002-11-08,1857184894
2002-11-11,1795192631
2002-11-12,1759030477
2002-11-13,1802941664
2002-11-14,1846852850
2002-11-15,1872682960
2002-11-18,1849435861
2002-11-19,1859767905
2002-11-20,1868808444
2002-11-21,1873974465
2002-11-22,1892055542
2002-11-25,1924343180
2002-11-26,1872682960
2002-11-27,1885598015
2002-11-29,1855893389
2002-12-02,1848144356
2002-12-03,1841686828
2002-12-04,1811982202
2002-12-05,1817148224
2002-12-06,1804233169
2002-12-09,1821022740
2002-12-10,1814565213
2002-12-11,1821022740
2002-12-12,1835229301
2002-12-13,1877848982
2002-12-16,1904970597
2002-12-17,1899804575
2002-12-18,1898513070
2002-12-19,1917885652
2002-12-20,1932092213
2002-12-23,1917885652
2002-12-24,1933383718
2002-12-26,1961796839
2002-12-27,1957922322
2002-12-30,1969545872
2002-12-31,1926797495
2003-01-02,1967441872
2003-01-03,1994114744
2003-01-06,2039839668
2003-01-07,1982683513
2003-01-08,1961091188
2003-01-09,1952200230
2003-01-10,1939498863
2003-01-13,1919176674
2003-01-14,1873451750
2003-01-15,1867101066
2003-01-16,1853129562
2003-01-17,1803594227
2003-01-21,1783272039
2003-01-22,1761679713
2003-01-23,1775651218
2003-01-24,1741357525
2003-01-27,1708333969
2003-01-28,1788352586
2003-01-29,1794703270
2003-01-30,1788352586
2003-01-31,1822646279
2003-02-03,1841698331
2003-02-04,1807404637
2003-02-05,1789622723
2003-02-06,1821376142
2003-02-07,1784542175
2003-02-10,1804864364
2003-02-11,1778191492
2003-02-12,1740087388
2003-02-13,1774381081
2003-02-14,1778191492
2003-02-18,1803594227
2003-02-19,1798513680
2003-02-20,1811215048
2003-02-21,1815025458
2003-02-24,1771840808
2003-02-25,1795973406
2003-02-26,1771840808
2003-02-27,1771840808
2003-02-28,1778191492
2003-03-03,1789622723
2003-03-04,1797243543
2003-03-05,1797243543
2003-03-06,1803594227
2003-03-07,1803594227
2003-03-10,1785812312
2003-03-11,1708333969
2003-03-12,1699443011
2003-03-13,1722305473
2003-03-14,1738817251
2003-03-17,1776921355
2003-03-18,1803594227
2003-03-19,1746438072
2003-03-20,1751518619
2003-03-21,1778191492
2003-03-24,1761679713
2003-03-25,1788352586
2003-03-26,1784542175
2003-03-27,1780731765
2003-03-28,1775651218
2003-03-31,1764319868
2003-04-01,1793471705
2003-04-02,1803611474
2003-04-03,1771924695
2003-04-04,1797274119
2003-04-07,1774459638
2003-04-08,1806146417
2003-04-09,1807413888
2003-04-10,1822623542
2003-04-11,1809948830
2003-04-14,1828960898
2003-04-15,1846705494
2003-04-16,1850507908
2003-04-17,1842903081
2003-04-21,1854310321
2003-04-22,1868252504
2003-04-23,1850507908
2003-04-24,1866985033
2003-04-25,1865717562
2003-04-28,1896136870
2003-04-29,1902474226
2003-04-30,1891066985
2003-05-01,1879659745
2003-05-02,1822623542
2003-05-05,1868252504
2003-05-06,1821356071
2003-05-07,1875857331
2003-05-08,1888532043
2003-05-09,1888532043
2003-05-12,1908811582
2003-05-13,1894869399
2003-05-14,1894869399
2003-05-15,1926556178
2003-05-16,1951905601
2003-05-19,1939230890
2003-05-20,1969650198
2003-05-21,1994999621
2003-05-22,2027953872
2003-05-23,2084990074
2003-05-27,2125549152
2003-05-28,2088792488
2003-05-29,2027953872
2003-05-30,2048233410
2003-06-02,2092594901
2003-06-03,2102734671
2003-06-04,2123014209
2003-06-05,2096397315
2003-06-06,2073582834
2003-06-09,2059640651
2003-06-10,2048233410
2003-06-11,2059640651
2003-06-12,2074850305
2003-06-13,2027953872
2003-06-16,2072315362
2003-06-17,2086257545
2003-06-18,2090059959
2003-06-19,2078652718
2003-06-20,2095129844
2003-06-23,2082455132
2003-06-24,2083722603
2003-06-25,2087525016
2003-06-26,2083722603
2003-06-27,2083722603
2003-06-30,2128787130
2003-07-01,2123700423
2003-07-02,2124972099
2003-07-03,2103353592
2003-07-07,2123700423
2003-07-08,2121157069
2003-07-09,2110983654
2003-07-10,2055029870
2003-07-11,2069018316
2003-07-14,2069018316
2003-07-15,2046128132
2003-07-16,2010521178
2003-07-17,2006706148
2003-07-18,2023237947
2003-07-21,2004162794
2003-07-22,2098266885
2003-07-23,2107168623
2003-07-24,2138960545
2003-07-25,2105896946
2003-07-28,2110983654
2003-07-29,2108440300
2003-07-30,2140232222
2003-07-31,2136417192
2003-08-01,2119885392
2003-08-04,2119885392
2003-08-05,2100810238
2003-08-06,2119885392
2003-08-07,2098266885
2003-08-08,2114798684
2003-08-11,2109711977
2003-08-12,2165665760
2003-08-13,2150405637
2003-08-14,2154220668
2003-08-15,2180925883
2003-08-18,2161850730
2003-08-19,2161850730
2003-08-20,2201272713
2003-08-21,2193642652
2003-08-22,2174567499
2003-08-25,2175839175
2003-08-26,2175839175
2003-08-27,2178382529
2003-08-28,2189827621
2003-08-29,2196186006
2003-09-02,2238151344
2003-09-03,2269943266
2003-09-04,2282660035
2003-09-05,2262313205
2003-09-08,2269943266
2003-09-09,2314451958
2003-09-10,2300463512
2003-09-11,2296648481
2003-09-12,2301735189
2003-09-15,2305550219
2003-09-16,2301735189
2003-09-17,2281388358
2003-09-18,2290290096
2003-09-19,2306821896
2003-09-22,2319538665
2003-09-23,2324625373
2003-09-24,2289018420
2003-09-25,2292833450
2003-09-26,2295376804
2003-09-29,2301735189
2003-09-30,2277896194
2003-10-01,2303319143
2003-10-02,2338911271
2003-10-03,2327470944
2003-10-06,2380859136
2003-10-07,2383401431
2003-10-08,2384672578
2003-10-09,2397384052
2003-10-10,2406282084
2003-10-13,2396112905
2003-10-14,2398655200
2003-10-15,2388486020
2003-10-16,2389757168
2003-10-17,2377045694
2003-10-20,2388486020
2003-10-21,2364334219
2003-10-22,2380859136
2003-10-23,2397384052
2003-10-24,2416451264
2003-10-27,2449501097
2003-10-28,2449501097
2003-10-29,2434247328
2003-10-30,2440603065
2003-10-31,2394841758
2003-11-03,2429162738
2003-11-04,2421535854
2003-11-05,2413908969
2003-11-06,2421535854
2003-11-07,2427891591
2003-11-10,2432976181
2003-11-11,2430433886
2003-11-12,2449501097
2003-11-13,2467297161
2003-11-14,2459670277
2003-11-17,2439331918
2003-11-18,2403739790
2003-11-19,2403739790
2003-11-20,2382130283
2003-11-21,2369418809
2003-11-24,2450772245
2003-11-25,2491448962
2003-11-26,2482550930
2003-11-28,2535939122
2003-12-01,2529583385
2003-12-02,2497804699
2003-12-03,2525769943
2003-12-04,2521956501
2003-12-05,2496533552
2003-12-08,2523227648
2003-12-09,2468568309
2003-12-10,2460941424
2003-12-11,2476195193
2003-12-12,2487635520
2003-12-15,2481279783
2003-12-16,2478737488
2003-12-17,2462212571
2003-12-18,2483822078
2003-12-19,2472381751
2003-12-22,2486364373
2003-12-23,2511787321
2003-12-24,2499075847
2003-12-26,2492720110
2003-12-29,2520685353
2003-12-30,2557548629
2003-12-31,2579334880
2004-01-02,2570383296
2004-01-05,2532019366
2004-01-06,2519231390
2004-01-07,2512837401
2004-01-08,2506443413
2004-01-09,2485982651
2004-01-12,2493655437
2004-01-13,2489819044
2004-01-14,2500049425
2004-01-15,2500049425
2004-01-16,2487261448
2004-01-20,2510279806
2004-01-21,2555037724
2004-01-22,2557595320
2004-01-23,2538413355
2004-01-26,2487261448
2004-01-27,2455291507
2004-01-28,2459127900
2004-01-29,2455291507
2004-01-30,2461685495
2004-02-02,2452733911
2004-02-03,2468079483
2004-02-04,2429715554
2004-02-05,2413091184
2004-02-06,2423321565
2004-02-09,2429715554
2004-02-10,2473194674
2004-02-11,2464243090
2004-02-12,2487261448
2004-02-13,2480867460
2004-02-17,2507722211
2004-02-18,2493655437
2004-02-19,2469358281
2004-02-20,2448897518
2004-02-23,2452733911
2004-02-24,2455291507
2004-02-25,2438667137
2004-02-26,2443782328
2004-02-27,2460406697
2004-03-01,2455291507
2004-03-02,2437388339
2004-03-03,2428436756
2004-03-04,2441224732
2004-03-05,2461685495
2004-03-08,2443782328
2004-03-09,2452733911
2004-03-10,2406697196
2004-03-11,2402860803
2004-03-12,2422042768
2004-03-15,2399024410
2004-03-16,2391351624
2004-03-17,2437388339
2004-03-18,2391351624
2004-03-19,2418206375
2004-03-22,2370890861
2004-03-23,2372169659
2004-03-24,2346593706
2004-03-25,2363218075
2004-03-26,2346593706
2004-03-29,2365775671
2004-03-30,2374727254
2004-03-31,2387825017
2004-04-01,2387825017
2004-04-02,2353255968
2004-04-05,2368619990
2004-04-06,2351975633
2004-04-07,2349414963
2004-04-08,2337891947
2004-04-12,2287958877
2004-04-13,2287958877
2004-04-14,2266193180
2004-04-15,2278996531
2004-04-16,2305883569
2004-04-19,2286678542
2004-04-20,2278996531
2004-04-21,2294360552
2004-04-22,2332770606
2004-04-23,2311004909
2004-04-26,2330209936
2004-04-27,2321247590
2004-04-28,2358377309
2004-04-29,2321247590
2004-04-30,2349414963
2004-05-03,2318686920
2004-05-04,2316126250
2004-05-05,2331490271
2004-05-06,2343013287
2004-05-07,2298201558
2004-05-10,2273875190
2004-05-11,2296921223
2004-05-12,2299481893
2004-05-13,2307163904
2004-05-14,2345573958
2004-05-17,2350695298
2004-05-18,2364778985
2004-05-19,2337891947
2004-05-20,2350695298
2004-05-21,2344293623
2004-05-24,2385264347
2004-05-25,2417272725
2004-05-26,2435197417
2004-05-27,2451841773
2004-05-28,2445440098
2004-06-01,2445440098
2004-06-02,2458243449
2004-06-03,2454402444
2004-06-04,2437758087
2004-06-07,2464645125
2004-06-08,2440318757
2004-06-09,2423674401
2004-06-10,2436477752
2004-06-14,2418553060
2004-06-15,2436477752
2004-06-16,2448000768
2004-06-17,2459523784
2004-06-18,2468486130
2004-06-21,2472327136
2004-06-22,2462084454
2004-06-23,2463364790
2004-06-24,2474887806
2004-06-25,2496653503
2004-06-28,2486410822
2004-06-29,2473607471
2004-06-30,2497607978
2004-07-01,2474517612
2004-07-02,2484779997
2004-07-06,2471952015
2004-07-07,2473234813
2004-07-08,2461689630
2004-07-09,2450144447
2004-07-12,2436033667
2004-07-13,2432185273
2004-07-14,2442447658
2004-07-15,2473234813
2004-07-16,2473234813
2004-07-19,2474517612
2004-07-20,2500173574
2004-07-21,2430902475
2004-07-22,2405246512
2004-07-23,2393701329
2004-07-26,2375742155
2004-07-27,2386004540
2004-07-28,2373176559
2004-07-29,2400115319
2004-07-30,2398832521
2004-08-02,2414226099
2004-08-03,2411660503
2004-08-04,2462972428
2004-08-05,2437316466
2004-08-06,2445013254
2004-08-09,2418074493
2004-08-10,2441164860
2004-08-11,2411660503
2004-08-12,2373176559
2004-08-13,2379590549
2004-08-16,2414226099
2004-08-17,2427054080
2004-08-18,2437316466
2004-08-19,2421922888
2004-08-20,2439882062
2004-08-23,2411660503
2004-08-24,2419357292
