,FIS
2001-12-21,1311935400
2001-12-24,1334661840
2001-12-26,1320199560
2001-12-27,1296095760
2001-12-28,1306425960
2001-12-31,1287831600
2002-01-02,1325020320
2002-01-03,1330529760
2002-01-04,1317444840
2002-01-07,1277501400
2002-01-08,1269925920
2002-01-09,1298161800
2002-01-10,1274058000
2002-01-11,1282322160
2002-01-14,1316067480
2002-01-15,1309869360
2002-01-16,1300916520
2002-01-17,1322265600
2002-01-18,1311935400
2002-01-22,1283699520
2002-01-23,1278878760
2002-01-24,1296095760
2002-01-25,1283699520
2002-01-28,1291963680
2002-01-29,1283699520
2002-01-30,1296784440
2002-01-31,1305737280
2002-02-01,1338793920
2002-02-04,1325020320
2002-02-05,1328463720
2002-02-06,1326397680
2002-02-07,1326397680
2002-02-08,1326397680
2002-02-11,1321576920
2002-02-12,1316067480
2002-02-13,1334661840
2002-02-14,1322265600
2002-02-15,1327086360
2002-02-19,1335350520
2002-02-20,1337416560
2002-02-21,1302982560
2002-02-22,1312624080
2002-02-25,1311935400
2002-02-26,1307803320
2002-02-27,1321576920
2002-02-28,1398709080
2002-03-01,1465511040
2002-03-04,1500633720
2002-03-05,1503388440
2002-03-06,1513718640
2002-03-07,1522671480
2002-03-08,1528180920
2002-03-11,1547463960
2002-03-12,1552973400
2002-03-13,1540577160
2002-03-14,1544709240
2002-03-15,1521982800
2002-03-18,1479973320
2002-03-19,1449671400
2002-03-20,1457246880
2002-03-21,1486860120
2002-03-22,1503388440
2002-03-25,1499256360
2002-03-26,1494435600
2002-03-27,1497190320
2002-03-28,1494435600
2002-04-01,1539859600
2002-04-02,1564027800
2002-04-03,1537788040
2002-04-04,1543312200
2002-04-05,1566099360
2002-04-08,1584052880
2002-04-09,1606149520
2002-04-10,1610292640
2002-04-11,1579909760
2002-04-12,1575076120
2002-04-15,1581981320
2002-04-16,1594410680
2002-04-17,1560575200
2002-04-18,1557122600
2002-04-19,1589577040
2002-04-22,1613745240
2002-04-23,1615126280
2002-04-24,1564718320
2002-04-25,1535025960
2002-04-26,1503952560
2002-04-29,1470807600
2002-04-30,1464592920
2002-05-01,1472188640
2002-05-02,1463902400
2002-05-03,1463211880
2002-05-06,1463211880
2002-05-07,1534335440
2002-05-08,1519144000
2002-05-09,1528811280
2002-05-10,1532954400
2002-05-13,1577838200
2002-05-14,1644128120
2002-05-15,1647580720
2002-05-16,1649652280
2002-05-17,1642056560
2002-05-20,1651033320
2002-05-21,1614435760
2002-05-22,1617888360
2002-05-23,1606149520
2002-05-24,1620650440
2002-05-28,1598553800
2002-05-29,1599244320
2002-05-30,1600625360
2002-05-31,1622722000
2002-06-03,1665534240
2002-06-04,1665534240
2002-06-05,1660700600
2002-06-06,1617197840
2002-06-07,1629627200
2002-06-10,1655866960
2002-06-11,1624793560
2002-06-12,1599244320
2002-06-13,1569551960
2002-06-14,1593720160
2002-06-17,1613745240
2002-06-18,1637222920
2002-06-19,1629627200
2002-06-20,1605459000
2002-06-21,1519144000
2002-06-24,1523977640
2002-06-25,1468045520
2002-06-26,1411422880
2002-06-27,1367229600
2002-06-28,1400374560
2002-07-01,1385950500
2002-07-02,1358410500
2002-07-03,1368049500
2002-07-05,1390770000
2002-07-08,1425883500
2002-07-09,1404540000
2002-07-10,1345329000
2002-07-11,1309527000
2002-07-12,1262709000
2002-07-15,1238611500
2002-07-16,1230349500
2002-07-17,1234480500
2002-07-18,1187662500
2002-07-19,1158057000
2002-07-22,1152549000
2002-07-23,1109862000
2002-07-24,1144287000
2002-07-25,1175269500
2002-07-26,1190416500
2002-07-29,1261332000
2002-07-30,1288872000
2002-07-31,1231038000
2002-08-01,1210383000
2002-08-02,1164942000
2002-08-05,1125697500
2002-08-06,1136713500
2002-08-07,1144287000
2002-08-08,1129140000
2002-08-09,1163565000
2002-08-12,1202809500
2002-08-13,1152549000
2002-08-14,1162188000
2002-08-15,1217956500
2002-08-16,1211760000
2002-08-19,1257889500
2002-08-20,1234480500
2002-08-21,1245496500
2002-08-22,1267528500
2002-08-23,1236546000
2002-08-26,1260643500
2002-08-27,1241365500
2002-08-28,1232415000
2002-08-29,1239988500
2002-08-30,1236546000
2002-09-03,1187662500
2002-09-04,1258578000
2002-09-05,1147729500
2002-09-06,1142221500
2002-09-09,1109862000
2002-09-10,1084387500
2002-09-11,1091272500
2002-09-12,1083010500
2002-09-13,1067175000
2002-09-16,1089895500
2002-09-17,1096780500
2002-09-18,1087830000
2002-09-19,1068552000
2002-09-20,718794000
2002-09-23,713974500
2002-09-24,680238000
2002-09-25,764235000
2002-09-26,805545000
2002-09-27,773185500
2002-09-30,723581600
2002-10-01,756501600
2002-10-02,755184800
2002-10-03,748600800
2002-10-04,750576000
2002-10-07,738066400
2002-10-08,785471200
2002-10-09,780204000
2002-10-10,786788000
2002-10-11,799956000
2002-10-14,812465600
2002-10-15,831559200
2002-10-16,797322400
2002-10-17,831559200
2002-10-18,823000000
2002-10-21,882914400
2002-10-22,842752000
2002-10-23,831559200
2002-10-24,807856800
2002-10-25,817074400
2002-10-28,799956000
2002-10-29,751892800
2002-10-30,761110400
2002-10-31,755843200
2002-11-01,786788000
2002-11-04,790080000
2002-11-05,794030400
2002-11-06,804564800
2002-11-07,788104800
2002-11-08,782179200
2002-11-11,759135200
2002-11-12,755843200
2002-11-13,757818400
2002-11-14,794688800
2002-11-15,809832000
2002-11-18,813782400
2002-11-19,801272800
2002-11-20,809832000
2002-11-21,836826400
2002-11-22,855920000
2002-11-25,861845600
2002-11-26,871721600
2002-11-27,878305600
2002-11-29,869088000
2002-12-02,895424000
2002-12-03,908592000
2002-12-04,903983200
2002-12-05,917809600
2002-12-06,910567200
2002-12-09,898716000
2002-12-10,925052000
2002-12-11,942170400
2002-12-12,950071200
2002-12-13,917809600
2002-12-16,941512000
2002-12-17,912542400
2002-12-18,888840000
2002-12-19,873696800
2002-12-20,868429600
2002-12-23,869746400
2002-12-24,863162400
2002-12-26,884889600
2002-12-27,885548000
2002-12-30,861187200
2002-12-31,883572800
2003-01-02,909250400
2003-01-03,898057600
2003-01-06,927685600
2003-01-07,917151200
2003-01-08,908592000
2003-01-09,936903200
2003-01-10,936903200
2003-01-13,953363200
2003-01-14,933611200
2003-01-15,914517600
2003-01-16,910567200
2003-01-17,887523200
2003-01-21,890156800
2003-01-22,856578400
2003-01-23,863820800
2003-01-24,865796000
2003-01-27,874355200
2003-01-28,898716000
2003-01-29,905300000
2003-01-30,897399200
2003-01-31,920443200
2003-02-03,918468000
2003-02-04,912542400
2003-02-05,903983200
2003-02-06,898057600
2003-02-07,882914400
2003-02-10,881597600
2003-02-11,872380000
2003-02-12,867112800
2003-02-13,831559200
2003-02-14,830900800
2003-02-18,848019200
2003-02-19,846702400
2003-02-20,858553600
2003-02-21,866454400
2003-02-24,846044000
2003-02-25,860528800
2003-02-26,852628000
2003-02-27,871721600
2003-02-28,865796000
2003-03-03,865796000
2003-03-04,852628000
2003-03-05,859212000
2003-03-06,861187200
2003-03-07,860528800
2003-03-10,823658400
2003-03-11,778887200
2003-03-12,780204000
2003-03-13,817732800
2003-03-14,823658400
2003-03-17,852628000
2003-03-18,858553600
2003-03-19,864479200
2003-03-20,869088000
2003-03-21,909250400
2003-03-24,894765600
2003-03-25,907275200
2003-03-26,913859200
2003-03-27,900032800
2003-03-28,903324800
2003-03-31,902430720
2003-04-01,885391360
2003-04-02,888668160
2003-04-03,899153920
2003-04-04,895221760
2003-04-07,893911040
2003-04-08,896532480
2003-04-09,895877120
2003-04-10,896532480
2003-04-11,872939520
2003-04-14,904396800
2003-04-15,914227200
2003-04-16,900464640
2003-04-17,904396800
2003-04-21,914227200
2003-04-22,932577280
2003-04-23,954859520
2003-04-24,916848640
2003-04-25,902430720
2003-04-28,916848640
2003-04-29,895221760
2003-04-30,895221760
2003-05-01,891289600
2003-05-02,908984320
2003-05-05,915537920
2003-05-06,933888000
2003-05-07,931266560
2003-05-08,913571840
2003-05-09,901120000
2003-05-12,895877120
2003-05-13,888668160
2003-05-14,889323520
2003-05-15,875560960
2003-05-16,879493120
2003-05-19,876871680
2003-05-20,900464640
2003-05-21,894566400
2003-05-22,899809280
2003-05-23,916193280
2003-05-27,923402240
2003-05-28,947650560
2003-05-29,967311360
2003-05-30,992870400
2003-06-02,1010565120
2003-06-03,997457920
2003-06-04,1009909760
2003-06-05,1064304639
2003-06-06,1085276160
2003-06-09,1038090240
2003-06-10,1040056320
2003-06-11,1046609920
2003-06-12,1045299200
2003-06-13,1030225920
2003-06-16,1055129600
2003-06-17,1055784960
2003-06-18,1044643840
2003-06-19,1029570560
2003-06-20,1020395520
2003-06-23,1008599040
2003-06-24,1007943680
2003-06-25,1005322240
2003-06-26,1007288320
2003-06-27,996147200
2003-06-30,986338230
2003-07-01,976585380
2003-07-02,994790700
2003-07-03,998041650
2003-07-07,1014946590
2003-07-08,1012996020
2003-07-09,1024699440
2003-07-10,997391460
2003-07-11,1020798300
2003-07-14,1041604380
2003-07-15,1039653810
2003-07-16,1043554950
2003-07-17,996741270
2003-07-18,1004543550
2003-07-21,990889560
2003-07-22,982437090
2003-07-23,977885760
2003-07-24,944075880
2003-07-25,938874360
2003-07-28,957729870
2003-07-29,959030250
2003-07-30,968783100
2003-07-31,967482720
2003-08-01,960330630
2003-08-04,974634810
2003-08-05,964881960
2003-08-06,968783100
2003-08-07,973334430
2003-08-08,970083480
2003-08-11,964881960
2003-08-12,973984620
2003-08-13,994790700
2003-08-14,1026650010
2003-08-15,1024699440
2003-08-18,1028600580
2003-08-19,1041604380
2003-08-20,1053307800
2003-08-21,1065011219
2003-08-22,1063060650
2003-08-25,1061760269
2003-08-26,1053307800
2003-08-27,1064361030
2003-08-28,1064361030
2003-08-29,1074764070
2003-09-02,1121577750
2003-09-03,1156037820
2003-09-04,1139132880
2003-09-05,1141733640
2003-09-08,1155387630
2003-09-09,1139132880
2003-09-10,1117026420
2003-09-11,1110524520
2003-09-12,1119627180
2003-09-15,1103372430
2003-09-16,1131980790
2003-09-17,1148235540
2003-09-18,1158638580
2003-09-19,1169691810
2003-09-22,1165140480
2003-09-23,1169041620
2003-09-24,1151486490
2003-09-25,1124828700
2003-09-26,1135231740
2003-09-29,1166440860
2003-09-30,1117531350
2003-10-01,1150643390
2003-10-02,1138544760
2003-10-03,1148733080
2003-10-06,1146822770
2003-10-07,1141728610
2003-10-08,1137907990
2003-10-09,1139818300
2003-10-10,1144275690
2003-10-13,1138544760
2003-10-14,1136634450
2003-10-15,1130266750
2003-10-16,1145549230
2003-10-17,1123262280
2003-10-20,1130266750
2003-10-21,1108616570
2003-10-22,1092697320
2003-10-23,1108616570
2003-10-24,1109890110
2003-10-27,1113073960
2003-10-28,1110526880
2003-10-29,1117531350
2003-10-30,1149369850
2003-10-31,1171656800
2003-11-03,1162742020
2003-11-04,1167199410
2003-11-05,1158921400
2003-11-06,1149369850
2003-11-07,1167199410
2003-11-10,1176750960
2003-11-11,1147459540
2003-11-12,1170383260
2003-11-13,1176750960
2003-11-14,1167199410
2003-11-17,1153190470
2003-11-18,1146822770
2003-11-19,1151916930
2003-11-20,1141728610
2003-11-21,1135360910
2003-11-24,1148733080
2003-11-25,1164015560
2003-11-26,1181845120
2003-11-28,1204132070
2003-12-01,1219414550
2003-12-02,1217504240
2003-12-03,1171020030
2003-12-04,1181845120
2003-12-05,1158284630
2003-12-08,1153190470
2003-12-09,1151916930
2003-12-10,1149369850
2003-12-11,1171656800
2003-12-12,1167836180
2003-12-15,1146186000
2003-12-16,1142365380
2003-12-17,1113710730
2003-12-18,1134087370
2003-12-19,1128993210
2003-12-22,1146186000
2003-12-23,1145549230
2003-12-24,1132813830
2003-12-26,1134724140
2003-12-29,1150006620
2003-12-30,1144912460
2003-12-31,1141728610
2004-01-02,1146822770
2004-01-05,1181208350
2004-01-06,1169746490
2004-01-07,1167836180
2004-01-08,1145549230
2004-01-09,1149369850
2004-01-12,1165289100
2004-01-13,1160831710
2004-01-14,1165925870
2004-01-15,1162742020
2004-01-16,1151916930
2004-01-20,1165925870
2004-01-21,1167836180
2004-01-22,1165925870
2004-01-23,1158921400
2004-01-26,1164652330
2004-01-27,1153190470
2004-01-28,1114347500
2004-01-29,1094607630
2004-01-30,1116257810
2004-02-02,1154464010
2004-02-03,1146822770
2004-02-04,1132813830
2004-02-05,1143002150
2004-02-06,1155100780
2004-02-09,1166562640
2004-02-10,1172293570
2004-02-11,1188212820
2004-02-12,1183118660
2004-02-13,1183118660
2004-02-17,1172930340
2004-02-18,1147459540
2004-02-19,1131540290
2004-02-20,1144275690
2004-02-23,1158921400
2004-02-24,1160831710
2004-02-25,1164015560
2004-02-26,1180571580
2004-02-27,1189486360
2004-03-01,1200948220
2004-03-02,1184392200
2004-03-03,1183118660
2004-03-04,1184392200
2004-03-05,1200948220
2004-03-08,1205405610
2004-03-09,1198401140
2004-03-10,1182481890
2004-03-11,1160831710
2004-03-12,1178024500
2004-03-15,1162742020
2004-03-16,1165289100
2004-03-17,1165925870
2004-03-18,1172293570
2004-03-19,1164015560
2004-03-22,1148733080
2004-03-23,1149369850
2004-03-24,1150643390
2004-03-25,1177387730
2004-03-26,1158284630
2004-03-29,1181845120
2004-03-30,1195854060
2004-03-31,1207408620
2004-04-01,1230749330
2004-04-02,1237688460
2004-04-05,1248412570
2004-04-06,1233903480
2004-04-07,1232641820
2004-04-08,1224441030
2004-04-12,1226333520
2004-04-13,1207408620
2004-04-14,1213086090
2004-04-15,1216240240
2004-04-16,1209931940
2004-04-19,1204885300
2004-04-20,1190376210
2004-04-21,1202992810
2004-04-22,1213086090
2004-04-23,1199207830
2004-04-26,1197315340
2004-04-27,1214978580
2004-04-28,1216240240
2004-04-29,1232010990
2004-04-30,1233903480
2004-05-03,1261029170
2004-05-04,1257244190
2004-05-05,1250305060
2004-05-06,1240211780
2004-05-07,1216871070
2004-05-10,1237057630
2004-05-11,1215609410
2004-05-12,1226333520
2004-05-13,1233903480
2004-05-14,1253459210
2004-05-17,1237688460
2004-05-18,1259136680
2004-05-19,1267968300
2004-05-20,1276799920
2004-05-21,1273645770
2004-05-24,1273014940
2004-05-25,1291309010
2004-05-26,1291309010
2004-05-27,1300140630
2004-05-28,1300771460
2004-06-01,1300771460
2004-06-02,1298248140
2004-06-03,1278692410
2004-06-04,1310233910
2004-06-07,1339882920
2004-06-08,1338621260
2004-06-09,1310864740
2004-06-10,1311495570
2004-06-14,1310233910
2004-06-15,1338621260
2004-06-16,1334205450
2004-06-17,1334205450
2004-06-18,1302663950
2004-06-21,1301402290
2004-06-22,1319696360
2004-06-23,1326635490
2004-06-24,1331051300
2004-06-25,1361331140
2004-06-28,1330420470
2004-06-29,1337990430
2004-06-30,1327491480
2004-07-01,1293068080
2004-07-02,1346267880
2004-07-06,1309966840
2004-07-07,1314973880
2004-07-08,1300578640
2004-07-09,1314348000
2004-07-12,1323736200
2004-07-13,1308715080
2004-07-14,1303708040
2004-07-15,1309966840
2004-07-16,1296823360
2004-07-19,1289312800
2004-07-20,1311844480
2004-07-21,1270536400
2004-07-22,1267407000
2004-07-23,1268658760
2004-07-26,1297449240
2004-07-27,1299326880
2004-07-28,1283679880
2004-07-29,1307463320
2004-07-30,1296823360
2004-08-02,1293068080
2004-08-03,1279298720
2004-08-04,1284931640
2004-08-05,1264277600
2004-08-06,1243623560
2004-08-09,1243623560
2004-08-10,1273039920
2004-08-11,1264903480
2004-08-12,1251134120
2004-08-13,1257392920
2004-08-16,1260522320
2004-08-17,1269284640
2004-08-18,1286809280
2004-08-19,1300578640
2004-08-20,1309340960
2004-08-23,1286183400
2004-08-24,1291190440
2004-08-25,1313722120
2004-08-26,1308715080
2004-08-27,1312470360
2004-08-30,1293068080
2004-08-31,1313096240
2004-09-01,1333750280
2004-09-02,1356281960
2004-09-03,1333750280
2004-09-07,1338131440
2004-09-08,1336253800
2004-09-09,1331872640
2004-09-10,1333750280
2004-09-13,1339383200
2004-09-14,1333750280
2004-09-15,1326239720
2004-09-16,1330620880
2004-09-17,1329369120
2004-09-20,1313722120
2004-09-21,1325613840
2004-09-22,1294319840
2004-09-23,1326239720
2004-09-24,1314973880
2004-09-27,1293068080
2004-09-28,1286183400
2004-09-29,1273039920
2004-09-30,1256889960
2004-10-01,1284697260
2004-10-04,1280989620
2004-10-05,1293348420
2004-10-06,1292730480
2004-10-07,1255654080
2004-10-08,1236497940
2004-10-11,1250092620
2004-10-12,1229082660
2004-10-13,1225375020
2004-10-14,1203129180
2004-10-15,1222285320
2004-10-18,1226610900
2004-10-19,1215487980
2004-10-20,1225992960
2004-10-21,1234644120
2004-10-22,1182737160
2004-10-25,1179029520
2004-10-26,1175939820
2004-10-27,1190770380
2004-10-28,1192006260
2004-10-29,1193860080
2004-11-01,1187680680
2004-11-02,1180265400
2004-11-03,1185826860
2004-11-04,1191388320
2004-11-05,1201275360
2004-11-08,1198803600
2004-11-09,1201275360
2004-11-10,1209308580
2004-11-11,1218577680
2004-11-12,1170996300
2004-11-15,1192006260
2004-11-16,1193242140
2004-11-17,1192006260
2004-11-18,1196331840
2004-11-19,1190770380
2004-11-22,1178411580
2004-11-23,1182119220
2004-11-24,1187062740
2004-11-26,1178411580
2004-11-29,1182119220
2004-11-30,1161727200
2004-12-01,1164198960
2004-12-02,1157401620
2004-12-03,1140099300
2004-12-06,1131448140
2004-12-07,1128358440
2004-12-08,1122796980
2004-12-09,1117853460
2004-12-10,1114763760
2004-12-13,1112909940
2004-12-14,1128976380
2004-12-15,1138245480
2004-12-16,1145660760
2004-12-17,1175321880
2004-12-20,1173468060
2004-12-21,1180265400
2004-12-22,1198803600
2004-12-23,1198803600
2004-12-27,1183973040
2004-12-28,1198803600
2004-12-29,1196331840
2004-12-30,1197567720
2004-12-31,2484206400
2005-01-03,2463739200
2005-01-04,2443272000
2005-01-05,2433038400
2005-01-06,2449668000
2005-01-07,2454784800
2005-01-10,2454784800
2005-01-11,2413850400
2005-01-12,2450947200
2005-01-13,2435596800
2005-01-14,2450947200
2005-01-18,2494440000
2005-01-19,2459901600
2005-01-20,2454784800
2005-01-21,2440713600
2005-01-24,2418967200
2005-01-25,2447109600
2005-01-26,2488044000
2005-01-27,2421525600
2005-01-28,2394662400
2005-01-31,2447109600
2005-02-01,2452226400
2005-02-02,2463739200
2005-02-03,2452226400
2005-02-04,2463739200
2005-02-07,2452226400
2005-02-08,2439434400
2005-02-09,2429200800
2005-02-10,2420246400
2005-02-11,2457343200
2005-02-14,2470135200
2005-02-15,2476531200
2005-02-16,2473972800
2005-02-17,2447109600
2005-02-18,2417688000
2005-02-22,2384428800
2005-02-23,2388266400
2005-02-24,2439434400
2005-02-25,2470135200
2005-02-28,2491881600
2005-03-01,2472693600
2005-03-02,2468856000
2005-03-03,2462460000
2005-03-04,2495719200
2005-03-07,2523861600
2005-03-08,2523861600
2005-03-09,2502115200
2005-03-10,2537932800
2005-03-11,2527699200
2005-03-14,2545608000
2005-03-15,2544328800
2005-03-16,2472693600
2005-03-17,2481648000
2005-03-18,2463739200
2005-03-21,2450947200
2005-03-22,2434317600
2005-03-23,2454784800
2005-03-24,2448388800
2005-03-28,2471414400
2005-03-29,2399779200
2005-03-30,2448388800
2005-03-31,2420246400
2005-04-01,2390824800
2005-04-04,2376753600
2005-04-05,2353728000
2005-04-06,2355007200
2005-04-07,2348611200
2005-04-08,2335819200
2005-04-11,2325585600
2005-04-12,2315352000
2005-04-13,2339656800
2005-04-14,2330702400
2005-04-15,2292326400
2005-04-18,2305118400
2005-04-19,2334540000
2005-04-20,2294884800
2005-04-21,2376753600
2005-04-22,2388266400
2005-04-25,2521303200
2005-04-26,2511069600
2005-04-27,2511069600
2005-04-28,2509790400
2005-04-29,2546887200
2005-05-02,2544328800
2005-05-03,2517465600
2005-05-04,2540491200
2005-05-05,2505952800
2005-05-06,2502115200
2005-05-09,2523861600
2005-05-10,2481648000
2005-05-11,2503394400
2005-05-12,2486764800
2005-05-13,2512348800
2005-05-16,2522582400
2005-05-17,2520024000
2005-05-18,2554562400
2005-05-19,2567354400
2005-05-20,2594217600
2005-05-23,2640268800
2005-05-24,2645385600
2005-05-25,2636431200
2005-05-26,2637710400
2005-05-27,2628756000
2005-05-31,2624918400
2005-06-01,2624918400
2005-06-02,2636431200
2005-06-03,2575029600
2005-06-06,2590380000
2005-06-07,2583984000
2005-06-08,2596776000
2005-06-09,2617243200
2005-06-10,2662015200
2005-06-13,2696553600
2005-06-14,2691436800
2005-06-15,2693995200
2005-06-16,2710624800
2005-06-17,2711904000
2005-06-20,2697832800
2005-06-21,2699112000
2005-06-22,2670969600
2005-06-23,2624918400
2005-06-24,2619801600
2005-06-27,2647944000
2005-06-28,2667132000
2005-06-29,2677365600
2005-06-30,2672248800
2005-07-01,2697832800
2005-07-05,2702949600
2005-07-06,2697832800
2005-07-07,2690157600
2005-07-08,2696553600
2005-07-11,2691436800
2005-07-12,2677365600
2005-07-13,2678644800
2005-07-14,2688878400
2005-07-15,2656898400
2005-07-18,2646664800
2005-07-19,2653060800
2005-07-20,2668411200
2005-07-21,2592938400
2005-07-22,2553283200
2005-07-25,2463739200
2005-07-26,2475252000
2005-07-27,2433038400
2005-07-28,2443272000
2005-07-29,2420246400
2005-08-01,2403616800
2005-08-02,2376753600
2005-08-03,2385708000
2005-08-04,2371636800
2005-08-05,2363961600
2005-08-08,2381870400
2005-08-09,2356286400
2005-08-10,2344773600
2005-08-11,2369078400
2005-08-12,2361403200
2005-08-15,2351169600
2005-08-16,2346052800
2005-08-17,2344773600
2005-08-18,2342215200
2005-08-19,2326864800
2005-08-22,2376753600
2005-08-23,2370357600
2005-08-24,2376753600
2005-08-25,2485485600
2005-08-26,2444551200
2005-08-29,2444551200
2005-08-30,2431759200
2005-08-31,2403616800
2005-09-01,2375474400
2005-09-02,2371636800
2005-09-06,2366520000
2005-09-07,2367799200
2005-09-08,2347332000
2005-09-09,2363961600
2005-09-12,2366520000
2005-09-13,2367799200
2005-09-14,2349890400
2005-09-15,2713183200
2005-09-16,2792493600
2005-09-19,2760513600
2005-09-20,2795052000
2005-09-21,2713183200
2005-09-22,2755396800
2005-09-23,2805285600
2005-09-26,2796331200
2005-09-27,2793772800
2005-09-28,2798889600
2005-09-29,2800168800
2005-09-30,3717659430
2005-10-03,3715959540
2005-10-04,3707460090
2005-10-05,3680261849
2005-10-06,3624165480
2005-10-07,3632664930
2005-10-10,3561269550
2005-10-11,3530671530
2005-10-12,3522172080
2005-10-13,3508572960
2005-10-14,3527271750
2005-10-17,3522172080
2005-10-18,3472875270
2005-10-19,3525571859
2005-10-20,3457576260
2005-10-21,3474575160
2005-10-24,3474575160
2005-10-25,3493273950
2005-10-26,3471175380
2005-10-27,3411679230
2005-10-28,3428678130
2005-10-31,3481374720
2005-11-01,3486474390
2005-11-02,3532371420
2005-11-03,3554469990
2005-11-04,3564669330
2005-11-07,3627565260
2005-11-08,3576568560
2005-11-09,3576568560
2005-11-10,3574868670
2005-11-11,3624165480
2005-11-14,3653063609
2005-11-15,3702360420
2005-11-16,3687061410
2005-11-17,3799254150
2005-11-18,3836651730
2005-11-21,3824752500
2005-11-22,3811153380
2005-11-23,3807753599
2005-11-25,3760156680
2005-11-28,3741457890
2005-11-29,3787354920
2005-11-30,3736358220
2005-12-01,3761856570
2005-12-02,3787354920
2005-12-05,3787354920
2005-12-06,3806053710
2005-12-07,3732958440
2005-12-08,3697260750
2005-12-09,3717659430
2005-12-12,3719359320
2005-12-13,3722759099
2005-12-14,3756756900
2005-12-15,3753357119
2005-12-16,3710859869
2005-12-19,3675162180
2005-12-20,3739758000
2005-12-21,3729558660
2005-12-22,3765256349
2005-12-23,3780555359
2005-12-27,3722759099
2005-12-28,3744857670
2005-12-29,3749957340
2005-12-30,3768656130
2006-01-03,3812853270
2006-01-04,3814553160
2006-01-05,3979442490
2006-01-06,3945444690
2006-01-09,3981142380
2006-01-10,4032139080
2006-01-11,4037238750
2006-01-12,3999841170
2006-01-13,4020239849
2006-01-17,4004940840
2006-01-18,3994741500
2006-01-19,4062737099
2006-01-20,4010040510
2006-01-23,4042338420
2006-01-24,4072936440
2006-01-25,4081435890
2006-01-26,4103534460
2006-01-27,4066136880
2006-01-30,4028739300
2006-01-31,4037238750
2006-02-01,3668362619
2006-02-02,3639464490
2006-02-03,3619065810
2006-02-06,3593567460
2006-02-07,3520472190
2006-02-08,3491574060
2006-02-09,3447376920
2006-02-10,3457576260
2006-02-13,3460976040
2006-02-14,3462675930
2006-02-15,3398080109
2006-02-16,3663262950
2006-02-17,3644564160
2006-02-21,3600367020
2006-02-22,3613966140
2006-02-23,3600367020
2006-02-24,3586767900
2006-02-27,3632664930
2006-02-28,3683661630
2006-03-01,3715959540
2006-03-02,3746557560
2006-03-03,3731258550
2006-03-06,3749957340
2006-03-07,3715959540
