,JPM
2001-12-26,71498021000
2001-12-27,71517712000
2001-12-28,71970605000
2001-12-31,71907570000
2002-01-02,71907570000
2002-01-03,73826424000
2002-01-04,77149800000
2002-01-07,76951980000
2002-01-08,76358520000
2002-01-09,76576122000
2002-01-10,77426748000
2002-01-11,75844188000
2002-01-14,73806642000
2002-01-15,74914434000
2002-01-16,72224082000
2002-01-17,72896670000
2002-01-18,71037162000
2002-01-22,70740432000
2002-01-23,70720650000
2002-01-24,71017380000
2002-01-25,69217218000
2002-01-28,67872042000
2002-01-29,63401309999
2002-01-30,65399292000
2002-01-31,67357709999
2002-02-01,63618911999
2002-02-04,60453792000
2002-02-05,57407364000
2002-02-06,58238208000
2002-02-07,59484474000
2002-02-08,61561584000
2002-02-11,62985888000
2002-02-12,62293518000
2002-02-13,59840550000
2002-02-14,59761422000
2002-02-15,59444910000
2002-02-19,57427146000
2002-02-20,58178862000
2002-02-21,57644748000
2002-02-22,55765458000
2002-02-25,57367800000
2002-02-26,57288672000
2002-02-27,57288672000
2002-02-28,57862350000
2002-03-01,58673412000
2002-03-04,64291500000
2002-03-05,64311281999
2002-03-06,67357709999
2002-03-07,67357709999
2002-03-08,68722668000
2002-03-11,71808660000
2002-03-12,71709750000
2002-03-13,69968934000
2002-03-14,69454602000
2002-03-15,71234982000
2002-03-18,69909588000
2002-03-19,71393238000
2002-03-20,69612858000
2002-03-21,68821578000
2002-03-22,69632640000
2002-03-25,69138090000
2002-03-26,69533730000
2002-03-27,70226100000
2002-03-28,70522830000
2002-04-01,70600386000
2002-04-02,70005606000
2002-04-03,69410826000
2002-04-04,68280743999
2002-04-05,69113436000
2002-04-08,69351348000
2002-04-09,69767694000
2002-04-10,69470304000
2002-04-11,66337796000
2002-04-12,67963528000
2002-04-15,68201440000
2002-04-16,70144388000
2002-04-17,73891502000
2002-04-18,73871676000
2002-04-19,74862976000
2002-04-22,72563160000
2002-04-23,72563160000
2002-04-24,71155514000
2002-04-25,69450478000
2002-04-26,69371174000
2002-04-29,68082484000
2002-04-30,69589260000
2002-05-01,70382300000
2002-05-02,71869250000
2002-05-03,70739168000
2002-05-06,68201440000
2002-05-07,68657438000
2002-05-08,73177766000
2002-05-09,70917602000
2002-05-10,69549608000
2002-05-13,72047684000
2002-05-14,74525934000
2002-05-15,73276896000
2002-05-16,75001758000
2002-05-17,75537060000
2002-05-20,74268196000
2002-05-21,74387152000
2002-05-22,74466456000
2002-05-23,76072362000
2002-05-24,74942280000
2002-05-28,73752720000
2002-05-29,73296722000
2002-05-30,71393426000
2002-05-31,71274470000
2002-06-03,68716915999
2002-06-04,68697090000
2002-06-05,68796220000
2002-06-06,66793793999
2002-06-07,66793793999
2002-06-10,67170488000
2002-06-11,65287018000
2002-06-12,65762842000
2002-06-13,64751715999
2002-06-14,65425800000
2002-06-17,70342648000
2002-06-18,69430652000
2002-06-19,68617786000
2002-06-20,66179188000
2002-06-21,65405974000
2002-06-24,65782668000
2002-06-25,65287018000
2002-06-26,62432074000
2002-06-27,64870672000
2002-06-28,67249792000
2002-07-01,62280960000
2002-07-02,62022780000
2002-07-03,61466700000
2002-07-05,64723740000
2002-07-08,64108080000
2002-07-09,62102220000
2002-07-10,59877900000
2002-07-11,60712020000
2002-07-12,59997060000
2002-07-15,59738880000
2002-07-16,56601000000
2002-07-17,55886040000
2002-07-18,54019200000
2002-07-19,51834600000
2002-07-22,48696720000
2002-07-23,39878880000
2002-07-24,46273800000
2002-07-25,44387100000
2002-07-26,44188500000
2002-07-29,49848600000
2002-07-30,49431540000
2002-07-31,49570560000
2002-08-01,49689720000
2002-08-02,47366100000
2002-08-05,44387100000
2002-08-06,46968900000
2002-08-07,47743440000
2002-08-08,52390680000
2002-08-09,52331100000
2002-08-12,50563560000
2002-08-13,48458400000
2002-08-14,49928040000
2002-08-15,49232940000
2002-08-16,49371960000
2002-08-19,54039060000
2002-08-20,52708440000
2002-08-21,53383680000
2002-08-22,53006340000
2002-08-23,51060060000
2002-08-26,52609140000
2002-08-27,53125500000
2002-08-28,52192080000
2002-08-29,52827600000
2002-08-30,52430400000
2002-09-03,49153500000
2002-09-04,50424540000
2002-09-05,47862600000
2002-09-06,47485260000
2002-09-09,46849740000
2002-09-10,45975900000
2002-09-11,45638280000
2002-09-12,43711860000
2002-09-13,43771440000
2002-09-16,43116060000
2002-09-17,42798300000
2002-09-18,40593840000
2002-09-19,39461820000
2002-09-20,40077480000
2002-09-23,38230500000
2002-09-24,37019040000
2002-09-25,37515540000
2002-09-26,38270220000
2002-09-27,36423240000
2002-09-30,37980000000
2002-10-01,39480000000
2002-10-02,36500000000
2002-10-03,35240000000
2002-10-04,33080000000
2002-10-07,33540000000
2002-10-08,33200000000
2002-10-09,30900000000
2002-10-10,31900000000
2002-10-11,34380000000
2002-10-14,33759999999
2002-10-15,37220000000
2002-10-16,36580000000
2002-10-17,37580000000
2002-10-18,37940000000
2002-10-21,40540000000
2002-10-22,39820000000
2002-10-23,39540000000
2002-10-24,39400000000
2002-10-25,40740000000
2002-10-28,42500000000
2002-10-29,40920000000
2002-10-30,42100000000
2002-10-31,41500000000
2002-11-01,43040000000
2002-11-04,44020000000
2002-11-05,44940000000
2002-11-06,44120000000
2002-11-07,41200000000
2002-11-08,40400000000
2002-11-11,40840000000
2002-11-12,41080000000
2002-11-13,41900000000
2002-11-14,43840000000
2002-11-15,44180000000
2002-11-18,43780000000
2002-11-19,43900000000
2002-11-20,47440000000
2002-11-21,49780000000
2002-11-22,49980000000
2002-11-25,49900000000
2002-11-26,48380000000
2002-11-27,50380000000
2002-11-29,50340000000
2002-12-02,50440000000
2002-12-03,49220000000
2002-12-04,49400000000
2002-12-05,47220000000
2002-12-06,48860000000
2002-12-09,46520000000
2002-12-10,48300000000
2002-12-11,48180000000
2002-12-12,48300000000
2002-12-13,47240000000
2002-12-16,49600000000
2002-12-17,50040000000
2002-12-18,48000000000
2002-12-19,46660000000
2002-12-20,49740000000
2002-12-23,49420000000
2002-12-24,48400000000
2002-12-26,48900000000
2002-12-27,47600000000
2002-12-30,47980000000
2002-12-31,48000000000
2003-01-02,50880000000
2003-01-03,51880000000
2003-01-06,55960000000
2003-01-07,55680000000
2003-01-08,53540000000
2003-01-09,54600000000
2003-01-10,54180000000
2003-01-13,54560000000
2003-01-14,55180000000
2003-01-15,54160000000
2003-01-16,53560000000
2003-01-17,52380000000
2003-01-21,50840000000
2003-01-22,49400000000
2003-01-23,50260000000
2003-01-24,47620000000
2003-01-27,46580000000
2003-01-28,47020000000
2003-01-29,47000000000
2003-01-30,46080000000
2003-01-31,46680000000
2003-02-03,47160000000
2003-02-04,46100000000
2003-02-05,45880000000
2003-02-06,44620000000
2003-02-07,43960000000
2003-02-10,44200000000
2003-02-11,44000000000
2003-02-12,43020000000
2003-02-13,42580000000
2003-02-14,43700000000
2003-02-18,45000000000
2003-02-19,45000000000
2003-02-20,45380000000
2003-02-21,45760000000
2003-02-24,44600000000
2003-02-25,45100000000
2003-02-26,44680000000
2003-02-27,45320000000
2003-02-28,45360000000
2003-03-03,45700000000
2003-03-04,44800000000
2003-03-05,45620000000
2003-03-06,44000000000
2003-03-07,44580000000
2003-03-10,42880000000
2003-03-11,41500000000
2003-03-12,41500000000
2003-03-13,43440000000
2003-03-14,42520000000
2003-03-17,45120000000
2003-03-18,45620000000
2003-03-19,46660000000
2003-03-20,47060000000
2003-03-21,49300000000
2003-03-24,47260000000
2003-03-25,48280000000
2003-03-26,48340000000
2003-03-27,48240000000
2003-03-28,48900000000
2003-03-31,47420000000
2003-04-01,48605380000
2003-04-02,50370660000
2003-04-03,50029640000
2003-04-04,51313480000
2003-04-07,51433840000
2003-04-08,52135940000
2003-04-09,51614380000
2003-04-10,51594320000
2003-04-11,51333540000
2003-04-14,53239240000
2003-04-15,53901220000
2003-04-16,53159000000
2003-04-17,54783860000
2003-04-21,55064700000
2003-04-22,57532080000
2003-04-23,59056640000
2003-04-24,57291360000
2003-04-25,56087760000
2003-04-28,57792860000
2003-04-29,58454840000
2003-04-30,58876100000
2003-05-01,58735680000
2003-05-02,59899160000
2003-05-05,60902160000
2003-05-06,61604260000
2003-05-07,61824920000
2003-05-08,60099760000
2003-05-09,60340480000
2003-05-12,62065640000
2003-05-13,61624320000
2003-05-14,61162940000
2003-05-15,62266240000
2003-05-16,62687500000
2003-05-19,61022520000
2003-05-20,61042580000
2003-05-21,61283300000
2003-05-22,61162940000
2003-05-23,61985400000
2003-05-27,64292299999
2003-05-28,65295299999
2003-05-29,64733620000
2003-05-30,65917160000
2003-06-02,68043520000
2003-06-03,67842920000
2003-06-04,69588140000
2003-06-05,70410600000
2003-06-06,70470780000
2003-06-09,67722559999
2003-06-10,68364480000
2003-06-11,69287240000
2003-06-12,69608200000
2003-06-13,69608200000
2003-06-16,72115700000
2003-06-17,72396540000
2003-06-18,70350420000
2003-06-19,69106700000
2003-06-20,69808800000
2003-06-23,67903100000
2003-06-24,68805800000
2003-06-25,68183940000
2003-06-26,69006400000
2003-06-27,68003400000
2003-06-30,68565080000
2003-07-01,68830520000
2003-07-02,69152440000
2003-07-03,68669560000
2003-07-07,70560840000
2003-07-08,71224800000
2003-07-09,71747920000
2003-07-10,70440120000
2003-07-11,71949120000
2003-07-14,75047600000
2003-07-15,75027480000
2003-07-16,72935000000
2003-07-17,70500480000
2003-07-18,71083960000
2003-07-21,69273160000
2003-07-22,70299280000
2003-07-23,70138320000
2003-07-24,69574960000
2003-07-25,71365640000
2003-07-28,71405880000
2003-07-29,70902880000
2003-07-30,70540720000
2003-07-31,70520600000
2003-08-01,67120320000
2003-08-04,67864759999
2003-08-05,65913119999
2003-08-06,66375880000
2003-08-07,66094200000
2003-08-08,66375880000
2003-08-11,66838640000
2003-08-12,67683680000
2003-08-13,67261160000
2003-08-14,68206800000
2003-08-15,67723919999
2003-08-18,68508599999
2003-08-19,68790280000
2003-08-20,70077960000
2003-08-21,69615200000
2003-08-22,68247040000
2003-08-25,67884880000
2003-08-26,67160560000
2003-08-27,66919119999
2003-08-28,68226919999
2003-08-29,68850640000
2003-09-02,69816400000
2003-09-03,70138320000
2003-09-04,69776160000
2003-09-05,68790280000
2003-09-08,69715800000
2003-09-09,68931120000
2003-09-10,67160560000
2003-09-11,67764160000
2003-09-12,68408000000
2003-09-15,68347640000
2003-09-16,69615200000
2003-09-17,69735920000
2003-09-18,71908880000
2003-09-19,71405880000
2003-09-22,70399880000
2003-09-23,71325400000
2003-09-24,70158440000
2003-09-25,69373760000
2003-09-26,68790280000
2003-09-29,69715800000
2003-09-30,69071960000
2003-10-01,71396840000
2003-10-02,70670360000
2003-10-03,70973060000
2003-10-06,71739900000
2003-10-07,72829620000
2003-10-08,71860980000
2003-10-09,72042600000
2003-10-10,71679360000
2003-10-13,73535920000
2003-10-14,74222040000
2003-10-15,73858800000
2003-10-16,74343120000
2003-10-17,73334120000
2003-10-20,73858800000
2003-10-21,74000060000
2003-10-22,70589640000
2003-10-23,70630000000
2003-10-24,70165860000
2003-10-27,70529100000
2003-10-28,71739900000
2003-10-29,72506740000
2003-10-30,72325120000
2003-10-31,72446200000
2003-11-03,74080780000
2003-11-04,73858800000
2003-11-05,73717540000
2003-11-06,73273580000
2003-11-07,72728720000
2003-11-10,72426020000
2003-11-11,72728720000
2003-11-12,72426020000
2003-11-13,72365480000
2003-11-14,71558280000
2003-11-17,71457380000
2003-11-18,70408020000
2003-11-19,70145680000
2003-11-20,69883340000
2003-11-21,70630000000
2003-11-24,71174860000
2003-11-25,71699540000
2003-11-26,71659180000
2003-11-28,71437200000
2003-12-01,71961880000
2003-12-02,72264580000
2003-12-03,72284760000
2003-12-04,71417020000
2003-12-05,70549280000
2003-12-08,71558280000
2003-12-09,70286940000
2003-12-10,69964060000
2003-12-11,70589640000
2003-12-12,70811620000
2003-12-15,71154680000
2003-12-16,72082960000
2003-12-17,71961880000
2003-12-18,71941700000
2003-12-19,72204040000
2003-12-22,72849800000
2003-12-23,72991060000
2003-12-24,72910340000
2003-12-26,73091960000
2003-12-29,73717540000
2003-12-30,73858800000
2003-12-31,74635360000
2004-01-02,74411840000
2004-01-05,74269600000
2004-01-06,76139040000
2004-01-07,77256640000
2004-01-08,78577440000
2004-01-09,78760320000
2004-01-12,78821280000
2004-01-13,79044800000
2004-01-14,79695040000
2004-01-15,79085440000
2004-01-16,79796640000
2004-01-20,79430880000
2004-01-21,81483200000
2004-01-22,81158080000
2004-01-23,80467200000
2004-01-26,81808320000
2004-01-27,81340960000
2004-01-28,79491840000
2004-01-29,79349600000
2004-01-30,79024480000
2004-02-02,79268320000
2004-02-03,79512160000
2004-02-04,79085440000
2004-02-05,79166720000
2004-02-06,80731360000
2004-02-09,80284320000
2004-02-10,80223360000
2004-02-11,81828640000
2004-02-12,82011520000
2004-02-13,81605120000
2004-02-17,82621120000
2004-02-18,82255360000
2004-02-19,82946240000
2004-02-20,82438240000
2004-02-23,81909920000
2004-02-24,81686400000
2004-02-25,81991200000
2004-02-26,82417920000
2004-02-27,83352640000
2004-03-01,84388960000
2004-03-02,84673440000
2004-03-03,85547200000
2004-03-04,86563200000
2004-03-05,87396320000
2004-03-08,87254080000
2004-03-09,86299040000
2004-03-10,85404960000
2004-03-11,83941920000
2004-03-12,84368640000
2004-03-15,83169760000
2004-03-16,83982560000
2004-03-17,85912960000
2004-03-18,85384640000
2004-03-19,83982560000
2004-03-22,82905600000
2004-03-23,83271360000
2004-03-24,82783680000
2004-03-25,84328000000
2004-03-26,83820000000
2004-03-29,85465920000
2004-03-30,85303360000
2004-03-31,85242400000
2004-04-01,86328728000
2004-04-02,84837484000
2004-04-05,85286900000
2004-04-06,84776200000
2004-04-07,84510636000
2004-04-08,84061220000
2004-04-12,84898768000
2004-04-13,81793712000
2004-04-14,80220756000
2004-04-15,79199356000
2004-04-16,80200328000
2004-04-19,80404608000
2004-04-20,78729512000
2004-04-21,76972704000
2004-04-22,78402664000
2004-04-23,78239240000
2004-04-26,78749940000
2004-04-27,78892936000
2004-04-28,77483404000
2004-04-29,76911420000
2004-04-30,76809280000
2004-05-03,77340408000
2004-05-04,78259668000
2004-05-05,77728540000
2004-05-06,76809280000
2004-05-07,74521344000
2004-05-10,72335548000
2004-05-11,71886132000
2004-05-12,73070956000
2004-05-13,73030100000
2004-05-14,72846248000
2004-05-17,72131268000
2004-05-18,72662396000
2004-05-19,73009672000
2004-05-20,73356948000
2004-05-21,73704224000
2004-05-24,73704224000
2004-05-25,75256752000
2004-05-26,75236324000
2004-05-27,75481460000
2004-05-28,75256752000
2004-06-01,75277180000
2004-06-02,76196440000
2004-06-03,75501888000
2004-06-04,76155584000
2004-06-07,77912392000
2004-06-08,77748968000
2004-06-09,76972704000
2004-06-10,77217840000
2004-06-14,75910448000
2004-06-15,76094300000
2004-06-16,76237296000
2004-06-17,76237296000
2004-06-18,76053444000
2004-06-21,75583600000
2004-06-22,75501888000
2004-06-23,76850136000
2004-06-24,77156556000
2004-06-25,77605972000
2004-06-28,77524260000
2004-06-29,78218812000
2004-06-30,79199356000
2004-07-01,134110295000
2004-07-02,133794080000
2004-07-06,130877875000
2004-07-07,129507610000
2004-07-08,129121125000
2004-07-09,129402205000
2004-07-12,129648150000
2004-07-13,130491390000
2004-07-14,128067075000
2004-07-15,126486000000
2004-07-16,126029244999
2004-07-19,126486000000
2004-07-20,127891400000
2004-07-21,129367070000
2004-07-22,129226530000
2004-07-23,128348155000
2004-07-26,128137345000
2004-07-27,129683284999
2004-07-28,130245445000
2004-07-29,130491390000
2004-07-30,131158955000
2004-08-02,131440034999
2004-08-03,130245445000
2004-08-04,130737335000
2004-08-05,127469780000
2004-08-06,126802215000
2004-08-09,126731945000
2004-08-10,129964365000
2004-08-11,129648150000
2004-08-12,129507610000
2004-08-13,129542744999
2004-08-16,132599490000
2004-08-17,133267055000
2004-08-18,134637320000
2004-08-19,133513000000
2004-08-20,135796775000
2004-08-23,135445424999
