,UPS
2001-11-08,59783058484
2001-11-09,60041616277
2001-11-12,59738091911
2001-11-13,60974672662
2001-11-14,60963431019
2001-11-15,61244472099
2001-11-16,61120814024
2001-11-19,61368130174
2001-11-20,61278197028
2001-11-21,61154538953
2001-11-23,61604204681
2001-11-26,61716621113
2001-11-27,61829037545
2001-11-28,62031387122
2001-11-29,62166286840
2001-11-30,63200518014
2001-12-03,62840785432
2001-12-04,62953201864
2001-12-05,63841291676
2001-12-06,64054882896
2001-12-07,64223507544
2001-12-10,63211759657
2001-12-11,63155551441
2001-12-12,62481052850
2001-12-13,61817795901
2001-12-14,61930212333
2001-12-17,62166286840
2001-12-18,63391625948
2001-12-19,62233736699
2001-12-20,62132561911
2001-12-21,62076353695
2001-12-24,62166286840
2001-12-26,62267461629
2001-12-27,62031387122
2001-12-28,61885245760
2001-12-31,60931000000
2002-01-02,60886280000
2002-01-03,62004280000
2002-01-04,63334700000
2002-01-07,63848980000
2002-01-08,63971960000
2002-01-09,63513580000
2002-01-10,63558300000
2002-01-11,63189360000
2002-01-14,62641540000
2002-01-15,62608000000
2002-01-16,62608000000
2002-01-17,63144640000
2002-01-18,63189360000
2002-01-22,62675080000
2002-01-23,63468860000
2002-01-24,63278800000
2002-01-25,63759540000
2002-01-28,63837800000
2002-01-29,63055200000
2002-01-30,63647740000
2002-01-31,64262640000
2002-02-01,63491220000
2002-02-04,63234080000
2002-02-05,63614200000
2002-02-06,62786880000
2002-02-07,62194340000
2002-02-08,62999300000
2002-02-11,63480040000
2002-02-12,63390600000
2002-02-13,63368240000
2002-02-14,63670100000
2002-02-15,63726000000
2002-02-19,63412960000
2002-02-20,63547120000
2002-02-21,63502400000
2002-02-22,63502400000
2002-02-25,63837800000
2002-02-26,65190580000
2002-02-27,66185600000
2002-02-28,65894920000
2002-03-01,65962000000
2002-03-04,67068820000
2002-03-05,66252680000
2002-03-06,66386840000
2002-03-07,67080000000
2002-03-08,68198000000
2002-03-11,67169440000
2002-03-12,67169440000
2002-03-13,67001740000
2002-03-14,66990560000
2002-03-15,67448940000
2002-03-18,67728440000
2002-03-19,67583100000
2002-03-20,67594280000
2002-03-21,67359500000
2002-03-22,67862600000
2002-03-25,67795520000
2002-03-26,67325960000
2002-03-27,67672540000
2002-03-28,67974400000
2002-04-01,67265545460
2002-04-02,66432363641
2002-04-03,66321272732
2002-04-04,67087800005
2002-04-05,67432181823
2002-04-08,66998927278
2002-04-09,67298872732
2002-04-10,67554381823
2002-04-11,67076690914
2002-04-12,67443290914
2002-04-15,67043363641
2002-04-16,67709909096
2002-04-17,67654363641
2002-04-18,67787672732
2002-04-19,68254254551
2002-04-22,67643254550
2002-04-23,67110018187
2002-04-24,66576781823
2002-04-25,66898945460
2002-04-26,67110018187
2002-04-29,66354600005
2002-04-30,66698981823
2002-05-01,66487909096
2002-05-02,66576781823
2002-05-03,66765636369
2002-05-06,66187963641
2002-05-07,65599181823
2002-05-08,66299054550
2002-05-09,64899309096
2002-05-10,65254800005
2002-05-13,65532527278
2002-05-14,66210181823
2002-05-15,66321272732
2002-05-16,66187963641
2002-05-17,66154636369
2002-05-20,65476981823
2002-05-21,64732672732
2002-05-22,64710454550
2002-05-23,64910418187
2002-05-24,64865981823
2002-05-28,64766000005
2002-05-29,65177036368
2002-05-30,65543636369
2002-05-31,67076690914
2002-06-03,68287581823
2002-06-04,68043181823
2002-06-05,68154272732
2002-06-06,68220927278
2002-06-07,68176490914
2002-06-10,69298509096
2002-06-11,69598454551
2002-06-12,69187418187
2002-06-13,69731763642
2002-06-14,68731945460
2002-06-17,69120763642
2002-06-18,69509581823
2002-06-19,69542909096
2002-06-20,69242963642
2002-06-21,68743054551
2002-06-24,68643072732
2002-06-25,66887836369
2002-06-26,66876727278
2002-06-27,67198890914
2002-06-28,68598636369
2002-07-01,68455140000
2002-07-02,68030300000
2002-07-03,67840240000
2002-07-05,68410420000
2002-07-08,68231540000
2002-07-09,67907320000
2002-07-10,70713500000
2002-07-11,69875000000
2002-07-12,68488680000
2002-07-15,67639000000
2002-07-16,67303600000
2002-07-17,67974400000
2002-07-18,69371900000
2002-07-19,74906000000
2002-07-22,70556980000
2002-07-23,67415400000
2002-07-24,69137120000
2002-07-25,69550780000
2002-07-26,70333380000
2002-07-29,72111000000
2002-07-30,72111000000
2002-07-31,73050120000
2002-08-01,71686160000
2002-08-02,70210400000
2002-08-05,68499860000
2002-08-06,70098600000
2002-08-07,70568160000
2002-08-08,71831500000
2002-08-09,72278700000
2002-08-12,71283680000
2002-08-13,71004180000
2002-08-14,72558200000
2002-08-15,73217820000
2002-08-16,73888620000
2002-08-19,74738300000
2002-08-20,73676200000
2002-08-21,73888620000
2002-08-22,73799180000
2002-08-23,72983040000
2002-08-26,72345780000
2002-08-27,72502300000
2002-08-28,72055100000
2002-08-29,71384300000
2002-08-30,71451380000
2002-09-03,69930900000
2002-09-04,71048900000
2002-09-05,70221580000
2002-09-06,71529640000
2002-09-09,70881200000
2002-09-10,70870020000
2002-09-11,70456360000
2002-09-12,69282460000
2002-09-13,69260100000
2002-09-16,69506060000
2002-09-17,69752020000
2002-09-18,69148300000
2002-09-19,70042700000
2002-09-20,70210400000
2002-09-23,69684940000
2002-09-24,69036500000
2002-09-25,69561960000
2002-09-26,71104800000
2002-09-27,70065060000
2002-09-30,70514464516
2002-10-01,72397707052
2002-10-02,71484278037
2002-10-03,72172169024
2002-10-04,69465712685
2002-10-07,66928409868
2002-10-08,67943330995
2002-10-09,67864392685
2002-10-10,68856760009
2002-10-11,69725081418
2002-10-14,69837850432
2002-10-15,71800031277
2002-10-16,71529385643
2002-10-17,71506831840
2002-10-18,71157247897
2002-10-21,72375153249
2002-10-22,70209988178
2002-10-23,70480633812
2002-10-24,70480633812
2002-10-25,70694894939
2002-10-28,69048467333
2002-10-29,67977161699
2002-10-30,68259084234
2002-10-31,67672685361
2002-11-01,68721437192
2002-11-04,69612312403
2002-11-05,69747635220
2002-11-06,70965540573
2002-11-07,69476989587
2002-11-08,70300203389
2002-11-11,70458080009
2002-11-12,69939342544
2002-11-13,70367864798
2002-11-14,71089586488
2002-11-15,71303847615
2002-11-18,70615956629
2002-11-19,70232541981
2002-11-20,71191078601
2002-11-21,72115784516
2002-11-22,71608323953
2002-11-25,70818940854
2002-11-26,70029557756
2002-11-27,71608323953
2002-11-29,71450447333
2002-12-02,72138338319
2002-12-03,71946630995
2002-12-04,72070676911
2002-12-05,71890246488
2002-12-06,72262384235
2002-12-09,71946630995
2002-12-10,71608323953
2002-12-11,71878969587
2002-12-12,71721092967
2002-12-13,71664708460
2002-12-16,72487922263
2002-12-17,72059400009
2002-12-18,72104507615
2002-12-19,71754923671
2002-12-20,71924077192
2002-12-23,72036846207
2002-12-24,71777477474
2002-12-26,71675985361
2002-12-27,71055755784
2002-12-30,71473001136
2002-12-31,71373851821
2003-01-02,72403499969
2003-01-03,72211148117
2003-01-06,72652425895
2003-01-07,72414814784
2003-01-08,71905648117
2003-01-09,72561907376
2003-01-10,72448759228
2003-01-13,72075370339
2003-01-14,72188518487
2003-01-15,71713296265
2003-01-16,71871703673
2003-01-17,71781185154
2003-01-21,70887314784
2003-01-22,70321574044
2003-01-23,70061333303
2003-01-24,68794074044
2003-01-27,68420685156
2003-01-28,69054314785
2003-01-29,68511203674
2003-01-30,67606018489
2003-01-31,68262277748
2003-02-03,68567777748
2003-02-04,67832314785
2003-02-05,67990722193
2003-02-06,67572074045
2003-02-07,66927129601
2003-02-10,66927129601
2003-02-11,66531111082
2003-02-12,65897481453
2003-02-13,65150703675
2003-02-14,66757407379
2003-02-18,67311833304
2003-02-19,66734777749
2003-02-20,65818277749
2003-02-21,66089833305
2003-02-24,64686796268
2003-02-25,64890462935
2003-02-26,64811259231
2003-02-27,64799944416
2003-02-28,65105444416
2003-03-03,65456203675
2003-03-04,64302092565
2003-03-05,63419537010
2003-03-06,62763277751
2003-03-07,62276740714
2003-03-10,60805814788
2003-03-11,60172185159
2003-03-12,61733629603
2003-03-13,62661444417
2003-03-14,63362962936
2003-03-17,64924407379
2003-03-18,65376999972
2003-03-19,66338759231
2003-03-20,66712148119
2003-03-21,67719166637
2003-03-24,65376999972
2003-03-25,66021944416
2003-03-26,65580666638
2003-03-27,65229907379
2003-03-28,64833888861
2003-03-31,64662295110
2003-04-01,65252196749
2003-04-02,66080327897
2003-04-03,65626557405
2003-04-04,65581180356
2003-04-07,65751344290
2003-04-08,65876131176
2003-04-09,65161442651
2003-04-10,65229508225
2003-04-11,65569836094
2003-04-14,66250491832
2003-04-15,66590819701
2003-04-16,65490426257
2003-04-17,66193770520
2003-04-21,65649245930
2003-04-22,68133639373
2003-04-23,68632786915
2003-04-24,68655475439
2003-04-25,68655475439
2003-04-28,69971409866
2003-04-29,70436524620
2003-04-30,70470557407
2003-05-01,70255016423
2003-05-02,70788196752
2003-05-05,70391147571
2003-05-06,70810885276
2003-05-07,70357114784
2003-05-08,69903344292
2003-05-09,70243672161
2003-05-12,70901639375
2003-05-13,70788196752
2003-05-14,70708786915
2003-05-15,71582295113
2003-05-16,70391147571
2003-05-19,70323081997
2003-05-20,70050819702
2003-05-21,70084852489
2003-05-22,69880655768
2003-05-23,69937377079
2003-05-27,70368459046
2003-05-28,70141573800
2003-05-29,70118885276
2003-05-30,70822229538
2003-06-02,71423475440
2003-06-03,71786491834
2003-06-04,72433114785
2003-06-05,72206229539
2003-06-06,72160852490
2003-06-09,71763803309
2003-06-10,72194885277
2003-06-11,72535213146
2003-06-12,72376393474
2003-06-13,72228918064
2003-06-16,72818819703
2003-06-17,72603278720
2003-06-18,72455803310
2003-06-19,72262950851
2003-06-20,72818819703
2003-06-23,72399081998
2003-06-24,72149508228
2003-06-25,71321377080
2003-06-26,72092786916
2003-06-27,71468852490
2003-06-30,71324696989
2003-07-01,71772575777
2003-07-02,71940530322
2003-07-03,71571030322
2003-07-07,72097287898
2003-07-08,72511575777
2003-07-09,72310030322
2003-07-10,72198060625
2003-07-11,71884545474
2003-07-14,71884545474
2003-07-15,71694196989
2003-07-16,71537439413
2003-07-17,71604621231
2003-07-18,72074893958
2003-07-21,72545166686
2003-07-22,71918136383
2003-07-23,71906939413
2003-07-24,71324696989
2003-07-25,71615818201
2003-07-28,71638212140
2003-07-29,71190333352
2003-07-30,71078363655
2003-07-31,70630484867
2003-08-01,70596893958
2003-08-04,70384151534
2003-08-05,70093030322
2003-08-06,69813106079
2003-08-07,70451333352
2003-08-08,70787242443
2003-08-11,70999984867
2003-08-12,71111954564
2003-08-13,70932803049
2003-08-14,71324696989
2003-08-15,71638212140
2003-08-18,71604621231
2003-08-19,71492651534
2003-08-20,71503848504
2003-08-21,71257515170
2003-08-22,71347090928
2003-08-25,70899212140
2003-08-26,70988787898
2003-08-27,70417742443
2003-08-28,70249787897
2003-08-29,70272181837
2003-09-02,70832030322
2003-09-03,70921606079
2003-09-04,70764848504
2003-09-05,70753651534
2003-09-08,70484924261
2003-09-09,70093030322
2003-09-10,69577969715
2003-09-11,69197272746
2003-09-12,68872560624
2003-09-15,70104227291
2003-09-16,71615818201
2003-09-17,71727787898
2003-09-18,72466787898
2003-09-19,72242848504
2003-09-22,71660606080
2003-09-23,71996515171
2003-09-24,71369484867
2003-09-25,71481454564
2003-09-26,71571030322
2003-09-29,71817363655
2003-09-30,71837233710
2003-10-01,72456520207
2003-10-02,72591637261
2003-10-03,73188404250
2003-10-06,73301001795
2003-10-07,73616274921
2003-10-08,73548716393
2003-10-09,74393197981
2003-10-10,74348158963
2003-10-13,74843588161
2003-10-14,75890745330
2003-10-15,76217278210
2003-10-16,77286954888
2003-10-17,77106798816
2003-10-20,77410812187
2003-10-21,77658526786
2003-10-22,77557188996
2003-10-23,78176475493
2003-10-24,78716943709
2003-10-27,78424190092
2003-10-28,79189853398
2003-10-29,79505126524
2003-10-30,80642361729
2003-10-31,81655739634
2003-11-03,81396765280
2003-11-04,81633220125
2003-11-05,81486843316
2003-11-06,82083610305
2003-11-07,82353844413
2003-11-10,81858415215
2003-11-11,81295427490
2003-11-12,82004792023
2003-11-13,81982272514
2003-11-14,81565661598
2003-11-17,81531882334
2003-11-18,81171570190
2003-11-19,81498103071
2003-11-20,80991414118
2003-11-21,80023075231
2003-11-24,81621960370
2003-11-25,81948493251
2003-11-26,82016051778
2003-11-28,81937233496
2003-12-01,82747935820
2003-12-02,82016051778
2003-12-03,82241246868
2003-12-04,82849273611
2003-12-05,82443922449
2003-12-08,82657857784
2003-12-09,82342584658
2003-12-10,82004792023
2003-12-11,82139909077
2003-12-12,82635338275
2003-12-15,82534000485
2003-12-16,82916832138
2003-12-17,82804234593
2003-12-18,82804234593
2003-12-19,83029429683
2003-12-22,83614936917
2003-12-23,83817612498
2003-12-24,83828872252
2003-12-26,84065327097
2003-12-29,84234223414
2003-12-30,83491079617
2003-12-31,84452910455
2004-01-02,83433358216
2004-01-05,83750552246
2004-01-06,83240776127
2004-01-07,82968895530
2004-01-08,82289194037
2004-01-09,81428238813
2004-01-12,81813402992
2004-01-13,81462223888
2004-01-14,82085283589
2004-01-15,81949343291
2004-01-16,82697014933
2004-01-20,81677462694
2004-01-21,81904029858
2004-01-22,81938014932
2004-01-23,81881373141
2004-01-26,82764985082
2004-01-27,82459119410
2004-01-28,82062626873
2004-01-29,82141925380
2004-01-30,80737208962
2004-02-02,80533298514
2004-02-03,80431343291
2004-02-04,80533298514
2004-02-05,80204776126
2004-02-06,80827835828
2004-02-09,80476656723
2004-02-10,80499313440
2004-02-11,81326283589
2004-02-12,80555955231
2004-02-13,80227432843
2004-02-17,80703223888
2004-02-18,80646582096
2004-02-19,79774298514
2004-02-20,79479761201
2004-02-23,78890686574
2004-02-24,79241865678
2004-02-25,79128582096
2004-02-26,80238761201
2004-02-27,80012194037
2004-03-01,79128582096
2004-03-02,78698104484
2004-03-03,78109029857
2004-03-04,78584820902
2004-03-05,78890686574
2004-03-08,78267626872
2004-03-09,78052388066
2004-03-10,77655895529
2004-03-11,77180104484
2004-03-12,78109029857
2004-03-15,77010179111
2004-03-16,77112134335
2004-03-17,78698104484
2004-03-18,79003970156
2004-03-19,78075044783
2004-03-22,77418000007
2004-03-23,77395343290
2004-03-24,77440656723
2004-03-25,78766074634
2004-03-26,78244970156
2004-03-29,79060611947
2004-03-30,79117253738
2004-03-31,78259068478
2004-04-01,78483178067
2004-04-02,78965013684
2004-04-05,78774520533
2004-04-06,79211534232
2004-04-07,78796931492
2004-04-08,78965013684
2004-04-12,78920191766
2004-04-13,78595232862
2004-04-14,79379616423
2004-04-15,79928684916
2004-04-16,80253643820
2004-04-19,79648547930
2004-04-20,78908986286
2004-04-21,79783013684
2004-04-22,80612219163
2004-04-23,80455342451
2004-04-26,80163999985
2004-04-27,80186410944
2004-04-28,79402027382
2004-04-29,78830547930
2004-04-30,78606438341
2004-05-03,79222739711
2004-05-04,78707287656
2004-05-05,78942602725
2004-05-06,78830547930
2004-05-07,78090986287
2004-05-10,77631561629
2004-05-11,78270273958
2004-05-12,78225452040
2004-05-13,77620356150
2004-05-14,77732410944
2004-05-17,77721205465
2004-05-18,77822054780
2004-05-19,77474684917
2004-05-20,77272986287
2004-05-21,77452273958
2004-05-24,77878082177
2004-05-25,79278767108
2004-05-26,79525287656
2004-05-27,80130383546
2004-05-28,80365698615
2004-06-01,80152794505
2004-06-02,80645835601
2004-06-03,80410520533
2004-06-04,80388109574
2004-06-07,81519862998
2004-06-08,81968082176
2004-06-09,81508657519
2004-06-10,82012904094
2004-06-14,81654328752
2004-06-15,81956876697
2004-06-16,81956876697
2004-06-17,81676739711
2004-06-18,82270630121
2004-06-21,82517150669
2004-06-22,83043808203
2004-06-23,83570465738
2004-06-24,83335150669
2004-06-25,83783369847
2004-06-28,83951452039
2004-06-29,84029890395
2004-06-30,84685189837
2004-07-01,84245822748
2004-07-02,83671265787
2004-07-06,83096708825
2004-07-07,82961518951
2004-07-08,81902531610
2004-07-09,82308101230
2004-07-12,82206708825
2004-07-13,82510886040
2004-07-14,82488354395
2004-07-15,83423417685
2004-07-16,83130506293
2004-07-19,82792531610
2004-07-20,83479746799
2004-07-21,82308101230
2004-07-22,81823670851
2004-07-23,80449240471
2004-07-26,80325316421
2004-07-27,79998607560
2004-07-28,80099999965
2004-07-29,81260379712
2004-07-30,81068860724
2004-08-02,81722278446
2004-08-03,81857468319
2004-08-04,82026455661
2004-08-05,80133797434
2004-08-06,79153670852
2004-08-09,79435316421
2004-08-10,80156329079
2004-08-11,79322658193
2004-08-12,78534050599
2004-08-13,78015822751
2004-08-16,79570506295
2004-08-17,79424050599
2004-08-18,80268987307
2004-08-19,79705696168
2004-08-20,80336582244
2004-08-23,80595696168
