,MTCH
2000-05-12,1226884135
2000-05-15,1223032066
2000-05-16,1223032066
2000-05-17,1145990676
2000-05-18,1086283599
2000-05-19,1095913772
2000-05-22,1072801355
2000-05-23,1003464104
2000-05-24,1049688938
2000-05-25,1009242209
2000-05-26,972647548
2000-05-30,1009242209
2000-05-31,1009242209
2000-06-01,1059319112
2000-06-02,1122878259
2000-06-05,1090135668
2000-06-06,1063171181
2000-06-07,1068949286
2000-06-08,1043910834
2000-06-09,1049688938
2000-06-12,976499618
2000-06-13,1016946348
2000-06-14,1132508433
2000-06-15,1213401892
2000-06-16,1217253962
2000-06-19,1230736205
2000-06-20,1249996552
2000-06-21,1246144483
2000-06-22,1226884135
2000-06-23,1242292413
2000-06-26,1230736205
2000-06-27,1199919649
2000-06-28,1186437406
2000-06-29,1163324989
2000-06-30,1090276277
2000-07-03,1115758527
2000-07-05,1068434348
2000-07-06,1124859331
2000-07-07,1115758527
2000-07-10,1081175473
2000-07-11,1042952098
2000-07-12,1064794027
2000-07-13,1048412580
2000-07-14,1155802063
2000-07-17,1103017402
2000-07-18,1082995634
2000-07-19,1055693223
2000-07-20,1073894830
2000-07-21,1048412580
2000-07-24,1044772259
2000-07-25,1104837563
2000-07-26,1086635955
2000-07-27,1044772259
2000-07-28,1033851294
2000-07-31,1061153705
2000-08-01,1061153705
2000-08-02,1073894830
2000-08-03,1112118206
2000-08-04,1095736759
2000-08-07,1117578688
2000-08-08,1130319813
2000-08-09,1172183510
2000-08-10,1184924635
2000-08-11,1203126242
2000-08-14,1241349617
2000-08-15,1254090742
2000-08-16,1228608492
2000-08-17,1263191546
2000-08-18,1255910903
2000-08-21,1237709296
2000-08-22,1215867367
2000-08-23,1250450421
2000-08-24,1255910903
2000-08-25,1212227046
2000-08-28,1212227046
2000-08-29,1232248814
2000-08-30,1234068974
2000-08-31,1212227046
2000-09-01,1281393153
2000-09-05,1254090742
2000-09-06,1164902867
2000-09-07,1139420616
2000-09-08,1121219009
2000-09-11,1103017402
2000-09-12,1104837563
2000-09-13,1130319813
2000-09-14,1124859331
2000-09-15,1181284313
2000-09-18,1143060938
2000-09-19,1124859331
2000-09-20,1133960134
2000-09-21,1126679491
2000-09-22,1130319813
2000-09-25,1104837563
2000-09-26,1092096438
2000-09-27,1112118206
2000-09-28,1226788332
2000-09-29,1104837563
2000-10-02,1055693223
2000-10-03,1092096438
2000-10-04,1108477884
2000-10-05,1092096438
2000-10-06,991987597
2000-10-09,1001088401
2000-10-10,953764222
2000-10-11,962865026
2000-10-12,935562615
2000-10-13,975606151
2000-10-16,913720686
2000-10-17,879137632
2000-10-18,888238436
2000-10-19,888238436
2000-10-20,906440043
2000-10-23,939202936
2000-10-24,906440043
2000-10-25,857295703
2000-10-26,973785990
2000-10-27,970145669
2000-10-30,962865026
2000-10-31,1021110169
2000-11-01,1061153705
2000-11-02,1061153705
2000-11-03,1022930330
2000-11-06,1021110169
2000-11-07,1057513384
2000-11-08,1055693223
2000-11-09,1013829526
2000-11-10,986527115
2000-11-13,1004728722
2000-11-14,1022930330
2000-11-15,1010189205
2000-11-16,962865026
2000-11-17,962865026
2000-11-20,906440043
2000-11-21,884598114
2000-11-22,870036828
2000-11-24,906440043
2000-11-27,926461811
2000-11-28,882777954
2000-11-29,906440043
2000-11-30,846374739
2000-12-01,850015060
2000-12-04,857295703
2000-12-05,913720686
2000-12-06,850015060
2000-12-07,931922293
2000-12-08,944663418
2000-12-11,1035671455
2000-12-12,979246472
2000-12-13,982886794
2000-12-14,973785990
2000-12-15,939202936
2000-12-18,935562615
2000-12-19,906440043
2000-12-20,871856989
2000-12-21,926461811
2000-12-22,973785990
2000-12-26,966505347
2000-12-27,970145669
2000-12-28,973785990
2000-12-29,979246472
2001-01-02,1019987380
2001-01-03,1134684756
2001-01-04,1134684756
2001-01-05,1136732923
2001-01-08,1134684756
2001-01-09,1120347584
2001-01-10,1134684756
2001-01-11,1173599937
2001-01-12,1212515118
2001-01-16,1216611453
2001-01-17,1130588421
2001-01-18,1169503602
2001-01-19,1151070095
2001-01-22,1136732923
2001-01-23,1179744439
2001-01-24,1149021928
2001-01-25,1116251249
2001-01-26,1077336068
2001-01-29,1103962244
2001-01-30,1110106747
2001-01-31,1130588421
2001-02-01,1163359100
2001-02-02,1169503602
2001-02-05,1208418783
2001-02-06,1261671136
2001-02-07,1282152811
2001-02-08,1247333964
2001-02-09,1247333964
2001-02-12,1257574802
2001-02-13,1241189462
2001-02-14,1261671136
2001-02-15,1251430299
2001-02-16,1222755955
2001-02-20,1237093127
2001-02-21,1228900458
2001-02-22,1255526634
2001-02-23,1265767471
2001-02-26,1308778987
2001-02-27,1308778987
2001-02-28,1335405164
2001-03-01,1321067992
2001-03-02,1308778987
2001-03-05,1353838671
2001-03-06,1368175843
2001-03-07,1386609350
2001-03-08,1372272178
2001-03-09,1325164327
2001-03-12,1261671136
2001-03-13,1310827155
2001-03-14,1290345480
2001-03-15,1280104643
2001-03-16,1314923490
2001-03-19,1368175843
2001-03-20,1286249146
2001-03-21,1329260662
2001-03-22,1310827155
2001-03-23,1276008308
2001-03-26,1255526634
2001-03-27,1329260662
2001-03-28,1300586318
2001-03-29,1304682652
2001-03-30,1357935006
2001-04-02,1259161458
2001-04-03,1181555204
2001-04-04,1235879582
2001-04-05,1241700051
2001-04-06,1148572547
2001-04-09,1183495361
2001-04-10,1152452860
2001-04-11,1166033954
2001-04-12,1179615048
2001-04-16,1152452860
2001-04-17,1131111140
2001-04-18,1239759894
2001-04-19,1241700051
2001-04-20,1253340989
2001-04-23,1228118956
2001-04-24,1210657549
2001-04-25,1288263803
2001-04-26,1292144115
2001-04-27,1290203959
2001-04-30,1346468493
2001-05-01,1383331463
2001-05-02,1348408649
2001-05-03,1301844897
2001-05-04,1394972401
2001-05-07,1375570837
2001-05-08,1391092088
2001-05-09,1352288962
2001-05-10,1389151932
2001-05-11,1420194433
2001-05-14,1412433808
2001-05-15,1435715684
2001-05-16,1447356622
2001-05-17,1453177091
2001-05-18,1453177091
2001-05-21,1466758185
2001-05-22,1457057403
2001-05-23,1375570837
2001-05-24,1383331463
2001-05-25,1354229118
2001-05-29,1352288962
2001-05-30,1332887398
2001-05-31,1389151932
2001-06-01,1396912557
2001-06-04,1398852713
2001-06-05,1447356622
2001-06-06,1375570837
2001-06-07,1383331463
2001-06-08,1329007086
2001-06-11,1350348805
2001-06-12,1371690525
2001-06-13,1365870056
2001-06-14,1321246460
2001-06-15,1365870056
2001-06-18,1334827555
2001-06-19,1369750368
2001-06-20,1447356622
2001-06-21,1482279436
2001-06-22,1443476309
2001-06-25,1458997560
2001-06-26,1457057403
2001-06-27,1447356622
2001-06-28,1497800686
2001-06-29,1503621155
2001-07-02,774022110
2001-07-03,760799656
2001-07-05,769953662
2001-07-06,746560090
2001-07-09,758765432
2001-07-10,728252077
2001-07-11,738423195
2001-07-12,754696985
2001-07-13,710961176
2001-07-16,746560090
2001-07-17,761816768
2001-07-18,774022110
2001-07-19,758765432
2001-07-20,758765432
2001-07-23,738423195
2001-07-24,736388972
2001-07-25,758765432
2001-07-26,788261676
2001-07-27,789278787
2001-07-30,785210340
2001-07-31,788261676
2001-08-01,789278787
2001-08-02,775039222
2001-08-03,760799656
2001-08-06,760799656
2001-08-07,765885215
2001-08-08,760799656
2001-08-09,742491643
2001-08-10,733337636
2001-08-13,718080959
2001-08-14,717063847
2001-08-15,689601827
2001-08-16,700790057
2001-08-17,669259590
2001-08-20,689601827
2001-08-21,666208255
2001-08-22,633660676
2001-08-23,619421110
2001-08-24,651968689
2001-08-27,670276702
2001-08-28,665191143
2001-08-29,643831794
2001-08-30,624506669
2001-08-31,651968689
2001-09-04,649934465
2001-09-05,656037136
2001-09-06,646883130
2001-09-07,648917353
2001-09-10,649934465
2001-09-17,519744150
2001-09-18,465837222
2001-09-19,542120610
2001-09-20,507538808
2001-09-21,520761262
2001-09-24,529915268
2001-09-25,507538808
2001-09-26,483128124
2001-09-27,501436137
2001-09-28,506521696
2001-10-01,1046333035
2001-10-02,1017999065
2001-10-03,1113120250
2001-10-04,1131334945
2001-10-05,1107048685
2001-10-08,1064547730
2001-10-09,1042285325
2001-10-10,1096929410
2001-10-11,1179907465
2001-10-12,1145501930
2001-10-15,1133358800
2001-10-16,1155621205
2001-10-17,1074667005
2001-10-18,1020022920
2001-10-19,1048356890
2001-10-22,1103000975
2001-10-23,1090857845
2001-10-24,1044309180
2001-10-25,1072643150
2001-10-26,1070619295
2001-10-29,1015975209
2001-10-30,1011927500
2001-10-31,1034189905
2001-11-01,1078714715
2001-11-02,1074667005
2001-11-05,1113120250
2001-11-06,1165740480
2001-11-07,1133358800
2001-11-08,1149549640
2001-11-09,1121215670
2001-11-12,1109072540
2001-11-13,1131334945
2001-11-14,1135382655
2001-11-15,1131334945
2001-11-16,1169788190
2001-11-19,1236575405
2001-11-20,1206217580
2001-11-21,1208241435
2001-11-23,1214313000
2001-11-26,1268957085
2001-11-27,1260861665
2001-11-28,1224432275
2001-11-29,1248718535
2001-11-30,1260861665
2001-12-03,1240623115
2001-12-04,1333720445
2001-12-05,1432889340
2001-12-06,1408603080
2001-12-07,1384316820
2001-12-10,1341815865
2001-12-11,1404555370
2001-12-12,1374197545
2001-12-13,1335744300
2001-12-14,1333720445
2001-12-17,1402531515
2001-12-18,1505748120
2001-12-19,1493604990
2001-12-20,1471342585
2001-12-21,1465271020
2001-12-24,1489557280
2001-12-26,1503724265
2001-12-27,1521938960
2001-12-28,1521938960
2001-12-31,1601875956
2002-01-02,1631540325
2002-01-03,1608232606
2002-01-04,1584924887
2002-01-07,1589162655
2002-01-08,1597638189
2002-01-09,1570092703
2002-01-10,1551022751
2002-01-11,1531952799
2002-01-14,1510763964
2002-01-15,1551022751
2002-01-16,1529833915
2002-01-17,1557379401
2002-01-18,1523477265
2002-01-22,1525596148
2002-01-23,1529833915
2002-01-24,1555260518
2002-01-25,1508645080
2002-01-28,1620945908
2002-01-29,1712057900
2002-01-30,1661204695
2002-01-31,1678155763
2002-02-01,1690869064
2002-02-04,1690869064
2002-02-05,1680274647
2002-02-06,1654848044
2002-02-07,1676036880
2002-02-08,1703582366
2002-02-11,1756554454
2002-02-12,1815883193
2002-02-13,1775624406
2002-02-14,1760792221
2002-02-15,1773505522
2002-02-19,1714176783
2002-02-20,1695106832
2002-02-21,1659085811
2002-02-22,1642134743
2002-02-25,1762911105
2002-02-26,1748078920
2002-02-27,1750197804
2002-02-28,1733246735
2002-03-01,1779862173
2002-03-04,1862498631
2002-03-05,1790456591
2002-03-06,1826477611
2002-03-07,1771386639
2002-03-08,1805288776
2002-03-11,1815883193
2002-03-12,1792575474
2002-03-13,1796813241
2002-03-14,1820120960
2002-03-15,1892163001
2002-03-18,1896400768
2002-03-19,1904876302
2002-03-20,1909114069
2002-03-21,1923946254
2002-03-22,1890044117
2002-03-25,1809526543
2002-03-26,1779862173
2002-03-27,1820120960
2002-03-28,1864617515
2002-04-01,1061878038
2002-04-02,1052202612
2002-04-03,1052202612
2002-04-04,1069134608
2002-04-05,1076391178
2002-04-08,1098160887
2002-04-09,1095742030
2002-04-10,1116302311
2002-04-11,1081228891
2002-04-12,1084857176
2002-04-15,1064296895
2002-04-16,1107836313
2002-04-17,1075181749
2002-04-18,1065506323
2002-04-19,1070344036
2002-04-22,1057040325
2002-04-23,1018338620
2002-04-24,1067925180
2002-04-25,1055830897
2002-04-26,1007453765
2002-04-29,972380345
2002-04-30,1001406624
2002-05-01,1023176333
2002-05-02,983265199
2002-05-03,1006244337
2002-05-06,986893484
2002-05-07,997778339
2002-05-08,1017129191
2002-05-09,1002616052
2002-05-10,953029492
2002-05-13,971170916
2002-05-14,979636914
2002-05-15,996568910
2002-05-16,982055771
2002-05-17,992940626
2002-05-20,965123775
2002-05-21,957867205
2002-05-22,969961488
2002-05-23,965123775
2002-05-24,972380345
2002-05-28,945772922
2002-05-29,933678639
2002-05-30,944563494
2002-05-31,951820064
2002-06-03,833296091
2002-06-04,840552661
2002-06-05,871997797
2002-06-06,845390374
2002-06-07,858694085
2002-06-10,801850956
2002-06-11,813945239
2002-06-12,827248950
2002-06-13,838133804
2002-06-14,846599803
2002-06-17,876835510
2002-06-18,876835510
2002-06-19,876835510
2002-06-20,847809231
2002-06-21,844180946
2002-06-24,833296091
2002-06-25,793384958
2002-06-26,763149250
2002-06-27,757102109
2002-06-28,784918960
2002-07-01,746186801
2002-07-02,692887744
2002-07-03,752243512
2002-07-05,787372436
2002-07-08,783738409
2002-07-09,787372436
2002-07-10,759511565
2002-07-11,780104383
2002-07-12,787372436
2002-07-15,797063174
2002-07-16,730439352
2002-07-17,754666196
2002-07-18,718325930
2002-07-19,706212508
2002-07-22,694099086
2002-07-23,609305131
2002-07-24,685619690
2002-07-25,644434055
2002-07-26,672294926
2002-07-29,752243512
2002-07-30,738918748
2002-07-31,738918748
2002-08-01,688042375
2002-08-02,671083584
2002-08-05,648068082
2002-08-06,680774322
2002-08-07,690465059
2002-08-08,714691903
2002-08-09,719537272
2002-08-12,724382641
2002-08-13,706212508
2002-08-14,744975459
2002-08-15,759511565
2002-08-16,763145592
2002-08-19,799485858
2002-08-20,776470356
2002-08-21,788583778
2002-08-22,781315725
2002-08-23,754666196
2002-08-26,755877539
2002-08-27,730439352
2002-08-28,707423850
2002-08-29,724382641
2002-08-30,718325930
2002-09-03,696521770
2002-09-04,697733112
2002-09-05,673506268
2002-09-06,705001166
2002-09-09,708635192
2002-09-10,728016668
2002-09-11,732862037
2002-09-12,712269219
2002-09-13,718325930
2002-09-16,706212508
2002-09-17,688042375
2002-09-18,705001166
2002-09-19,685619690
2002-09-20,690465059
2002-09-23,680774322
2002-09-24,660181504
2002-09-25,679562979
2002-09-26,685619690
2002-09-27,663815531
2002-09-30,1386589472
2002-10-01,1466634674
2002-10-02,1412410505
2002-10-03,1355604232
2002-10-04,1265230617
2002-10-07,1192931724
2002-10-08,1216170654
2002-10-09,1159364381
2002-10-10,1231663274
2002-10-11,1402082091
2002-10-14,1396917885
2002-10-15,1487291500
2002-10-16,1399499988
2002-10-17,1533769360
2002-10-18,1559590393
2002-10-21,1688695558
2002-10-22,1642217698
2002-10-23,1714516591
2002-10-24,1825547033
2002-10-25,1794561793
2002-10-28,1833293343
2002-10-29,1784233380
2002-10-30,1853950169
2002-10-31,1812636516
2002-11-01,1825547033
2002-11-04,1903010132
2002-11-05,1967562714
2002-11-06,1995965850
2002-11-07,1897845925
2002-11-08,1825547033
2002-11-11,1781651277
2002-11-12,1825547033
2002-11-13,1843621756
2002-11-14,1856532272
2002-11-15,1887517512
2002-11-18,1843621756
2002-11-19,1887517512
2002-11-20,2011458470
2002-11-21,2119906809
2002-11-22,2026951090
2002-11-25,2029533193
2002-11-26,1967562714
2002-11-27,2016622677
2002-11-29,1988219541
2002-12-02,1990801644
2002-12-03,1866860685
2002-12-04,1799726000
2002-12-05,1786815483
2002-12-06,1853950169
2002-12-09,1750666037
2002-12-10,1763576553
2002-12-11,1766158657
2002-12-12,1740337624
2002-12-13,1655128215
2002-12-16,1784233380
2002-12-17,1771322863
2002-12-18,1711934487
2002-12-19,1701606074
2002-12-20,1719680797
2002-12-23,1730009211
2002-12-24,1683531351
2002-12-26,1670620835
2002-12-27,1572500909
2002-12-30,1603486149
2002-12-31,1639635595
2003-01-02,1737755520
2003-01-03,1732591314
2003-01-06,1587993529
2003-01-07,1642217698
2003-01-08,1613814562
2003-01-09,1714516591
2003-01-10,1711934487
2003-01-13,1717098694
2003-01-14,1727427107
2003-01-15,1714516591
2003-01-16,1701606074
2003-01-17,1637053492
2003-01-21,1564754599
2003-01-22,1538933566
2003-01-23,1621560872
2003-01-24,1557008289
2003-01-27,1562172496
2003-01-28,1593157736
2003-01-29,1608650355
2003-01-30,1562172496
2003-01-31,1572500909
2003-02-03,1564754599
2003-02-04,1500202017
2003-02-05,1526023050
2003-02-06,1660292421
2003-02-07,1657710318
2003-02-10,1678367145
2003-02-11,1732591314
2003-02-12,1606068252
2003-02-13,1575083013
2003-02-14,1600904046
2003-02-18,1665456628
2003-02-19,1637053492
2003-02-20,1631889285
2003-02-21,1678367145
2003-02-24,1631889285
2003-02-25,1675785041
2003-02-26,1642217698
2003-02-27,1688695558
2003-02-28,1753248140
2003-03-03,1737755520
2003-03-04,1699023971
2003-03-05,1691277661
2003-03-06,1686113454
2003-03-07,1732591314
2003-03-10,1668038731
2003-03-11,1675785041
2003-03-12,1686113454
2003-03-13,1828129136
2003-03-14,1786815483
2003-03-17,1874606995
2003-03-18,1892681718
2003-03-19,1776487070
2003-03-20,1921084855
2003-03-21,2008876367
2003-03-24,1923666958
2003-03-25,1962398508
2003-03-26,1990801644
2003-03-27,2014040574
2003-03-28,2032115297
2003-03-31,2188682987
2003-04-01,2106091176
2003-04-02,2120839714
2003-04-03,2123789421
2003-04-04,2103141468
2003-04-07,2132638544
2003-04-08,2117890006
2003-04-09,2050046733
2003-04-10,2179833864
2003-04-11,2209330939
2003-04-14,2224079477
2003-04-15,2294872458
2003-04-16,2262425675
2003-04-17,2353866608
2003-04-21,2374514561
2003-04-22,2395162514
2003-04-23,2415810467
2003-04-24,2350916901
2003-04-25,2315520411
2003-04-28,2436458419
2003-04-29,2445307542
2003-04-30,2445307542
2003-05-01,2669485314
2003-05-02,2855316889
2003-05-05,2784523908
2003-05-06,2784523908
2003-05-07,2781574200
2003-05-08,2678334437
2003-05-09,2701932097
2003-05-12,2825819813
2003-05-13,2878914549
2003-05-14,2861216304
2003-05-15,2929059577
2003-05-16,2920210454
2003-05-19,2808121568
2003-05-20,2722580050
2003-05-21,2784523908
2003-05-22,2914311039
2003-05-23,2923160162
2003-05-27,3029349633
2003-05-28,3049997586
2003-05-29,3026399925
2003-05-30,3123740274
2003-06-02,3085394076
2003-06-03,3052947293
2003-06-04,3129639689
2003-06-05,3144388226
2003-06-06,3035249048
2003-06-09,2999852558
2003-06-10,3002802265
2003-06-11,3085394076
2003-06-12,3076544953
2003-06-13,2991003435
2003-06-16,3123740274
2003-06-17,3179784717
2003-06-18,3165036179
2003-06-19,3111941444
2003-06-20,3067695831
2003-06-23,2988053727
2003-06-24,2914311039
2003-06-25,2920210454
2003-06-26,3091293491
2003-06-27,3153237349
2003-06-30,3665992753
2003-07-01,3726587674
2003-07-02,3736686828
2003-07-03,3689557444
2003-07-07,3982432898
2003-07-08,3915105208
2003-07-09,3888174132
2003-07-10,3847777517
2003-07-11,3810747287
2003-07-14,3942036284
2003-07-15,3905006054
2003-07-16,3847777517
2003-07-17,3686191060
2003-07-18,3588565908
2003-07-21,3571733986
2003-07-22,3585199524
2003-07-23,3723221290
2003-07-24,3726587674
2003-07-25,3834311979
2003-07-28,3820846441
2003-07-29,3736686828
2003-07-30,3686191060
2003-07-31,3756885135
2003-08-01,3709755752
2003-08-04,3682824675
2003-08-05,3400048375
2003-08-06,3363018145
2003-08-07,3282224916
2003-08-08,3235095533
2003-08-11,3231729148
2003-08-12,3187966149
2003-08-13,3238461917
2003-08-14,3349552607
2003-08-15,3373117299
2003-08-18,3379850068
2003-08-19,3517871833
2003-08-20,3467376065
2003-08-21,3484207988
2003-08-22,3342819838
2003-08-25,3352918991
2003-08-26,3342819838
2003-08-27,3366384530
2003-08-28,3413513913
2003-08-29,3447177758
2003-09-02,3410147528
2003-09-03,3285591301
2003-09-04,3292324070
2003-09-05,3339453453
2003-09-08,3369750914
2003-09-09,3288957685
2003-09-10,3171134227
2003-09-11,3204798072
2003-09-12,3184599765
2003-09-15,3127371228
2003-09-16,3211530841
2003-09-17,3181233380
2003-09-18,3376483683
2003-09-19,3379850068
2003-09-22,3265392994
2003-09-23,3400048375
2003-09-24,3359651760
2003-09-25,3275492147
2003-09-26,3221629995
2003-09-29,3214897226
2003-09-30,3093707383
2003-10-01,3161035073
2003-10-02,3167767842
2003-10-03,3295690454
2003-10-06,3403414759
2003-10-07,3373117299
2003-10-08,3393315606
2003-10-09,3514505449
2003-10-10,3628962523
2003-10-13,3635695292
2003-10-14,3605397831
2003-10-15,3514505449
2003-10-16,3575100370
2003-10-17,3484207988
2003-10-20,3490940757
2003-10-21,3517871833
2003-10-22,3423613067
2003-10-23,3464009681
2003-10-24,3494307142
2003-10-27,3514505449
2003-10-28,3578466755
2003-10-29,3554902063
2003-10-30,3527970987
2003-10-31,3430345836
2003-11-03,3514505449
2003-11-04,3447177758
2003-11-05,3187966149
2003-11-06,3043211615
2003-11-07,3117272074
2003-11-10,3140836766
2003-11-11,3110539305
2003-11-12,3150935920
2003-11-13,3097073767
2003-11-14,3039845230
2003-11-17,2975883924
2003-11-18,2874892388
2003-11-19,2938853694
2003-11-20,2898457080
2003-11-21,2955685617
2003-11-24,3006181385
2003-11-25,3039845230
2003-11-26,2999448616
2003-11-28,3043211615
2003-12-01,3029746077
2003-12-02,2989349462
2003-12-03,2884991542
2003-12-04,2794099159
2003-12-05,2817663851
2003-12-08,2824396620
2003-12-09,2746969776
2003-12-10,2683008470
2003-12-11,2817663851
2003-12-12,2844594927
2003-12-15,2824396620
2003-12-16,2891724311
2003-12-17,2884991542
2003-12-18,2982616693
2003-12-19,3080241844
2003-12-22,3127371228
2003-12-23,3137470381
2003-12-24,3066776306
2003-12-26,3043211615
2003-12-29,3124004843
2003-12-30,3150935920
2003-12-31,3877453039
2004-01-02,3803124866
2004-01-05,3881582382
2004-01-06,3807254209
2004-01-07,3774219465
2004-01-08,3732926035
2004-01-09,3679244577
2004-01-12,3687503263
2004-01-13,3712279321
2004-01-14,3898099754
2004-01-15,3885711725
2004-01-16,3988945299
2004-01-20,3943522526
2004-01-21,3869194353
2004-01-22,3898099754
2004-01-23,3898099754
2004-01-26,3881582382
2004-01-27,3770090122
2004-01-28,3576011003
2004-01-29,3670985891
2004-01-30,3687503263
2004-02-02,3613175090
2004-02-03,3489294801
2004-02-04,3526458887
2004-02-05,3592528375
2004-02-06,3654468519
2004-02-09,3778348808
2004-02-10,3790736837
2004-02-11,3794866180
2004-02-12,3704020635
2004-02-13,3650339176
2004-02-17,3704020635
2004-02-18,3732926035
2004-02-19,3670985891
2004-02-20,3670985891
2004-02-23,3596657718
2004-02-24,3542976259
2004-02-25,3567752317
2004-02-26,3559493631
2004-02-27,3724667349
2004-03-01,3749443407
2004-03-02,3679244577
2004-03-03,3658597862
2004-03-04,3728796692
2004-03-05,3699891292
2004-03-08,3683373920
2004-03-09,3675115234
2004-03-10,3559493631
2004-03-11,3518200201
2004-03-12,3542976259
2004-03-15,3324121082
2004-03-16,3427354656
2004-03-17,3460389400
2004-03-18,3431483999
2004-03-19,3332379768
2004-03-22,3237404880
2004-03-23,3196111451
2004-03-24,3229146194
2004-03-25,3468648086
2004-03-26,3452130714
2004-03-29,3514070858
2004-03-30,3584269689
2004-03-31,3305707448
2004-04-01,3475521187
2004-04-02,3543446682
2004-04-05,3566088514
2004-04-06,3543446682
2004-04-07,3464200271
2004-04-08,3460426632
2004-04-12,3460426632
2004-04-13,3373632944
2004-04-14,3407595691
2004-04-15,3343443835
2004-04-16,3309481087
2004-04-19,3434011162
2004-04-20,3354764750
2004-04-21,3400048414
2004-04-22,3581183069
2004-04-23,3573635792
2004-04-26,3486842103
2004-04-27,3498163019
2004-04-28,3426463885
2004-04-29,3411369330
2004-04-30,3369859305
2004-05-03,3245329230
2004-05-04,3324575641
2004-05-05,3305707448
2004-05-06,3294386532
2004-05-07,3222687398
2004-05-10,3132120071
2004-05-11,3139667348
2004-05-12,3086836407
2004-05-13,3098157323
2004-05-14,3056647298
2004-05-17,3007589996
2004-05-18,3041552743
2004-05-19,3086836407
2004-05-20,3117025516
2004-05-21,3139667348
2004-05-24,3135893709
2004-05-25,3252876507
2004-05-26,3271744700
2004-05-27,3294386532
2004-05-28,3264197423
2004-06-01,3298160171
2004-06-02,3283065616
2004-06-03,3173630096
2004-06-04,3162309180
2004-06-07,3222687398
2004-06-08,3211366482
2004-06-09,3181177373
2004-06-10,3166082818
2004-06-14,3090610046
2004-06-15,3147214625
2004-06-16,3128346432
2004-06-17,3117025516
2004-06-18,3128346432
2004-06-21,3139667348
2004-06-22,3252876507
2004-06-23,3241555591
2004-06-24,3211366482
2004-06-25,3086836407
2004-06-28,3154761903
2004-06-29,3166082818
2004-06-30,3043219145
2004-07-01,3032272314
2004-07-02,3068761752
2004-07-06,3035921258
2004-07-07,3061463864
2004-07-08,2988484988
2004-07-09,3021325482
2004-07-12,2977538157
2004-07-13,2962942381
2004-07-14,2944697662
2004-07-15,2944697662
2004-07-16,2922803999
2004-07-19,2904559280
2004-07-20,2992133932
2004-07-21,2900910336
2004-07-22,2889963505
2004-07-23,2827931460
2004-07-26,2816984629
2004-07-27,2860771954
2004-07-28,2835229348
2004-07-29,2816984629
2004-07-30,2758601527
2004-08-02,2784144134
2004-08-03,2729409977
2004-08-04,2302483550
2004-08-05,2258696224
2004-08-06,2214908898
2004-08-09,2240451505
2004-08-10,2291536718
2004-08-11,2295185662
2004-08-12,2255047280
2004-08-13,2284238831
2004-08-16,2324377213
2004-08-17,2309781438
2004-08-18,2386409258
2004-08-19,2368164539
2004-08-20,2375462426
2004-08-23,2371813483
2004-08-24,2401005033
2004-08-25,2448441303
2004-08-26,2415600808
2004-08-27,2371813483
2004-08-30,2342621932
2004-08-31,2306132494
2004-09-01,2302483550
2004-09-02,2317079325
2004-09-03,2280589887
2004-09-07,2298834606
2004-09-08,2240451505
2004-09-09,2174770516
2004-09-10,2251398336
2004-09-13,2207611011
2004-09-14,2222206786
2004-09-15,2163823685
2004-09-16,2222206786
2004-09-17,2375462426
2004-09-20,2306132494
