,ACN
2003-10-07,12008921294
2003-10-08,12310183160
2003-10-09,11489504283
2003-10-10,11619358536
2003-10-13,11567416834
2003-10-14,11795960319
2003-10-15,11562222664
2003-10-16,11510280963
2003-10-17,11375232540
2003-10-20,11427174242
2003-10-21,11645329386
2003-10-22,11894649551
2003-10-23,11780377809
2003-10-24,11619358536
2003-10-27,11629746876
2003-10-28,12092028016
2003-10-29,12263435629
2003-10-30,12310183160
2003-10-31,12154358057
2003-11-03,12559503325
2003-11-04,12642610047
2003-11-05,12621833367
2003-11-06,12673775068
2003-11-07,13011396125
2003-11-10,12756881790
2003-11-11,12751687620
2003-11-12,13130862038
2003-11-13,12814017661
2003-11-14,12647804217
2003-11-17,12673775068
2003-11-18,12528338305
2003-11-19,12491979114
2003-11-20,12580280006
2003-11-21,12549114985
2003-11-24,12912706893
2003-11-25,12704940089
2003-11-26,12845182682
2003-11-28,12933483573
2003-12-01,13786279251
2003-12-02,13954935390
2003-12-03,14134472570
2003-12-04,13927732787
2003-12-05,13780838730
2003-12-08,13628504153
2003-12-09,13731874044
2003-12-10,13672028318
2003-12-11,13612182591
2003-12-12,13606742070
2003-12-15,13552336864
2003-12-16,13361918642
2003-12-17,13302072915
2003-12-18,13519693740
2003-12-19,13927732787
2003-12-22,13857006019
2003-12-23,14145353612
2003-12-24,14324890792
2003-12-26,14156234653
2003-12-29,14314009751
2003-12-30,14265045065
2003-12-31,14319450271
2004-01-02,14101829447
2004-01-05,14504427972
2004-01-06,14335771833
2004-01-07,14009340596
2004-01-08,13541455823
2004-01-09,13720993003
2004-01-12,14096388926
2004-01-13,12328219724
2004-01-14,12888593348
2004-01-15,12839628663
2004-01-16,12763461374
2004-01-20,12937558034
2004-01-21,13138857297
2004-01-22,13536015302
2004-01-23,13111654694
2004-01-26,13421764369
2004-01-27,13057249488
2004-01-28,12926676993
2004-01-29,12877712307
2004-01-30,12877712307
2004-02-02,12578483673
2004-02-03,12643769920
2004-02-04,12295576601
2004-02-05,12317338683
2004-02-06,12420708575
2004-02-09,12393505972
2004-02-10,12404387013
2004-02-11,12453351699
2004-02-12,12540400029
2004-02-13,12763461374
2004-02-17,12861390745
2004-02-18,12692734606
2004-02-19,12513197426
2004-02-20,12366303369
2004-02-23,11985466925
2004-02-24,12485994822
2004-02-25,12518637946
2004-02-26,12562162111
2004-02-27,12567602632
2004-03-01,12886274402
2004-03-02,12964440711
2004-03-03,12841607940
2004-03-04,13059356944
2004-03-05,13176606408
2004-03-08,13126356637
2004-03-09,13076106867
2004-03-10,12975607327
2004-03-11,12674108706
2004-03-12,12718775168
2004-03-15,12824858016
2004-03-16,13131939945
2004-03-17,13215689562
2004-03-18,13360855565
2004-03-19,13444605182
2004-03-22,13137523253
2004-03-23,13288272564
2004-03-24,13260356025
2004-03-25,13210106254
2004-03-26,13338522334
2004-03-29,13427855259
2004-03-30,13651187571
2004-03-31,13846603344
2004-04-01,13863353267
2004-04-02,14030852501
2004-04-05,14349101046
2004-04-06,14042019117
2004-04-07,14036435809
2004-04-08,14092268887
2004-04-12,14349101046
2004-04-13,14226268274
2004-04-14,14131352041
2004-04-15,14042019117
2004-04-16,13718187264
2004-04-19,14125768734
2004-04-20,13913603037
2004-04-21,13824270112
2004-04-22,13522771491
2004-04-23,13757270419
2004-04-26,13617687724
2004-04-27,13539521415
2004-04-28,13265939332
2004-04-29,13260356025
2004-04-30,13271522640
2004-05-03,13388772104
2004-05-04,13372022181
2004-05-05,13511604876
2004-05-06,13472521721
2004-05-07,13226856178
2004-05-10,12925357557
2004-05-11,13288272564
2004-05-12,13187773023
2004-05-13,13310605795
2004-05-14,13310605795
2004-05-17,12981190635
2004-05-18,13187773023
2004-05-19,13232439486
2004-05-20,13053773636
2004-05-21,13210106254
2004-05-24,13260356025
2004-05-25,13249189409
2004-05-26,13433438566
2004-05-27,13640020955
2004-05-28,13740520495
2004-06-01,14963151898
2004-06-02,14733040335
2004-06-03,14792043300
2004-06-04,14721239742
2004-06-07,14851046265
2004-06-08,15033955456
2004-06-09,14650436184
2004-06-10,14839245672
2004-06-14,14738940632
2004-06-15,14662236777
2004-06-16,14933650416
2004-06-17,15806894296
2004-06-18,16048806452
2004-06-21,15771492517
2004-06-22,15706589256
2004-06-23,16261217126
2004-06-24,16178612975
2004-06-25,16208114458
2004-06-28,16107809417
2004-06-29,16025205266
2004-06-30,16214014754
2004-07-01,16326120387
2004-07-02,16467727503
2004-07-06,16072407638
2004-07-07,16078307935
2004-07-08,16072407638
2004-07-09,15924900226
2004-07-12,15618084809
2004-07-13,15163761979
2004-07-14,15287668205
2004-07-15,15340770874
2004-07-16,15146061089
2004-07-19,15122459903
2004-07-20,15222764944
2004-07-21,15087058124
2004-07-22,14845145968
2004-07-23,14697638556
2004-07-26,14414424325
2004-07-27,14514729365
2004-07-28,14314119284
2004-07-29,14579632626
2004-07-30,14532430254
2004-08-02,14656336481
2004-08-03,14561931737
2004-08-04,14709439149
2004-08-05,14662236777
2004-08-06,14373122249
2004-08-09,14302318691
2004-08-10,14514729365
2004-08-11,14261016616
2004-08-12,13842095565
2004-08-13,13989602977
2004-08-16,14485227882
2004-08-17,14620934702
2004-08-18,15004453974
2004-08-19,15275867612
2004-08-20,15370272356
2004-08-23,15482377989
2004-08-24,15429275321
2004-08-25,15452876507
2004-08-26,15175562572
2004-08-27,15293568502
2004-08-30,15193263461
2004-08-31,15399773838
2004-09-01,15618084809
2004-09-02,15529580361
2004-09-03,15281767909
2004-09-07,15446976210
2004-09-08,15612184512
2004-09-09,15688888366
2004-09-10,15800994000
2004-09-13,15458776803
2004-09-14,15765592221
2004-09-15,15706589256
2004-09-16,15913099633
2004-09-17,15741991035
2004-09-20,15806894296
2004-09-21,15954401708
2004-09-22,15871797558
2004-09-23,15871797558
2004-09-24,15824595186
2004-09-27,15724290145
2004-09-28,15753791628
2004-09-29,15948501412
2004-09-30,15960302005
2004-10-01,16078307935
2004-10-04,16166812382
2004-10-05,15877697854
2004-10-06,15924900226
2004-10-07,15741991035
2004-10-08,15789193407
2004-10-11,15871797558
2004-10-12,15682988070
2004-10-13,14119409500
2004-10-14,13877497344
2004-10-15,13877497344
2004-10-18,13948300902
2004-10-19,14143010686
2004-10-20,14278717505
2004-10-21,14331820174
2004-10-22,14072207128
2004-10-25,13989602977
2004-10-26,14119409500
2004-10-27,14420324621
2004-10-28,14426224918
2004-10-29,14284617802
2004-11-01,14190213058
2004-11-02,14414424325
2004-11-03,14538330551
2004-11-04,14827445079
2004-11-05,14744840928
2004-11-08,14396723435
2004-11-09,14532430254
2004-11-10,14278717505
2004-11-11,14337720470
2004-11-12,14461626696
2004-11-15,14862846858
2004-11-16,14880547747
2004-11-17,15246366130
2004-11-18,15311269391
2004-11-19,14998553677
2004-11-22,14892348340
2004-11-23,14868747154
2004-11-24,15252266426
2004-11-26,15305369095
2004-11-29,15305369095
2004-11-30,15305369095
2004-12-01,15863339250
2004-12-02,16029013811
2004-12-03,15987595171
2004-12-06,15987595171
2004-12-07,15922508736
2004-12-08,15685830791
2004-12-09,15502405384
2004-12-10,15691747740
2004-12-13,15715415534
2004-12-14,15958010428
2004-12-15,16182854475
2004-12-16,16005346017
2004-12-17,16188771424
2004-12-20,15975761274
2004-12-21,16171020578
2004-12-22,16271608705
2004-12-23,16301193448
2004-12-27,16100017195
2004-12-28,16111851092
2004-12-29,15969844325
2004-12-30,15916591787
2004-12-31,15975761274
2005-01-03,15602993510
2005-01-04,15236142696
2005-01-05,15176973210
2005-01-06,15040883392
2005-01-07,15745000277
2005-01-10,15952093479
2005-01-11,15679913843
2005-01-12,15614827408
2005-01-13,15490571487
2005-01-14,15555657921
2005-01-18,15443235898
2005-01-19,15384066412
2005-01-20,15188807107
2005-01-21,14887042727
2005-01-24,14733202063
2005-01-25,14910710522
2005-01-26,15029049494
2005-01-27,15194724056
2005-01-28,15147388467
2005-01-31,15413651155
2005-02-01,15378149463
2005-02-02,15283478285
2005-02-03,15076385083
2005-02-04,15224308799
2005-02-07,15247976593
2005-02-08,15295312182
2005-02-09,15094135929
2005-02-10,15040883392
2005-02-11,14910710522
2005-02-14,14579361399
2005-02-15,14733202063
2005-02-16,14821956293
2005-02-17,14502441067
2005-02-18,14733202063
2005-02-22,14674032577
2005-02-23,14620780040
2005-02-24,14484690221
2005-02-25,14881125779
2005-02-28,15117803724
2005-03-01,15028420912
2005-03-02,14928583805
2005-03-03,14746527905
2005-03-04,14899219950
2005-03-07,14969693202
2005-03-08,14869856096
2005-03-09,14781764531
2005-03-10,14652563570
2005-03-11,14364797792
2005-03-14,14376543334
2005-03-15,14082904786
2005-03-16,14112268640
2005-03-17,14065286473
2005-03-18,13894976115
2005-03-21,14100523098
2005-03-22,14259087915
2005-03-23,14270833457
2005-03-24,14329561166
2005-03-28,14429398273
2005-03-29,14188614663
2005-03-30,14423525502
2005-03-31,14182741892
2005-04-01,14353052250
2005-04-04,14300197311
2005-04-05,14599708631
2005-04-06,14664309112
2005-04-07,14617326944
2005-04-08,13918467198
2005-04-11,13707047443
2005-04-12,13765775153
2005-04-13,13577846482
2005-04-14,13425154437
2005-04-15,13213734682
2005-04-18,13254844079
2005-04-19,13178498056
2005-04-20,12861368424
2005-04-21,12896605050
2005-04-22,12773276859
2005-04-25,12832004569
2005-04-26,12655821440
2005-04-27,12608839272
2005-04-28,12696930837
2005-04-29,12743913004
2005-05-02,12902477821
2005-05-03,12978823843
2005-05-04,12978823843
2005-05-05,12814386256
2005-05-06,12920096134
2005-05-09,12967078301
2005-05-10,12837877340
2005-05-11,12873113966
2005-05-12,12914223363
2005-05-13,12949459988
2005-05-16,12925968904
2005-05-17,12949459988
2005-05-18,13213734682
2005-05-19,13384045040
2005-05-20,13342935643
2005-05-23,13366426727
2005-05-24,13313571788
2005-05-25,13119770346
2005-05-26,13530864314
2005-05-27,13566100940
2005-05-31,13671810818
2005-06-01,13695210411
2005-06-02,13859365331
2005-06-03,13753837168
2005-06-06,13876953358
2005-06-07,14017657574
2005-06-08,13835914628
2005-06-09,13882816033
2005-06-10,14035245601
2005-06-13,13982481520
2005-06-14,13677622384
2005-06-15,13478291411
2005-06-16,13689347736
2005-06-17,13847639979
2005-06-20,13982481520
2005-06-21,14000069547
2005-06-22,14017657574
2005-06-23,13484154087
2005-06-24,13425527330
2005-06-27,13319999167
2005-06-28,13636583654
2005-06-29,13261372410
2005-06-30,13290685789
2005-07-01,13648309006
2005-07-05,13560368870
2005-07-06,13835914628
2005-07-07,13015140031
2005-07-08,14193537845
2005-07-11,14199400521
2005-07-12,13917992088
2005-07-13,13789013222
2005-07-14,13847639979
2005-07-15,13777287871
2005-07-18,13947305466
2005-07-19,14398731494
2005-07-20,14381143467
2005-07-21,14568749089
2005-07-22,14539435711
2005-07-25,14568749089
2005-07-26,14650826549
2005-07-27,14686002603
2005-07-28,14662551900
2005-07-29,14680139927
2005-08-01,14656689225
2005-08-02,14955685685
2005-08-03,15014312442
2005-08-04,14832569495
2005-08-05,14744629360
2005-08-08,14656689225
2005-08-09,14891196252
2005-08-10,14885333576
2005-08-11,14785668090
2005-08-12,14738766684
2005-08-15,14715315981
2005-08-16,14703590630
2005-08-17,14580474441
2005-08-18,14715315981
2005-08-19,14668414576
2005-08-22,14580474441
2005-08-23,14480808954
2005-08-24,14457358251
2005-08-25,14650826549
2005-08-26,14451495575
2005-08-29,14363555440
2005-08-30,14310791359
2005-08-31,14304928683
2005-09-01,14609787819
2005-09-02,14838432171
2005-09-06,15072939198
2005-09-07,15119840604
2005-09-08,15125703280
2005-09-09,15014312442
2005-09-12,15072939198
2005-09-13,14727041333
2005-09-14,15002587090
2005-09-15,14902921603
2005-09-16,15401249037
2005-09-19,15125703280
2005-09-20,15119840604
2005-09-21,14979136387
2005-09-22,14773942738
2005-09-23,14768080063
2005-09-26,14826706820
2005-09-27,14721178657
2005-09-28,14680139927
2005-09-29,14686002603
2005-09-30,14926372306
2005-10-03,14967411036
2005-10-04,14867745549
2005-10-05,14627375846
2005-10-06,14803256117
2005-10-07,15635756065
2005-10-10,15026037793
2005-10-11,14809118792
2005-10-12,14703590630
2005-10-13,14656689225
2005-10-14,14961548360
2005-10-17,14955685685
2005-10-18,15102252577
2005-10-19,15430562416
2005-10-20,15407111713
2005-10-21,15301583550
2005-10-24,15524365227
2005-10-25,15196055388
2005-10-26,15325034253
2005-10-27,15313308902
2005-10-28,15336759605
2005-10-31,15424699740
2005-11-01,15518502551
2005-11-02,15436425091
2005-11-03,15313308902
2005-11-04,15465738470
2005-11-07,15483326497
2005-11-08,15495051848
2005-11-09,15512639875
2005-11-10,15618168038
2005-11-11,15571266632
2005-11-14,15582991984
2005-11-15,15577129308
2005-11-16,15999241958
2005-11-17,16544470797
2005-11-18,16368590526
2005-11-21,16397903904
2005-11-22,16268925039
2005-11-23,16081319417
2005-11-25,16356865175
2005-11-28,16239611661
2005-11-29,16556196148
2005-11-30,16673449662
2005-12-01,17066559475
2005-12-02,17089986462
2005-12-05,16849859853
2005-12-06,16896713825
2005-12-07,16832289613
2005-12-08,16539452285
2005-12-09,16545309032
2005-12-12,16633160230
2005-12-13,16568736018
2005-12-14,16920140811
2005-12-15,16732724921
2005-12-16,16744438415
2005-12-19,16516025299
2005-12-20,16732724921
2005-12-21,16826432866
2005-12-22,16785435640
2005-12-23,16949424544
2005-12-27,16896713825
2005-12-28,16914284065
2005-12-29,16873286839
2005-12-30,16908427318
2006-01-03,17160267420
2006-01-04,17253975365
2006-01-05,17382823790
2006-01-06,18243765534
2006-01-09,18191054815
2006-01-10,17798652795
2006-01-11,17945071459
2006-01-12,17915787727
2006-01-13,17693231357
2006-01-17,18062206391
2006-01-18,18150057589
2006-01-19,18208625055
2006-01-20,18267192520
2006-01-23,17997782178
2006-01-24,17915787727
2006-01-25,18138344096
2006-01-26,18284762760
2006-01-27,18407754438
2006-01-30,18407754438
2006-01-31,18466321903
2006-02-01,18577600088
2006-02-02,18542459608
2006-02-03,18431181424
2006-02-06,18735732245
2006-02-07,18911434642
2006-02-08,18999285840
2006-02-09,18589313581
2006-02-10,18724018752
2006-02-13,18847010430
2006-02-14,18677164779
2006-02-15,18952431868
2006-02-16,19227698956
2006-02-17,19151561251
2006-02-21,18940718375
2006-02-22,18999285840
2006-02-23,18970002107
2006-02-24,18975858854
2006-02-27,19292123168
2006-02-28,19128134264
2006-03-01,19249546224
2006-03-02,19231848204
2006-03-03,19184653484
2006-03-06,19096163385
2006-03-07,18807095728
2006-03-08,18600618830
2006-03-09,18541625431
