,WHR
2001-07-11,4245120000
2001-07-12,4484980000
2001-07-13,4600220000
2001-07-16,4562030000
2001-07-17,4769730000
2001-07-18,4734890000
2001-07-19,4658510000
2001-07-20,4663200000
2001-07-23,4629030000
2001-07-24,4570740000
2001-07-25,4643770000
2001-07-26,4684640000
2001-07-27,4680620000
2001-07-30,4810600000
2001-07-31,4726180000
2001-08-01,4696030000
2001-08-02,4660520000
2001-08-03,4683970000
2001-08-06,4653150000
2001-08-07,4574090000
2001-08-08,4499050000
2001-08-09,4422000000
2001-08-10,4535230000
2001-08-13,4531210000
2001-08-14,4473590000
2001-08-15,4594860000
2001-08-16,4547960000
2001-08-17,4464210000
2001-08-20,4486320000
2001-08-21,4515800000
2001-08-22,4495700000
2001-08-23,4591510000
2001-08-24,4685310000
2001-08-27,4665210000
2001-08-28,4618980000
2001-08-29,4560690000
2001-08-30,4427360000
2001-08-31,4423340000
2001-09-04,4538580000
2001-09-05,4564040000
2001-09-06,4493020000
2001-09-07,4221670000
2001-09-10,4137920000
2001-09-17,3622020000
2001-09-18,3660880000
2001-09-19,3645470000
2001-09-20,3530900000
2001-09-21,3438440000
2001-09-24,3584500000
2001-09-25,3628720000
2001-09-26,3585840000
2001-09-27,3514150000
2001-09-28,3708450000
2001-10-01,3634200000
2001-10-02,3702173000
2001-10-03,3986179000
2001-10-04,3874461000
2001-10-05,3970700000
2001-10-08,3939069000
2001-10-09,3867731000
2001-10-10,4101935000
2001-10-11,4273550000
2001-10-12,4242592000
2001-10-15,4225767000
2001-10-16,4234516000
2001-10-17,4073669000
2001-10-18,4027905000
2001-10-19,4057517000
2001-10-22,4105300000
2001-10-23,4071650000
2001-10-24,4052806000
2001-10-25,4103954000
2001-10-26,4118760000
2001-10-29,4078380000
2001-10-30,3976757000
2001-10-31,3972046000
2001-11-01,4091840000
2001-11-02,4098570000
2001-11-05,4140296000
2001-11-06,4274223000
2001-11-07,4290375000
2001-11-08,4180676000
2001-11-09,4153083000
2001-11-12,4188752000
2001-11-13,4251341000
2001-11-14,4378538000
2001-11-15,4540731000
2001-11-16,4414207000
2001-11-19,4492275000
2001-11-20,4424302000
2001-11-21,4366424000
2001-11-23,4413534000
2001-11-26,4536020000
2001-11-27,4471412000
2001-11-28,4373154000
2001-11-29,4414880000
2001-11-30,4425648000
2001-12-03,4410842000
2001-12-04,4471412000
2001-12-05,4673985000
2001-12-06,4714365000
2001-12-07,4708308000
2001-12-10,4706962000
2001-12-11,4697540000
2001-12-12,4633605000
2001-12-13,4599955000
2001-12-14,4626875000
2001-12-17,4638989000
2001-12-18,4731190000
2001-12-19,4778300000
2001-12-20,4720422000
2001-12-21,4745323000
2001-12-24,4825410000
2001-12-26,4949242000
2001-12-27,4919630000
2001-12-28,4918957000
2001-12-31,4935109000
2002-01-02,4906170000
2002-01-03,4930398000
2002-01-04,4998371000
2002-01-07,4960010000
2002-01-08,4879923000
2002-01-09,4839543000
2002-01-10,4781665000
2002-01-11,4686099000
2002-01-14,4641681000
2002-01-15,4686099000
2002-01-16,4599955000
2002-01-17,4745323000
2002-01-18,4749361000
2002-01-22,4808585000
2002-01-23,4845600000
2002-01-24,4838870000
2002-01-25,4871847000
2002-01-28,4899440000
2002-01-29,4815988000
2002-01-30,4808585000
2002-01-31,4892710000
2002-02-01,4879923000
2002-02-04,4838870000
2002-02-05,4881942000
2002-02-06,4408150000
2002-02-07,4270858000
2002-02-08,4221729000
2002-02-11,4446511000
2002-02-12,4462663000
2002-02-13,4580438000
2002-02-14,4532655000
2002-02-15,4550153000
2002-02-19,4407477000
2002-02-20,4436416000
2002-02-21,4468720000
2002-02-22,4444492000
2002-02-25,4593225000
2002-02-26,4939820000
2002-02-27,5040097000
2002-02-28,5054230000
2002-03-01,5107397000
2002-03-04,5255457000
2002-03-05,5148450000
2002-03-06,5219115000
2002-03-07,5109416000
2002-03-08,5046827000
2002-03-11,5170659000
2002-03-12,5361118000
2002-03-13,5267571000
2002-03-14,5230556000
2002-03-15,5247381000
2002-03-18,5251419000
2002-03-19,5273628000
2002-03-20,5271609000
2002-03-21,5023272000
2002-03-22,5118838000
2002-03-25,4982892000
2002-03-26,5056922000
2002-03-27,5053557000
2002-03-28,5084515000
2002-04-01,5073450000
2002-04-02,5046210000
2002-04-03,5005350000
2002-04-04,5026461000
2002-04-05,5121120000
2002-04-08,5202840000
2002-04-09,5224632000
2002-04-10,5238933000
2002-04-11,5112267000
2002-04-12,5176962000
2002-04-15,5112948000
2002-04-16,5228037000
2002-04-17,5106819000
2002-04-18,5025780000
2002-04-19,5116353000
2002-04-22,5155170000
2002-04-23,5172876000
2002-04-24,5089794000
2002-04-25,5113629000
2002-04-26,5093199000
2002-04-29,4991730000
2002-04-30,5104095000
2002-05-01,5186496000
2002-05-02,5274345000
2002-05-03,5216460000
2002-05-06,5056425000
2002-05-07,5161980000
2002-05-08,5253915000
2002-05-09,5223270000
2002-05-10,5112267000
2002-05-13,5011479000
2002-05-14,5113629000
2002-05-15,5106138000
2002-05-16,5075493000
2002-05-17,5097285000
2002-05-20,5114991000
2002-05-21,4998540000
2002-05-22,5015565000
2002-05-23,5070045000
2002-05-24,5033271000
2002-05-28,4947465000
2002-05-29,4892985000
2002-05-30,4841910000
2002-05-31,4862340000
2002-06-03,4777215000
2002-06-04,4654635000
2002-06-05,4788792000
2002-06-06,4651911000
2002-06-07,4681875000
2002-06-10,4666893000
2002-06-11,4568148000
2002-06-12,4689366000
2002-06-13,4585173000
2002-06-14,4521840000
2002-06-17,4657359000
2002-06-18,4722735000
2002-06-19,4700943000
2002-06-20,4679832000
2002-06-21,4568829000
2002-06-24,4547037000
2002-06-25,4480299000
2002-06-26,4358400000
2002-06-27,4384959000
2002-06-28,4451016000
2002-07-01,4423452000
2002-07-02,4255680000
2002-07-03,4230446000
2002-07-05,4463690000
2002-07-08,4467100000
2002-07-09,4378440000
2002-07-10,4325926000
2002-07-11,4318424000
2002-07-12,4302738000
2002-07-15,4290462000
2002-07-16,3838296000
2002-07-17,3790556000
2002-07-18,3791920000
2002-07-19,3659612000
2002-07-22,3480246000
2002-07-23,3521166000
2002-07-24,3768050000
2002-07-25,3744862000
2002-07-26,3690302000
2002-07-29,3887400000
2002-07-30,3921500000
2002-07-31,3912634000
2002-08-01,3776916000
2002-08-02,3603006000
2002-08-05,3522530000
2002-08-06,3666432000
2002-08-07,3605052000
2002-08-08,3710080000
2002-08-09,3646654000
2002-08-12,3607098000
2002-08-13,3509572000
2002-08-14,3638470000
2002-08-15,3727130000
2002-08-16,3751000000
2002-08-19,3875124000
2002-08-20,3812380000
2002-08-21,3873078000
2002-08-22,3989700000
2002-08-23,3872396000
2002-08-26,3864212000
2002-08-27,3913316000
2002-08-28,3847844000
2002-08-29,3761912000
2002-08-30,3772142000
2002-09-03,3656202000
2002-09-04,3709398000
2002-09-05,3657566000
2002-09-06,3682800000
2002-09-09,3688938000
2002-09-10,3645972000
2002-09-11,3624830000
2002-09-12,3489112000
2002-09-13,3528668000
2002-09-16,3572316000
2002-09-17,3455012000
2002-09-18,3443418000
2002-09-19,3328160000
2002-09-20,3331570000
2002-09-23,3241546000
2002-09-24,3169254000
2002-09-25,3297470000
2002-09-26,3400452000
2002-09-27,3193124000
2002-09-30,3132238000
2002-10-01,3285230000
2002-10-02,3126774000
2002-10-03,3060523000
2002-10-04,2986076000
2002-10-07,2853574000
2002-10-08,2959439000
2002-10-09,2772980000
2002-10-10,2778444000
2002-10-11,2990857000
2002-10-14,3042082000
2002-10-15,3336455000
2002-10-16,3125408000
2002-10-17,3301622000
2002-10-18,3315965000
2002-10-21,3400657000
2002-10-22,3253129000
2002-10-23,3293426000
2002-10-24,3241518000
2002-10-25,3214881000
2002-10-28,3134970000
2002-10-29,3143166000
2002-10-30,3150679000
2002-10-31,3183463000
2002-11-01,3252446000
2002-11-04,3271570000
2002-11-05,3317331000
2002-11-06,3324161000
2002-11-07,3137702000
2002-11-08,3107650000
2002-11-11,3061889000
2002-11-12,3123359000
2002-11-13,3153411000
2002-11-14,3269521000
2002-11-15,3309818000
2002-11-18,3376069000
2002-11-19,3253812000
2002-11-20,3392461000
2002-11-21,3580969000
2002-11-22,3589165000
2002-11-25,3658831000
2002-11-26,3607606000
2002-11-27,3712788000
2002-11-29,3673174000
2002-12-02,3643805000
2002-12-03,3479885000
2002-12-04,3515401000
2002-12-05,3466908000
2002-12-06,3475787000
2002-12-09,3399974000
2002-12-10,3452565000
2002-12-11,3509254000
2002-12-12,3554332000
2002-12-13,3509254000
2002-12-16,3682053000
2002-12-17,3637658000
2002-12-18,3584384000
2002-12-19,3562528000
2002-12-20,3645171000
2002-12-23,3563894000
2002-12-24,3575505000
2002-12-26,3563894000
2002-12-27,3563894000
2002-12-30,3548185000
2002-12-31,3566626000
2003-01-02,3703909000
2003-01-03,3636975000
2003-01-06,3751036000
2003-01-07,3689566000
2003-01-08,3696396000
2003-01-09,3783820000
2003-01-10,3759915000
2003-01-13,3901979000
2003-01-14,3858950000
2003-01-15,3855535000
2003-01-16,3899930000
2003-01-17,3807725000
2003-01-21,3765379000
2003-01-22,3655416000
2003-01-23,3647220000
2003-01-24,3554332000
2003-01-27,3484666000
2003-01-28,3520865000
2003-01-29,3556381000
2003-01-30,3471006000
2003-01-31,3549551000
2003-02-03,3494228000
2003-02-04,3427977000
2003-02-05,3558430000
2003-02-06,3540672000
2003-02-07,3455297000
2003-02-10,3505839000
2003-02-11,3492179000
2003-02-12,3412268000
2003-02-13,3369239000
2003-02-14,3443686000
2003-02-18,3522231000
2003-02-19,3479202000
2003-02-20,3447101000
2003-02-21,3487398000
2003-02-24,3378118000
2003-02-25,3387680000
2003-02-26,3339187000
2003-02-27,3353530000
2003-02-28,3364458000
2003-03-03,3322112000
2003-03-04,3171852000
2003-03-05,3208051000
2003-03-06,3180048000
2003-03-07,3208051000
2003-03-10,3102869000
2003-03-11,2930753000
2003-03-12,3120627000
2003-03-13,3300256000
2003-03-14,3285913000
2003-03-17,3406121000
2003-03-18,3404072000
2003-03-19,3456663000
2003-03-20,3514718000
2003-03-21,3639707000
2003-03-24,3494228000
2003-03-25,3544770000
2003-03-26,3466225000
2003-03-27,3453248000
2003-03-28,3386314000
2003-03-31,3368361000
2003-04-01,3413703000
2003-04-02,3568965000
2003-04-03,3524310000
2003-04-04,3495456000
2003-04-07,3546294000
2003-04-08,3551790000
2003-04-09,3513318000
2003-04-10,3554538000
2003-04-11,3568965000
2003-04-14,3694686000
2003-04-15,3728349000
2003-04-16,3575835000
2003-04-17,3687816000
2003-04-21,3759951000
2003-04-22,3781935000
2003-04-23,3704304000
2003-04-24,3658962000
2003-04-25,3588201000
2003-04-28,3665145000
2003-04-29,3671328000
2003-04-30,3674763000
2003-05-01,3620490000
2003-05-02,3689190000
2003-05-05,3641787000
2003-05-06,3689190000
2003-05-07,3659649000
2003-05-08,3635604000
2003-05-09,3666519000
2003-05-12,3780561000
2003-05-13,3723540000
2003-05-14,3664458000
2003-05-15,3677511000
2003-05-16,3625299000
2003-05-19,3541485000
2003-05-20,3566904000
2003-05-21,3516753000
2003-05-22,3593697000
2003-05-23,3586827000
2003-05-27,3672702000
2003-05-28,3741402000
2003-05-29,3805293000
2003-05-30,3909030000
2003-06-02,3920022000
2003-06-03,4025820000
2003-06-04,4001088000
2003-06-05,3998340000
2003-06-06,4101390000
2003-06-09,4056735000
2003-06-10,4122000000
2003-06-11,4263522000
