,MDT
2001-10-23,52348926000
2001-10-24,51598664000
2001-10-25,52639350000
2001-10-26,51126725000
2001-10-29,49795615000
2001-10-30,48863838000
2001-10-31,48767030000
2001-11-01,49587160000
2001-11-02,49053704000
2001-11-05,49126448000
2001-11-06,48144404000
2001-11-07,48374760000
2001-11-08,50278228000
2001-11-09,49987252000
2001-11-12,50035748000
2001-11-13,50181236000
2001-11-14,49938756000
2001-11-15,50860180000
2001-11-16,50702568000
2001-11-19,49708400000
2001-11-20,51223900000
2001-11-21,53224360000
2001-11-23,53491088000
2001-11-26,53418344000
2001-11-27,53394096000
2001-11-28,55503672000
2001-11-29,56315980000
2001-11-30,57322272000
2001-12-03,57589000000
2001-12-04,56934304000
2001-12-05,58437680000
2001-12-06,58704408000
2001-12-07,58195200000
2001-12-10,57104040000
2001-12-11,56788816000
2001-12-12,57116164000
2001-12-13,57589000000
2001-12-14,59225740000
2001-12-17,60765488000
2001-12-18,59152996000
2001-12-19,60256280000
2001-12-20,60656372000
2001-12-21,61286820000
2001-12-24,61456556000
2001-12-26,61917268000
2001-12-27,62123376000
2001-12-28,62111252000
2001-12-31,62087004000
2002-01-02,60620000000
2002-01-03,60025924000
2002-01-04,59395476000
2002-01-07,58922640000
2002-01-08,58934764000
2002-01-09,58534672000
2002-01-10,59092376000
2002-01-11,59844064000
2002-01-14,58959012000
2002-01-15,58934764000
2002-01-16,58874144000
2002-01-17,59443972000
2002-01-18,58777152000
2002-01-22,59516716000
2002-01-23,59637956000
2002-01-24,59407600000
2002-01-25,58898392000
2002-01-28,57661744000
2002-01-29,57152536000
2002-01-30,57940596000
2002-01-31,59734948000
2002-02-01,59965304000
2002-02-04,58825648000
2002-02-05,59492468000
2002-02-06,58134580000
2002-02-07,57576876000
2002-02-08,57504132000
2002-02-11,57419264000
2002-02-12,58546796000
2002-02-13,57964844000
2002-02-14,58352812000
2002-02-15,58534672000
2002-02-19,57649620000
2002-02-20,57261652000
2002-02-21,57431388000
2002-02-22,55673408000
2002-02-25,55164200000
2002-02-26,54085164000
2002-02-27,55249068000
2002-02-28,54000296000
2002-03-01,53624452000
2002-03-04,54727736000
2002-03-05,53854808000
2002-03-06,53733568000
2002-03-07,54254900000
2002-03-08,54024544000
2002-03-11,54315520000
2002-03-12,54497380000
2002-03-13,54170032000
2002-03-14,54679240000
2002-03-15,55867392000
2002-03-18,55685532000
2002-03-19,55818896000
2002-03-20,54800480000
2002-03-21,55236944000
2002-03-22,54206404000
2002-03-25,53854808000
2002-03-26,53381972000
2002-03-27,54012420000
2002-03-28,54812604000
2002-04-01,54073040000
2002-04-02,53672948000
2002-04-03,53491088000
2002-04-04,53284980000
2002-04-05,53345600000
2002-04-08,53709320000
2002-04-09,55200572000
2002-04-10,56194740000
2002-04-11,55249068000
2002-04-12,55891640000
2002-04-15,56037128000
2002-04-16,56619080000
2002-04-17,57358644000
2002-04-18,57492008000
2002-04-19,57649620000
2002-04-22,56897932000
2002-04-23,55527920000
2002-04-24,55188448000
2002-04-25,54073040000
2002-04-26,53115244000
2002-04-29,53709320000
2002-04-30,54182156000
2002-05-01,54440960000
2002-05-02,53699688000
2002-05-03,53614624000
2002-05-06,53480952000
2002-05-07,51803976000
2002-05-08,53043480000
2002-05-09,52703224000
2002-05-10,52047016000
2002-05-13,52921960000
2002-05-14,53322976000
2002-05-15,53687536000
2002-05-16,53821208000
2002-05-17,55048560000
2002-05-20,55012104000
2002-05-21,55741224000
2002-05-22,55947808000
2002-05-23,57661240000
2002-05-24,56956424000
2002-05-28,56348824000
2002-05-29,56397431999
2002-05-30,56810600000
2002-05-31,56081480000
2002-06-03,54744760000
2002-06-04,54781216000
2002-06-05,55425272000
2002-06-06,55376664000
2002-06-07,55328056000
2002-06-10,55558944000
2002-06-11,55510336000
2002-06-12,55048560000
2002-06-13,53517408000
2002-06-14,52144231999
2002-06-17,54064248000
2002-06-18,54756912000
2002-06-19,55048560000
2002-06-20,53541712000
2002-06-21,52508792000
2002-06-24,52132080000
2002-06-25,50673840000
2002-06-26,49896112000
2002-06-27,52618160000
2002-06-28,52071320000
2002-07-01,50357888000
2002-07-02,49154840000
2002-07-03,48778128000
2002-07-05,50187760000
2002-07-08,49166992000
2002-07-09,47891031999
2002-07-10,43747200000
2002-07-11,45958864000
2002-07-12,47003936000
2002-07-15,46639376000
2002-07-16,45813040000
2002-07-17,47854576000
2002-07-18,45630760000
2002-07-19,43990240000
2002-07-22,41681360000
2002-07-23,41000848000
2002-07-24,42811496000
2002-07-25,45059616000
2002-07-26,45266200000
2002-07-29,47259128000
2002-07-30,47963944000
2002-07-31,49094080000
2002-08-01,48137760000
2002-08-02,47384088000
2002-08-05,45840276000
2002-08-06,45998304000
2002-08-07,48465972000
2002-08-08,49608636000
2002-08-09,50325840000
2002-08-12,49596480000
2002-08-13,48040512000
2002-08-14,49632948000
2002-08-15,50447400000
2002-08-16,50021940000
2002-08-19,50812080000
2002-08-20,51541440000
2002-08-21,50581116000
2002-08-22,51079512000
2002-08-23,50654052000
2002-08-26,51565752000
2002-08-27,51043044000
2002-08-28,50046252000
2002-08-29,49450608000
2002-08-30,50058408000
2002-09-03,48417348000
2002-09-04,48891432000
2002-09-05,47590740000
2002-09-06,48368724000
2002-09-09,50447400000
2002-09-10,50933640000
2002-09-11,50763456000
2002-09-12,50265060000
2002-09-13,50678364000
2002-09-16,51893964000
2002-09-17,50398776000
2002-09-18,51128136000
2002-09-19,50301528000
2002-09-20,51018732000
2002-09-23,51055200000
2002-09-24,50082720000
2002-09-25,50872860000
2002-09-26,51298320000
2002-09-27,50508180000
2002-09-30,51201072000
2002-10-01,52380204000
2002-10-02,52064148000
2002-10-03,52185708000
2002-10-04,52513920000
2002-10-07,52574700000
2002-10-08,53705208000
2002-10-09,53024472000
2002-10-10,54276540000
2002-10-11,53510712000
2002-10-14,53607960000
2002-10-15,52781352000
2002-10-16,53510712000
2002-10-17,54702000000
2002-10-18,53924016000
2002-10-21,55394892000
2002-10-22,55127460000
2002-10-23,55419204000
2002-10-24,54543972000
2002-10-25,55249020000
2002-10-28,54154980000
2002-10-29,54300852000
2002-10-30,54264384000
2002-10-31,54458880000
2002-11-01,56216230000
2002-11-04,56362690000
2002-11-05,57033964999
2002-11-06,57570985000
2002-11-07,57107195000
2002-11-08,57168220000
2002-11-11,56167410000
2002-11-12,56997350000
2002-11-13,56997350000
2002-11-14,57363500000
2002-11-15,57778470000
2002-11-18,56814275000
2002-11-19,58376515000
2002-11-20,59194250000
2002-11-21,59694654999
2002-11-22,59487170000
2002-11-25,59743475000
2002-11-26,57729650000
2002-11-27,57607600000
2002-11-29,57058375000
2002-12-02,56387100000
2002-12-03,56118589999
2002-12-04,56814275000
2002-12-05,56143000000
2002-12-06,56362690000
2002-12-09,56448125000
2002-12-10,56289460000
2002-12-11,56570175000
2002-12-12,55996540000
2002-12-13,55435110000
2002-12-16,56387100000
2002-12-17,56411510000
2002-12-18,57094990000
2002-12-19,56509150000
2002-12-20,57851700000
2002-12-23,57644214999
2002-12-24,57436730000
2002-12-26,56728839999
2002-12-27,55813464999
2002-12-30,55740235000
2002-12-31,55654800000
2003-01-02,56972940000
2003-01-03,57119400000
2003-01-06,57729650000
2003-01-07,56875300000
2003-01-08,57033964999
2003-01-09,58156825000
2003-01-10,58034775000
2003-01-13,58010365000
2003-01-14,58571795000
2003-01-15,57815085000
2003-01-16,57522165000
2003-01-17,57058375000
2003-01-21,56143000000
2003-01-22,55288650000
2003-01-23,55837875000
2003-01-24,54751630000
2003-01-27,53152775000
2003-01-28,53299235000
2003-01-29,53702000000
2003-01-30,54092560000
2003-01-31,54824860000
2003-02-03,54194432000
2003-02-04,52513040000
2003-02-05,53049136000
2003-02-06,53341552000
2003-02-07,53000400000
2003-02-10,53475576000
2003-02-11,53305000000
2003-02-12,54888920000
2003-02-13,52513040000
2003-02-14,53792360000
2003-02-18,54340640000
2003-02-19,54401560000
2003-02-20,54633056000
2003-02-21,55010760000
2003-02-24,53694888000
2003-02-25,54499032000
2003-02-26,54365008000
2003-02-27,54109143999
2003-02-28,54462480000
2003-03-03,54096960000
2003-03-04,53816728000
2003-03-05,54462480000
2003-03-06,54584320000
2003-03-07,53731440000
2003-03-10,53158792000
2003-03-11,53244080000
2003-03-12,53000400000
2003-03-13,53694888000
2003-03-14,54157880000
2003-03-17,56168240000
2003-03-18,56411920000
2003-03-19,56460656000
2003-03-20,56716520000
2003-03-21,57776528000
2003-03-24,56058584000
2003-03-25,57386640000
2003-03-26,55924560000
2003-03-27,56046400000
2003-03-28,55839272000
2003-03-31,54974208000
2003-04-01,55656512000
2003-04-02,57021120000
2003-04-03,56716520000
2003-04-04,56411920000
2003-04-07,56399736000
2003-04-08,56972384000
2003-04-09,56765256000
2003-04-10,57386640000
2003-04-11,57142960000
2003-04-14,57995840000
2003-04-15,58385728000
2003-04-16,56838360000
2003-04-17,57337904000
2003-04-21,57508480000
2003-04-22,58471016000
2003-04-23,58434464000
2003-04-24,58909640000
2003-04-25,58580672000
2003-04-28,59189872000
2003-04-29,59153320000
2003-04-30,58166416000
2003-05-01,57811648000
2003-05-02,58749200000
2003-05-05,58237808000
2003-05-06,58079520000
2003-05-07,57348960000
2003-05-08,56557520000
2003-05-09,56606224000
2003-05-12,58627440000
2003-05-13,57836000000
2003-05-14,58262160000
2003-05-15,58785728000
2003-05-16,59114480000
2003-05-19,58931840000
2003-05-20,57714240000
2003-05-21,58737024000
2003-05-22,59090128000
2003-05-23,59211888000
2003-05-27,60259024000
2003-05-28,59540640000
2003-05-29,58785728000
2003-05-30,59333648000
2003-06-02,58237808000
2003-06-03,58749200000
2003-06-04,59674576000
2003-06-05,60259024000
2003-06-06,60283376000
2003-06-09,58980544000
2003-06-10,59662400000
2003-06-11,60758240000
2003-06-12,60514720000
2003-06-13,59662400000
2003-06-16,60855648000
2003-06-17,61245280000
2003-06-18,60733888000
2003-06-19,59358000000
2003-06-20,59638048000
2003-06-23,59187536000
2003-06-24,59004896000
2003-06-25,59090128000
2003-06-26,59869392000
2003-06-27,58676144000
2003-06-30,58408272000
2003-07-01,58517856000
2003-07-02,58237808000
2003-07-03,57896880000
2003-07-07,58116048000
2003-07-08,57775120000
2003-07-09,57227200000
2003-07-10,58627440000
2003-07-11,60405136000
2003-07-14,59966800000
2003-07-15,60088560000
2003-07-16,59224064000
2003-07-17,59540640000
2003-07-18,60137264000
2003-07-21,59394528000
2003-07-22,60539072000
2003-07-23,61001760000
2003-07-24,61123520000
2003-07-25,61659264000
2003-07-28,61695792000
2003-07-29,62243712000
2003-07-30,61549680000
2003-07-31,62706400000
2003-08-01,62996115000
2003-08-04,63761250000
2003-08-05,63251160000
2003-08-06,63214725000
2003-08-07,63154000000
2003-08-08,63214725000
2003-08-11,63275450000
2003-08-12,63943425000
2003-08-13,61793760000
2003-08-14,62425300000
2003-08-15,61927355000
2003-08-18,62388865000
2003-08-19,62668200000
2003-08-20,62303850000
2003-08-21,62643910000
2003-08-22,61514425000
2003-08-25,61332250000
2003-08-26,60870740000
2003-08-27,60725000000
2003-08-28,60057025000
2003-08-29,60214910000
2003-09-02,60142040000
2003-09-03,59972010000
2003-09-04,59692675000
2003-09-05,58963975000
2003-09-08,58842525000
2003-09-09,59340470000
2003-09-10,58842525000
2003-09-11,59571225000
2003-09-12,59231165000
2003-09-15,60287780000
2003-09-16,60773580000
2003-09-17,59984155000
2003-09-18,59801980000
2003-09-19,58818235000
2003-09-22,58283855000
2003-09-23,58708930000
2003-09-24,57470140000
2003-09-25,57591590000
2003-09-26,57142225000
2003-09-29,57263675000
2003-09-30,56984340000
2003-10-01,57664460000
2003-10-02,58599625000
2003-10-03,55721260000
2003-10-06,54385310000
2003-10-07,55441925000
2003-10-08,55259750000
2003-10-09,55526940000
2003-10-10,54531050000
2003-10-13,53765915000
2003-10-14,54773950000
2003-10-15,55806275000
2003-10-16,56207060000
2003-10-17,55988450000
2003-10-20,56073465000
2003-10-21,56085610000
2003-10-22,55150444999
2003-10-23,55879145000
2003-10-24,56267785000
2003-10-27,56194915000
2003-10-28,56814310000
2003-10-29,57081500000
2003-10-30,55381200000
2003-10-31,55344765000
2003-11-03,54531000000
2003-11-04,53791802000
2003-11-05,53355554000
2003-11-06,53198020000
2003-11-07,52543648000
2003-11-10,52580002000
2003-11-11,53137430000
2003-11-12,53767566000
2003-11-13,56215402000
2003-11-14,55197490000
2003-11-17,54894540000
2003-11-18,54022044000
2003-11-19,54676416000
2003-11-20,54167460000
2003-11-21,53379790000
2003-11-24,53949336000
2003-11-25,53985690000
2003-11-26,54640062000
2003-11-28,54773360000
2003-12-01,55742800000
2003-12-02,56009396000
2003-12-03,56154812000
2003-12-04,56615296000
2003-12-05,56409290000
2003-12-08,57075780000
2003-12-09,57221196000
2003-12-10,57378730000
2003-12-11,57899804000
2003-12-12,58226990000
2003-12-15,57378730000
2003-12-16,57378730000
2003-12-17,58214872000
2003-12-18,59111604000
2003-12-19,58966187999
2003-12-22,58239108000
2003-12-23,58372406000
2003-12-24,58069456000
2003-12-26,58178518000
2003-12-29,59002542000
2003-12-30,59269137999
2003-12-31,58905598000
2004-01-02,58675356000
2004-01-05,59087368000
2004-01-06,59281256000
2004-01-07,58529940000
2004-01-08,58590530000
2004-01-09,58287580000
2004-01-12,59051014000
2004-01-13,58663237999
2004-01-14,59596324000
2004-01-15,59123722000
2004-01-16,59475144000
2004-01-20,59499380000
2004-01-21,59875037999
2004-01-22,59341846000
2004-01-23,58832890000
2004-01-26,59984100000
2004-01-27,59305492000
2004-01-28,58166400000
2004-01-29,60056808000
2004-01-30,59644796000
2004-02-02,61306760000
2004-02-03,62214560000
2004-02-04,62940800000
2004-02-05,57191400000
2004-02-06,58099200000
2004-02-09,56876696000
2004-02-10,56283600000
2004-02-11,57348752000
2004-02-12,57699768000
2004-02-13,57300336000
2004-02-17,58099200000
2004-02-18,58401800000
2004-02-19,58244448000
2004-02-20,58256552000
2004-02-23,58220240000
2004-02-24,57372960000
2004-02-25,57276128000
2004-02-26,56949320000
2004-02-27,56767760000
2004-03-01,57191400000
2004-03-02,57215608000
2004-03-03,58074992000
2004-03-04,57796600000
2004-03-05,58764920000
2004-03-08,60822600000
2004-03-09,60072152000
2004-03-10,60871016000
2004-03-11,60737872000
2004-03-12,61282552000
2004-03-15,60411063999
2004-03-16,59745344000
2004-03-17,59624304000
2004-03-18,58159720000
2004-03-19,57372960000
2004-03-22,56949320000
2004-03-23,56634616000
2004-03-24,56549888000
2004-03-25,57494000000
2004-03-26,57372960000
2004-03-29,57675560000
2004-03-30,57348752000
2004-03-31,57796600000
2004-04-01,57469792000
2004-04-02,57506104000
2004-04-05,58837544000
2004-04-06,58692296000
2004-04-07,58341280000
2004-04-08,59188560000
2004-04-12,59951112000
2004-04-13,59793760000
2004-04-14,60556312000
2004-04-15,60532104000
2004-04-16,61899856000
2004-04-19,61790920000
2004-04-20,60907328000
2004-04-21,62129832000
2004-04-22,61403592000
2004-04-23,60665248000
2004-04-26,60338440000
2004-04-27,60907328000
2004-04-28,60096360000
2004-04-29,60822600000
2004-04-30,61076784000
2004-05-03,61961250000
2004-05-04,60933600000
2004-05-05,61864530000
2004-05-06,61731540000
2004-05-07,61743630000
2004-05-10,61671090000
2004-05-11,61501830000
2004-05-12,61175400000
2004-05-13,61659000000
2004-05-14,60510450000
2004-05-17,59603700000
2004-05-18,59361900000
2004-05-19,59567430000
2004-05-20,59120100000
2004-05-21,57620939999
2004-05-24,57246150000
2004-05-25,56968080000
2004-05-26,56097600000
2004-05-27,58696950000
2004-05-28,57911100000
2004-06-01,59059650000
2004-06-02,60087300000
2004-06-03,59966400000
2004-06-04,59833410000
2004-06-07,60317010000
2004-06-08,60897330000
2004-06-09,60111480000
2004-06-10,59241000000
2004-06-14,59543250000
2004-06-15,59797140000
2004-06-16,59797140000
2004-06-17,59506980000
2004-06-18,59386080000
2004-06-21,59639970000
2004-06-22,58938750000
2004-06-23,59301450000
2004-06-24,59386080000
2004-06-25,58213350000
2004-06-28,58443060000
2004-06-29,59120100000
2004-06-30,58902480000
2004-07-01,59869680000
2004-07-02,59990580000
2004-07-06,60099390000
2004-07-07,59361900000
2004-07-08,58842030000
2004-07-09,59301450000
2004-07-12,58962930000
2004-07-13,59337720000
2004-07-14,59760870000
2004-07-15,59918040000
2004-07-16,60558810000
2004-07-19,60462090000
2004-07-20,60522540000
2004-07-21,59470710000
2004-07-22,58866210000
2004-07-23,59047560000
2004-07-26,59120100000
2004-07-27,60220290000
2004-07-28,60353280000
2004-07-29,60256560000
2004-07-30,60051030000
2004-08-02,60547570000
2004-08-03,60462905000
2004-08-04,61212795000
2004-08-05,60015390000
2004-08-06,59277595000
2004-08-09,58721225000
2004-08-10,59023600000
2004-08-11,60245195000
2004-08-12,58963125000
2004-08-13,59386450000
2004-08-16,60233100000
2004-08-17,60039580000
2004-08-18,59979105000
2004-08-19,59846060000
2004-08-20,60208910000
2004-08-23,59942820000
