,NTAP
2000-12-21,17630576010
2000-12-22,22229435760
2000-12-26,21945436000
2000-12-27,22832935250
2000-12-28,23397707500
2000-12-29,20715846130
2001-01-02,16601076880
2001-01-03,20654528000
2001-01-04,21422618260
2001-01-05,17630576010
2001-01-08,18053348380
2001-01-09,16539758750
2001-01-10,18214711880
2001-01-11,19505619880
2001-01-12,18760120510
2001-01-16,18760120510
2001-01-17,20373755510
2001-01-18,21722754370
2001-01-19,21722754370
2001-01-22,21583981760
2001-01-23,23739798120
2001-01-24,19808983260
2001-01-25,18234075500
2001-01-26,18490020500
2001-01-29,19615784580
2001-01-30,19023449410
2001-01-31,17550792910
2001-02-01,15237085920
2001-02-02,15299264750
2001-02-05,14173500670
2001-02-06,14687294160
2001-02-07,12641937910
2001-02-08,11516173830
2001-02-09,12435766000
2001-02-12,12805566410
2001-02-13,12988830330
2001-02-14,13787337410
2001-02-15,14726565000
2001-02-16,13214637660
2001-02-20,11005652910
2001-02-21,11228187670
2001-02-22,11064559170
2001-02-23,11107102580
2001-02-26,10799481000
2001-02-27,10472224000
2001-02-28,9735895750
2001-03-01,10105696160
2001-03-02,8917753250
2001-03-05,9326824500
2001-03-06,9591902670
2001-03-07,9205739410
2001-03-08,8181425000
2001-03-09,6914940410
2001-03-12,6607318830
2001-03-13,7464732170
2001-03-14,6934575830
2001-03-15,6136068750
2001-03-16,6198247580
2001-03-19,6689133080
2001-03-20,6096797910
2001-03-21,6299697250
2001-03-22,7356737360
2001-03-23,6914940410
2001-03-26,6505869160
2001-03-27,6810218170
2001-03-28,6073889920
2001-03-29,5337561670
2001-03-30,5501190170
2001-04-02,4990669250
2001-04-03,4110347920
2001-04-04,3864905170
2001-04-05,4417969500
2001-04-06,4398334080
2001-04-09,4368880950
2001-04-10,5131389760
2001-04-11,5419375920
2001-04-12,5458646760
2001-04-16,5000486960
2001-04-17,5193568590
2001-04-18,6361876080
2001-04-19,7297831100
2001-04-20,7706902350
2001-04-23,7183291150
2001-04-24,6522232010
2001-04-25,7036025500
2001-04-26,6597501120
2001-04-27,7199284960
2001-04-30,7492394000
2001-05-01,8085198800
2001-05-02,9290568560
2001-05-03,8516628960
2001-05-04,8289387120
2001-05-07,8654950080
2001-05-08,8859138400
2001-05-09,8394774639
2001-05-10,7907357360
2001-05-11,7986398000
2001-05-14,7354072879
2001-05-15,7419940080
2001-05-16,8128012480
2001-05-17,7607661600
2001-05-18,7554967840
2001-05-21,8776804400
2001-05-22,9280688480
2001-05-23,8539682480
2001-05-24,8921712240
2001-05-25,8470521920
2001-05-29,7423233440
2001-05-30,6260677360
2001-05-31,6125649600
2001-06-01,6201396879
2001-06-04,5875354240
2001-06-05,6198103520
2001-06-06,6231037120
2001-06-07,6662467280
2001-06-08,6161876560
2001-06-11,5875354240
2001-06-12,5845714000
2001-06-13,5509791280
2001-06-14,4963093520
2001-06-15,4854412640
2001-06-18,4455916080
2001-06-19,4376875440
2001-06-20,3952032000
2001-06-21,3649042880
2001-06-22,3731376880
2001-06-25,3846644480
2001-06-26,4077179680
2001-06-27,4162807040
2001-06-28,4330768400
2001-06-29,4511903200
2001-07-02,4393342240
2001-07-03,4334061760
2001-07-05,4172687120
2001-07-06,3879578080
2001-07-09,3830177680
2001-07-10,3411920960
2001-07-11,3602935840
2001-07-12,3787364000
2001-07-13,3843351120
2001-07-16,3649042880
2001-07-17,3754430400
2001-07-18,3378987360
2001-07-19,3497548319
2001-07-20,3451441280
2001-07-23,3253839680
2001-07-24,3309826800
2001-07-25,3303240080
2001-07-26,3546948720
2001-07-27,3724058800
2001-07-30,3793451200
2001-07-31,4123891200
2001-08-01,5025992400
2001-08-02,5045818800
2001-08-03,4791380000
2001-08-06,4804597600
2001-08-07,4675726000
2001-08-08,4586507200
2001-08-09,4665812800
2001-08-10,4596420400
2001-08-13,4622855600
2001-08-14,4216414400
2001-08-15,4335372800
2001-08-16,4156935200
2001-08-17,3981802000
2001-08-20,4064412000
2001-08-21,4090847200
2001-08-22,3998324000
2001-08-23,4037976800
2001-08-24,4619551200
2001-08-27,4543550000
2001-08-28,4378330000
2001-08-29,4550158800
2001-08-30,4318850800
2001-08-31,4282502400
2001-09-04,4037976800
2001-09-05,3872756800
2001-09-06,3681101600
2001-09-07,3638144400
2001-09-10,3509272799
2001-09-17,3294486800
2001-09-18,3155702000
2001-09-19,3069787599
2001-09-20,3016917200
2001-09-21,2650128800
2001-09-24,2745956400
2001-09-25,3000395200
2001-09-26,2613780400
2001-09-27,2207339200
2001-09-28,2246992000
2001-10-01,2161077600
2001-10-02,2263514000
2001-10-03,2742652000
2001-10-04,2812044400
2001-10-05,3221790000
2001-10-08,3112744800
2001-10-09,3109440400
2001-10-10,3053265600
2001-10-11,3601796000
2001-10-12,3852930400
2001-10-15,3836408400
2001-10-16,3866148000
2001-10-17,3320922000
2001-10-18,3472924400
2001-10-19,3387010000
2001-10-22,3720754400
2001-10-23,3796755600
2001-10-24,4223023200
2001-10-25,4556767600
2001-10-26,4374423480
2001-10-29,3915707340
2001-10-30,4048668540
2001-10-31,4420959900
2001-11-01,5225375160
2001-11-02,4982720970
2001-11-05,5650851000
2001-11-06,5630906820
2001-11-07,5507917710
2001-11-08,5291855760
2001-11-09,5487973530
2001-11-12,5810404440
2001-11-13,6046410570
2001-11-14,5082441870
2001-11-15,5291855760
2001-11-16,5301827850
2001-11-19,5391576660
2001-11-20,5082441870
2001-11-21,5092413960
2001-11-23,5331744120
2001-11-26,5371632480
2001-11-27,5321772030
2001-11-28,4876352010
2001-11-29,5152246500
2001-11-30,5128978290
2001-12-03,5291855760
2001-12-04,5597666520
2001-12-05,6398757750
2001-12-06,6511774770
2001-12-07,6325629090
2001-12-10,6631439850
2001-12-11,7103452110
2001-12-12,7841386770
2001-12-13,7176580770
2001-12-14,6993759120
2001-12-17,7229765250
2001-12-18,7997616180
2001-12-19,7838062739
2001-12-20,7113424200
2001-12-21,7512307800
2001-12-24,7432531080
2001-12-26,7362726450
2001-12-27,7469095410
2001-12-28,7628648850
2001-12-31,7269653610
2002-01-02,7904543340
2002-01-03,8938316670
2002-01-04,8885132190
2002-01-07,7791526320
2002-01-08,8220326190
2002-01-09,7459123320
2002-01-10,7645269000
2002-01-11,7495687650
2002-01-14,6691272390
2002-01-15,6810937469
2002-01-16,6046410570
2002-01-17,6548339100
2002-01-18,6096271020
2002-01-22,5644202940
2002-01-23,6063030719
2002-01-24,6428674020
2002-01-25,6382137600
2002-01-28,6441970140
2002-01-29,6269120580
2002-01-30,6338925210
2002-01-31,5966633850
2002-02-01,5950013700
2002-02-04,5341716210
2002-02-05,5308475910
2002-02-06,5521213830
2002-02-07,5092413960
2002-02-08,5251967400
2002-02-11,5753895930
2002-02-12,5468029350
2002-02-13,6428674020
2002-02-14,6239204310
2002-02-15,6262472520
2002-02-19,5747247870
2002-02-20,5999874150
2002-02-21,5401548750
2002-02-22,5551130100
2002-02-25,5903477280
2002-02-26,5979929969
2002-02-27,5607638610
2002-02-28,5315123970
2002-03-01,6192667890
2002-03-04,6820909560
2002-03-05,7226441219
2002-03-06,6644735969
2002-03-07,6691272390
2002-03-08,7070211810
2002-03-11,7226441219
2002-03-12,7030323450
2002-03-13,7113424200
2002-03-14,7133368380
2002-03-15,6707892540
2002-03-18,6584903430
2002-03-19,6574931340
2002-03-20,6628115820
2002-03-21,6900686280
2002-03-22,6774373140
2002-03-25,6461914320
2002-03-26,6342249239
2002-03-27,6697920450
2002-03-28,6774373140
2002-04-01,6983787030
2002-04-02,6697920450
2002-04-03,6438646110
2002-04-04,6545015070
2002-04-05,6099595050
2002-04-08,6033114450
2002-04-09,5577722340
2002-04-10,5454733230
2002-04-11,5348364270
2002-04-12,5644202940
2002-04-15,5793784290
2002-04-16,6132835350
2002-04-17,5906801310
2002-04-18,6033114450
2002-04-19,5843644739
2002-04-22,5690739360
2002-04-23,5654175030
2002-04-24,5398224719
2002-04-25,5647526969
2002-04-26,5456473750
2002-04-29,5449758090
2002-04-30,5859413350
2002-05-01,5607576100
2002-05-02,5244930460
2002-05-03,4912505290
2002-05-06,4794981240
2002-05-07,4543143990
2002-05-08,5678090530
2002-05-09,5496767710
2002-05-10,5181131690
2002-05-13,5819119389
2002-05-14,6057525320
2002-05-15,5053534150
2002-05-16,5073681130
2002-05-17,5093828110
2002-05-20,4932652270
2002-05-21,4697604170
2002-05-22,4721108980
2002-05-23,4734540300
2002-05-24,4570006630
2002-05-28,4549859650
2002-05-29,4311453720
2002-05-30,4502850030
2002-05-31,4368536830
2002-06-03,4113341750
2002-06-04,4402115130
2002-06-05,4469271730
2002-06-06,4392041640
2002-06-07,4395399470
2002-06-10,4486060880
2002-06-11,4408830790
2002-06-12,4452482580
2002-06-13,4345032020
2002-06-14,4428977770
2002-06-17,4660668040
2002-06-18,4667383700
2002-06-19,4385325980
2002-06-20,4220792310
2002-06-21,4093194770
2002-06-24,4230865800
2002-06-25,3858146670
2002-06-26,3925303270
2002-06-27,4029396000
2002-06-28,4177140520
2002-07-01,3905156290
2002-07-02,3606309420
2002-07-03,3881651480
2002-07-05,4224150140
2002-07-08,3854788840
2002-07-09,3589520270
2002-07-10,3334325190
2002-07-11,3357830000
2002-07-12,3559299800
2002-07-15,3851431010
2002-07-16,3831284030
2002-07-17,3737264790
2002-07-18,3532437160
2002-07-19,3468638390
2002-07-22,3401481790
2002-07-23,3142928880
2002-07-24,3441775750
2002-07-25,3105992750
2002-07-26,3160720950
2002-07-29,3076569700
2002-07-30,2958757949
2002-07-31,2847678300
2002-08-01,2689473950
2002-08-02,2726500500
2002-08-05,2426922050
2002-08-06,2682741850
2002-08-07,2638983200
2002-08-08,2713036300
2002-08-09,2494243050
2002-08-12,2497609100
2002-08-13,2373065250
2002-08-14,3029445000
2002-08-15,3187649350
2002-08-16,3086667850
2002-08-19,3224675900
2002-08-20,3258336400
2002-08-21,3520888300
2002-08-22,3473763600
2002-08-23,3403076550
2002-08-26,3581477200
2002-08-27,3372782100
2002-08-28,3113596250
2002-08-29,3298729000
2002-08-30,3211211699
2002-09-03,3093399950
2002-09-04,3130426500
2002-09-05,2999150550
2002-09-06,3090033900
2002-09-09,3063105500
2002-09-10,3130426500
2002-09-11,3116962300
2002-09-12,3059739450
2002-09-13,3110230200
2002-09-16,3079935750
2002-09-17,2928463499
2002-09-18,2861142500
2002-09-19,2797187550
2002-09-20,2790455449
2002-09-23,2635617150
2002-09-24,2615420850
2002-09-25,2797187550
2002-09-26,2679375800
2002-09-27,2645715300
2002-09-30,2467314650
2002-10-01,2709670250
2002-10-02,2366333150
2002-10-03,2238423250
2002-10-04,2110513349
2002-10-07,1996067650
2002-10-08,1895086150
2002-10-09,2002799750
2002-10-10,2292280050
2002-10-11,2312476350
2002-10-14,2346136850
2002-10-15,2541367750
2002-10-16,2288914000
2002-10-17,2635617150
2002-10-18,2719768400
2002-10-21,3079935750
2002-10-22,2975588200
2002-10-23,3083301800
2002-10-24,3106864150
2002-10-25,3292096850
2002-10-28,3400367250
2002-10-29,3018037400
2002-10-30,3106007100
2002-10-31,3034954650
2002-11-01,3380066550
2002-11-04,3556005950
2002-11-05,3616908050
2002-11-06,3972170300
2002-11-07,3542472150
2002-11-08,3288713400
2002-11-11,3122924350
2002-11-12,3305630650
2002-11-13,3589840450
2002-11-14,3718411550
2002-11-15,3745479150
2002-11-18,3748862600
2002-11-19,3701494300
2002-11-20,4036455850
2002-11-21,4706378950
2002-11-22,4855250750
2002-11-25,4746980350
2002-11-26,4391718100
2002-11-27,4631943050
2002-11-29,4692845150
2002-12-02,4807882450
2002-12-03,4503371950
2002-12-04,4320665650
2002-12-05,4178560750
2002-12-06,4039839300
2002-12-09,3890967500
2002-12-10,4043222749
2002-12-11,4097357950
2002-12-12,3965403400
2002-12-13,3914651650
2002-12-16,4144726250
2002-12-17,4148109700
2002-12-18,3755629500
2002-12-19,3687960500
2002-12-20,3637208750
2002-12-23,3731945350
2002-12-24,3691343950
2002-12-26,3792847450
2002-12-27,3660892900
2002-12-30,3298863750
2002-12-31,3383450000
2003-01-02,3620291499
2003-01-03,3623674950
2003-01-06,3934952350
2003-01-07,4077057250
2003-01-08,3968786850
2003-01-09,4408635350
2003-01-10,4432319500
2003-01-13,4249613200
2003-01-14,4395101550
2003-01-15,4293598050
2003-01-16,4053373100
2003-01-17,3816531600
2003-01-21,3830065400
2003-01-22,3853749550
2003-01-23,4121042100
2003-01-24,3782697100
2003-01-27,3789463999
2003-01-28,4016155149
2003-01-29,4046606200
2003-01-30,3789463999
2003-01-31,3657509450
2003-02-03,3684577050
2003-02-04,3660892900
2003-02-05,3606757700
2003-02-06,3569539750
2003-02-07,3474803150
2003-02-10,3562772850
2003-02-11,3643975650
2003-02-12,3572923200
2003-02-13,3522171450
2003-02-14,3630441850
2003-02-18,3802997800
2003-02-19,3759012950
2003-02-20,3769163300
2003-02-21,3823298500
2003-02-24,3701494300
2003-02-25,3603374250
2003-02-26,3468036250
2003-02-27,3569539750
2003-02-28,3593223899
2003-03-03,3464652800
2003-03-04,3393600350
2003-03-05,3332698250
2003-03-06,3332698250
2003-03-07,3336081700
2003-03-10,3244728550
2003-03-11,3187209900
2003-03-12,3180443000
2003-03-13,3454502450
2003-03-14,3407134150
2003-03-17,3874050249
2003-03-18,4046606200
2003-03-19,3890967500
2003-03-20,4127808999
2003-03-21,4195478000
2003-03-24,4002621350
2003-03-25,4063523450
2003-03-26,4124425550
2003-03-27,4053373100
2003-03-28,4009388250
2003-03-31,3786080550
2003-04-01,3813148150
2003-04-02,4229312500
2003-04-03,4317282200
2003-04-04,4280064250
2003-04-07,4418785700
2003-04-08,4428936050
2003-04-09,4205628350
2003-04-10,4300364950
2003-04-11,4313898750
2003-04-14,4408635350
2003-04-15,4459387100
2003-04-16,4537206450
2003-04-17,4774047950
2003-04-21,4818032800
2003-04-22,4980438400
2003-04-23,5034573600
2003-04-24,4970288050
2003-04-25,4684528770
2003-04-28,4817786700
2003-04-29,4937377150
2003-04-30,4530769620
2003-05-01,4657193810
2003-05-02,4807536090
2003-05-05,4988630200
2003-05-06,5097970040
2003-05-07,5186808660
2003-05-08,5220977360
2003-05-09,5367902770
2003-05-12,5596833060
2003-05-13,5716423510
2003-05-14,5292731630
2003-05-15,5395237730
2003-05-16,5395237730
2003-05-19,5111637520
2003-05-20,5036466380
2003-05-21,4971545850
2003-05-22,5166307440
2003-05-23,5197059270
2003-05-27,5473825740
2003-05-28,5443073910
2003-05-29,5730090990
2003-05-30,5818929610
2003-06-02,5706172900
2003-06-03,5836013959
2003-06-04,5965855020
2003-06-05,6054693640
2003-06-06,5952187540
2003-06-09,5859932049
2003-06-10,5818929610
2003-06-11,5941936930
2003-06-12,5777927170
2003-06-13,5603666799
2003-06-16,5692505420
2003-06-17,5675421070
2003-06-18,5750592209
2003-06-19,5559247490
2003-06-20,5545580010
2003-06-23,5453324520
2003-06-24,5378153380
2003-06-25,5381570250
2003-06-26,5624168020
2003-06-27,5480659480
2003-06-30,5494326959
2003-07-01,5695922290
2003-07-02,6099112950
2003-07-03,5894100750
2003-07-07,6218703400
2003-07-08,6386130030
2003-07-09,6683397720
2003-07-10,6410048120
2003-07-11,6403214379
2003-07-14,6550139790
2003-07-15,6396380640
2003-07-16,6287040799
2003-07-17,5993189980
2003-07-18,6054693640
2003-07-21,5955604410
2003-07-22,6071777990
2003-07-23,6164033480
2003-07-24,6078611730
2003-07-25,6191368440
2003-07-28,6194785310
2003-07-29,6047859900
2003-07-30,5887267010
2003-07-31,5460158260
2003-08-01,5578656750
2003-08-04,5630215500
2003-08-05,5423980500
2003-08-06,5238369000
2003-08-07,5114628000
2003-08-08,5207433750
2003-08-11,5403357000
2003-08-12,5833013250
2003-08-13,5874260250
2003-08-14,5788329000
2003-08-15,5808952499
2003-08-18,6142365750
2003-08-19,6204236250
2003-08-20,7176978000
2003-08-21,7730375249
2003-08-22,7496642250
2003-08-25,7338528750
2003-08-26,7410711000
2003-08-27,7561950000
2003-08-28,7696002750
2003-08-29,7685691000
2003-09-02,7775059500
2003-09-03,7967545500
2003-09-04,8080974750
2003-09-05,8012229750
2003-09-08,8094723750
2003-09-09,8129096249
2003-09-10,7744124250
2003-09-11,7744124250
2003-09-12,7620383250
2003-09-15,7359152250
2003-09-16,7696002750
2003-09-17,7702877250
2003-09-18,7850679000
2003-09-19,7826618250
2003-09-22,7541326500
2003-09-23,7713189000
2003-09-24,7249160250
2003-09-25,7042925249
2003-09-26,6778257000
2003-09-29,7235411250
2003-09-30,7056674250
2003-10-01,7221662250
2003-10-02,7283532750
2003-10-03,7860990750
2003-10-06,8046602250
2003-10-07,8428137000
2003-10-08,8349080250
2003-10-09,8259711750
2003-10-10,8644683750
2003-10-13,8706554250
2003-10-14,8981534250
2003-10-15,8713428750
2003-10-16,8833732500
2003-10-17,8593125000
2003-10-20,8775299250
2003-10-21,8809671750
2003-10-22,8524380000
2003-10-23,8435011500
2003-10-24,8390327250
2003-10-27,8472821249
2003-10-28,8888728500
2003-10-29,8895603000
2003-10-30,8734052250
2003-10-31,8550270450
2003-11-03,8879260200
2003-11-04,8643772800
2003-11-05,8723422950
2003-11-06,8681866350
2003-11-07,8546807400
2003-11-10,8384044050
2003-11-11,8311320000
2003-11-12,8695718550
2003-11-13,8993540850
2003-11-14,8685329400
2003-11-17,8422137600
2003-11-18,8113926150
2003-11-19,7365907350
2003-11-20,7480188000
2003-11-21,7528670699
2003-11-24,8089684800
2003-11-25,7868049600
2003-11-26,7971941100
2003-11-28,8006571600
2003-12-01,7978867200
2003-12-02,7906143149
2003-12-03,7694897100
2003-12-04,7570227300
2003-12-05,7521744600
2003-12-08,7289720250
2003-12-09,6797967150
2003-12-10,6888006450
2003-12-11,7023065400
2003-12-12,6933026100
2003-12-15,6559016700
2003-12-16,6593647200
2003-12-17,6586721100
2003-12-18,7009213199
2003-12-19,6808356300
2003-12-22,6874154250
2003-12-23,7099252500
2003-12-24,7102715550
2003-12-26,7210070100
2003-12-29,7213533149
2003-12-30,7151198249
2003-12-31,7078474200
2004-01-02,7178902650
2004-01-05,7410926999
2004-01-06,7532133750
2004-01-07,7545985950
2004-01-08,7833419100
2004-01-09,7829956050
2004-01-12,8079295649
2004-01-13,8082758700
2004-01-14,7999645500
2004-01-15,7868049600
2004-01-16,8162408850
2004-01-20,8370191850
2004-01-21,8120852250
2004-01-22,7885364850
2004-01-23,7507892400
2004-01-26,7868049600
2004-01-27,7757231999
2004-01-28,7861123500
2004-01-29,7823029950
2004-01-30,8347740000
2004-02-02,8071720000
2004-02-03,7788240000
2004-02-04,7821810000
2004-02-05,8012040000
2004-02-06,8213460000
2004-02-09,8224650000
2004-02-10,8179890000
2004-02-11,8273140000
2004-02-12,8381310000
2004-02-13,8094100000
2004-02-17,8306710000
2004-02-18,8813990000
2004-02-19,8482019999
2004-02-20,8135129999
2004-02-23,8120210000
2004-02-24,8053070000
2004-02-25,8150050000
2004-02-26,8172430000
2004-02-27,8079180000
2004-03-01,8194810000
2004-03-02,8239570000
2004-03-03,8090370000
2004-03-04,8250760000
2004-03-05,8250760000
2004-03-08,7833000000
2004-03-09,7676339999
2004-03-10,7765860000
2004-03-11,7571900000
2004-03-12,7698720000
2004-03-15,7385400000
2004-03-16,7568170000
2004-03-17,7806890000
2004-03-18,7631580000
2004-03-19,7433890000
2004-03-22,7407780000
2004-03-23,7437620000
2004-03-24,7534600000
2004-03-25,7888949999
2004-03-26,7896410000
2004-03-29,8053070000
2004-03-30,8191080000
2004-03-31,8030690000
2004-04-01,8258220000
2004-04-02,8467100000
2004-04-05,8515589999
2004-04-06,8377580000
2004-04-07,8276870000
2004-04-08,8437260000
2004-04-12,8463370000
2004-04-13,8168699999
2004-04-14,8396230000
2004-04-15,8261949999
2004-04-16,8090370000
2004-04-19,8179890000
2004-04-20,7881490000
2004-04-21,7989660000
2004-04-22,8191080000
2004-04-23,8150050000
2004-04-26,7918790000
2004-04-27,7732290000
2004-04-28,7612930000
2004-04-29,7269769999
2004-04-30,6638987230
2004-05-03,6838763310
2004-05-04,6878005040
2004-05-05,7109887990
2004-05-06,7038539390
2004-05-07,7013567380
2004-05-10,7038539390
2004-05-11,7170534300
2004-05-12,7131292569
2004-05-13,7495170430
2004-05-14,7323933790
2004-05-17,7509440150
2004-05-18,7384580100
2004-05-19,6888707330
2004-05-20,6581908350
2004-05-21,6660391810
2004-05-24,6785251860
2004-05-25,7152697150
2004-05-26,7181236590
2004-05-27,7002865090
2004-05-28,7063511400
2004-06-01,7013567380
2004-06-02,6931516490
2004-06-03,6781684430
2004-06-04,6881572470
2004-06-07,7134860000
2004-06-08,7113455420
2004-06-09,6977893080
2004-06-10,7009999949
2004-06-14,6860167890
2004-06-15,6985027939
2004-06-16,6985027939
2004-06-17,6856600460
2004-06-18,6899409620
2004-06-21,6849465600
2004-06-22,6935083920
2004-06-23,7384580100
2004-06-24,7509440150
2004-06-25,7537979590
2004-06-28,7395282390
2004-06-29,7591491040
2004-06-30,7680676790
2004-07-01,7441658980
2004-07-02,7505872720
2004-07-06,7024269670
2004-07-07,6985027939
2004-07-08,6817358730
2004-07-09,6795954150
2004-07-12,6581908350
2004-07-13,6610447790
2004-07-14,6371429980
2004-07-15,6360727689
2004-07-16,6089603010
2004-07-19,6082468150
2004-07-20,6478452880
2004-07-21,6139547030
2004-07-22,6735307840
2004-07-23,6496290030
2004-07-26,6503424890
2004-07-27,6742442699
2004-07-28,6592610640
2004-07-29,6721038120
2004-07-30,6901711230
2004-08-02,6833731700
2004-08-03,6536768490
2004-08-04,6604748020
2004-08-05,6354297120
2004-08-06,6014399470
2004-08-09,5978620770
2004-08-10,6146780660
2004-08-11,6107424090
2004-08-12,5928530590
2004-08-13,6028710950
2004-08-16,6161092140
2004-08-17,6221915930
2004-08-18,7048403900
2004-08-19,7073448990
2004-08-20,7098494080
2004-08-23,7162895740
