,CAR
2001-01-23,1666900000
2001-01-24,1674800000
2001-01-25,1643200000
2001-01-26,1595800000
2001-01-29,1625819999
2001-01-30,1643200000
2001-01-31,1619500000
2001-02-01,1681120000
2001-02-02,1666110000
2001-02-05,1678750000
2001-02-06,1668480000
2001-02-07,1744319999
2001-02-08,1682700000
2001-02-09,1666900000
2001-02-12,1700080000
2001-02-13,1717459999
2001-02-14,1738000000
2001-02-15,1744319999
2001-02-16,1741950000
2001-02-20,1710350000
2001-02-21,1658209999
2001-02-22,1668480000
2001-02-23,1644780000
2001-02-26,1659790000
2001-02-27,1659790000
2001-02-28,1653470000
2001-03-01,1655840000
2001-03-02,1672430000
2001-03-05,1693760000
2001-03-06,1714300000
2001-03-07,1793300000
2001-03-08,1865980000
2001-03-09,1862030000
2001-03-12,1764860000
2001-03-13,1824110000
2001-03-14,1797250000
2001-03-15,1815420000
2001-03-16,1836750000
2001-03-19,1862819999
2001-03-20,1807520000
2001-03-21,1715090000
2001-03-22,1663740000
2001-03-23,1710350000
2001-03-26,1763280000
2001-03-27,1807520000
2001-03-28,1801200000
2001-03-29,1832800000
2001-03-30,1843860000
2001-04-02,1963257000
2001-04-03,1890922000
2001-04-04,1906239999
2001-04-05,1974320000
2001-04-06,1974320000
2001-04-09,2103672000
2001-04-10,2139414000
2001-04-11,2103672000
2001-04-12,2107927000
2001-04-16,2137712000
2001-04-17,2233024000
2001-04-18,2299402000
2001-04-19,2449178000
2001-04-20,2364078000
2001-04-23,2328336000
2001-04-24,2326634000
2001-04-25,2364929000
2001-04-26,2416840000
2001-04-27,2471304000
2001-04-30,2415138000
2001-05-01,2369184000
2001-05-02,2437264000
2001-05-03,2391310000
2001-05-04,2403224000
2001-05-07,2449178000
2001-05-08,2428754000
2001-05-09,2442370000
2001-05-10,2380247000
2001-05-11,2328336000
2001-05-14,2358121000
2001-05-15,2437264000
2001-05-16,2464496000
2001-05-17,2426201000
2001-05-18,2441519000
2001-05-21,2478112000
2001-05-22,2580232000
2001-05-23,2537682000
2001-05-24,2591295000
2001-05-25,2569169000
2001-05-29,2553000000
2001-05-30,2580232000
2001-05-31,2611719000
2001-06-01,2584487000
2001-06-04,2587040000
2001-06-05,2616825000
2001-06-06,2516407000
2001-06-07,2462794000
2001-06-08,2505344000
2001-06-11,2486622000
2001-06-12,2487473000
2001-06-13,2518960000
2001-06-14,2532576000
2001-06-15,2512152000
2001-06-18,2589593000
2001-06-19,2663630000
2001-06-20,2723200000
2001-06-21,2773409000
2001-06-22,2727454999
2001-06-25,2691713000
2001-06-26,2739369000
2001-06-27,2689160000
2001-06-28,2675544000
2001-06-29,2655120000
2001-07-02,2757826000
2001-07-03,2774109000
2001-07-05,2865808000
2001-07-06,2810959999
2001-07-09,2776680000
2001-07-10,2761254000
2001-07-11,2828957000
2001-07-12,2845240000
2001-07-13,2853809999
2001-07-16,2813531000
2001-07-17,2813531000
2001-07-18,2765539000
2001-07-19,2952365000
2001-07-20,2905230000
2001-07-23,2843526000
2001-07-24,2798961999
2001-07-25,2834099000
2001-07-26,2809246000
2001-07-27,2854667000
2001-07-30,2812674000
2001-07-31,2790392000
2001-08-01,2705549000
2001-08-02,2673840000
2001-08-03,2673840000
2001-08-06,2685838000
2001-08-07,2742400000
2001-08-08,2724403000
2001-08-09,2657557000
2001-08-10,2632704000
2001-08-13,2690123000
2001-08-14,2735544000
2001-08-15,2785250000
2001-08-16,2762968000
2001-08-17,2747542000
2001-08-20,2746684999
2001-08-21,2813531000
2001-08-22,2794677000
2001-08-23,2847810999
2001-08-24,2826385999
2001-08-27,2758683000
2001-08-28,2701264000
2001-08-29,2653272000
2001-08-30,2612136000
2001-08-31,2614707000
2001-09-04,2587283000
2001-09-05,2550432000
2001-09-06,2504154000
2001-09-07,2399600000
2001-09-10,2435594000
2001-09-17,1974528000
2001-09-18,1905967999
2001-09-19,1714000000
2001-09-20,1602590000
2001-09-21,1512604999
2001-09-24,1582022000
2001-09-25,1666008000
2001-09-26,1588878000
2001-09-27,1568310000
2001-09-28,1755136000
2001-10-01,1980668577
2001-10-02,1904451434
2001-10-03,2016822863
2001-10-04,2058840006
2001-10-05,2032457148
2001-10-08,1899565719
2001-10-09,1881977148
2001-10-10,1951354291
2001-10-11,2134080006
2001-10-12,2131148577
2001-10-15,2040274291
2001-10-16,2040274291
2001-10-17,2009005720
2001-10-18,2037342863
2001-10-19,2053954291
2001-10-22,2102811434
2001-10-23,2159485720
2001-10-24,2149714292
2001-10-25,2126262863
2001-10-26,2165348577
2001-10-29,2096948577
2001-10-30,2014868577
2001-10-31,2026594291
2001-11-01,2090108577
2001-11-02,2104765720
2001-11-05,2152645720
2001-11-06,2165348577
2001-11-07,2179028577
2001-11-08,2212251435
2001-11-09,2274788578
2001-11-12,2168280006
2001-11-13,2204434292
2001-11-14,2319737149
2001-11-15,2459468578
2001-11-16,2524937150
2001-11-19,2540571436
2001-11-20,2457514292
2001-11-21,2501485721
2001-11-23,2524937150
2001-11-26,2556205721
2001-11-27,2558160007
2001-11-28,2556205721
2001-11-29,2595291436
2001-11-30,2663691436
2001-12-03,2651965722
2001-12-04,2712548579
2001-12-05,2780948579
2001-12-06,2861074294
2001-12-07,2947062865
2001-12-10,2909931437
2001-12-11,2942177151
2001-12-12,2988102865
2001-12-13,2928497151
2001-12-14,2929474294
2001-12-17,2978331437
2001-12-18,3048685723
2001-12-19,3040868580
2001-12-20,3040868580
2001-12-21,3064320008
2001-12-24,2968560008
2001-12-26,2984194294
2001-12-27,3046731437
2001-12-28,3097542866
2001-12-31,3066274294
2002-01-02,3017417151
2002-01-03,2996897151
2002-01-04,2989080008
2002-01-07,2976377151
2002-01-08,2923611437
2002-01-09,2978331437
2002-01-10,3007645723
2002-01-11,2993965723
2002-01-14,2951948580
2002-01-15,2967582865
2002-01-16,2972468580
2002-01-17,3004714294
2002-01-18,2978331437
2002-01-22,3045754294
2002-01-23,3001782865
2002-01-24,2949994294
2002-01-25,2884525722
2002-01-28,2868891436
2002-01-29,2582588578
2002-01-30,2509302864
2002-01-31,2733068579
2002-02-01,2595291436
2002-02-04,2482920007
2002-02-05,2399862864
2002-02-06,2434062864
2002-02-07,2504417150
2002-02-08,2582588578
2002-02-11,2616788579
2002-02-12,2543502864
2002-02-13,2587474293
2002-02-14,2576725721
2002-02-15,2522982864
2002-02-19,2448720007
2002-02-20,2526891435
2002-02-21,2462400007
2002-02-22,2451651435
2002-02-25,2498554293
2002-02-26,2593337150
2002-02-27,2737954293
2002-02-28,2722320007
2002-03-01,2850325722
2002-03-04,2861074294
2002-03-05,2886480008
2002-03-06,2937291437
2002-03-07,2870845722
2002-03-08,2890388579
2002-03-11,2882571437
2002-03-12,2882571437
2002-03-13,2851302865
2002-03-14,2921657151
2002-03-15,2949017151
2002-03-18,3009600008
2002-03-19,3124902866
2002-03-20,3113177151
2002-03-21,3051617151
2002-03-22,3103405723
2002-03-25,2995920008
2002-03-26,2993965723
2002-03-27,2988102865
2002-03-28,3001782865
2002-04-01,2973445722
2002-04-02,2917748579
2002-04-03,2886480008
2002-04-04,2918725722
2002-04-05,2907977151
2002-04-08,2918725722
2002-04-09,2920680008
2002-04-10,2898205722
2002-04-11,2892342865
2002-04-12,2798537151
2002-04-15,2842508579
2002-04-16,2931428580
2002-04-17,2920680008
2002-04-18,2975400008
2002-04-19,2920680008
2002-04-22,2900160008
2002-04-23,2886480008
2002-04-24,2964651437
2002-04-25,2929474294
2002-04-26,2876708579
2002-04-29,2809285722
2002-04-30,2812217151
2002-05-01,2792674293
2002-05-02,2889411437
2002-05-03,2850325722
2002-05-06,2785834293
2002-05-07,2817102865
2002-05-08,2884525722
2002-05-09,2837622865
2002-05-10,2770200008
2002-05-13,2814171436
2002-05-14,2905045722
2002-05-15,2928497151
2002-05-16,2923611437
2002-05-17,2890388579
2002-05-20,2856188579
2002-05-21,2889411437
2002-05-22,2858142865
2002-05-23,2892342865
2002-05-24,2842508579
2002-05-28,2796582865
2002-05-29,2806354293
2002-05-30,2757497150
2002-05-31,2858142865
2002-06-03,2746748579
2002-06-04,2694960007
2002-06-05,2728182865
2002-06-06,2671508579
2002-06-07,2632422864
2002-06-10,2587474293
2002-06-11,2545457150
2002-06-12,2456537150
2002-06-13,2456537150
2002-06-14,2473148578
2002-06-17,2595291436
2002-06-18,2587474293
2002-06-19,2501485721
2002-06-20,2434062864
2002-06-21,2423314292
2002-06-24,2429177149
2002-06-25,2410611435
2002-06-26,2368594292
2002-06-27,2396931435
2002-06-28,2482920007
2002-07-01,2450977149
2002-07-02,2329325720
2002-07-03,2419068578
2002-07-05,2498840007
2002-07-08,2464937149
2002-07-09,2387160006
2002-07-10,2276477149
2002-07-11,2233600006
2002-07-12,2257531435
2002-07-15,2215651434
2002-07-16,2107960006
2002-07-17,2182745720
2002-07-18,2034171434
2002-07-19,2111948577
2002-07-22,2045140005
2002-07-23,1967362862
2002-07-24,2029185720
2002-07-25,2013231434
2002-07-26,2082034291
2002-07-29,2273485720
2002-07-30,2267502863
2002-07-31,2204682863
2002-08-01,2179754291
2002-08-02,2032177148
2002-08-05,1952405719
2002-08-06,2103971434
2002-08-07,2110951434
2002-08-08,2142860006
2002-08-09,2167788577
2002-08-12,2167788577
2002-08-13,2131891434
2002-08-14,2156820006
2002-08-15,2339297149
2002-08-16,2385165721
2002-08-19,2379182863
2002-08-20,2375194292
2002-08-21,2369211435
2002-08-22,2417074292
2002-08-23,2383171435
2002-08-26,2409097149
2002-08-27,2359240006
2002-08-28,2345280006
2002-08-29,2321348578
2002-08-30,2283457149
2002-09-03,2158814291
2002-09-04,2273485720
2002-09-05,2225622863
2002-09-06,2287445720
2002-09-09,2287445720
2002-09-10,2318357149
2002-09-11,2302402863
2002-09-12,2279468577
2002-09-13,2308385720
2002-09-16,2310380006
2002-09-17,2249554292
2002-09-18,2246562863
2002-09-19,2103971434
2002-09-20,2123914291
2002-09-23,2095994291
2002-09-24,2068074291
2002-09-25,1794857148
2002-09-26,1715085719
2002-09-27,1754971433
2002-09-30,1773660000
2002-10-01,1832370000
2002-10-02,1791170000
2002-10-03,1758210000
2002-10-04,1746880000
2002-10-07,1662420000
2002-10-08,1672719999
2002-10-09,1489380000
2002-10-10,1615040000
2002-10-11,1812800000
2002-10-14,1766449999
2002-10-15,1958030000
2002-10-16,1868420000
2002-10-17,1964210000
2002-10-18,1895199999
2002-10-21,2021890000
2002-10-22,2062060000
2002-10-23,2095020000
2002-10-24,2024980000
2002-10-25,2007469999
2002-10-28,1950820000
2002-10-29,1954940000
2002-10-30,1977600000
2002-10-31,1895199999
2002-11-01,1961120000
2002-11-04,2043520000
2002-11-05,2027040000
2002-11-06,2063090000
2002-11-07,2008500000
2002-11-08,1985840000
2002-11-11,1985840000
2002-11-12,1974510000
2002-11-13,1921980000
2002-11-14,1921980000
2002-11-15,1963179999
2002-11-18,2032190000
2002-11-19,1994080000
2002-11-20,2049699999
2002-11-21,2122830000
2002-11-22,2092960000
2002-11-25,2020860000
2002-11-26,1944640000
2002-11-27,2046610000
2002-11-29,2073390000
2002-12-02,2005410000
2002-12-03,2029100000
2002-12-04,2048670000
2002-12-05,2002320000
2002-12-06,2027040000
2002-12-09,1967300000
2002-12-10,1990989999
2002-12-11,1996140000
2002-12-12,1975540000
2002-12-13,1883870000
2002-12-16,1911679999
2002-12-17,1827219999
2002-12-18,1854000000
2002-12-19,1796320000
2002-12-20,1829280000
2002-12-23,1812800000
2002-12-24,1804560000
2002-12-26,1810739999
2002-12-27,1748940000
2002-12-30,1736580000
2002-12-31,1727310000
2003-01-02,1779840000
2003-01-03,1834429999
2003-01-06,1854000000
2003-01-07,1799410000
2003-01-08,1777780000
2003-01-09,1851940000
2003-01-10,1864300000
2003-01-13,1919920000
2003-01-14,1914770000
2003-01-15,1913739999
2003-01-16,1909620000
2003-01-17,1942580000
2003-01-21,1903440000
2003-01-22,1832370000
2003-01-23,1867390000
2003-01-24,1864300000
2003-01-27,1854000000
2003-01-28,1845760000
2003-01-29,1864300000
2003-01-30,1810739999
2003-01-31,1826190000
2003-02-03,1796320000
2003-02-04,1763360000
2003-02-05,1740699999
2003-02-06,1818980000
2003-02-07,1812800000
2003-02-10,1884900000
2003-02-11,1900350000
2003-02-12,1823100000
2003-02-13,1826190000
2003-02-14,1837520000
2003-02-18,1941550000
2003-02-19,1895199999
2003-02-20,1880780000
2003-02-21,1947730000
2003-02-24,1903440000
2003-02-25,1911679999
2003-02-26,1936400000
2003-02-27,2029100000
2003-02-28,2029100000
2003-03-03,2010560000
2003-03-04,2002320000
2003-03-05,2020860000
2003-03-06,1999230000
2003-03-07,2062060000
2003-03-10,2018800000
2003-03-11,1955969999
2003-03-12,1987900000
2003-03-13,2002320000
2003-03-14,2057940000
2003-03-17,2114590000
2003-03-18,2158880000
2003-03-19,2150640000
2003-03-20,2224800000
2003-03-21,2298960000
2003-03-24,2186690000
2003-03-25,2216560000
2003-03-26,2183600000
2003-03-27,2153730000
2003-03-28,2155790000
2003-03-31,2042694741
2003-04-01,2037668425
2003-04-02,2133168425
2003-04-03,2098989478
2003-04-04,2064810530
2003-04-07,2109042109
2003-04-08,2087931583
2003-04-09,2052747372
2003-04-10,2042694741
2003-04-11,2066821056
2003-04-14,2117084214
2003-04-15,2123115793
2003-04-16,2071847372
2003-04-17,2105021057
2003-04-21,2087931583
2003-04-22,2193484215
2003-04-23,2219621057
2003-04-24,2192478951
2003-04-25,2142215793
2003-04-28,2229673688
2003-04-29,2303057899
2003-04-30,2297026320
2003-05-01,2324168425
2003-05-02,2378452636
2003-05-05,2361363162
2003-05-06,2410621057
2003-05-07,2410621057
2003-05-08,2409615794
2003-05-09,2391521057
2003-05-12,2447815794
2003-05-13,2458873689
2003-05-14,2444800005
2003-05-15,2551357900
2003-05-16,2571463163
2003-05-19,2455857899
2003-05-20,2454852636
2003-05-21,2452842110
2003-05-22,2544321057
2003-05-23,2631778952
2003-05-27,2675005268
2003-05-28,2647863163
2003-05-29,2619715794
2003-05-30,2702147374
2003-06-02,2694105268
2003-06-03,2678021058
2003-06-04,2724263163
2003-06-05,2796642111
2003-06-06,2763468426
2003-06-09,2697121058
2003-06-10,2758442111
2003-06-11,2841878953
2003-06-12,2865000006
2003-06-13,2840873690
2003-06-16,2938384216
2003-06-17,2956478953
2003-06-18,2957484216
2003-06-19,2854947374
2003-06-20,2843889479
2003-06-23,2868015795
2003-06-24,2851931584
2003-06-25,2854947374
2003-06-26,2873042111
2003-06-27,2905210532
2003-06-30,2977278936
2003-07-01,2998610515
2003-07-02,3006736831
2003-07-03,2960010515
2003-07-07,3037210515
2003-07-08,3090031567
2003-07-09,3136757883
2003-07-10,3044321041
2003-07-11,3039242094
2003-07-14,3044321041
2003-07-15,3047368410
2003-07-16,2984389462
2003-07-17,2909221042
2003-07-18,2917347357
2003-07-21,2868589463
2003-07-22,2923442094
2003-07-23,2882810515
2003-07-24,2849289463
2003-07-25,2964073673
2003-07-28,3053463146
2003-07-29,2992515778
2003-07-30,2917347357
2003-07-31,2917347357
2003-08-01,2825926305
2003-08-04,2822878937
2003-08-05,2752789463
2003-08-06,2754821042
2003-08-07,2774121042
2003-08-08,2795452621
2003-08-11,2779199989
2003-08-12,2844210516
2003-08-13,2803578937
2003-08-14,2847257884
2003-08-15,2795452621
2003-08-18,2866557884
2003-08-19,2917347357
2003-08-20,2909221042
2003-08-21,2896015778
2003-08-22,2868589463
2003-08-25,2842178937
2003-08-26,2811705252
2003-08-27,2800531568
2003-08-28,2906173673
2003-08-29,2922426305
2003-09-02,2966105252
2003-09-03,2960010515
2003-09-04,3003689462
2003-09-05,2990484199
2003-09-08,2998610515
2003-09-09,2961026305
2003-09-10,2849289463
2003-09-11,2941726305
2003-09-12,2990484199
2003-09-15,2964073673
2003-09-16,3047368410
2003-09-17,3081905251
2003-09-18,3085968409
2003-09-19,3081905251
2003-09-22,3039242094
2003-09-23,3106284199
2003-09-24,3065652620
2003-09-25,2971184199
2003-09-26,2982357883
2003-09-29,3025021041
2003-09-30,3066488386
2003-10-01,3066488386
2003-10-02,3014183734
2003-10-03,3055206990
2003-10-06,3084948851
2003-10-07,3158790712
2003-10-08,3152637223
2003-10-09,3145458153
2003-10-10,3189558154
2003-10-13,3226479084
2003-10-14,3251093038
2003-10-15,3232632572
2003-10-16,3227504665
2003-10-17,3172123270
2003-10-20,3245965131
2003-10-21,3290065131
2003-10-22,3271604666
2003-10-23,3251093038
2003-10-24,3234683735
2003-10-27,3279809317
2003-10-28,3357753503
2003-10-29,3322883736
2003-10-30,3360830247
2003-10-31,3352625596
2003-11-03,3386469782
2003-11-04,3358779085
2003-11-05,3383393038
2003-11-06,3423390713
2003-11-07,3431595364
2003-11-10,3429544201
2003-11-11,3440825596
2003-11-12,3498258155
2003-11-13,3511590713
2003-11-14,3451081411
2003-11-17,3456209318
2003-11-18,3509539550
2003-11-19,3503386062
2003-11-20,3497232574
2003-11-21,3478772108
2003-11-24,3517744201
2003-11-25,3541332574
2003-11-26,3613123272
2003-11-28,3636711644
2003-12-01,3651069784
2003-12-02,3632609318
2003-12-03,3631583737
2003-12-04,3582355830
2003-12-05,3521846527
2003-12-08,3550562806
2003-12-09,3465439550
2003-12-10,3419288387
2003-12-11,3475695364
2003-12-12,3456209318
2003-12-15,3472618620
2003-12-16,3456209318
2003-12-17,3426467457
2003-12-18,3514667457
2003-12-19,3565946527
2003-12-22,3585432574
2003-12-23,3577227923
2003-12-24,3563895365
2003-12-26,3547486062
2003-12-29,3631583737
2003-12-30,3659274435
2003-12-31,3654146528
2004-01-02,3601841876
2004-01-05,3706451179
2004-01-06,3677734900
2004-01-07,3711579086
2004-01-08,3731065133
2004-01-09,3721834900
2004-01-12,3746448854
2004-01-13,3700297691
2004-01-14,3755679086
2004-01-15,3743372110
2004-01-16,3757730249
2004-01-20,3736193040
2004-01-21,3774139551
2004-01-22,3772088389
2004-01-23,3736193040
2004-01-26,3801830249
2004-01-27,3823367459
2004-01-28,3710553505
2004-01-29,3662351179
2004-01-30,3716706993
2004-02-02,3755679086
2004-02-03,3736193040
2004-02-04,3731065133
2004-02-05,3566972109
2004-02-06,3610046528
2004-02-09,3705425598
2004-02-10,3782344203
2004-02-11,3815162808
2004-02-12,3747474435
2004-02-13,3738244203
2004-02-17,3759781412
2004-02-18,3741320947
2004-02-19,3667479086
2004-02-20,3681837226
2004-02-23,3654146528
2004-02-24,3700297691
2004-02-25,3727988389
2004-02-26,3793625598
2004-02-27,3724911644
2004-03-01,3829520947
2004-03-02,3801830249
2004-03-03,3823367459
2004-03-04,3862339552
2004-03-05,3915669785
2004-03-08,3839776761
2004-03-09,3844904668
2004-03-10,3831572110
2004-03-11,3755679086
2004-03-12,3810034901
2004-03-15,3735167458
2004-03-16,3823367459
2004-03-17,3847981412
2004-03-18,3837725598
2004-03-19,3818239552
2004-03-22,3777216296
2004-03-23,3795676761
2004-03-24,3793625598
2004-03-25,3850032575
2004-03-26,3915669785
2004-03-29,3930027924
2004-03-30,3977204669
2004-03-31,3965120585
2004-04-01,4038285291
2004-04-02,4021010291
2004-04-05,4017961762
2004-04-06,4045398527
2004-04-07,4040317644
2004-04-08,4021010291
2004-04-12,4026091174
2004-04-13,3970201468
2004-04-14,4051495585
2004-04-15,4032188232
2004-04-16,4070802938
2004-04-19,4075883821
2004-04-20,3986460291
2004-04-21,4056576468
2004-04-22,4061657350
2004-04-23,3999670585
2004-04-26,3986460291
2004-04-27,3980363232
2004-04-28,3923457350
2004-04-29,3850292644
2004-04-30,3850292644
2004-05-03,3820823527
2004-05-04,3837082350
2004-05-05,3810661762
2004-05-06,3788305880
2004-05-07,3647057350
2004-05-10,3525116174
2004-05-11,3648073527
2004-05-12,3664332350
2004-05-13,3685672056
2004-05-14,3664332350
2004-05-17,3603361762
2004-05-18,3619620586
2004-05-19,3617588233
2004-05-20,3645024997
2004-05-21,3692785291
2004-05-24,3656202939
2004-05-25,3718189703
2004-05-26,3731399997
2004-05-27,3734448527
2004-05-28,3729367644
2004-06-01,3710060291
2004-06-02,3820823527
2004-06-03,3758836762
2004-06-04,3810661762
2004-06-07,3899069115
2004-06-08,3934635291
2004-06-09,3879761762
2004-06-10,3877729409
2004-06-14,3891955880
2004-06-15,3950894115
2004-06-16,3910247056
2004-06-17,3913295585
2004-06-18,3928538233
2004-06-21,3867567644
2004-06-22,3863502938
2004-06-23,3953942644
2004-06-24,3940732350
2004-06-25,3929554409
2004-06-28,3940732350
2004-06-29,3923457350
2004-06-30,4075054396
2004-07-01,4016794747
2004-07-02,3997028080
2004-07-06,4013673695
2004-07-07,4021996502
2004-07-08,4151000011
2004-07-09,4096901765
2004-07-12,4078175449
2004-07-13,4072973695
2004-07-14,4066731589
2004-07-15,4014714045
2004-07-16,3967898256
2004-07-19,3941889484
2004-07-20,4025117554
2004-07-21,3986624572
2004-07-22,3903396501
2004-07-23,3825370185
2004-07-26,3842015799
2004-07-27,3863863168
2004-07-28,3792078957
2004-07-29,3861782466
2004-07-30,3808724571
2004-08-02,3853459659
2004-08-03,3778554396
2004-08-04,3739021062
2004-08-05,3665156150
2004-08-06,3572564921
2004-08-09,3530950886
2004-08-10,3570484220
2004-08-11,3507022816
2004-08-12,3534071939
2004-08-13,3578807027
2004-08-16,3603775448
2004-08-17,3622501764
2004-08-18,3620421062
2004-08-19,3603775448
2004-08-20,3617300009
2004-08-23,3643308781
