,ABC
2000-08-31,1825086588
2000-09-01,1808457098
2000-09-05,1789748921
2000-09-06,1733624390
2000-09-07,1762725999
2000-09-08,1777276803
2000-09-11,1754411254
2000-09-12,1860424256
2000-09-13,1889525864
2000-09-14,1906155355
2000-09-15,2016325730
2000-09-18,1893683237
2000-09-19,1964358572
2000-09-20,2055820770
2000-09-21,2022561789
2000-09-22,2197171440
2000-09-25,2359308973
2000-09-26,2371781091
2000-09-27,2296948383
2000-09-28,2436220367
2000-09-29,2442456426
2000-10-02,2575816800
2000-10-03,2531839440
2000-10-04,2500427040
2000-10-05,2531839440
2000-10-06,2500427040
2000-10-09,2402001520
2000-10-10,2454355520
2000-10-11,2427131440
2000-10-12,2284728560
2000-10-13,2366400800
2000-10-16,2378965760
2000-10-17,2408284000
2000-10-18,2404095680
2000-10-19,2316140960
2000-10-20,2339176720
2000-10-23,2397813200
2000-10-24,2316140960
2000-10-25,2146514000
2000-10-26,2221903760
2000-10-27,2198868000
2000-10-30,2314046800
2000-10-31,2274257760
2000-11-01,2309858480
2000-11-02,2136043199
2000-11-03,2129760720
2000-11-06,2142325680
2000-11-07,2194679680
2000-11-08,2330800080
2000-11-09,2402001520
2000-11-10,2443884720
2000-11-13,2374777440
2000-11-14,2412472320
2000-11-15,2427131440
2000-11-16,2378965760
2000-11-17,2508803680
2000-11-20,2525556960
2000-11-21,2519274480
2000-11-22,2517180320
2000-11-24,2582099280
2000-11-27,2688901440
2000-11-28,2611417520
2000-11-29,2598852560
2000-11-30,2577910960
2000-12-01,2559063520
2000-12-04,2408284000
2000-12-05,2360118320
2000-12-06,2217715440
2000-12-07,2173738080
2000-12-08,2238657040
2000-12-11,2270069440
2000-12-12,2150702320
2000-12-13,2198868000
2000-12-14,2257504480
2000-12-15,2408284000
2000-12-18,2519274480
2000-12-19,2594664240
2000-12-20,2508803680
2000-12-21,2529745280
2000-12-22,2613511680
2000-12-26,2651206560
2000-12-27,2711937200
2000-12-28,2755914560
2000-12-29,2644924080
2001-01-02,2630833920
2001-01-03,2683534920
2001-01-04,2464298760
2001-01-05,2377869120
2001-01-08,2523323880
2001-01-09,2529648000
2001-01-10,2622401760
2001-01-11,2533864080
2001-01-12,2588673120
2001-01-16,2576024880
2001-01-17,2582349000
2001-01-18,2367328920
2001-01-19,2217658080
2001-01-22,2325168120
2001-01-23,2460082680
2001-01-24,2398949520
2001-01-25,2495919360
2001-01-26,2487487200
2001-01-29,2569700760
2001-01-30,2529648000
2001-01-31,2521215840
2001-02-01,2504351520
2001-02-02,2588673120
2001-02-05,2637158040
2001-02-06,2725695720
2001-02-07,2696183160
2001-02-08,2700399240
2001-02-09,2757316320
2001-02-12,2820557520
2001-02-13,2898555000
2001-02-14,2890122840
2001-02-15,2810017320
2001-02-16,2885906760
2001-02-20,2915419320
2001-02-21,2883798720
2001-02-22,2879582640
2001-02-23,2873258520
2001-02-26,2951256000
2001-02-27,2968120320
2001-02-28,2831097720
2001-03-01,2854286160
2001-03-02,2957580120
2001-03-05,3037685640
2001-03-06,3001848960
2001-03-07,2904879120
2001-03-08,2839529880
2001-03-09,2835313800
2001-03-12,2708831400
2001-03-13,2670886680
2001-03-14,2651914320
2001-03-15,2613969600
2001-03-16,2554944480
2001-03-19,2382085200
2001-03-20,2396841480
2001-03-21,2398949520
2001-03-22,2287223400
2001-03-23,2339924400
2001-03-26,2325168120
2001-03-27,2367328920
2001-03-28,2457974640
2001-03-29,2630833920
2001-03-30,2584457040
2001-04-02,2577872640
2001-04-03,2560940800
2001-04-04,2567290240
2001-04-05,2726026240
2001-04-06,2702744960
2001-04-09,2732375680
2001-04-10,2776821760
2001-04-11,2755656960
2001-04-12,2766239360
2001-04-16,2755656960
2001-04-17,2789520640
2001-04-18,2721793280
2001-04-19,2736608640
2001-04-20,2721793280
2001-04-23,2747191040
2001-04-24,2736608640
2001-04-25,2757773440
2001-04-26,2726026240
2001-04-27,2800103040
2001-04-30,2857248000
2001-05-01,2808568960
2001-05-02,2764122880
2001-05-03,2762006400
2001-05-04,2812801920
2001-05-07,2759889920
2001-05-08,2694279040
2001-05-09,2715443840
2001-05-10,2745074560
2001-05-11,2751424000
2001-05-14,2774705280
2001-05-15,2745074560
2001-05-16,2781054720
2001-05-17,2914392960
2001-05-18,2933441280
2001-05-21,2912276480
2001-05-22,2912276480
2001-05-23,2853015040
2001-05-24,2939790720
2001-05-25,2931324800
2001-05-29,3001168640
2001-05-30,2963072000
2001-05-31,3054080640
2001-06-01,3123924480
2001-06-04,3221282560
2001-06-05,3121808000
2001-06-06,3035032320
2001-06-07,3073128960
2001-06-08,3113342080
2001-06-11,3071012480
2001-06-12,2986353280
2001-06-13,3003285120
2001-06-14,2992702720
2001-06-15,3132390400
2001-06-18,3126040960
2001-06-19,3102759680
2001-06-20,3212816640
2001-06-21,3265728640
2001-06-22,3123924480
2001-06-25,3015984000
2001-06-26,3022333440
2001-06-27,3015984000
2001-06-28,3045614720
2001-06-29,2929208320
2001-07-02,3943415840
2001-07-03,3991540800
2001-07-05,3937754080
2001-07-06,3892460000
2001-07-09,3909445280
2001-07-10,3892460000
2001-07-11,3875474720
2001-07-12,3866982080
2001-07-13,3946246720
2001-07-16,3974555519
2001-07-17,4070805440
2001-07-18,4116099519
2001-07-19,4048158400
2001-07-20,4096283360
2001-07-23,4005695200
2001-07-24,3915107040
2001-07-25,3915107040
2001-07-26,4070805440
2001-07-27,4147239200
2001-07-30,4209518560
2001-07-31,4116099519
2001-08-01,4048158400
2001-08-02,3985879040
2001-08-03,4019849600
2001-08-06,4036834880
2001-08-07,3963232000
2001-08-08,3926430560
2001-08-09,3966062880
2001-08-10,4065143680
2001-08-13,4082128960
2001-08-14,4076467200
2001-08-15,4034004000
2001-08-16,4045327519
2001-08-17,4175548000
2001-08-20,4164224480
2001-08-21,4240658240
2001-08-22,4345400800
2001-08-23,4317092000
2001-08-24,4402018400
2001-08-27,4600180000
2001-08-28,4571871200
2001-08-29,4495437440
2001-08-30,4447312480
2001-08-31,4560547680
2001-09-04,4622827039
2001-09-05,4634150560
2001-09-06,4721907840
2001-09-07,4594518240
2001-09-10,4591687360
2001-09-17,4529408000
2001-09-18,4600180000
2001-09-19,4566209440
2001-09-20,4651135840
2001-09-21,4600180000
2001-09-24,4685106400
2001-09-25,4826650400
2001-09-26,4823819520
2001-09-27,4897422400
2001-09-28,5021981120
2001-10-01,7327911040
2001-10-02,7261520000
2001-10-03,7074795200
2001-10-04,7186830080
2001-10-05,7215876160
2001-10-08,7157784000
2001-10-09,7186830080
2001-10-10,7207577280
2001-10-11,7062346880
2001-10-12,6950312000
2001-10-15,7095542400
2001-10-16,7257370559
2001-10-17,7224175040
2001-10-18,7257370559
2001-10-19,7344508800
2001-10-22,7398451519
2001-10-23,7215876160
2001-10-24,7037450240
2001-10-25,7137036800
2001-10-26,6912967040
2001-10-29,6846576000
2001-10-30,6535368000
2001-10-31,6593460160
2001-11-01,6535368000
2001-11-02,6464827520
2001-11-05,6535368000
2001-11-06,6630805120
2001-11-07,6622506240
2001-11-08,6070630720
2001-11-09,5809216000
2001-11-12,5892204800
2001-11-13,5912952000
2001-11-14,5717928320
2001-11-15,5751123840
2001-11-16,5937848640
2001-11-19,5979343040
2001-11-20,6041584640
2001-11-21,6058182400
2001-11-23,5995940800
2001-11-26,5879756480
2001-11-27,5850710400
2001-11-28,5912952000
2001-11-29,6033285760
2001-11-30,6174366720
2001-12-03,6361091520
2001-12-04,6365240960
2001-12-05,6278102720
2001-12-06,6066481280
2001-12-07,6066481280
2001-12-10,5966894720
2001-12-11,5975193600
2001-12-12,5987641920
2001-12-13,6020837440
2001-12-14,6170217280
2001-12-17,6107975680
2001-12-18,6240757760
2001-12-19,6402585920
2001-12-20,6398436480
2001-12-21,6493873600
2001-12-24,6556115200
2001-12-26,6593460160
2001-12-27,6535368000
2001-12-28,6634954560
2001-12-31,6593460160
2002-01-02,6560747360
2002-01-03,6443814880
2002-01-04,6280944640
2002-01-07,6059608160
2002-01-08,6101369760
2002-01-09,6093017440
2002-01-10,6164012160
2002-01-11,6189069120
2002-01-14,6255887680
2002-01-15,6214126080
2002-01-16,6080488960
2002-01-17,5967732640
2002-01-18,5930147200
2002-01-22,6247535360
2002-01-23,6351939360
2002-01-24,6514809600
2002-01-25,6531514240
2002-01-28,6506457280
2002-01-29,6368644000
2002-01-30,6514809600
2002-01-31,6757026880
2002-02-01,6660975200
2002-02-04,6602508960
2002-02-05,6706912959
2002-02-06,6514809600
2002-02-07,6435462560
2002-02-08,6577452000
2002-02-11,6627565920
2002-02-12,6681856000
2002-02-13,6711089120
2002-02-14,6694384480
2002-02-15,6690208320
2002-02-19,6631742080
2002-02-20,6669327520
2002-02-21,6736146080
2002-02-22,6727793760
2002-02-25,6752850720
2002-02-26,6878135520
2002-02-27,6961658720
2002-02-28,7066062720
2002-03-01,7099472000
2002-03-04,6982539520
2002-03-05,6869783200
2002-03-06,6919897120
2002-03-07,7086943520
2002-03-08,6928249440
2002-03-11,6932425600
2002-03-12,7120352800
2002-03-13,7220580640
2002-03-14,7274870720
2002-03-15,7312456160
2002-03-18,7262342240
2002-03-19,7270694560
2002-03-20,7132881279
2002-03-21,7295751520
2002-03-22,7291575360
2002-03-25,7233109120
2002-03-26,7028477279
2002-03-27,7166290560
2002-03-28,7132881279
2002-04-01,7287665840
2002-04-02,7249731200
2002-04-03,7123282399
2002-04-04,7114852480
2002-04-05,6963113920
2002-04-08,7068487920
2002-04-09,7119067440
2002-04-10,7157002080
2002-04-11,7182291840
2002-04-12,7262376080
2002-04-15,7321385520
2002-04-16,7376180000
2002-04-17,7190721759
2002-04-18,7439404399
2002-04-19,7620647679
2002-04-22,7667012240
2002-04-23,7430974480
2002-04-24,7544778399
2002-04-25,7966274399
2002-04-26,8282396399
2002-04-29,8059003520
2002-04-30,8168592480
2002-05-01,8012638960
2002-05-02,8008424000
2002-05-03,7995779119
2002-05-06,8139087759
2002-05-07,8012638960
2002-05-08,8008424000
2002-05-09,8063218480
2002-05-10,7949414560
2002-05-13,7966274399
2002-05-14,7928339759
2002-05-15,7995779119
2002-05-16,8012638960
2002-05-17,8181237360
2002-05-20,8147517679
2002-05-21,8143302720
2002-05-22,8198097200
2002-05-23,8273966480
2002-05-24,8227601920
2002-05-28,8265536560
2002-05-29,8303471200
2002-05-30,8320331039
2002-05-31,8122227920
2002-06-03,8008424000
2002-06-04,8033713759
2002-06-05,7936769679
2002-06-06,8033713759
2002-06-07,8286611360
2002-06-10,8547938880
2002-06-11,8493144399
2002-06-12,8282396399
2002-06-13,8316116080
2002-06-14,8316116080
2002-06-17,8531079039
2002-06-18,8581658560
2002-06-19,8670172720
2002-06-20,8535294000
2002-06-21,8345620800
2002-06-24,8193882240
2002-06-25,8092723200
2002-06-26,8071648399
2002-06-27,8227601920
2002-06-28,8008424000
2002-07-01,7626955000
2002-07-02,7486738000
2002-07-03,7397509000
2002-07-05,7643950999
2002-07-08,7520730000
2002-07-09,6670930000
2002-07-10,6687926000
2002-07-11,6267275000
2002-07-12,6479725000
2002-07-15,6449982000
2002-07-16,6675179000
2002-07-17,6853637000
2002-07-18,6721918000
2002-07-19,6517966000
2002-07-22,6139805000
2002-07-23,6280022000
2002-07-24,6602946000
2002-07-25,6828143000
2002-07-26,6947115000
2002-07-29,7329525000
2002-07-30,7393259999
2002-07-31,7117075000
2002-08-01,6934368000
2002-08-02,6904625000
2002-08-05,6649685000
2002-08-06,6760159000
2002-08-07,6913123000
2002-08-08,7210552999
2002-08-09,7342272000
2002-08-12,7253043000
2002-08-13,7172312000
2002-08-14,7401758000
2002-08-15,7363516999
2002-08-16,7278537000
2002-08-19,7350770000
2002-08-20,7329525000
2002-08-21,7486738000
2002-08-22,7784168000
2002-08-23,7541975000
2002-08-26,7677943000
2002-08-27,7584465000
2002-08-28,7626955000
2002-08-29,7784168000
2002-08-30,7703437000
2002-09-03,7512232000
2002-09-04,7580216000
2002-09-05,7703437000
2002-09-06,7720433000
2002-09-09,7720433000
2002-09-10,7571718000
2002-09-11,7520730000
2002-09-12,7614208000
2002-09-13,7643950999
2002-09-16,7758674000
2002-09-17,7397509000
2002-09-18,7359268000
2002-09-19,7138320000
2002-09-20,7308280000
2002-09-23,7278537000
2002-09-24,7439999000
2002-09-25,7567468999
2002-09-26,7720433000
2002-09-27,7516481000
2002-09-30,7588714000
2002-10-01,7795670000
2002-10-02,7582090000
2002-10-03,7825571200
2002-10-04,7577818399
2002-10-07,7530830800
2002-10-08,7851200800
2002-10-09,7671793600
2002-10-10,7611991200
2002-10-11,7834114400
2002-10-14,8000706800
2002-10-15,7928089599
2002-10-16,7859743999
2002-10-17,7624806000
2002-10-18,7547917200
2002-10-21,7838386000
2002-10-22,7987892000
2002-10-23,7970805600
2002-10-24,7714509599
2002-10-25,7923818000
2002-10-28,7641892400
2002-10-29,7718781200
2002-10-30,7829842799
2002-10-31,7599176400
2002-11-01,7735867600
2002-11-04,7684608399
2002-11-05,7347152000
2002-11-06,7620534400
2002-11-07,7475300000
2002-11-08,7154930000
2002-11-11,7022510400
2002-11-12,7120757200
2002-11-13,7095127600
2002-11-14,6813202000
2002-11-15,6941350000
2002-11-18,6770486000
2002-11-19,6300610000
2002-11-20,6445844400
2002-11-21,6163918800
2002-11-22,6334782800
2002-11-25,6069943600
2002-11-26,6223721200
2002-11-27,6249350800
2002-11-29,6198091600
2002-12-02,6390313600
2002-12-03,6398856800
2002-12-04,6744856400
2002-12-05,6484288800
2002-12-06,6655152800
2002-12-09,6646609600
2002-12-10,6398856800
2002-12-11,6104116400
2002-12-12,6010141200
2002-12-13,6104116400
2002-12-16,5946067200
2002-12-17,5924709200
2002-12-18,5890536400
2002-12-19,5800832800
2002-12-20,5480462800
2002-12-23,5766660000
2002-12-24,5762388400
2002-12-26,5817919200
2002-12-27,5788018000
2002-12-30,5736758800
2002-12-31,5800832800
2003-01-02,6308006320
2003-01-03,6404311760
2003-01-06,6478729600
2003-01-07,6312383840
2003-01-08,6080375280
2003-01-09,6005957440
2003-01-10,5935917120
2003-01-13,6032222560
2003-01-14,5975314800
2003-01-15,5927162080
2003-01-16,5962182240
2003-01-17,5940294640
2003-01-21,5883386880
2003-01-22,5975314800
2003-01-23,5953427200
2003-01-24,6058487680
2003-01-27,6054110160
2003-01-28,6229210960
2003-01-29,6386801680
2003-01-30,6281741200
2003-01-31,6369291600
2003-02-03,6294873760
2003-02-04,6294873760
2003-02-05,6364914080
2003-02-06,6316761360
2003-02-07,6194190800
2003-02-10,6237966000
2003-02-11,6216078400
2003-02-12,5997202400
2003-02-13,5887764400
2003-02-14,5800214000
2003-02-18,5940294640
2003-02-19,5949049680
2003-02-20,6019090000
2003-02-21,6106640400
2003-02-24,6010334960
2003-02-25,6115395440
2003-02-26,6067242720
2003-02-27,6058487680
2003-02-28,6019090000
2003-03-03,5918407040
2003-03-04,5817724080
2003-03-05,5857121760
2003-03-06,5813346560
2003-03-07,5747683760
2003-03-10,5585715520
2003-03-11,5598848080
2003-03-12,5331819360
2003-03-13,5261779040
2003-03-14,5117320880
2003-03-17,5471900000
2003-03-18,5607603120
2003-03-19,5725796160
2003-03-20,5677643440
2003-03-21,5743306240
2003-03-24,5581338000
2003-03-25,5843989200
2003-03-26,5695153520
2003-03-27,5752061280
2003-03-28,5843989200
2003-03-31,5747683760
2003-04-01,5816703040
2003-04-02,5957928000
2003-04-03,5979994400
2003-04-04,5940274880
2003-04-07,5918208480
2003-04-08,5812289760
2003-04-09,5644585120
2003-04-10,5719610880
2003-04-11,5737264000
2003-04-14,5807876480
2003-04-15,5865249120
2003-04-16,5750503840
2003-04-17,5737264000
2003-04-21,5604865600
2003-04-22,5710784320
2003-04-23,5547492960
2003-04-24,5860835840
2003-04-25,5957928000
2003-04-28,6103566240
2003-04-29,6227138080
2003-04-30,6381602880
2003-05-01,6262444320
2003-05-02,6328643520
2003-05-05,6372776320
2003-05-06,6310990400
2003-05-07,6355123200
2003-05-08,6390429440
2003-05-09,6611093440
2003-05-12,6664052800
2003-05-13,6734665280
2003-05-14,6712598880
2003-05-15,6708185600
2003-05-16,6792037920
2003-05-19,6518414560
2003-05-20,6403669280
2003-05-21,6509588000
2003-05-22,6540480960
2003-05-23,6514001280
2003-05-27,6597853600
2003-05-28,6650812960
2003-05-29,6747905120
2003-05-30,6915609760
2003-06-02,6915609760
2003-06-03,6902369920
2003-06-04,7034768320
2003-06-05,7379004159
2003-06-06,7617321280
2003-06-09,7343697920
2003-06-10,7383417440
2003-06-11,7454029920
2003-06-12,7458443199
2003-06-13,7308391679
2003-06-16,7604081440
2003-06-17,7692347040
2003-06-18,7582015040
2003-06-19,7493749440
2003-06-20,7736479840
2003-06-23,7537882239
2003-06-24,7484922880
2003-06-25,7577601760
2003-06-26,7723240000
2003-06-27,7687933760
2003-06-30,7652627520
2003-07-01,7632211400
2003-07-02,7754117799
2003-07-03,7749764000
2003-07-07,7980515399
2003-07-08,7858609000
2003-07-09,7732348800
2003-07-10,7510305000
2003-07-11,7558196800
2003-07-14,7558196800
2003-07-15,7597381000
2003-07-16,7532074000
2003-07-17,7458059400
2003-07-18,7484182200
2003-07-21,7353568200
2003-07-22,7257784600
2003-07-23,7292615000
2003-07-24,7009618000
2003-07-25,6987849000
2003-07-28,7053156000
2003-07-29,7148939600
2003-07-30,7188123800
2003-07-31,6865942600
2003-08-01,6783220400
2003-08-04,6683083000
2003-08-05,6530700000
2003-08-06,6334779000
2003-08-07,6630837400
2003-08-08,6578591800
2003-08-11,6574238000
2003-08-12,6687436800
2003-08-13,6696144400
2003-08-14,6717913400
2003-08-15,6726621000
2003-08-18,6670021600
2003-08-19,6630837400
2003-08-20,6530700000
2003-08-21,6548115200
2003-08-22,6456685400
2003-08-25,6391378400
2003-08-26,6273825800
2003-08-27,6117089000
2003-08-28,6317363800
2003-08-29,6334779000
2003-09-02,6387024600
2003-09-03,6186749800
2003-09-04,6156273200
2003-09-05,5969059800
2003-09-08,6173688400
2003-09-09,6217226400
2003-09-10,6317363800
2003-09-11,6321717600
2003-09-12,6400086000
2003-09-15,6352194200
2003-09-16,6256410600
2003-09-17,6217226400
2003-09-18,6164980800
2003-09-19,5895045200
2003-09-22,5873276200
2003-09-23,5947290800
2003-09-24,5877630000
2003-09-25,5825384400
2003-09-26,5834092000
2003-09-29,5847153400
2003-09-30,5881983800
2003-10-01,6143995000
2003-10-02,6291450880
2003-10-03,6318261040
2003-10-06,6224425480
2003-10-07,6193146960
2003-10-08,6264640720
2003-10-09,6358476280
2003-10-10,6255704000
2003-10-13,6309324320
2003-10-14,6385286440
2003-10-15,6362944640
2003-10-16,6380818080
2003-10-17,6394223160
2003-10-20,6367413000
2003-10-21,6528273960
2003-10-22,6380818080
2003-10-23,6568489200
2003-10-24,6367413000
2003-10-27,6403159880
2003-10-28,6421033320
2003-10-29,6389754800
2003-10-30,6336134480
2003-10-31,6340602840
2003-11-03,6255704000
2003-11-04,6300387600
2003-11-05,6782970480
2003-11-06,6809780640
2003-11-07,6823185720
2003-11-10,6814249000
2003-11-11,7060008800
2003-11-12,7113629120
2003-11-13,7256616639
2003-11-14,7171717800
2003-11-17,7238743200
2003-11-18,7127034200
2003-11-19,7256616639
2003-11-20,7176186159
2003-11-21,7033198640
2003-11-24,7127034200
2003-11-25,7104692400
2003-11-26,7042135360
2003-11-28,7068945520
2003-12-01,7256616639
2003-12-02,7359388919
2003-12-03,7261085000
2003-12-04,7261085000
2003-12-05,7261085000
2003-12-08,7261085000
2003-12-09,7127034200
2003-12-10,7028730280
2003-12-11,6885742760
2003-12-12,6912552920
2003-12-15,7073413880
2003-12-16,7037667000
2003-12-17,7024261920
2003-12-18,7109160760
2003-12-19,7095755680
2003-12-22,7127034200
2003-12-23,7122565840
2003-12-24,7127034200
2003-12-26,7122565840
2003-12-29,7073413880
2003-12-30,7095755680
2003-12-31,6403159880
2004-01-02,6039738000
2004-01-05,6245536480
2004-01-06,6218693200
2004-01-07,6281327520
2004-01-08,6250010360
2004-01-09,6223167080
2004-01-12,6178428280
2004-01-13,6057633520
2004-01-14,6178428280
2004-01-15,6129215600
2004-01-16,6200797680
2004-01-20,6205271560
2004-01-21,6236588720
2004-01-22,6308170800
2004-01-23,6290275280
2004-01-26,6281327520
2004-01-27,6303696920
2004-01-28,6241062600
2004-01-29,6205271560
2004-01-30,6156058880
2004-02-02,6191849920
2004-02-03,6218693200
2004-02-04,6223167080
2004-02-05,6133689480
2004-02-06,6218693200
2004-02-09,6267905880
2004-02-10,6339487960
2004-02-11,6375279000
2004-02-12,6330540200
2004-02-13,6330540200
2004-02-17,6375279000
2004-02-18,6366331240
2004-02-19,6339487960
2004-02-20,6366331240
2004-02-23,6272379760
2004-02-24,6308170800
2004-02-25,6397648400
2004-02-26,6464756600
2004-02-27,6491599880
2004-03-01,6585551360
2004-03-02,6518443160
2004-03-03,6598973000
2004-03-04,6616868520
2004-03-05,6527390920
2004-03-08,6428965560
2004-03-09,6361857360
2004-03-10,6147111120
2004-03-11,6115793960
2004-03-12,6285801400
2004-03-15,6245536480
2004-03-16,6147111120
2004-03-17,6129215600
2004-03-18,6147111120
2004-03-19,6017368600
2004-03-22,5990525320
2004-03-23,5923417120
2004-03-24,5878678320
2004-03-25,5918943240
2004-03-26,5986051440
2004-03-29,6008420840
2004-03-30,5999473080
2004-03-31,6115793960
2004-04-01,6068015200
2004-04-02,6135188800
2004-04-05,6148623520
2004-04-06,6153101760
2004-04-07,6130710560
2004-04-08,6121754080
2004-04-12,6175492960
2004-04-13,6126232320
2004-04-14,6090406400
2004-04-15,6175492960
2004-04-16,6206840640
2004-04-19,6269536000
2004-04-20,6220275360
2004-04-21,6403883200
2004-04-22,6497926240
2004-04-23,6493448000
2004-04-26,6542708640
2004-04-27,6529273920
2004-04-28,6466578560
2004-04-29,6390448480
2004-04-30,6480013280
2004-05-03,6739751200
2004-05-04,6851707200
2004-05-05,6833794240
2004-05-06,6865141920
2004-05-07,6815881280
2004-05-10,6708403520
2004-05-11,6744229440
2004-05-12,6618838720
2004-05-13,6578534560
2004-05-14,6600925760
2004-05-17,6524795680
2004-05-18,6529273920
2004-05-19,6547186880
2004-05-20,6457622080
2004-05-21,6488969760
2004-05-24,6488969760
2004-05-25,6739751200
2004-05-26,6748707680
2004-05-27,6730794720
2004-05-28,6717360000
2004-06-01,6838272480
2004-06-02,6838272480
2004-06-03,6829316000
2004-06-04,6900967840
2004-06-07,6896489600
2004-06-08,6887533120
2004-06-09,6802446560
2004-06-10,6793490080
2004-06-14,6744229440
2004-06-15,6780055360
2004-06-16,6735272960
2004-06-17,6730794720
2004-06-18,6690490560
2004-06-21,6641229920
2004-06-22,6618838720
2004-06-23,6641229920
2004-06-24,6556143360
2004-06-25,6542708640
2004-06-28,6533752160
2004-06-29,6614360480
2004-06-30,6694968800
2004-07-01,6231557640
2004-07-02,6213663720
2004-07-06,6039198000
2004-07-07,6021304080
2004-07-08,6003410160
2004-07-09,5936307960
2004-07-12,5878152720
2004-07-13,5972095800
2004-07-14,5904993600
2004-07-15,5913940560
2004-07-16,5918414040
2004-07-19,5958675360
2004-07-20,6021304080
2004-07-21,5878152720
2004-07-22,6133141080
2004-07-23,6195769800
2004-07-26,6133141080
2004-07-27,5976569280
2004-07-28,5913940560
2004-07-29,6039198000
2004-07-30,6048144960
2004-08-02,6030251040
2004-08-03,6025777560
2004-08-04,6070512360
2004-08-05,5989989720
2004-08-06,5927361000
2004-08-09,5896046640
2004-08-10,5949728400
2004-08-11,5981042760
2004-08-12,5927361000
2004-08-13,5582903040
2004-08-16,5761842240
2004-08-17,5802103560
2004-08-18,5860258800
2004-08-19,5873679240
2004-08-20,5904993600
2004-08-23,5949728400
2004-08-24,5931834480
2004-08-25,5972095800
2004-08-26,5998936680
2004-08-27,6048144960
2004-08-30,6048144960
2004-08-31,6052618440
2004-09-01,6173402400
