,UPC
2021-08-19,52200000
2021-08-20,50242500
2021-08-23,50895000
2021-08-24,51547500
2021-08-25,54375000
2021-08-26,50895000
2021-08-27,51547500
2021-08-30,51547500
2021-08-31,50460000
2021-09-01,52200000
2021-09-02,50242500
2021-09-03,50895000
2021-09-07,50677500
2021-09-08,51982500
2021-09-09,49807500
2021-09-10,54375000
2021-09-13,52200000
2021-09-14,49807500
2021-09-15,51112500
2021-09-16,49372500
2021-09-17,50460000
2021-09-20,50895000
2021-09-21,49807500
2021-09-22,51547500
2021-09-23,51547500
2021-09-24,50895000
2021-09-27,53505000
2021-09-28,56332500
2021-09-29,51330000
2021-09-30,53722500
2021-10-01,53287500
2021-10-04,55027500
2021-10-05,53070000
2021-10-06,53287500
2021-10-07,51330000
2021-10-08,53287500
2021-10-11,51330000
2021-10-12,50895000
2021-10-13,50895000
2021-10-14,50677500
2021-10-15,50242500
2021-10-18,49590000
2021-10-19,51112500
2021-10-20,51547500
2021-10-21,50895000
2021-10-22,50025000
2021-10-25,50677500
2021-10-26,51112500
2021-10-27,49807500
2021-10-28,50025000
2021-10-29,49372500
2021-11-01,50242500
2021-11-02,51765000
2021-11-03,52200000
2021-11-04,51982500
2021-11-05,51112500
2021-11-08,51112500
2021-11-09,50677500
2021-11-10,50677500
2021-11-11,51112500
2021-11-12,50895000
2021-11-15,50460000
2021-11-16,50677500
2021-11-17,50895000
2021-11-18,50677500
2021-11-19,50677500
2021-11-22,50895000
2021-11-23,50460000
2021-11-24,49590000
2021-11-26,49807500
2021-11-29,49807500
2021-11-30,46980000
2021-12-01,46762500
2021-12-02,40890000
2021-12-03,35887500
2021-12-06,38062500
2021-12-07,38497500
2021-12-08,40890000
2021-12-09,40020000
2021-12-10,38715000
2021-12-13,38497500
2021-12-14,37845000
2021-12-15,37845000
2021-12-16,36975000
2021-12-17,36105000
2021-12-20,36322500
2021-12-21,36540000
2021-12-22,36540000
2021-12-23,35887500
2021-12-27,36105000
2021-12-28,36322500
2021-12-29,34800000
2021-12-30,34800000
2021-12-31,35561250
2022-01-03,38715000
2022-01-04,36540000
2022-01-05,34147500
2022-01-06,34365000
2022-01-07,34800000
2022-01-10,33712500
2022-01-11,35017500
2022-01-12,37192500
2022-01-13,35670000
2022-01-14,35452500
2022-01-18,35887500
2022-01-19,35452500
2022-01-20,36975000
2022-01-21,33930000
2022-01-24,29580000
2022-01-25,31537499
2022-01-26,30014999
2022-01-27,30667500
2022-01-28,29797500
2022-01-31,30450000
2022-02-01,31102500
2022-02-02,32625000
2022-02-03,31755000
2022-02-04,32625000
2022-02-07,32190000
2022-02-08,31537499
2022-02-09,32625000
2022-02-10,33059999
2022-02-11,32625000
2022-02-14,33277500
2022-02-15,32842500
2022-02-16,32552500
2022-02-17,31537499
2022-02-18,28927500
2022-02-22,29362500
2022-02-23,28710000
2022-02-24,27187500
2022-02-25,28927500
2022-02-28,26752500
2022-03-01,28275000
2022-03-02,28710000
2022-03-03,28927500
2022-03-04,28492500
2022-03-07,27985000
2022-03-08,27767500
2022-03-09,27840000
2022-03-10,27042500
2022-03-11,23635000
2022-03-14,22402500
2022-03-15,22185000
2022-03-16,24360000
2022-03-17,24795000
2022-03-18,28275000
2022-03-21,28275000
2022-03-22,29580000
2022-03-23,29580000
2022-03-24,28927500
2022-03-25,28202500
2022-03-28,27840000
2022-03-29,29362500
2022-03-30,29290000
2022-03-31,27513750
2022-04-01,27042500
2022-04-04,26970000
2022-04-05,25665000
2022-04-06,26752500
2022-04-07,26353750
2022-04-08,26100000
2022-04-11,25447500
2022-04-12,26317500
2022-04-13,25085000
2022-04-14,24360000
2022-04-18,25012500
2022-04-19,26607500
2022-04-20,26462500
2022-04-21,26861250
2022-04-22,26535000
2022-04-25,26317500
2022-04-26,25665000
2022-04-27,25810000
2022-04-28,25918750
2022-04-29,25882500
2022-05-02,25230000
2022-05-03,26535000
2022-05-04,26462500
2022-05-05,25157500
2022-05-06,24613750
2022-05-09,22837500
2022-05-10,23780000
2022-05-11,23671250
2022-05-12,23707500
2022-05-13,23707500
2022-05-16,23852500
2022-05-17,22185000
2022-05-18,24360000
2022-05-19,23055000
2022-05-20,24360000
2022-05-23,23707500
2022-05-24,23200000
2022-05-25,22040000
2022-05-26,22402500
2022-05-27,20010000
2022-05-31,23925000
2022-06-01,21750000
2022-06-02,21713750
2022-06-03,21133750
2022-06-06,21677500
2022-06-07,21315000
2022-06-08,21532500
2022-06-09,21750000
2022-06-10,21750000
2022-06-13,21206250
2022-06-14,21677500
2022-06-15,21568750
2022-06-16,20952500
2022-06-17,20118750
2022-06-21,21641250
2022-06-22,21568750
2022-06-23,21315000
2022-06-24,14318750
2022-06-27,13956250
2022-06-28,14173750
2022-06-29,14355000
2022-06-30,13666250
2022-07-01,14282500
2022-07-05,13303750
2022-07-06,13485000
2022-07-07,13267500
2022-07-08,13485000
2022-07-11,13376250
2022-07-12,13267500
2022-07-13,13448750
2022-07-14,12832500
2022-07-15,13195000
2022-07-18,12832500
2022-07-19,12615000
2022-07-20,12977500
2022-07-21,12941250
2022-07-22,12977500
2022-07-25,13593750
2022-07-26,13303750
2022-07-27,13702500
2022-07-28,13847500
2022-07-29,13775000
2022-08-01,13412500
2022-08-02,13920000
2022-08-03,14246250
2022-08-04,14318750
2022-08-05,14355000
2022-08-08,14137500
2022-08-09,14355000
2022-08-10,14246250
2022-08-11,14282500
2022-08-12,13920000
2022-08-15,13883750
2022-08-16,13702500
2022-08-17,13485000
2022-08-18,13158750
2022-08-19,13267500
2022-08-22,13050000
2022-08-23,12325000
2022-08-24,12397500
2022-08-25,12071250
2022-08-26,12288750
2022-08-29,11926250
2022-08-30,10875000
2022-08-31,11092500
2022-09-01,11455000
2022-09-02,11962500
2022-09-06,11745000
2022-09-07,12615000
2022-09-08,12615000
2022-09-09,11962500
2022-09-12,12180000
2022-09-13,11962500
2022-09-14,12832500
2022-09-15,13702500
2022-09-16,13920000
2022-09-19,13702500
2022-09-20,13702500
2022-09-21,13122500
2022-09-22,13267500
2022-09-23,12615000
2022-09-26,12361250
2022-09-27,12506250
2022-09-28,12107500
2022-09-29,12615000
2022-09-30,12288750
2022-10-03,12179973
2022-10-04,12941221
2022-10-05,12723721
2022-10-06,13919969
2022-10-07,15152466
2022-10-10,18487459
2022-10-11,19792456
2022-10-12,18487459
2022-10-13,18052460
2022-10-14,19139957
2022-10-17,18849958
2022-10-18,19901206
2022-10-19,22837449
2022-10-20,22837449
2022-10-21,22003701
2022-10-24,21423702
2022-10-25,21097453
2022-10-26,21641202
2022-10-27,21967451
2022-10-28,22837449
2022-10-31,23598697
2022-11-01,24323696
2022-11-02,24794945
2022-11-03,24069946
2022-11-04,24794945
2022-11-07,25882442
2022-11-08,26317441
2022-11-09,24069946
2022-11-10,25664943
2022-11-11,27622439
2022-11-14,28274937
2022-11-15,26969940
2022-11-16,29036185
2022-11-17,29362435
2022-11-18,31537430
2022-11-21,31319930
2022-11-22,32407428
2022-11-23,32624928
2022-11-25,33059927
2022-11-28,34691173
2022-11-29,38279915
2022-11-30,39367413
2022-12-01,39041163
2022-12-02,37844916
2022-12-05,35669921
2022-12-06,35561171
2022-12-07,35887420
2022-12-08,34582423
2022-12-09,34799923
2022-12-12,36757418
2022-12-13,37627416
2022-12-14,36757418
2022-12-15,35017422
2022-12-16,37192417
2022-12-19,34582423
2022-12-20,34582423
2022-12-21,35017422
2022-12-22,35234922
2022-12-23,35017422
2022-12-27,35017422
2022-12-28,35452421
2022-12-29,35669921
2022-12-30,31537430
2023-01-03,34546173
2023-01-04,35887420
2023-01-05,35416171
2023-01-06,36684919
2023-01-09,32624928
2023-01-10,31102431
2023-01-11,26317441
2023-01-12,19647456
2023-01-13,20227455
2023-01-17,25229944
2023-01-18,20009955
2023-01-19,17399961
2023-01-20,18487459
2023-01-23,18487459
2023-01-24,17762460
2023-01-25,17363711
2023-01-26,18052460
2023-01-27,18269959
2023-01-30,18414959
2023-01-31,18487459
2023-02-01,18414959
2023-02-02,18668708
2023-02-03,18487459
2023-02-06,17798710
2023-02-07,18016210
2023-02-08,17399961
2023-02-09,15659965
2023-02-10,15659965
2023-02-13,14789967
2023-02-14,14318718
2023-02-15,14644967
2023-02-16,14536217
2023-02-17,14318718
2023-02-21,14391218
2023-02-22,14499968
2023-02-23,14028719
2023-02-24,13702469
2023-02-27,13267470
2023-02-28,13049971
2023-03-01,12614972
2023-03-02,12614972
2023-03-03,13267470
2023-03-06,13049971
2023-03-07,12868721
2023-03-08,13883719
2023-03-09,13883719
2023-03-10,12832471
2023-03-13,12542472
2023-03-14,12433722
2023-03-15,12179973
2023-03-16,12179973
2023-03-17,12832471
2023-03-20,12832471
2023-03-21,12868721
2023-03-22,13158720
2023-03-23,13448720
2023-03-24,12614972
2023-03-27,12651222
2023-03-28,12651222
2023-03-29,12832471
2023-03-30,12759971
2023-03-31,12651222
2023-04-03,13267500
2023-04-04,12687500
2023-04-05,12180000
2023-04-06,12180000
2023-04-10,12325000
2023-04-11,11962500
2023-04-12,11273750
2023-04-13,11273750
2023-04-14,11201250
2023-04-17,11310000
2023-04-18,11745000
2023-04-19,11201250
2023-04-20,11092500
2023-04-21,11092500
2023-04-24,10875000
2023-04-25,10657500
2023-04-26,10693750
2023-04-27,10476250
2023-04-28,10476250
2023-05-01,13050000
2023-05-02,13158750
2023-05-03,12107500
2023-05-04,11418750
2023-05-05,14572499
2023-05-08,14790000
2023-05-09,15225000
2023-05-10,14137500
2023-05-11,14355000
2023-05-12,14355000
2023-05-15,15007499
2023-05-16,14572499
2023-05-17,14572499
2023-05-18,15007499
2023-05-19,14572499
2023-05-22,13267500
2023-05-23,14681250
2023-05-24,13920000
2023-05-25,12941250
2023-05-26,13050000
2023-05-30,13376250
2023-05-31,12615000
2023-06-01,12832500
2023-06-02,13485000
2023-06-05,14572499
2023-06-06,14826250
2023-06-07,18052500
2023-06-08,19538750
2023-06-09,19502500
2023-06-12,20372500
2023-06-13,20988750
2023-06-14,17871250
2023-06-15,18052500
2023-06-16,11310000
2023-06-20,10403750
2023-06-21,9787500
2023-06-22,9787500
2023-06-23,10005000
2023-06-26,9352500
2023-06-27,8700000
2023-06-28,8591250
2023-06-29,7612500
2023-06-30,7830000
2023-07-03,8265000
2023-07-05,8265000
2023-07-06,8047500
2023-07-07,7648750
2023-07-10,8120000
2023-07-11,8120000
2023-07-12,7902500
2023-07-13,8047500
2023-07-14,8011250
2023-07-17,8011250
2023-07-18,7975000
2023-07-19,7975000
2023-07-20,7975000
2023-07-21,7975000
2023-07-24,7793750
2023-07-25,7358750
2023-07-26,7576250
2023-07-27,8047500
2023-07-28,7866250
2023-07-31,7540000
2023-08-01,6597500
2023-08-02,6343750
2023-08-03,6452500
2023-08-04,6017500
2023-08-07,6271250
2023-08-08,6380000
2023-08-09,6053750
2023-08-10,6053750
2023-08-11,5691250
2023-08-14,5473750
2023-08-15,5437500
2023-08-16,5328750
2023-08-17,5546250
2023-08-18,5328750
2023-08-21,5256250
2023-08-22,5256250
2023-08-23,5147500
2023-08-24,5075000
2023-08-25,5075000
2023-08-28,5002500
2023-08-29,4966250
2023-08-30,5038750
2023-08-31,5075000
2023-09-01,5328750
2023-09-05,5582500
2023-09-06,5727500
2023-09-07,5691250
2023-09-08,5038750
2023-09-11,5292500
2023-09-12,5473750
2023-09-13,5183750
2023-09-14,5328750
2023-09-15,5328750
2023-09-18,5038750
2023-09-19,4930000
2023-09-20,4857500
2023-09-21,4966250
2023-09-22,4096250
2023-09-25,4060000
2023-09-26,4023750
2023-09-27,3625000
2023-09-28,3298750
2023-09-29,3443750
2023-10-02,4676250
2023-10-03,4277500
2023-10-04,4241250
2023-10-05,4205000
2023-10-06,3770000
2023-10-09,3697500
2023-10-10,3661250
2023-10-11,3770000
2023-10-12,4350000
2023-10-13,3915000
2023-10-16,3588750
2023-10-17,3842500
2023-10-18,3661250
2023-10-19,3117500
2023-10-20,2827500
2023-10-23,2863750
2023-10-24,3552500
2023-10-25,3770000
2023-10-26,3915000
2023-10-27,4132500
2023-10-30,3842500
2023-10-31,4060000
2023-11-01,3987500
2023-11-02,4023750
2023-11-03,3987500
2023-11-06,3951250
2023-11-07,4096250
2023-11-08,4096250
2023-11-09,4458750
2023-11-10,3951250
2023-11-13,3806250
2023-11-14,3516250
2023-11-15,3443750
2023-11-16,3443750
2023-11-17,3443750
2023-11-20,4313750
2023-11-21,3915000
2023-11-22,3661250
2023-11-24,3770000
2023-11-27,3262500
2023-11-28,3483625
2023-11-29,3480000
2023-11-30,3063125
2023-12-01,3262500
2023-12-04,4060000
2023-12-05,3661250
2023-12-06,4168750
2023-12-07,5147500
2023-12-08,5147500
2023-12-11,5220000
2023-12-12,5256250
2023-12-13,5582500
2023-12-14,5292500
2023-12-15,5292500
2023-12-18,3951250
2023-12-19,4821250
2023-12-20,4241250
2023-12-21,4313750
2023-12-22,4748750
2023-12-26,5800000
2023-12-27,6706250
2023-12-28,7250000
2023-12-29,7286250
2024-01-02,6815000
2024-01-03,5618750
2024-01-04,5437500
2024-01-05,6053750
2024-01-08,8265000
2024-01-09,7830000
2024-01-10,9316250
2024-01-11,10222500
2024-01-12,9823750
2024-01-16,9860000
2024-01-17,8772500
2024-01-18,7938750
2024-01-19,7975000
2024-01-22,7757500
2024-01-23,7358750
2024-01-24,6851250
2024-01-25,6380000
2024-01-26,7105000
2024-01-29,8663750
2024-01-30,7395000
2024-01-31,7576250
2024-02-01,7177500
2024-02-02,8736250
2024-02-05,7105000
2024-02-06,6017500
2024-02-07,6017500
2024-02-08,4603750
2024-02-09,4422500
2024-02-12,4821250
2024-02-13,4966250
2024-02-14,5727500
2024-02-15,6235000
2024-02-16,8917500
2024-02-20,6380000
2024-02-21,6053750
2024-02-22,6235000
2024-02-23,5981250
2024-02-26,5800000
2024-02-27,5981250
2024-02-28,5800000
2024-02-29,6815000
2024-03-01,7467500
2024-03-04,6633750
2024-03-05,6670000
2024-03-06,6597500
2024-03-07,6235000
2024-03-08,6126250
2024-03-11,6416250
2024-03-12,6126250
2024-03-13,6271250
2024-03-14,5727500
2024-03-15,5365000
2024-03-18,5618750
2024-03-19,6343750
2024-03-20,6525000
2024-03-21,7503750
2024-03-22,7177500
2024-03-25,6126250
2024-03-26,6561250
2024-03-27,6996250
2024-03-28,7938750
2024-04-01,7938750
2024-04-02,9062500
2024-04-03,9968750
2024-04-04,8192500
2024-04-05,7757500
2024-04-08,6525000
2024-04-09,6525000
2024-04-10,6343750
2024-04-11,6053750
2024-04-12,6235000
2024-04-15,7721250
2024-04-16,6778750
2024-04-17,7358750
2024-04-18,7938750
2024-04-19,7503750
2024-04-22,7068750
2024-04-23,7975000
2024-04-24,7757500
2024-04-25,8373750
2024-04-26,7902500
2024-04-29,8663750
2024-04-30,8736250
2024-05-01,8192500
2024-05-02,7866250
2024-05-03,7793750
2024-05-06,7902500
2024-05-07,8410000
2024-05-08,8518750
2024-05-09,7793750
2024-05-10,7866250
2024-05-13,8482500
2024-05-14,9533750
2024-05-15,9352500
2024-05-16,9098750
2024-05-17,9388750
2024-05-20,8446250
2024-05-21,9243750
2024-05-22,9026250
2024-05-23,9062500
2024-05-24,8700000
2024-05-28,9968750
2024-05-29,10077500
2024-05-30,9678750
2024-05-31,10585000
2024-06-03,9388750
2024-06-04,8047500
2024-06-05,7467500
2024-06-06,8337500
2024-06-07,8990000
2024-06-10,8845000
2024-06-11,8337500
2024-06-12,8482500
2024-06-13,8700000
2024-06-14,8047500
2024-06-17,8301250
2024-06-18,8337500
2024-06-20,8410000
2024-06-21,9533750
2024-06-24,9461250
2024-06-25,9243750
2024-06-26,8663750
2024-06-27,9207500
2024-06-28,9026250
2024-07-01,8881250
2024-07-02,10512500
2024-07-03,11382500
2024-07-05,12071250
2024-07-08,13485000
2024-07-09,13956250
2024-07-10,12542500
2024-07-11,12615000
2024-07-12,11962500
2024-07-15,12796250
2024-07-16,12905000
2024-07-17,14173750
2024-07-18,14318750
2024-07-19,13448750
2024-07-22,14101250
2024-07-23,12868750
2024-07-24,13086250
2024-07-25,12977500
2024-07-26,13557500
2024-07-29,13231250
2024-07-30,13340000
2024-07-31,13376250
2024-08-01,13013750
2024-08-02,13050000
2024-08-05,13666250
2024-08-06,13412500
2024-08-07,13340000
2024-08-08,13738750
2024-08-09,14028750
