,MLM
2002-05-31,1948013320
2002-06-03,1923663153
2002-06-04,1911488070
2002-06-05,1926098170
2002-06-06,1916845106
2002-06-07,1910027060
2002-06-10,1915384096
2002-06-11,1899799990
2002-06-12,1915384096
2002-06-13,1880319857
2002-06-14,1896877970
2002-06-17,1960675406
2002-06-18,1995739646
2002-06-19,1997687659
2002-06-20,1981616549
2002-06-21,1935838236
2002-06-24,1913923086
2002-06-25,1899312987
2002-06-26,1899312987
2002-06-27,1879832853
2002-06-28,1899312987
2002-07-01,1859280000
2002-07-02,1841712000
2002-07-03,1809992000
2002-07-05,1881728000
2002-07-08,1865136000
2002-07-09,1800720000
2002-07-10,1774368000
2002-07-11,1747039999
2002-07-12,1750944000
2002-07-15,1744600000
2002-07-16,1683600000
2002-07-17,1703120000
2002-07-18,1684088000
2002-07-19,1629432000
2002-07-22,1596248000
2002-07-23,1586000000
2002-07-24,1635776000
2002-07-25,1635288000
2002-07-26,1715320000
2002-07-29,1837320000
2002-07-30,1809504000
2002-07-31,1870504000
2002-08-01,1847080000
2002-08-02,1757288000
2002-08-05,1733376000
2002-08-06,1753384000
2002-08-07,1776320000
2002-08-08,1804136000
2002-08-09,1799255999
2002-08-12,1769488000
2002-08-13,1741672000
2002-08-14,1753872000
2002-08-15,1783639999
2002-08-16,1786080000
2002-08-19,1834880000
2002-08-20,1831464000
2002-08-21,1753872000
2002-08-22,1811455999
2002-08-23,1789007999
2002-08-26,1834880000
2002-08-27,1838296000
2002-08-28,1825120000
2002-08-29,1814384000
2002-08-30,1788032000
2002-09-03,1765584000
2002-09-04,1810480000
2002-09-05,1813896000
2002-09-06,1836832000
2002-09-09,1873920000
2002-09-10,1889048000
2002-09-11,1884655999
2002-09-12,1850496000
2002-09-13,1876360000
2002-09-16,1870016000
2002-09-17,1849520000
2002-09-18,1801696000
2002-09-19,1684088000
2002-09-20,1703607999
2002-09-23,1682623999
2002-09-24,1664080000
2002-09-25,1693848000
2002-09-26,1717760000
2002-09-27,1658223999
2002-09-30,1592379739
2002-10-01,1562556232
2002-10-02,1519532155
2002-10-03,1483841728
2002-10-04,1479930448
2002-10-07,1447173481
2002-10-08,1475530259
