,HWM
2001-01-31,54144330345
2001-02-01,56001212660
2001-02-02,55338040404
2001-02-05,54350650602
2001-02-06,54881188406
2001-02-07,54232753312
2001-02-08,54527496537
2001-02-09,54674868149
2001-02-12,53775901314
2001-02-13,52611665577
2001-02-14,52302185192
2001-02-15,53613792541
2001-02-16,51580064292
2001-02-20,51874807516
2001-02-21,50577937328
2001-02-22,52095864935
2001-02-23,51123212294
2001-02-26,53053780414
2001-02-27,53422209445
2001-02-28,52700088545
2001-03-01,53761164153
2001-03-02,54527496537
2001-03-05,56119109949
2001-03-06,55986475498
2001-03-07,57902306458
2001-03-08,57474928782
2001-03-09,54527496537
2001-03-12,53039043253
2001-03-13,54601182343
2001-03-14,52390608159
2001-03-15,52714825706
2001-03-16,51565327130
2001-03-19,52950620286
2001-03-20,53466420929
2001-03-21,51049526487
2001-03-22,49133695528
2001-03-23,49546336042
2001-03-26,50106348169
2001-03-27,52773774351
2001-03-28,51653750098
2001-03-29,51653750098
2001-03-30,52980094608
2001-04-02,52036916290
2001-04-03,50769520424
2001-04-04,52390608159
2001-04-05,55264354598
2001-04-06,53643266863
2001-04-09,55264354598
2001-04-10,57843357813
2001-04-11,57489665943
2001-04-12,57460191621
2001-04-16,57474928782
2001-04-17,56266481562
2001-04-18,58359158456
2001-04-19,58123363876
2001-04-20,59464445548
2001-04-23,59567605676
2001-04-24,58889696260
2001-04-25,59670765805
2001-04-26,62013974440
2001-04-27,61881339989
2001-04-30,61011847476
2001-05-01,61159219089
2001-05-02,61129744766
2001-05-03,60478956291
2001-05-04,61972811655
2001-05-07,60641653410
2001-05-08,59665470696
2001-05-09,61203698002
2001-05-10,61987602302
2001-05-11,59561936166
2001-05-14,61085372825
2001-05-15,62120718127
2001-05-16,65833170567
2001-05-17,66202936747
2001-05-18,66483959043
2001-05-21,67090375577
2001-05-22,64487221675
2001-05-23,64457640380
2001-05-24,62875041133
2001-05-25,63836433199
2001-05-29,64280152614
2001-05-30,62653181425
2001-05-31,63821642552
2001-06-01,64368896497
2001-06-04,64709081382
2001-06-05,66321261924
2001-06-06,65064056914
2001-06-07,64383687144
2001-06-08,63644154786
2001-06-11,62327787187
2001-06-12,59902121051
2001-06-13,59621098755
2001-06-14,58008918213
2001-06-15,57639152033
2001-06-18,56204459258
2001-06-19,55612833371
2001-06-20,56322784435
2001-06-21,58689287983
2001-06-22,57831430447
2001-06-25,56204459258
2001-06-26,56367156377
2001-06-27,56884829028
2001-06-28,59162588692
2001-06-29,58275149862
2001-07-02,59872539757
2001-07-03,59532354872
2001-07-05,60316259172
2001-07-06,58866775749
2001-07-09,59709842638
2001-07-10,58423056334
2001-07-11,57565198798
2001-07-12,60242305936
2001-07-13,61322023179
2001-07-16,58674497336
2001-07-17,58260359215
2001-07-18,60493746938
2001-07-19,59902121051
2001-07-20,59280913870
2001-07-23,58497009569
2001-07-24,55065579425
2001-07-25,57772267858
2001-07-26,58482218922
2001-07-27,57077107441
2001-07-30,57757477211
2001-07-31,58023708860
2001-08-01,57032735499
2001-08-02,56201224646
2001-08-03,56082437381
2001-08-06,54983655182
2001-08-07,54939109958
2001-08-08,53469117556
2001-08-09,53290936659
2001-08-10,54953958366
2001-08-13,55132139263
2001-08-14,54805474285
2001-08-15,53573056413
2001-08-16,53884872983
2001-08-17,54478809307
2001-08-20,56126982605
2001-08-21,55533046281
2001-08-22,56661525297
2001-08-23,56468495992
2001-08-24,58280001779
2001-08-27,58012730434
2001-08-28,57582126599
2001-08-29,56423950767
2001-08-30,55666681954
2001-08-31,56602131665
2001-09-04,57225764805
2001-09-05,56409102359
2001-09-06,54968806774
2001-09-07,52637606703
2001-09-10,50187619367
2001-09-17,44664011555
2001-09-18,44842192452
2001-09-19,45287644695
2001-09-20,42481295564
2001-09-21,42020994913
2001-09-24,44842192452
2001-09-25,44604617922
2001-09-26,43119777113
2001-09-27,44916434492
2001-09-28,46044913508
2001-10-01,45926126243
2001-10-02,47440663869
2001-10-03,47648541582
2001-10-04,45762793754
2001-10-05,46831879137
2001-10-08,44634314738
2001-10-09,46935817993
2001-10-10,47232786155
2001-10-11,48583991292
2001-10-12,47990054968
2001-10-15,47514905909
2001-10-16,48717626965
2001-10-17,47559451133
2001-10-18,47366421828
2001-10-19,47024908442
2001-10-22,48747323781
2001-10-23,50113377326
2001-10-24,50440042304
2001-10-25,51687308584
2001-10-26,51791247441
2001-10-29,50558829569
2001-10-30,49252169657
2001-10-31,48138539049
2001-11-01,48824740722
2001-11-02,49615364387
2001-11-05,49540777249
2001-11-06,50734171462
2001-11-07,51301033713
2001-11-08,51644134549
2001-11-09,52196079372
2001-11-12,51748556542
2001-11-13,54150262395
2001-11-14,56089527991
2001-11-15,55940353714
2001-11-16,55373491463
2001-11-19,57417179052
2001-11-20,56447546254
2001-11-21,56372959116
2001-11-23,57879619309
2001-11-26,57074078216
2001-11-27,57103913071
2001-11-28,56581803103
2001-11-29,56686225097
2001-11-30,57581270756
2001-12-03,56462463682
2001-12-04,56835399374
2001-12-05,59595123490
2001-12-06,58998426384
2001-12-07,57954206448
2001-12-10,57447013907
2001-12-11,57476848763
2001-12-12,56417711399
2001-12-13,54105510112
2001-12-14,55224317186
2001-12-17,54463528376
2001-12-18,56179032557
2001-12-19,52777859051
2001-12-20,52091657378
2001-12-21,51032520015
2001-12-24,51375620851
2001-12-26,52434758215
2001-12-27,52882281044
2001-12-28,53926500980
2001-12-31,53031455321
2002-01-02,53225381880
2002-01-03,53911583553
2002-01-04,55642005161
2002-01-07,56924903939
2002-01-08,55701674872
2002-01-09,54448610948
2002-01-10,53553565289
2002-01-11,53180629597
2002-01-14,52210996800
2002-01-15,51494960272
2002-01-16,50122556928
2002-01-17,50376153198
2002-01-18,50271731204
2002-01-22,50644666896
2002-01-23,52210996800
2002-01-24,52539180208
2002-01-25,53001620466
2002-01-28,53404391012
2002-01-29,51852978536
2002-01-30,51092189725
2002-01-31,53478978151
2002-02-01,52434758215
2002-02-04,50435822909
2002-02-05,49883878085
2002-02-06,50480575192
2002-02-07,50270801356
2002-02-08,51574395907
2002-02-11,53537279655
2002-02-12,53207635056
2002-02-13,54376374999
2002-02-14,54301455771
2002-02-15,54541197298
2002-02-19,52818055076
2002-02-20,54855858052
2002-02-21,56159452603
2002-02-22,56638935656
2002-02-25,56983564100
2002-02-26,56189420293
2002-02-27,56713854883
2002-02-28,56294307211
2002-03-01,56818741801
2002-03-04,59276092448
2002-03-05,57582917917
2002-03-06,59096286303
2002-03-07,58856544777
2002-03-08,57358160235
2002-03-11,57313208699
2002-03-12,58317126342
2002-03-13,57463047153
2002-03-14,57672820989
2002-03-15,58481948641
2002-03-18,58422013260
2002-03-19,58122336351
2002-03-20,57313208699
2002-03-21,56549032583
2002-03-22,55530131095
2002-03-25,55065631887
2002-03-26,56698871037
2002-03-27,56623951810
2002-03-28,56549032583
2002-04-01,56399194129
2002-04-02,56803757955
2002-04-03,55814824158
2002-04-04,55260421878
2002-04-05,56938612564
2002-04-08,56728838728
2002-04-09,56009614148
2002-04-10,57463047153
2002-04-11,56938612564
2002-04-12,55934694921
2002-04-15,55005696506
2002-04-16,56309291057
2002-04-17,56429161820
2002-04-18,56099517221
2002-04-19,56159452603
2002-04-22,53507311965
2002-04-23,53462360428
2002-04-24,52428475095
2002-04-25,52323588177
2002-04-26,51904040506
2002-04-29,50795235945
2002-04-30,50990025935
2002-05-01,51169832080
2002-05-02,51816979957
2002-05-03,52178178771
2002-05-06,51320331587
2002-05-07,51816979957
2002-05-08,52674827142
2002-05-09,52524327635
2002-05-10,52659777191
2002-05-13,53201575413
2002-05-14,54556070968
2002-05-15,54285171857
2002-05-16,53954072944
2002-05-17,53668123882
2002-05-20,53246725265
2002-05-21,53577824178
2002-05-22,53352074919
2002-05-23,54029322697
2002-05-24,53547724277
2002-05-28,53276825166
2002-05-29,53126325660
2002-05-30,52900576401
2002-05-31,52644727240
2002-06-03,51154782130
2002-06-04,50296934945
2002-06-05,50266835044
2002-06-06,48310341464
2002-06-07,47858842946
2002-06-10,48084592205
2002-06-11,47226745020
2002-06-12,48235091711
2002-06-13,48039442353
2002-06-14,47211695069
2002-06-17,47527744032
2002-06-18,48159841958
2002-06-19,47121395366
2002-06-20,46955845909
2002-06-21,45977599119
2002-06-24,46353847885
2002-06-25,46865546205
2002-06-26,47181595168
2002-06-27,48129742057
2002-06-28,49890586278
2002-07-01,49664837019
2002-07-02,48551140674
2002-07-03,48837089736
2002-07-05,50236735142
2002-07-08,48912339489
2002-07-09,48099642156
2002-07-10,45751849860
2002-07-11,45691650058
2002-07-12,45330451243
2002-07-15,43945855787
2002-07-16,43283657960
2002-07-17,43434157466
2002-07-18,42245211367
2002-07-19,40394067442
2002-07-22,37188427962
2002-07-23,35608183148
2002-07-24,37323877517
2002-07-25,36210181172
2002-07-26,38302124307
2002-07-29,40920815714
2002-07-30,39099771690
2002-07-31,40935865664
2002-08-01,39785726740
2002-08-02,38590187595
2002-08-05,36471510629
2002-08-06,37788117029
2002-08-07,38181585608
2002-08-08,38680988036
2002-08-09,39649526078
2002-08-12,39498192009
2002-08-13,38332919677
2002-08-14,37455182077
2002-08-15,38484253746
2002-08-16,37485448891
2002-08-19,39513325416
2002-08-20,39029056395
2002-08-21,40890465444
2002-08-22,41692536009
2002-08-23,40663464340
2002-08-26,40966132478
2002-08-27,40406196423
2002-08-28,37939451098
2002-08-29,37349248229
2002-08-30,37969717912
2002-09-03,35593773029
2002-09-04,35018703566
2002-09-05,33520496283
2002-09-06,34186366187
2002-09-09,35260838077
2002-09-10,35956974794
2002-09-11,36123442270
2002-09-12,34458767511
2002-09-13,33278361773
2002-09-16,33732363980
2002-09-17,32567091649
2002-09-18,31674220641
2002-09-19,30448414682
2002-09-20,31961755372
2002-09-23,30735949414
2002-09-24,29616077303
2002-09-25,30236546986
2002-09-26,30266813800
2002-09-27,29207475317
2002-09-30,29207475317
2002-10-01,31401819317
2002-10-02,30796483041
2002-10-03,30418147869
2002-10-04,28919940586
2002-10-07,28193537054
2002-10-08,28011936172
2002-10-09,27285532640
2002-10-10,28223803868
2002-10-11,30781349634
2002-10-14,30569481938
2002-10-15,32763825938
2002-10-16,32037422407
2002-10-17,34050165525
2002-10-18,34534434546
2002-10-21,35911574573
2002-10-22,35321371704
2002-10-23,34927903125
2002-10-24,34337700256
2002-10-25,35215437856
2002-10-28,34443634104
2002-10-29,33853431235
2002-10-30,34504167732
2002-10-31,33384295621
2002-11-01,34882502904
2002-11-04,35593773029
2002-11-05,35351638518
2002-11-06,36320176560
2002-11-07,35741490308
2002-11-08,35406461426
2002-11-11,34112031654
2002-11-12,34919146688
2002-11-13,34035888726
2002-11-14,35452147183
2002-11-15,34919146688
2002-11-18,34660260734
2002-11-19,34325231851
2002-11-20,34629803563
2002-11-21,37629834918
2002-11-22,37310034621
2002-11-25,37386177549
2002-11-26,37310034621
2002-11-27,38787207420
2002-11-29,38909036105
2002-12-02,38954721862
2002-12-03,37721206431
2002-12-04,37035920081
2002-12-05,36442005244
2002-12-06,36426776659
2002-12-09,35056203958
2002-12-10,35040975373
2002-12-11,34553660635
2002-12-12,35406461426
2002-12-13,35071432544
2002-12-16,36777034127
2002-12-17,36396319488
2002-12-18,35299861327
2002-12-19,35025746787
2002-12-20,36320176560
2002-12-23,35665347381
2002-12-24,35086661129
2002-12-26,35117118300
2002-12-27,34325231851
2002-12-30,34629803563
2002-12-31,34690717905
2003-01-02,35863318993
2003-01-03,36244033632
2003-01-06,37127291594
2003-01-07,37127291594
2003-01-08,33274459448
2003-01-09,34264317509
2003-01-10,34721175076
2003-01-13,34827775175
2003-01-14,35269404156
2003-01-15,33807459942
2003-01-16,33685631258
2003-01-17,33731317015
2003-01-21,32193229873
2003-01-22,31675457964
2003-01-23,33046030664
2003-01-24,31538400694
2003-01-27,30685599903
2003-01-28,30853114344
2003-01-29,30974943028
2003-01-30,30259199507
2003-01-31,30106913651
2003-02-03,30381028191
2003-02-04,29421627301
2003-02-05,30441942534
2003-02-06,29858881134
2003-02-07,30058349508
2003-02-10,30380567649
2003-02-11,30395911371
2003-02-12,30334536486
2003-02-13,30365223928
2003-02-14,30764160675
2003-02-18,32145095569
2003-02-19,31500659285
2003-02-20,31071035096
2003-02-21,31868908590
2003-02-24,30610723465
2003-02-25,31209128585
2003-02-26,31117066259
2003-02-27,31408596959
2003-02-28,31454628122
2003-03-03,31362565796
2003-03-04,30672098349
2003-03-05,30702785791
2003-03-06,29490631829
2003-03-07,29352538340
2003-03-10,28846195546
2003-03-11,28493289962
2003-03-12,28953601593
2003-03-13,30503317418
2003-03-14,30595379744
2003-03-17,31930283474
2003-03-18,32436626268
2003-03-19,32605407200
2003-03-20,32528688594
2003-03-21,33572061625
2003-03-24,31960970916
2003-03-25,32728156968
2003-03-26,31884252311
2003-03-27,31040347654
2003-03-28,31301190912
2003-03-31,29736131366
2003-04-01,29782162529
2003-04-02,30840879280
2003-04-03,30549348581
2003-04-04,30748816954
2003-04-07,33188468599
2003-04-08,33096406273
2003-04-09,32835563015
2003-04-10,32605407200
2003-04-11,32651438363
2003-04-14,33832904882
2003-04-15,34661465818
2003-04-16,34323903956
2003-04-17,34845590471
2003-04-21,34906965355
2003-04-22,34799559308
2003-04-23,34845590471
2003-04-24,33771529998
2003-04-25,33633436509
2003-04-28,34477341166
2003-04-29,34845590471
2003-04-30,35413308149
2003-05-01,35197090829
2003-05-02,35644969563
2003-05-05,35799410506
2003-05-06,35876630977
2003-05-07,35614081375
2003-05-08,35119870358
2003-05-09,35660413657
2003-05-12,35938407354
2003-05-13,35475084526
2003-05-14,35073538075
2003-05-15,35135314452
2003-05-16,35104426264
2003-05-19,33930675100
2003-05-20,34208668796
2003-05-21,35397864055
2003-05-22,36633391596
2003-05-23,36818720727
2003-05-27,37699034100
2003-05-28,37606369535
2003-05-29,37112158518
2003-05-30,38007915986
2003-06-02,39073558490
2003-06-03,38718344322
2003-06-04,40123756900
2003-06-05,39907539580
2003-06-06,40046536429
2003-06-09,39382440375
2003-06-10,40077424617
2003-06-11,40278197843
2003-06-12,40370862408
2003-06-13,39505993129
2003-06-16,40587079728
2003-06-17,41081290744
2003-06-18,41081290744
2003-06-19,40695188388
2003-06-20,40525303351
2003-06-23,38718344322
2003-06-24,38548459285
2003-06-25,37853475043
2003-06-26,38980893924
2003-06-27,38749232510
2003-06-30,39382440375
2003-07-01,39382440375
2003-07-02,39428772658
2003-07-03,39073558490
2003-07-07,39706766355
2003-07-08,39861207297
2003-07-09,39336108092
2003-07-10,38533015191
2003-07-11,39027226207
2003-07-14,38780120699
2003-07-15,38224133305
2003-07-16,37992471891
2003-07-17,37544593158
2003-07-18,38146912834
2003-07-21,37359264026
2003-07-22,38409462436
2003-07-23,39614101789
2003-07-24,39907539580
2003-07-25,41251175781
2003-07-28,41590945855
2003-07-29,41606389949
2003-07-30,41621834044
2003-07-31,42888249773
2003-08-01,41868939552
2003-08-04,42270486003
2003-08-05,41421060818
2003-08-06,41081290744
2003-08-07,41158949139
2003-08-08,41671494543
2003-08-11,42230634984
2003-08-12,42090849874
2003-08-13,41966596443
2003-08-14,43178067399
2003-08-15,43022750609
2003-08-18,43768271198
2003-08-19,43566359372
2003-08-20,43892524629
2003-08-21,44405070033
2003-08-22,43690612803
2003-08-25,43162535720
2003-08-26,43100409004
2003-08-27,42898497178
2003-08-28,44032309739
2003-08-29,44358474997
2003-09-02,44451665070
2003-09-03,43939119666
2003-09-04,43628486087
2003-09-05,43473169298
2003-09-08,43799334555
2003-09-09,44374006676
2003-09-10,43364447546
2003-09-11,43845929592
2003-09-12,45321439090
2003-09-15,44327411639
2003-09-16,43706144482
2003-09-17,43504232656
2003-09-18,43954651345
2003-09-19,44187626528
2003-09-22,42960623894
2003-09-23,42945092215
2003-09-24,42945092215
2003-09-25,42184039948
2003-09-26,41438519359
2003-09-29,42494673526
2003-09-30,40630872056
2003-10-01,41454051038
2003-10-02,42137444911
2003-10-03,43721676161
2003-10-06,43908056308
2003-10-07,43783802876
2003-10-08,44529323465
2003-10-09,46098023036
2003-10-10,46175681430
2003-10-13,46765885229
2003-10-14,47728849322
2003-10-15,47775444359
2003-10-16,47868634433
2003-10-17,46781416908
2003-10-20,46905670339
2003-10-21,46796948587
2003-10-22,46051427999
2003-10-23,45896111210
2003-10-24,45290375732
2003-10-27,46579505082
2003-10-28,47309493991
2003-10-29,48598623342
2003-10-30,49934347729
2003-10-31,49033510352
2003-11-03,49996474445
2003-11-04,49747967582
2003-11-05,49872221013
2003-11-06,50231126233
2003-11-07,51448283067
2003-11-10,50043871336
2003-11-11,49029573975
2003-11-12,51042564122
2003-11-13,51697956263
2003-11-14,50512008580
2003-11-17,50855309225
2003-11-18,50324753682
2003-11-19,50043871336
2003-11-20,48951551101
2003-11-21,48935946526
2003-11-24,49435292919
2003-11-25,50465194855
2003-11-26,50886518374
2003-11-28,51198609870
2003-12-01,52946322246
2003-12-02,53289622891
2003-12-03,53788969284
2003-12-04,55318217613
2003-12-05,54584802598
2003-12-08,55427449637
2003-12-09,54553593449
2003-12-10,52634230750
2003-12-11,54069851631
2003-12-12,54350733977
2003-12-15,54522384299
2003-12-16,54584802598
2003-12-17,55567890810
2003-12-18,56769443068
2003-12-19,58205063949
2003-12-22,58860456090
2003-12-23,58329900547
2003-12-24,57768135855
2003-12-26,58501550870
2003-12-29,60717400489
2003-12-30,59469034506
2003-12-31,59297384184
2004-01-02,58595178318
2004-01-05,60514541017
2004-01-06,60062008348
2004-01-07,59609475679
2004-01-08,60327286120
2004-01-09,58127041075
2004-01-12,56129655502
2004-01-13,54850080370
2004-01-14,56114050927
2004-01-15,55349426763
2004-01-16,54678430047
2004-01-20,56519769872
2004-01-21,56644606470
2004-01-22,56847465942
2004-01-23,55240194740
2004-01-26,55162171866
2004-01-27,55021730692
2004-01-28,52712253624
2004-01-29,51963234035
2004-01-30,53336436616
2004-02-02,52244116381
2004-02-03,53211600017
2004-02-04,53289622891
2004-02-05,53289622891
2004-02-06,54966678671
2004-02-09,54762924230
2004-02-10,55703329340
2004-02-11,58602911762
2004-02-12,57834914256
2004-02-13,58007321859
2004-02-17,59167154828
2004-02-18,59229848502
2004-02-19,59151481409
2004-02-20,57725200326
2004-02-23,58273769974
2004-02-24,58399157322
2004-02-25,57693853489
2004-02-26,58258096555
2004-02-27,58728299110
2004-03-01,60185927030
2004-03-02,59104461154
2004-03-03,58022995278
2004-03-04,58148382626
2004-03-05,58258096555
2004-03-08,57082590168
2004-03-09,55875736943
2004-03-10,53603091261
2004-03-11,53712805191
2004-03-12,55045045763
2004-03-15,53462030495
2004-03-16,53869539376
2004-03-17,54653210301
2004-03-18,54559169790
2004-03-19,54637536882
2004-03-22,53493377332
2004-03-23,53023174777
2004-03-24,51910362063
2004-03-25,54073293816
2004-03-26,54292721675
2004-03-29,54277048257
2004-03-30,54935331834
2004-03-31,53020235238
2004-04-01,52928531170
2004-04-02,54869600607
2004-04-05,54854316596
2004-04-06,55786641286
2004-04-07,52959099193
2004-04-08,51751662299
2004-04-12,52363022752
2004-04-13,51094449813
2004-04-14,50467805349
2004-04-15,50437237327
2004-04-16,51950354447
2004-04-19,51476550096
2004-04-20,50559509417
2004-04-21,48511451901
2004-04-22,50605361451
2004-04-23,49994000999
2004-04-26,49428492580
2004-04-27,49367356535
2004-04-28,47395719076
2004-04-29,47059470827
2004-04-30,46998334782
2004-05-03,46662086533
2004-05-04,47838955404
2004-05-05,47563843200
2004-05-06,46845494669
2004-05-07,44756646382
2004-05-10,45248140096
2004-05-11,45862507239
2004-05-12,46323282597
2004-05-13,45970021489
2004-05-14,45739633811
2004-05-17,44080842524
2004-05-18,45678197096
2004-05-19,45401731882
2004-05-20,45002393239
2004-05-21,45278858453
2004-05-24,46384719311
2004-05-25,48181743205
2004-05-26,47613453598
2004-05-27,47797763740
2004-05-28,48074228955
2004-06-01,48012792241
2004-06-02,47982073883
2004-06-03,46707262061
2004-06-04,47029804811
2004-06-07,48104947312
2004-06-08,48535004312
2004-06-09,47413784276
2004-06-10,47767045383
2004-06-14,47029804811
2004-06-15,47828482098
2004-06-16,47935996348
2004-06-17,48074228955
2004-06-18,49963407920
2004-06-21,49118653098
2004-06-22,49180089813
2004-06-23,50163077242
2004-06-24,50454901635
2004-06-25,51437889064
2004-06-28,50485619992
2004-06-29,50593134242
2004-06-30,48981898199
2004-07-01,47899343379
2004-07-02,47721389162
2004-07-06,47424798801
2004-07-07,48596330729
2004-07-08,48270081331
2004-07-09,48077297596
2004-07-12,47706559644
2004-07-13,47736218680
2004-07-14,47973490970
2004-07-15,48759455428
2004-07-16,48863262054
2004-07-19,48032809042
2004-07-20,47676900608
2004-07-21,46193948801
2004-07-22,45852869885
2004-07-23,45437643379
2004-07-26,44888951210
2004-07-27,46223607837
2004-07-28,46742640969
2004-07-29,47840025307
2004-07-30,47498946391
2004-08-02,47513775909
2004-08-03,46624004825
2004-08-04,46282925909
2004-08-05,45433561203
2004-08-06,44628899903
2004-08-09,44539493092
2004-08-10,45195143040
2004-08-11,44926922607
2004-08-12,44017953360
2004-08-13,44152063577
2004-08-16,45910397529
2004-08-17,46566047478
2004-08-18,47132290615
2004-08-19,47057784939
2004-08-20,48071062132
2004-08-23,47385609913
