,SYF
2014-12-22,24888930000
2014-12-23,25014000000
2014-12-24,25105718000
2014-12-26,25430900000
2014-12-29,25397548000
2014-12-30,25014000000
2014-12-31,24805550000
2015-01-02,24580424000
2015-01-05,24388650000
2015-01-06,24055130000
2015-01-07,24346960000
2015-01-08,24997324000
2015-01-09,24763860000
2015-01-12,24622114000
2015-01-13,24772198000
2015-01-14,24305270000
2015-01-15,23779976000
2015-01-16,24171862000
2015-01-20,24263580000
2015-01-21,24330284000
2015-01-22,24221890000
2015-01-23,25822786000
2015-01-26,26122954000
2015-01-27,26114616000
2015-01-28,26056250000
2015-01-29,26039574000
2015-01-30,25731068000
2015-02-02,25981208000
2015-02-03,25956194000
2015-02-04,26056250000
2015-02-05,26681600000
2015-02-06,26798332000
2015-02-09,27015120000
2015-02-10,27607118000
2015-02-11,27973989999
2015-02-12,28024018000
2015-02-13,27348639999
2015-02-17,26614896000
2015-02-18,26606558000
2015-02-19,26581544000
2015-02-20,27173542000
2015-02-23,27198555999
2015-02-24,26981768000
2015-02-25,26923402000
2015-02-26,27056810000
2015-02-27,26639910000
2015-03-02,26648248000
2015-03-03,26798332000
2015-03-04,26589882000
2015-03-05,26648248000
2015-03-06,26014560000
2015-03-09,26664924000
2015-03-10,25931180000
2015-03-11,26306390000
2015-03-12,26589882000
2015-03-13,26531516000
2015-03-16,26639910000
2015-03-17,26873373999
2015-03-18,26614896000
2015-03-19,26990105999
2015-03-20,26890050000
2015-03-23,26498164000
2015-03-24,26389770000
2015-03-25,25781096000
2015-03-26,25522618000
2015-03-27,25064028000
2015-03-30,25255802000
2015-03-31,25305830000
2015-04-01,25355858000
2015-04-02,25522618000
2015-04-06,24880592000
2015-04-07,24813888000
2015-04-08,24988986000
2015-04-09,25130732000
2015-04-10,25505942000
2015-04-13,25547632000
2015-04-14,25447576000
2015-04-15,25580984000
2015-04-16,25656026000
2015-04-17,25447576000
2015-04-20,25764420000
2015-04-21,26014560000
2015-04-22,25881152000
2015-04-23,25814448000
2015-04-24,25697716000
2015-04-27,25530956000
2015-04-28,25564308000
2015-04-29,25631012000
2015-04-30,25972870000
2015-05-01,26281376000
2015-05-04,26439798000
2015-05-05,26631572000
2015-05-06,26756642000
2015-05-07,27223570000
2015-05-08,27682160000
2015-05-11,27423682000
2015-05-12,27615455999
2015-05-13,27432020000
2015-05-14,27323626000
2015-05-15,26523178000
2015-05-18,26548192000
2015-05-19,26731628000
2015-05-20,27223570000
2015-05-21,27073486000
2015-05-22,27098500000
2015-05-26,26781655999
2015-05-27,27065148000
2015-05-28,27123514000
2015-05-29,26923402000
2015-06-01,27023457999
2015-06-02,27223570000
2015-06-03,27665484000
2015-06-04,27306950000
2015-06-05,27348639999
2015-06-08,27223570000
2015-06-09,27398668000
2015-06-10,27765539999
2015-06-11,27698836000
2015-06-12,27615455999
2015-06-15,27490386000
2015-06-16,27098500000
2015-06-17,27306950000
2015-06-18,27365316000
2015-06-19,27448696000
2015-06-22,27440357999
2015-06-23,27507062000
2015-06-24,27315288000
2015-06-25,27356978000
2015-06-26,27265260000
2015-06-29,26873373999
2015-06-30,27457034000
2015-07-01,27782216000
2015-07-02,27632132000
2015-07-06,27098500000
2015-07-07,27098500000
2015-07-08,26689938000
2015-07-09,27181880000
2015-07-10,27573766000
2015-07-13,27807230000
2015-07-14,28157426000
2015-07-15,28465932000
2015-07-16,28457594000
2015-07-17,29249704000
2015-07-20,30008462000
2015-07-21,29691618000
2015-07-22,29749984000
2015-07-23,29708294000
2015-07-24,28916184000
2015-07-27,28866155999
2015-07-28,28540973999
2015-07-29,28749423999
2015-07-30,28849480000
2015-07-31,28649368000
2015-08-03,28649368000
2015-08-04,28691057999
2015-08-05,28816128000
2015-08-06,28457594000
2015-08-07,28332523999
2015-08-10,28866155999
2015-08-11,28907846000
2015-08-12,29149648000
2015-08-13,29316407999
2015-08-14,29299732000
2015-08-17,29449816000
2015-08-18,29299732000
2015-08-19,29149648000
2015-08-20,28649368000
2015-08-21,28115736000
2015-08-24,27640470000
2015-08-25,27507062000
2015-08-26,27240246000
2015-08-27,26956754000
2015-08-28,27223570000
2015-08-31,27473710000
2015-09-01,26439798000
2015-09-02,26506502000
2015-09-03,26840022000
2015-09-04,26348080000
2015-09-08,26915064000
2015-09-09,26789994000
2015-09-10,26756642000
2015-09-11,26122954000
2015-09-14,25989546000
2015-09-15,25947856000
2015-09-16,25747744000
2015-09-17,25656026000
2015-09-18,25480928000
2015-09-21,25739406000
2015-09-22,25497604000
2015-09-23,25897828000
2015-09-24,25706054000
2015-09-25,25872814000
2015-09-28,25981208000
2015-09-29,25881152000
2015-09-30,26097940000
2015-10-01,26164644000
2015-10-02,26531516000
2015-10-05,27773878000
2015-10-06,27348639999
2015-10-07,26789994000
2015-10-08,26981768000
2015-10-09,27006782000
2015-10-12,26965092000
2015-10-13,26531516000
2015-10-14,26289714000
2015-10-15,26114616000
2015-10-16,25139070000
2015-10-19,26131292000
2015-10-20,26965092000
2015-10-21,27065148000
2015-10-22,26539854000
2015-10-23,26423122000
2015-10-26,26181320000
2015-10-27,26456474000
2015-10-28,26223010000
2015-10-29,25781096000
2015-10-30,25647688000
2015-11-02,26122954000
2015-11-03,27048472000
2015-11-04,26748304000
2015-11-05,27190218000
2015-11-06,28332523999
2015-11-09,27115176000
2015-11-10,25914504000
2015-11-11,25789434000
2015-11-12,25672702000
2015-11-13,25447576000
2015-11-16,25255802000
2015-11-17,25497604000
2015-11-18,26339742000
2015-11-19,26389770000
2015-11-20,26139630000
2015-11-23,26306390000
2015-11-24,26131292000
2015-11-25,26289714000
2015-11-27,26139630000
2015-11-30,26539854000
2015-12-01,27023457999
2015-12-02,26548192000
2015-12-03,25922842000
2015-12-04,26706614000
2015-12-07,26139630000
2015-12-08,26147968000
2015-12-09,25522618000
2015-12-10,25889490000
2015-12-11,24988986000
2015-12-14,24747184000
2015-12-15,25080704000
2015-12-16,25455914000
2015-12-17,25022338000
2015-12-18,24605438000
2015-12-21,24788874000
2015-12-22,25189098000
2015-12-23,25439238000
2015-12-24,25514280000
2015-12-28,25155746000
2015-12-29,25589322000
2015-12-30,25372534000
2015-12-31,25355858000
2016-01-04,24963972000
2016-01-05,25105718000
2016-01-06,24930620000
2016-01-07,24280256000
2016-01-08,24046792000
2016-01-11,23930060000
2016-01-12,24096820000
2016-01-13,22987866000
2016-01-14,23496484000
2016-01-15,23046232000
2016-01-19,23371414000
2016-01-20,23029556000
2016-01-21,23121274000
2016-01-22,24230228000
2016-01-25,23746624000
2016-01-26,23896708000
2016-01-27,23713272000
2016-01-28,23338062000
2016-01-29,23696596000
2016-02-01,23738286000
2016-02-02,22520938000
2016-02-03,21962292000
2016-02-04,21937278000
2016-02-05,21036774000
2016-02-08,20411424000
2016-02-09,20911704000
2016-02-10,20853338000
2016-02-11,20428100000
2016-02-12,21153506000
2016-02-16,21795532000
2016-02-17,21903926000
2016-02-18,22195756000
2016-02-19,22320826000
2016-02-22,23104598000
2016-02-23,22937838000
2016-02-24,23121274000
2016-02-25,23162964000
2016-02-26,23288034000
2016-02-29,22470910000
2016-03-01,22954514000
2016-03-02,23554850000
2016-03-03,23813328000
2016-03-04,23846680000
2016-03-07,23779976000
2016-03-08,23096260000
2016-03-09,23079584000
2016-03-10,23187978000
2016-03-11,24030116000
2016-03-14,23721610000
2016-03-15,23079584000
2016-03-16,23029556000
2016-03-17,23429780000
2016-03-18,23729948000
2016-03-21,24005102000
2016-03-22,23855018000
2016-03-23,23696596000
2016-03-24,23721610000
2016-03-28,23663244000
2016-03-29,23679920000
2016-03-30,23663244000
2016-03-31,23899574000
2016-04-01,24458287000
2016-04-04,24158083000
2016-04-05,23857879000
2016-04-06,23891235000
2016-04-07,23324183000
2016-04-08,23365878000
2016-04-11,23240793000
2016-04-12,23482624000
2016-04-13,24116388000
2016-04-14,24249812000
2016-04-15,24133066000
2016-04-18,24291507000
2016-04-19,24866898000
2016-04-20,25575713000
2016-04-21,25367238000
2016-04-22,25433950000
2016-04-25,25383916000
2016-04-26,25984324000
2016-04-27,25750832000
2016-04-28,25825883000
2016-04-29,25492323000
2016-05-02,26126087000
2016-05-03,25917612000
2016-05-04,25217136000
2016-05-05,24875237000
2016-05-06,25083712000
2016-05-09,24983644000
2016-05-10,25483984000
2016-05-11,24958627000
2016-05-12,24533338000
2016-05-13,24216456000
2016-05-16,24133066000
2016-05-17,24408253000
2016-05-18,25108729000
2016-05-19,24966966000
2016-05-20,24916932000
2016-05-23,24875237000
2016-05-24,25267170000
2016-05-25,25567374000
2016-05-26,25759171000
2016-05-27,25984324000
2016-05-31,26017680000
2016-06-01,26092731000
2016-06-02,26084392000
2016-06-03,25617408000
2016-06-06,25875917000
2016-06-07,26359579000
2016-06-08,26643105000
2016-06-09,26192799000
2016-06-10,25684120000
2016-06-13,25383916000
2016-06-14,22056655000
2016-06-15,22098350000
2016-06-16,21681400000
2016-06-17,21489603000
2016-06-20,21306145000
2016-06-21,21556315000
2016-06-22,21264450000
2016-06-23,21681400000
2016-06-24,20547296000
2016-06-27,19479904000
2016-06-28,19955227000
2016-06-29,20705737000
2016-06-30,20941952000
2016-07-01,20999940000
2016-07-05,20809408000
2016-07-06,20966804000
2016-07-07,21554968000
2016-07-08,22623604000
2016-07-11,22921828000
2016-07-12,23128928000
2016-07-13,23294608000
2016-07-14,23443720000
2016-07-15,23294608000
2016-07-18,23435436000
2016-07-19,23402300000
2016-07-20,23311176000
2016-07-21,23410584000
2016-07-22,23526560000
2016-07-25,23269756000
2016-07-26,23286324000
2016-07-27,23311176000
2016-07-28,23120644000
2016-07-29,23095792000
2016-08-01,23120644000
2016-08-02,22656740000
2016-08-03,23087508000
2016-08-04,23128928000
2016-08-05,23377448000
2016-08-08,23228336000
2016-08-09,23095792000
2016-08-10,22905260000
2016-08-11,22872124000
2016-08-12,22930112000
2016-08-15,22979816000
2016-08-16,22615320000
2016-08-17,22681592000
2016-08-18,22607036000
2016-08-19,22681592000
2016-08-22,22590468000
2016-08-23,22598752000
2016-08-24,22466208000
2016-08-25,22375084000
2016-08-26,22250824000
2016-08-29,22507628000
2016-08-30,22615320000
2016-08-31,23054372000
2016-09-01,22996384000
2016-09-02,23029520000
2016-09-06,22872124000
2016-09-07,23037804000
2016-09-08,22648456000
2016-09-09,22308812000
2016-09-12,22706444000
2016-09-13,22134848000
2016-09-14,22225972000
2016-09-15,22408220000
2016-09-16,22292244000
2016-09-19,22399936000
2016-09-20,22201120000
2016-09-21,22416504000
2016-09-22,22764432000
2016-09-23,22689876000
2016-09-26,22615320000
2016-09-27,23037804000
2016-09-28,23046088000
2016-09-29,22673308000
2016-09-30,22974000000
2016-10-03,22629390000
2016-10-04,22424265000
2016-10-05,22924770000
2016-10-06,22145295000
2016-10-07,21882735000
2016-10-10,21931965000
2016-10-11,21776070000
2016-10-12,21751455000
2016-10-13,21636585000
2016-10-14,21907350000
2016-10-17,21677610000
2016-10-18,21858120000
2016-10-19,22153500000
2016-10-20,22260165000
2016-10-21,23162715000
2016-10-24,23622195000
2016-10-25,23449890000
2016-10-26,23548350000
2016-10-27,23745270000
2016-10-28,23876550000
2016-10-31,23458095000
2016-11-01,23433480000
2016-11-02,23318610000
2016-11-03,23080665000
2016-11-04,23154510000
2016-11-07,23884755000
2016-11-08,23548350000
2016-11-09,24795510000
2016-11-10,25936005000
2016-11-11,26649839999
2016-11-14,27667260000
2016-11-15,27355470000
2016-11-16,26756505000
2016-11-17,27429315000
2016-11-18,27585209999
2016-11-21,27585209999
2016-11-22,27872385000
2016-11-23,28684680000
2016-11-25,28471350000
2016-11-28,27814950000
2016-11-29,27732899999
2016-11-30,28356480000
2016-12-01,28774935000
2016-12-02,28299045000
2016-12-05,28807755000
2016-12-06,29259029999
2016-12-07,29685690000
2016-12-08,30071325000
2016-12-09,29972865000
2016-12-12,29488770000
2016-12-13,29759535000
2016-12-14,29488770000
2016-12-15,30301065000
2016-12-16,30054915000
2016-12-19,30276450000
2016-12-20,30571830000
2016-12-21,30440550000
2016-12-22,30260040000
2016-12-23,30333885000
2016-12-27,30358500000
2016-12-28,29734920000
2016-12-29,29611845000
2016-12-30,29759535000
2017-01-03,30133486000
2017-01-04,30840883000
2017-01-05,30011520999
2017-01-06,30190403000
2017-01-09,30003390000
2017-01-10,30052176000
2017-01-11,29564316000
2017-01-12,29377303000
2017-01-13,29531792000
2017-01-17,28873181000
2017-01-18,29190290000
2017-01-19,28954491000
2017-01-20,29466744000
2017-01-23,29084587000
2017-01-24,29336648000
2017-01-25,29198420999
2017-01-26,29832639000
2017-01-27,29783853000
2017-01-30,29653757000
2017-01-31,29125242000
2017-02-01,29271600000
2017-02-02,28734954000
2017-02-03,29686281000
2017-02-06,29637495000
2017-02-07,29312254999
2017-02-08,29084587000
2017-02-09,29670019000
2017-02-10,29450482000
2017-02-13,29800115000
2017-02-14,30344892000
2017-02-15,30312368000
2017-02-16,29962735000
2017-02-17,29824508000
2017-02-21,29970866000
2017-02-22,29905818000
2017-02-23,29783853000
2017-02-24,29661887999
2017-02-27,30035914000
2017-02-28,29466744000
2017-03-01,29995259000
2017-03-02,29247207000
2017-03-03,29312254999
2017-03-06,28930098000
2017-03-07,28946360000
2017-03-08,29035801000
2017-03-09,29149635000
2017-03-10,29279731000
2017-03-13,29295993000
2017-03-14,29206552000
2017-03-15,29108979999
2017-03-16,29133373000
2017-03-17,28556071999
2017-03-20,27808020000
2017-03-21,26848562000
2017-03-22,26897348000
2017-03-23,27181933000
2017-03-24,27084361000
2017-03-27,26620894000
2017-03-28,27368945999
2017-03-29,27466518000
2017-03-30,27995033000
2017-03-31,27577199999
2017-04-03,27143040000
2017-04-04,27118919999
2017-04-05,26741040000
2017-04-06,26716919999
2017-04-07,26660639999
2017-04-10,26427479999
2017-04-11,26572199999
2017-04-12,26379240000
2017-04-13,26025479999
2017-04-17,26548080000
2017-04-18,26411400000
2017-04-19,26532000000
2017-04-20,27215400000
2017-04-21,26837520000
2017-04-24,27255600000
2017-04-25,27191280000
2017-04-26,26716919999
2017-04-27,26572199999
2017-04-28,22351200000
2017-05-01,22463760000
2017-05-02,23211480000
2017-05-03,23131080000
2017-05-04,23050680000
2017-05-05,23002440000
2017-05-08,22817520000
2017-05-09,22592400000
2017-05-10,22319040000
2017-05-11,21651720000
2017-05-12,21378360000
2017-05-15,21796440000
2017-05-16,21579360000
2017-05-17,21306000000
2017-05-18,21306000000
2017-05-19,21579360000
2017-05-22,21635640000
2017-05-23,21579360000
2017-05-24,21547200000
2017-05-25,21892920000
2017-05-26,22005480000
2017-05-30,21788400000
2017-05-31,21587400000
2017-06-01,21884880000
2017-06-02,22029600000
2017-06-05,22479840000
2017-06-06,22745160000
2017-06-07,23211480000
2017-06-08,23050680000
2017-06-09,23074800000
2017-06-12,23123040000
2017-06-13,23307960000
2017-06-14,23500920000
2017-06-15,23693880000
2017-06-16,23581320000
2017-06-19,23653680000
2017-06-20,23669760000
2017-06-21,23878800000
2017-06-22,23557200000
2017-06-23,23291880000
2017-06-26,23862720000
2017-06-27,23669760000
2017-06-28,23959200000
2017-06-29,23758200000
2017-06-30,23477286000
2017-07-03,23666238000
2017-07-05,23445794000
2017-07-06,23130874000
2017-07-07,23382810000
2017-07-10,22934049000
2017-07-11,22910430000
2017-07-12,23091509000
2017-07-13,23115128000
2017-07-14,23209604000
2017-07-17,23343445000
2017-07-18,23091509000
2017-07-19,23233223000
2017-07-20,23248969000
2017-07-21,24303951000
2017-07-24,24201602000
2017-07-25,24319697000
2017-07-26,24067761000
2017-07-27,23886682000
2017-07-28,23571762000
2017-07-31,23870936000
2017-08-01,23524524000
2017-08-02,23666238000
2017-08-03,23548143000
2017-08-04,23516651000
2017-08-07,23933920000
2017-08-08,24185856000
2017-08-09,23815825000
2017-08-10,23083636000
2017-08-11,22989160000
2017-08-14,23335572000
2017-08-15,24398427000
2017-08-16,24303951000
2017-08-17,23697730000
2017-08-18,23674111000
2017-08-21,23823698000
2017-08-22,23886682000
2017-08-23,23863063000
2017-08-24,23981158000
2017-08-25,24044142000
2017-08-28,23847317000
2017-08-29,23713476000
2017-08-30,24138618000
2017-08-31,24240967000
2017-09-01,24343316000
2017-09-05,23516651000
2017-09-06,23587508000
2017-09-07,22878938000
2017-09-08,22477415000
2017-09-11,22949795000
2017-09-12,22981287000
2017-09-13,23083636000
2017-09-14,22595510000
2017-09-15,22847446000
2017-09-18,23036398000
2017-09-19,22902557000
2017-09-20,22831700000
2017-09-21,22745097000
2017-09-22,23201731000
2017-09-25,23272588000
2017-09-26,23571762000
2017-09-27,24359062000
2017-09-28,24555887000
2017-09-29,24445665000
2017-10-02,24513476000
2017-10-03,24700364000
2017-10-04,24381097000
2017-10-05,24653642000
2017-10-06,24381097000
2017-10-09,24482328000
2017-10-10,24723725000
2017-10-11,24466754000
2017-10-12,23859368000
2017-10-13,23999534000
2017-10-16,24529050000
2017-10-17,24124126000
2017-10-18,24536837000
2017-10-19,24692577000
2017-10-20,25728248000
2017-10-23,25447916000
2017-10-24,25424555000
2017-10-25,25214306000
2017-10-26,25595868999
2017-10-27,25650378000
2017-10-30,25385620000
2017-10-31,25401193999
2017-11-01,25564721000
2017-11-02,25868414000
2017-11-03,25782757000
2017-11-06,25517999000
2017-11-07,25198732000
2017-11-08,24972909000
2017-11-09,24988483000
2017-11-10,24972909000
2017-11-13,25377833000
2017-11-14,25354472000
2017-11-15,25331111000
2017-11-16,25993006000
2017-11-17,26366782000
2017-11-20,26366782000
2017-11-21,26296699000
2017-11-22,26218829000
2017-11-24,26078663000
2017-11-27,25860627000
2017-11-28,26857363000
2017-11-29,27527045000
2017-11-30,27947543000
2017-12-01,27986478000
2017-12-04,29162315000
2017-12-05,29053297000
2017-12-06,29115593000
2017-12-07,29076658000
2017-12-08,29201250000
2017-12-11,29271333000
2017-12-12,29092232000
2017-12-13,28531568000
2017-12-14,28804113000
2017-12-15,28959853000
2017-12-18,29987737000
2017-12-19,29730766000
2017-12-20,29559452000
2017-12-21,30057820000
2017-12-22,30190199000
2017-12-26,30143477000
2017-12-27,30057820000
2017-12-28,30345939000
2017-12-29,30065607000
2018-01-02,29677382000
2018-01-03,29875943999
2018-01-04,30089780000
2018-01-05,30349438000
2018-01-08,29982862000
2018-01-09,30120328000
2018-01-10,30288341999
2018-01-11,30364712000
2018-01-12,30066868999
2018-01-16,28967141000
2018-01-17,29066422000
2018-01-18,28486009999
2018-01-19,29379539000
2018-01-22,30181424000
2018-01-23,30379986000
2018-01-24,30349438000
2018-01-25,30227246000
2018-01-26,30708377000
2018-01-29,30670191999
2018-01-30,30265431000
2018-01-31,30303616000
2018-02-01,30288341999
2018-02-02,29539916000
2018-02-05,28165256000
2018-02-06,28768579000
2018-02-07,28638750000
2018-02-08,26714225999
2018-02-09,26752411000
2018-02-12,27676488000
2018-02-13,27500837000
2018-02-14,28027790000
2018-02-15,28134708000
2018-02-16,28050700999
2018-02-20,27920872000
2018-02-21,27928509000
2018-02-22,27745221000
2018-02-23,28371455000
2018-02-26,28554743000
2018-02-27,28111797000
2018-02-28,27791043000
2018-03-01,27378645000
2018-03-02,27439741000
2018-03-05,27668850999
2018-03-06,27645940000
2018-03-07,27722309999
2018-03-08,28134708000
2018-03-09,28470736000
2018-03-12,28241625999
2018-03-13,28012516000
2018-03-14,27569570000
2018-03-15,26477479000
2018-03-16,26882240000
2018-03-19,26928062000
2018-03-20,27034980000
2018-03-21,26958609999
2018-03-22,25759600999
2018-03-23,24827887000
2018-03-26,25431209999
2018-03-27,24950079000
2018-03-28,25286107000
2018-03-29,25606861000
2018-04-02,24566851999
2018-04-03,25146046000
2018-04-04,25507101999
2018-04-05,26176559999
2018-04-06,25431882000
2018-04-09,25469492000
2018-04-10,25920812000
2018-04-11,25755328000
2018-04-12,26199126000
2018-04-13,25627454000
2018-04-16,25928334000
2018-04-17,26003554000
2018-04-18,26244258000
2018-04-19,26590270000
2018-04-20,26477440000
2018-04-23,26123905999
2018-04-24,25838070000
2018-04-25,25040738000
2018-04-26,25048259999
2018-04-27,24905342000
2018-04-30,24950474000
2018-05-01,24882776000
2018-05-02,24769946000
2018-05-03,24168186000
2018-05-04,24544286000
2018-05-07,24611984000
2018-05-08,24882776000
2018-05-09,25371705999
2018-05-10,25499580000
2018-05-11,25657542000
2018-05-14,25529668000
2018-05-15,25732762000
2018-05-16,26018598000
2018-05-17,26274346000
2018-05-18,26657968000
2018-05-21,26868584000
2018-05-22,27161942000
2018-05-23,27169463999
2018-05-24,27003980000
2018-05-25,26785842000
2018-05-29,25928334000
2018-05-30,26342044000
2018-05-31,26048686000
2018-06-01,26357088000
2018-06-04,26665490000
2018-06-05,26327000000
2018-06-06,26763276000
2018-06-07,26740709999
2018-06-08,26665490000
2018-06-11,26522572000
2018-06-12,26552659999
2018-06-13,26281868000
2018-06-14,26522572000
2018-06-15,26492484000
2018-06-18,26327000000
2018-06-19,26184082000
2018-06-20,25958422000
2018-06-21,25740284000
2018-06-22,25672586000
2018-06-25,25439404000
2018-06-26,25176134000
2018-06-27,24822600000
2018-06-28,24830122000
2018-06-29,25108436000
2018-07-02,24869016000
2018-07-03,24619150000
2018-07-05,24692640000
2018-07-06,24766130000
2018-07-09,25618614000
2018-07-10,25611265000
2018-07-11,25574519999
2018-07-12,24222304000
2018-07-13,23840156000
2018-07-16,23928344000
2018-07-17,24119418000
2018-07-18,24553008999
2018-07-19,24428076000
2018-07-20,24112069000
2018-07-23,24626499000
2018-07-24,24854318000
2018-07-25,24575056000
2018-07-26,22047000000
2018-07-27,21988208000
2018-07-30,21686899000
2018-07-31,21268006000
2018-08-01,21459080000
2018-08-02,21819181000
2018-08-03,21936765000
2018-08-06,21789785000
2018-08-07,22113141000
2018-08-08,22083745000
2018-08-09,22032302000
2018-08-10,21613409000
2018-08-13,21451731000
2018-08-14,22054349000
2018-08-15,21944114000
2018-08-16,22363007000
2018-08-17,22318913000
2018-08-20,22833343000
2018-08-21,22906833000
2018-08-22,23296330000
2018-08-23,22980323000
2018-08-24,23046464000
2018-08-27,23391867000
2018-08-28,23384518000
2018-08-29,23281632000
2018-08-30,23230189000
2018-08-31,23274283000
2018-09-04,23428612000
2018-09-05,23524149000
2018-09-06,23369820000
2018-09-07,23318377000
2018-09-10,23649082000
2018-09-11,23840156000
2018-09-12,23729921000
2018-09-13,23671129000
2018-09-14,23950391000
2018-09-17,23884250000
2018-09-18,24237001999
2018-09-19,24538311000
2018-09-20,24692640000
2018-09-21,24597103000
2018-09-24,24281096000
2018-09-25,24237001999
2018-09-26,23450659000
2018-09-27,23200793000
2018-09-28,22840692000
2018-10-01,22624676000
2018-10-02,22524058000
2018-10-03,22840286000
2018-10-04,22639050000
2018-10-05,22502497000
2018-10-08,22516871000
2018-10-09,22387505000
2018-10-10,21934724000
2018-10-11,21366951000
2018-10-12,21446008000
2018-10-15,21366951000
2018-10-16,21697553000
2018-10-17,21611309000
2018-10-18,21302268000
2018-10-19,22538432000
2018-10-22,21180089000
2018-10-23,21259146000
2018-10-24,20526072000
2018-10-25,20720121000
2018-10-26,20109226000
2018-10-29,20130787000
2018-10-30,20655438000
2018-10-31,20756056000
2018-11-01,21158528000
2018-11-02,18995241000
2018-11-05,19203664000
2018-11-06,19311469000
2018-11-07,19656445000
2018-11-08,19749876000
2018-11-09,19850494000
2018-11-12,19555827000
2018-11-13,19872055000
2018-11-14,19347404000
2018-11-15,19052737000
2018-11-16,18621517000
2018-11-19,18348411000
2018-11-20,18197484000
2018-11-21,18441842000
2018-11-23,18369972000
2018-11-26,18650265000
2018-11-27,18743696000
2018-11-28,18988054000
2018-11-29,18664639000
2018-11-30,18671826000
2018-12-03,18549647000
2018-12-04,17895630000
2018-12-06,18068118000
2018-12-07,18226232000
2018-12-10,17938752000
2018-12-11,17536280000
2018-12-12,17644085000
2018-12-13,17378166000
2018-12-14,17320670000
2018-12-17,16882262999
2018-12-18,16911011000
2018-12-19,16673840000
2018-12-20,16522912999
2018-12-21,16170750000
2018-12-24,15933579000
2018-12-26,16630718000
2018-12-27,16831954000
2018-12-28,16889450000
2018-12-31,16569798000
2019-01-02,17141901000
2019-01-03,17014767000
2019-01-04,17827012000
2019-01-07,17918831000
2019-01-08,17954146000
2019-01-09,18356737000
2019-01-10,18187225000
2019-01-11,18377926000
2019-01-14,18257855000
2019-01-15,18201351000
2019-01-16,18632194000
2019-01-17,18611005000
2019-01-18,18561564000
2019-01-22,18752265000
2019-01-23,20765220000
2019-01-24,21054803000
2019-01-25,21040677000
2019-01-28,21174874000
2019-01-29,20941795000
2019-01-30,21238441000
2019-01-31,21217252000
2019-02-01,20970047000
2019-02-04,20991236000
2019-02-05,21181937000
2019-02-06,21266693000
2019-02-07,21266693000
2019-02-08,21146622000
2019-02-11,21450331000
2019-02-12,21499772000
2019-02-13,21732851000
2019-02-14,21775229000
2019-02-15,22425025000
2019-02-19,22432088000
2019-02-20,22453277000
2019-02-21,22446214000
2019-02-22,22516844000
2019-02-25,22481529000
2019-02-26,22608663000
2019-02-27,22615726000
2019-02-28,23032443000
2019-03-01,22926498000
2019-03-04,22926498000
2019-03-05,22756986000
2019-03-06,22523907000
2019-03-07,22248450000
2019-03-08,22276702000
2019-03-11,22615726000
2019-03-12,22749923000
2019-03-13,23251396000
2019-03-14,23194892000
2019-03-15,23526853000
2019-03-18,23477412000
