,RAD
2002-03-04,1622624850
2002-03-05,1668985637
2002-03-06,1586566468
2002-03-07,1638078368
2002-03-08,1674136750
2002-03-11,1715346218
2002-03-12,1916242731
2002-03-13,1802916500
2002-03-14,1849277287
2002-03-15,1787462981
2002-03-18,1746253487
2002-03-19,1880184350
2002-03-20,1864730831
2002-03-21,1766858118
2002-03-22,1838974881
2002-03-25,1802916500
2002-03-26,1777160550
2002-03-27,1741102168
2002-03-28,1782311662
2002-04-01,1802916500
2002-04-02,1735951081
2002-04-03,1730799762
2002-04-04,1741102168
2002-04-05,1746253487
2002-04-08,1792614068
2002-04-09,1916242731
2002-04-10,2019266531
2002-04-11,2173802231
2002-04-12,2137743850
2002-04-15,2117139012
2002-04-16,2122290331
2002-04-17,2122290331
2002-04-18,2055324887
2002-04-19,2045022481
2002-04-22,2014115212
2002-04-23,2101685468
2002-04-24,2019266531
2002-04-25,1905940300
2002-04-26,1813218931
2002-04-29,1648380800
2002-04-30,1632927281
2002-05-01,1663834318
2002-05-02,1679287862
2002-05-03,1679287862
2002-05-06,1710195131
2002-05-07,1638078368
2002-05-08,1638078368
2002-05-09,1627776065
2002-05-10,1596868900
2002-05-13,1550508215
2002-05-14,1581415381
2002-05-15,1576264165
2002-05-16,1679287862
2002-05-17,1715346218
2002-05-20,1725648650
2002-05-21,1715346218
2002-05-22,1622624850
2002-05-23,1658683231
2002-05-24,1689590268
2002-05-28,1658683231
2002-05-29,1653531912
2002-05-30,1725648650
2002-05-31,1735951081
2002-06-03,1624489808
2002-06-04,1579365018
2002-06-05,1589392782
2002-06-06,1539254210
2002-06-07,1519198681
2002-06-10,1514184924
2002-06-11,1298588989
2002-06-12,1138145634
2002-06-13,1373796847
2002-06-14,1278533586
2002-06-17,1308616754
2002-06-18,1283547468
2002-06-19,1288561350
2002-06-20,1293575107
2002-06-21,1348727561
2002-06-24,1278533586
2002-06-25,1343713679
2002-06-26,1278533586
2002-06-27,1273519703
2002-06-28,1178256442
2002-07-01,1223381131
2002-07-02,1123103987
2002-07-03,1103048584
2002-07-05,1203325728
2002-07-08,1213353492
2002-07-09,1208339610
2002-07-10,1233408896
2002-07-11,1193297963
2002-07-12,1178256442
2002-07-15,1143159391
2002-07-16,1113076348
2002-07-17,1123103987
2002-07-18,1072965415
2002-07-19,1098034701
2002-07-22,1022826843
2002-07-23,1007785322
2002-07-24,977702154
2002-07-25,877425010
2002-07-26,1017812961
2002-07-29,1128117870
2002-07-30,1103048584
2002-07-31,1082993180
2002-08-01,1057923894
2002-08-02,1002771440
2002-08-05,1007785322
2002-08-06,1022826843
2002-08-07,1012799204
2002-08-08,1012799204
2002-08-09,1017812961
2002-08-12,1052910012
2002-08-13,1007785322
2002-08-14,1027840726
2002-08-15,1032854608
2002-08-16,1042882247
