,XRX
2000-05-16,11963516340
2000-05-17,11908523159
2000-05-18,11771873440
2000-05-19,11415251000
2000-05-22,11250271460
2000-05-23,11250271460
2000-05-24,11305264640
2000-05-25,11415251000
2000-05-26,11168614920
2000-05-30,11745210080
2000-05-31,11908523159
2000-06-01,12073502700
2000-06-02,12101832520
2000-06-05,12018509520
2000-06-06,11441914360
2000-06-07,11635223719
2000-06-08,11580230540
2000-06-09,11360257820
2000-06-12,11360257820
2000-06-13,11525237360
2000-06-14,11250271460
2000-06-15,11113621740
2000-06-16,9000550460
2000-06-19,9110536820
2000-06-20,9192193360
2000-06-21,8945557280
2000-06-22,8890564100
2000-06-23,8780577740
2000-06-26,8725584560
2000-06-27,8423955300
2000-06-28,8753914380
2000-06-29,8588934840
2000-06-30,9110536820
2000-07-03,8619769226
2000-07-05,8460798072
2000-07-06,8329124996
2000-07-07,8566778842
2000-07-10,8619769226
2000-07-11,8513788457
2000-07-12,8382115380
2000-07-13,8460798072
2000-07-14,8488096149
2000-07-17,8407807688
2000-07-18,8117163457
2000-07-19,7985490380
2000-07-20,8197451919
2000-07-21,8011182688
2000-07-24,7958192303
2000-07-25,7694846150
2000-07-26,6318701920
2000-07-27,6265711535
2000-07-28,6265711535
2000-07-31,6293009612
2000-08-01,6504971150
2000-08-02,6451980766
2000-08-03,6398990381
2000-08-04,6557961535
2000-08-07,6795615381
2000-08-08,7164942304
2000-08-09,6901596150
2000-08-10,7217932688
2000-08-11,7058961535
2000-08-14,7058961535
2000-08-15,6821307689
2000-08-16,6954586535
2000-08-17,6980278842
2000-08-18,6874298073
2000-08-21,7007576919
2000-08-22,7033269227
2000-08-23,6980278842
2000-08-24,6954586535
2000-08-25,7007576919
2000-08-28,7192240381
2000-08-29,7217932688
2000-08-30,6954586535
2000-08-31,6795615381
2000-09-01,6874298073
2000-09-05,6821307689
2000-09-06,6768317304
2000-09-07,6742624996
2000-09-08,6583653843
2000-09-11,6504971150
2000-09-12,6477673073
2000-09-13,6715326919
2000-09-14,6768317304
2000-09-15,7535874996
2000-09-18,7164942304
2000-09-19,7033269227
2000-09-20,7164942304
2000-09-21,6901596150
2000-09-22,7007576919
2000-09-25,6848605765
2000-09-26,6530663458
2000-09-27,6293009612
2000-09-28,6451980766
2000-09-29,6371692304
2000-10-02,7239589297
2000-10-03,5378544651
2000-10-04,5112937508
2000-10-05,5141651793
2000-10-06,5082428579
2000-10-09,4935267865
2000-10-10,5141651793
2000-10-11,5172160722
2000-10-12,5319321437
2000-10-13,4935267865
2000-10-16,3664660720
2000-10-17,3574928577
2000-10-18,3190875005
2000-10-19,3605437505
2000-10-20,3958982149
2000-10-23,4314321435
2000-10-24,4167160720
2000-10-25,4018205363
2000-10-26,3783107148
2000-10-27,3901553577
2000-10-30,4018205363
2000-10-31,3989491077
2000-11-01,4048714292
2000-11-02,4077428577
2000-11-03,4491991078
2000-11-06,4579928578
2000-11-07,4639151793
2000-11-08,4491991078
2000-11-09,4167160720
2000-11-10,3783107148
2000-11-13,4048714292
2000-11-14,4167160720
2000-11-15,4077428577
2000-11-16,3989491077
2000-11-17,3930267863
2000-11-20,3723883934
2000-11-21,3368544648
2000-11-22,3399053576
2000-11-24,3458276791
2000-11-27,3427767862
2000-11-28,3339830362
2000-11-29,3250098219
2000-11-30,3280607148
2000-12-01,2955776790
2000-12-04,2363544646
2000-12-05,2245098217
2000-12-06,2185875003
2000-12-07,2097937503
2000-12-08,2245098217
2000-12-11,2629151789
2000-12-12,2600437504
2000-12-13,2688375004
2000-12-14,2984491076
2000-12-15,2955776790
2000-12-18,3015000004
2000-12-19,3131651790
2000-12-20,2837330361
2000-12-21,2275607146
2000-12-22,2394053575
2000-12-26,2304321432
2000-12-27,2363544646
2000-12-28,2363544646
2000-12-29,2185875003
2001-01-02,2416935483
2001-01-03,2476016128
2001-01-04,2889580644
2001-01-05,2800064515
2001-01-08,3007741934
2001-01-09,2771419353
2001-01-10,3360435482
2001-01-11,3213629031
2001-01-12,3684483869
2001-01-16,3478596772
2001-01-17,3655838708
2001-01-18,3507241934
2001-01-19,3566322579
2001-01-22,3331790321
2001-01-23,3478596772
2001-01-24,3566322579
2001-01-25,3537677418
2001-01-26,3242274192
2001-01-29,3745354837
2001-01-30,3782951611
2001-01-31,3852774192
2001-02-01,3976306450
2001-02-02,3895741934
2001-02-05,3736403224
2001-02-06,3485758063
2001-02-07,3260177418
2001-02-08,3310306450
2001-02-09,3278080643
2001-02-12,3183193547
2001-02-13,3240483869
2001-02-14,3514403224
2001-02-15,3414145160
2001-02-16,3372967740
2001-02-20,3283451611
2001-02-21,3183193547
2001-02-22,3090096773
2001-02-23,2905693547
2001-02-26,2891370966
2001-02-27,2862725805
2001-02-28,2848403224
2001-03-01,2706967740
2001-03-02,3159919353
2001-03-05,3188564514
2001-03-06,3260177418
2001-03-07,3453532256
2001-03-08,3315677418
2001-03-09,3159919353
2001-03-12,2911064515
2001-03-13,2665790321
2001-03-14,2758887095
2001-03-15,2570903224
2001-03-16,2372177418
2001-03-19,2551209676
2001-03-20,2735612902
2001-03-21,2773209676
2001-03-22,2637145160
2001-03-23,2801854837
2001-03-26,2660419353
2001-03-27,2698016128
2001-03-28,2948661289
2001-03-29,2744564515
2001-03-30,2825129031
2001-04-02,2776631250
2001-04-03,2290150000
2001-04-04,2451725000
2001-04-05,2434162500
2001-04-06,2406062500
2001-04-09,2437675000
2001-04-10,2516706250
2001-04-11,2601006250
2001-04-12,2688818750
2001-04-16,2678281250
2001-04-17,2841612500
2001-04-18,2961037500
2001-04-19,4118406250
2001-04-20,3979662500
2001-04-23,3516012500
2001-04-24,3742568750
2001-04-25,3784718750
2001-04-26,3705687500
2001-04-27,4081524999
2001-04-30,4183387500
2001-05-01,4580300000
2001-05-02,4418725000
2001-05-03,4590837500
2001-05-04,4552200000
2001-05-07,4590837500
2001-05-08,4534637500
2001-05-09,4627718750
2001-05-10,4617181250
2001-05-11,4690943750
2001-05-14,4627718750
2001-05-15,4928037500
2001-05-16,5010581250
2001-05-17,5029900000
2001-05-18,5047462500
2001-05-21,5251187500
2001-05-22,4973700000
2001-05-23,4880618750
2001-05-24,4780512500
2001-05-25,4622450000
2001-05-29,4373062500
2001-05-30,4178118750
2001-05-31,4585568750
2001-06-01,4905206250
2001-06-04,4973700000
2001-06-05,4622450000
2001-06-06,4552200000
2001-06-07,4234318750
2001-06-08,4169337499
2001-06-11,4070987500
2001-06-12,4048156250
2001-06-13,3891850000
2001-06-14,3840918750
2001-06-15,3702174999
2001-06-18,3691637500
2001-06-19,3705687500
2001-06-20,3600312500
2001-06-21,3654756250
2001-06-22,3586262500
2001-06-25,3456300000
2001-06-26,3761887500
2001-06-27,3974393750
2001-06-28,4215000000
2001-06-29,4427506250
2001-07-02,4485319682
2001-07-03,4424392447
2001-07-05,4522951210
2001-07-06,4343753460
2001-07-09,4286410180
2001-07-10,4060621015
2001-07-11,3960270275
2001-07-12,3936974567
2001-07-13,4040909262
2001-07-16,4017613555
2001-07-17,4031949375
2001-07-18,4003277735
2001-07-19,3876047332
2001-07-20,3881423265
2001-07-23,3870671400
2001-07-24,3772112637
2001-07-25,3583955000
2001-07-26,3777488569
2001-07-27,3729105177
2001-07-30,3815120097
2001-07-31,3766736705
2001-08-01,3838415805
2001-08-02,3919054792
2001-08-03,3895759084
2001-08-06,3861711512
2001-08-07,3988941915
2001-08-08,3965646207
2001-08-09,3847375692
2001-08-10,3928014680
2001-08-13,4031949375
2001-08-14,4017613555
2001-08-15,4078540790
2001-08-16,4060621015
2001-08-17,4135884069
2001-08-20,3971022140
2001-08-21,4083916722
2001-08-22,4144843957
2001-08-23,4064204970
2001-08-24,4202187237
2001-08-27,4315081820
2001-08-28,4456648042
2001-08-29,4277450292
2001-08-30,4257738540
2001-08-31,4343753460
2001-09-04,4413640582
2001-09-05,4386760920
2001-09-06,4295370067
2001-09-07,4352713347
2001-09-10,4272074360
2001-09-17,4248778652
2001-09-18,4037325307
2001-09-19,3635922347
2001-09-20,3465684485
2001-09-21,3171800175
2001-09-24,3488980192
2001-09-25,3635922347
2001-09-26,3635922347
2001-09-27,3437012845
2001-09-28,3659218055
2001-10-01,3562538277
2001-10-02,3726124218
2001-10-03,3898798267
2001-10-04,3926062591
2001-10-05,3524368224
2001-10-08,3649784112
2001-10-09,3567991141
2001-10-10,3773382379
2001-10-11,3898798267
2001-10-12,3873351565
2001-10-15,3720671353
2001-10-16,3811552432
2001-10-17,3591620222
2001-10-18,3480745306
2001-10-19,3635243140
2001-10-22,3506192008
2001-10-23,3495286279
2001-10-24,3304436014
2001-10-25,3337153202
2001-10-26,3328065094
2001-10-29,3351694175
2001-10-30,3260813096
2001-10-31,3351694175
2001-11-01,3424399037
2001-11-02,3409858065
2001-11-05,3404405200
2001-11-06,3453480983
2001-11-07,3404405200
2001-11-08,3395317092
2001-11-09,3304436014
2001-11-12,3289895041
2001-11-13,3400769957
2001-11-14,3360782282
2001-11-15,3395317092
2001-11-16,3151755802
2001-11-19,3495286279
2001-11-20,3351694175
2001-11-21,3673413192
2001-11-23,3936968320
2001-11-26,3926062591
2001-11-27,3951509293
2001-11-28,3887892538
2001-11-29,3951509293
2001-11-30,4022396534
2001-12-03,4027849399
2001-12-04,4133271450
2001-12-05,4224152528
2001-12-06,4160535773
2001-12-07,4204158691
2001-12-10,4046025614
2001-12-11,4075107559
2001-12-12,4107824748
2001-12-13,4147812422
2001-12-14,4095101397
2001-12-17,4118730477
2001-12-18,4171441503
2001-12-19,4055113722
2001-12-20,4324121715
2001-12-21,4693098893
2001-12-24,4553142032
2001-12-26,4502248628
2001-12-27,4605853058
2001-12-28,4894854888
2001-12-31,4989371209
2002-01-02,4989371209
2002-01-03,4980283101
2002-01-04,4813061917
2002-01-07,4731268946
2002-01-08,4763986134
2002-01-09,4673105056
2002-01-10,4669469813
2002-01-11,4631299760
2002-01-14,4616758787
2002-01-15,4763986134
2002-01-16,4754898027
2002-01-17,4693098893
2002-01-18,4620394030
2002-01-22,4482254791
2002-01-23,4711275109
2002-01-24,4587676842
2002-01-25,4740357054
2002-01-28,5381977468
2002-01-29,5483764276
2002-01-30,5372889360
2002-01-31,5425600386
2002-02-01,5305637362
2002-02-04,5114787097
2002-02-05,5258379202
2002-02-06,5143869043
2002-02-07,5038446992
2002-02-08,5091158017
2002-02-11,5103881368
2002-02-12,5143869043
2002-02-13,5080252288
2002-02-14,4698551758
2002-02-15,4789432836
2002-02-19,4620394030
2002-02-20,4544053925
2002-02-21,4514971979
2002-02-22,4356838903
2002-02-25,4684010785
2002-02-26,4658564083
2002-02-27,4582223977
2002-02-28,4649475976
2002-03-01,4763986134
2002-03-04,4687646029
2002-03-05,4740357054
2002-03-06,4845779105
2002-03-07,4883949158
2002-03-08,5156592394
2002-03-11,5003912182
2002-03-12,4854867213
2002-03-13,4947565913
2002-03-14,4827602889
2002-03-15,4883949158
2002-03-18,5047535099
2002-03-19,5156592394
2002-03-20,5143869043
2002-03-21,4980283101
2002-03-22,5123875205
2002-03-25,5009365046
2002-03-26,5042082235
2002-03-27,5138416178
2002-03-28,5147504286
2002-04-01,5220519235
2002-04-02,5041673081
2002-04-03,5036307696
2002-04-04,5098903850
2002-04-05,4957615388
2002-04-08,4900384619
2002-04-09,4843153850
2002-04-10,4683980773
2002-04-11,4571307696
2002-04-12,4523019234
2002-04-15,4514076926
2002-04-16,4571307696
2002-04-17,4519442311
2002-04-18,4358480772
2002-04-19,4447903849
2002-04-22,4329865388
2002-04-23,4494403850
2002-04-24,4580250003
2002-04-25,4476519234
2002-04-26,4424653849
2002-04-29,4052653849
2002-04-30,4170692311
2002-05-01,4274423080
2002-05-02,3764711541
2002-05-03,3784384618
2002-05-06,3637730772
2002-05-07,3534000003
2002-05-08,3628788464
2002-05-09,3839826926
2002-05-10,3779019234
2002-05-13,3888115387
2002-05-14,4193942311
2002-05-15,4052653849
2002-05-16,4165326926
2002-05-17,4145653849
2002-05-20,4156384618
2002-05-21,4179634618
2002-05-22,4165326926
2002-05-23,4401403849
2002-05-24,4292307696
2002-05-28,4145653849
2002-05-29,4208250003
2002-05-30,4226134619
2002-05-31,4226134619
2002-06-03,4113461542
2002-06-04,4052653849
2002-06-05,4061596157
2002-06-06,3943557695
2002-06-07,3854134618
2002-06-10,3920307695
2002-06-11,3703903849
2002-06-12,3646673080
2002-06-13,3684230772
2002-06-14,3655615387
2002-06-17,3848769234
2002-06-18,3779019234
2002-06-19,3603750003
2002-06-20,3698538464
2002-06-21,4226134619
2002-06-24,4038346157
2002-06-25,3680653849
2002-06-26,3580500003
2002-06-27,3770076926
2002-06-28,3283615387
2002-07-01,3158750000
2002-07-02,3020500000
2002-07-03,2784250000
2002-07-05,2983750000
2002-07-08,2857749999
2002-07-09,2812250000
2002-07-10,2835000000
2002-07-11,2947000000
2002-07-12,2973249999
2002-07-15,2885749999
2002-07-16,2927750000
2002-07-17,2905000000
2002-07-18,2913749999
2002-07-19,2668750000
2002-07-22,2744000000
2002-07-23,2527000000
2002-07-24,2467500000
2002-07-25,2857749999
2002-07-26,2936500000
2002-07-29,2947000000
2002-07-30,3274250000
2002-07-31,3204250000
2002-08-01,3034500000
2002-08-02,2947000000
2002-08-05,2707250000
2002-08-06,2882250000
2002-08-07,3020500000
2002-08-08,2973249999
2002-08-09,2891000000
2002-08-12,2637250000
2002-08-13,2710750000
2002-08-14,2826249999
2002-08-15,2973249999
2002-08-16,3034500000
2002-08-19,3195500000
2002-08-20,3195500000
2002-08-21,3088749999
2002-08-22,3218250000
2002-08-23,3158750000
2002-08-26,3283000000
2002-08-27,3227000000
2002-08-28,3116750000
2002-08-29,3269000000
2002-08-30,3232250000
2002-09-03,3116750000
2002-09-04,3162250000
2002-09-05,3199000000
2002-09-06,3162250000
2002-09-09,3181500000
2002-09-10,3153500000
2002-09-11,3223500000
2002-09-12,3122000000
2002-09-13,3274250000
2002-09-16,3283000000
2002-09-17,3223500000
2002-09-18,3235749999
2002-09-19,3043250000
2002-09-20,3223500000
2002-09-23,3074750000
2002-09-24,2747500000
2002-09-25,2581250000
2002-09-26,2549750000
2002-09-27,2425500000
2002-09-30,2282000000
2002-10-01,2441837947
2002-10-02,2528585025
2002-10-03,2427072487
2002-10-04,2338479727
2002-10-07,2242504237
2002-10-08,2192670810
2002-10-09,2091158272
2002-10-10,2148374430
2002-10-11,2441837947
2002-10-14,2567344357
2002-10-15,2820202860
2002-10-16,2558115945
2002-10-17,2829431272
2002-10-18,2888493112
2002-10-21,3394210117
2002-10-22,3257629612
2002-10-23,3117357742
2002-10-24,3135814567
2002-10-25,3117357742
2002-10-28,3028764982
2002-10-29,2927252445
2002-10-30,3039839077
2002-10-31,3228098692
2002-11-01,3432969450
2002-11-04,3492031290
2002-11-05,3593543827
2002-11-06,3709821825
2002-11-07,3560321542
2002-11-08,3525253575
2002-11-11,3438506497
2002-11-12,3510488115
2002-11-13,3599080875
2002-11-14,3665525445
2002-11-15,3671062492
2002-11-18,3905464170
2002-11-19,3914692582
2002-11-20,4012513754
2002-11-21,4211847465
2002-11-22,3986674200
2002-11-25,4132483117
2002-11-26,4186007910
2002-11-27,4304131590
2002-11-29,4239532702
2002-12-02,4176779497
2002-12-03,3958988962
2002-12-04,3894390075
2002-12-05,3840865282
2002-12-06,3947914867
2002-12-09,3748581157
2002-12-10,3918383947
2002-12-11,4045736040
2002-12-12,3962680327
2002-12-13,3778112077
2002-12-16,3986674200
2002-12-17,3953451915
2002-12-18,3953451915
2002-12-19,3783649125
2002-12-20,3890698709
2002-12-23,3929458042
2002-12-24,3929458042
2002-12-26,3953451915
2002-12-27,3885161662
2002-12-30,3802105950
2002-12-31,3914692582
2003-01-02,4031250000
2003-01-03,4089374999
2003-01-06,4169999999
2003-01-07,4104375000
2003-01-08,4085625000
2003-01-09,4139999999
2003-01-10,4273125000
2003-01-13,4321875000
2003-01-14,4400625000
2003-01-15,4470000000
2003-01-16,4584375000
2003-01-17,4282500000
2003-01-21,4228125000
2003-01-22,4336875000
2003-01-23,4282500000
2003-01-24,4076249999
2003-01-27,3976875000
2003-01-28,4668750000
2003-01-29,4599375000
2003-01-30,4445625000
2003-01-31,4372500000
2003-02-03,4396875000
2003-02-04,4333125000
2003-02-05,4321875000
2003-02-06,4318125000
2003-02-07,4237500000
2003-02-10,4273125000
2003-02-11,4243125000
2003-02-12,4149375000
2003-02-13,4169999999
2003-02-14,4243125000
2003-02-18,4505625000
2003-02-19,4569375000
2003-02-20,4415625000
2003-02-21,4396875000
2003-02-24,4243125000
2003-02-25,4297500000
2003-02-26,4278750000
2003-02-27,4297500000
2003-02-28,4445625000
2003-03-03,4291875000
2003-03-04,4267500000
2003-03-05,4237500000
2003-03-06,4346250000
2003-03-07,4318125000
2003-03-10,4243125000
2003-03-11,4224375000
2003-03-12,4263749999
2003-03-13,4387500000
2003-03-14,4321875000
2003-03-17,4460625000
2003-03-18,4445625000
2003-03-19,4445625000
2003-03-20,4451250000
2003-03-21,4445625000
2003-03-24,4333125000
2003-03-25,4381875000
2003-03-26,4445625000
2003-03-27,4411875000
2003-03-28,4321875000
2003-03-31,4297500000
2003-04-01,4376250000
2003-04-02,4406250000
2003-04-03,4411875000
2003-04-04,4400625000
2003-04-07,4466250000
2003-04-08,4333125000
2003-04-09,4327500000
2003-04-10,4303125000
2003-04-11,4278750000
2003-04-14,4430625000
2003-04-15,4440000000
2003-04-16,4426875000
2003-04-17,4445625000
2003-04-21,4618125000
2003-04-22,4524375000
2003-04-23,4914375000
2003-04-24,4747500000
2003-04-25,4678125000
2003-04-28,4805625000
2003-04-29,4856250000
2003-04-30,4871250000
2003-05-01,4944375000
2003-05-02,4940625000
2003-05-05,5019375000
2003-05-06,5137500000
2003-05-07,5077500000
2003-05-08,4980000000
2003-05-09,5049375000
2003-05-12,5113125000
2003-05-13,5131875000
2003-05-14,5122500000
2003-05-15,5285625000
2003-05-16,5310000000
2003-05-19,5137500000
2003-05-20,5210625000
2003-05-21,5122500000
2003-05-22,5295000000
2003-05-23,5206875000
2003-05-27,5334375000
2003-05-28,5364375000
2003-05-29,5418750000
2003-05-30,5400000000
2003-06-02,5493750000
2003-06-03,5415000000
2003-06-04,5645625000
2003-06-05,5656875000
2003-06-06,5458125000
2003-06-09,5355000000
2003-06-10,5270625000
2003-06-11,5285625000
2003-06-12,5715000000
2003-06-13,5458125000
2003-06-16,5675625000
2003-06-17,5611875000
2003-06-18,5478750000
2003-06-19,5137500000
2003-06-20,5113125000
2003-06-23,5137500000
2003-06-24,5270625000
2003-06-25,5186250000
2003-06-26,5255625000
2003-06-27,5261250000
2003-06-30,5231250000
2003-07-01,5387750009
2003-07-02,5523833342
2003-07-03,5378166676
2003-07-07,5520000009
2003-07-08,5544916676
2003-07-09,5554500009
2003-07-10,5458666676
2003-07-11,5452916676
2003-07-14,5681000009
2003-07-15,5801750010
2003-07-16,5529583342
2003-07-17,5408833342
2003-07-18,5437583342
2003-07-21,5276583342
2003-07-22,5498916676
2003-07-23,5403083342
2003-07-24,5368583342
2003-07-25,5418416676
2003-07-28,5640750009
2003-07-29,5544916676
2003-07-30,5535333342
2003-07-31,5452916676
2003-08-01,5378166676
2003-08-04,5119416675
2003-08-05,5119416675
2003-08-06,5171166675
2003-08-07,5161583342
2003-08-08,5150083342
2003-08-11,5109833342
2003-08-12,5106000008
2003-08-13,5079166675
2003-08-14,5150083342
2003-08-15,5119416675
2003-08-18,5094500008
2003-08-19,5090666675
2003-08-20,5075333342
2003-08-21,5019750008
2003-08-22,4902833341
2003-08-25,4816583341
2003-08-26,5245916675
2003-08-27,5267000009
2003-08-28,5316833342
2003-08-29,5443333342
2003-09-02,5479750009
2003-09-03,5529583342
2003-09-04,5464416676
2003-09-05,5316833342
2003-09-08,5393500009
2003-09-09,5326416675
2003-09-10,5316833342
2003-09-11,5226750009
2003-09-12,5236333342
2003-09-15,5150083342
2003-09-16,5251666675
2003-09-17,5125166675
2003-09-18,5437583342
2003-09-19,5378166676
2003-09-22,5347500009
2003-09-23,5437583342
2003-09-24,5313000009
2003-09-25,5217166675
2003-09-26,5146250008
2003-09-29,5282333342
2003-09-30,5180750009
2003-10-01,5470000000
2003-10-02,5486000000
2003-10-03,5622000000
2003-10-06,5664000000
2003-10-07,5790000000
2003-10-08,5628000000
2003-10-09,5690000000
2003-10-10,5854000000
2003-10-13,5944000000
2003-10-14,5806000000
2003-10-15,5864000000
2003-10-16,5922000000
2003-10-17,5848000000
2003-10-20,6050000000
2003-10-21,6060000000
2003-10-22,6076000000
2003-10-23,5796000000
2003-10-24,5632000000
2003-10-27,5580000000
2003-10-28,5660000000
2003-10-29,5638000000
2003-10-30,5574000000
2003-10-31,5532000000
2003-11-03,5602000000
2003-11-04,5544000000
2003-11-05,5616000000
2003-11-06,5558000000
2003-11-07,5532000000
2003-11-10,5416000000
2003-11-11,5422000000
2003-11-12,5612000000
2003-11-13,5544000000
2003-11-14,5558000000
2003-11-17,5480000000
2003-11-18,5358000000
2003-11-19,5448000000
2003-11-20,5496000000
2003-11-21,5554000000
2003-11-24,5596000000
2003-11-25,6028000000
2003-11-26,6296000000
2003-11-28,6418000000
2003-12-01,6423999999
2003-12-02,6324000000
2003-12-03,6434000000
2003-12-04,6581999999
2003-12-05,6392000000
2003-12-08,6350000000
2003-12-09,6212000000
2003-12-10,6076000000
2003-12-11,6338000000
2003-12-12,6312000000
2003-12-15,6276000000
2003-12-16,6370000000
2003-12-17,6544000000
2003-12-18,6866000000
2003-12-19,6850000000
2003-12-22,6944000000
2003-12-23,7223999999
2003-12-24,7272000000
2003-12-26,7166000000
2003-12-29,7198000000
2003-12-30,7192000000
2003-12-31,7272000000
2004-01-02,7159999999
2004-01-05,7281999999
2004-01-06,7414000000
2004-01-07,7440000000
2004-01-08,7462000000
2004-01-09,7356000000
2004-01-12,7392000000
2004-01-13,7245999999
2004-01-14,7245999999
2004-01-15,7208000000
2004-01-16,7123999999
2004-01-20,7076000000
2004-01-21,7208000000
2004-01-22,7056000000
2004-01-23,7181999999
2004-01-26,7350000000
2004-01-27,7981999999
2004-01-28,7788000000
2004-01-29,7794000000
2004-01-30,7714000000
2004-02-02,7762000000
2004-02-03,7556000000
2004-02-04,7520000000
2004-02-05,7640000000
2004-02-06,7972000000
2004-02-09,7936000000
2004-02-10,7904000000
2004-02-11,7920000000
2004-02-12,8040000000
2004-02-13,7930000000
2004-02-17,8062000000
2004-02-18,8040000000
2004-02-19,7740000000
2004-02-20,7592000000
2004-02-23,7498000000
2004-02-24,7340000000
2004-02-25,7430000000
2004-02-26,7456000000
2004-02-27,7450000000
2004-03-01,7523999999
2004-03-02,7488000000
2004-03-03,7504000000
2004-03-04,7508000000
2004-03-05,7472000000
2004-03-08,7350000000
2004-03-09,7272000000
2004-03-10,7323999999
2004-03-11,7250000000
2004-03-12,7414000000
2004-03-15,7272000000
2004-03-16,7318000000
2004-03-17,7450000000
2004-03-18,7523999999
2004-03-19,7420000000
2004-03-22,7240000000
2004-03-23,7323999999
2004-03-24,7298000000
2004-03-25,7488000000
2004-03-26,7508000000
2004-03-29,7614000000
2004-03-30,7708000000
2004-03-31,7678000000
2004-04-01,7951565234
2004-04-02,7990184799
2004-04-05,8010510886
2004-04-06,7947500017
2004-04-07,7990184799
2004-04-08,7908880451
2004-04-12,7951565234
2004-04-13,7662934799
2004-04-14,7727978277
2004-04-15,7496260885
2004-04-16,7486097842
2004-04-19,7561304364
2004-04-20,7465771755
2004-04-21,7486097842
2004-04-22,7715782625
2004-04-23,7057217406
2004-04-26,7262510885
2004-04-27,7197467406
2004-04-28,7213728276
2004-04-29,7191369580
2004-04-30,7191369580
2004-05-03,7276739145
2004-05-04,7144619580
2004-05-05,7191369580
2004-05-06,6988108710
2004-05-07,6939326101
2004-05-10,6853956536
2004-05-11,7014532623
2004-05-12,6876315232
2004-05-13,6870217405
2004-05-14,6880380449
2004-05-17,6778750014
2004-05-18,6929163058
2004-05-19,6988108710
2004-05-20,7036891319
2004-05-21,7148684797
2004-05-24,7112097841
2004-05-25,7191369580
2004-05-26,7299097841
2004-05-27,7347880450
2004-05-28,7250315232
2004-06-01,7175108710
2004-06-02,7164945667
2004-06-03,7069413058
2004-06-04,7175108710
2004-06-07,7374304363
2004-06-08,7358043494
2004-06-09,7443413059
2004-06-10,7561304364
2004-06-14,7603989146
2004-06-15,7727978277
2004-06-16,7583663059
2004-06-17,7567402190
2004-06-18,7614152190
2004-06-21,7656836972
2004-06-22,7862130451
2004-06-23,7951565234
2004-06-24,7786923929
2004-06-25,7748304364
2004-06-28,7656836972
2004-06-29,7705619581
2004-06-30,7764565234
2004-07-01,7747999983
2004-07-02,7714888872
2004-07-06,7501736095
2004-07-07,7545194428
2004-07-08,7414819428
2004-07-09,7441722206
2004-07-12,7425166650
2004-07-13,7528638872
2004-07-14,7464486095
2004-07-15,7408611095
2004-07-16,7245124984
2004-07-19,7228569428
2004-07-20,7245124984
2004-07-21,7141652762
2004-07-22,7257541651
2004-07-23,7524499983
2004-07-26,7458277761
2004-07-27,7421027761
2004-07-28,7354805539
2004-07-29,7481041650
2004-07-30,7557611094
2004-08-02,7557611094
2004-08-03,7632111094
2004-08-04,7725236094
2004-08-05,7534847206
2004-08-06,7408611095
2004-08-09,7228569428
2004-08-10,7452069428
2004-08-11,7278236095
2004-08-12,7081638873
2004-08-13,7125097206
2004-08-16,7245124984
2004-08-17,7201666651
2004-08-18,7344458317
2004-08-19,7381708317
2004-08-20,7534847206
2004-08-23,7551402761
