,CHD
2000-05-15,707338080
2000-05-16,702759840
2000-05-17,695892480
2000-05-18,695892480
2000-05-19,682157760
2000-05-22,679868640
2000-05-23,673001280
2000-05-24,693603360
2000-05-25,668423040
2000-05-26,675290400
2000-05-30,684446880
2000-05-31,693603360
2000-06-01,725651040
2000-06-02,723361920
2000-06-05,705048960
2000-06-06,702759840
2000-06-07,700470720
2000-06-08,702759840
2000-06-09,707338080
2000-06-12,725651040
2000-06-13,741674880
2000-06-14,732518400
2000-06-15,778300800
2000-06-16,741674880
2000-06-19,746253120
2000-06-20,750831360
2000-06-21,748542240
2000-06-22,721072800
2000-06-23,707338080
2000-06-26,739385760
2000-06-27,725651040
2000-06-28,741674880
2000-06-29,727940160
2000-06-30,687886056
2000-07-03,722280358
2000-07-05,703936730
2000-07-06,699350823
2000-07-07,703936730
2000-07-10,726866265
2000-07-11,722280358
2000-07-12,722280358
2000-07-13,690179009
2000-07-14,697057870
2000-07-17,699350823
2000-07-18,699350823
2000-07-19,706229684
2000-07-20,703936730
2000-07-21,690179009
2000-07-24,676421288
2000-07-25,710815591
2000-07-26,724573312
2000-07-27,694764916
2000-07-28,694764916
2000-07-31,678714241
2000-08-01,690179009
2000-08-02,674128334
2000-08-03,719987405
2000-08-04,731452172
2000-08-07,683300148
2000-08-08,671835381
2000-08-09,671835381
2000-08-10,699350823
2000-08-11,719987405
2000-08-14,722280358
2000-08-15,710815591
2000-08-16,690179009
2000-08-17,690179009
2000-08-18,685593102
2000-08-21,685593102
2000-08-22,683300148
2000-08-23,685593102
2000-08-24,687886056
2000-08-25,685593102
2000-08-28,678714241
2000-08-29,685593102
2000-08-30,687886056
2000-08-31,685593102
2000-09-01,694764916
2000-09-05,685593102
2000-09-06,708522637
2000-09-07,703936730
2000-09-08,690179009
2000-09-11,685593102
2000-09-12,667249474
2000-09-13,655784706
2000-09-14,614511543
2000-09-15,605339729
2000-09-18,612218589
2000-09-19,628269264
2000-09-20,637441078
2000-09-21,651198799
2000-09-22,662663567
2000-09-25,644319939
2000-09-26,653491753
2000-09-27,671835381
2000-09-28,676421288
2000-09-29,740520000
2000-10-02,696960000
2000-10-03,696960000
2000-10-04,689700000
2000-10-05,721160000
2000-10-06,728420000
2000-10-09,709060000
2000-10-10,704220000
2000-10-11,735680000
2000-10-12,726000000
2000-10-13,742940000
2000-10-16,750200000
2000-10-17,745360000
2000-10-18,733260000
2000-10-19,745360000
2000-10-20,726000000
2000-10-23,723580000
2000-10-24,735680000
2000-10-25,728420000
2000-10-26,735680000
2000-10-27,779240000
2000-10-30,801020000
2000-10-31,796180000
2000-11-01,801020000
2000-11-02,805860000
2000-11-03,810700000
2000-11-06,810700000
2000-11-07,817960000
2000-11-08,820380000
2000-11-09,830060000
2000-11-10,856680000
2000-11-13,844580000
2000-11-14,859100000
2000-11-15,888140000
2000-11-16,871200000
2000-11-17,883300000
2000-11-20,873620000
2000-11-21,885720000
2000-11-22,871200000
2000-11-24,861520000
2000-11-27,859100000
2000-11-28,839740000
2000-11-29,849420000
2000-11-30,854260000
2000-12-01,873620000
2000-12-04,873620000
2000-12-05,859100000
2000-12-06,866360000
2000-12-07,885720000
2000-12-08,943800000
2000-12-11,941380000
2000-12-12,914760000
2000-12-13,895400000
2000-12-14,885720000
2000-12-15,851840000
2000-12-18,859100000
2000-12-19,861520000
2000-12-20,868780000
2000-12-21,878460000
2000-12-22,902660000
2000-12-26,892980000
2000-12-27,943800000
2000-12-28,934120000
2000-12-29,897820000
2001-01-02,832004798
2001-01-03,806582429
2001-01-04,762671065
2001-01-05,764982189
2001-01-08,855116042
2001-01-09,848182669
2001-01-10,871293913
2001-01-11,866671665
2001-01-12,880538411
2001-01-16,873605038
2001-01-17,885160660
2001-01-18,903649656
2001-01-19,908271904
2001-01-22,929072024
2001-01-23,947561020
2001-01-24,938316522
2001-01-25,942938771
2001-01-26,910583029
2001-01-29,912894153
2001-01-30,945249895
2001-01-31,963738891
2001-02-01,961427767
2001-02-02,808893554
2001-02-05,841249296
2001-02-06,820449176
2001-02-07,836627047
2001-02-08,832004798
2001-02-09,838938171
2001-02-12,827382549
2001-02-13,815826927
2001-02-14,804271305
2001-02-15,795026807
2001-02-16,825071425
2001-02-20,822760300
2001-02-21,811204678
2001-02-22,808893554
2001-02-23,801960180
2001-02-26,808893554
2001-02-27,820449176
2001-02-28,841249296
2001-03-01,820449176
2001-03-02,827382549
2001-03-05,832004798
2001-03-06,838938171
2001-03-07,866671665
2001-03-08,864360540
2001-03-09,857427167
2001-03-12,848182669
2001-03-13,834315922
2001-03-14,836627047
2001-03-15,813515802
2001-03-16,820449176
2001-03-19,838938171
2001-03-20,843560420
2001-03-21,825071425
2001-03-22,825071425
2001-03-23,808893554
2001-03-26,792715682
2001-03-27,827382549
2001-03-28,799649056
2001-03-29,781160060
2001-03-30,843639103
2001-04-02,892579493
2001-04-03,906562461
2001-04-04,960163841
2001-04-05,953172356
2001-04-06,918214935
2001-04-09,950841862
2001-04-10,950841862
2001-04-11,946180872
2001-04-12,950841862
2001-04-16,943850377
2001-04-17,939189388
2001-04-18,925206419
2001-04-19,932197904
2001-04-20,932197904
2001-04-23,934528398
2001-04-24,918214935
2001-04-25,948511367
2001-04-26,941519883
2001-04-27,964824830
2001-04-30,932197904
2001-05-01,927536914
2001-05-02,929867409
2001-05-03,936858893
2001-05-04,936858893
2001-05-07,929867409
2001-05-08,969485820
2001-05-09,962494335
2001-05-10,964824830
2001-05-11,960163841
2001-05-14,964824830
2001-05-15,969485820
2001-05-16,1004443241
2001-05-17,1002112746
2001-05-18,995121262
2001-05-21,1032409178
2001-05-22,1018426210
2001-05-23,1013765220
2001-05-24,1009104231
2001-05-25,999782252
2001-05-29,990460273
2001-05-30,992790767
2001-05-31,988129778
2001-06-01,988129778
2001-06-04,1016095715
2001-06-05,1041731157
2001-06-06,1016095715
2001-06-07,1020756704
2001-06-08,1013765220
2001-06-11,1002112746
2001-06-12,997451757
2001-06-13,985799283
2001-06-14,981138293
2001-06-15,978807799
2001-06-18,962494335
2001-06-19,971816314
2001-06-20,981138293
2001-06-21,962494335
2001-06-22,962494335
2001-06-25,934528398
2001-06-26,934528398
2001-06-27,955502851
2001-06-28,962494335
2001-06-29,991943861
2001-07-02,959190998
2001-07-03,952172527
2001-07-05,966209469
2001-07-06,966209469
2001-07-09,945154056
2001-07-10,956851508
2001-07-11,945154056
2001-07-12,952172527
2001-07-13,942814566
2001-07-16,956851508
2001-07-17,954512017
2001-07-18,949833037
2001-07-19,961530488
2001-07-20,963869978
2001-07-23,945154056
2001-07-24,926438135
2001-07-25,945154056
2001-07-26,949833037
2001-07-27,931117115
2001-07-30,945154056
2001-07-31,989604371
2001-08-01,1008320293
2001-08-02,1012999273
2001-08-03,1001301822
2001-08-06,994283352
2001-08-07,989604371
2001-08-08,980246410
2001-08-09,996622842
2001-08-10,1022357234
2001-08-13,1022357234
2001-08-14,1041073156
2001-08-15,1038733666
2001-08-16,1052770608
2001-08-17,1043412647
2001-08-20,1073826020
2001-08-21,1055110098
2001-08-22,1052770608
2001-08-23,1041073156
2001-08-24,1048091627
2001-08-27,1027036215
2001-08-28,1010659783
2001-08-29,1045752137
2001-08-30,1045752137
2001-08-31,1062128568
2001-09-04,1052770608
2001-09-05,1041073156
2001-09-06,1043412647
2001-09-07,1041073156
2001-09-10,1052770608
2001-09-17,1034054686
2001-09-18,1045752137
2001-09-19,1108918373
2001-09-20,1085523471
2001-09-21,1024696725
2001-09-24,1038733666
2001-09-25,1055110098
2001-09-26,1034054686
2001-09-27,1029375705
2001-09-28,1072758999
2001-10-01,1065292000
2001-10-02,1100138000
2001-10-03,1112583000
2001-10-04,1107605000
2001-10-05,1095160000
2001-10-08,1065292000
2001-10-09,1045380000
2001-10-10,1052847000
2001-10-11,1055336000
2001-10-12,1050357999
2001-10-15,1040401999
2001-10-16,1047869000
2001-10-17,1037913000
2001-10-18,1042891000
2001-10-19,1057825000
2001-10-22,1050357999
2001-10-23,1047869000
2001-10-24,1037913000
2001-10-25,1037913000
2001-10-26,1100138000
2001-10-29,1092671000
2001-10-30,1077737000
2001-10-31,1077737000
2001-11-01,1110094000
2001-11-02,1090182000
2001-11-05,1115072000
2001-11-06,1120050000
2001-11-07,1105116000
2001-11-08,1070270000
2001-11-09,1080226000
2001-11-12,1087693000
2001-11-13,1065292000
2001-11-14,1070270000
2001-11-15,1072758999
2001-11-16,1055336000
2001-11-19,1057825000
2001-11-20,1057825000
2001-11-21,1082715000
2001-11-23,1100138000
2001-11-26,1095160000
2001-11-27,1085204000
2001-11-28,1082715000
2001-11-29,1100138000
2001-11-30,1090182000
2001-12-03,1095160000
2001-12-04,1102627000
2001-12-05,1112583000
2001-12-06,1092671000
2001-12-07,1085204000
2001-12-10,1087693000
2001-12-11,1072758999
2001-12-12,1077737000
2001-12-13,1057825000
2001-12-14,1077737000
2001-12-17,1090182000
2001-12-18,1102627000
2001-12-19,1087693000
2001-12-20,1060314000
2001-12-21,1075248000
2001-12-24,1082715000
2001-12-26,1100138000
2001-12-27,1105116000
2001-12-28,1115072000
2001-12-31,1045550096
2002-01-02,1040840411
2002-01-03,1038485568
2002-01-04,1031421041
2002-01-07,1017291985
2002-01-08,1019646828
2002-01-09,1019646828
2002-01-10,1038485568
2002-01-11,1040840411
2002-01-14,1040840411
2002-01-15,1073808207
2002-01-16,1071453364
2002-01-17,1095001790
2002-01-18,1083227577
2002-01-22,1111485688
2002-01-23,1151518011
2002-01-24,1163292224
2002-01-25,1160937382
2002-01-28,1163292224
2002-01-29,1149163169
2002-01-30,1149163169
2002-01-31,1156227696
2002-02-01,1153872854
2002-02-04,1153872854
2002-02-05,1151518011
2002-02-06,1127969586
2002-02-07,1104421160
2002-02-08,1120905058
2002-02-11,1172711594
2002-02-12,1175066437
2002-02-13,1203324548
2002-02-14,1217453603
2002-02-15,1212743918
2002-02-19,1191550335
2002-02-20,1238647186
2002-02-21,1217453603
2002-02-22,1226872973
2002-02-25,1219808446
2002-02-26,1217453603
2002-02-27,1219808446
2002-02-28,1212743918
2002-03-01,1226872973
2002-03-04,1215098760
2002-03-05,1208034233
2002-03-06,1219808446
2002-03-07,1200969705
2002-03-08,1205679390
2002-03-11,1158582539
2002-03-12,1160937382
2002-03-13,1116195373
2002-03-14,1144453484
2002-03-15,1177421280
2002-03-18,1177421280
2002-03-19,1189195492
2002-03-20,1149163169
2002-03-21,1146808326
2002-03-22,1142098641
2002-03-25,1097356632
2002-03-26,1123259901
2002-03-27,1153872854
2002-03-28,1156227696
2002-04-01,1175057274
2002-04-02,1158440303
2002-04-03,1158440303
2002-04-04,1156066449
2002-04-05,1175057274
2002-04-08,1208291217
2002-04-09,1203543511
2002-04-10,1205917364
2002-04-11,1205917364
2002-04-12,1241525160
2002-04-15,1227282042
2002-04-16,1224908189
2002-04-17,1215412776
2002-04-18,1179804980
2002-04-19,1189300393
2002-04-22,1165561862
2002-04-23,1184552686
2002-04-24,1141823331
2002-04-25,1165561862
2002-04-26,1148944890
2002-04-29,1137075625
2002-04-30,1132327919
2002-05-01,1163188009
2002-05-02,1167935715
2002-05-03,1167935715
2002-05-06,1251020573
2002-05-07,1367339374
2002-05-08,1360217814
2002-05-09,1367339374
2002-05-10,1305619194
2002-05-13,1355470108
2002-05-14,1374460933
2002-05-15,1355470108
2002-05-16,1353096255
2002-05-17,1369713227
2002-05-20,1362591667
2002-05-21,1376834786
2002-05-22,1357843961
2002-05-23,1376834786
2002-05-24,1360217814
2002-05-28,1343600843
2002-05-29,1345974696
2002-05-30,1360217814
2002-05-31,1376834786
2002-06-03,1376834786
2002-06-04,1348348549
2002-06-05,1341226990
2002-06-06,1300871487
2002-06-07,1326983871
2002-06-10,1315114606
2002-06-11,1310366900
2002-06-12,1317488459
2002-06-13,1310366900
2002-06-14,1300871487
2002-06-17,1350722402
2002-06-18,1341226990
2002-06-19,1348348549
2002-06-20,1367339374
2002-06-21,1345974696
2002-06-24,1293749928
2002-06-25,1270011397
2002-06-26,1279506810
2002-06-27,1258142132
2002-06-28,1245725208
2002-07-01,1264816782
2002-07-02,1240952315
2002-07-03,1240952315
2002-07-05,1281521910
2002-07-08,1274362569
2002-07-09,1238565868
2002-07-10,1233792974
2002-07-11,1250498102
2002-07-12,1193223380
2002-07-15,1186064039
2002-07-16,1162199572
2002-07-17,1147880891
2002-07-18,1140721551
2002-07-19,1057195914
2002-07-22,1069128148
2002-07-23,1085833275
2002-07-24,1085833275
2002-07-25,1119243530
2002-07-26,1092992616
2002-07-29,1157426678
2002-07-30,1131175764
2002-07-31,1114470636
2002-08-01,1155040231
2002-08-02,1145494444
2002-08-05,1147880891
2002-08-06,1202769167
2002-08-07,1221860741
2002-08-08,1217087847
2002-08-09,1221860741
2002-08-12,1214701400
2002-08-13,1178904699
2002-08-14,1224247187
2002-08-15,1224247187
2002-08-16,1221860741
2002-08-19,1245725208
2002-08-20,1233792974
2002-08-21,1269589676
2002-08-22,1276749016
2002-08-23,1271976123
2002-08-26,1274362569
2002-08-27,1269589676
2002-08-28,1243338761
2002-08-29,1255270995
2002-08-30,1245725208
2002-09-03,1212314954
2002-09-04,1238565868
2002-09-05,1229020081
2002-09-06,1262430336
2002-09-09,1288681250
2002-09-10,1310159271
2002-09-11,1312545718
2002-09-12,1257657442
2002-09-13,1286294803
2002-09-16,1281521910
2002-09-17,1264816782
2002-09-18,1262430336
2002-09-19,1257657442
2002-09-20,1267203229
2002-09-23,1262430336
2002-09-24,1264816782
2002-09-25,1281521910
2002-09-26,1317318611
2002-09-27,1308280165
2002-09-30,1325052988
2002-10-01,1341825811
2002-10-02,1337033576
2002-10-03,1329845223
2002-10-04,1320260753
2002-10-07,1320260753
2002-10-08,1337033576
2002-10-09,1329845223
2002-10-10,1339429693
2002-10-11,1358598633
2002-10-14,1394540396
2002-10-15,1392144279
2002-10-16,1387352044
2002-10-17,1411313219
2002-10-18,1413709336
2002-10-21,1432878276
2002-10-22,1384955926
2002-10-23,1372975338
2002-10-24,1363390868
2002-10-25,1380163691
2002-10-28,1339429693
2002-10-29,1368183103
2002-10-30,1394540396
2002-10-31,1380163691
2002-11-01,1387352044
2002-11-04,1212435465
2002-11-05,1217227700
2002-11-06,1236396640
2002-11-07,1257961698
2002-11-08,1183682054
2002-11-11,1171701467
2002-11-12,1202850995
2002-11-13,1205247112
2002-11-14,1248377227
2002-11-15,1257961698
2002-11-18,1253169462
2002-11-19,1257961698
2002-11-20,1250773345
2002-11-21,1250773345
2002-11-22,1291507343
2002-11-25,1255565580
2002-11-26,1214831582
2002-11-27,1205247112
2002-11-29,1202850995
2002-12-02,1188474289
2002-12-03,1186078172
2002-12-04,1198058760
2002-12-05,1190870407
2002-12-06,1181285937
2002-12-09,1171701467
2002-12-10,1195662642
2002-12-11,1193266524
2002-12-12,1190870407
2002-12-13,1210039347
2002-12-16,1207643230
2002-12-17,1190870407
2002-12-18,1207643230
2002-12-19,1198058760
2002-12-20,1202850995
2002-12-23,1205247112
2002-12-24,1198058760
2002-12-26,1217227700
2002-12-27,1207643230
2002-12-30,1219623817
2002-12-31,1214519635
2003-01-02,1219310640
2003-01-03,1221706142
2003-01-06,1240870160
2003-01-07,1224101644
2003-01-08,1204937626
2003-01-09,1212124133
2003-01-10,1233683653
2003-01-13,1236079155
2003-01-14,1212124133
2003-01-15,1202542124
2003-01-16,1240870160
2003-01-17,1224101644
2003-01-21,1228892649
2003-01-22,1190564613
2003-01-23,1190564613
2003-01-24,1166609590
2003-01-27,1130677057
2003-01-28,1137863564
2003-01-29,1123490550
2003-01-30,1121095048
2003-01-31,1164214088
2003-02-03,1137863564
2003-02-04,1145050070
2003-02-05,1152236577
2003-02-06,1152236577
2003-02-07,1140259066
2003-02-10,1221706142
2003-02-11,1216915137
2003-02-12,1209728631
2003-02-13,1185773608
2003-02-14,1204937626
2003-02-18,1209728631
2003-02-19,1216915137
2003-02-20,1207333128
2003-02-21,1219310640
2003-02-24,1180982604
2003-02-25,1195355617
2003-02-26,1188169111
2003-02-27,1197751120
2003-02-28,1190564613
2003-03-03,1183378106
2003-03-04,1154632079
2003-03-05,1152236577
2003-03-06,1137863564
2003-03-07,1149841075
2003-03-10,1130677057
2003-03-11,1137863564
2003-03-12,1130677057
2003-03-13,1142654568
2003-03-14,1147445572
2003-03-17,1169005093
2003-03-18,1171400595
2003-03-19,1183378106
2003-03-20,1178587102
2003-03-21,1204937626
2003-03-24,1183378106
2003-03-25,1176191599
2003-03-26,1173796097
2003-03-27,1178587102
2003-03-28,1186511303
2003-03-31,1217798619
2003-04-01,1215391903
2003-04-02,1244272502
2003-04-03,1220205336
2003-04-04,1229832203
2003-04-07,1227425486
2003-04-08,1222612053
2003-04-09,1220205336
2003-04-10,1205765036
2003-04-11,1205765036
2003-04-14,1217798619
2003-04-15,1210578469
2003-04-16,1208171753
2003-04-17,1220205336
2003-04-21,1222612053
2003-04-22,1241865786
2003-04-23,1241865786
2003-04-24,1241865786
2003-04-25,1241865786
2003-04-28,1258712802
2003-04-29,1263526236
2003-04-30,1263526236
2003-05-01,1261119519
2003-05-02,1263526236
2003-05-05,1304440418
2003-05-06,1275559819
2003-05-07,1265932952
2003-05-08,1265932952
2003-05-09,1273153102
2003-05-12,1263526236
2003-05-13,1263526236
2003-05-14,1261119519
2003-05-15,1268339669
2003-05-16,1273153102
2003-05-19,1273153102
2003-05-20,1265932952
2003-05-21,1263526236
2003-05-22,1261119519
2003-05-23,1263526236
2003-05-27,1280373252
2003-05-28,1280373252
2003-05-29,1275559819
2003-05-30,1275559819
2003-06-02,1282779969
2003-06-03,1292406835
2003-06-04,1282779969
2003-06-05,1290000119
2003-06-06,1270746385
2003-06-09,1287593402
2003-06-10,1287593402
2003-06-11,1287593402
2003-06-12,1299626985
2003-06-13,1302033702
2003-06-16,1330914301
2003-06-17,1321287435
2003-06-18,1318880718
2003-06-19,1294813552
2003-06-20,1304440418
2003-06-23,1302033702
2003-06-24,1318880718
2003-06-25,1314067285
2003-06-26,1311660568
2003-06-27,1315321867
2003-06-30,1320157609
2003-07-01,1341918449
2003-07-02,1351589933
2003-07-03,1356425675
2003-07-07,1366097160
2003-07-08,1337082707
2003-07-09,1349172062
2003-07-10,1354007804
2003-07-11,1351589933
2003-07-14,1341918449
2003-07-15,1368515031
2003-07-16,1361261418
2003-07-17,1346754191
2003-07-18,1351589933
2003-07-21,1324993351
2003-07-22,1322575480
2003-07-23,1303232512
2003-07-24,1317739738
2003-07-25,1322575480
2003-07-28,1312903996
2003-07-29,1303232512
2003-07-30,1324993351
2003-07-31,1305650383
2003-08-01,1305650383
2003-08-04,1392693742
2003-08-05,1317739738
2003-08-06,1368515031
2003-08-07,1344336320
2003-08-08,1349172062
2003-08-11,1341918449
2003-08-12,1344336320
2003-08-13,1324993351
2003-08-14,1320157609
2003-08-15,1317739738
2003-08-18,1332246965
2003-08-19,1324993351
2003-08-20,1322575480
2003-08-21,1320157609
2003-08-22,1300814641
2003-08-25,1288725285
2003-08-26,1283889543
2003-08-27,1286307414
2003-08-28,1286307414
2003-08-29,1288725285
2003-09-02,1300814641
2003-09-03,1308068254
2003-09-04,1310486125
2003-09-05,1300814641
2003-09-08,1298396769
2003-09-09,1276635930
2003-09-10,1300814641
2003-09-11,1288725285
2003-09-12,1288725285
2003-09-15,1288725285
2003-09-16,1366097160
2003-09-17,1390275871
2003-09-18,1390275871
2003-09-19,1395111613
2003-09-22,1385440128
2003-09-23,1407200968
2003-09-24,1392693742
2003-09-25,1390275871
2003-09-26,1390048155
2003-09-29,1421695486
2003-09-30,1419261076
2003-10-01,1438736357
2003-10-02,1431433127
2003-10-03,1428998716
2003-10-06,1431433127
2003-10-07,1446039587
2003-10-08,1436301947
2003-10-09,1428998716
2003-10-10,1424129896
2003-10-13,1428998716
2003-10-14,1433867537
2003-10-15,1436301947
2003-10-16,1436301947
2003-10-17,1424129896
2003-10-20,1428998716
2003-10-21,1431433127
2003-10-22,1416826666
2003-10-23,1407089026
2003-10-24,1407089026
2003-10-27,1419261076
2003-10-28,1416826666
2003-10-29,1421695486
2003-10-30,1424129896
2003-10-31,1511768659
2003-11-03,1562891271
2003-11-04,1575063321
2003-11-05,1560456861
2003-11-06,1575063321
2003-11-07,1575063321
2003-11-10,1594538602
2003-11-11,1589669782
2003-11-12,1611579472
2003-11-13,1618882703
2003-11-14,1618882703
2003-11-17,1618882703
2003-11-18,1635923573
2003-11-19,1628620343
2003-11-20,1604276242
2003-11-21,1604276242
2003-11-24,1596973012
2003-11-25,1635923573
2003-11-26,1633489163
2003-11-28,1643226804
2003-12-01,1665136494
2003-12-02,1670005314
2003-12-03,1660267674
2003-12-04,1682177365
2003-12-05,1631054753
2003-12-08,1623751523
2003-12-09,1618882703
2003-12-10,1611579472
2003-12-11,1599407422
2003-12-12,1611579472
2003-12-15,1611579472
2003-12-16,1640792393
2003-12-17,1648095624
2003-12-18,1657833264
2003-12-19,1589669782
2003-12-22,1594538602
2003-12-23,1592104192
2003-12-24,1601841832
2003-12-26,1594538602
2003-12-29,1611579472
2003-12-30,1621317113
2003-12-31,1618927200
2004-01-02,1614021360
2004-01-05,1633644720
2004-01-06,1626285960
2004-01-07,1631191800
2004-01-08,1631191800
2004-01-09,1614021360
2004-01-12,1614021360
2004-01-13,1611568440
2004-01-14,1604209680
2004-01-15,1606662600
2004-01-16,1606662600
2004-01-20,1611568440
2004-01-21,1604209680
2004-01-22,1604209680
2004-01-23,1582133400
2004-01-26,1611568440
2004-01-27,1618927200
2004-01-28,1616474280
2004-01-29,1631191800
2004-01-30,1628738880
2004-02-02,1641003480
2004-02-03,1670438520
2004-02-04,1677797280
2004-02-05,1672891440
2004-02-06,1663079760
2004-02-09,1648362240
2004-02-10,1660626840
2004-02-11,1672891440
2004-02-12,1675344360
2004-02-13,1665532680
2004-02-17,1667985600
2004-02-18,1660626840
2004-02-19,1663079760
2004-02-20,1672891440
2004-02-23,1690061880
2004-02-24,1672891440
2004-02-25,1682703120
2004-02-26,1702326480
2004-02-27,1704779400
2004-03-01,1724402760
2004-03-02,1739120280
2004-03-03,1694967720
2004-03-04,1726855680
2004-03-05,1753837800
2004-03-08,1766102400
2004-03-09,1761196560
2004-03-10,1763649480
2004-03-11,1744026120
2004-03-12,1756290720
2004-03-15,1714591080
2004-03-16,1704779400
2004-03-17,1697420640
2004-03-18,1690061880
2004-03-19,1692514800
2004-03-22,1660626840
2004-03-23,1694967720
2004-03-24,1682703120
2004-03-25,1736667360
2004-03-26,1719496920
2004-03-29,1739120280
2004-03-30,1726855680
2004-03-31,1771008240
2004-04-01,1793084520
2004-04-02,1802629553
2004-04-05,1810017379
2004-04-06,1797704336
2004-04-07,1805092162
2004-04-08,1782928684
2004-04-12,1775540858
2004-04-13,1745989554
2004-04-14,1743526945
2004-04-15,1775540858
2004-04-16,1775540858
2004-04-19,1785391293
2004-04-20,1765690423
2004-04-21,1785391293
2004-04-22,1817405205
2004-04-23,1812479988
2004-04-26,1814942597
2004-04-27,1824793031
2004-04-28,1832180857
2004-04-29,1844493901
2004-04-30,1844493901
2004-05-03,1834643466
2004-05-04,1864194770
2004-05-05,1851881727
2004-05-06,1901133900
2004-05-07,1874045205
2004-05-10,1839568683
2004-05-11,1829718249
2004-05-12,1834643466
2004-05-13,1832180857
2004-05-14,1832180857
2004-05-17,1814942597
2004-05-18,1802629553
2004-05-19,1792779119
2004-05-20,1795241727
2004-05-21,1792779119
2004-05-24,1832180857
2004-05-25,1846956510
2004-05-26,1846956510
2004-05-27,1849419118
2004-05-28,1864194770
2004-06-01,1871582596
2004-06-02,1883895640
2004-06-03,1832180857
2004-06-04,1822330423
2004-06-07,1856806944
2004-06-08,1817405205
2004-06-09,1829718249
2004-06-10,1814942597
2004-06-14,1807554771
2004-06-15,1824793031
2004-06-16,1837106075
2004-06-17,1824793031
2004-06-18,1829718249
2004-06-21,1839568683
2004-06-22,1859269553
2004-06-23,1856806944
2004-06-24,1854344336
2004-06-25,1878970422
2004-06-28,1861732162
2004-06-29,1883895640
2004-06-30,1878970422
2004-07-01,1827255640
2004-07-02,1877511400
2004-07-06,1884952000
2004-07-07,1894872800
2004-07-08,1887432200
2004-07-09,1892392600
2004-07-12,1912234200
2004-07-13,1951917400
2004-07-14,1964318400
2004-07-15,1946957000
2004-07-16,1956877800
2004-07-19,1961838200
2004-07-20,1971759000
2004-07-21,1914714400
2004-07-22,1899833200
2004-07-23,1852709400
2004-07-26,1830387600
2004-07-27,1862630200
2004-07-28,1845268800
2004-07-29,1860150000
2004-07-30,1825427200
2004-08-02,1830387600
2004-08-03,1830387600
2004-08-04,1827907400
2004-08-05,1775823200
2004-08-06,1758461800
2004-08-09,1765902400
2004-08-10,1845268800
2004-08-11,1904793600
2004-08-12,1897353000
2004-08-13,1862630200
2004-08-16,1840308400
2004-08-17,1800625200
2004-08-18,1825427200
2004-08-19,1822947000
2004-08-20,1822947000
2004-08-23,1808065800
2004-08-24,1813026200
2004-08-25,1830387600
2004-08-26,1840308400
2004-08-27,1850229200
2004-08-30,1840308400
2004-08-31,1860150000
2004-09-01,1879991600
2004-09-02,1894872800
2004-09-03,1899833200
2004-09-07,1924635200
2004-09-08,1907273800
2004-09-09,1904793600
2004-09-10,1884952000
2004-09-13,1909754000
2004-09-14,1929595600
2004-09-15,1899833200
2004-09-16,1899833200
2004-09-17,1887432200
2004-09-20,1815506400
2004-09-21,1808065800
2004-09-22,1775823200
2004-09-23,1748541000
2004-09-24,1760942000
2004-09-27,1708857800
2004-09-28,1728699400
2004-09-29,1721258800
2004-09-30,1741100400
2004-10-01,1736360240
2004-10-04,1723850440
2004-10-05,1756375920
2004-10-06,1766383760
2004-10-07,1753873960
