,IBM
2000-06-09,202248792000
2000-06-12,200834712000
2000-06-13,201630132000
2000-06-14,196026840000
2000-06-15,197405568000
2000-06-16,191378052000
2000-06-19,203415408000
2000-06-20,196663176000
2000-06-21,193481496000
2000-06-22,188956440000
2000-06-23,189062496000
2000-06-26,193340088000
2000-06-27,185456592000
2000-06-28,192279528000
2000-06-29,192650724000
2000-06-30,184143394000
2000-07-03,184037908000
2000-07-05,176478078000
2000-07-06,170184080000
2000-07-07,176583564000
2000-07-10,173647537000
2000-07-11,171432331000
2000-07-12,175845162000
2000-07-13,174807883000
2000-07-14,174702397000
2000-07-17,177321966000
2000-07-18,173647537000
2000-07-19,182789657000
2000-07-20,197065429000
2000-07-21,192863570000
2000-07-24,189083655000
2000-07-25,188239767000
2000-07-26,184670824000
2000-07-27,185409226000
2000-07-28,187940890000
2000-07-31,188661711000
2000-08-01,185725684000
2000-08-02,192037263000
2000-08-03,194973290000
2000-08-04,194762318000
2000-08-07,195500720000
2000-08-08,199808065000
2000-08-09,199597093000
2000-08-10,201267288000
2000-08-11,202744092000
2000-08-14,207156923000
2000-08-15,205047203000
2000-08-16,205680119000
2000-08-17,205891091000
2000-08-18,202427634000
2000-08-21,204115410000
2000-08-22,204009924000
2000-08-23,207156923000
2000-08-24,209776492000
2000-08-25,216826473000
2000-08-28,221028332000
2000-08-29,223331443000
2000-08-30,219024098000
2000-08-31,221889801000
2000-09-01,224597275000
2000-09-05,220500902000
2000-09-06,220922846000
2000-09-07,224175331000
2000-09-08,217652780000
2000-09-11,209249062000
2000-09-12,210092950000
2000-09-13,214611267000
2000-09-14,213257530000
2000-09-15,210092950000
2000-09-18,207156923000
2000-09-19,209987464000
2000-09-20,209671006000
2000-09-21,204220896000
2000-09-22,208211783000
2000-09-25,206734979000
2000-09-26,200230009000
2000-09-27,198331261000
2000-09-28,193707458000
2000-09-29,189294627000
2000-10-02,196077567000
2000-10-03,184013130000
2000-10-04,190367415000
2000-10-05,188382789000
2000-10-06,193065810000
2000-10-09,196286475000
2000-10-10,191185638000
2000-10-11,186398163000
2000-10-12,171635331000
2000-10-13,181523643000
2000-10-16,184953216000
2000-10-17,188069427000
2000-10-18,158839716000
2000-10-19,160510980000
2000-10-20,157690722000
2000-10-23,154574511000
2000-10-24,152189478000
2000-10-25,145730739000
2000-10-26,154365603000
2000-10-27,155932413000
2000-10-30,155305689000
2000-10-31,163940553000
2000-11-01,164045007000
2000-11-02,169650705000
2000-11-03,166638948000
2000-11-06,166952310000
2000-11-07,170277429000
2000-11-08,166430040000
2000-11-09,165489954000
2000-11-10,154783419000
2000-11-13,162164835000
2000-11-14,165594408000
2000-11-15,165385500000
2000-11-16,163522737000
2000-11-17,169650705000
2000-11-20,171844239000
2000-11-21,163940553000
2000-11-22,163940553000
2000-11-24,166325586000
2000-11-27,163836099000
2000-11-28,162896013000
2000-11-29,166116678000
2000-11-30,155619051000
2000-12-01,159153078000
2000-12-04,163731645000
2000-12-05,172053147000
2000-12-06,161033250000
2000-12-07,154992327000
2000-12-08,161433657000
2000-12-11,158108538000
2000-12-12,156245775000
2000-12-13,151876116000
2000-12-14,153843333000
2000-12-15,146148555000
2000-12-18,150622668000
2000-12-19,149995944000
2000-12-20,143136798000
2000-12-21,135755382000
2000-12-22,148133181000
2000-12-26,141152172000
2000-12-27,140943264000
2000-12-28,141883350000
2000-12-29,141465534000
2001-01-02,141152172000
2001-01-03,157481814000
2001-01-04,155096781000
2001-01-05,156454683000
2001-01-08,155723505000
2001-01-09,154052241000
2001-01-10,155514597000
2001-01-11,155932413000
2001-01-12,156141321000
2001-01-16,154365603000
2001-01-17,160928796000
2001-01-18,180270195000
2001-01-19,185162124000
2001-01-22,180688011000
2001-01-23,181523643000
2001-01-24,183804222000
2001-01-25,184326492000
2001-01-26,190054053000
2001-01-29,191359728000
2001-01-30,194075532000
2001-01-31,186398163000
2001-02-01,189810327000
2001-02-02,183525678000
2001-02-05,186763752000
2001-02-06,190054053000
2001-02-07,194580393000
2001-02-08,189897372000
2001-02-09,186398163000
2001-02-12,191237865000
2001-02-13,189322875000
2001-02-14,191568636000
2001-02-15,194354076000
2001-02-16,191394546000
2001-02-20,185579940000
2001-02-21,178929702000
2001-02-22,181245099000
2001-02-23,173097687000
2001-02-26,175256403000
2001-02-27,170747472000
2001-02-28,166273359000
2001-03-01,176509851000
2001-03-02,170260020000
2001-03-05,174612270000
2001-03-06,176422806000
2001-03-07,178999338000
2001-03-08,177206211000
2001-03-09,165246228000
2001-03-12,158926761000
2001-03-13,163749054000
2001-03-14,158038902000
2001-03-15,159048624000
2001-03-16,149961126000
2001-03-19,154121877000
2001-03-20,146966778000
2001-03-21,148255044000
2001-03-22,148289862000
2001-03-23,155636460000
2001-03-26,158770080000
2001-03-27,165594408000
2001-03-28,157133634000
2001-03-29,158178174000
2001-03-30,160075755000
2001-04-02,157307100000
2001-04-03,150197862000
2001-04-04,152874690000
2001-04-05,163199598000
2001-04-06,162765048000
2001-04-09,159531996000
2001-04-10,164590158000
2001-04-11,161913330000
2001-04-12,159862254000
2001-04-16,160783500000
2001-04-17,165685224000
2001-04-18,176983524000
2001-04-19,190228608000
2001-04-20,190819596000
2001-04-23,186109074000
2001-04-24,187238904000
2001-04-25,190854360000
2001-04-26,189011868000
2001-04-27,193096638000
2001-04-30,191341056000
2001-05-01,196938060000
2001-05-02,191775606000
2001-05-03,188942340000
2001-05-04,192523032000
2001-05-07,192592560000
2001-05-08,195582264000
2001-05-09,194400288000
2001-05-10,191427966000
2001-05-11,185796198000
2001-05-14,187047702000
2001-05-15,188751138000
2001-05-16,192436122000
2001-05-17,191219382000
2001-05-18,195165096000
2001-05-21,197807160000
2001-05-22,196103724000
2001-05-23,195095568000
2001-05-24,198745788000
2001-05-25,195756084000
2001-05-29,191549640000
2001-05-30,187204140000
2001-05-31,185778816000
2001-06-01,187603926000
2001-06-04,188838048000
2001-06-05,194382906000
2001-06-06,195252006000
2001-06-07,194834838000
2001-06-08,192922818000
2001-06-11,195026040000
2001-06-12,194834838000
2001-06-13,193652862000
2001-06-14,192349212000
2001-06-15,188768520000
2001-06-18,189880968000
2001-06-19,190836978000
2001-06-20,187934184000
2001-06-21,187117230000
2001-06-22,187569162000
2001-06-25,187204140000
2001-06-26,187847274000
2001-06-27,188646846000
2001-06-28,191271528000
2001-06-29,188612082000
2001-07-02,189320376000
2001-07-03,187051718000
2001-07-05,185597006000
2001-07-06,176331876000
2001-07-09,173370498000
2001-07-10,168815864000
2001-07-11,171933104000
2001-07-12,177561454000
2001-07-13,179691568000
2001-07-16,178513944000
2001-07-17,179691568000
2001-07-18,172643142000
2001-07-19,172192874000
2001-07-20,174998390000
2001-07-23,175258160000
2001-07-24,173024138000
2001-07-25,173664904000
2001-07-26,175500612000
2001-07-27,173353180000
2001-07-30,175258160000
2001-07-31,174184444000
2001-08-01,177249730000
2001-08-02,180141836000
2001-08-03,179102756000
2001-08-06,176349194000
2001-08-07,175916244000
2001-08-08,172504598000
2001-08-09,172314100000
2001-08-10,173751494000
2001-08-13,175258160000
2001-08-14,175829654000
2001-08-15,173855402000
2001-08-16,175084980000
2001-08-17,173162682000
2001-08-20,172348736000
2001-08-21,168694638000
2001-08-22,172123602000
2001-08-23,170530346000
2001-08-24,177128504000
2001-08-27,176920688000
2001-08-28,173751494000
2001-08-29,172400690000
2001-08-30,166166210000
2001-08-31,165473490000
2001-09-04,168036554000
2001-09-05,166148892000
2001-09-06,162252342000
2001-09-07,159914412000
2001-09-10,159723914000
2001-09-17,154545832000
2001-09-18,159602688000
2001-09-19,158944604000
2001-09-20,154632422000
2001-09-21,149835336000
2001-09-24,156953034000
2001-09-25,156381540000
2001-09-26,151151504000
2001-09-27,149004072000
2001-09-28,151861542000
2001-10-01,152301792000
2001-10-02,154054560000
2001-10-03,159278496000
2001-10-04,159862752000
2001-10-05,161031264000
2001-10-08,161821728000
2001-10-09,159587808000
2001-10-10,159759648000
2001-10-11,163299552000
2001-10-12,165670944000
2001-10-15,167561184000
2001-10-16,167320608000
2001-10-17,169039008000
2001-10-18,166358304000
2001-10-19,168643776000
2001-10-22,172905408000
2001-10-23,173833344000
2001-10-24,178369920000
2001-10-25,181789536000
2001-10-26,182614368000
2001-10-29,178438656000
2001-10-30,178490208000
2001-10-31,177545088000
2001-11-01,180535104000
2001-11-02,179882112000
2001-11-05,180655392000
2001-11-06,186635424000
2001-11-07,187030656000
2001-11-08,186961920000
2001-11-09,187408704000
2001-11-12,188697504000
2001-11-13,191721888000
2001-11-14,187855488000
2001-11-15,188508480000
2001-11-16,188096064000
2001-11-19,188920896000
2001-11-20,189642624000
2001-11-21,187838304000
2001-11-23,189505152000
2001-11-26,191103264000
2001-11-27,187614912000
2001-11-28,184246848000
2001-11-29,187992960000
2001-11-30,189900384000
2001-12-03,187494624000
2001-12-04,191618784000
2001-12-05,199437504000
2001-12-06,197375424000
2001-12-07,197805024000
2001-12-10,196584960000
2001-12-11,199609344000
2001-12-12,202393152000
2001-12-13,197547264000
2001-12-14,198939168000
2001-12-17,199334400000
2001-12-18,200760672000
2001-12-19,203527296000
2001-12-20,201568320000
2001-12-21,200416992000
2001-12-24,199523424000
2001-12-26,201087168000
2001-12-27,202891488000
2001-12-28,201912000000
2001-12-31,198715776000
2002-01-02,199609344000
2002-01-03,203149248000
2002-01-04,206345472000
2002-01-07,203785056000
2002-01-08,204867648000
2002-01-09,204523968000
2002-01-10,200657568000
2002-01-11,197650368000
2002-01-14,193938624000
2002-01-15,195244608000
2002-01-16,192873216000
2002-01-17,196980192000
2002-01-18,187700832000
2002-01-22,181531776000
2002-01-23,177252960000
2002-01-24,178610496000
2002-01-25,179521248000
2002-01-28,177665376000
2002-01-29,169210848000
2002-01-30,173403744000
2002-01-31,177252960000
2002-02-01,177424800000
2002-02-04,175448640000
2002-02-05,174640992000
2002-02-06,175173696000
2002-02-07,170705856000
2002-02-08,172475808000
2002-02-11,176410944000
2002-02-12,175070592000
2002-02-13,177545088000
2002-02-14,177252960000
2002-02-15,169039008000
2002-02-19,166427040000
2002-02-20,163144896000
2002-02-21,158333376000
2002-02-22,161735808000
2002-02-25,161495232000
2002-02-26,159604992000
2002-02-27,160721952000
2002-02-28,161185920000
2002-03-01,169245216000
2002-03-04,173970816000
2002-03-05,173592768000
2002-03-06,174640992000
2002-03-07,170379360000
2002-03-08,172647648000
2002-03-11,172888224000
2002-03-12,178249632000
2002-03-13,176084448000
2002-03-14,175122144000
2002-03-15,175431456000
2002-03-18,174709728000
2002-03-19,176582784000
2002-03-20,173317824000
2002-03-21,175414272000
2002-03-22,173489664000
2002-03-25,170138784000
2002-03-26,169039008000
2002-03-27,169846656000
2002-03-28,170860512000
2002-04-01,167669700000
2002-04-02,164549550000
2002-04-03,162929800000
2002-04-04,164379050000
2002-04-05,158513850000
2002-04-08,142486850000
2002-04-09,143015400000
2002-04-10,145095500000
2002-04-11,137235449999
2002-04-12,139537200000
2002-04-15,139128000000
2002-04-16,140509050000
2002-04-17,138241400000
2002-04-18,144993200000
2002-04-19,145078450000
2002-04-22,143322300000
2002-04-23,142350450000
2002-04-24,141003500000
2002-04-25,141344500000
2002-04-26,138070900000
2002-04-29,136741000000
2002-04-30,136536400000
2002-05-01,137405950000
2002-05-02,136689850000
2002-05-03,133296900000
2002-05-06,123885300000
2002-05-07,124703700000
2002-05-08,134388099999
2002-05-09,130279050000
2002-05-10,129886900000
2002-05-13,133978900000
2002-05-14,139332600000
2002-05-15,137729900000
2002-05-16,139281450000
2002-05-17,139673600000
2002-05-20,137661700000
2002-05-21,136024900000
2002-05-22,136928550000
2002-05-23,137491200000
2002-05-24,135462250000
2002-05-28,133791350000
2002-05-29,133007050000
2002-05-30,134064149999
2002-05-31,131131550000
2002-06-03,127312350000
2002-06-04,129273099999
2002-06-05,131302050000
2002-06-06,129852800000
2002-06-07,127636300000
2002-06-10,125181100000
2002-06-11,123049850000
2002-06-12,121685850000
2002-06-13,123237400000
2002-06-14,124158099999
2002-06-17,125743750000
2002-06-18,123782999999
2002-06-19,119554600000
2002-06-20,116673150000
2002-06-21,112069650000
2002-06-24,113604149999
2002-06-25,111813900000
2002-06-26,114183850000
2002-06-27,117201699999
2002-06-28,117355150000
2002-07-01,109257014999
2002-07-02,110829180000
2002-07-03,113956605000
2002-07-05,118791435000
2002-07-08,115224480000
2002-07-09,112604205000
2002-07-10,111133469999
2002-07-11,112181580000
2002-07-12,111860385000
2002-07-15,114751139999
2002-07-16,111539190000
2002-07-17,114243990000
2002-07-18,116441639999
2002-07-19,116357115000
2002-07-22,110710844999
2002-07-23,108361049999
2002-07-24,112384440000
2002-07-25,112080150000
2002-07-26,107312940000
2002-07-29,115038525000
2002-07-30,116019014999
2002-07-31,113770650000
2002-08-01,110305125000
2002-08-02,109696545000
2002-08-05,106653645000
2002-08-06,109730355000
2002-08-07,111792764999
2002-08-08,115731629999
2002-08-09,116086635000
2002-08-12,115985205000
2002-08-13,116204969999
2002-08-14,121090514999
2002-08-15,123643170000
2002-08-16,128241330000
2002-08-19,133312830000
2002-08-20,131351850000
2002-08-21,130912320000
2002-08-22,132501389999
2002-08-23,129931830000
2002-08-26,128359665000
2002-08-27,125992965000
2002-08-28,122933160000
2002-08-29,123829125000
2002-08-30,121834334999
2002-09-03,116931885000
2002-09-04,119163344999
2002-09-05,116661405000
2002-09-06,118301190000
2002-09-09,120397410000
2002-09-10,122189340000
2002-09-11,119924070000
2002-09-12,116154254999
2002-09-13,117168555000
2002-09-16,116881170000
2002-09-17,115951395000
2002-09-18,112401344999
2002-09-19,104726475000
2002-09-20,103306455000
2002-09-23,102410490000
2002-09-24,96561360000
2002-09-25,101835720000
2002-09-26,100229745000
2002-09-27,97558755000
2002-09-30,94729138935
2002-10-01,99367893182
2002-10-02,96870102433
2002-10-03,97464814516
2002-10-04,91942488031
2002-10-07,92367282376
2002-10-08,92673134305
2002-10-09,89461689057
2002-10-10,93539714769
2002-10-11,103836729691
2002-10-14,103021124549
2002-10-15,111245143068
2002-10-16,105433956429
2002-10-17,117277222767
2002-10-18,120607610432
2002-10-21,122731582157
2002-10-22,120998421229
2002-10-23,121185330741
2002-10-24,117124296803
2002-10-25,121117363646
2002-10-28,124362792442
2002-10-29,124668644370
2002-10-30,127795130749
2002-10-31,128236916868
2002-11-01,130598773426
2002-11-04,134014119960
2002-11-05,132688761604
2002-11-06,132450876771
2002-11-07,128253908642
2002-11-08,126044978048
2002-11-11,125552216608
2002-11-12,128576752344
2002-11-13,128899596046
2002-11-14,131125518414
2002-11-15,129970077796
2002-11-18,128627727666
2002-11-19,127302369309
2002-11-20,132569819187
2002-11-21,137922227934
2002-11-22,137157598113
2002-11-25,140029207885
2002-11-26,138177104541
2002-11-27,142459031539
2002-11-29,141201640278
2002-12-02,141813344134
2002-12-03,138414989374
2002-12-04,135951182173
2002-12-05,134931675745
2002-12-06,133725259806
2002-12-09,129290406844
2002-12-10,131261452605
2002-12-11,132297950806
2002-12-12,130224954403
2002-12-13,129953086022
2002-12-16,132586810961
2002-12-17,130462839236
2002-12-18,128542768797
2002-12-19,127778138976
2002-12-20,129613250546
2002-12-23,130377880367
2002-12-24,129562275225
2002-12-26,127523262369
2002-12-27,125671159024
2002-12-30,123870031002
2002-12-31,127827477000
2003-01-02,132899859000
2003-01-03,134676918000
2003-01-06,137868723000
2003-01-07,141854166000
2003-01-08,138869397000
2003-01-09,143493201000
2003-01-10,144614646000
2003-01-13,144338598000
2003-01-14,146098404000
2003-01-15,144476622000
2003-01-16,141940431000
2003-01-17,134090316000
2003-01-21,132848100000
2003-01-22,131467860000
2003-01-23,133693496999
2003-01-24,130294656000
2003-01-27,129345741000
2003-01-28,132140727000
2003-01-29,132485787000
2003-01-30,129155958000
2003-01-31,128983428000
2003-02-03,128948921999
2003-02-04,127154610000
2003-02-05,127430658000
2003-02-06,127844729999
2003-02-07,127171862999
2003-02-10,128500344000
2003-02-11,127654946999
2003-02-12,126188442000
2003-02-13,125118756000
2003-02-14,127741212000
2003-02-18,130846752000
2003-02-19,131140053000
2003-02-20,130553451000
2003-02-21,131864679000
2003-02-24,129587283000
2003-02-25,130415427000
2003-02-26,127672200000
2003-02-27,127465163999
2003-02-28,128569356000
2003-03-03,127551429000
2003-03-04,126516249000
2003-03-05,128207043000
2003-03-06,127120104000
2003-03-07,128483091000
2003-03-10,124859961000
2003-03-11,124290612000
2003-03-12,123997311000
2003-03-13,129397500000
2003-03-14,130311909000
2003-03-17,136005399000
2003-03-18,136022652000
2003-03-19,135246267000
2003-03-20,135591327000
2003-03-21,140042601000
2003-03-24,135660338999
2003-03-25,137644434000
2003-03-26,134504387999
2003-03-27,134349111000
2003-03-28,133348437000
2003-03-31,129700404000
2003-04-01,130202046000
2003-04-02,134716823999
2003-04-03,135460638000
2003-04-04,133609751999
2003-04-07,133073514000
2003-04-08,132416190000
2003-04-09,130167450000
2003-04-10,130669092000
2003-04-11,130236642000
2003-04-14,132416190000
2003-04-15,136913670000
2003-04-16,137069351999
2003-04-17,139335390000
2003-04-21,137847762000
2003-04-22,141601428000
2003-04-23,141809004000
2003-04-24,140892210000
2003-04-25,138712662000
2003-04-28,140771124000
2003-04-29,141653322000
2003-04-30,140407866000
2003-05-01,142033878000
2003-05-02,144818856000
2003-05-05,143089056000
2003-05-06,144715068000
2003-05-07,143348526000
2003-05-08,142310646000
2003-05-09,144784260000
2003-05-12,147188682000
2003-05-13,148797396000
2003-05-14,146687040000
2003-05-15,148676310000
2003-05-16,147171384000
2003-05-19,142967970000
2003-05-20,141843600000
2003-05-21,142518222000
2003-05-22,142345242000
2003-05-23,140995998000
2003-05-27,145009134000
2003-05-28,144818856000
2003-05-29,144472896000
2003-05-30,145597266000
2003-06-02,144421002000
2003-06-03,138608874000
2003-06-04,139318092000
2003-06-05,135443340000
2003-06-06,132381594000
2003-06-09,135599022000
2003-06-10,135131976000
2003-06-11,138868344000
2003-06-12,138833748000
2003-06-13,136844478000
2003-06-16,139733244000
2003-06-17,139404582000
2003-06-18,140079204000
2003-06-19,139819734000
2003-06-20,140442462000
2003-06-23,137553696000
2003-06-24,138297510000
2003-06-25,136412028000
2003-06-26,139491072000
2003-06-27,137951550000
2003-06-30,135861462000
2003-07-01,137652966000
2003-07-02,139547826000
2003-07-03,138255876000
2003-07-07,141769980000
2003-07-08,142045596000
2003-07-09,140753646000
2003-07-10,138376458000
2003-07-11,139806216000
2003-07-14,140667516000
2003-07-15,142355664000
2003-07-16,142855218000
2003-07-17,137239542000
2003-07-18,137876904000
2003-07-21,135861462000
2003-07-22,134793450000
2003-07-23,135534168000
2003-07-24,134242218000
2003-07-25,137601288000
2003-07-28,135930366000
2003-07-29,134707320000
2003-07-30,133329240000
2003-07-31,133811568000
2003-08-01,133846020000
2003-08-04,133604856000
2003-08-05,131503284000
2003-08-06,131331023999
2003-08-07,132881364000
2003-08-08,133191431999
2003-08-11,133432595999
2003-08-12,134242218000
2003-08-13,133725437999
2003-08-14,134311122000
2003-08-15,134690094000
2003-08-18,137549610000
2003-08-19,136447145999
2003-08-20,136774440000
2003-08-21,136447145999
2003-08-22,136636631999
2003-08-25,134982936000
2003-08-26,135861462000
2003-08-27,135034614000
2003-08-28,134879580000
2003-08-29,135051840000
2003-09-02,141235974000
2003-09-03,142166178000
2003-09-04,144767304000
2003-09-05,143199738000
2003-09-08,146731068000
2003-09-09,147265074000
2003-09-10,144663948000
2003-09-11,144784530000
2003-09-12,146076480000
2003-09-15,145731960000
2003-09-16,148694832000
2003-09-17,149246064000
2003-09-18,151502670000
2003-09-19,153621468000
2003-09-22,150503562000
2003-09-23,150417432000
2003-09-24,147230622000
2003-09-25,147247848000
2003-09-26,146644938000
2003-09-29,147316752000
2003-09-30,142864065000
2003-10-01,146129046000
2003-10-02,145689204000
2003-10-03,146585805000
2003-10-06,147465489000
2003-10-07,148311339000
2003-10-08,149867703000
2003-10-09,149512446000
2003-10-10,149867703000
2003-10-13,150730470000
2003-10-14,149952288000
2003-10-15,149986122000
2003-10-16,144386595000
2003-10-17,144318927000
2003-10-20,143946753000
2003-10-21,143828334000
2003-10-22,143067069000
2003-10-23,142559559000
2003-10-24,142999401000
2003-10-27,143168571000
2003-10-28,145401615000
2003-10-29,144488097000
2003-10-30,144132840000
2003-10-31,144708018000
2003-11-03,145046358000
2003-11-04,144166674000
2003-11-05,143117820000
2003-11-06,144488097000
2003-11-07,142745646000
2003-11-10,145469283000
2003-11-11,144521931000
2003-11-12,146670390000
2003-11-13,147313236000
2003-11-14,145959876000
2003-11-17,145232445000
2003-11-18,143862168000
2003-11-19,144589599000
2003-11-20,142948650000
2003-11-21,143337741000
2003-11-24,145012524000
2003-11-25,144640350000
2003-11-26,145418532000
2003-11-28,146433552000
2003-12-01,147194817000
2003-12-02,146771892000
2003-12-03,146044461000
2003-12-04,147854580000
2003-12-05,146585805000
2003-12-08,147499323000
2003-12-09,146568888000
2003-12-10,148362090000
2003-12-11,149444778000
2003-12-12,149935371000
2003-12-15,148971102000
2003-12-16,151999245000
2003-12-17,151051893000
2003-12-18,149969205000
2003-12-19,150628968000
2003-12-22,151034976000
2003-12-23,150070707000
2003-12-24,149224857000
2003-12-26,150239877000
2003-12-29,151254897000
2003-12-30,149816952000
2003-12-31,149884620000
2004-01-02,148057584000
2004-01-05,150493632000
2004-01-06,150510549000
2004-01-07,150053790000
2004-01-08,150476715000
2004-01-09,147516240000
2004-01-12,148057584000
2004-01-13,145080192000
2004-01-14,146061378000
2004-01-15,152066913000
2004-01-16,154164621000
2004-01-20,157040511000
2004-01-21,158004780000
2004-01-22,157700274000
2004-01-23,158326203000
2004-01-26,161489682000
2004-01-27,159797982000
2004-01-28,157497270000
2004-01-29,158512290000
2004-01-30,160491579000
2004-02-02,160745334000
2004-02-03,161726520000
2004-02-04,162031026000
2004-02-05,159882567000
2004-02-06,160017903000
2004-02-09,160034820000
2004-02-10,161100591000
2004-02-11,161658852000
2004-02-12,160593081000
2004-02-13,161269761000
2004-02-17,160711500000
2004-02-18,159172053000
2004-02-19,158173950000
2004-02-20,157378851000
2004-02-23,155196558000
2004-02-24,156533001000
2004-02-25,156126993000
2004-02-26,156533001000
2004-02-27,156076242000
2004-03-01,156939009000
2004-03-02,156583752000
2004-03-03,156617586000
2004-03-04,155890155000
2004-03-05,155991657000
2004-03-08,152980431000
2004-03-09,152878929000
2004-03-10,150510549000
2004-03-11,147516240000
2004-03-12,150899640000
2004-03-15,148497426000
2004-03-16,149512446000
2004-03-17,151034976000
2004-03-18,150172209000
2004-03-19,148176003000
2004-03-22,147211734000
2004-03-23,147685410000
2004-03-24,148412841000
2004-03-25,149427861000
2004-03-26,150036873000
2004-03-29,149884620000
2004-03-30,149309442000
2004-03-31,147468880000
2004-04-01,148325476000
2004-04-02,151264776000
2004-04-05,151231184000
2004-04-06,150458568000
2004-04-07,149467604000
2004-04-08,149517992000
2004-04-12,150525752000
2004-04-13,149400420000
2004-04-14,150458568000
2004-04-15,150055464000
2004-04-16,148174312000
2004-04-19,147636840000
2004-04-20,145554136000
2004-04-21,146545100000
2004-04-22,145705300000
2004-04-23,146578692000
2004-04-26,145201420000
2004-04-27,146293160000
2004-04-28,145167828000
2004-04-29,143034736000
2004-04-30,141573484000
2004-05-03,141338340000
2004-05-04,142917164000
2004-05-05,142849980000
2004-05-06,141875812000
2004-05-07,141607076000
2004-05-10,139507576000
2004-05-11,139910680000
2004-05-12,139390004000
2004-05-13,140011456000
2004-05-14,138751756000
2004-05-17,137340892000
2004-05-18,138197488000
2004-05-19,139776312000
2004-05-20,140380968000
2004-05-21,139910680000
2004-05-24,139860292000
2004-05-25,142430080000
2004-05-26,141859016000
2004-05-27,142245324000
2004-05-28,142245324000
2004-06-01,141489504000
2004-06-02,141271156000
2004-06-03,140263396000
2004-06-04,140599316000
2004-06-07,142329304000
2004-06-08,144579968000
2004-06-09,144663948000
2004-06-10,145251808000
2004-06-14,144630356000
2004-06-15,145386176000
2004-06-16,145134236000
2004-06-17,145218216000
2004-06-18,144613560000
2004-06-21,143689780000
2004-06-22,144546376000
2004-06-23,145789280000
2004-06-24,144495988000
2004-06-25,143790556000
2004-06-28,142446876000
2004-06-29,141775036000
2004-06-30,140697192000
2004-07-01,139662040000
2004-07-02,138927416000
2004-07-06,136790328000
2004-07-07,136239359999
2004-07-08,133517912000
2004-07-09,133901920000
2004-07-12,134235840000
2004-07-13,136072400000
2004-07-14,134285928000
2004-07-15,134118968000
2004-07-16,134519671999
2004-07-19,136155880000
2004-07-20,137842176000
2004-07-21,136155880000
2004-07-22,137374688000
2004-07-23,135437952000
2004-07-26,135821959999
2004-07-27,137074159999
2004-07-28,137024071999
2004-07-29,138493320000
2004-07-30,138977504000
2004-08-02,138376448000
2004-08-03,136807024000
2004-08-04,137224424000
2004-08-05,135972224000
2004-08-06,133250776000
2004-08-09,133367648000
2004-08-10,135655000000
2004-08-11,133584696000
2004-08-12,131213864000
2004-08-13,133935312000
2004-08-16,134118968000
2004-08-17,134135664000
2004-08-18,135888744000
2004-08-19,135504736000
2004-08-20,136072400000
2004-08-23,135120728000
