,CHRW
2001-07-06,2334943800
2001-07-09,2346744960
2001-07-10,2287739160
2001-07-11,2336629680
2001-07-12,2399007240
2001-07-13,2410808400
2001-07-16,2441154240
2001-07-17,2444526000
2001-07-18,2441154240
2001-07-19,2471500080
2001-07-20,2527134120
2001-07-23,2508589440
2001-07-24,2505217680
2001-07-25,2511961200
2001-07-26,2564223480
2001-07-27,2604684600
2001-07-30,2604684600
2001-07-31,2592883440
2001-08-01,2570967000
2001-08-02,2599626960
2001-08-03,2569281120
2001-08-06,2525448240
2001-08-07,2533877640
2001-08-08,2532191760
2001-08-09,2508589440
2001-08-10,2528820000
2001-08-13,2525448240
2001-08-14,2567595240
2001-08-15,2581082280
2001-08-16,2601312840
2001-08-17,2591197560
2001-08-20,2591197560
2001-08-21,2597941080
2001-08-22,2645145720
2001-08-23,2609742240
2001-08-24,2599626960
2001-08-27,2552422320
2001-08-28,2517018840
2001-08-29,2592883440
2001-08-30,2614799880
2001-08-31,2621543400
2001-09-04,2633344560
2001-09-05,2613114000
2001-09-06,2466442440
2001-09-07,2360232000
2001-09-10,2360232000
2001-09-17,2361917880
2001-09-18,2323142640
2001-09-19,2260765080
2001-09-20,2265822720
2001-09-21,2218618080
2001-09-24,2237162760
2001-09-25,2225361600
2001-09-26,2301226200
2001-09-27,2323142640
2001-09-28,2441154240
2001-10-01,2328241240
2001-10-02,2348516200
2001-10-03,2387376540
2001-10-04,2407651500
2001-10-05,2392445280
2001-10-08,2407651500
2001-10-09,2404272340
2001-10-10,2449891000
2001-10-11,2512405460
2001-10-12,2503957560
2001-10-15,2488751340
2001-10-16,2485372180
2001-10-17,2394134860
2001-10-18,2299518380
2001-10-19,2307966280
2001-10-22,2299518380
2001-10-23,2321482920
2001-10-24,2291070480
2001-10-25,2257278880
2001-10-26,2275864260
2001-10-29,2262347620
2001-10-30,2247141400
2001-10-31,2262347620
2001-11-01,2301207960
2001-11-02,2334999560
2001-11-05,2353584940
2001-11-06,2407651500
2001-11-07,2419478560
2001-11-08,2429616040
2001-11-09,2446511840
2001-11-12,2389066120
2001-11-13,2387376540
2001-11-14,2490440920
2001-11-15,2439753520
2001-11-16,2460028480
2001-11-19,2530990840
2001-11-20,2458338900
2001-11-21,2488751340
2001-11-23,2500578400
2001-11-26,2434684780
2001-11-27,2411030660
2001-11-28,2367101580
2001-11-29,2389066120
2001-11-30,2346826620
2001-12-03,2328241240
2001-12-04,2316414180
2001-12-05,2360343260
2001-12-06,2426236880
2001-12-07,2441443100
2001-12-10,2350205780
2001-12-11,2272485100
2001-12-12,2235314340
2001-12-13,2253899720
2001-12-14,2267416360
2001-12-17,2329930820
2001-12-18,2414409820
2001-12-19,2429616040
2001-12-20,2427926460
2001-12-21,2434684780
2001-12-24,2487061760
2001-12-26,2544507480
2001-12-27,2529301260
2001-12-28,2524232520
2001-12-31,2445677640
2002-01-02,2433838260
2002-01-03,2433838260
2002-01-04,2482887120
2002-01-07,2511639900
2002-01-08,2540392680
2002-01-09,2486269800
2002-01-10,2511639900
2002-01-11,2477813100
2002-01-14,2410159500
2002-01-15,2423690220
2002-01-16,2416924860
2002-01-17,2515022580
2002-01-18,2503183200
2002-01-22,2504874540
2002-01-23,2537010000
2002-01-24,2579293500
2002-01-25,2596206900
2002-01-28,2621577000
2002-01-29,2613120300
2002-01-30,2674008540
2002-01-31,2624959680
2002-02-01,2614811640
2002-02-04,2555614740
2002-02-05,2570836800
2002-02-06,2420307540
2002-02-07,2421998880
2002-02-08,2489652480
2002-02-11,2493035160
2002-02-12,2486269800
2002-02-13,2494726500
2002-02-14,2474430420
2002-02-15,2474430420
2002-02-19,2425381560
2002-02-20,2479504440
2002-02-21,2410159500
2002-02-22,2428764240
2002-02-25,2464282380
2002-02-26,2472739080
2002-02-27,2509948560
2002-02-28,2460899700
2002-03-01,2506565880
2002-03-04,2565762780
2002-03-05,2572528140
2002-03-06,2594515560
2002-03-07,2591132880
2002-03-08,2635107720
2002-03-11,2619885660
2002-03-12,2587750200
2002-03-13,2618194320
2002-03-14,2626651020
2002-03-15,2655403800
2002-03-18,2657095140
2002-03-19,2675699880
2002-03-20,2706144000
2002-03-21,2663860500
2002-03-22,2741662140
2002-03-25,2772106260
2002-03-26,2785636980
2002-03-27,2832994500
2002-03-28,2841451200
2002-04-01,2823669719
2002-04-02,2779813440
2002-04-03,2727523260
2002-04-04,2783187000
2002-04-05,2810175480
2002-04-08,2771379540
2002-04-09,2825356500
2002-04-10,2943431100
2002-04-11,2896201260
2002-04-12,2945117880
2002-04-15,2897888040
2002-04-16,2955238560
2002-04-17,2924876520
2002-04-18,2894514480
2002-04-19,2906321940
2002-04-22,2845597860
2002-04-23,2862465660
2002-04-24,2719089360
2002-04-25,2737643940
2002-04-26,2710655460
2002-04-29,2678606640
2002-04-30,2654991720
2002-05-01,2725836480
2002-05-02,2746077840
2002-05-03,2783187000
2002-05-06,2791620900
2002-05-07,2786560560
2002-05-08,2783187000
2002-05-09,2729210040
2002-05-10,2739330719
2002-05-13,2825356500
2002-05-14,2887767360
2002-05-15,2901261600
2002-05-16,2837163960
2002-05-17,2909695500
2002-05-20,2867526000
2002-05-21,2855718540
2002-05-22,2886080580
2002-05-23,2909695500
2002-05-24,2894514480
2002-05-28,2837163960
2002-05-29,2837163960
2002-05-30,2865839219
2002-05-31,2857405320
2002-06-03,2816922600
2002-06-04,2798368020
2002-06-05,2825356500
2002-06-06,2762945640
2002-06-07,2768005980
2002-06-10,2806801920
2002-06-11,2783187000
2002-06-12,2837163960
2002-06-13,2827043280
2002-06-14,2889454140
2002-06-17,2897888040
2002-06-18,2943431100
2002-06-19,2904635160
2002-06-20,2909695500
2002-06-21,2909695500
2002-06-24,2875959900
2002-06-25,2825356500
2002-06-26,2811862260
2002-06-27,2821982940
2002-06-28,2828730060
2002-07-01,2751290880
2002-07-02,2739490000
2002-07-03,2727689120
2002-07-05,2758034240
2002-07-08,2720945760
2002-07-09,2685543120
2002-07-10,2660255520
2002-07-11,2641711280
2002-07-12,2645082960
2002-07-15,2624852880
2002-07-16,2651826320
2002-07-17,2666998880
2002-07-18,2616423680
2002-07-19,2550675920
2002-07-22,2398950320
2002-07-23,2328145040
2002-07-24,2326459200
2002-07-25,2481556480
2002-07-26,2407379520
2002-07-29,2557419280
2002-07-30,2545618400
2002-07-31,2528760000
2002-08-01,2397264480
2002-08-02,2356804320
2002-08-05,2243853040
2002-08-06,2371976880
2002-08-07,2441096320
2002-08-08,2486614000
2002-08-09,2498414880
2002-08-12,2471441440
2002-08-13,2387149440
2002-08-14,2489985680
2002-08-15,2511901600
2002-08-16,2528760000
2002-08-19,2537189200
2002-08-20,2486614000
2002-08-21,2548990080
2002-08-22,2575963520
2002-08-23,2468069760
2002-08-26,2547304240
2002-08-27,2437724640
2002-08-28,2395578640
2002-08-29,2343317600
2002-08-30,2326459200
2002-09-03,2338260080
2002-09-04,2341631760
2002-09-05,2213507920
2002-09-06,2223622960
2002-09-09,2312972480
2002-09-10,2282627360
2002-09-11,2285999040
2002-09-12,2242167200
2002-09-13,2279255680
2002-09-16,2262397280
2002-09-17,2210136240
2002-09-18,2228680480
2002-09-19,2279255680
2002-09-20,2306229120
2002-09-23,2306229120
2002-09-24,2292742400
2002-09-25,2336574240
2002-09-26,2446153840
2002-09-27,2333202560
2002-09-30,2284973320
2002-10-01,2371230640
2002-10-02,2303577840
2002-10-03,2383069880
2002-10-04,2328947640
2002-10-07,2298503880
2002-10-08,2300195200
2002-10-09,2208863920
2002-10-10,2257912200
2002-10-11,2273134080
2002-10-14,2262986160
2002-10-15,2325565000
2002-10-16,2306960480
2002-10-17,2334021600
2002-10-18,2334021600
2002-10-21,2335712920
2002-10-22,2357700080
2002-10-23,2476092480
2002-10-24,2487931720
2002-10-25,2533597360
2002-10-28,2462561920
2002-10-29,2462561920
2002-10-30,2528523400
2002-10-31,2501462280
2002-11-01,2536980000
2002-11-04,2574189040
2002-11-05,2609706760
2002-11-06,2606324120
2002-11-07,2523449440
2002-11-08,2575880360
2002-11-11,2484549080
2002-11-12,2503153600
2002-11-13,2558967160
2002-11-14,2624928640
2002-11-15,2643533160
2002-11-18,2555584520
2002-11-19,2570806400
2002-11-20,2635076560
2002-11-21,2613089400
2002-11-22,2558967160
2002-11-25,2558967160
2002-11-26,2491314360
2002-11-27,2558967160
2002-11-29,2584336960
2002-12-02,2591102240
2002-12-03,2618163360
2002-12-04,2636767880
2002-12-05,2667211640
2002-12-06,2675668240
2002-12-09,2614780720
2002-12-10,2670594280
2002-12-11,2712877280
2002-12-12,2763616880
2002-12-13,2751777640
2002-12-16,2748395000
2002-12-17,2694272760
2002-12-18,2670594280
2002-12-19,2687507480
2002-12-20,2701038040
2002-12-23,2701038040
2002-12-24,2663829000
2002-12-26,2657063720
2002-12-27,2621546000
2002-12-30,2626619960
2002-12-31,2631158400
2003-01-02,2680070960
2003-01-03,2642964880
2003-01-06,2668264480
2003-01-07,2656458000
2003-01-08,2619351920
2003-01-09,2649711440
2003-01-10,2614292000
2003-01-13,2582245840
2003-01-14,2572126000
2003-01-15,2524900080
2003-01-16,2523213440
2003-01-17,2492853920
2003-01-21,2428761600
2003-01-22,2393342160
2003-01-23,2396715440
2003-01-24,2379849040
2003-01-27,2361296000
2003-01-28,2354549440
2003-01-29,2396715440
2003-01-30,2319130000
2003-01-31,2362982640
2003-02-03,2379849040
2003-02-04,2354549440
2003-02-05,2556946240
2003-02-06,2573812640
2003-02-07,2499600480
2003-02-10,2541766480
2003-02-11,2570439360
2003-02-12,2551886320
2003-02-13,2524900080
2003-02-14,2572126000
2003-02-18,2649711440
2003-02-19,2644651520
2003-02-20,2649711440
2003-02-21,2666577840
2003-02-24,2555259600
2003-02-25,2599112240
2003-02-26,2538393200
2003-02-27,2578872560
2003-02-28,2590679040
2003-03-03,2622725200
2003-03-04,2634531680
2003-03-05,2654771360
2003-03-06,2646338160
2003-03-07,2642964880
2003-03-10,2594052320
2003-03-11,2587305760
2003-03-12,2580559200
2003-03-13,2728983520
2003-03-14,2740790000
2003-03-17,2811628880
2003-03-18,2761029680
2003-03-19,2823435359
2003-03-20,2850421599
2003-03-21,2897647520
2003-03-24,2848734960
2003-03-25,2894274240
2003-03-26,2879094480
2003-03-27,2828495280
2003-03-28,2782956000
2003-03-31,2759585700
2003-04-01,2766336980
2003-04-02,2838913240
2003-04-03,2818659400
2003-04-04,2857479260
2003-04-07,2872669640
2003-04-08,2913177320
2003-04-09,2864230540
2003-04-10,2872669640
2003-04-11,2850727980
2003-04-14,2906426040
2003-04-15,2953685000
2003-04-16,2887860020
2003-04-17,2965499740
2003-04-21,2957060640
2003-04-22,3022885620
2003-04-23,3105588799
2003-04-24,3080271500
2003-04-25,3049890740
2003-04-28,3115715720
2003-04-29,3125842640
2003-04-30,3103900980
2003-05-01,3053266380
2003-05-02,3078583679
2003-05-05,3168038140
2003-05-06,3191667620
2003-05-07,3191667620
2003-05-08,3162974679
2003-05-09,3198418900
2003-05-12,3242302220
2003-05-13,3210233640
2003-05-14,3178165059
2003-05-15,3174789420
2003-05-16,3114027900
2003-05-19,3034700360
2003-05-20,3024573440
2003-05-21,3036388179
2003-05-22,3031324720
2003-05-23,3031324720
2003-05-27,3049890740
2003-05-28,3073520220
2003-05-29,3063393299
2003-05-30,3144408660
2003-06-02,3125842640
2003-06-03,3100525340
2003-06-04,3161286860
2003-06-05,3110652260
2003-06-06,3002631780
2003-06-09,2967187559
2003-06-10,3029636900
2003-06-11,2999256140
2003-06-12,2984065760
2003-06-13,2953685000
2003-06-16,2994192679
2003-06-17,2955372820
2003-06-18,2953685000
2003-06-19,2918240780
2003-06-20,2911489500
2003-06-23,2975626660
2003-06-24,2940182440
2003-06-25,2963811920
2003-06-26,2995880500
2003-06-27,3012758700
2003-06-30,2991171440
2003-07-01,2987795400
2003-07-02,2987795400
2003-07-03,2938842820
2003-07-07,3018179760
2003-07-08,3109332840
2003-07-09,3122837000
2003-07-10,3111020860
2003-07-11,3127901060
2003-07-14,3186981760
2003-07-15,3161661460
2003-07-16,3207238000
2003-07-17,3156597400
2003-07-18,3186981760
2003-07-21,3122837000
2003-07-22,3139717200
2003-07-23,3046876100
2003-07-24,3035059960
2003-07-25,3099204720
2003-07-28,3068820360
2003-07-29,3105956799
2003-07-30,3097516700
2003-07-31,3116084920
2003-08-01,3046876100
2003-08-04,3068820360
2003-08-05,3045188080
2003-08-06,3018179760
2003-08-07,3048564120
2003-08-08,3060380260
2003-08-11,3114396900
2003-08-12,3165037500
2003-08-13,3141405220
2003-08-14,3171789580
2003-08-15,3165037500
2003-08-18,3163349479
2003-08-19,3156597400
2003-08-20,3127901060
2003-08-21,3188669780
2003-08-22,3141405220
2003-08-25,3114396900
2003-08-26,3114396900
2003-08-27,3104268780
2003-08-28,3180229680
2003-08-29,3198797900
2003-09-02,3284886920
2003-09-03,3313583260
2003-09-04,3296703060
2003-09-05,3217366120
2003-09-08,3283198900
2003-09-09,3262942659
2003-09-10,3240998400
2003-09-11,3254502560
2003-09-12,3268006720
2003-09-15,3283198900
2003-09-16,3379416040
2003-09-17,3308519200
2003-09-18,3452000900
2003-09-19,3343967620
2003-09-22,3274758799
2003-09-23,3328775440
2003-09-24,3198797900
2003-09-25,3158285420
2003-09-26,3146469280
2003-09-29,3203861960
2003-09-30,3145600980
2003-10-01,3265481640
2003-10-02,3240154740
2003-10-03,3292497000
2003-10-06,3270547020
2003-10-07,3287431620
2003-10-08,3250285500
2003-10-09,3307693140
2003-10-10,3322889280
2003-10-13,3370166160
2003-10-14,3381985380
2003-10-15,3358346940
2003-10-16,3393804600
2003-10-17,3331331580
2003-10-20,3395493060
2003-10-21,3388739220
2003-10-22,3280677780
2003-10-23,3275612399
2003-10-24,3348216179
2003-10-27,3341462340
2003-10-28,3392116140
2003-10-29,3333020039
2003-10-30,3312758520
2003-10-31,3322889280
2003-11-03,3407312280
2003-11-04,3410689200
2003-11-05,3410689200
2003-11-06,3452900700
2003-11-07,3486669899
2003-11-10,3493423740
2003-11-11,3449523780
2003-11-12,3554208300
2003-11-13,3589665960
2003-11-14,3402246899
2003-11-17,3309381600
2003-11-18,3243531660
2003-11-19,3285743160
2003-11-20,3236777820
2003-11-21,3236777820
2003-11-24,3285743160
2003-11-25,3290808539
2003-11-26,3300939300
2003-11-28,3324577740
2003-12-01,3457966080
2003-12-02,3331331580
2003-12-03,3268858560
2003-12-04,3297562380
2003-12-05,3241843200
2003-12-08,3326266200
2003-12-09,3267170100
2003-12-10,3292497000
2003-12-11,3358346940
2003-12-12,3289120080
2003-12-15,3223270140
2003-12-16,3204697080
2003-12-17,3177681720
2003-12-18,3169239420
2003-12-19,3123651000
2003-12-22,3145600980
2003-12-23,3165862500
2003-12-24,3157420200
2003-12-26,3142224060
2003-12-29,3211450920
2003-12-30,3223270140
2003-12-31,3207135900
2004-01-02,3208828320
2004-01-05,3279909960
2004-01-06,3298526579
2004-01-07,3239291880
2004-01-08,3240984299
2004-01-09,3196981380
2004-01-12,3180057180
2004-01-13,3190211700
2004-01-14,3180057180
2004-01-15,3151286040
2004-01-16,3251138820
2004-01-20,3286679640
2004-01-21,3303603840
2004-01-22,3276525120
2004-01-23,3310373520
2004-01-26,3308681100
2004-01-27,3239291880
2004-01-28,3207135900
2004-01-29,3240984299
2004-01-30,3207135900
2004-02-02,3239291880
2004-02-03,3268063020
2004-02-04,3393302100
2004-02-05,3334067400
2004-02-06,3410226299
2004-02-09,3400071780
2004-02-10,3442382280
2004-02-11,3474538260
2004-02-12,3416995980
2004-02-13,3366223380
2004-02-17,3371300640
2004-02-18,3330682560
2004-02-19,3332374980
2004-02-20,3378070320
2004-02-23,3323912880
2004-02-24,3359453700
2004-02-25,3366223380
2004-02-26,3372993060
2004-02-27,3352684020
2004-03-01,3413611140
2004-03-02,3376377900
2004-03-03,3369608220
2004-03-04,3391609680
2004-03-05,3384840000
2004-03-08,3357761280
2004-03-09,3361146120
2004-03-10,3291756900
2004-03-11,3281602380
2004-03-12,3361146120
2004-03-15,3274832700
2004-03-16,3261293340
2004-03-17,3323912880
2004-03-18,3323912880
2004-03-19,3239291880
2004-03-22,3183442020
2004-03-23,3312065940
2004-03-24,3433920180
