,WM
2000-09-05,11734014400
2000-09-06,11845885300
2000-09-07,11845885300
2000-09-08,12156637800
2000-09-11,12355519400
2000-09-12,12355519400
2000-09-13,12200143150
2000-09-14,12274723750
2000-09-15,12119347500
2000-09-18,11926680950
2000-09-19,11808595000
2000-09-20,11460552200
2000-09-21,11423261900
2000-09-22,11267885650
2000-09-25,11342466250
2000-09-26,11149799700
2000-09-27,11187090000
2000-09-28,11497842500
2000-09-29,10839047200
2000-10-02,11160000000
2000-10-03,11197200000
2000-10-04,11315000000
2000-10-05,11742800000
2000-10-06,11817200000
2000-10-09,11625000000
2000-10-10,11662200000
2000-10-11,11395600000
2000-10-12,11005000000
2000-10-13,11042200000
2000-10-16,11507200000
2000-10-17,11432800000
2000-10-18,11122800000
2000-10-19,11315000000
2000-10-20,11662200000
2000-10-23,12127200000
2000-10-24,12052800000
2000-10-25,11897800000
2000-10-26,11507200000
2000-10-27,11352200000
2000-10-30,11935000000
2000-10-31,12400000000
2000-11-01,12865000000
2000-11-02,12747200000
2000-11-03,12827800000
2000-11-06,13410600000
2000-11-07,14297200000
2000-11-08,15152800000
2000-11-09,15190000000
2000-11-10,14917200000
2000-11-13,15152800000
2000-11-14,15115600000
2000-11-15,15927800000
2000-11-16,15965000000
2000-11-17,15847200000
2000-11-20,16430000000
2000-11-21,15965000000
2000-11-22,15152800000
2000-11-24,15307800000
2000-11-27,15190000000
2000-11-28,15115600000
2000-11-29,14997800000
2000-11-30,14842800000
2000-12-01,15190000000
2000-12-04,16002200000
2000-12-05,16157200000
2000-12-06,15847200000
2000-12-07,16082800000
2000-12-08,15927800000
2000-12-11,15655000000
2000-12-12,15692200000
2000-12-13,15580600000
2000-12-14,15462800000
2000-12-15,15462800000
2000-12-18,16045600000
2000-12-19,15965000000
2000-12-20,15772800000
2000-12-21,16082800000
2000-12-22,16120000000
2000-12-26,15927800000
2000-12-27,16777200000
2000-12-28,17322800000
2000-12-29,17205000000
2001-01-02,16740000000
2001-01-03,17670000000
2001-01-04,16895000000
2001-01-05,16895000000
2001-01-08,16857800000
2001-01-09,17552200000
2001-01-10,17050000000
2001-01-11,16665600000
2001-01-12,16312200000
2001-01-16,16895000000
2001-01-17,16430000000
2001-01-18,15810000000
2001-01-19,15927800000
2001-01-22,16430000000
2001-01-23,15500000000
2001-01-24,15345000000
2001-01-25,15382200000
2001-01-26,16002200000
2001-01-29,15735600000
2001-01-30,15140400000
2001-01-31,15128000000
2001-02-01,15134200000
2001-02-02,14880000000
2001-02-05,14799400000
2001-02-06,15252000000
2001-02-07,15450400000
2001-02-08,14880000000
2001-02-09,14873799999
2001-02-12,15004000000
2001-02-13,15376000000
2001-02-14,15109400000
2001-02-15,15022600000
2001-02-16,14675400000
2001-02-20,14867600000
2001-02-21,14706400000
2001-02-22,14570000000
2001-02-23,14291000000
2001-02-26,14520400000
2001-02-27,15345000000
2001-02-28,15729400000
2001-03-01,15283000000
2001-03-02,15624000000
2001-03-05,16045600000
2001-03-06,15865800000
2001-03-07,16058000000
2001-03-08,16833000000
2001-03-09,16709000000
2001-03-12,16244000000
2001-03-13,15872000000
2001-03-14,15748000000
2001-03-15,15797600000
2001-03-16,16312200000
2001-03-19,16492000000
2001-03-20,16554000000
2001-03-21,16250200000
2001-03-22,15183799999
2001-03-23,15853400000
2001-03-26,16107600000
2001-03-27,15760400000
2001-03-28,15655000000
2001-03-29,15766600000
2001-03-30,15314000000
2001-04-02,14787096768
2001-04-03,14232580639
2001-04-04,14177129026
2001-04-05,14861032251
2001-04-06,14910322574
2001-04-09,15588064509
2001-04-10,15692806445
2001-04-11,15557258058
2001-04-12,15772903219
2001-04-16,15748258057
2001-04-17,16148741928
2001-04-18,15458677412
2001-04-19,15347774187
2001-04-20,14922645155
2001-04-23,14922645155
2001-04-24,14941129026
2001-04-25,15052032251
2001-04-26,15125967735
2001-04-27,15292322574
2001-04-30,15039709671
2001-05-01,15206064509
2001-05-02,15286161283
2001-05-03,14984258058
2001-05-04,14916483864
2001-05-07,15723612896
2001-05-08,16204193541
2001-05-09,16019354832
2001-05-10,16512258057
2001-05-11,16462967735
2001-05-14,16820322573
2001-05-15,16838806444
2001-05-16,16974354831
2001-05-17,17374838702
2001-05-18,17251612896
2001-05-21,17189999992
2001-05-22,17128387089
2001-05-23,16986677412
2001-05-24,17140709670
2001-05-25,16888096767
2001-05-29,16943548380
2001-05-30,17251612896
2001-05-31,17239290315
2001-06-01,17128387089
2001-06-04,17153032250
2001-06-05,17498064508
2001-06-06,17565838702
2001-06-07,17615129024
2001-06-08,17522709670
2001-06-11,17282419347
2001-06-12,17559677412
2001-06-13,17941677411
2001-06-14,18317516121
2001-06-15,18169645153
2001-06-18,18009451605
2001-06-19,18157322573
2001-06-20,18619419347
2001-06-21,18422258056
2001-06-22,17960161282
2001-06-25,17541193541
2001-06-26,18403774185
2001-06-27,18299032250
2001-06-28,18798096766
2001-06-29,18989096766
2001-07-02,18216000000
2001-07-03,18132000000
2001-07-05,18048000000
2001-07-06,17706000000
2001-07-09,18066000000
2001-07-10,17922000000
2001-07-11,18150000000
2001-07-12,18546000000
2001-07-13,18720000000
2001-07-16,18612000000
2001-07-17,18822000000
2001-07-18,18894000000
2001-07-19,18900000000
2001-07-20,18954000000
2001-07-23,18594000000
2001-07-24,17958000000
2001-07-25,18210000000
2001-07-26,18498000000
2001-07-27,18168000000
2001-07-30,18444000000
2001-07-31,18600000000
2001-08-01,18702000000
2001-08-02,18594000000
2001-08-03,18480000000
2001-08-06,17754000000
2001-08-07,18042000000
2001-08-08,17868000000
2001-08-09,17502000000
2001-08-10,18000000000
2001-08-13,18036000000
2001-08-14,18198000000
2001-08-15,18264000000
2001-08-16,18210000000
2001-08-17,17934000000
2001-08-20,17700000000
2001-08-21,18072000000
2001-08-22,18600000000
2001-08-23,18390000000
2001-08-24,18762000000
2001-08-27,18828000000
2001-08-28,18648000000
2001-08-29,18600000000
2001-08-30,18162000000
2001-08-31,18558000000
2001-09-04,18354000000
2001-09-05,18564000000
2001-09-06,18006000000
2001-09-07,18006000000
2001-09-10,17850000000
2001-09-17,16500000000
2001-09-18,16164000000
2001-09-19,15924000000
2001-09-20,15606000000
2001-09-21,15330000000
2001-09-24,15497999999
2001-09-25,15750000000
2001-09-26,15810000000
2001-09-27,16050000000
2001-09-28,16044000000
2001-10-01,16616454538
2001-10-02,17482090901
2001-10-03,17870999992
2001-10-04,17544818174
2001-10-05,17877272719
2001-10-08,16748181810
2001-10-09,16904999992
2001-10-10,17061818174
2001-10-11,17099454538
2001-10-12,17187272719
2001-10-15,17168454537
2001-10-16,17300181810
2001-10-17,17093181810
2001-10-18,17275090901
2001-10-19,17344090901
2001-10-22,17538545446
2001-10-23,17456999992
2001-10-24,17638909083
2001-10-25,17852181810
2001-10-26,17814545446
2001-10-29,17061818174
2001-10-30,16233818174
2001-10-31,15368181811
2001-11-01,15788454538
2001-11-02,15556363629
2001-11-05,15612818175
2001-11-06,15901363629
2001-11-07,16923818174
2001-11-08,17017909083
2001-11-09,17262545447
2001-11-12,17099454538
2001-11-13,17387999992
2001-11-14,17074363628
2001-11-15,17613818174
2001-11-16,18328909082
2001-11-19,18253636355
2001-11-20,17889818174
2001-11-21,18034090901
2001-11-23,18303818173
2001-11-26,18379090901
2001-11-27,18159545446
2001-11-28,18347727264
2001-11-29,17990181810
2001-11-30,18379090901
2001-12-03,18322636355
2001-12-04,17939999992
2001-12-05,18128181810
2001-12-06,18548454537
2001-12-07,18818181810
2001-12-10,18987545446
2001-12-11,18943636355
2001-12-12,18504545446
2001-12-13,19069090900
2001-12-14,19037727264
2001-12-17,19244727264
2001-12-18,19476818173
2001-12-19,19445454537
2001-12-20,19407818173
2001-12-21,19759090900
2001-12-24,19696363627
2001-12-26,19890818173
2001-12-27,20191909082
2001-12-28,20311090900
2001-12-31,20016272718
2002-01-02,19552090900
2002-01-03,19194545446
2002-01-04,19326272718
2002-01-07,19313727264
2002-01-08,19307454537
2002-01-09,19069090900
2002-01-10,18836999991
2002-01-11,19031454537
2002-01-14,19213363628
2002-01-15,19169454537
2002-01-16,18190909083
2002-01-17,19050272718
2002-01-18,18811909082
2002-01-22,18717818173
2002-01-23,18818181810
2002-01-24,18818181810
2002-01-25,18692727264
2002-01-28,18761727264
2002-01-29,18629999991
2002-01-30,18128181810
2002-01-31,18077999992
2002-02-01,15763363629
2002-02-04,15418363629
2002-02-05,15775909084
2002-02-06,15512454538
2002-02-07,15499909084
2002-02-08,15587727265
2002-02-11,15054545448
2002-02-12,14916545448
2002-02-13,14646818175
2002-02-14,14910272720
2002-02-15,15399545447
2002-02-19,15336818175
2002-02-20,15625363629
2002-02-21,15587727265
2002-02-22,15819818174
2002-02-25,15826090902
2002-02-26,16152272720
2002-02-27,16497272720
2002-02-28,16503545447
2002-03-01,16955181810
2002-03-04,17331545447
2002-03-05,17199818174
2002-03-06,17601272719
2002-03-07,17551090901
2002-03-08,17224909083
2002-03-11,17325272719
2002-03-12,17293909083
2002-03-13,17218636356
2002-03-14,17287636356
2002-03-15,17243727265
2002-03-18,17168454537
2002-03-19,17249999992
2002-03-20,17362909083
2002-03-21,17068090901
2002-03-22,16867363629
2002-03-25,16873636356
2002-03-26,16867363629
2002-03-27,16453363629
2002-03-28,17093181810
2002-04-01,16926000000
2002-04-02,16554000000
2002-04-03,16535400000
2002-04-04,16510600000
2002-04-05,16281200000
2002-04-08,16293600000
2002-04-09,16293600000
2002-04-10,16120000000
2002-04-11,16045600000
2002-04-12,16244000000
2002-04-15,16082800000
2002-04-16,16417600000
2002-04-17,16126200000
2002-04-18,16113799999
2002-04-19,16101400000
2002-04-22,15816200000
2002-04-23,16107600000
2002-04-24,16051800000
2002-04-25,16126200000
2002-04-26,16014599999
2002-04-29,16076600000
2002-04-30,16330800000
2002-05-01,16058000000
2002-05-02,15921600000
2002-05-03,16144800000
2002-05-06,16027000000
2002-05-07,16151000000
2002-05-08,16690400000
2002-05-09,16709000000
2002-05-10,16585000000
2002-05-13,16820600000
2002-05-14,17198800000
2002-05-15,17198800000
2002-05-16,17025200000
2002-05-17,17546000000
2002-05-20,17180200000
2002-05-21,16919800000
2002-05-22,16795800000
2002-05-23,17124400000
2002-05-24,16795800000
2002-05-28,16864000000
2002-05-29,17186400000
2002-05-30,17006600000
2002-05-31,17019000000
2002-06-03,16789599999
2002-06-04,16727600000
2002-06-05,16932200000
2002-06-06,17242200000
2002-06-07,17384800000
2002-06-10,17583200000
2002-06-11,17484000000
2002-06-12,17459200000
2002-06-13,17533600000
2002-06-14,17471600000
2002-06-17,17719600000
2002-06-18,17818800000
2002-06-19,17601800000
2002-06-20,17608000000
2002-06-21,17614200000
2002-06-24,17484000000
2002-06-25,16963200000
2002-06-26,16814400000
2002-06-27,16473400000
2002-06-28,16151000000
2002-07-01,15677605267
2002-07-02,15470921056
2002-07-03,15300710530
2002-07-05,15914684214
2002-07-08,15768789477
2002-07-09,15312868425
2002-07-10,15015000003
2002-07-11,14966368424
2002-07-12,14984605267
2002-07-15,14911657898
2002-07-16,14698894740
2002-07-17,15015000003
2002-07-18,14978526319
2002-07-19,14176105266
2002-07-22,13847842108
2002-07-23,13312894740
2002-07-24,13774894740
2002-07-25,13902552635
2002-07-26,13981578951
2002-07-29,15075789477
2002-07-30,14571236845
2002-07-31,14388868424
2002-08-01,14771842109
2002-08-02,14704973688
2002-08-05,14249052635
2002-08-06,14516526319
2002-08-07,14893421056
2002-08-08,15501315793
2002-08-09,15294631582
2002-08-12,15215605267
2002-08-13,14990684214
2002-08-14,15185210530
2002-08-15,15160894740
2002-08-16,15130500003
2002-08-19,15227763161
2002-08-20,15246000003
2002-08-21,15519552635
2002-08-22,15817421056
2002-08-23,15841736846
2002-08-26,15750552635
2002-08-27,15628973688
2002-08-28,15197368425
2002-08-29,15428368425
2002-08-30,15458763161
2002-09-03,15197368425
2002-09-04,15592500004
2002-09-05,15112263161
2002-09-06,15349342109
2002-09-09,15440526319
2002-09-10,15404052635
2002-09-11,15470921056
2002-09-12,15373657898
2002-09-13,15331105267
2002-09-16,15300710530
2002-09-17,15002842109
2002-09-18,14881263161
2002-09-19,14571236845
2002-09-20,15002842109
2002-09-23,14668500003
2002-09-24,13981578951
2002-09-25,14200421056
2002-09-26,14322000003
2002-09-27,14066684214
2002-09-30,14066741229
2002-10-01,14694074457
2002-10-02,14688042407
2002-10-03,14229606586
2002-10-04,13825459218
2002-10-07,13155901638
2002-10-08,13270510594
2002-10-09,13089549085
2002-10-10,13849587419
2002-10-11,14271830938
2002-10-14,13873715621
2002-10-15,14078805330
2002-10-16,13795298967
2002-10-17,14006420726
2002-10-18,14386439893
2002-10-21,14211510436
2002-10-22,14133093782
2002-10-23,13903875872
2002-10-24,13360991348
2002-10-25,12588888913
2002-10-28,13318766996
2002-10-29,13831491269
2002-10-30,13976260475
2002-10-31,13885779721
2002-11-01,14308023240
2002-11-04,14899164166
2002-11-05,14893132116
2002-11-06,15098221825
2002-11-07,15128382077
2002-11-08,14784555211
2002-11-11,15104253876
2002-11-12,15074093624
2002-11-13,15110285926
2002-11-14,15092189775
2002-11-15,15080125675
2002-11-18,14893132116
2002-11-19,14042613028
2002-11-20,13873715621
2002-11-21,14446760396
2002-11-22,14422632195
2002-11-25,14712170608
2002-11-26,14501048849
2002-11-27,14995676971
2002-11-29,15031869272
2002-12-02,15068061574
2002-12-03,15080125675
2002-12-04,15007741071
2002-12-05,14820747513
2002-12-06,14784555211
2002-12-09,14392471944
2002-12-10,14036580978
2002-12-11,13753074615
2002-12-12,13994356626
2002-12-13,14018484827
2002-12-16,14549305251
2002-12-17,14579465502
2002-12-18,14476920648
2002-12-19,13946100224
2002-12-20,14121029682
2002-12-23,14175318134
2002-12-24,14066741229
2002-12-26,13921972023
2002-12-27,13716882313
2002-12-30,13777202816
2002-12-31,13981200000
2003-01-02,14414300000
2003-01-03,14524100000
2003-01-06,14493600000
2003-01-07,14389900000
2003-01-08,14438700000
2003-01-09,14487500000
2003-01-10,14615600000
2003-01-13,14493600000
2003-01-14,14707100000
2003-01-15,14627800000
2003-01-16,14511900000
2003-01-17,14389900000
2003-01-21,14377700000
2003-01-22,14640000000
2003-01-23,14579000000
2003-01-24,14121500000
2003-01-27,13908000000
2003-01-28,13901900000
2003-01-29,13944600000
2003-01-30,13865300000
2003-01-31,14023900000
2003-02-03,14036100000
2003-02-04,13755500000
2003-02-05,13700600000
2003-02-06,13444400000
2003-02-07,13389500000
2003-02-10,13273600000
2003-02-11,13230900000
2003-02-12,13115000000
2003-02-13,13078400000
2003-02-14,13346800000
2003-02-18,13481000000
2003-02-19,13401700000
2003-02-20,12901500000
2003-02-21,12730700000
2003-02-24,12297600000
2003-02-25,12200000000
2003-02-26,12163400000
2003-02-27,12187800000
2003-02-28,12139000000
2003-03-03,12120700000
2003-03-04,12029200000
2003-03-05,12181700000
2003-03-06,12181700000
2003-03-07,12200000000
2003-03-10,12139000000
2003-03-11,12114600000
2003-03-12,12187800000
2003-03-13,12816100000
2003-03-14,12962500000
2003-03-17,13468799999
2003-03-18,13438300000
2003-03-19,13200400000
2003-03-20,13334600000
2003-03-21,13786000000
2003-03-24,13188200000
2003-03-25,13389500000
2003-03-26,13352900000
2003-03-27,13322400000
2003-03-28,13261400000
2003-03-31,12425600007
2003-04-01,12320000007
2003-04-02,12836266673
2003-04-03,12408000007
2003-04-04,12378666673
2003-04-07,12314133340
2003-04-08,12325866673
2003-04-09,12314133340
2003-04-10,12361066673
2003-04-11,12261333340
2003-04-14,12554666673
2003-04-15,12748266673
2003-04-16,12496000007
2003-04-17,12537066673
2003-04-21,12267200006
2003-04-22,12660266673
2003-04-23,12437333340
2003-04-24,12232000006
2003-04-25,12009066673
2003-04-28,12320000007
2003-04-29,12648533340
2003-04-30,12742400007
2003-05-01,12718933340
2003-05-02,12965333340
2003-05-05,12936000007
2003-05-06,13170666674
2003-05-07,13100266674
2003-05-08,12971200007
2003-05-09,13288000007
2003-05-12,13522666674
2003-05-13,14003733341
2003-05-14,14080000008
2003-05-15,14426133341
2003-05-16,14596266674
2003-05-19,14385066674
2003-05-20,14168000008
2003-05-21,14068266674
2003-05-22,14373333341
2003-05-23,14314666674
2003-05-27,14367466674
2003-05-28,14549333341
2003-05-29,14514133341
2003-05-30,14942400008
2003-06-02,14942400008
2003-06-03,14637333341
2003-06-04,15077333341
2003-06-05,14971733341
2003-06-06,14754666675
2003-06-09,14625600008
2003-06-10,14696000008
2003-06-11,14713600008
2003-06-12,14930666675
2003-06-13,14549333341
2003-06-16,14461333341
2003-06-17,14537600008
2003-06-18,14490666674
2003-06-19,14490666674
2003-06-20,14297066674
2003-06-23,13698666674
2003-06-24,13950933341
2003-06-25,13986133341
2003-06-26,14021333341
2003-06-27,13904000007
2003-06-30,14052499991
2003-07-01,14192499991
2003-07-02,14489999991
2003-07-03,14466666658
2003-07-07,14443333325
2003-07-08,14624166658
2003-07-09,14594999991
2003-07-10,14174999991
2003-07-11,14239166658
2003-07-14,14279999991
2003-07-15,14285833325
2003-07-16,14029166658
2003-07-17,13638333325
2003-07-18,13778333325
2003-07-21,13644166658
2003-07-22,13714166658
2003-07-23,13620833325
2003-07-24,13504166658
2003-07-25,13947499992
2003-07-28,13842499992
2003-07-29,13737499992
2003-07-30,13836666658
2003-07-31,13935833325
2003-08-01,13824999992
2003-08-04,13894999992
2003-08-05,14379166658
2003-08-06,14186666658
2003-08-07,14349999991
2003-08-08,14472499991
2003-08-11,14524999991
2003-08-12,14554166658
2003-08-13,14402499991
2003-08-14,14454999991
2003-08-15,14676666658
2003-08-18,14758333324
2003-08-19,15219166657
2003-08-20,15213333324
2003-08-21,15370833324
2003-08-22,15271666657
2003-08-25,15166666658
2003-08-26,14956666658
2003-08-27,15090833324
2003-08-28,15166666658
2003-08-29,15522499991
2003-09-02,15569166657
2003-09-03,15347499991
2003-09-04,15399999991
2003-09-05,15184166657
2003-09-08,15370833324
2003-09-09,15154999991
2003-09-10,14944999991
2003-09-11,14944999991
2003-09-12,15020833324
2003-09-15,14939166658
2003-09-16,15224999991
2003-09-17,15108333324
2003-09-18,15440833324
2003-09-19,15557499991
2003-09-22,15399999991
2003-09-23,15475833324
2003-09-24,15516666657
2003-09-25,15481666657
2003-09-26,15259999991
2003-09-29,15592499991
2003-09-30,15299384625
2003-10-01,15404615394
2003-10-02,15194153856
2003-10-03,15229230779
2003-10-06,15211692317
2003-10-07,15468923087
2003-10-08,15252615394
2003-10-09,15200000010
2003-10-10,15106461548
2003-10-13,14989538471
2003-10-14,15229230779
2003-10-15,15293538471
2003-10-16,15357846163
2003-10-17,15468923087
2003-10-20,15474769240
2003-10-21,15445538471
2003-10-22,15229230779
2003-10-23,14960307702
2003-10-24,14732307702
2003-10-27,14831692317
2003-10-28,14849230779
2003-10-29,15159076933
2003-10-30,15129846163
2003-10-31,15153230779
2003-11-03,15200000010
2003-11-04,15053846163
2003-11-05,14890153855
2003-11-06,15036307702
2003-11-07,15521538471
2003-11-10,15626769241
2003-11-11,15696923087
2003-11-12,15948307702
2003-11-13,16480307703
2003-11-14,16538769241
2003-11-17,16433538472
2003-11-18,16375076933
2003-11-19,16527076933
2003-11-20,16468615395
2003-11-21,16456923087
2003-11-24,16638153857
2003-11-25,16924615395
2003-11-26,17216923088
2003-11-28,17193538472
2003-12-01,17100000011
2003-12-02,17070769242
2003-12-03,17216923088
2003-12-04,17105846165
2003-12-05,16836923088
2003-12-08,16924615395
2003-12-09,17140923088
2003-12-10,17181846165
2003-12-11,17216923088
2003-12-12,17041538472
2003-12-15,16988923088
2003-12-16,17135076934
2003-12-17,17158461549
2003-12-18,17170153857
2003-12-19,17117538472
2003-12-22,17275384626
2003-12-23,17176000011
2003-12-24,17129230780
2003-12-26,17181846165
2003-12-29,17257846165
2003-12-30,17211076934
2003-12-31,17304615396
2004-01-02,17439076934
2004-01-05,17205230780
2004-01-06,17006461549
2004-01-07,16854461549
2004-01-08,16743384626
2004-01-09,16626461549
2004-01-12,16778461549
2004-01-13,16778461549
2004-01-14,16737538472
2004-01-15,16690769241
2004-01-16,16474461549
2004-01-20,16258153856
2004-01-21,16275692318
2004-01-22,16193846164
2004-01-23,16293230779
2004-01-26,16340000010
2004-01-27,16164615395
2004-01-28,16135384626
2004-01-29,16281538472
2004-01-30,16228923087
2004-02-02,16568000010
2004-02-03,16661538472
2004-02-04,16655692318
2004-02-05,16948000011
2004-02-06,17222769242
2004-02-09,17070769242
2004-02-10,17216923088
2004-02-11,16953846165
2004-02-12,17181846165
2004-02-13,17117538472
2004-02-17,17216923088
2004-02-18,17140923088
2004-02-19,17041538472
2004-02-20,16667384626
2004-02-23,16614769241
2004-02-24,16912923088
2004-02-25,17012307703
2004-02-26,16801846164
2004-02-27,16661538472
2004-03-01,16608923087
2004-03-02,16632307703
2004-03-03,16907076934
2004-03-04,17129230780
2004-03-05,17228615395
2004-03-08,17257846165
2004-03-09,17140923088
2004-03-10,16959692318
2004-03-11,17129230780
2004-03-12,17333846165
2004-03-15,16953846165
2004-03-16,17070769242
2004-03-17,17444923088
2004-03-18,17351384626
2004-03-19,17240307703
2004-03-22,16725846164
2004-03-23,16784307703
2004-03-24,16644000010
2004-03-25,16644000010
2004-03-26,16544615395
2004-03-29,16918769241
2004-03-30,17363076934
2004-03-31,17618594601
2004-04-01,17764540547
2004-04-02,17776216222
2004-04-05,17793729736
2004-04-06,17892972979
2004-04-07,17694486493
2004-04-08,17612756763
2004-04-12,17688648655
2004-04-13,17531027033
2004-04-14,17496000006
2004-04-15,17385081087
2004-04-16,17332540546
2004-04-19,17536864871
2004-04-20,17472648655
2004-04-21,17361729736
2004-04-22,17484324330
2004-04-23,17385081087
2004-04-26,17385081087
2004-04-27,17350054060
2004-04-28,17315027033
2004-04-29,16900540546
2004-04-30,16579459465
2004-05-03,16737081087
2004-05-04,16906378384
2004-05-05,16953081087
2004-05-06,16812972979
2004-05-07,16614486492
2004-05-10,16497729735
2004-05-11,16491891898
2004-05-12,16404324330
2004-05-13,16340108114
2004-05-14,16614486492
2004-05-17,16200000006
2004-05-18,16310918924
2004-05-19,16211675681
2004-05-20,16299243249
2004-05-21,16526918925
2004-05-24,16416000006
2004-05-25,16737081087
2004-05-26,16929729736
2004-05-27,16993945952
2004-05-28,16789621627
2004-06-01,16532756762
2004-06-02,16742918925
2004-06-03,16474378384
2004-06-04,16608648654
2004-06-07,16958918925
2004-06-08,17268324330
2004-06-09,17209945952
2004-06-10,17315027033
2004-06-14,17233297303
2004-06-15,17215783790
2004-06-16,17344216222
2004-06-17,17274162168
2004-06-18,17186594600
2004-06-21,17169081087
2004-06-22,17350054060
2004-06-23,17420108114
2004-06-24,17501837844
2004-06-25,17338378384
2004-06-28,17583567574
2004-06-29,17939675682
2004-06-30,17800576930
2004-07-01,17353384622
2004-07-02,17266269237
2004-07-06,17452115391
2004-07-07,17457923083
2004-07-08,17219807699
2004-07-09,16813269237
2004-07-12,17260461545
2004-07-13,17306923083
2004-07-14,17039769237
2004-07-15,17097846160
2004-07-16,16941038468
2004-07-19,16952653852
2004-07-20,17028153852
2004-07-21,16679692314
2004-07-22,16557730775
2004-07-23,16540307698
2004-07-26,16563538468
2004-07-27,16551923083
2004-07-28,16342846160
2004-07-29,16348653852
2004-07-30,16342846160
2004-08-02,16499653852
2004-08-03,16174423083
2004-08-04,16064076929
2004-08-05,15744653852
2004-08-06,15448461544
2004-08-09,15657538467
2004-08-10,16081500006
2004-08-11,16116346160
2004-08-12,16000192314
2004-08-13,16127961544
2004-08-16,16255730775
2004-08-17,16093115391
2004-08-18,16069884621
2004-08-19,15994384621
2004-08-20,16232500006
2004-08-23,16151192314
2004-08-24,16151192314
