,ECL
2000-05-24,5038863960
2000-05-25,4869447240
2000-05-26,4900250280
2000-05-30,4964423280
2000-05-31,4910517960
2000-06-01,4900250280
2000-06-02,5028596280
2000-06-05,4910517960
2000-06-06,4861746480
2000-06-07,4884848760
2000-06-08,4933620240
2000-06-09,4925919480
2000-06-12,4764203520
2000-06-13,4789872720
2000-06-14,4836077280
2000-06-15,4789872720
2000-06-16,4748802000
2000-06-19,4741101240
2000-06-20,4692329760
2000-06-21,4597353720
2000-06-22,4589652960
2000-06-23,4620456000
2000-06-26,4605054480
2000-06-27,4741101240
2000-06-28,4789872720
2000-06-29,4884848760
2000-06-30,4964994720
2000-07-03,5084480000
2000-07-05,5084480000
2000-07-06,4886185280
2000-07-07,4886185280
2000-07-10,4909065440
2000-07-11,4815002560
2000-07-12,4751446560
2000-07-13,4751446560
2000-07-14,4718397440
2000-07-17,4583658720
2000-07-18,4639588000
2000-07-19,4662468160
2000-07-20,4695517280
2000-07-21,4591285440
2000-07-24,4504849280
2000-07-25,4598912160
2000-07-26,4433666560
2000-07-27,4512476000
2000-07-28,4591285440
2000-07-31,4553151840
2000-08-01,4560778560
2000-08-02,4560778560
2000-08-03,4598912160
2000-08-04,4616707840
2000-08-07,4766700000
2000-08-08,4799749120
2000-08-09,4695517280
2000-08-10,4703144000
2000-08-11,4845509440
2000-08-14,4830256000
2000-08-15,4863305120
2000-08-16,4893812000
2000-08-17,4886185280
2000-08-18,4893812000
2000-08-21,4926861120
2000-08-22,5020924000
2000-08-23,4998043840
2000-08-24,4909065440
2000-08-25,4942114560
2000-08-28,4901438720
2000-08-29,4845509440
2000-08-30,4853136160
2000-08-31,4949741280
2000-09-01,4916692160
2000-09-05,4916692160
2000-09-06,4964994720
2000-09-07,4886185280
2000-09-08,4822629280
2000-09-11,4845509440
2000-09-12,4878558560
2000-09-13,4822629280
2000-09-14,4680263840
2000-09-15,4598912160
2000-09-18,4631961280
2000-09-19,4591285440
2000-09-20,4535356160
2000-09-21,4568405280
2000-09-22,4560778560
2000-09-25,4545525120
2000-09-26,4354857120
2000-09-27,4337061440
2000-09-28,4504849280
2000-09-29,4583658720
2000-10-02,4542695040
2000-10-03,4654110080
2000-10-04,4628788480
2000-10-05,4590806080
2000-10-06,4542695040
2000-10-09,4517373440
2000-10-10,4605999040
2000-10-11,4590806080
2000-10-12,4542695040
2000-10-13,4494584000
2000-10-16,4527502080
2000-10-17,4438876480
2000-10-18,4400894080
2000-10-19,4416087040
2000-10-20,4446472960
2000-10-23,4479391040
2000-10-24,4661706560
2000-10-25,4669303040
2000-10-26,4770589440
2000-10-27,4833893440
2000-10-30,5087109440
2000-10-31,4960501440
2000-11-01,4937712000
2000-11-02,5016208960
2000-11-03,5008612480
2000-11-06,5049127040
2000-11-07,5071916480
2000-11-08,5008612480
2000-11-09,5064320000
2000-11-10,5033934080
2000-11-13,4952904960
2000-11-14,5049127040
2000-11-15,5097238080
2000-11-16,5016208960
2000-11-17,5071916480
2000-11-20,5023805440
2000-11-21,5175735040
2000-11-22,5150413440
2000-11-24,5198524480
2000-11-27,5206120960
2000-11-28,5287150080
2000-11-29,5413758080
2000-11-30,5499851520
2000-12-01,5477062080
2000-12-04,5540366080
2000-12-05,5403629440
2000-12-06,5302343040
2000-12-07,5277021440
2000-12-08,5507448000
2000-12-11,5340325440
2000-12-12,5350454080
2000-12-13,5380840000
2000-12-14,5287150080
2000-12-15,5183331520
2000-12-18,5223846080
2000-12-19,5127624000
2000-12-20,5041530560
2000-12-21,5135220480
2000-12-22,5287150080
2000-12-26,5239039040
2000-12-27,5466933440
2000-12-28,5656845440
2000-12-29,5466933440
2001-01-02,5395885000
2001-01-03,5466983720
2001-01-04,5466983720
2001-01-05,5451748280
2001-01-08,5578710280
2001-01-09,5428895120
2001-01-10,5373031840
2001-01-11,5380649560
2001-01-12,5317168560
2001-01-16,5205442000
2001-01-17,4992145840
2001-01-18,4951518000
2001-01-19,4872801560
2001-01-22,4951518000
2001-01-23,4943900280
2001-01-24,4943900280
2001-01-25,4943900280
2001-01-26,4936282560
2001-01-29,5058166080
2001-01-30,5213059720
2001-01-31,5276540720
2001-02-01,5428895120
2001-02-02,5350178680
2001-02-05,5433973600
2001-02-06,5464444480
2001-02-07,5436512840
2001-02-08,5428895120
2001-02-09,5466983720
2001-02-12,5403502720
2001-02-13,5251148320
2001-02-14,5390806520
2001-02-15,5378110320
2001-02-16,5301933120
2001-02-20,5439052080
2001-02-21,5403502720
2001-02-22,5367953360
2001-02-23,5240991360
2001-02-26,5362874880
2001-02-27,5370492600
2001-02-28,5327325520
2001-03-01,5380649560
2001-03-02,5459366000
2001-03-05,5492376120
2001-03-06,5426355880
2001-03-07,5497454600
2001-03-08,5522847000
2001-03-09,5568553320
2001-03-12,5459366000
2001-03-13,5307011600
2001-03-14,5220677440
2001-03-15,5322247040
2001-03-16,5322247040
2001-03-19,5268923000
2001-03-20,5233373640
2001-03-21,5121647080
2001-03-22,4946439520
2001-03-23,5131804040
2001-03-26,5301933120
2001-03-27,5411120440
2001-03-28,5362874880
2001-03-29,5337482480
2001-03-30,5385728040
2001-04-02,5363265960
2001-04-03,5190093080
2001-04-04,5179906440
2001-04-05,5309786100
2001-04-06,5207919700
2001-04-09,5309786100
2001-04-10,5414199160
2001-04-11,5213013020
2001-04-12,5197733060
2001-04-16,5220653000
2001-04-17,5294506140
2001-04-18,5347986000
2001-04-19,5218106340
2001-04-20,5111146620
2001-04-23,4920147120
2001-04-24,4774987500
2001-04-25,4729147620
2001-04-26,4815734060
2001-04-27,4841200660
2001-04-30,4818280720
2001-05-01,4820827380
2001-05-02,4884493880
2001-05-03,4838654000
2001-05-04,4889587200
2001-05-07,4899773840
2001-05-08,4937973740
2001-05-09,4968533660
2001-05-10,5057666760
2001-05-11,5042386800
2001-05-14,5060213420
2001-05-15,5090773340
2001-05-16,5271586200
2001-05-17,5317426080
2001-05-18,5284319500
2001-05-21,5248666260
2001-05-22,5202826380
2001-05-23,5139159880
2001-05-24,5128973240
2001-05-25,5131519900
2001-05-29,5154439840
2001-05-30,5106053300
2001-05-31,5205373040
2001-06-01,5207919700
2001-06-04,5238479620
2001-06-05,5248666260
2001-06-06,5271586200
2001-06-07,5299599460
2001-06-08,5319972740
2001-06-11,5238479620
2001-06-12,5225746320
2001-06-13,5215559680
2001-06-14,5215559680
2001-06-15,5162079820
2001-06-18,5134066560
2001-06-19,5172266460
2001-06-20,5251212920
2001-06-21,5156986500
2001-06-22,5060213420
2001-06-25,5011826880
2001-06-26,5103506640
2001-06-27,5128973240
2001-06-28,5192639740
2001-06-29,5218106340
2001-07-02,5267870500
2001-07-03,5283191500
2001-07-05,5308726500
2001-07-06,5089125500
2001-07-09,5158070000
2001-07-10,5107000000
2001-07-11,5170837500
2001-07-12,5252549500
2001-07-13,5211693500
2001-07-16,5198926000
2001-07-17,5173391000
2001-07-18,5124874500
2001-07-19,5048269500
2001-07-20,5030395000
2001-07-23,5032948500
2001-07-24,4946129500
2001-07-25,5040609000
2001-07-26,5061037000
2001-07-27,5015074000
2001-07-30,5043162500
2001-07-31,5112107000
2001-08-01,5071251000
2001-08-02,5091679000
2001-08-03,5099339500
2001-08-06,5068697500
2001-08-07,5084018500
2001-08-08,5058483500
2001-08-09,5017627500
2001-08-10,5071251000
2001-08-13,5094232500
2001-08-14,5091679000
2001-08-15,5119767500
2001-08-16,5152963000
2001-08-17,5198926000
2001-08-20,5160623500
2001-08-21,5221907500
2001-08-22,5247442500
2001-08-23,5278084500
2001-08-24,5352136000
2001-08-27,5288298500
2001-08-28,5183605000
2001-08-29,5175944500
2001-08-30,5112107000
2001-08-31,5117214000
2001-09-04,5101893000
2001-09-05,5089125500
2001-09-06,5048269500
2001-09-07,4992092500
2001-09-10,4961450500
2001-09-17,4468625000
2001-09-18,4402234000
2001-09-19,4259238000
2001-09-20,3957925000
2001-09-21,3955371500
2001-09-24,4340950000
2001-09-25,4356271000
2001-09-26,4320522000
2001-09-27,4504374000
2001-09-28,4639709500
2001-10-01,4451447700
2001-10-02,4594466100
2001-10-03,4533172500
2001-10-04,4443786000
2001-10-05,4614897300
2001-10-08,4469325000
2001-10-09,4484648400
2001-10-10,4632774600
2001-10-11,4752807900
2001-10-12,4655759700
2001-10-15,4630220700
2001-10-16,4637882400
2001-10-17,4459109400
2001-10-18,4448893800
2001-10-19,4405477500
2001-10-22,4456555500
2001-10-23,4522956900
2001-10-24,4545942000
2001-10-25,4579142700
2001-10-26,4630220700
2001-10-29,4522956900
2001-10-30,4515295200
2001-10-31,4492310100
2001-11-01,4551049800
2001-11-02,4568927100
2001-11-05,4545942000
2001-11-06,4665975300
2001-11-07,4678744800
2001-11-08,4663421400
2001-11-09,4709391600
2001-11-12,4591912200
2001-11-13,4694068200
2001-11-14,4729822800
2001-11-15,4860071700
2001-11-16,4877949000
2001-11-19,4982658900
2001-11-20,4916257500
2001-11-21,4768131300
2001-11-23,4849856100
2001-11-26,4824317100
2001-11-27,4811547600
2001-11-28,4734930600
2001-11-29,4724715000
2001-11-30,4775793000
2001-12-03,4640436300
2001-12-04,4750254000
2001-12-05,4842194400
2001-12-06,4852410000
2001-12-07,4783454700
2001-12-10,4734930600
2001-12-11,4834532700
2001-12-12,4798778100
2001-12-13,4711945500
2001-12-14,4665975300
2001-12-17,4742592300
2001-12-18,4903488000
2001-12-19,4964781600
2001-12-20,4995428400
2001-12-21,5008197900
2001-12-24,5084814900
2001-12-26,5061829800
2001-12-27,5061829800
2001-12-28,5125677300
2001-12-31,5169625560
2002-01-02,5154216840
2002-01-03,5203011120
2002-01-04,5277486600
2002-01-07,5264646000
2002-01-08,5187602400
2002-01-09,5244101040
2002-01-10,5136240000
2002-01-11,5167057440
2002-01-14,5167057440
2002-01-15,5161921200
2002-01-16,5051492040
2002-01-17,5118263160
2002-01-18,5169625560
2002-01-22,5205579240
2002-01-23,5264646000
2002-01-24,5272350360
2002-01-25,5382779520
2002-01-28,5364802680
2002-01-29,5341689600
2002-01-30,5454686880
2002-01-31,5493208680
2002-02-01,5536866720
2002-02-04,5482936200
2002-02-05,5393052000
2002-02-06,5351962080
2002-02-07,5354530200
2002-02-08,5475231840
2002-02-11,5595933480
2002-02-12,5526594240
2002-02-13,5516321760
2002-02-14,5490640560
2002-02-15,5698658280
2002-02-19,5644727760
2002-02-20,5690953920
2002-02-21,5747452560
2002-02-22,5765429400
2002-02-25,5791110600
2002-02-26,5916948480
2002-02-27,5968310880
2002-02-28,6014537040
2002-03-01,5970879000
2002-03-04,6029945760
2002-03-05,5860449840
2002-03-06,5991423960
2002-03-07,6042786360
2002-03-08,6065899440
2002-03-11,6060763200
2002-03-12,6076171920
2002-03-13,5988855840
2002-03-14,5970879000
2002-03-15,5973447120
2002-03-18,5976015240
2002-03-19,6022241400
2002-03-20,6040218240
2002-03-21,5993992080
2002-03-22,5978583360
2002-03-25,5942629680
2002-03-26,5837336760
2002-03-27,5906676000
2002-03-28,5870722320
2002-04-01,5839396500
2002-04-02,5800725000
2002-04-03,5689866700
2002-04-04,5594477000
2002-04-05,5579008400
2002-04-08,5599633200
2002-04-09,5671820000
2002-04-10,5836818400
2002-04-11,5826506000
2002-04-12,5800725000
2002-04-15,5736272500
2002-04-16,5803303100
2002-04-17,5718225800
2002-04-18,5658929500
2002-04-19,5676976200
2002-04-22,5579008400
2002-04-23,5493931100
2002-04-24,5555805500
2002-04-25,5597055100
2002-04-26,5612523700
2002-04-29,5542915000
2002-04-30,5661507600
2002-05-01,5705335300
2002-05-02,5818771700
2002-05-03,5847130800
2002-05-06,5800725000
2002-05-07,5836818400
2002-05-08,5890958500
2002-05-09,5893536600
2002-05-10,5823927900
2002-05-13,5865177500
2002-05-14,5911583300
2002-05-15,6014707300
2002-05-16,6074003600
2002-05-17,6097206500
2002-05-20,6045644500
2002-05-21,6035332100
2002-05-22,6019863500
2002-05-23,6130721800
2002-05-24,6102362700
2002-05-28,6053378800
2002-05-29,6066269300
2002-05-30,5973457700
2002-05-31,6146190400
2002-06-03,5996660600
2002-06-04,5981192000
2002-06-05,6006973000
2002-06-06,5963145300
2002-06-07,5929630000
2002-06-10,5957989100
2002-06-11,5893536600
2002-06-12,5909005200
2002-06-13,5831662200
2002-06-14,5805881200
2002-06-17,5986348200
2002-06-18,5898692800
2002-06-19,5919317600
2002-06-20,5942520500
2002-06-21,5854865100
2002-06-24,5870333700
2002-06-25,5836818400
2002-06-26,5852287000
2002-06-27,5909005200
2002-06-28,5960567200
2002-07-01,5882558500
2002-07-02,5623984500
2002-07-03,5572269700
2002-07-05,5761028720
2002-07-08,5680870780
2002-07-09,5569683960
2002-07-10,5360239020
2002-07-11,5207680360
2002-07-12,5199923140
2002-07-15,5181822960
2002-07-16,5018921340
2002-07-17,5117179460
2002-07-18,4972378020
2002-07-19,4812062140
2002-07-22,4747418640
2002-07-23,4791376220
2002-07-24,5399025120
2002-07-25,5613641540
2002-07-26,5494697500
2002-07-29,5830843700
2002-07-30,5830843700
2002-07-31,5942030520
2002-08-01,5947202000
2002-08-02,5750685760
2002-08-05,5781714640
2002-08-06,5929101820
2002-08-07,6133375280
2002-08-08,6154061200
2002-08-09,6156646940
2002-08-12,6174747120
2002-08-13,6076489000
2002-08-14,6159232680
2002-08-15,6179918600
2002-08-16,6190261560
2002-08-19,6301448380
2002-08-20,6195433040
2002-08-21,6055803080
2002-08-22,6068731780
2002-08-23,5892901460
2002-08-26,5882558500
2002-08-27,5885144240
2002-08-28,5792057600
2002-08-29,5797229080
2002-08-30,5823086480
2002-09-03,5600712840
2002-09-04,5701556700
2002-09-05,5590369880
2002-09-06,5714485400
2002-09-09,5686042260
2002-09-10,5934273300
2002-09-11,5936859040
2002-09-12,5722242620
2002-09-13,5642084680
2002-09-16,5665356340
2002-09-17,5530897860
2002-09-18,5556755260
2002-09-19,5396439380
2002-09-20,5450739920
2002-09-23,5357653280
2002-09-24,5264566640
2002-09-25,5448154180
2002-09-26,5587784140
2002-09-27,5430054000
2002-09-30,5413511040
2002-10-01,5657339520
2002-10-02,5416104960
2002-10-03,5553582720
2002-10-04,5582115840
2002-10-07,5506892160
2002-10-08,5670309120
2002-10-09,5563958400
2002-10-10,5784441600
2002-10-11,5994549120
2002-10-14,5984173440
2002-10-15,6090524160
2002-10-16,5836320000
2002-10-17,6113869440
2002-10-18,5955640320
2002-10-21,6215032320
2002-10-22,5968609920
2002-10-23,6064584960
2002-10-24,6043833600
2002-10-25,6282474240
2002-10-28,6344728320
2002-10-29,6243565440
2002-10-30,6259128960
2002-10-31,6259128960
2002-11-01,6274692480
2002-11-04,6126839040
2002-11-05,6300631680
2002-11-06,6427733760
2002-11-07,6326570880
2002-11-08,6285068160
2002-11-11,6165747840
2002-11-12,6196874880
2002-11-13,6253941120
2002-11-14,6432921600
2002-11-15,6456266880
2002-11-18,6352510080
2002-11-19,6339540480
2002-11-20,6394012800
2002-11-21,6461454720
2002-11-22,6482206080
2002-11-25,6502957440
2002-11-26,6349916160
2002-11-27,6401794560
2002-11-29,6443297280
2002-12-02,6326570880
2002-12-03,6279880320
2002-12-04,6303225600
2002-12-05,6326570880
2002-12-06,6391418880
2002-12-09,6344728320
2002-12-10,6368073600
2002-12-11,6336946560
2002-12-12,6235783680
2002-12-13,6160560000
2002-12-16,6274692480
2002-12-17,6202062720
2002-12-18,6150184320
2002-12-19,6093118080
2002-12-20,6355104000
2002-12-23,6440703360
2002-12-24,6443297280
2002-12-26,6438109440
2002-12-27,6355104000
2002-12-30,6445891200
2002-12-31,6446088000
2003-01-02,6519013440
2003-01-03,6498177600
2003-01-06,6628401600
2003-01-07,6690909120
2003-01-08,6631006080
2003-01-09,6706536000
2003-01-10,6662259840
2003-01-13,6617983680
2003-01-14,6617983680
2003-01-15,6526826880
2003-01-16,6492968640
2003-01-17,6446088000
2003-01-21,6349722240
2003-01-22,6261169920
2003-01-23,6461714880
2003-01-24,6326281920
2003-01-27,6167408640
2003-01-28,6282005760
2003-01-29,6289819200
2003-01-30,6261169920
2003-01-31,6420043200
2003-02-03,6427856640
2003-02-04,6367953600
2003-02-05,6339304320
2003-02-06,6282005760
2003-02-07,6268983360
2003-02-10,6302841600
2003-02-11,6227311680
2003-02-12,6167408640
2003-02-13,6115319040
2003-02-14,6172617600
2003-02-18,6393998400
2003-02-19,6352326720
2003-02-20,6268983360
2003-02-21,6375767040
2003-02-24,6289819200
2003-02-25,6263774400
2003-02-26,6274192320
2003-02-27,6336699840
2003-02-28,6388789440
2003-03-03,6352326720
2003-03-04,6196057920
2003-03-05,6255960960
2003-03-06,6138759360
2003-03-07,6240334080
2003-03-10,6125736960
2003-03-11,6117923520
2003-03-12,6084065280
2003-03-13,6321072960
2003-03-14,6344513280
2003-03-17,6492968640
2003-03-18,6584125440
2003-03-19,6599752320
2003-03-20,6594543360
2003-03-21,6735185280
2003-03-24,6545058240
2003-03-25,6602356800
2003-03-26,6550267200
2003-03-27,6511200000
2003-03-28,6576312000
2003-03-31,6444938820
2003-04-01,6460613580
2003-04-02,6567724440
2003-04-03,6546824760
2003-04-04,6599073960
2003-04-07,6708797280
2003-04-08,6687897600
2003-04-09,6575561820
2003-04-10,6450163740
2003-04-11,6442326360
2003-04-14,6565111980
2003-04-15,6669610380
2003-04-16,6544212300
2003-04-17,6633035940
2003-04-21,6609523800
2003-04-22,6792396000
2003-04-23,6792396000
2003-04-24,6761046480
2003-04-25,6633035940
2003-04-28,6727084500
2003-04-29,6706184820
2003-04-30,6674835300
2003-05-01,6599073960
2003-05-02,6604298880
2003-05-05,6549437220
2003-05-06,6546824760
2003-05-07,6497188020
2003-05-08,6431876520
2003-05-09,6507637860
2003-05-12,6575561820
2003-05-13,6549437220
2003-05-14,6559887060
2003-05-15,6627811020
2003-05-16,6562499520
2003-05-19,6538987380
2003-05-20,6541599840
2003-05-21,6580786740
2003-05-22,6648710700
2003-05-23,6700959900
2003-05-27,6818520600
2003-05-28,6810683220
2003-05-29,6834195360
2003-05-30,7022292480
2003-06-02,7139853180
2003-06-03,7150303020
2003-06-04,7293988320
2003-06-05,7215614520
2003-06-06,7118953500
2003-06-09,6980493120
2003-06-10,7009230180
2003-06-11,7006617720
2003-06-12,7053642000
2003-06-13,6949143600
2003-06-16,7079766600
2003-06-17,7053642000
2003-06-18,7017067560
2003-06-19,6962205900
2003-06-20,6933468840
2003-06-23,6792396000
2003-06-24,6862932420
2003-06-25,6800233380
2003-06-26,6855095040
2003-06-27,6781946160
2003-06-30,6622566400
2003-07-01,6573414540
2003-07-02,6651022740
2003-07-03,6617392520
2003-07-07,6661370500
2003-07-08,6713109300
2003-07-09,6625153340
2003-07-10,6498393280
2003-07-11,6454415300
2003-07-14,6462176120
2003-07-15,6418198140
2003-07-16,6335416060
2003-07-17,6208656000
2003-07-18,6281090320
2003-07-21,6338003000
2003-07-22,6306959720
2003-07-23,6345763820
2003-07-24,6387154860
2003-07-25,6482871640
2003-07-28,6441480600
2003-07-29,6338003000
2003-07-30,6314720540
2003-07-31,6392328740
2003-08-01,6363872400
2003-08-04,6449241420
2003-08-05,6394915680
2003-08-06,6464763060
2003-08-07,6529436560
2003-08-08,6472523880
2003-08-11,6413024260
2003-08-12,6488045520
2003-08-13,6529436560
2003-08-14,6653609680
2003-08-15,6632914160
2003-08-18,6726044000
2003-08-19,6746739520
2003-08-20,6764848100
2003-08-21,6816586900
2003-08-22,6726044000
2003-08-25,6692413780
2003-08-26,6715696240
2003-08-27,6697587660
2003-08-28,6697587660
2003-08-29,6671718260
2003-09-02,6811413020
2003-09-03,6837282420
2003-09-04,6770021980
2003-09-05,6744152580
2003-09-08,6803652200
2003-09-09,6726044000
2003-09-10,6738978700
2003-09-11,6751913400
2003-09-12,6751913400
2003-09-15,6746739520
2003-09-16,6832108540
2003-09-17,6726044000
2003-09-18,6850217120
2003-09-19,6932999200
2003-09-22,6738978700
2003-09-23,6808826080
2003-09-24,6609631700
2003-09-25,6560479840
2003-09-26,6617392520
2003-09-29,6625153340
2003-09-30,6489881250
2003-10-01,6600402000
2003-10-02,6615823500
2003-10-03,6716063250
2003-10-06,6734055000
2003-10-07,6775179000
2003-10-08,6854856750
2003-10-09,6865137750
2003-10-10,6898551000
2003-10-13,7001361000
2003-10-14,7060476750
2003-10-15,7129873500
2003-10-16,7104171000
2003-10-17,6931964250
2003-10-20,7068187500
2003-10-21,6842005500
2003-10-22,6759757500
2003-10-23,6764898000
2003-10-24,6777749250
2003-10-27,6849716250
2003-10-28,6931964250
2003-10-29,6978228750
2003-10-30,7034774250
2003-10-31,6911402250
2003-11-03,6952526250
2003-11-04,7029633750
2003-11-05,6973088250
2003-11-06,6926823750
2003-11-07,6973088250
2003-11-10,6867708000
2003-11-11,6818873250
2003-11-12,6752046750
2003-11-13,6824013750
2003-11-14,6718633500
2003-11-17,6620964000
2003-11-18,6531005250
2003-11-19,6651807000
2003-11-20,6528435000
2003-11-21,6554137500
2003-11-24,6520724250
2003-11-25,6631245000
2003-11-26,6752046750
2003-11-28,6739195500
2003-12-01,6980799000
2003-12-02,6947385750
2003-12-03,7024493250
2003-12-04,7145295000
2003-12-05,6996220500
2003-12-08,7114452000
2003-12-09,7050195750
2003-12-10,7003931250
2003-12-11,7096460250
2003-12-12,7155576000
2003-12-15,7009071750
2003-12-16,7039914750
2003-12-17,6895980750
2003-12-18,6980799000
2003-12-19,6898551000
2003-12-22,7042485000
2003-12-23,7029633750
2003-12-24,6929394000
2003-12-26,7001361000
2003-12-29,7024493250
2003-12-30,7016782500
2003-12-31,7034774250
2004-01-02,6949956000
2004-01-05,7078468500
2004-01-06,6988509750
2004-01-07,6993650250
2004-01-08,6980799000
2004-01-09,6893410500
2004-01-12,6980799000
2004-01-13,6913972500
2004-01-14,6939675000
2004-01-15,6854856750
2004-01-16,6967947750
2004-01-20,6970518000
2004-01-21,6901121250
2004-01-22,6875418750
2004-01-23,6821443500
2004-01-26,6875418750
2004-01-27,6816303000
2004-01-28,6739195500
2004-01-29,6859997250
2004-01-30,6983369250
2004-02-02,6939675000
2004-02-03,6919113000
2004-02-04,6865137750
2004-02-05,6952526250
2004-02-06,7091319750
2004-02-09,7037344500
2004-02-10,7168427250
2004-02-11,7181278500
2004-02-12,7024493250
2004-02-13,7027063500
2004-02-17,7052766000
2004-02-18,7021923000
2004-02-19,7132443750
2004-02-20,7068187500
2004-02-23,7029633750
2004-02-24,7021923000
2004-02-25,6939675000
2004-02-26,6978228750
2004-02-27,7019352750
2004-03-01,7153005750
2004-03-02,7065617250
2004-03-03,6985939500
2004-03-04,7016782500
2004-03-05,7114452000
2004-03-08,7096460250
2004-03-09,7206981000
2004-03-10,7230113250
2004-03-11,7135014000
2004-03-12,7147865250
2004-03-15,7016782500
2004-03-16,7068187500
2004-03-17,7155576000
2004-03-18,7088749500
2004-03-19,7006501500
2004-03-22,6949956000
2004-03-23,6913972500
2004-03-24,6880559250
2004-03-25,7106741250
2004-03-26,7063047000
2004-03-29,7209551250
2004-03-30,7289229000
2004-03-31,7336061550
2004-04-01,7325776150
2004-04-02,7328347500
2004-04-05,7328347500
2004-04-06,7328347500
2004-04-07,7292348600
2004-04-08,7302634000
2004-04-12,7359203700
2004-04-13,7323204800
2004-04-14,7307776700
2004-04-15,7328347500
2004-04-16,7325776150
2004-04-19,7323204800
2004-04-20,7212636750
2004-04-21,7289777250
2004-04-22,7500627950
2004-04-23,7531484150
2004-04-26,7467200400
2004-04-27,7672908400
2004-04-28,7536626850
2004-04-29,7518627400
2004-04-30,7662623000
2004-05-03,7639480850
2004-05-04,7636909500
2004-05-05,7593196550
2004-05-06,7600910600
2004-05-07,7485199850
2004-05-10,7420916100
2004-05-11,7390059900
2004-05-12,7320633450
2004-05-13,7420916100
2004-05-14,7454343650
2004-05-17,7300062650
2004-05-18,7384917200
2004-05-19,7292348600
2004-05-20,7503199300
2004-05-21,7495485250
2004-05-24,7564911700
2004-05-25,7801475900
2004-05-26,7814332650
2004-05-27,7922329350
2004-05-28,7845188850
2004-06-01,7876045050
2004-06-02,7914615300
2004-06-03,7780905100
2004-06-04,7899187200
2004-06-07,7994327150
2004-06-08,8071467650
2004-06-09,8035468750
2004-06-10,8068896300
2004-06-14,7919758000
2004-06-15,8009755250
2004-06-16,7960899600
2004-06-17,7816904000
2004-06-18,7819475350
2004-06-21,7783476450
2004-06-22,7873473700
2004-06-23,7940328800
2004-06-24,7950614200
2004-06-25,7942900150
2004-06-28,8009755250
2004-06-29,8125466000
2004-06-30,8190265600
2004-07-01,7931897600
2004-07-02,7921562880
2004-07-06,7918979200
2004-07-07,8027493760
2004-07-08,8009408000
2004-07-09,7957734400
2004-07-12,8089502080
2004-07-13,8086918400
2004-07-14,8066248960
2004-07-15,8061081600
2004-07-16,8086918400
2004-07-19,8074000000
2004-07-20,8084334720
2004-07-21,8089502080
2004-07-22,7978403840
2004-07-23,7841468800
2004-07-26,7831134080
2004-07-27,7900893440
2004-07-28,7862138240
2004-07-29,7931897600
2004-07-30,7880224000
2004-08-02,7931897600
2004-08-03,7867305600
2004-08-04,7885391360
2004-08-05,7683864320
2004-08-06,7588268160
2004-08-09,7619272320
2004-08-10,7763958400
2004-08-11,7805297280
2004-08-12,7751040000
2004-08-13,7722619520
2004-08-16,7854387200
2004-08-17,7792378880
2004-08-18,7825966720
2004-08-19,7751040000
2004-08-20,7794962560
2004-08-23,7694199040
