,CFG
2019-01-23,16101925361
2019-01-24,16194067995
2019-01-25,16327674815
2019-01-28,16281603498
2019-01-29,16147996678
2019-01-30,15926854356
2019-01-31,15627390794
2019-02-01,15751783350
2019-02-04,15871568775
2019-02-05,15839318853
2019-02-06,15903818697
2019-02-07,16392174659
2019-02-08,16272389235
2019-02-11,16332281947
2019-02-12,16594888455
2019-02-13,16728495275
2019-02-14,16539602874
2019-02-15,16908173412
2019-02-19,17083244417
2019-02-20,17350458057
2019-02-21,17152351393
2019-02-22,17152351393
2019-02-25,17064815890
2019-02-26,16903566280
2019-02-27,17060208759
2019-02-28,17018744573
2019-03-01,17046387364
2019-03-04,16977280388
2019-03-05,16834459304
2019-03-06,16461281635
2019-03-07,16088103966
2019-03-08,16014389858
2019-03-11,16171032337
2019-03-12,16152603810
2019-03-13,16355317606
2019-03-14,16465888767
2019-03-15,16525781479
2019-03-18,16769959460
2019-03-19,16465888767
2019-03-20,15784033272
2019-03-21,15332534364
2019-03-22,14636857474
2019-03-25,14563143366
2019-03-26,14844178401
2019-03-27,14738214372
2019-03-28,14940928167
2019-03-29,14973178090
2019-04-01,15462708806
2019-04-02,15581828933
2019-04-03,15645970540
2019-04-04,15897955424
2019-04-05,15842976904
2019-04-08,15884210794
2019-04-09,15558921216
2019-04-10,15627644366
2019-04-11,15742182950
2019-04-12,16062890985
2019-04-15,15783416840
2019-04-16,15989586291
2019-04-17,16035401725
2019-04-18,16200337285
2019-04-22,16356109759
2019-04-23,16539371493
2019-04-24,16406506736
2019-04-25,16365272846
2019-04-26,16479811429
2019-04-29,16672236250
2019-04-30,16585186927
2019-05-01,16443159083
2019-05-02,16608094643
2019-05-03,16860079527
2019-05-06,16763867117
2019-05-07,16447740626
2019-05-08,16342365129
2019-05-09,16411088279
2019-05-10,16516463776
