,WFC
2002-11-15,80745630000
2002-11-18,79635840000
2002-11-19,77920710000
2002-11-20,79030500000
2002-11-21,80039400000
2002-11-22,79871250000
2002-11-25,79232280000
2002-11-26,76676400000
2002-11-27,78895980000
2002-11-29,77718930000
2002-12-02,77786190000
2002-12-03,77180850000
2002-12-04,78122490000
2002-12-05,76911810000
2002-12-06,77449890000
2002-12-09,77113590000
2002-12-10,78761460000
2002-12-11,78526050000
2002-12-12,77954340000
2002-12-13,77349000000
2002-12-16,79030500000
2002-12-17,78727830000
2002-12-18,77819820000
2002-12-19,77651670000
2002-12-20,79165020000
2002-12-23,79131390000
2002-12-24,78895980000
2002-12-26,78761460000
2002-12-27,77853450000
2002-12-30,79165020000
2002-12-31,78828720000
2003-01-02,81687270000
2003-01-03,80543850000
2003-01-06,82124460000
2003-01-07,81620010000
2003-01-08,80476590000
2003-01-09,81216450000
2003-01-10,80846520000
2003-01-13,81317340000
2003-01-14,81754530000
2003-01-15,80207550000
2003-01-16,79030500000
2003-01-17,79501320000
2003-01-21,79232280000
2003-01-22,79097760000
2003-01-23,80274810000
2003-01-24,79131390000
2003-01-27,78626940000
2003-01-28,78357900000
2003-01-29,78795090000
2003-01-30,77954340000
2003-01-31,79669470000
2003-02-03,80274810000
2003-02-04,79097760000
2003-02-05,76205580000
2003-02-06,77113590000
2003-02-07,76440990000
2003-02-10,77046330000
2003-02-11,76676400000
2003-02-12,76239210000
2003-02-13,76676400000
2003-02-14,77920710000
2003-02-18,78559680000
2003-02-19,78055230000
2003-02-20,77483520000
2003-02-21,78055230000
2003-02-24,76071060000
2003-02-25,76676400000
2003-02-26,75802020000
2003-02-27,76474620000
2003-02-28,76272840000
2003-03-03,76272840000
2003-03-04,75667500000
2003-03-05,76743660000
2003-03-06,75734760000
2003-03-07,76609140000
2003-03-10,74456820000
2003-03-11,74557710000
2003-03-12,74221410000
2003-03-13,76945440000
2003-03-14,76945440000
2003-03-17,78795090000
2003-03-18,78492420000
2003-03-19,79165020000
2003-03-20,78795090000
2003-03-21,79467690000
2003-03-24,76945440000
2003-03-25,78122490000
2003-03-26,77180850000
2003-03-27,76642770000
2003-03-28,76810920000
2003-03-31,75406500000
2003-04-01,77584910000
2003-04-02,79327638000
2003-04-03,78422760000
2003-04-04,78891956000
2003-04-07,78489788000
2003-04-08,79528722000
2003-04-09,77718966000
2003-04-10,78623844000
2003-04-11,77484368000
2003-04-14,78422760000
2003-04-15,79528722000
2003-04-16,78322218000
2003-04-17,79595750000
2003-04-21,78690872000
2003-04-22,80165488000
2003-04-23,80735226000
2003-04-24,79729806000
2003-04-25,79461694000
2003-04-28,80299544000
2003-04-29,80668198000
2003-04-30,80869282000
2003-05-01,81070366000
2003-05-02,82109300000
2003-05-05,80534142000
2003-05-06,81103880000
2003-05-07,80031432000
2003-05-08,78891956000
2003-05-09,79461694000
2003-05-12,80601170000
2003-05-13,80299544000
2003-05-14,80031432000
2003-05-15,80668198000
2003-05-16,81103880000
2003-05-19,79696292000
2003-05-20,79394666000
2003-05-21,79260610000
2003-05-22,78891956000
2003-05-23,79260610000
2003-05-27,80835768000
2003-05-28,80031432000
2003-05-29,79729806000
2003-05-30,80936310000
2003-06-02,81941730000
2003-06-03,82578496000
2003-06-04,84187168000
2003-06-05,84790420000
2003-06-06,84287710000
2003-06-09,83449860000
2003-06-10,84823934000
2003-06-11,86164494000
2003-06-12,86365578000
2003-06-13,85159074000
2003-06-16,86801260000
2003-06-17,86801260000
2003-06-18,87136400000
2003-06-19,85628270000
2003-06-20,85795840000
2003-06-23,85058532000
2003-06-24,85393672000
2003-06-25,84924476000
2003-06-26,86265036000
2003-06-27,85561242000
2003-06-30,84530880000
2003-07-01,85067584000
2003-07-02,85503656000
2003-07-03,85034040000
2003-07-07,85772008000
2003-07-08,85201760000
2003-07-09,85268848000
2003-07-10,85503656000
2003-07-11,87013136000
2003-07-14,88958688000
2003-07-15,87080224000
2003-07-16,87113768000
2003-07-17,85470112000
2003-07-18,86174536000
2003-07-21,85939728000
2003-07-22,87180856000
2003-07-23,87046680000
2003-07-24,86308712000
2003-07-25,87382120000
2003-07-28,87046680000
2003-07-29,86912504000
2003-07-30,86107448000
2003-07-31,84765688000
2003-08-01,84027720000
2003-08-04,84329616000
2003-08-05,83457472000
2003-08-06,83826456000
2003-08-07,83792912000
2003-08-08,84296072000
2003-08-11,83792912000
2003-08-12,84463792000
2003-08-13,83960632000
2003-08-14,84665056000
2003-08-15,84732144000
2003-08-18,84430248000
2003-08-19,84497336000
2003-08-20,83792912000
2003-08-21,83289752000
2003-08-22,82417608000
2003-08-25,83356840000
2003-08-26,83222664000
2003-08-27,83021400000
2003-08-28,83994176000
2003-08-29,84094808000
2003-09-02,85772008000
2003-09-03,86342256000
2003-09-04,85369480000
2003-09-05,84933408000
2003-09-08,85906184000
2003-09-09,85537200000
2003-09-10,83927088000
2003-09-11,83524560000
2003-09-12,84329616000
2003-09-15,83927088000
2003-09-16,84631512000
2003-09-17,84899864000
2003-09-18,86543520000
2003-09-19,86677696000
2003-09-22,85704920000
2003-09-23,85570744000
2003-09-24,85101128000
2003-09-25,85470112000
2003-09-26,86208080000
2003-09-29,86744784000
2003-09-30,87513950000
2003-10-01,89892970000
2003-10-02,89994928000
2003-10-03,90470732000
2003-10-06,90640662000
2003-10-07,92000102000
2003-10-08,92000102000
2003-10-09,92102060000
2003-10-10,92713808000
2003-10-13,93563458000
2003-10-14,93767374000
2003-10-15,93529472000
2003-10-16,93563458000
2003-10-17,93461500000
2003-10-20,94107234000
2003-10-21,94311150000
2003-10-22,93019682000
2003-10-23,93835346000
2003-10-24,93461500000
2003-10-27,92509892000
2003-10-28,93325556000
2003-10-29,93291570000
2003-10-30,94107234000
2003-10-31,95704576000
2003-11-03,96656184000
2003-11-04,95126814000
2003-11-05,94651010000
2003-11-06,94752968000
2003-11-07,94481080000
2003-11-10,94311150000
2003-11-11,95024856000
2003-11-12,96418282000
2003-11-13,97131988000
2003-11-14,96078422000
2003-11-17,96112408000
2003-11-18,95398702000
2003-11-19,95840520000
2003-11-20,95772548000
2003-11-21,96010450000
2003-11-24,96384296000
2003-11-25,97098002000
2003-11-26,97471848000
2003-11-28,97437862000
2003-12-01,98151568000
2003-12-02,97165974000
2003-12-03,96452268000
2003-12-04,96724156000
2003-12-05,96520240000
2003-12-08,97233946000
2003-12-09,95874506000
2003-12-10,95874506000
2003-12-11,96690170000
2003-12-12,96860100000
2003-12-15,95296744000
2003-12-16,97098002000
2003-12-17,97369890000
2003-12-18,98185554000
2003-12-19,98695344000
2003-12-22,98559400000
2003-12-23,99171148000
2003-12-24,99035204000
2003-12-26,99205134000
2003-12-29,99884854000
2003-12-30,100156742000
2003-12-31,100088770000
2004-01-02,98865274000
2004-01-05,99341078000
2004-01-06,99001218000
2004-01-07,98015624000
2004-01-08,97947652000
2004-01-09,97505834000
2004-01-12,96792128000
2004-01-13,95636604000
2004-01-14,95738562000
2004-01-15,96010450000
2004-01-16,97199960000
2004-01-20,97471848000
2004-01-21,98287512000
2004-01-22,97030030000
2004-01-23,96588212000
2004-01-26,98627372000
2004-01-27,97573806000
2004-01-28,96962058000
2004-01-29,98287512000
2004-01-30,97573806000
2004-02-02,97811708000
2004-02-03,98491428000
2004-02-04,97030030000
2004-02-05,96962058000
2004-02-06,98491428000
2004-02-09,98049610000
2004-02-10,97845694000
2004-02-11,98899260000
2004-02-12,97539820000
2004-02-13,97505834000
2004-02-17,97539820000
2004-02-18,96792128000
2004-02-19,97845694000
2004-02-20,96690170000
2004-02-23,96622198000
2004-02-24,96384296000
2004-02-25,97267932000
2004-02-26,97301918000
2004-02-27,97471848000
2004-03-01,97947652000
2004-03-02,97403876000
2004-03-03,98151568000
2004-03-04,98763316000
2004-03-05,99239120000
2004-03-08,99578980000
2004-03-09,99307092000
2004-03-10,99307092000
2004-03-11,98083596000
2004-03-12,98423456000
2004-03-15,98185554000
2004-03-16,98695344000
2004-03-17,99205134000
2004-03-18,99103176000
2004-03-19,97845694000
2004-03-22,96520240000
2004-03-23,96214366000
2004-03-24,96146394000
2004-03-25,97098002000
2004-03-26,96792128000
2004-03-29,97165974000
2004-03-30,96588212000
2004-03-31,96316324000
2004-04-01,96660606000
2004-04-02,95580222000
2004-04-05,95613984000
2004-04-06,96525558000
2004-04-07,95816556000
2004-04-08,96019128000
2004-04-12,96289224000
2004-04-13,93925884000
2004-04-14,93250644000
2004-04-15,92744214000
2004-04-16,94668648000
2004-04-19,94398552000
2004-04-20,93453216000
2004-04-21,94904982000
2004-04-22,95816556000
2004-04-23,95208840000
2004-04-26,95208840000
2004-04-27,96390510000
2004-04-28,95040030000
2004-04-29,95242602000
2004-04-30,95310126000
2004-05-03,96187938000
2004-05-04,96322986000
2004-05-05,95580222000
2004-05-06,94769934000
2004-05-07,93014310000
2004-05-10,92474118000
2004-05-11,93014310000
2004-05-12,94364790000
2004-05-13,94702410000
2004-05-14,96221700000
2004-05-17,96086652000
2004-05-18,97673466000
2004-05-19,97403370000
2004-05-20,97909800000
2004-05-21,98011086000
2004-05-24,98483754000
2004-05-25,99192756000
2004-05-26,99800472000
2004-05-27,99699186000
2004-05-28,99260280000
2004-06-01,98990184000
2004-06-02,98787612000
2004-06-03,98382468000
2004-06-04,98922660000
2004-06-07,99597900000
2004-06-08,99260280000
2004-06-09,97909800000
2004-06-10,98956422000
2004-06-14,97977324000
2004-06-15,98348706000
2004-06-16,98247420000
2004-06-17,98618802000
2004-06-18,98922660000
2004-06-21,98787612000
2004-06-22,99192756000
2004-06-23,99699186000
2004-06-24,99091470000
2004-06-25,97133274000
2004-06-28,97504656000
2004-06-29,96829416000
2004-06-30,96626844000
2004-07-01,95591740000
2004-07-02,96672636000
2004-07-06,96132188000
2004-07-07,96672636000
2004-07-08,96165966000
2004-07-09,96301078000
2004-07-12,97246862000
2004-07-13,97584642000
2004-07-14,97111750000
2004-07-15,96942860000
2004-07-16,97821088000
2004-07-19,98733094000
2004-07-20,98057534000
2004-07-21,96706414000
2004-07-22,96436190000
2004-07-23,95659296000
2004-07-26,95963298000
2004-07-27,96976638000
2004-07-28,96976638000
2004-07-29,97517086000
2004-07-30,96976638000
2004-08-02,97719754000
2004-08-03,97077972000
2004-08-04,96740192000
2004-08-05,95051292000
2004-08-06,95186404000
2004-08-09,95253960000
2004-08-10,96267300000
2004-08-11,97246862000
2004-08-12,96537524000
2004-08-13,97179306000
2004-08-16,97584642000
2004-08-17,97753532000
2004-08-18,97888644000
2004-08-19,97888644000
2004-08-20,98057534000
2004-08-23,97787310000
