,GM
2012-11-19,34203960000
2012-11-20,33751200000
2012-11-21,33751200000
2012-11-23,34588120000
2012-11-26,34615560000
2012-11-27,34313720000
2012-11-28,34684160000
2012-11-29,35795480000
2012-11-30,35507360000
2012-12-03,34999720000
2012-12-04,34862520000
2012-12-05,34300000000
2012-12-06,33710040000
2012-12-07,34560680000
2012-12-10,34684160000
2012-12-11,34917400000
2012-12-12,35164360000
2012-12-13,34464640000
2012-12-14,33764920000
2012-12-17,34094200000
2012-12-18,34972280000
2012-12-19,37290960000
2012-12-20,37510480000
2012-12-21,37483040000
2012-12-24,37949520000
2012-12-26,37894640000
2012-12-27,38361120000
2012-12-28,38210200000
2012-12-31,39554760000
2013-01-02,39966360000
2013-01-03,40913040000
2013-01-04,40967920000
2013-01-07,40693520000
2013-01-08,40295640000
2013-01-09,41118840000
2013-01-10,41763680000
2013-01-11,41653920000
2013-01-14,41612760000
2013-01-15,41983200000
2013-01-16,40213320000
2013-01-17,40460280000
2013-01-18,40172160000
2013-01-22,39280360000
2013-01-23,39198040000
2013-01-24,39486160000
2013-01-25,39884040000
2013-01-28,39554760000
2013-01-29,39033400000
2013-01-30,38333680000
2013-01-31,38539480000
2013-02-01,38649240000
2013-02-04,38361120000
2013-02-05,39225480000
2013-02-06,39129440000
2013-02-07,39060840000
2013-02-08,39198040000
2013-02-11,39143160000
2013-02-12,39170600000
2013-02-13,39335240000
2013-02-14,38073000000
2013-02-15,38086720000
2013-02-19,37976960000
2013-02-20,37181200000
2013-02-21,36371720000
2013-02-22,37194920000
2013-02-25,36124760000
2013-02-26,36810760000
2013-02-27,37592800000
2013-02-28,37249800000
2013-03-01,37332120000
2013-03-04,37167480000
2013-03-05,37839760000
2013-03-06,38292520000
2013-03-07,38251360000
2013-03-08,38416000000
2013-03-11,38841320000
2013-03-12,38923640000
2013-03-13,38512040000
2013-03-14,38635520000
2013-03-15,38704120000
2013-03-18,38470880000
2013-03-19,38553200000
2013-03-20,40062400000
2013-03-21,39280360000
2013-03-22,38717840000
2013-03-25,38635520000
2013-03-26,38621800000
2013-03-27,38498320000
2013-03-28,38169040000
2013-04-01,38252800000
2013-04-02,38431680000
2013-04-03,38252800000
2013-04-04,38170240000
2013-04-05,37867520000
2013-04-08,37963840000
2013-04-09,37881280000
2013-04-10,39037120000
2013-04-11,40894720000
2013-04-12,40757120000
2013-04-15,39780160000
2013-04-16,40550720000
2013-04-17,40275520000
2013-04-18,39876480000
2013-04-19,40110400000
2013-04-22,40248000000
2013-04-23,41073600000
2013-04-24,41899200000
2013-04-25,42256960000
2013-04-26,41968000000
2013-04-29,42367040000
2013-04-30,42435840000
2013-05-01,41527680000
2013-05-02,42876160000
2013-05-03,44169600000
2013-05-06,43784320000
2013-05-07,43550400000
2013-05-08,44142080000
2013-05-09,43550400000
2013-05-10,43233920000
2013-05-13,42656000000
2013-05-14,43412800000
2013-05-15,44458560000
2013-05-16,44568640000
2013-05-17,45985920000
2013-05-20,46371200000
2013-05-21,45958400000
2013-05-22,45724479999
2013-05-23,45201600000
2013-05-24,45229120000
2013-05-28,46728960000
2013-05-29,46852799999
2013-05-30,47664640000
2013-05-31,46632640000
2013-06-03,47361920000
2013-06-04,48104960000
2013-06-05,46811520000
2013-06-06,47389440000
2013-06-07,48201280000
2013-06-10,47802240000
2013-06-11,46687680000
2013-06-12,46027200000
2013-06-13,47472000000
2013-06-14,47183040000
2013-06-17,46412479999
2013-06-18,46797760000
2013-06-19,46316159999
2013-06-20,44802560000
2013-06-21,44320960000
2013-06-24,43233920000
2013-06-25,43784320000
2013-06-26,44788799999
2013-06-27,45545600000
2013-06-28,45834560000
2013-07-01,47124000000
2013-07-02,47262600000
2013-07-03,47318040000
2013-07-05,48052620000
2013-07-08,48011040000
2013-07-09,48399120000
2013-07-10,48967380000
2013-07-11,50090040000
2013-07-12,50450400000
2013-07-15,50589000000
2013-07-16,50145480000
2013-07-17,50394960000
2013-07-18,51060240000
2013-07-19,50741460000
2013-07-22,50949360000
2013-07-23,50741460000
2013-07-24,51476040000
2013-07-25,51392880000
2013-07-26,50824620000
2013-07-29,50422680000
2013-07-30,50589000000
2013-07-31,49715820000
2013-08-01,50547420000
2013-08-02,51212700000
2013-08-05,50935500000
2013-08-06,49840560000
2013-08-07,49175279999
2013-08-08,49909860000
2013-08-09,49923720000
2013-08-12,49868279999
2013-08-13,49674240000
2013-08-14,49300020000
2013-08-15,47886299999
2013-08-16,47650680000
2013-08-19,47803140000
2013-08-20,48218940000
2013-08-21,47858580000
2013-08-22,48496140000
2013-08-23,48593160000
2013-08-26,48399120000
2013-08-27,46694340000
2013-08-28,47013120000
2013-08-29,47747700000
2013-08-30,47234880000
2013-09-03,47318040000
2013-09-04,49688100000
2013-09-05,50353380000
2013-09-06,50103900000
2013-09-09,50561279999
2013-09-10,51282000000
2013-09-11,50381100000
2013-09-12,50408820000
2013-09-13,49979160000
2013-09-16,50200920000
2013-09-17,50880060000
2013-09-18,52085880000
2013-09-19,51600779999
2013-09-20,51046380000
2013-09-23,51462180000
2013-09-24,51891840000
2013-09-25,51531480000
2013-09-26,51212700000
2013-09-27,50408820000
2013-09-30,57084390000
2013-10-01,56989169999
2013-10-02,57036780000
2013-10-03,56005230000
2013-10-04,56655900000
2013-10-07,55830660000
2013-10-08,54291270000
2013-10-09,54211919999
2013-10-10,55306950000
2013-10-11,56100450000
2013-10-14,56068710000
2013-10-15,55068900000
2013-10-16,55751310000
2013-10-17,56592419999
2013-10-18,56957430000
2013-10-21,56338500000
2013-10-22,56195669999
2013-10-23,55624349999
2013-10-24,56544810000
2013-10-25,56481330000
2013-10-28,56814599999
2013-10-29,57227220000
2013-10-30,59084009999
2013-10-31,58639650000
2013-11-01,59337930000
2013-11-04,59464890000
2013-11-05,58861830000
2013-11-06,58068330000
2013-11-07,57005040000
2013-11-08,58179419999
2013-11-11,58211160000
2013-11-12,58179419999
2013-11-13,61004280000
2013-11-14,61099500000
2013-11-15,61527990000
2013-11-18,61210590000
2013-11-19,60321870000
2013-11-20,59814030000
2013-11-21,60496439999
2013-11-22,59718810000
2013-11-25,59591849999
2013-11-26,59782290000
2013-11-27,61654950000
2013-11-29,61464509999
2013-12-02,62067570000
2013-12-03,60528180000
2013-12-04,61432770000
2013-12-05,62035830000
2013-12-06,63749790000
2013-12-09,64908300000
2013-12-10,64114800000
2013-12-11,63733919999
2013-12-12,63559349999
2013-12-13,63543480000
2013-12-16,65765280000
2013-12-17,65908110000
2013-12-18,65495490000
2013-12-19,63956099999
2013-12-20,65051130000
2013-12-23,65527230000
2013-12-24,64876560000
2013-12-26,65892240000
2013-12-27,64971780000
2013-12-30,64575030000
2013-12-31,64860689999
2014-01-02,64987650000
2014-01-03,62797590000
2014-01-06,64114800000
2014-01-07,63797400000
2014-01-08,64146540000
2014-01-09,64257630000
2014-01-10,63527610000
2014-01-13,62813460000
2014-01-14,63511740000
2014-01-15,62496060000
2014-01-16,61893000000
2014-01-17,61258200000
2014-01-21,60845580000
2014-01-22,61575599999
2014-01-23,60972540000
2014-01-24,58449210000
2014-01-27,58338120000
2014-01-28,58417470000
2014-01-29,57687450000
2014-01-30,58465080000
2014-01-31,57258960000
2014-02-03,55941750000
2014-02-04,56846340000
2014-02-05,55925880000
2014-02-06,55910009999
2014-02-07,57306570000
2014-02-10,55386300000
2014-02-11,55941750000
2014-02-12,56433720000
2014-02-13,55862400000
2014-02-14,57052650000
2014-02-18,57623970000
2014-02-19,57179610000
2014-02-20,57941370000
2014-02-21,58227030000
2014-02-24,58004849999
2014-02-25,57290700000
2014-02-26,58449210000
2014-02-27,58353990000
2014-02-28,57449400000
2014-03-03,57465270000
2014-03-04,58607910000
2014-03-05,59544240000
2014-03-06,59575980000
2014-03-07,59814030000
2014-03-10,58861830000
2014-03-11,55830660000
2014-03-12,55322820000
2014-03-13,54100830000
2014-03-14,54100830000
2014-03-17,54957810000
2014-03-18,55814790000
2014-03-19,55402169999
2014-03-20,55957620000
2014-03-21,55560870000
2014-03-24,55767180000
2014-03-25,54767370000
2014-03-26,54307140000
2014-03-27,54767370000
2014-03-28,55116509999
2014-03-31,55347360000
2014-04-01,55218720000
2014-04-02,56087040000
2014-04-03,56987520000
2014-04-04,55974480000
2014-04-07,54848880000
2014-04-08,55524240000
2014-04-09,54060959999
2014-04-10,53546399999
2014-04-11,51343440000
2014-04-14,52340399999
2014-04-15,53642880000
2014-04-16,54623760000
2014-04-17,54639839999
2014-04-21,54639839999
2014-04-22,55041839999
2014-04-23,55299120000
2014-04-24,54945360000
2014-04-25,54221760000
2014-04-28,54286080000
2014-04-29,54655920000
2014-04-30,55443839999
2014-05-01,56119200000
2014-05-02,56231760000
2014-05-05,55878000000
2014-05-06,55878000000
2014-05-07,56392560000
2014-05-08,56038800000
2014-05-09,55041839999
2014-05-12,55990560000
2014-05-13,56521200000
2014-05-14,56183520000
2014-05-15,55250880000
2014-05-16,54672000000
2014-05-19,55074000000
2014-05-20,53176560000
2014-05-21,53803680000
2014-05-22,53739360000
2014-05-23,54077040000
2014-05-27,54575520000
2014-05-28,55620720000
2014-05-29,55395600000
2014-05-30,55604640000
2014-06-02,56054880000
2014-06-03,56698080000
2014-06-04,58724160000
2014-06-05,58322160000
2014-06-06,58772399999
2014-06-09,58692000000
2014-06-10,58531200000
2014-06-11,58080959999
2014-06-12,57116160000
2014-06-13,57293040000
2014-06-16,57984480000
2014-06-17,58466880000
2014-06-18,58370399999
2014-06-19,58482959999
2014-06-20,58241760000
2014-06-23,58965360000
2014-06-24,58820640000
2014-06-25,59640720000
2014-06-26,59335200000
2014-06-27,58884959999
2014-06-30,58515599999
2014-07-01,60595080000
2014-07-02,60836880000
2014-07-03,60836880000
2014-07-07,60353280000
2014-07-08,60578960000
2014-07-09,61207640000
2014-07-10,60853000000
2014-07-11,61175400000
2014-07-14,60772400000
2014-07-15,60578960000
2014-07-16,60417759999
2014-07-17,59805200000
2014-07-18,60304919999
2014-07-21,60337160000
2014-07-22,60869120000
2014-07-23,60304919999
2014-07-24,57612880000
2014-07-25,56532840000
