,ADBE
2003-02-27,6287795640
2003-02-28,6383410000
2003-03-03,6209317000
2003-03-04,6135037320
2003-03-05,6021296560
2003-03-06,6204674520
2003-03-07,6271990480
2003-03-10,6176819640
2003-03-11,6181462120
2003-03-12,6381088760
2003-03-13,6620176480
2003-03-14,7147097960
2003-03-17,7469750320
2003-03-18,7469750320
2003-03-19,7664734480
2003-03-20,7908464680
2003-03-21,7444216680
2003-03-24,7091388200
2003-03-25,7351367080
2003-03-26,7416361800
2003-03-27,7311906000
2003-03-28,7379221960
2003-03-31,7156382920
2003-04-01,7105315640
2003-04-02,7627594640
2003-04-03,7669376960
2003-04-04,7474392800
2003-04-07,7687946415
2003-04-08,7516175584
2003-04-09,7397791880
2003-04-10,7523138839
2003-04-11,7513853415
2003-04-14,7778474775
2003-04-15,7864361584
2003-04-16,7704195095
2003-04-17,8066309000
2003-04-21,8059345744
2003-04-22,8187013480
2003-04-23,8256650680
2003-04-24,8293790519
2003-04-25,8036132415
2003-04-28,8149873640
2003-04-29,8180050224
2003-04-30,8015241255
2003-05-01,8521272040
2003-05-02,8802141615
2003-05-05,8746432320
2003-05-06,8690722095
2003-05-07,8558411415
2003-05-08,8342536095
2003-05-09,8484132199
2003-05-12,8611799935
2003-05-13,8470205224
2003-05-14,8414495000
2003-05-15,8444671584
2003-05-16,8342536095
2003-05-19,7790081904
2003-05-20,7776154000
2003-05-21,7820257095
2003-05-22,8052381095
2003-05-23,8038454584
2003-05-27,8205582935
2003-05-28,8282184320
2003-05-29,8170764800
2003-05-30,8242416480
2003-06-02,8177074560
2003-06-03,8151404520
2003-06-04,8660138040
2003-06-05,8781487786
2003-06-06,8702143560
2003-06-09,8261086066
2003-06-10,8354431199
2003-06-11,8359098480
2003-06-12,8396436719
2003-06-13,7362634200
2003-06-16,7397638800
2003-06-17,7581996826
2003-06-18,7483983480
2003-06-19,7360300560
2003-06-20,7441977960
2003-06-23,7259954040
2003-06-24,7215614880
2003-06-25,7301959560
2003-06-26,7497985786
2003-06-27,7607665933
2003-06-30,7483983480
2003-07-01,7659006480
2003-07-02,7836363586
2003-07-03,7901705040
2003-07-07,8086063066
2003-07-08,8151404520
2003-07-09,8118733560
2003-07-10,7995050173
2003-07-11,8081395786
2003-07-14,8037055693
2003-07-15,8191075933
2003-07-16,8198077786
2003-07-17,7985716546
2003-07-18,7817694000
2003-07-21,7595998199
2003-07-22,7764020280
2003-07-23,7792023960
2003-07-24,7579662719
2003-07-25,7701012000
2003-07-28,7691677440
2003-07-29,7479316199
2003-07-30,7486317586
2003-07-31,7638003719
2003-08-01,7607665933
2003-08-04,7726682040
2003-08-05,7567994520
2003-08-06,7364967840
2003-08-07,7402306080
2003-08-08,7416307920
2003-08-11,7761686173
2003-08-12,7892370480
2003-08-13,8023054786
2003-08-14,8009052480
2003-08-15,8018387040
2003-08-18,8450110440
2003-08-19,8587795199
2003-08-20,8527120560
2003-08-21,8970511693
2003-08-22,8727814066
2003-08-25,8867832000
2003-08-26,8900502960
2003-08-27,8912170693
2003-08-28,9075525960
2003-08-29,9256451196
2003-09-02,9380409923
2003-09-03,9382794240
2003-09-04,9239763363
2003-09-05,9037137440
2003-09-08,9223076483
2003-09-09,9065743043
2003-09-10,8674793760
2003-09-11,9406632640
2003-09-12,9423319520
2003-09-15,9358955840
2003-09-16,9492450880
2003-09-17,9647400480
2003-09-18,9897703680
2003-09-19,9861946080
2003-09-22,9554430720
2003-09-23,9883400640
2003-09-24,9656935840
2003-09-25,9847643040
2003-09-26,9690309600
2003-09-29,9583036800
2003-09-30,9389945760
2003-10-01,9487683200
2003-10-02,9456693280
2003-10-03,9742754080
2003-10-06,9783279360
2003-10-07,9842875360
2003-10-08,10035966400
2003-10-09,9995441120
2003-10-10,9990673440
2003-10-13,10200451360
2003-10-14,10217138240
2003-10-15,10219522080
2003-10-16,10224289760
2003-10-17,10119400800
2003-10-20,10176612960
2003-10-21,10283885760
2003-10-22,10152774560
2003-10-23,10097946240
2003-10-24,10014511840
2003-10-27,10021663360
2003-10-28,10353017120
2003-10-29,10648613280
2003-10-30,10555643520
2003-10-31,10431683840
2003-11-03,10763037600
2003-11-04,10662916320
2003-11-05,10748734560
2003-11-06,10925138720
2003-11-07,10734431520
2003-11-10,10350633280
2003-11-11,10186148320
2003-11-12,10195683680
2003-11-13,10221905920
2003-11-14,9795198560
2003-11-17,9630713600
2003-11-18,9559198400
2003-11-19,9440006400
2003-11-20,9130107200
2003-11-21,9382794240
2003-11-24,9869097600
2003-11-25,9780895520
2003-11-26,9802350080
2003-11-28,9847643040
2003-12-01,10033582560
2003-12-02,9823804640
2003-12-03,9931077440
2003-12-04,9928693600
2003-12-05,9273137600
2003-12-08,9399481120
2003-12-09,8994228320
2003-12-10,9077662720
2003-12-11,9482915520
2003-12-12,9583036800
2003-12-15,9013299040
2003-12-16,9256450720
2003-12-17,9320814400
2003-12-18,9563966080
2003-12-19,9268369920
2003-12-22,9499602400
2003-12-23,9592572160
2003-12-24,9535360000
2003-12-26,9470996320
2003-12-29,9552046880
2003-12-30,9444774080
2003-12-31,9316046720
2004-01-02,9322959856
2004-01-05,9487683200
2004-01-06,9497218560
2004-01-07,9401864960
2004-01-08,9058592000
2004-01-09,8848814080
2004-01-12,8906026240
2004-01-13,8865500960
2004-01-14,8855965600
2004-01-15,9165864800
2004-01-16,9130107200
2004-01-20,9177784000
2004-01-21,9184935520
2004-01-22,8867884800
2004-01-23,9068127360
2004-01-26,9139642560
2004-01-27,8960854560
2004-01-28,8735820064
2004-01-29,8612813920
2004-01-30,9130107200
2004-02-02,9015682880
2004-02-03,9008531360
2004-02-04,9039521280
2004-02-05,8996612160
2004-02-06,9277905280
2004-02-09,9268369920
2004-02-10,9232612320
2004-02-11,9416168000
2004-02-12,9405679104
2004-02-13,9184935520
2004-02-17,9342268960
2004-02-18,9480531680
2004-02-19,9130107200
2004-02-20,9044288960
2004-02-23,8724854400
2004-02-24,8648571520
2004-02-25,8581824000
2004-02-26,8989460640
2004-02-27,8879804000
2004-03-01,8932248480
2004-03-02,8951319200
2004-03-03,8808288800
2004-03-04,8746308960
2004-03-05,8700048740
2004-03-08,8549718770
2004-03-09,8611759710
