,PX
2024-07-10,1018891650
2024-07-11,1068397119
2024-07-12,1087969050
2024-07-15,1107540980
2024-07-16,1166256770
2024-07-17,1146684840
2024-07-18,1130566780
2024-07-19,1121356460
2024-07-22,1130566780
2024-07-23,1142079680
2024-07-24,1125961620
2024-07-25,1157046450
2024-07-26,1170861930
2024-07-29,1146684840
2024-07-30,1138625810
2024-07-31,1147836130
2024-08-01,1110994850
2024-08-02,1075304860
2024-08-05,1024648100
2024-08-06,979770480
2024-08-07,965163810
2024-08-08,986512019
2024-08-09,1044938700
