,VNT
2021-02-24,5469254000
2021-02-25,5383217000
2021-02-26,5297180000
2021-03-01,5442262000
2021-03-02,5330920000
2021-03-03,5145350000
2021-03-04,5214517000
2021-03-05,5401774000
2021-03-08,5341042000
2021-03-09,5239822000
2021-03-10,5219578000
2021-03-11,5207769000
2021-03-12,5243196000
2021-03-15,5204395000
2021-03-16,5201021000
2021-03-17,5366347000
2021-03-18,5388278000
2021-03-19,5418644000
2021-03-22,5427079000
2021-03-23,5255005000
2021-03-24,5195960000
2021-03-25,5238135000
2021-03-26,5266814000
2021-03-29,5150411000
2021-03-30,5147037000
2021-03-31,5106549000
2021-04-01,5243196000
2021-04-05,5311670000
2021-04-06,5264350000
2021-04-07,5144360000
2021-04-08,5174780000
2021-04-09,5196750000
2021-04-12,5294770000
2021-04-13,5293080000
2021-04-14,5289700000
2021-04-15,5288010000
2021-04-16,5328570000
2021-04-19,5338710000
2021-04-20,5230550000
2021-04-21,5171400000
2021-04-22,5294770000
2021-04-23,5293080000
2021-04-26,5293080000
2021-04-27,5355610000
2021-04-28,5389410000
2021-04-29,5433350000
2021-04-30,5296460000
2021-05-03,5370820000
2021-05-04,5370820000
2021-05-05,5357300000
2021-05-06,5595590000
2021-05-07,5876130000
2021-05-10,5827119999
2021-05-11,5762900000
2021-05-12,5659810000
2021-05-13,5644600000
2021-05-14,5744310000
2021-05-17,5767970000
2021-05-18,5734170000
2021-05-19,5744310000
2021-05-20,5867680000
2021-05-21,5832190000
2021-05-24,5854160000
2021-05-25,5867680000
2021-05-26,5943730000
2021-05-27,5947110000
2021-05-28,5928520000
2021-06-01,5931900000
2021-06-02,5847400000
2021-06-03,5746000000
2021-06-04,5806840000
2021-06-07,5724030000
2021-06-08,5810220000
2021-06-09,5827119999
2021-06-10,5933590000
2021-06-11,5889650000
2021-06-14,5705440000
2021-06-15,5656430000
2021-06-16,5715580000
2021-06-17,5620940000
2021-06-18,5605730000
2021-06-21,5600660000
2021-06-22,5571930000
2021-06-23,5544890000
2021-06-24,5538130000
2021-06-25,5538130000
2021-06-28,5485740000
2021-06-29,5480670000
2021-06-30,5506020000
2021-07-01,5485740000
2021-07-02,5529570000
2021-07-06,5463621000
2021-07-07,5445020000
2021-07-08,5392599000
2021-07-09,5477149000
2021-07-12,5451784000
2021-07-13,5353706000
2021-07-14,5421346000
2021-07-15,5319886000
2021-07-16,5265774000
2021-07-19,5255628000
2021-07-20,5468694000
2021-07-21,5512660000
2021-07-22,5512660000
2021-07-23,5558317000
2021-07-26,5526188000
2021-07-27,5419654999
2021-07-28,5345251000
2021-07-29,5411200000
2021-07-30,5470385000
2021-08-02,5463621000
2021-08-03,5499132000
2021-08-04,5441638000
2021-08-05,5461929999
2021-08-06,5651322000
2021-08-09,5683451000
2021-08-10,5705434000
2021-08-11,5828877000
2021-08-12,5808585000
2021-08-13,5789984000
2021-08-16,5811967000
2021-08-17,5720653000
2021-08-18,5737563000
2021-08-19,5754473000
2021-08-20,5823804000
2021-08-23,5881298000
2021-08-24,5935410000
2021-08-25,6033488000
2021-08-26,6004741000
2021-08-27,6118038000
2021-08-30,6156930999
2021-08-31,6150167000
2021-09-01,6202588000
2021-09-02,6217807000
2021-09-03,6231335000
2021-09-07,6202588000
2021-09-08,6155240000
2021-09-09,6131566000
2021-09-10,6133257000
2021-09-13,6182296000
2021-09-14,6107892000
2021-09-15,6168767999
2021-09-16,6068999000
2021-09-17,5942174000
2021-09-20,5754473000
2021-09-21,5651322000
2021-09-22,5783220000
2021-09-23,5823804000
2021-09-24,5898208000
2021-09-27,5893135000
2021-09-28,5827186000
2021-09-29,5817040000
2021-09-30,5681760000
2021-10-01,5759568000
2021-10-04,5707115999
2021-10-05,5724036000
2021-10-06,5632668000
2021-10-07,5700348000
2021-10-08,5715576000
2021-10-11,5512536000
2021-10-12,5548068000
2021-10-13,5632668000
2021-10-14,5751108000
2021-10-15,5771412000
2021-10-18,5742648000
2021-10-19,5786640000
2021-10-20,5813712000
2021-10-21,5827248000
2021-10-22,5810328000
2021-10-25,5786640000
2021-10-26,5722344000
2021-10-27,5644512000
2021-10-28,5674968000
2021-10-29,5724036000
2021-11-01,5766336000
2021-11-02,5820480000
2021-11-03,5822171999
2021-11-04,5541300000
2021-11-05,5676659999
2021-11-08,5641128000
2021-11-09,5703732000
2021-11-10,5681736000
2021-11-11,5576832000
2021-11-12,5686812000
2021-11-15,5637744000
2021-11-16,5666508000
2021-11-17,5669892000
2021-11-18,5663124000
2021-11-19,5744340000
2021-11-22,5669892000
2021-11-23,5649588000
2021-11-24,5636052000
2021-11-26,5493924000
2021-11-29,5419476000
2021-11-30,5331492000
2021-12-01,5141988000
2021-12-02,5250276000
2021-12-03,5184288000
2021-12-06,5356872000
2021-12-07,5399172000
2021-12-08,5378868000
2021-12-09,5285808000
2021-12-10,5213052000
2021-12-13,5160600000
2021-12-14,5138604000
2021-12-15,5170752000
2021-12-16,5126760000
2021-12-17,5074308000
2021-12-20,4901724000
2021-12-21,5026932000
2021-12-22,5099688000
2021-12-23,5136912000
2021-12-27,5196132000
2021-12-28,5219820000
2021-12-29,5292576000
2021-12-30,5226588000
2021-12-31,5098107000
2022-01-03,5064927000
2022-01-04,5141241000
2022-01-05,5088153000
2022-01-06,5131287000
2022-01-07,5073222000
2022-01-10,5028429000
2022-01-11,5076540000
2022-01-12,5045019000
2022-01-13,5058291000
2022-01-14,4977000000
2022-01-18,4940502000
2022-01-19,4882437000
2022-01-20,4779579000
2022-01-21,4689993000
2022-01-24,4756353000
2022-01-25,4577181000
2022-01-26,4480959000
2022-01-27,4514139000
2022-01-28,4577181000
2022-01-31,4663449000
2022-02-01,4645200000
2022-02-02,4698288000
2022-02-03,4485936000
2022-02-04,4477641000
2022-02-07,4432848000
2022-02-08,4548978000
2022-02-09,4577181000
2022-02-10,4616997000
2022-02-11,4565568000
2022-02-14,4553955000
2022-02-15,4680039000
2022-02-16,4671744000
2022-02-17,4102707000
2022-02-18,4061232000
2022-02-22,4135887000
2022-02-23,3938465999
2022-02-24,3981600000
2022-02-25,4016439000
2022-02-28,4031370000
2022-03-01,3888696000
2022-03-02,4003167000
2022-03-03,4024734000
2022-03-04,3965010000
2022-03-07,3744363000
2022-03-08,3684639000
2022-03-09,3882060000
2022-03-10,3794133000
2022-03-11,3815700000
2022-03-14,3769248000
2022-03-15,3732750000
2022-03-16,3918558000
2022-03-17,3978282000
2022-03-18,4061232000
2022-03-21,4041324000
2022-03-22,4062890999
2022-03-23,3998190000
2022-03-24,4009803000
2022-03-25,4091094000
2022-03-28,4071186000
2022-03-29,4154136000
2022-03-30,4160771999
2022-03-31,4212201000
2022-04-01,4020525000
2022-04-04,4075095000
2022-04-05,4026945000
2022-04-06,3943485000
2022-04-07,3977190000
2022-04-08,4012500000
2022-04-11,4007685000
2022-04-12,3956325000
2022-04-13,4014105000
2022-04-14,4015710000
2022-04-18,4039785000
2022-04-19,4173000000
2022-04-20,4270905000
2022-04-21,4238805000
2022-04-22,4168185000
2022-04-25,4246830000
2022-04-26,4115220000
2022-04-27,4118430000
2022-04-28,4209915000
2022-04-29,4112010000
2022-05-02,4112010000
2022-05-03,4171394999
2022-05-04,4319055000
2022-05-05,4368810000
2022-05-06,4331895000
2022-05-09,4280535000
2022-05-10,4153740000
2022-05-11,4161765000
2022-05-12,4160160000
2022-05-13,4296585000
2022-05-16,4317450000
2022-05-17,4477950000
2022-05-18,4381650000
2022-05-19,4497210000
2022-05-20,4511655000
2022-05-23,4495605000
2022-05-24,4429800000
2022-05-25,4285350000
2022-05-26,4383255000
2022-05-27,4424985000
2022-05-31,4304610000
2022-06-01,4347945000
2022-06-02,4418565000
2022-06-03,4288560000
2022-06-06,4331895000
2022-06-07,4306215000
2022-06-08,4251644999
2022-06-09,4184235000
2022-06-10,3994845000
2022-06-13,3776565000
2022-06-14,3721995000
2022-06-15,3771750000
2022-06-16,3556680000
2022-06-17,3673845000
2022-06-21,3778170000
2022-06-22,3771750000
2022-06-23,3738045000
2022-06-24,3750885000
2022-06-27,3723600000
2022-06-28,3705945000
2022-06-29,3710760000
2022-06-30,3689894999
2022-07-01,3640182000
2022-07-05,3568992000
2022-07-06,3483564000
2022-07-07,3567410000
2022-07-08,3531024000
2022-07-11,3481982000
2022-07-12,3474072000
2022-07-13,3467744000
2022-07-14,3396554000
2022-07-15,3488310000
2022-07-18,3475654000
2022-07-19,3649674000
2022-07-20,3739848000
2022-07-21,3812620000
2022-07-22,3830022000
2022-07-25,3861662000
2022-07-26,3842678000
2022-07-27,3943926000
2022-07-28,4045174000
2022-07-29,4081560000
2022-08-01,4097380000
2022-08-02,4079978000
2022-08-03,4168570000
2022-08-04,3915450000
2022-08-05,3910704000
2022-08-08,3880646000
2022-08-09,3746176000
2022-08-10,3874317999
2022-08-11,3823694000
2022-08-12,3830022000
2022-08-15,3806292000
2022-08-16,3836350000
2022-08-17,3773070000
2022-08-18,3849005999
2022-08-19,3741430000
2022-08-22,3618034000
2022-08-23,3622780000
2022-08-24,3668658000
2022-08-25,3744594000
2022-08-26,3570574000
2022-08-29,3578484000
2022-08-30,3494638000
2022-08-31,3467744000
2022-09-01,3489892000
2022-09-02,3418702000
2022-09-06,3320617999
2022-09-07,3383898000
2022-09-08,3396554000
2022-09-09,3450342000
2022-09-12,3493055999
2022-09-13,3301634000
2022-09-14,3307962000
2022-09-15,3176655999
2022-09-16,3089646000
2022-09-19,3081736000
2022-09-20,2989980000
2022-09-21,2950430000
2022-09-22,2882404000
2022-09-23,2865002000
2022-09-26,2705220000
2022-09-27,2725786000
2022-09-28,2779574000
2022-09-29,2722622000
2022-09-30,2628483000
2022-10-03,2749604000
2022-10-04,2834546000
2022-10-05,2854995000
2022-10-06,2765333999
2022-10-07,2674100000
2022-10-10,2691403000
2022-10-11,2694549000
2022-10-12,2691403000
2022-10-13,2741739000
2022-10-14,2688257000
2022-10-17,2806232000
2022-10-18,2897466000
2022-10-19,2858141000
2022-10-20,2812524000
2022-10-21,2873871000
2022-10-24,2908476999
2022-10-25,3006003000
2022-10-26,2943083000
2022-10-27,2998138000
2022-10-28,3064204000
2022-10-31,3004430000
2022-11-01,3078361000
2022-11-02,2966678000
2022-11-03,2707133000
2022-11-04,2793648000
2022-11-07,2919488000
2022-11-08,2875444000
2022-11-09,2894320000
2022-11-10,3147573000
2022-11-11,3237233999
2022-11-14,3166449000
2022-11-15,3175887000
2022-11-16,3068923000
2022-11-17,3043755000
2022-11-18,3039036000
2022-11-21,3004430000
2022-11-22,3028025000
2022-11-23,3051620000
2022-11-25,3079933999
2022-11-28,2996565000
2022-11-29,3002857000
2022-11-30,3087799000
2022-12-01,3043755000
2022-12-02,3079933999
2022-12-05,3013868000
2022-12-06,2990273000
2022-12-07,2974543000
2022-12-08,2988700000
2022-12-09,3001283999
2022-12-12,3009149000
2022-12-13,3072069000
2022-12-14,3112967000
2022-12-15,2974543000
2022-12-16,2932072000
2022-12-19,2905331000
2022-12-20,2905331000
2022-12-21,2999711000
2022-12-22,2914769000
2022-12-23,2969824000
2022-12-27,2966678000
2022-12-28,2908476999
2022-12-29,3031171000
2022-12-30,3040608999
2023-01-03,3056391000
2023-01-04,3171609000
2023-01-05,3107772000
2023-01-06,3249459000
2023-01-09,3314853000
2023-01-10,3358449000
2023-01-11,3363120000
2023-01-12,3405159000
2023-01-13,3403602000
2023-01-17,3350664000
2023-01-18,3356892000
2023-01-19,3289941000
2023-01-20,3367791000
2023-01-23,3436299000
2023-01-24,3395817000
2023-01-25,3392703000
2023-01-26,3425400000
2023-01-27,3479895000
2023-01-30,3501692999
2023-01-31,3585771000
2023-02-01,3669849000
2023-02-02,3758598000
2023-02-03,3715002000
2023-02-06,3657392999
2023-02-07,3682305000
2023-02-08,3646494000
2023-02-09,3598227000
2023-02-10,3602898000
2023-02-13,3646494000
2023-02-14,3655836000
2023-02-15,3704103000
2023-02-16,4060655999
2023-02-17,4066884000
2023-02-21,3973464000
2023-02-22,3998376000
2023-02-23,4026402000
2023-02-24,4034187000
2023-02-27,4045086000
2023-02-28,4074669000
2023-03-01,4160304000
2023-03-02,4188330000
2023-03-03,4283307000
2023-03-06,4235040000
2023-03-07,4164975000
2023-03-08,4207014000
2023-03-09,4141620000
2023-03-10,3993705000
2023-03-13,3861360000
2023-03-14,4018617000
2023-03-15,3951666000
2023-03-16,4007717999
2023-03-17,3929867999
2023-03-20,3998376000
2023-03-21,4041972000
2023-03-22,3946995000
2023-03-23,3973464000
2023-03-24,3976578000
2023-03-27,4029516000
2023-03-28,4027959000
2023-03-29,4090239000
2023-03-30,4174317000
2023-03-31,4248636000
2023-04-03,4229988000
2023-04-04,4105668000
2023-04-05,4013981999
2023-04-06,3990672000
2023-04-10,4073034000
2023-04-11,4085466000
2023-04-12,4135194000
2023-04-13,4174044000
2023-04-14,4189584000
2023-04-17,4205124000
2023-04-18,4237758000
2023-04-19,4222218000
2023-04-20,4236204000
2023-04-21,4259514000
2023-04-24,4267284000
2023-04-25,4138302000
2023-04-26,4104114000
2023-04-27,4186476000
2023-04-28,4216002000
2023-05-01,4254852000
2023-05-02,4214448000
2023-05-03,4147626000
2023-05-04,4259514000
2023-05-05,4318566000
2023-05-08,4276608000
2023-05-09,4306134000
2023-05-10,4301472000
2023-05-11,4344984000
2023-05-12,4329444000
2023-05-15,4419576000
2023-05-16,4425792000
2023-05-17,4517478000
2023-05-18,4550112000
2023-05-19,4551666000
2023-05-22,4540788000
2023-05-23,4515924000
2023-05-24,4472412000
2023-05-25,4537680000
2023-05-26,4666662000
2023-05-30,4669770000
2023-05-31,4606056000
2023-06-01,4612272000
2023-06-02,4689972000
2023-06-05,4663554000
2023-06-06,4763010000
2023-06-07,4818954000
2023-06-08,4809630000
2023-06-09,4780104000
2023-06-12,4887330000
2023-06-13,4937058000
2023-06-14,4881114000
2023-06-15,4938612000
2023-06-16,4899762000
2023-06-20,4874898000
2023-06-21,4859358000
2023-06-22,4834494000
2023-06-23,4758348000
2023-06-26,4764564000
2023-06-27,4857804000
2023-06-28,4874898000
2023-06-29,4960368000
2023-06-30,4986108000
2023-07-03,4931928000
2023-07-05,4842144000
2023-07-06,4835952000
2023-07-07,4933476000
2023-07-10,5001588000
2023-07-11,5021712000
2023-07-12,5078988000
2023-07-13,5071248000
2023-07-14,5017067999
2023-07-17,5040288000
2023-07-18,5057316000
2023-07-19,5029452000
2023-07-20,4936572000
2023-07-21,4924188000
2023-07-24,4921092000
2023-07-25,4900968000
2023-07-26,4806540000
2023-07-27,4806540000
2023-07-28,4761648000
2023-07-31,4787964000
2023-08-01,4797252000
2023-08-02,4699728000
2023-08-03,4608396000
2023-08-04,4594464000
2023-08-07,4647096000
2023-08-08,4684248000
2023-08-09,4583628000
2023-08-10,4555764000
2023-08-11,4521708000
2023-08-14,4526352000
2023-08-15,4538736000
2023-08-16,4561956000
2023-08-17,4554216000
2023-08-18,4503132000
2023-08-21,4566600000
2023-08-22,4654836000
2023-08-23,4688892000
2023-08-24,4676508000
2023-08-25,4743072000
2023-08-28,4794156000
2023-08-29,4839048000
2023-08-30,4871556000
2023-08-31,4862268000
2023-09-01,4927284000
2023-09-05,4753908000
2023-09-06,4775580000
2023-09-07,4695084000
2023-09-08,4662576000
2023-09-11,4678056000
2023-09-12,4619232000
2023-09-13,4606848000
2023-09-14,4668768000
2023-09-15,4674960000
2023-09-18,4871556000
2023-09-19,4789512000
2023-09-20,4791060000
2023-09-21,4696632000
2023-09-22,4696632000
2023-09-25,4741524000
2023-09-26,4620780000
2023-09-27,4789512000
2023-09-28,4808088000
2023-09-29,4780232000
2023-10-02,4718392000
2023-10-03,4749312000
2023-10-04,4787962000
2023-10-05,4777140000
2023-10-06,4764772000
2023-10-09,4786416000
2023-10-10,4860624000
2023-10-11,4882268000
2023-10-12,4825066000
2023-10-13,4778686000
2023-10-16,4823520000
2023-10-17,4897728000
2023-10-18,4696748000
2023-10-19,4687472000
2023-10-20,4641092000
2023-10-23,4608626000
2023-10-24,4591620000
2023-10-25,4488038000
2023-10-26,4522050000
2023-10-27,4505044000
2023-10-30,4529780000
2023-10-31,4569976000
2023-11-01,4585436000
2023-11-02,4863716000
2023-11-03,4998218000
2023-11-06,5033776000
2023-11-07,4999764000
2023-11-08,5019862000
2023-11-09,4927102000
2023-11-10,4993580000
2023-11-13,5050782000
2023-11-14,5182192000
2023-11-15,5217750000
2023-11-16,5219296000
2023-11-17,5248670000
2023-11-20,5210020000
2023-11-21,5162094000
2023-11-22,5168278000
2023-11-24,5157456000
2023-11-27,5247124000
2023-11-28,5172916000
2023-11-29,5176007999
2023-11-30,5214657999
2023-12-01,5308964000
2023-12-04,5308964000
2023-12-05,5240940000
2023-12-06,5211566000
2023-12-07,5261038000
2023-12-08,5293504000
2023-12-11,5329062000
2023-12-12,5296596000
2023-12-13,5293504000
2023-12-14,5440374000
2023-12-15,5398632000
2023-12-18,5370804000
2023-12-19,5418730000
2023-12-20,5298142000
2023-12-21,5325970000
2023-12-22,5319785999
2023-12-26,5363074000
2023-12-27,5412546000
2023-12-28,5384718000
2023-12-29,5341430000
2024-01-02,5259180000
2024-01-03,5169570000
2024-01-04,5164935000
2024-01-05,5202015000
2024-01-08,5217465000
2024-01-09,5175750000
2024-01-10,5185020000
2024-01-11,5421405000
2024-01-12,5364240000
2024-01-16,5269995000
2024-01-17,5240640000
2024-01-18,5376600000
2024-01-19,5456940000
2024-01-22,5526465000
2024-01-23,5441490000
2024-01-24,5339520000
2024-01-25,5354969999
2024-01-26,5334885000
2024-01-29,5418315000
2024-01-30,5415225000
2024-01-31,5344155000
2024-02-01,5515650000
2024-02-02,5566635000
2024-02-05,5577450000
2024-02-06,5606805000
2024-02-07,5583630000
2024-02-08,5636159999
2024-02-09,5670150000
2024-02-12,5680965000
2024-02-13,5514105000
2024-02-14,5628435000
2024-02-15,5968335000
2024-02-16,6349950000
2024-02-20,6348405000
2024-02-21,6436469999
2024-02-22,6583245000
2024-02-23,6584790000
2024-02-26,6560070000
2024-02-27,6598695000
2024-02-28,6618780000
2024-02-29,6643500000
2024-03-01,6662040000
2024-03-04,6730020000
2024-03-05,6722295000
2024-03-06,6660495000
2024-03-07,6734655000
2024-03-08,6706844999
2024-03-11,6575520000
2024-03-12,6615690000
2024-03-13,6634230000
2024-03-14,6600240000
2024-03-15,6672855000
2024-03-18,6675945000
2024-03-19,6808815000
2024-03-20,6878340000
2024-03-21,6952500000
2024-03-22,6915420000
2024-03-25,6870615000
2024-03-26,6830445000
2024-03-27,6912330000
2024-03-28,7008120000
2024-04-01,6992670000
2024-04-02,6949409999
2024-04-03,6776370000
2024-04-04,6609510000
2024-04-05,6657405000
2024-04-08,6692940000
2024-04-09,6606420000
2024-04-10,6487455000
2024-04-11,6498270000
2024-04-12,6422565000
2024-04-15,6346860000
2024-04-16,6274245000
2024-04-17,6240255000
2024-04-18,6230985000
2024-04-19,6173820000
2024-04-22,6207810000
2024-04-23,6297420000
2024-04-24,6227895000
2024-04-25,6300510000
2024-04-26,6368490000
2024-04-29,6414840000
2024-04-30,6277335000
2024-05-01,6275790000
2024-05-02,6234075000
2024-05-03,6093480000
2024-05-06,6152190000
2024-05-07,6363855000
2024-05-08,6266520000
2024-05-09,6269610000
2024-05-10,6272700000
2024-05-13,6220170000
2024-05-14,6210900000
2024-05-15,6257250000
2024-05-16,6203175000
2024-05-17,6144465000
2024-05-20,6215534999
2024-05-21,6258795000
2024-05-22,6300510000
2024-05-23,6180000000
2024-05-24,6240255000
2024-05-28,6101205000
2024-05-29,5993055000
2024-05-30,6045585000
2024-05-31,6176909999
2024-06-03,6095025000
2024-06-04,6028590000
2024-06-05,6102750000
2024-06-06,6048675000
2024-06-07,6028590000
2024-06-10,5993055000
2024-06-11,5877180000
2024-06-12,6006960000
2024-06-13,5985330000
2024-06-14,5891085000
2024-06-17,5926620000
2024-06-18,6091935000
2024-06-20,6054855000
2024-06-21,6108930000
2024-06-24,6081120000
2024-06-25,5929710000
2024-06-26,5931255000
2024-06-27,5887995000
2024-06-28,5901900000
2024-07-01,5854005000
2024-07-02,5914260000
2024-07-03,5921985000
2024-07-05,5881815000
2024-07-08,5895719999
2024-07-09,5869455000
2024-07-10,5980695000
2024-07-11,6135195000
2024-07-12,6118200000
2024-07-15,6252615000
2024-07-16,6394755000
2024-07-17,6317505000
2024-07-18,6170730000
2024-07-19,6141375000
2024-07-22,6125925000
2024-07-23,6108930000
2024-07-24,5966790000
2024-07-25,5959065000
2024-07-26,6062580000
2024-07-29,6078728000
2024-07-30,6009248000
2024-07-31,6057111999
2024-08-01,5442600000
2024-08-02,5098288000
2024-08-05,5004103999
2024-08-06,5064320000
2024-08-07,5047336000
2024-08-08,5156960000
2024-08-09,5163136000
