,HI
2010-01-25,1107391000
2010-01-26,1104915000
2010-01-27,1121628000
2010-01-28,1135865000
2010-01-29,1135865000
2010-02-01,1132770000
2010-02-02,1140198000
2010-02-03,1148864000
2010-02-04,1147626000
2010-02-05,1145150000
2010-02-08,1151340000
2010-02-09,1161863000
2010-02-10,1172386000
2010-02-11,1181671000
2010-02-12,1207050000
2010-02-16,1191575000
2010-02-17,1200241000
2010-02-18,1202717000
2010-02-19,1223763000
2010-02-22,1241095000
2010-02-23,1238000000
2010-02-24,1241095000
2010-02-25,1249761000
2010-02-26,1241095000
2010-03-01,1267093000
2010-03-02,1294329000
2010-03-03,1304233000
2010-03-04,1303614000
2010-03-05,1311661000
2010-03-08,1315375000
2010-03-09,1314137000
2010-03-10,1317232000
2010-03-11,1325898000
2010-03-12,1344468000
2010-03-15,1344468000
2010-03-16,1366752000
2010-03-17,1364895000
2010-03-18,1363657000
2010-03-19,1367371000
2010-03-22,1367371000
2010-03-23,1378513000
2010-03-24,1378513000
2010-03-25,1367990000
2010-03-26,1363038000
2010-03-29,1365514000
2010-03-30,1368609000
2010-03-31,1363380000
2010-04-01,1393760000
2010-04-05,1393140000
2010-04-06,1403680000
2010-04-07,1492340000
2010-04-08,1471260000
2010-04-09,1468780000
2010-04-12,1476220000
2010-04-13,1489240000
2010-04-14,1497300000
2010-04-15,1486760000
2010-04-16,1490480000
2010-04-19,1515900000
2010-04-20,1525820000
2010-04-21,1530780000
2010-04-22,1522100000
2010-04-23,1520860000
2010-04-26,1532020000
2010-04-27,1494200000
2010-04-28,1492340000
2010-04-29,1500400000
2010-04-30,1523960000
2010-05-03,1518380000
2010-05-04,1501020000
2010-05-05,1466920000
2010-05-06,1519620000
2010-05-07,1489860000
2010-05-10,1558680000
2010-05-11,1542560000
2010-05-12,1577280000
2010-05-13,1577280000
2010-05-14,1568600000
2010-05-17,1597740000
2010-05-18,1560540000
2010-05-19,1523340000
2010-05-20,1461340000
2010-05-21,1468160000
2010-05-24,1463200000
2010-05-25,1447080000
2010-05-26,1453900000
2010-05-27,1492960000
2010-05-28,1505980000
2010-06-01,1463200000
2010-06-02,1451420000
2010-06-03,1478080000
2010-06-04,1408640000
2010-06-07,1379500000
2010-06-08,1364000000
2010-06-09,1364620000
2010-06-10,1375160000
2010-06-11,1383220000
2010-06-14,1365860000
2010-06-15,1385080000
2010-06-16,1386320000
2010-06-17,1383840000
2010-06-18,1376400000
2010-06-21,1377640000
2010-06-22,1335480000
2010-06-23,1304480000
2010-06-24,1292700000
2010-06-25,1324940000
2010-06-28,1335480000
2010-06-29,1333000000
2010-06-30,1324041000
2010-07-01,1323422000
2010-07-02,1309804000
2010-07-06,1296805000
2010-07-07,1302376000
2010-07-08,1322184000
2010-07-09,1302995000
2010-07-12,1299900000
2010-07-13,1305471000
2010-07-14,1303614000
2010-07-15,1297424000
2010-07-16,1292472000
2010-07-19,1297424000
2010-07-20,1317851000
2010-07-21,1287520000
2010-07-22,1309804000
2010-07-23,1318470000
2010-07-26,1352515000
2010-07-27,1361181000
2010-07-28,1343849000
2010-07-29,1348801000
2010-07-30,1367371000
2010-08-02,1397083000
2010-08-03,1369847000
2010-08-04,1319708000
2010-08-05,1299281000
2010-08-06,1298662000
2010-08-09,1285044000
2010-08-10,1275140000
2010-08-11,1253475000
2010-08-12,1257808000
2010-08-13,1257189000
2010-08-16,1257808000
2010-08-17,1260903000
2010-08-18,1258427000
2010-08-19,1246666000
2010-08-20,1243571000
2010-08-23,1254713000
2010-08-24,1251618000
2010-08-25,1242333000
2010-08-26,1228715000
2010-08-27,1237381000
2010-08-30,1207669000
2010-08-31,1177957000
2010-09-01,1223763000
2010-09-02,1252856000
2010-09-03,1273283000
2010-09-07,1253475000
2010-09-08,1277616000
2010-09-09,1291853000
2010-09-10,1292472000
2010-09-13,1318470000
2010-09-14,1302995000
2010-09-15,1312280000
2010-09-16,1301138000
2010-09-17,1331469000
2010-09-20,1325898000
2010-09-21,1314756000
2010-09-22,1289996000
2010-09-23,1289377000
2010-09-24,1314137000
2010-09-27,1313518000
2010-09-28,1333945000
2010-09-29,1330231000
2010-09-30,1333620000
2010-10-01,1346020000
2010-10-04,1318120000
2010-10-05,1344160000
2010-10-06,1349120000
2010-10-07,1337960000
2010-10-08,1340440000
2010-10-11,1349740000
2010-10-12,1364620000
2010-10-13,1382600000
2010-10-14,1383840000
2010-10-15,1383840000
2010-10-18,1372060000
2010-10-19,1358420000
2010-10-20,1368960000
2010-10-21,1367720000
2010-10-22,1363380000
2010-10-25,1364000000
2010-10-26,1351600000
2010-10-27,1334860000
2010-10-28,1342300000
2010-10-29,1332380000
2010-11-01,1331140000
2010-11-02,1342920000
2010-11-03,1338580000
2010-11-04,1320600000
2010-11-05,1328040000
2010-11-08,1324940000
2010-11-09,1254880000
2010-11-10,1243100000
2010-11-11,1246820000
2010-11-12,1240000000
2010-11-15,1240000000
2010-11-16,1241240000
2010-11-17,1243720000
2010-11-18,1262320000
2010-11-19,1259220000
2010-11-22,1249300000
2010-11-23,1223260000
2010-11-24,1191020000
2010-11-26,1194120000
2010-11-29,1209000000
2010-11-30,1197220000
2010-12-01,1197220000
2010-12-02,1215820000
2010-12-03,1218300000
2010-12-06,1205280000
2010-12-07,1204040000
2010-12-08,1205280000
2010-12-09,1201560000
2010-12-10,1213960000
2010-12-13,1210240000
2010-12-14,1227600000
2010-12-15,1236900000
2010-12-16,1272240000
2010-12-17,1271620000
2010-12-20,1255500000
2010-12-21,1271620000
2010-12-22,1285880000
2010-12-23,1281540000
2010-12-27,1278440000
2010-12-28,1284640000
2010-12-29,1297040000
2010-12-30,1305100000
2010-12-31,1292301000
2011-01-03,1287333000
2011-01-04,1282986000
2011-01-05,1306584000
2011-01-06,1366821000
2011-01-07,1346949000
2011-01-10,1348191000
2011-01-11,1345707000
2011-01-12,1359990000
2011-01-13,1358748000
2011-01-14,1389177000
2011-01-18,1377378000
2011-01-19,1341981000
2011-01-20,1369305000
2011-01-21,1369926000
2011-01-24,1382967000
2011-01-25,1380483000
2011-01-26,1386693000
2011-01-27,1393524000
2011-01-28,1369305000
2011-01-31,1341981000
2011-02-01,1355022000
2011-02-02,1363716000
2011-02-03,1345707000
2011-02-04,1343844000
2011-02-07,1353780000
2011-02-08,1350675000
2011-02-09,1344465000
2011-02-10,1350675000
2011-02-11,1365579000
2011-02-14,1363716000
2011-02-15,1349433000
2011-02-16,1365579000
2011-02-17,1364337000
2011-02-18,1381725000
2011-02-22,1346328000
2011-02-23,1323351000
2011-02-24,1351296000
2011-02-25,1350675000
2011-02-28,1350675000
2011-03-01,1333287000
2011-03-02,1333908000
2011-03-03,1367442000
2011-03-04,1360611000
2011-03-07,1349433000
2011-03-08,1346949000
2011-03-09,1352538000
2011-03-10,1344465000
2011-03-11,1345086000
2011-03-14,1318383000
2011-03-15,1306584000
2011-03-16,1310310000
2011-03-17,1315278000
2011-03-18,1343223000
2011-03-21,1345086000
2011-03-22,1348812000
2011-03-23,1333908000
2011-03-24,1334529000
2011-03-25,1330182000
2011-03-28,1335150000
2011-03-29,1330182000
2011-03-30,1335771000
2011-03-31,1335150000
2011-04-01,1353159000
2011-04-04,1350675000
2011-04-05,1348191000
2011-04-06,1350054000
2011-04-07,1350675000
2011-04-08,1361232000
2011-04-11,1412775000
2011-04-12,1412775000
2011-04-13,1389177000
2011-04-14,1394145000
2011-04-15,1417122000
2011-04-18,1383588000
2011-04-19,1387314000
2011-04-20,1401597000
2011-04-21,1398492000
2011-04-25,1392282000
2011-04-26,1412154000
2011-04-27,1435131000
2011-04-28,1422090000
2011-04-29,1423332000
2011-05-02,1414638000
2011-05-03,1407186000
2011-05-04,1393524000
2011-05-05,1394145000
2011-05-06,1384209000
2011-05-09,1397250000
2011-05-10,1397871000
2011-05-11,1404081000
2011-05-12,1407807000
2011-05-13,1399734000
2011-05-16,1391040000
2011-05-17,1394766000
2011-05-18,1410912000
2011-05-19,1417743000
2011-05-20,1405323000
2011-05-23,1383588000
2011-05-24,1387935000
2011-05-25,1388556000
2011-05-26,1391040000
2011-05-27,1400355000
2011-05-31,1412775000
2011-06-01,1402839000
2011-06-02,1403460000
2011-06-03,1371168000
2011-06-06,1369305000
2011-06-07,1376136000
2011-06-08,1418364000
2011-06-09,1416501000
2011-06-10,1394145000
2011-06-13,1400976000
2011-06-14,1391661000
2011-06-15,1391040000
2011-06-16,1397250000
2011-06-17,1399734000
2011-06-20,1428300000
2011-06-21,1436373000
2011-06-22,1444446000
2011-06-23,1437615000
2011-06-24,1409670000
2011-06-27,1407186000
2011-06-28,1440099000
2011-06-29,1453140000
2011-06-30,1466300000
2011-07-01,1492960000
2011-07-05,1490480000
2011-07-06,1476220000
2011-07-07,1488000000
2011-07-08,1474980000
2011-07-11,1454520000
2011-07-12,1456380000
2011-07-13,1442120000
2011-07-14,1420420000
2011-07-15,1429720000
2011-07-18,1393760000
2011-07-19,1426620000
2011-07-20,1413600000
2011-07-21,1431580000
2011-07-22,1426000000
2011-07-25,1400580000
2011-07-26,1384460000
2011-07-27,1362140000
2011-07-28,1356560000
2011-07-29,1357180000
2011-08-01,1342920000
2011-08-02,1302620000
2011-08-03,1319980000
2011-08-04,1261700000
2011-08-05,1249300000
2011-08-08,1162500000
2011-08-09,1143900000
2011-08-10,1161260000
2011-08-11,1176760000
2011-08-12,1187920000
2011-08-15,1251780000
2011-08-16,1248680000
2011-08-17,1244340000
2011-08-18,1199080000
2011-08-19,1179860000
2011-08-22,1176140000
2011-08-23,1224500000
2011-08-24,1249920000
2011-08-25,1194740000
2011-08-26,1228840000
2011-08-29,1272860000
2011-08-30,1285880000
2011-08-31,1264800000
2011-09-01,1233180000
2011-09-02,1183580000
2011-09-06,1184820000
2011-09-07,1230700000
2011-09-08,1187300000
2011-09-09,1153820000
2011-09-12,1169320000
2011-09-13,1197840000
2011-09-14,1194120000
2011-09-15,1215200000
2011-09-16,1204040000
2011-09-19,1186680000
2011-09-20,1168700000
2011-09-21,1138940000
2011-09-22,1107320000
2011-09-23,1126540000
2011-09-26,1145140000
2011-09-27,1157540000
2011-09-28,1122820000
2011-09-29,1158160000
2011-09-30,1140800000
2011-10-03,1078800000
2011-10-04,1125920000
2011-10-05,1124680000
2011-10-06,1165600000
2011-10-07,1132740000
2011-10-10,1176760000
2011-10-11,1193500000
2011-10-12,1223260000
2011-10-13,1228840000
2011-10-14,1269140000
2011-10-17,1215820000
2011-10-18,1249920000
2011-10-19,1214580000
2011-10-20,1233180000
2011-10-21,1292080000
2011-10-24,1318120000
2011-10-25,1278440000
2011-10-26,1302620000
2011-10-27,1339200000
2011-10-28,1346020000
2011-10-31,1308820000
2011-11-01,1251160000
2011-11-02,1279060000
2011-11-03,1326800000
2011-11-04,1341060000
2011-11-07,1355320000
2011-11-08,1359660000
2011-11-09,1275340000
2011-11-10,1294560000
2011-11-11,1333000000
2011-11-14,1333620000
2011-11-15,1358420000
2011-11-16,1326800000
2011-11-17,1302000000
2011-11-18,1315640000
2011-11-21,1288980000
2011-11-22,1265420000
2011-11-23,1231940000
2011-11-25,1215200000
2011-11-28,1310680000
2011-11-29,1300760000
2011-11-30,1409260000
2011-12-01,1377020000
2011-12-02,1362140000
2011-12-05,1383220000
2011-12-06,1378880000
2011-12-07,1385700000
2011-12-08,1320600000
2011-12-09,1363380000
2011-12-12,1349740000
2011-12-13,1319360000
2011-12-14,1292080000
2011-12-15,1318740000
2011-12-16,1313780000
2011-12-19,1300760000
2011-12-20,1375160000
2011-12-21,1385700000
2011-12-22,1382600000
2011-12-23,1385700000
2011-12-27,1412360000
2011-12-28,1372060000
2011-12-29,1397480000
2011-12-30,1383840000
2012-01-03,1405098000
2012-01-04,1390170000
2012-01-05,1395146000
2012-01-06,1392658000
2012-01-09,1387682000
2012-01-10,1396390000
2012-01-11,1392658000
2012-01-12,1405098000
2012-01-13,1390792000
2012-01-17,1396390000
2012-01-18,1412562000
2012-01-19,1412562000
2012-01-20,1459212000
2012-01-23,1454858000
2012-01-24,1455480000
2012-01-25,1464810000
2012-01-26,1467920000
2012-01-27,1461078000
2012-01-30,1443662000
2012-01-31,1458590000
2012-02-01,1486580000
2012-02-02,1459212000
2012-02-03,1481604000
2012-02-06,1444284000
2012-02-07,1464810000
2012-02-08,1474140000
2012-02-09,1474140000
2012-02-10,1465432000
2012-02-13,1469164000
2012-02-14,1462322000
2012-02-15,1440552000
2012-02-16,1481604000
2012-02-17,1473518000
2012-02-21,1445528000
2012-02-22,1428112000
2012-02-23,1443662000
2012-02-24,1450504000
2012-02-27,1459212000
2012-02-28,1449882000
2012-02-29,1428734000
2012-03-01,1432466000
2012-03-02,1415672000
2012-03-05,1432466000
2012-03-06,1416916000
2012-03-07,1420026000
2012-03-08,1439930000
2012-03-09,1442418000
2012-03-12,1453614000
2012-03-13,1482848000
2012-03-14,1438064000
2012-03-15,1447394000
2012-03-16,1429356000
2012-03-19,1431844000
2012-03-20,1429978000
2012-03-21,1431844000
2012-03-22,1429978000
2012-03-23,1426246000
2012-03-26,1436820000
2012-03-27,1428734000
2012-03-28,1431844000
2012-03-29,1438686000
2012-03-30,1427490000
2012-04-02,1435392000
2012-04-03,1426047000
2012-04-04,1401750000
2012-04-05,1390536000
2012-04-09,1356271000
2012-04-10,1320137000
2012-04-11,1339450000
2012-04-12,1352533000
2012-04-13,1332597000
2012-04-16,1350664000
2012-04-17,1370600000
2012-04-18,1352533000
2012-04-19,1340073000
2012-04-20,1330105000
2012-04-23,1307677000
2012-04-24,1303939000
2012-04-25,1310169000
2012-04-26,1315776000
2012-04-27,1313907000
2012-04-30,1304562000
2012-05-01,1291479000
2012-05-02,1292102000
2012-05-03,1281511000
2012-05-04,1254099000
2012-05-07,1253476000
2012-05-08,1272166000
2012-05-09,1239147000
2012-05-10,1243508000
2012-05-11,1226687000
2012-05-14,1214850000
2012-05-15,1207997000
2012-05-16,1198652000
2012-05-17,1177470000
2012-05-18,1172486000
2012-05-21,1168748000
2012-05-22,1157534000
2012-05-23,1155042000
2012-05-24,1179962000
2012-05-25,1173732000
2012-05-29,1190553000
2012-05-30,1168125000
2012-05-31,1169371000
2012-06-01,1145697000
2012-06-04,1160026000
2012-06-05,1161272000
2012-06-06,1183700000
2012-06-07,1185569000
2012-06-08,1189307000
2012-06-11,1140090000
2012-06-12,1151304000
2012-06-13,1107694000
2012-06-14,1092742000
2012-06-15,1112678000
2012-06-18,1104579000
2012-06-19,1131368000
2012-06-20,1128253000
2012-06-21,1110186000
2012-06-22,1128253000
2012-06-25,1102710000
2012-06-26,1114547000
2012-06-27,1127630000
2012-06-28,1127007000
2012-06-29,1145074000
2012-07-02,1133239364
2012-07-03,1149437398
2012-07-05,1144453388
2012-07-06,1129501356
2012-07-09,1112057320
2012-07-10,1102089299
2012-07-11,1109565315
2012-07-12,1097728290
2012-07-13,1115172327
2012-07-16,1104581304
2012-07-17,1090252275
2012-07-18,1103335302
2012-07-19,1103335302
2012-07-20,1091498277
2012-07-23,1065955224
2012-07-24,1047888186
2012-07-25,1056610204
2012-07-26,1064086220
2012-07-27,1102712301
2012-07-30,1082153258
2012-07-31,1077169247
2012-08-01,1055987203
2012-08-02,1099597294
2012-08-03,1125140347
2012-08-06,1125140347
2012-08-07,1136977372
2012-08-08,1137600373
2012-08-09,1156913414
2012-08-10,1147568394
2012-08-13,1133239364
2012-08-14,1123271343
2012-08-15,1137600373
2012-08-16,1170619442
2012-08-17,1184325471
2012-08-20,1176226454
2012-08-21,1156913414
2012-08-22,1153175406
2012-08-23,1150683401
2012-08-24,1145076389
2012-08-27,1136977372
2012-08-28,1128255354
2012-08-29,1129501356
2012-08-30,1125763349
2012-08-31,1128878355
2012-09-04,1131370360
2012-09-05,1128255354
2012-09-06,1148191395
2012-09-07,1179341460
2012-09-10,1174980451
2012-09-11,1183702470
2012-09-12,1187440477
2012-09-13,1201146506
2012-09-14,1204884514
2012-09-17,1189932483
2012-09-18,1196785497
2012-09-19,1182456467
2012-09-20,1161897424
2012-09-21,1174357450
2012-09-24,1176226454
2012-09-25,1156290412
2012-09-26,1137600373
2012-09-27,1145076389
2012-09-28,1133239364
2012-10-01,1136928000
2012-10-02,1156272000
2012-10-03,1158768000
2012-10-04,1174368000
2012-10-05,1179360000
2012-10-08,1173744000
2012-10-09,1159392000
2012-10-10,1161264000
2012-10-11,1166256000
2012-10-12,1164384000
2012-10-15,1163136000
2012-10-16,1214304000
2012-10-17,1262976000
2012-10-18,1306656000
2012-10-19,1296672000
2012-10-22,1290432000
2012-10-23,1293552000
2012-10-24,1279200000
2012-10-25,1276080000
2012-10-26,1272336000
2012-10-31,1277328000
2012-11-01,1301040000
2012-11-02,1269840000
2012-11-05,1274832000
2012-11-06,1276080000
2012-11-07,1242384000
