,MCK
2001-10-08,10884216000
2001-10-09,10935624000
2001-10-10,10915632000
2001-10-11,10404408000
2001-10-12,10424400000
2001-10-15,10644312000
2001-10-16,10795680000
2001-10-17,10652880000
2001-10-18,10430112000
2001-10-19,10421544000
2001-10-22,10678584000
2001-10-23,11124120000
2001-10-24,10992744000
2001-10-25,11101272000
2001-10-26,11369736000
2001-10-29,11264064000
2001-10-30,10584336000
2001-10-31,10564344000
2001-11-01,10267320000
2001-11-02,10384416000
2001-11-05,10441536000
2001-11-06,10278744000
2001-11-07,10210200000
2001-11-08,9867480000
2001-11-09,10055976000
2001-11-12,10124520000
2001-11-13,10138800000
2001-11-14,10230192000
2001-11-15,10310160000
2001-11-16,10295880000
2001-11-19,10547208000
2001-11-20,10672872000
2001-11-21,10738560000
2001-11-23,10710000000
2001-11-26,10698576000
2001-11-27,10784256000
2001-11-28,10681440000
2001-11-29,10610040000
2001-11-30,10644312000
2001-12-03,10641456000
2001-12-04,10635744000
2001-12-05,10510080000
2001-12-06,10281600000
2001-12-07,10347288000
2001-12-10,10170216000
2001-12-11,10201632000
2001-12-12,10155936000
2001-12-13,10350144000
2001-12-14,10458672000
2001-12-17,10570056000
2001-12-18,10707144000
2001-12-19,10595760000
2001-12-20,10507224000
2001-12-21,10627176000
2001-12-24,10618608000
2001-12-26,10532928000
2001-12-27,10610040000
2001-12-28,10624320000
2001-12-31,10700140000
2002-01-02,10720167000
2002-01-03,10685835000
2002-01-04,10471260000
2002-01-07,10402596000
2002-01-08,10185160000
2002-01-09,10044971000
2002-01-10,9956280000
2002-01-11,10253824000
2002-01-14,10499870000
2002-01-15,10259546000
2002-01-16,10259546000
2002-01-17,10600005000
2002-01-18,10571395000
2002-01-22,11140734000
2002-01-23,11229425000
2002-01-24,11157900000
2002-01-25,11232286000
2002-01-28,11220842000
2002-01-29,10914715000
2002-01-30,10929020000
2002-01-31,11014850000
2002-02-01,10929020000
2002-02-04,10628615000
2002-02-05,10728750000
2002-02-06,10554229000
2002-02-07,10571395000
2002-02-08,10428345000
2002-02-11,10514175000
2002-02-12,10611449000
2002-02-13,10671530000
2002-02-14,10728750000
2002-02-15,10568534000
2002-02-19,10311044000
2002-02-20,10305322000
2002-02-21,10316766000
2002-02-22,10122218000
2002-02-25,9715956000
2002-02-26,9758871000
2002-02-27,9919087000
2002-02-28,10085025000
