,TMC
2022-09-08,242138393
2022-09-09,244535803
2022-09-12,256522852
2022-09-13,239165605
2022-09-14,239740984
2022-09-15,249330623
2022-09-16,299676230
2022-09-19,299676230
2022-09-20,297278820
2022-09-21,268509902
2022-09-22,280496951
2022-09-23,261317672
2022-09-26,242138393
2022-09-27,249330623
2022-09-28,251728033
2022-09-29,232548754
2022-09-30,280152737
2022-10-03,260328596
2022-10-04,272148373
2022-10-05,288157101
2022-10-06,274816494
2022-10-07,272148373
2022-10-10,269480252
2022-10-11,265451389
2022-10-12,285488980
2022-10-13,314838314
2022-10-14,285488980
2022-10-17,288157101
2022-10-18,282820858
2022-10-19,269480252
2022-10-20,274816494
2022-10-21,261475888
2022-10-24,242799039
2022-10-25,256139645
2022-10-26,250803403
2022-10-27,241891877
2022-10-28,259501478
2022-10-31,250803403
2022-11-01,251577158
2022-11-02,241545022
2022-11-03,240130917
2022-11-04,236662360
2022-11-07,230739130
2022-11-08,220120008
2022-11-09,209474204
2022-11-10,230792493
2022-11-11,231005943
2022-11-14,250376503
2022-11-15,248135281
2022-11-16,233007034
2022-11-17,232633497
2022-11-18,228124372
2022-11-21,227484022
2022-11-22,228124372
2022-11-23,228337821
2022-11-25,226790311
2022-11-28,217185074
2022-11-29,216651450
2022-11-30,228124372
2022-12-01,242799039
2022-12-02,224469045
2022-12-05,216117826
2022-12-06,216117826
2022-12-07,216117826
2022-12-08,211982238
2022-12-09,207419750
2022-12-12,204137961
2022-12-13,192051371
2022-12-14,201736652
2022-12-15,198508225
2022-12-16,181965873
2022-12-19,158779899
2022-12-20,165396840
2022-12-21,160087278
2022-12-22,152189639
2022-12-23,146719990
2022-12-27,160941077
2022-12-28,160087278
2022-12-29,187462203
2022-12-30,205445340
2023-01-03,197085447
2023-01-04,215148213
2023-01-05,227063109
2023-01-06,228695287
2023-01-09,228504866
2023-01-10,237509046
2023-01-11,240365357
2023-01-12,212210293
2023-01-13,231225162
2023-01-17,239386050
2023-01-18,228532069
2023-01-19,220915240
2023-01-20,232585310
2023-01-23,232612513
2023-01-24,236665754
2023-01-25,240746198
2023-01-26,235482425
2023-01-27,239467659
2023-01-30,236611348
2023-01-31,237617858
2023-02-01,274749899
2023-02-02,304673155
2023-02-03,326435523
2023-02-06,402603812
2023-02-07,345477595
2023-02-08,320994931
2023-02-09,326435523
2023-02-10,296512267
2023-02-13,282910787
2023-02-14,296512267
2023-02-15,312834043
2023-02-16,299232563
2023-02-17,282910787
2023-02-21,265691313
2023-02-22,256360697
2023-02-23,255925450
2023-02-24,247247706
2023-02-27,248662260
2023-02-28,277470195
2023-03-01,299232563
2023-03-02,274749899
2023-03-03,285631083
2023-03-06,280190491
2023-03-07,261148418
2023-03-08,255408594
2023-03-09,233945458
2023-03-10,231143553
2023-03-13,236475333
2023-03-14,238814788
2023-03-15,218602988
2023-03-16,225702961
2023-03-17,217215637
2023-03-20,224805263
2023-03-21,233129369
2023-03-22,231878033
2023-03-23,234271894
2023-03-24,219337468
2023-03-27,216317940
2023-03-28,192624161
2023-03-29,204022202
2023-03-30,209408388
2023-03-31,233188759
2023-04-03,244751141
2023-04-04,227590429
2023-04-05,220669879
2023-04-06,213214816
2023-04-10,216618826
2023-04-11,233638876
2023-04-12,213805594
2023-04-13,232091599
2023-04-14,241150205
2023-04-17,246298418
2023-04-18,244779273
2023-04-19,244751141
2023-04-20,241937909
2023-04-21,253162703
2023-04-24,255160097
2023-04-25,253190835
2023-04-26,241572189
2023-04-27,227618561
2023-04-28,229137706
2023-05-01,230600586
2023-05-02,225733696
2023-05-03,225058520
2023-05-04,213805594
2023-05-05,207897808
2023-05-08,215212210
2023-05-09,210992363
2023-05-10,210992363
2023-05-11,206828780
2023-05-12,200414612
2023-05-15,203255976
2023-05-16,199851966
2023-05-17,205647223
2023-05-18,215212210
2023-05-19,205309635
2023-05-22,206575589
2023-05-23,205028312
2023-05-24,201511773
2023-05-25,201033523
2023-05-26,192115579
2023-05-30,186826704
2023-05-31,194141106
2023-06-01,195688383
2023-06-02,187220556
2023-06-05,191102816
2023-06-06,190596434
2023-06-07,196926205
2023-06-08,221204393
2023-06-09,248380210
2023-06-12,270070224
2023-06-13,320708392
2023-06-14,284136382
2023-06-15,309455466
2023-06-16,385412716
2023-06-20,466996430
2023-06-21,393852411
2023-06-22,438864115
2023-06-23,402292105
2023-06-26,388225948
2023-06-27,379786253
2023-06-28,427611189
2023-06-29,416358263
2023-06-30,480257488
2023-07-03,574541167
2023-07-05,705654407
2023-07-06,598112086
2023-07-07,745430334
2023-07-10,816143093
2023-07-11,839714013
2023-07-12,710073955
2023-07-13,536238422
2023-07-14,636414831
2023-07-17,556862977
2023-07-18,586326627
2023-07-19,562755707
2023-07-20,553916612
2023-07-21,536238422
2023-07-24,406598364
2023-07-25,418383824
2023-07-26,418383824
2023-07-27,400705634
2023-07-28,427222919
2023-07-31,483203853
2023-08-01,462579298
2023-08-02,380081079
2023-08-03,377134714
2023-08-04,327046510
2023-08-07,371241984
2023-08-08,327046510
2023-08-09,312314685
2023-08-10,353563795
2023-08-11,324100145
2023-08-14,415437459
2023-08-15,427222919
2023-08-16,371241984
2023-08-17,341778335
2023-08-18,353563795
2023-08-21,362402890
2023-08-22,344724700
2023-08-23,371241984
2023-08-24,350617430
2023-08-25,374188349
2023-08-28,403651999
2023-08-29,391866539
2023-08-30,394812904
2023-08-31,368295620
2023-09-01,350617430
2023-09-05,365349255
2023-09-06,359456525
2023-09-07,341778335
2023-09-08,350617430
2023-09-11,350617430
2023-09-12,353563795
2023-09-13,353563795
2023-09-14,353563795
2023-09-15,341778335
2023-09-18,338831970
2023-09-19,332939240
2023-09-20,315261050
2023-09-21,315261050
2023-09-22,318207415
2023-09-25,315261050
2023-09-26,297582860
2023-09-27,293192777
2023-09-28,297582860
2023-09-29,292043694
2023-10-02,287797316
2023-10-03,283536150
2023-10-04,289697980
2023-10-05,284976976
2023-10-06,287092231
2023-10-09,272837251
2023-10-10,272837251
2023-10-11,282677786
2023-10-12,275902839
2023-10-13,268790676
2023-10-16,276577268
2023-10-17,285712717
2023-10-18,265050660
2023-10-19,269587729
2023-10-20,263640490
2023-10-23,253799956
2023-10-24,263947049
2023-10-25,257509316
2023-10-26,259042109
2023-10-27,255976522
2023-10-30,248312555
2023-10-31,250826336
2023-11-01,260084409
2023-11-02,266706077
2023-11-03,331083406
2023-11-06,315755471
2023-11-07,318821058
2023-11-08,324952232
2023-11-09,309624297
2023-11-10,306558710
2023-11-13,312689884
2023-11-14,343345755
2023-11-15,355608103
2023-11-16,328017819
2023-11-17,324952232
2023-11-20,321886645
2023-11-21,352542516
2023-11-22,358673690
2023-11-24,429182194
2023-11-27,370936039
2023-11-28,386263974
2023-11-29,374001626
2023-11-30,349476929
2023-12-01,361739277
2023-12-04,361739277
2023-12-05,349476929
2023-12-06,355608103
2023-12-07,340280168
2023-12-08,343345755
2023-12-11,337214581
2023-12-12,324952232
2023-12-13,346411342
2023-12-14,367870452
2023-12-15,355608103
2023-12-18,352542516
2023-12-19,352542516
2023-12-20,334148993
2023-12-21,337214581
2023-12-22,340280168
2023-12-26,352542516
2023-12-27,358673690
2023-12-28,358673690
2023-12-29,337214581
2024-01-02,328017819
2024-01-03,355608103
2024-01-04,401591910
2024-01-05,401591910
2024-01-08,450641303
2024-01-09,459838065
2024-01-10,444510129
2024-01-11,413854258
2024-01-12,441444542
2024-01-16,377067213
2024-01-17,386263974
2024-01-18,370936039
2024-01-19,383198387
2024-01-22,401591910
2024-01-23,413854258
2024-01-24,416919845
2024-01-25,426116606
2024-01-26,407723084
2024-01-29,426116606
2024-01-30,413854258
2024-01-31,401591910
2024-02-01,413854258
2024-02-02,395460735
2024-02-05,410788671
2024-02-06,404657497
2024-02-07,392395148
2024-02-08,392395148
2024-02-09,380132800
2024-02-12,389329561
2024-02-13,374001626
2024-02-14,377067213
2024-02-15,380132800
2024-02-16,377067213
2024-02-20,370936039
2024-02-21,377067213
2024-02-22,377067213
2024-02-23,410788671
2024-02-26,386263974
2024-02-27,404657497
2024-02-28,413854258
2024-02-29,444510129
2024-03-01,416919845
2024-03-04,432247781
2024-03-05,438378955
2024-03-06,438378955
2024-03-07,481297174
2024-03-08,496625110
2024-03-11,475166000
2024-03-12,536477742
2024-03-13,561002439
2024-03-14,524215394
2024-03-15,511953045
2024-03-18,533412155
2024-03-19,511953045
2024-03-20,521149807
2024-03-21,539543329
2024-03-22,499690697
2024-03-25,475166000
2024-03-26,413854258
2024-03-27,410788671
2024-03-28,438378955
2024-04-01,441444542
2024-04-02,484362761
2024-04-03,533412155
2024-04-04,518084219
2024-04-05,518084219
2024-04-08,515018632
2024-04-09,524215394
2024-04-10,573264787
2024-04-11,570199200
2024-04-12,554871265
2024-04-15,530346568
2024-04-16,527280981
2024-04-17,508887458
2024-04-18,518084219
2024-04-19,493559523
2024-04-22,502756284
2024-04-23,508887458
2024-04-24,490493936
2024-04-25,496625110
2024-04-26,481297174
2024-04-29,499690697
2024-04-30,465969239
2024-05-01,462903652
2024-05-02,456772477
2024-05-03,459838065
2024-05-06,481297174
2024-05-07,465969239
2024-05-08,447575716
2024-05-09,469034826
2024-05-10,447575716
2024-05-13,473513218
2024-05-14,454821906
2024-05-15,461052343
2024-05-16,436130595
2024-05-17,429900158
2024-05-20,445476251
2024-05-21,442361032
2024-05-22,451706688
2024-05-23,473513218
2024-05-24,482858873
2024-05-28,479743655
2024-05-29,470397999
2024-05-30,461052343
2024-05-31,457937125
2024-06-03,461052343
2024-06-04,451706688
2024-06-05,454821906
2024-06-06,454821906
2024-06-07,445476251
2024-06-10,426784939
2024-06-11,429900158
2024-06-12,439245814
2024-06-13,445476251
2024-06-14,461052343
2024-06-17,473513218
2024-06-18,461052343
2024-06-20,445476251
2024-06-21,439245814
2024-06-24,442361032
2024-06-25,436130595
2024-06-26,436130595
2024-06-27,436130595
2024-06-28,420554502
2024-07-01,414324065
2024-07-02,439245814
2024-07-03,429900158
2024-07-05,473513218
2024-07-08,485974092
2024-07-09,464167562
2024-07-10,445476251
2024-07-11,445476251
2024-07-12,445476251
2024-07-15,451706688
2024-07-16,454821906
2024-07-17,429900158
2024-07-18,420554502
2024-07-19,408093628
2024-07-22,408093628
2024-07-23,373826224
2024-07-24,348904476
2024-07-25,370711006
2024-07-26,361365350
2024-07-29,352019695
2024-07-30,348904476
2024-07-31,336443602
2024-08-01,323982728
2024-08-02,320867509
2024-08-05,301677763
2024-08-06,330213165
2024-08-07,302425415
2024-08-08,317752291
2024-08-09,317752291
