,AMZN
2000-08-22,12954716400
2000-08-23,13733415200
2000-08-24,13945787600
2000-08-25,14158160000
2000-08-28,13874996800
2000-08-29,14016578400
2000-08-30,15220022000
2000-08-31,14724486400
2000-09-01,14724486400
2000-09-05,16140302399
2000-09-06,16211093200
2000-09-07,15361603600
2000-09-08,15220022000
2000-09-11,15007649600
2000-09-12,15078440400
2000-09-13,15007649600
2000-09-14,15857139200
2000-09-15,15432394400
2000-09-18,15149231200
2000-09-19,14441323200
2000-09-20,13308670400
2000-09-21,14158160000
2000-09-22,14653695599
2000-09-25,14299741600
2000-09-26,14087369200
2000-09-27,13379461200
2000-09-28,14158160000
2000-09-29,13591833600
2000-10-02,12734704400
2000-10-03,12450130000
2000-10-04,12805848000
2000-10-05,11952124800
2000-10-06,11240688800
2000-10-09,10671540000
2000-10-10,10813827200
2000-10-11,9888960400
2000-10-12,8964093600
2000-10-13,10102391200
2000-10-16,8679519200
2000-10-17,7825796000
2000-10-18,8964093600
2000-10-19,9888960400
2000-10-20,10956114400
2000-10-23,10671540000
2000-10-24,10529252800
2000-10-25,11311832400
2000-10-26,13090422400
2000-10-27,12663560800
2000-10-30,11667550400
2000-10-31,13019278800
2000-11-01,13303853200
2000-11-02,14157576400
2000-11-03,13374996800
2000-11-06,13019278800
2000-11-07,13161566000
2000-11-08,12023268400
2000-11-09,11098401600
2000-11-10,10671540000
2000-11-13,9888960400
2000-11-14,10315822000
2000-11-15,10529252800
2000-11-16,9888960400
2000-11-17,9746673200
2000-11-20,9177524400
2000-11-21,8608375600
2000-11-22,8964093600
2000-11-24,10315822000
2000-11-27,9960104000
2000-11-28,8892950000
2000-11-29,9604386000
2000-11-30,8750662800
2000-12-01,8750662800
2000-12-04,9462098800
2000-12-05,9035237200
2000-12-06,8394944800
2000-12-07,7612365200
2000-12-08,8323801199
2000-12-11,9035237200
2000-12-12,9177524400
2000-12-13,8466088400
2000-12-14,8039226799
2000-12-15,8110370399
2000-12-18,7069895250
2000-12-19,6491853500
2000-12-20,5936079696
2000-12-21,5402502696
2000-12-22,5535896946
2000-12-26,6025009196
2000-12-27,6002741250
2000-12-28,6180600250
2000-12-29,5535896946
2001-01-02,4959258000
2001-01-03,6277294742
2001-01-04,5540072000
2001-01-05,5205022742
2001-01-08,5339056742
2001-01-09,5852818000
2001-01-10,5897496000
2001-01-11,6076208000
2001-01-12,6321972742
2001-01-16,6456006742
2001-01-17,6567666000
2001-01-18,6969768000
2001-01-19,7126176742
2001-01-22,6612344000
2001-01-23,6774328556
2001-01-24,7791843200
2001-01-25,6791056000
2001-01-26,6969768000
2001-01-29,7219964800
2001-01-30,6768752742
2001-01-31,6187938742
2001-02-01,5808140000
2001-02-02,5137970000
2001-02-05,5160344742
2001-02-06,5651802742
2001-02-07,5361360000
2001-02-08,5137970000
2001-02-09,4780546000
2001-02-12,5182648000
2001-02-13,4914580000
2001-02-14,5160344742
2001-02-15,5182648000
2001-02-16,4892276742
2001-02-20,4467800000
2001-02-21,4266784742
2001-02-22,4266784742
2001-02-23,4222035257
2001-02-26,4266784742
2001-02-27,4199732000
2001-02-28,3641292742
2001-03-01,3730648742
2001-03-02,3574240000
2001-03-05,4512478000
2001-03-06,4244410000
2001-03-07,4378444000
2001-03-08,4177428742
2001-03-09,4378444000
2001-03-12,3797630000
2001-03-13,3931664000
2001-03-14,3797630000
2001-03-15,3886985999
2001-03-16,3931664000
2001-03-19,3752952000
2001-03-20,3663595999
2001-03-21,3574240000
2001-03-22,3641292742
2001-03-23,3641292742
2001-03-26,3910218560
2001-03-27,4160415359
2001-03-28,3860179200
2001-03-29,3574240000
2001-03-30,3656447519
2001-04-02,3273743200
2001-04-03,3104659760
2001-04-04,3021916800
2001-04-05,3280938240
2001-04-06,3011124240
2001-04-09,4022027360
2001-04-10,4320621520
2001-04-11,4791896640
2001-04-12,5277561840
2001-04-16,5047320560
2001-04-17,5302744480
2001-04-18,5950298080
2001-04-19,5752434480
2001-04-20,5676886560
2001-04-23,5827982400
2001-04-24,5640911360
2001-04-25,5788409680
2001-04-26,5550973360
2001-04-27,5493413040
2001-04-30,5676886560
2001-05-01,6076211280
2001-05-02,6155356720
2001-05-03,6025846000
2001-05-04,6317245120
2001-05-07,6087003840
2001-05-08,5820787360
2001-05-09,5399877520
2001-05-10,5259574240
2001-05-11,5281159360
2001-05-14,4795494160
2001-05-15,4871042080
2001-05-16,5083295760
2001-05-17,5317134560
2001-05-18,5295549440
2001-05-21,5892737760
2001-05-22,5845970000
2001-05-23,5612131200
2001-05-24,6025846000
2001-05-25,6148161680
2001-05-29,6194929440
2001-05-30,5633716320
2001-05-31,6004260880
2001-06-01,6097796400
2001-06-04,6083406320
2001-06-05,5914322880
2001-06-06,5752434480
2001-06-07,5802799760
2001-06-08,5648106400
2001-06-11,5345914720
2001-06-12,5266769280
2001-06-13,5079698240
2001-06-14,4781104080
2001-06-15,4493302480
2001-06-18,4255866160
2001-06-19,4086782719
2001-06-20,4507692560
2001-06-21,4705556160
2001-06-22,4460924800
2001-06-25,4608423120
2001-06-26,4766714000
2001-06-27,5050918080
2001-06-28,5166038720
2001-06-29,5090490800
2001-07-02,5347795560
2001-07-03,5200574760
2001-07-05,5620154040
2001-07-06,5620154040
2001-07-09,5818902120
2001-07-10,5745291720
2001-07-11,5645917680
2001-07-12,6069177480
2001-07-13,6249522960
2001-07-16,5892512520
2001-07-17,6017650200
2001-07-18,5874109920
2001-07-19,6069177480
2001-07-20,6249522960
2001-07-23,5899873560
2001-07-24,4438707120
2001-07-25,4236278520
2001-07-26,4538081160
2001-07-27,4508637000
2001-07-30,4619052600
2001-07-31,4596969480
2001-08-01,4600650000
2001-08-02,4486553880
2001-08-03,4471831800
2001-08-06,4379818800
2001-08-07,4269403199
2001-08-08,4089057720
2001-08-09,3849823920
2001-08-10,3662117400
2001-08-13,3724686240
2001-08-14,3875587560
2001-08-15,3709964160
2001-08-16,3610590120
2001-08-17,3676839480
2001-08-20,3827740800
2001-08-21,3640034280
2001-08-22,3754130400
2001-08-23,3544340760
2001-08-24,3765171959
2001-08-27,3728366759
2001-08-28,3669478440
2001-08-29,3382397880
2001-08-30,3198371880
2001-08-31,3290384880
2001-09-04,3161566680
2001-09-05,2815597800
2001-09-06,2999623800
2001-09-07,3132122520
2001-09-10,3176288760
2001-09-17,2756709480
2001-09-18,2683099080
2001-09-19,2690460120
2001-09-20,2753028960
2001-09-21,2753028960
2001-09-24,2745667920
2001-09-25,2609488680
2001-09-26,2337130200
2001-09-27,2281922400
2001-09-28,2197270440
2001-10-01,2232702980
2001-10-02,2258707840
2001-10-03,2511326480
2001-10-04,2615345920
2001-10-05,2674785600
2001-10-08,2645065760
2001-10-09,2567051180
2001-10-10,2697075480
2001-10-11,2916259300
2001-10-12,2997988860
2001-10-15,3298902240
2001-10-16,3551520880
2001-10-17,3313762160
2001-10-18,3146588060
2001-10-19,2975698980
2001-10-22,3258037460
2001-10-23,3547805900
2001-10-24,2838244720
2001-10-25,2886539460
2001-10-26,2808524880
2001-10-29,2619060900
2001-10-30,2385017160
2001-10-31,2593056040
2001-11-01,2581911100
2001-11-02,2492751580
2001-11-05,2596771020
2001-11-06,2619060900
2001-11-07,2760230140
2001-11-08,2589341060
2001-11-09,2645065760
2001-11-12,2619060900
2001-11-13,2708220420
2001-11-14,3525516020
2001-11-15,3362056900
2001-11-16,3324907100
2001-11-19,3414066620
2001-11-20,3194882800
2001-11-21,3269182400
2001-11-23,3373201840
2001-11-26,4535990580
2001-11-27,4264797039
2001-11-28,4305661820
2001-11-29,4142202700
2001-11-30,4205357359
2001-12-03,3897014019
2001-12-04,4431971140
2001-12-05,4368816480
2001-12-06,4495125800
2001-12-07,4350241580
2001-12-10,4327951700
2001-12-11,4547135520
2001-12-12,4424541180
2001-12-13,4045613220
2001-12-14,4086478000
2001-12-17,4015893380
2001-12-18,4034468280
2001-12-19,3978743580
2001-12-20,3770704699
2001-12-21,3714980000
2001-12-24,3651825340
2001-12-26,4123627800
2001-12-27,3937878800
2001-12-28,4049328200
2001-12-31,4036195420
2002-01-02,4088419760
2002-01-03,4439068900
2002-01-04,4569629750
2002-01-07,4603202540
2002-01-08,4420417350
2002-01-09,4301047430
2002-01-10,4118262240
2002-01-11,4114531930
2002-01-14,3771343409
2002-01-15,3838488989
2002-01-16,3405773030
2002-01-17,3633321940
2002-01-18,3789994960
2002-01-22,4700190600
2002-01-23,4651696570
2002-01-24,5226164310
2002-01-25,5386567640
2002-01-28,5781980500
2002-01-29,5304500820
2002-01-30,5185130900
2002-01-31,5293309890
2002-02-01,5121715630
2002-02-04,4674078430
2002-02-05,4289856499
2002-02-06,4200329059
2002-02-07,4192868440
2002-02-08,4670348120
2002-02-11,4961312300
2002-02-12,4812099900
2002-02-13,4957581990
2002-02-14,5177670280
2002-02-15,5002345710
2002-02-19,4853133310
2002-02-20,4834481760
2002-02-21,4946391060
2002-02-22,4875515170
2002-02-25,5121715630
2002-02-26,5371646400
2002-02-27,5323152370
2002-02-28,5259737100
2002-03-01,5740947090
2002-03-04,6147550880
2002-03-05,5957305070
2002-03-06,6091596230
2002-03-07,5826744220
2002-03-08,6099056850
2002-03-11,6233348010
2002-03-12,6084135610
2002-03-13,5871507940
2002-03-14,5401488880
2002-03-15,5233624930
2002-03-18,5599195310
2002-03-19,5468634460
2002-03-20,5408949500
2002-03-21,5658880270
2002-03-22,5793171430
2002-03-25,5498476940
2002-03-26,5532049730
2002-03-27,5315691750
2002-03-28,5334343300
2002-04-01,5578667600
2002-04-02,5371352250
2002-04-03,5152728790
2002-04-04,5103726980
2002-04-05,5088649500
2002-04-08,5258271150
2002-04-09,5126343200
2002-04-10,5081110760
2002-04-11,4802177380
2002-04-12,5017031470
2002-04-15,5235654930
2002-04-16,5280887370
2002-04-17,5586206340
2002-04-18,5375121620
2002-04-19,5476894610
2002-04-22,5393968470
2002-04-23,5299734220
2002-04-24,6328772230
2002-04-25,6340080340
2002-04-26,6374004670
2002-04-29,6098840660
2002-04-30,6291078530
2002-05-01,6215691130
2002-05-02,6151611840
2002-05-03,6049838850
2002-05-06,6076224440
2002-05-07,6072455070
2002-05-08,6528548840
2002-05-09,6683093010
2002-05-10,6385312780
2002-05-13,6528548840
2002-05-14,7090184970
2002-05-15,7516123780
2002-05-16,7391734570
2002-05-17,7222112920
2002-05-20,7308808430
2002-05-21,7071338120
2002-05-22,7067568750
2002-05-23,7331424650
2002-05-24,7338963390
2002-05-28,7184419220
2002-05-29,7127878670
2002-05-30,6924332690
2002-05-31,6871561510
2002-06-03,6769788520
2002-06-04,6773557890
2002-06-05,6781096630
2002-06-06,6848945290
2002-06-07,7003489460
2002-06-10,6521010100
2002-06-11,6460700180
2002-06-12,6438083960
2002-06-13,6570011910
2002-06-14,6340080340
2002-06-17,6939410170
2002-06-18,7078876860
2002-06-19,6897947100
2002-06-20,6615244350
2002-06-21,6607705610
2002-06-24,6600166870
2002-06-25,5782213580
2002-06-26,5974451450
2002-06-27,5978220820
2002-06-28,6125226250
2002-07-01,5144257500
2002-07-02,5056938000
2002-07-03,5410012500
2002-07-05,5774476500
2002-07-08,5671971000
2002-07-09,5922540000
2002-07-10,5679564000
2002-07-11,5903557500
2002-07-12,5857999500
2002-07-15,6051621000
2002-07-16,6184498500
2002-07-17,6135144000
2002-07-18,5903557500
2002-07-19,5804848500
2002-07-22,5884575000
2002-07-23,5523907500
2002-07-24,5353065000
2002-07-25,4741828500
2002-07-26,4908874500
2002-07-29,5440384500
2002-07-30,5607430500
2002-07-31,5485942500
2002-08-01,5375844000
2002-08-02,5254356000
2002-08-05,4886095500
2002-08-06,5216391000
2002-08-07,5163240000
2002-08-08,5277135000
2002-08-09,5413809000
2002-08-12,5489739000
2002-08-13,5288524500
2002-08-14,5280931500
2002-08-15,5550483000
2002-08-16,5656785000
2002-08-19,5884575000
2002-08-20,6066807000
2002-08-21,5839017000
2002-08-22,5971894500
2002-08-23,5759290500
2002-08-26,5668174500
2002-08-27,5512518000
2002-08-28,5531500500
2002-08-29,5747901000
2002-08-30,5671971000
2002-09-03,5542890000
2002-09-04,5630209500
2002-09-05,5410012500
2002-09-06,5812441500
2002-09-09,6268021500
2002-09-10,6503404500
2002-09-11,6495811500
2002-09-12,6359137500
2002-09-13,6305986500
2002-09-16,6343951500
2002-09-17,6586927500
2002-09-18,6731194500
2002-09-19,6533776500
2002-09-20,6021249000
2002-09-23,6093382500
2002-09-24,6047824500
2002-09-25,5971894500
2002-09-26,6510997500
2002-09-27,6457846500
2002-09-30,6113296800
2002-10-01,6504732000
2002-10-02,6527757600
2002-10-03,6427980000
2002-10-04,6351228000
2002-10-07,6385766400
2002-10-08,6500894400
2002-10-09,6470193600
2002-10-10,6892329600
2002-10-11,7084209600
2002-10-14,7368192000
2002-10-15,7268414400
2002-10-16,7479482400
2002-10-17,7191662400
2002-10-18,7306790400
2002-10-21,7391217600
2002-10-22,7437268800
2002-10-23,7579260000
2002-10-24,7621473600
2002-10-25,7406568000
2002-10-28,7134098400
2002-10-29,7126423200
2002-10-30,7322140800
2002-10-31,7429593600
2002-11-01,7598448000
2002-11-04,7207012800
2002-11-05,7183987200
2002-11-06,7421918400
2002-11-07,7337491200
2002-11-08,7487157600
2002-11-11,7291440000
2002-11-12,7606123200
2002-11-13,7828704000
2002-11-14,8135712000
2002-11-15,8519472000
2002-11-18,8596224000
2002-11-19,8135712000
2002-11-20,8826480000
2002-11-21,8979984000
2002-11-22,9210240000
2002-11-25,9286992000
2002-11-26,8979984000
2002-11-27,9210240000
2002-11-29,8979984000
2002-12-02,9286992000
2002-12-03,9133488000
2002-12-04,8979984000
2002-12-05,8672976000
2002-12-06,8672976000
2002-12-09,8289216000
2002-12-10,8365968000
2002-12-11,8519472000
2002-12-12,8596224000
2002-12-13,8519472000
2002-12-16,8672976000
2002-12-17,8596224000
2002-12-18,8519472000
2002-12-19,8289216000
2002-12-20,8442720000
2002-12-23,8519472000
2002-12-24,8365968000
2002-12-26,7751952000
2002-12-27,7237713600
2002-12-30,7387380000
2002-12-31,7339539490
2003-01-02,7603747370
2003-01-03,8003944600
2003-01-06,8003944600
2003-01-07,8392485600
2003-01-08,8159361000
2003-01-09,8314777400
2003-01-10,8314777400
2003-01-13,8547902000
2003-01-14,8858734800
2003-01-15,8625610200
2003-01-16,8470193800
2003-01-17,8314777400
2003-01-21,8159361000
2003-01-22,8237069200
2003-01-23,8470193800
2003-01-24,8625610200
2003-01-27,8470193800
2003-01-28,8392485600
2003-01-29,8547902000
2003-01-30,8470193800
2003-01-31,8470193800
2003-02-03,8625610200
2003-02-04,8547902000
2003-02-05,8625610200
2003-02-06,8547902000
2003-02-07,8314777400
2003-02-10,8314777400
2003-02-11,8081652800
2003-02-12,8237069200
2003-02-13,7770820000
2003-02-14,7770820000
2003-02-18,8314777400
2003-02-19,8237069200
2003-02-20,8314777400
2003-02-21,8470193800
2003-02-24,8470193800
2003-02-25,8470193800
2003-02-26,8392485600
2003-02-27,8392485600
2003-02-28,8547902000
2003-03-03,8470193800
2003-03-04,8625610200
2003-03-05,8703318400
2003-03-06,8781026600
2003-03-07,8936443000
2003-03-10,8858734800
2003-03-11,8858734800
2003-03-12,9091859400
2003-03-13,9480400400
2003-03-14,9635816800
2003-03-17,10335190600
2003-03-18,10412898800
2003-03-19,10335190600
2003-03-20,10646023400
2003-03-21,10879148000
2003-03-24,10179774200
2003-03-25,10490607000
2003-03-26,10801439800
2003-03-27,10801439800
2003-03-28,10568315200
2003-03-31,10240776000
2003-04-01,10083225600
2003-04-02,10398326400
2003-04-03,10477101600
2003-04-04,10319551200
2003-04-07,10555876800
2003-04-08,10477101600
2003-04-09,9846900000
2003-04-10,10083225600
2003-04-11,10162000800
2003-04-14,9846900000
2003-04-15,9925675200
2003-04-16,9610574400
2003-04-17,9846900000
2003-04-21,9925675200
2003-04-22,10083225600
2003-04-23,10004450400
2003-04-24,9925675200
2003-04-25,11422404000
2003-04-28,11501179200
2003-04-29,11343628800
2003-04-30,11264853600
2003-05-01,11264853600
2003-05-02,11579954400
2003-05-05,11816280000
2003-05-06,12131380800
2003-05-07,12131380800
2003-05-08,11973830400
2003-05-09,12210156000
2003-05-12,12525256800
2003-05-13,12997908000
2003-05-14,12840357600
2003-05-15,12840357600
2003-05-16,12997908000
2003-05-19,12446481600
2003-05-20,12367706400
2003-05-21,12525256800
2003-05-22,12997908000
2003-05-23,12919132800
2003-05-27,13706884800
2003-05-28,13706884800
2003-05-29,14021985600
2003-05-30,14100760800
2003-06-02,13943210400
2003-06-03,13864435200
2003-06-04,13943210400
2003-06-05,14021985600
2003-06-06,13155458400
2003-06-09,13234233600
2003-06-10,13391784000
2003-06-11,13628109600
2003-06-12,13864435200
2003-06-13,13470559200
2003-06-16,14100760800
2003-06-17,14100760800
2003-06-18,14100760800
2003-06-19,14021985600
2003-06-20,13785660000
2003-06-23,14021985600
2003-06-24,13943210400
2003-06-25,13943210400
2003-06-26,14494636800
2003-06-27,14337086400
2003-06-30,14483996800
2003-07-01,14802326400
2003-07-02,15041073600
2003-07-03,15120656000
2003-07-07,15518568000
2003-07-08,16155227199
2003-07-09,16155227199
2003-07-10,15200238400
2003-07-11,14961491200
2003-07-14,15598150400
2003-07-15,15279820800
2003-07-16,14961491200
2003-07-17,14483996800
2003-07-18,13926920000
2003-07-21,14086084800
2003-07-22,13847337600
2003-07-23,15996062399
2003-07-24,16473556799
2003-07-25,16553139200
2003-07-28,16712304000
2003-07-29,16473556799
2003-07-30,16155227199
2003-07-31,16553139200
2003-08-01,15916480000
2003-08-04,15757315200
2003-08-05,15359403200
2003-08-06,15518568000
2003-08-07,15518568000
2003-08-08,15598150400
2003-08-11,15518568000
2003-08-12,15836897600
2003-08-13,15996062399
2003-08-14,16075644800
2003-08-15,15996062399
2003-08-18,17110216000
2003-08-19,17348963200
2003-08-20,17428545600
2003-08-21,18224369600
2003-08-22,17985622400
2003-08-25,18224369600
2003-08-26,18303952000
2003-08-27,18224369600
2003-08-28,18303952000
2003-08-29,18463116800
2003-09-02,18861028800
2003-09-03,18383534400
2003-09-04,18781446400
2003-09-05,18542699200
2003-09-08,18781446400
2003-09-09,18542699200
2003-09-10,18383534400
2003-09-11,17985622400
2003-09-12,18144787200
2003-09-15,18144787200
2003-09-16,18383534400
2003-09-17,18383534400
2003-09-18,19020193600
2003-09-19,18940611200
2003-09-22,18861028800
2003-09-23,20054764800
2003-09-24,19736435200
2003-09-25,19895600000
2003-09-26,19338523200
2003-09-29,19816017600
2003-09-30,19339139600
2003-10-01,19658794800
2003-10-02,19978450000
2003-10-03,21097243200
2003-10-06,21656639800
2003-10-07,21976295000
2003-10-08,22295950200
2003-10-09,23095088200
2003-10-10,23175002000
2003-10-13,23334829600
2003-10-14,23974140000
2003-10-15,23414743400
2003-10-16,23974140000
2003-10-17,23814312400
2003-10-20,23814312400
2003-10-21,23734398600
2003-10-22,21576726000
2003-10-23,21736553600
2003-10-24,21816467400
2003-10-27,21896381200
2003-10-28,22695519200
2003-10-29,22615605400
2003-10-30,22295950200
2003-10-31,21736553600
2003-11-03,22695519200
2003-11-04,22695519200
2003-11-05,22695519200
2003-11-06,21976295000
2003-11-07,21736553600
2003-11-10,20777588000
2003-11-11,20857501800
2003-11-12,21656639800
2003-11-13,21896381200
2003-11-14,20937415600
2003-11-17,20138277600
2003-11-18,19339139600
2003-11-19,19818622400
2003-11-20,19498967200
2003-11-21,19419053400
2003-11-24,20537846600
2003-11-25,20937415600
2003-11-26,21177157000
2003-11-28,21576726000
2003-12-01,21816467400
2003-12-02,21576726000
2003-12-03,20617760400
2003-12-04,20697674200
2003-12-05,20617760400
2003-12-08,20378019000
2003-12-09,19738708600
2003-12-10,19658794800
2003-12-11,20298105200
2003-12-12,20378019000
2003-12-15,20138277600
2003-12-16,19818622400
2003-12-17,19019484400
2003-12-18,19498967200
2003-12-19,19658794800
2003-12-22,19898536200
2003-12-23,20937415600
2003-12-24,21336984600
2003-12-26,21336984600
2003-12-29,21336984600
2003-12-30,21097243200
2003-12-31,21250400000
2004-01-02,21008000000
2004-01-05,21492800000
2004-01-06,21412000000
2004-01-07,21008000000
2004-01-08,20280800000
2004-01-09,20846400000
2004-01-12,21412000000
2004-01-13,22220000000
2004-01-14,22543200000
2004-01-15,22704800000
2004-01-16,22543200000
2004-01-20,22866400000
2004-01-21,22704800000
2004-01-22,23108800000
2004-01-23,23108800000
2004-01-26,23028000000
2004-01-27,22543200000
2004-01-28,21008000000
2004-01-29,19876800000
2004-01-30,20361600000
2004-02-02,19472800000
2004-02-03,18180000000
2004-02-04,18341600000
2004-02-05,18584000000
2004-02-06,18745600000
2004-02-09,18503200000
2004-02-10,18422400000
2004-02-11,19068800000
2004-02-12,18988000000
2004-02-13,18745600000
2004-02-17,18422400000
2004-02-18,18099200000
2004-02-19,18018400000
2004-02-20,18260800000
2004-02-23,17776000000
2004-02-24,17129600000
2004-02-25,17372000000
2004-02-26,17614400000
2004-02-27,17372000000
2004-03-01,17372000000
2004-03-02,16968000000
2004-03-03,17452800000
2004-03-04,17937600000
2004-03-05,17776000000
2004-03-08,17533600000
2004-03-09,17291200000
2004-03-10,16806400000
2004-03-11,16644800000
2004-03-12,17129600000
2004-03-15,16563999999
2004-03-16,17048799999
2004-03-17,17291200000
2004-03-18,17372000000
2004-03-19,17291200000
2004-03-22,16483200000
2004-03-23,16240799999
2004-03-24,15998400000
2004-03-25,16968000000
2004-03-26,16887199999
2004-03-29,17291200000
2004-03-30,17695200000
2004-03-31,17496000000
2004-04-01,18144000000
2004-04-02,18630000000
2004-04-05,19035000000
2004-04-06,18792000000
2004-04-07,18549000000
2004-04-08,19440000000
2004-04-12,19440000000
2004-04-13,18873000000
2004-04-14,18954000000
2004-04-15,19035000000
2004-04-16,18468000000
2004-04-19,19116000000
2004-04-20,18306000000
2004-04-21,18549000000
2004-04-22,19764000000
2004-04-23,18711000000
2004-04-26,19116000000
2004-04-27,19440000000
2004-04-28,19035000000
2004-04-29,18711000000
2004-04-30,17658000000
2004-05-03,17982000000
2004-05-04,17820000000
2004-05-05,17901000000
2004-05-06,17496000000
2004-05-07,17010000000
2004-05-10,16686000000
2004-05-11,17253000000
2004-05-12,17415000000
2004-05-13,17658000000
2004-05-14,17415000000
2004-05-17,17010000000
2004-05-18,17010000000
2004-05-19,16848000000
2004-05-20,16604999999
2004-05-21,16686000000
2004-05-24,16848000000
2004-05-25,17658000000
2004-05-26,18063000000
2004-05-27,19278000000
2004-05-28,19602000000
2004-06-01,20331000000
2004-06-02,20412000000
2004-06-03,20007000000
2004-06-04,20655000000
2004-06-07,20979000000
2004-06-08,21060000000
2004-06-09,20331000000
2004-06-10,20250000000
2004-06-14,19926000000
2004-06-15,20331000000
2004-06-16,20493000000
2004-06-17,20169000000
2004-06-18,20088000000
2004-06-21,20169000000
2004-06-22,19845000000
2004-06-23,20574000000
2004-06-24,20655000000
2004-06-25,20979000000
2004-06-28,21627000000
2004-06-29,21789000000
2004-06-30,22140800000
2004-07-01,21408200000
2004-07-02,21408200000
2004-07-06,20838400000
2004-07-07,20757000000
2004-07-08,20187200000
2004-07-09,19698800000
2004-07-12,19943000000
2004-07-13,20187200000
2004-07-14,20187200000
2004-07-15,19780200000
2004-07-16,19210400000
2004-07-19,18722000000
2004-07-20,19129000000
2004-07-21,18233600000
2004-07-22,18640600000
2004-07-23,16280000000
2004-07-26,15791600000
2004-07-27,15954400000
2004-07-28,15466000000
2004-07-29,15710200000
2004-07-30,15873000000
2004-08-02,15628800000
2004-08-03,15303200000
2004-08-04,15140400000
2004-08-05,14489200000
2004-08-06,14407800000
2004-08-09,14407800000
2004-08-10,15140400000
2004-08-11,14896200000
2004-08-12,14733400000
2004-08-13,14733400000
2004-08-16,15466000000
2004-08-17,15547400000
2004-08-18,16035800000
2004-08-19,15710200000
2004-08-20,16117200000
2004-08-23,16035800000
