,BKNG
2001-03-01,483513148
2001-03-02,483513148
2001-03-05,489171950
2001-03-06,518723469
2001-03-07,495145129
2001-03-08,489171950
2001-03-09,453961629
2001-03-12,418436931
2001-03-13,447988450
2001-03-14,412778130
2001-03-15,436356469
2001-03-16,400831771
2001-03-19,406804950
2001-03-20,400831771
2001-03-21,412778130
2001-03-22,400831771
2001-03-23,436356469
2001-03-26,418436931
2001-03-27,406804950
2001-03-28,400831771
2001-03-29,418436931
2001-03-30,477539969
2001-04-02,602313555
2001-04-03,497777089
2001-04-04,516128319
2001-04-05,559057087
2001-04-06,528580938
2001-04-09,574131311
2001-04-10,589860936
2001-04-11,603624357
2001-04-12,609522967
2001-04-16,601658154
2001-04-17,615421576
2001-04-18,648847029
2001-04-19,721596545
2001-04-20,751089591
2001-04-23,652779435
2001-04-24,676373873
2001-04-25,707833123
2001-04-26,760920607
2001-04-27,825805310
2001-04-30,953608513
2001-05-01,1295727856
2001-05-02,1368477371
2001-05-03,1142364012
2001-05-04,1195451496
2001-05-07,1042087653
2001-05-08,1020459419
2001-05-09,935912685
2001-05-10,951642310
2001-05-11,945743700
2001-05-14,845467341
2001-05-15,865129372
2001-05-16,977202950
2001-05-17,981135356
2001-05-18,971304341
2001-05-21,1142364012
2001-05-22,1089276528
2001-05-23,1032256638
2001-05-24,1004729794
2001-05-25,1022425622
2001-05-29,987033966
2001-05-30,957540919
2001-05-31,1061749684
2001-06-01,1040121450
2001-06-04,1044053856
2001-06-05,1071580700
2001-06-06,1388139402
2001-06-07,1513976402
2001-06-08,1515942605
2001-06-11,1474652340
2001-06-12,1421564855
2001-06-13,1529706027
2001-06-14,1555266667
2001-06-15,1588692120
2001-06-18,1561165277
2001-06-19,1502179183
2001-06-20,1447125496
2001-06-21,1462855121
2001-06-22,1510043996
2001-06-25,1504145386
2001-06-26,1486449558
2001-06-27,1535604636
2001-06-28,1588692120
2001-06-29,1779413823
2001-07-02,2142296469
2001-07-03,2042855866
2001-07-05,1811548377
2001-07-06,1692652003
2001-07-09,1686166747
2001-07-10,1694813756
2001-07-11,1688328499
2001-07-12,1729401792
2001-07-13,1880724448
2001-07-16,1889371457
2001-07-17,1947738768
2001-07-18,1908827227
2001-07-19,1820195386
2001-07-20,1811548377
2001-07-23,1826680642
2001-07-24,1714269526
2001-07-25,1787769102
2001-07-26,1811548377
2001-07-27,1740210553
2001-07-30,1835327651
2001-07-31,1917474236
2001-08-01,2057988132
2001-08-02,1930444750
2001-08-03,1872077439
2001-08-06,1876400944
2001-08-07,1945577016
2001-08-08,1830643855
2001-08-09,1751019314
2001-08-10,1664549224
2001-08-13,1792092606
2001-08-14,1742372305
2001-08-15,1627799436
2001-08-16,1515388320
2001-08-17,1411624212
2001-08-20,1426756478
2001-08-21,1372712672
2001-08-22,1253816299
2001-08-23,1134919926
2001-08-24,1251654546
2001-08-27,1245169290
2001-08-28,1238684033
2001-08-29,1219228263
2001-08-30,1180316723
2001-08-31,1193287236
2001-09-04,1188963732
2001-09-05,1167346209
2001-09-06,1070067358
2001-09-07,1080876120
2001-09-10,1080876120
2001-09-17,650687424
2001-09-18,508011776
2001-09-19,438835704
2001-09-20,495041262
2001-09-21,499364767
2001-09-24,544761564
2001-09-25,568540839
2001-09-26,659334433
2001-09-27,730672257
2001-09-28,819304098
2001-10-01,734046780
2001-10-02,752500470
2001-10-03,822214410
2001-10-04,818113590
2001-10-05,781206210
2001-10-08,719693910
2001-10-09,701240220
2001-10-10,777105390
2001-10-11,809911950
2001-10-12,793508670
2001-10-15,803760720
2001-10-16,871424250
2001-10-17,799659900
2001-10-18,758651700
2001-10-19,779155800
2001-10-22,809911950
2001-10-23,818113590
2001-10-24,814012770
2001-10-25,805811130
2001-10-26,889877940
2001-10-29,986247210
2001-10-30,928835730
2001-10-31,986247210
2001-11-01,902180400
2001-11-02,922684500
2001-11-05,887827530
2001-11-06,908331630
2001-11-07,922684500
2001-11-08,910382040
2001-11-09,922684500
2001-11-12,877575480
2001-11-13,908331630
2001-11-14,908331630
2001-11-15,924734910
2001-11-16,871424250
2001-11-19,836567280
2001-11-20,820164000
2001-11-21,820164000
2001-11-23,820164000
2001-11-26,848869740
2001-11-27,844768920
2001-11-28,822214410
2001-11-29,840668100
2001-11-30,861172200
2001-12-03,850920150
2001-12-04,846819330
2001-12-05,871424250
2001-12-06,873474660
2001-12-07,932936550
2001-12-10,973944750
2001-12-11,1142078370
2001-12-12,1174884930
2001-12-13,1144128780
2001-12-14,1101070170
2001-12-17,1142078370
2001-12-18,1283556660
2001-12-19,1234346820
2001-12-20,1117473450
2001-12-21,1109271810
2001-12-24,1078515660
2001-12-26,1113372630
2001-12-27,1183086570
2001-12-28,1203590670
2001-12-31,1324332270
2002-01-02,1331158725
2002-01-03,1347087120
2002-01-04,1337985180
2002-01-07,1337985180
2002-01-08,1267445145
2002-01-09,1278822570
2002-01-10,1310679360
2002-01-11,1299301935
2002-01-14,1299301935
2002-01-15,1347087120
2002-01-16,1281098055
2002-01-17,1283373540
2002-01-18,1256067720
2002-01-22,1312954845
2002-01-23,1337985180
2002-01-24,1315230330
2002-01-25,1319781300
2002-01-28,1438106520
2002-01-29,1360740030
2002-01-30,1367566485
2002-01-31,1433555550
2002-02-01,1438106520
2002-02-04,1099059255
2002-02-05,928397880
2002-02-06,910194000
2002-02-07,919295940
2002-02-08,946601760
2002-02-11,955703700
2002-02-12,937499820
2002-02-13,910194000
2002-02-14,901092060
2002-02-15,891990120
2002-02-19,835102995
2002-02-20,882888180
2002-02-21,917020455
2002-02-22,971632095
2002-02-25,978458550
2002-02-26,1001213400
2002-02-27,1001213400
2002-02-28,910194000
2002-03-01,962530155
2002-03-04,1003488885
2002-03-05,1046723100
2002-03-06,1137742500
2002-03-07,1092232800
2002-03-08,1128640560
2002-03-11,1217384475
2002-03-12,1180976715
2002-03-13,1194629625
2002-03-14,1185527685
2002-03-15,1149119925
2002-03-18,1183252200
2002-03-19,1206007050
2002-03-20,1208282535
2002-03-21,1251516750
2002-03-22,1237863840
2002-03-25,1228761900
2002-03-26,1201456080
2002-03-27,1212833505
2002-03-28,1190078655
2002-04-01,1210650402
2002-04-02,1185380659
2002-04-03,1079707189
2002-04-04,1052140197
2002-04-05,1052140197
2002-04-08,1056734696
2002-04-09,1031464953
2002-04-10,930385982
2002-04-11,884440995
2002-04-12,912007987
2002-04-15,1003897961
2002-04-16,1084301688
2002-04-17,1084301688
2002-04-18,1072815441
2002-04-19,1104976932
2002-04-22,1141732921
2002-04-23,1100382433
2002-04-24,1109571431
2002-04-25,1167002664
2002-04-26,1192272407
2002-04-29,1121057677
2002-04-30,1159728041
2002-05-01,1206055903
2002-05-02,939574980
2002-05-03,960250224
2002-05-06,884440995
2002-05-07,804037269
2002-05-08,941872229
2002-05-09,918899736
2002-05-10,907413489
2002-05-13,974033720
2002-05-14,1006195210
2002-05-15,955655725
2002-05-16,941872229
2002-05-17,992411714
2002-05-20,948763977
2002-05-21,928088733
2002-05-22,902818990
2002-05-23,994708964
2002-05-24,967141972
2002-05-28,930385982
2002-05-29,941872229
2002-05-30,934980481
2002-05-31,925791484
2002-06-03,921196985
2002-06-04,925791484
2002-06-05,893629993
2002-06-06,866063001
2002-06-07,879846497
2002-06-10,1017681457
2002-06-11,951061226
2002-06-12,941872229
2002-06-13,939574980
2002-06-14,921196985
2002-06-17,997006213
2002-06-18,987817216
2002-06-19,932683232
2002-06-20,939574980
2002-06-21,895927242
2002-06-24,827009762
2002-06-25,872954749
2002-06-26,650121563
2002-06-27,657013311
2002-06-28,640932565
2002-07-01,584208426
2002-07-02,525105628
2002-07-03,525105628
2002-07-05,563749765
2002-07-08,520559259
2002-07-09,543291105
2002-07-10,550110658
2002-07-11,525105628
2002-07-12,538744735
2002-07-15,547837474
2002-07-16,579662057
2002-07-17,625125748
2002-07-18,579662057
2002-07-19,579283193
2002-07-22,556930212
2002-07-23,481915122
2002-07-24,491007860
2002-07-25,427358693
2002-07-26,390987740
2002-07-29,427358693
2002-07-30,418265955
2002-07-31,420539139
2002-08-01,454636908
2002-08-02,459183277
2002-08-05,443270985
2002-08-06,461456461
2002-08-07,461456461
2002-08-08,463729646
2002-08-09,461456461
2002-08-12,506920152
2002-08-13,488734676
2002-08-14,508435608
2002-08-15,495554229
2002-08-16,502373783
2002-08-19,522832444
2002-08-20,525105628
2002-08-21,550110658
2002-08-22,588754795
2002-08-23,593301164
2002-08-26,579662057
2002-08-27,541017920
2002-08-28,529651997
2002-08-29,543291105
2002-08-30,534198366
2002-09-03,511466521
2002-09-04,520559259
2002-09-05,493281045
2002-09-06,509193336
2002-09-09,534198366
2002-09-10,536471551
2002-09-11,531925182
2002-09-12,522832444
2002-09-13,518286075
2002-09-16,491007860
2002-09-17,486461491
2002-09-18,454636908
2002-09-19,415992770
2002-09-20,427358693
2002-09-23,413719586
2002-09-24,384168187
2002-09-25,338704496
2002-09-26,347797234
2002-09-27,356889972
2002-09-30,327849018
2002-10-01,345813347
2002-10-02,334585641
2002-10-03,330094559
2002-10-04,319615366
2002-10-07,287429276
2002-10-08,276201570
2002-10-09,247009534
2002-10-10,264973863
2002-10-11,296411441
2002-10-14,336831183
2002-10-15,354795512
2002-10-16,339076724
2002-10-17,366023218
2002-10-18,368268760
2002-10-21,397460795
2002-10-22,404197419
2002-10-23,415425125
2002-10-24,469318114
2002-10-25,520965563
2002-10-28,509737856
2002-10-29,480545821
2002-10-30,511983398
2002-10-31,496264609
2002-11-01,489902242
2002-11-04,471563656
2002-11-05,518720021
2002-11-06,379496466
2002-11-07,350304430
2002-11-08,332340100
2002-11-11,307639147
2002-11-12,336831183
2002-11-13,336831183
2002-11-14,352549971
2002-11-15,343567806
2002-11-18,345813347
2002-11-19,343567806
2002-11-20,370514301
2002-11-21,392969713
2002-11-22,403823162
2002-11-25,428898373
2002-11-26,422161749
2002-11-27,408688502
2002-11-29,392969713
2002-12-02,386233089
2002-12-03,368268760
2002-12-04,370514301
2002-12-05,370514301
2002-12-06,366023218
2002-12-09,368268760
2002-12-10,370514301
2002-12-11,366023218
2002-12-12,361906393
2002-12-13,377250924
2002-12-16,366023218
2002-12-17,352549971
2002-12-18,339076724
2002-12-19,312130229
2002-12-20,318866853
2002-12-23,345813347
2002-12-24,339076724
2002-12-26,348058889
2002-12-27,341322265
2002-12-30,341322265
2002-12-31,359847955
2003-01-02,375591303
2003-01-03,359847955
2003-01-06,335108408
2003-01-07,335108408
2003-01-08,335108408
2003-01-09,335108408
2003-01-10,335108408
2003-01-13,335108408
2003-01-14,334733566
2003-01-15,328361259
2003-01-16,319365060
2003-01-17,317116010
2003-01-21,310368861
2003-01-22,296874563
2003-01-23,292376463
2003-01-24,283380264
2003-01-27,285629314
2003-01-28,314866960
2003-01-29,312617911
2003-01-30,286378997
2003-01-31,292376463
2003-02-03,287878364
2003-02-04,287878364
2003-02-05,292376463
2003-02-06,276633115
2003-02-07,281131215
2003-02-10,312617911
2003-02-11,281131215
2003-02-12,263138817
2003-02-13,260889767
2003-02-14,274384065
2003-02-18,287878364
2003-02-19,278507323
2003-02-20,285629314
2003-02-21,283380264
2003-02-24,323863159
2003-02-25,305870761
2003-02-26,301372662
2003-02-27,294625513
2003-02-28,296874563
2003-03-03,312617911
2003-03-04,305870761
2003-03-05,308119811
2003-03-06,292376463
2003-03-07,292376463
2003-03-10,290127413
2003-03-11,290127413
2003-03-12,292376463
2003-03-13,308119811
2003-03-14,317116010
2003-03-17,317116010
2003-03-18,330610308
2003-03-19,434066595
2003-03-20,402579899
2003-03-21,407452840
2003-03-24,384587502
2003-03-25,404828949
2003-03-26,386836551
2003-03-27,382338452
2003-03-28,371093203
2003-03-31,370328400
2003-04-01,372586500
2003-04-02,381618900
2003-04-03,377102700
2003-04-04,374844600
2003-04-07,386135100
2003-04-08,379360800
2003-04-09,365812200
2003-04-10,377102700
2003-04-11,381242550
2003-04-14,377102700
2003-04-15,401941800
2003-04-16,417748500
2003-04-17,435813300
2003-04-21,492265800
2003-04-22,476459100
2003-04-23,474201000
2003-04-24,460652400
2003-04-25,455759850
2003-04-28,465168600
2003-04-29,453878100
2003-04-30,501298200
2003-05-01,535169700
2003-05-02,709043400
2003-05-05,715817700
2003-05-06,763237800
2003-05-07,718075799
2003-05-08,679688100
2003-05-09,666139500
2003-05-12,729366300
2003-05-13,747431100
2003-05-14,745173000
2003-05-15,720333900
2003-05-16,758721600
2003-05-19,729366300
2003-05-20,700011000
2003-05-21,709043400
2003-05-22,846787500
2003-05-23,961950600
2003-05-27,900981900
2003-05-28,1004854500
2003-05-29,980015400
2003-05-30,925821000
2003-06-02,905498100
2003-06-03,858078000
2003-06-04,946143900
2003-06-05,957434400
2003-06-06,900981900
2003-06-09,887433299
2003-06-10,905498100
2003-06-11,900981900
2003-06-12,997327500
2003-06-13,957434400
2003-06-16,949154700
2003-06-17,908885250
2003-06-18,937487850
2003-06-19,942004050
2003-06-20,970230300
2003-06-23,899852850
2003-06-24,864852300
2003-06-25,881411700
2003-06-26,874637400
2003-06-27,816679500
2003-06-30,847620320
2003-07-01,828598320
2003-07-02,924469200
2003-07-03,969741560
2003-07-07,982676519
2003-07-08,1013872600
2003-07-09,1008166000
2003-07-10,914958200
2003-07-11,935882400
2003-07-14,996752800
2003-07-15,998655000
2003-07-16,967839360
2003-07-17,833544040
2003-07-18,930556240
2003-07-21,906588519
2003-07-22,916099519
2003-07-23,936262840
2003-07-24,960230560
2003-07-25,1211701400
2003-07-28,1322409440
2003-07-29,1226158120
2003-07-30,1209799200
2003-07-31,1249364960
2003-08-01,1208277440
2003-08-04,1186592360
2003-08-05,1176320480
2003-08-06,1128385040
2003-08-07,1210560080
2003-08-08,1183548840
2003-08-11,1188875000
2003-08-12,1234527800
2003-08-13,1255452000
2003-08-14,1310996240
2003-08-15,1318224600
2003-08-18,1455563440
2003-08-19,1427791320
2003-08-20,1421323840
2003-08-21,1429313080
2003-08-22,1377953680
2003-08-25,1334963960
2003-08-26,1380236320
2003-08-27,1406486680
2003-08-28,1471922360
2003-08-29,1502357560
2003-09-02,1492466120
2003-09-03,1450617720
2003-09-04,1446813320
2003-09-05,1428552200
2003-09-08,1422845600
2003-09-09,1417899880
2003-09-10,1367301360
2003-09-11,1352844640
2003-09-12,1391269080
2003-09-15,1374910160
2003-09-16,1417899880
2003-09-17,1400019200
2003-09-18,1436921880
2003-09-19,1432737039
2003-09-22,1209799200
2003-09-23,1121917560
2003-09-24,1128765480
2003-09-25,1088438840
2003-09-26,1066373320
2003-09-29,1105558640
2003-09-30,1097828160
2003-10-01,1099718360
2003-10-02,1092535600
2003-10-03,1179106760
2003-10-06,1234678639
2003-10-07,1225983720
2003-10-08,1197630720
2003-10-09,1217666840
2003-10-10,1211618200
2003-10-13,1249800240
2003-10-14,1269836360
2003-10-15,1220691160
2003-10-16,1230520200
2003-10-17,1151131800
2003-10-20,1110303480
2003-10-21,1125803120
2003-10-22,1077414000
2003-10-23,1089511280
2003-10-24,1040744120
2003-10-27,1077035960
2003-10-28,1110681520
2003-10-29,1111437600
2003-10-30,1120888600
2003-10-31,1065316720
2003-11-03,1084596760
2003-11-04,1105767000
2003-11-05,818834640
2003-11-06,799932640
2003-11-07,785567120
2003-11-10,776872200
2003-11-11,742848600
2003-11-12,719032080
2003-11-13,700130080
2003-11-14,676691600
2003-11-17,652119000
2003-11-18,655899400
2003-11-19,684252400
2003-11-20,694081440
2003-11-21,690301040
2003-11-24,712983440
2003-11-25,730373280
2003-11-26,722056400
2003-11-28,720166200
2003-12-01,716385800
2003-12-02,711093240
2003-12-03,688032800
2003-12-04,677825720
2003-12-05,668374720
2003-12-08,667240600
2003-12-09,657789600
2003-12-10,636619360
2003-12-11,650984880
2003-12-12,655143319
2003-12-15,635107200
2003-12-16,652119000
2003-12-17,668752760
2003-12-18,680093960
2003-12-19,663460200
2003-12-22,672911200
2003-12-23,680850040
2003-12-24,679715920
2003-12-26,681984160
2003-12-29,682362200
2003-12-30,680472000
2003-12-31,672825200
2004-01-02,705902640
2004-01-05,737852440
2004-01-06,706654400
2004-01-07,702143840
2004-01-08,701392080
2004-01-09,678463400
2004-01-12,702143840
2004-01-13,691995080
2004-01-14,691619200
2004-01-15,701016200
2004-01-16,722441360
2004-01-20,725448400
2004-01-21,797617360
2004-01-22,764915800
2004-01-23,773561039
2004-01-26,779575120
2004-01-27,778071600
2004-01-28,726951920
2004-01-29,748001200
2004-01-30,719058440
2004-02-02,723569000
2004-02-03,706278520
2004-02-04,687108640
2004-02-05,705902640
2004-02-06,720937840
2004-02-09,769426360
2004-02-10,804383200
2004-02-11,934813560
2004-02-12,883318000
2004-02-13,901360240
2004-02-17,896473800
2004-02-18,891963240
2004-02-19,877679800
2004-02-20,838212400
2004-02-23,816035480
2004-02-24,796865600
2004-02-25,808142000
2004-02-26,834829480
2004-02-27,865275760
2004-03-01,870162200
2004-03-02,844602360
2004-03-03,855127000
2004-03-04,869786320
2004-03-05,909253720
2004-03-08,887452680
2004-03-09,856630520
2004-03-10,838964160
2004-03-11,841971200
2004-03-12,883318000
2004-03-15,836333000
2004-03-16,850616440
2004-03-17,894594400
2004-03-18,935189440
2004-03-19,925040680
2004-03-22,875800400
2004-03-23,853999360
2004-03-24,886325039
2004-03-25,928047720
2004-03-26,977288000
2004-03-29,996082000
2004-03-30,1003975480
2004-03-31,1026528960
2004-04-01,1028052000
2004-04-02,1035667200
2004-04-05,1025005920
2004-04-06,1014344640
2004-04-07,1014725400
2004-04-08,1028813520
2004-04-12,1037571000
2004-04-13,1003683360
2004-04-14,1004444880
2004-04-15,977030160
2004-04-16,938192640
2004-04-19,963703560
2004-04-20,956469120
2004-04-21,967130400
2004-04-22,1012821600
2004-04-23,1005206400
2004-04-26,993402840
2004-04-27,986549160
2004-04-28,960657480
2004-04-29,921819960
2004-04-30,924104520
2004-05-03,946950120
2004-05-04,967891920
2004-05-05,922581480
2004-05-06,929435160
2004-05-07,897451320
2004-05-10,871940400
2004-05-11,893643720
2004-05-12,894024480
2004-05-13,885267000
2004-05-14,879555600
2004-05-17,863944440
2004-05-18,879936360
2004-05-19,866609760
2004-05-20,874986480
2004-05-21,902781960
2004-05-24,921439200
2004-05-25,959134440
2004-05-26,970557240
2004-05-27,959895960
2004-05-28,997591200
2004-06-01,1074504720
2004-06-02,1031859600
2004-06-03,1020436800
2004-06-04,1034524920
2004-06-07,1055847480
2004-06-08,1066889520
2004-06-09,1045566960
2004-06-10,1030717320
2004-06-14,1034524920
2004-06-15,1053562920
2004-06-16,1050516840
2004-06-17,1074885480
2004-06-18,1090877400
2004-06-21,1066128000
2004-06-22,1050897600
2004-06-23,1040997840
2004-06-24,1035286440
2004-06-25,1029955800
2004-06-28,1018152240
2004-06-29,1033763400
2004-06-30,1041760120
2004-07-01,1003849800
2004-07-02,994178800
2004-07-06,981799920
2004-07-07,969421040
2004-07-08,962844760
2004-07-09,950465880
2004-07-12,943115920
2004-07-13,944663280
2004-07-14,940021200
2004-07-15,937313320
2004-07-16,917584480
2004-07-19,909847680
2004-07-20,932671240
2004-07-21,888184640
2004-07-22,901724040
2004-07-23,881995200
2004-07-26,875032080
2004-07-27,893600400
2004-07-28,891279360
2004-07-29,912555560
2004-07-30,916037120
2004-08-02,917971320
2004-08-03,784898360
2004-08-04,748535400
2004-08-05,722617120
2004-08-06,711785600
2004-08-09,720296080
2004-08-10,738864400
2004-08-11,736156520
2004-08-12,719522400
2004-08-13,717975040
2004-08-16,742345960
2004-08-17,747761719
2004-08-18,781803640
2004-08-19,774066840
2004-08-20,784898360
2004-08-23,806948240
2004-08-24,805400880
2004-08-25,829771800
2004-08-26,815458719
2004-08-27,818166600
2004-08-30,807721920
2004-08-31,807721920
2004-09-01,815458719
2004-09-02,822035000
2004-09-03,789153600
2004-09-07,773293159
2004-09-08,766330040
2004-09-09,777161560
2004-09-10,789927280
2004-09-13,799211440
2004-09-14,798824600
2004-09-15,777935240
2004-09-16,773680000
2004-09-17,773680000
2004-09-20,754338000
2004-09-21,758206400
2004-09-22,820874480
2004-09-23,806948240
2004-09-24,810816640
2004-09-27,778708920
2004-09-28,772906320
2004-09-29,856076920
2004-09-30,849199680
2004-10-01,874863360
2004-10-04,875629440
2004-10-05,866053440
2004-10-06,867968640
2004-10-07,853413120
2004-10-08,832345920
2004-10-11,837708480
2004-10-12,826983360
2004-10-13,817407360
2004-10-14,808597440
2004-10-15,797106240
2004-10-18,789062400
2004-10-19,769910400
2004-10-20,772208640
2004-10-21,792509760
2004-10-22,778720319
2004-10-25,771825600
2004-10-26,761866560
2004-10-27,776039040
2004-10-28,775656000
2004-10-29,763781760
2004-11-01,765696959
2004-11-02,802468800
2004-11-03,818939520
2004-11-04,857626560
2004-11-05,859541760
2004-11-08,869883840
2004-11-09,880992000
2004-11-10,869500800
2004-11-11,902059200
2004-11-12,936915840
2004-11-15,935766720
2004-11-16,915465600
2004-11-17,912784319
2004-11-18,915082560
2004-11-19,906655680
2004-11-22,912401280
