,GP
2016-09-27,48390630
2016-09-28,48390630
2016-09-29,48390630
2016-09-30,48390630
2016-10-03,50072253
2016-10-04,49984407
2016-10-05,51741328
2016-10-06,47436871
2016-10-07,47436871
2016-10-10,47436871
2016-10-11,50247945
2016-10-12,50247945
2016-10-13,50247945
2016-10-14,50247945
2016-10-17,50247945
2016-10-18,50247945
2016-10-19,50247945
2016-10-20,50247945
2016-10-21,50247945
2016-10-24,50247945
2016-10-25,50247945
2016-10-26,50247945
2016-10-27,50247945
2016-10-28,50950714
2016-10-31,50924360
2016-11-01,50924360
2016-11-02,50924360
2016-11-03,50924360
2016-11-04,50924360
2016-11-07,49193793
2016-11-08,49193793
2016-11-09,49193793
2016-11-10,48842408
2016-11-11,48851193
2016-11-14,48851193
2016-11-15,46558411
2016-11-16,46558411
2016-11-17,46681395
2016-11-18,46681395
2016-11-21,46681395
2016-11-22,45065028
2016-11-23,45065028
2016-11-25,45065028
2016-11-28,45065028
2016-11-29,45065028
2016-11-30,50862868
2016-12-01,48315332
2016-12-02,48315332
2016-12-05,49896561
2016-12-06,48051794
2016-12-07,52602220
2016-12-08,50256730
2016-12-09,51802820
2016-12-12,54025326
2016-12-13,49325562
2016-12-14,47612563
2016-12-15,47463225
2016-12-16,48218701
2016-12-19,43413522
2016-12-20,43413522
2016-12-21,44098721
2016-12-22,44098721
2016-12-23,43044568
2016-12-27,43044568
2016-12-28,43044568
2016-12-29,43044568
2016-12-30,43044568
2017-01-03,47529072
2017-01-04,47529072
2017-01-05,47529072
2017-01-06,47529072
2017-01-09,47529072
2017-01-10,46596877
2017-01-11,46596877
2017-01-12,43842581
2017-01-13,43842581
2017-01-17,45322693
2017-01-18,45046896
2017-01-19,43888547
2017-01-20,43888547
2017-01-23,46269598
2017-01-24,45598491
2017-01-25,48172599
2017-01-26,48724194
2017-01-27,49551586
2017-01-30,51537326
2017-01-31,51537326
2017-02-01,47890367
2017-02-02,48724194
2017-02-03,48724194
2017-02-06,48724194
2017-02-07,46748566
2017-02-08,46748566
2017-02-09,46748566
2017-02-10,45966221
2017-02-13,45966221
2017-02-14,45966221
2017-02-15,45874288
2017-02-16,45469785
2017-02-17,45469785
2017-02-21,45469785
2017-02-22,45469785
2017-02-23,45469785
2017-02-24,45469785
2017-02-27,41627009
2017-02-28,41627009
2017-03-01,41627009
2017-03-02,41627009
2017-03-03,41627009
2017-03-06,40450274
