,FLS
2000-08-31,700122240
2000-09-01,692179200
2000-09-05,697852800
2000-09-06,704661120
2000-09-07,697852800
2000-09-08,687640320
2000-09-11,671754240
2000-09-12,678562560
2000-09-13,689909760
2000-09-14,687640320
2000-09-15,678562560
2000-09-18,659272320
2000-09-19,635443200
2000-09-20,657002880
2000-09-21,633173760
2000-09-22,607075200
2000-09-25,624096000
2000-09-26,617287680
2000-09-27,635443200
2000-09-28,630904320
2000-09-29,621826560
2000-10-02,616432860
2000-10-03,618707520
2000-10-04,636904800
2000-10-05,636904800
2000-10-06,618707520
2000-10-09,620982180
2000-10-10,616432860
2000-10-11,618707520
2000-10-12,616432860
2000-10-13,620982180
2000-10-16,634630140
2000-10-17,630080820
2000-10-18,630080820
2000-10-19,618707520
2000-10-20,610746210
2000-10-23,636904800
2000-10-24,682398000
2000-10-25,665338050
2000-10-26,701732610
2000-10-27,699457950
2000-10-30,713105910
2000-10-31,763148430
2000-11-01,767697750
2000-11-02,739264500
2000-11-03,739264500
2000-11-06,746088480
2000-11-07,748363140
2000-11-08,748363140
2000-11-09,746088480
2000-11-10,748363140
2000-11-13,750637800
2000-11-14,769972410
2000-11-15,758599110
2000-11-16,750637800
2000-11-17,769972410
2000-11-20,760873770
2000-11-21,763148430
2000-11-22,758599110
2000-11-24,767697750
2000-11-27,776796390
2000-11-28,774521730
2000-11-29,791581680
2000-11-30,793856340
2000-12-01,796131000
2000-12-04,789307020
2000-12-05,781345710
2000-12-06,750637800
2000-12-07,746088480
2000-12-08,787032360
2000-12-11,815465610
2000-12-12,820014930
2000-12-13,776796390
2000-12-14,756324450
2000-12-15,739264500
2000-12-18,736989840
2000-12-19,727891200
2000-12-20,693771300
2000-12-21,732440520
2000-12-22,789307020
2000-12-26,798405660
2000-12-27,824564250
2000-12-28,872332110
2000-12-29,809778960
2001-01-02,787034070
2001-01-03,839732130
2001-01-04,830567250
2001-01-05,780160410
2001-01-08,782451630
2001-01-09,823693590
2001-01-10,821402370
2001-01-11,808800660
2001-01-12,828276030
2001-01-16,821402370
2001-01-17,842023350
2001-01-18,842023350
2001-01-19,883265310
2001-01-22,878682870
2001-01-23,854625060
2001-01-24,842023350
2001-01-25,844314570
2001-01-26,856916280
2001-01-29,862644330
2001-01-30,872954820
2001-01-31,860353110
2001-02-01,861498720
2001-02-02,870663600
2001-02-05,861498720
2001-02-06,792762120
2001-02-07,799635780
2001-02-08,798490170
2001-02-09,798490170
2001-02-12,803072610
2001-02-13,812237490
2001-02-14,812237490
2001-02-15,831712860
2001-02-16,824839200
2001-02-20,868372380
2001-02-21,847751400
2001-02-22,848897010
2001-02-23,851188230
2001-02-26,839732130
2001-02-27,804218220
2001-02-28,801927000
2001-03-01,817965540
2001-03-02,839732130
2001-03-05,868372380
2001-03-06,883265310
2001-03-07,913051170
2001-03-08,868372380
2001-03-09,887847750
2001-03-12,867226770
2001-03-13,866081160
2001-03-14,832858470
2001-03-15,842023350
2001-03-16,792762120
2001-03-19,807655050
2001-03-20,801927000
2001-03-21,773286750
2001-03-22,759539430
2001-03-23,801927000
2001-03-26,788179680
2001-03-27,822547980
2001-03-28,781306020
2001-03-29,813383100
2001-03-30,856916280
2001-04-02,818627580
2001-04-03,800359740
2001-04-04,824336280
2001-04-05,856305000
2001-04-06,866580660
2001-04-09,903116340
2001-04-10,905399820
2001-04-11,890557200
2001-04-12,907683300
2001-04-16,890557200
2001-04-17,919100700
2001-04-18,928234620
2001-04-19,977329440
2001-04-20,932801580
2001-04-23,927092879
2001-04-24,997880760
2001-04-25,1042408620
2001-04-26,1064101680
2001-04-27,1076660820
2001-04-30,1076660820
2001-05-01,1065243420
2001-05-02,1060676459
2001-05-03,1048117320
2001-05-04,1093786920
2001-05-07,1105204320
2001-05-08,1096070400
2001-05-09,1096070400
2001-05-10,1117763460
2001-05-11,1090361700
2001-05-14,1113196500
2001-05-15,1104062580
2001-05-16,1107487800
2001-05-17,1162291320
2001-05-18,1207960920
2001-05-21,1235362680
2001-05-22,1252488780
2001-05-23,1229653980
2001-05-24,1198827000
2001-05-25,1195401780
2001-05-29,1181700900
2001-05-30,1122330420
2001-05-31,1142881740
2001-06-01,1153157400
2001-06-04,1152015660
2001-06-05,1227370500
2001-06-06,1227370500
2001-06-07,1202252220
2001-06-08,1204535700
2001-06-11,1178275680
2001-06-12,1157724360
2001-06-13,1180559160
2001-06-14,1150873920
2001-06-15,1166858280
2001-06-18,1179417420
2001-06-19,1158866100
2001-06-20,1179417420
2001-06-21,1241071380
2001-06-22,1212527880
2001-06-25,1145165220
2001-06-26,1181700900
2001-06-27,1175992200
2001-06-28,1153157400
2001-06-29,1170283500
2001-07-02,1180599200
2001-07-03,1192265200
2001-07-05,1198098200
2001-07-06,1157267200
2001-07-09,1147934400
2001-07-10,1065105800
2001-07-11,1088437800
2001-07-12,1094270800
2001-07-13,1122269200
2001-07-16,1076771800
2001-07-17,1079105000
2001-07-18,1054606399
2001-07-19,1049940000
2001-07-20,1024274799
2001-07-23,1012608800
2001-07-24,904115000
2001-07-25,972944400
2001-07-26,962445000
2001-07-27,971777800
2001-07-30,964778200
2001-07-31,956611999
2001-08-01,970611200
2001-08-02,993943200
2001-08-03,993943200
2001-08-06,999776200
2001-08-07,985776999
2001-08-08,972944400
2001-08-09,976444199
2001-08-10,983443800
2001-08-13,991610000
2001-08-14,965944799
2001-08-15,976444199
2001-08-16,985776999
2001-08-17,982277200
2001-08-20,977610800
2001-08-21,969444600
2001-08-22,972944400
2001-08-23,972944400
2001-08-24,992776600
2001-08-27,975277599
2001-08-28,976444199
2001-08-29,988110200
2001-08-30,964778200
2001-08-31,970611200
2001-09-04,985776999
2001-09-05,991610000
2001-09-06,985776999
2001-09-07,981110600
2001-09-10,933280000
2001-09-17,900615200
2001-09-18,913447800
2001-09-19,859784200
2001-09-20,807287200
2001-09-21,751290400
2001-09-24,829452600
2001-09-25,794454600
2001-09-26,769956000
2001-09-27,765289600
2001-09-28,767622800
2001-10-01,896593820
2001-10-02,911605284
2001-10-03,927981427
2001-10-04,940263534
2001-10-05,944357570
2001-10-08,932075463
2001-10-09,929346106
2001-10-10,949816284
2001-10-11,945722249
2001-10-12,932075463
2001-10-15,970286463
2001-10-16,996215356
2001-10-17,990756641
2001-10-18,971651141
2001-10-19,964827748
2001-10-22,930710784
2001-10-23,993485998
2001-10-24,1046708463
2001-10-25,1041249748
2001-10-26,1098566248
2001-10-29,1068543320
2001-10-30,1019414891
2001-10-31,1063084606
2001-11-01,1082190106
2001-11-02,1132683213
2001-11-05,1071272677
2001-11-06,1091742856
2001-11-07,1064449284
2001-11-08,1080825427
2001-11-09,1069907998
2001-11-12,1091742856
2001-11-13,1093107534
2001-11-14,1091742856
2001-11-15,1098566248
2001-11-16,1067178641
2001-11-19,1102660284
2001-11-20,1075366713
2001-11-21,1072637356
2001-11-23,1083554784
2001-11-26,1098566248
2001-11-27,1091742856
2001-11-28,1095836891
2001-11-29,1109483677
2001-11-30,1119036427
2001-12-03,1142235963
2001-12-04,1166800177
2001-12-05,1176352927
2001-12-06,1155882748
2001-12-07,1168164855
2001-12-10,1165435498
2001-12-11,1170894213
2001-12-12,1132683213
2001-12-13,1108118998
2001-12-14,1099930927
2001-12-17,1142235963
2001-12-18,1183176320
2001-12-19,1184540998
2001-12-20,1136777248
2001-12-21,1192729070
2001-12-24,1187270355
2001-12-26,1191364391
2001-12-27,1187270355
2001-12-28,1199552463
2001-12-31,1210469891
2002-01-02,1200917141
2002-01-03,1217293284
2002-01-04,1198187784
2002-01-07,1179082284
2002-01-08,1189999713
2002-01-09,1207740534
2002-01-10,1173623570
2002-01-11,1146329998
2002-01-14,1104024963
2002-01-15,1091742856
2002-01-16,1046708463
2002-01-17,1056261213
2002-01-18,1049437820
2002-01-22,1056261213
2002-01-23,1075366713
2002-01-24,1049437820
2002-01-25,1090378177
2002-01-28,1120401105
2002-01-29,1091742856
2002-01-30,1102660284
2002-01-31,1127224498
2002-02-01,1102660284
2002-02-04,1091742856
2002-02-05,1095836891
2002-02-06,1067178641
2002-02-07,1057625891
2002-02-08,1113577713
2002-02-11,1153153391
2002-02-12,1136777248
2002-02-13,1205011177
2002-02-14,1215928605
2002-02-15,1184540998
2002-02-19,1199552463
2002-02-20,1230940070
2002-02-21,1240492820
2002-02-22,1296444641
2002-02-25,1285527212
2002-02-26,1296444641
2002-02-27,1295079962
2002-02-28,1273245105
2002-03-01,1286891891
2002-03-04,1356490498
2002-03-05,1352396462
2002-03-06,1346937748
2002-03-07,1363313891
2002-03-08,1367407927
2002-03-11,1370137284
2002-03-12,1385148748
2002-03-13,1387878105
2002-03-14,1393336819
2002-03-15,1387878105
2002-03-18,1386513427
2002-03-19,1452017998
2002-03-20,1401524891
2002-03-21,1391972141
2002-03-22,1363313891
2002-03-25,1391972141
2002-03-26,1445194605
2002-03-27,1453382677
2002-03-28,1456112034
2002-04-01,1679092800
2002-04-02,1686880800
2002-04-03,1668189600
2002-04-04,1559157600
2002-04-05,1585636800
2002-04-08,1607443200
2002-04-09,1635480000
2002-04-10,1658844000
2002-04-11,1641710399
2002-04-12,1666632000
2002-04-15,1618346400
2002-04-16,1666632000
2002-04-17,1697784000
2002-04-18,1668189600
2002-04-19,1675977600
2002-04-22,1630807200
2002-04-23,1623019200
2002-04-24,1689996000
2002-04-25,1739839200
2002-04-26,1769433600
2002-04-29,1755415200
2002-04-30,1791240000
2002-05-01,1792797600
2002-05-02,1811488800
2002-05-03,1806816000
2002-05-06,1767876000
2002-05-07,1756972800
2002-05-08,1746069600
2002-05-09,1730493600
2002-05-10,1683765600
2002-05-13,1714917600
2002-05-14,1806816000
2002-05-15,1774106400
2002-05-16,1735166400
2002-05-17,1764760800
2002-05-20,1780336800
2002-05-21,1704014400
2002-05-22,1716475200
2002-05-23,1758530399
2002-05-24,1739839200
2002-05-28,1713360000
2002-05-29,1635480000
2002-05-30,1612116000
2002-05-31,1660401600
2002-06-03,1630807200
2002-06-04,1585636800
2002-06-05,1599655200
2002-06-06,1590309600
2002-06-07,1640152800
2002-06-10,1638595200
2002-06-11,1615231199
2002-06-12,1627692000
2002-06-13,1588752000
2002-06-14,1593424800
2002-06-17,1630807200
2002-06-18,1668189600
2002-06-19,1638595200
2002-06-20,1615231199
2002-06-21,1598097600
2002-06-24,1590309600
2002-06-25,1549812000
2002-06-26,1506199200
2002-06-27,1515544800
2002-06-28,1546696800
2002-07-01,1551892860
2002-07-02,1520457930
2002-07-03,1495640879
2002-07-05,1551892860
2002-07-08,1537002629
2002-07-09,1517148990
2002-07-10,1525421340
2002-07-11,1523766870
2002-07-12,1518803460
2002-07-15,1467514889
2002-07-16,1373210100
2002-07-17,1369901160
2002-07-18,1361628810
2002-07-19,1336811760
2002-07-22,1282214250
2002-07-23,802417950
2002-07-24,948011310
2002-07-25,946356840
2002-07-26,916576380
2002-07-29,979446240
2002-07-30,976137300
2002-07-31,951320250
2002-08-01,928157670
2002-08-02,895068270
2002-08-05,875214630
2002-08-06,929812140
2002-08-07,929812140
2002-08-08,949665780
2002-08-09,957938130
2002-08-12,949665780
2002-08-13,946356840
2002-08-14,956283660
2002-08-15,976137300
2002-08-16,967864950
2002-08-19,1009226700
2002-08-20,992682000
2002-08-21,1017499050
2002-08-22,1043970569
2002-08-23,1002608819
2002-08-26,1014190110
2002-08-27,1017499050
2002-08-28,1017499050
2002-08-29,1022462460
2002-08-30,1010881170
2002-09-03,954629189
2002-09-04,979446240
2002-09-05,959592600
2002-09-06,992682000
2002-09-09,991027530
2002-09-10,1015844580
2002-09-11,1007572230
2002-09-12,979446240
2002-09-13,956283660
2002-09-16,946356840
2002-09-17,923194260
2002-09-18,865287810
2002-09-19,830543939
2002-09-20,815653710
2002-09-23,797454540
2002-09-24,770983020
2002-09-25,777600900
2002-09-26,777600900
2002-09-27,479796300
2002-09-30,550958490
2002-10-01,560885670
2002-10-02,516213360
2002-10-03,489740880
2002-10-04,450032160
2002-10-07,479813700
2002-10-08,476504640
2002-10-09,445068570
2002-10-10,435141390
2002-10-11,463268400
2002-10-14,459959339
2002-10-15,532758660
2002-10-16,493049940
2002-10-17,527795070
2002-10-18,526140540
2002-10-21,590667210
2002-10-22,671739179
2002-10-23,615485160
2002-10-24,615485160
2002-10-25,656848410
2002-10-28,655193880
2002-10-29,632030460
2002-10-30,651884820
2002-10-31,646921230
2002-11-01,681666360
2002-11-04,711447900
2002-11-05,713102429
2002-11-06,732956790
2002-11-07,718066020
2002-11-08,694902600
2002-11-11,684975420
2002-11-12,698211660
2002-11-13,701520720
2002-11-14,731302260
2002-11-15,746193030
2002-11-18,744538500
2002-11-19,736265850
2002-11-20,747847559
2002-11-21,789210809
2002-11-22,789210809
2002-11-25,797483460
2002-11-26,802447050
2002-11-27,848773890
2002-11-29,838846710
2002-12-02,840501240
2002-12-03,822301410
2002-12-04,794174400
2002-12-05,771010980
2002-12-06,766047390
2002-12-09,744538500
2002-12-10,759429270
2002-12-11,780938160
2002-12-12,794174400
2002-12-13,797483460
2002-12-16,828919530
2002-12-17,822301410
2002-12-18,820646880
2002-12-19,789210809
2002-12-20,777629100
2002-12-23,815683290
2002-12-24,812374230
2002-12-26,817337820
2002-12-27,814028760
2002-12-30,795828929
2002-12-31,815683290
2003-01-02,840501240
2003-01-03,845464830
2003-01-06,830574059
2003-01-07,835537650
2003-01-08,809065170
2003-01-09,828919530
2003-01-10,814028760
2003-01-13,818992350
2003-01-14,807410640
2003-01-15,790865340
2003-01-16,810719700
2003-01-17,756120210
2003-01-21,747847559
2003-01-22,693248070
2003-01-23,693248070
2003-01-24,683320890
2003-01-27,650230290
2003-01-28,660157470
2003-01-29,653539350
2003-01-30,636994050
2003-01-31,646921230
2003-02-03,638648580
2003-02-04,666775590
2003-02-05,670084650
2003-02-06,675048240
2003-02-07,638648580
2003-02-10,650230290
2003-02-11,640303110
2003-02-12,620448750
2003-02-13,620448750
2003-02-14,620448750
2003-02-18,640303110
2003-02-19,620448750
2003-02-20,643612170
2003-02-21,663466530
2003-02-24,635339520
2003-02-25,645266700
2003-02-26,625412340
2003-02-27,653539350
2003-02-28,660157470
2003-03-03,646921230
2003-03-04,612176100
2003-03-05,590667210
2003-03-06,610521570
2003-03-07,638648580
2003-03-10,627066870
2003-03-11,598939860
2003-03-12,590667210
2003-03-13,613830630
2003-03-14,597285330
2003-03-17,658502940
2003-03-18,643612170
2003-03-19,680011830
2003-03-20,678357300
2003-03-21,718066020
2003-03-24,658502940
2003-03-25,673393710
2003-03-26,658502940
2003-03-27,655193880
2003-03-28,648575760
2003-03-31,656182616
2003-04-01,634197116
2003-04-02,676476924
2003-04-03,674785731
2003-04-04,662947385
2003-04-07,688315270
2003-04-08,684932885
2003-04-09,690006462
2003-04-10,691697654
2003-04-11,696771231
2003-04-14,713683154
2003-04-15,732286270
2003-04-16,735668654
2003-04-17,761036539
2003-04-21,805007539
2003-04-22,810081116
2003-04-23,815154693
2003-04-24,843904962
2003-04-25,832066616
2003-04-28,865890462
2003-04-29,864199270
2003-04-30,870964039
2003-05-01,867581655
2003-05-02,901405501
2003-05-05,901405501
2003-05-06,898023116
2003-05-07,921699808
2003-05-08,933538155
2003-05-09,958906039
2003-05-12,999494655
2003-05-13,972435578
2003-05-14,979200347
2003-05-15,996112270
2003-05-16,994421078
2003-05-19,945376501
2003-05-20,958906039
2003-05-21,955523655
2003-05-22,960597232
2003-05-23,982582732
2003-05-27,991038693
2003-05-28,985965116
2003-05-29,996112270
2003-05-30,1023171347
2003-06-02,1060377578
2003-06-03,1033318501
2003-06-04,1063759962
2003-06-05,1087436655
2003-06-06,1072215924
2003-06-09,1050230424
2003-06-10,1067142347
2003-06-11,1097583809
2003-06-12,1109422155
2003-06-13,1090819039
2003-06-16,1094201424
2003-06-17,1100966193
2003-06-18,1102657386
2003-06-19,1092510232
2003-06-20,1097583809
2003-06-23,1062068770
2003-06-24,1056995193
2003-06-25,1084054270
2003-06-26,1094201424
2003-06-27,1099275001
2003-06-30,1131600000
2003-07-01,1083300000
2003-07-02,1105725000
2003-07-03,1083300000
2003-07-07,1117800000
2003-07-08,1152300000
2003-07-09,1133325000
2003-07-10,1086750000
2003-07-11,1098825000
2003-07-14,1102275000
2003-07-15,1097100000
2003-07-16,1098825000
2003-07-17,1100550000
2003-07-18,1102275000
2003-07-21,983250000
2003-07-22,1050525000
2003-07-23,1093650000
2003-07-24,1078125000
2003-07-25,1091925000
2003-07-28,1114350000
2003-07-29,1104000000
2003-07-30,1102275000
2003-07-31,1107450000
2003-08-01,1091925000
2003-08-04,1110900000
2003-08-05,1066050000
2003-08-06,1050525000
2003-08-07,1041900000
2003-08-08,1043625000
2003-08-11,1052249999
2003-08-12,1062600000
2003-08-13,1072950000
2003-08-14,1081575000
2003-08-15,1114350000
2003-08-18,1126425000
2003-08-19,1200600000
2003-08-20,1205775000
2003-08-21,1204050000
2003-08-22,1174725000
2003-08-25,1173000000
2003-08-26,1183350000
2003-08-27,1191975000
2003-08-28,1181625000
2003-08-29,1210950000
2003-09-02,1219575000
2003-09-03,1279950000
2003-09-04,1276500000
2003-09-05,1254075000
2003-09-08,1271325000
2003-09-09,1264425000
2003-09-10,1228200000
2003-09-11,1207500000
2003-09-12,1212675000
2003-09-15,1224750000
2003-09-16,1243725000
2003-09-17,1231650000
2003-09-18,1259250000
2003-09-19,1281675000
2003-09-22,1260975000
2003-09-23,1300650000
2003-09-24,1279950000
2003-09-25,1245450000
2003-09-26,1186800000
2003-09-29,1198875000
2003-09-30,1117090620
2003-10-01,1161642240
2003-10-02,1138541400
2003-10-03,1159992180
2003-10-06,1166592420
2003-10-07,1171542600
2003-10-08,1168242480
2003-10-09,1173192660
2003-10-10,1166592420
2003-10-13,1199593620
2003-10-14,1209493980
2003-10-15,1194643440
2003-10-16,1196293500
2003-10-17,1164942360
2003-10-20,1188043200
2003-10-21,1070888940
2003-10-22,1072539000
2003-10-23,1062638640
2003-10-24,1060988580
2003-10-27,1067588820
2003-10-28,1085739480
2003-10-29,1118740680
2003-10-30,1131941160
2003-10-31,1125340920
2003-11-03,1161642240
2003-11-04,1164942360
2003-11-05,1166592420
2003-11-06,1169892540
2003-11-07,1181442960
2003-11-10,1115440560
2003-11-11,1110490380
2003-11-12,1150091820
2003-11-13,1133591220
2003-11-14,1118740680
2003-11-17,1087389540
2003-11-18,1098939960
2003-11-19,1103890140
2003-11-20,1110490380
2003-11-21,1108840320
2003-11-24,1150091820
2003-11-25,1158342120
2003-11-26,1163292300
2003-11-28,1169892540
2003-12-01,1234244880
2003-12-02,1222694460
2003-12-03,1219394340
2003-12-04,1217744280
2003-12-05,1207843920
2003-12-08,1216094220
2003-12-09,1229294700
2003-12-10,1217744280
2003-12-11,1237545000
2003-12-12,1227644640
2003-12-15,1216094220
2003-12-16,1216094220
2003-12-17,1224344520
2003-12-18,1225994580
2003-12-19,1219394340
2003-12-22,1224344520
2003-12-23,1141841520
2003-12-24,1151741880
2003-12-26,1143491580
2003-12-29,1159992180
2003-12-30,1146791700
2003-12-31,1147436304
2004-01-02,1144139073
2004-01-05,1150733535
2004-01-06,1147436304
2004-01-07,1150733535
2004-01-08,1142490458
2004-01-09,1140841842
2004-01-12,1145787689
2004-01-13,1147436304
2004-01-14,1165571073
2004-01-15,1168868304
2004-01-16,1178759996
2004-01-20,1163922458
2004-01-21,1175462765
2004-01-22,1157327996
2004-01-23,1147436304
2004-01-26,1147436304
2004-01-27,1124355689
2004-01-28,1038627689
2004-01-29,1055113843
2004-01-30,1058411073
2004-02-02,1060059689
2004-02-03,1053465227
2004-02-04,1058411073
2004-02-05,1068302766
2004-02-06,1094680612
2004-02-09,1102923689
2004-02-10,1112815381
2004-02-11,1124355689
2004-02-12,1127652919
2004-02-13,1122707073
2004-02-17,1144139073
2004-02-18,1145787689
2004-02-19,1168868304
2004-02-20,1167219689
2004-02-23,1160625227
2004-02-24,1162273842
2004-02-25,1168868304
2004-02-26,1182057227
2004-02-27,1193597535
2004-03-01,1213380919
2004-03-02,1195246150
2004-03-03,1208435073
2004-03-04,1233164304
2004-03-05,1241407381
2004-03-08,1223272611
2004-03-09,1182057227
2004-03-10,1172165535
2004-03-11,1163922458
2004-03-12,1183705842
2004-03-15,1140841842
2004-03-16,1134247381
2004-03-17,1154030766
2004-03-18,1147436304
2004-03-19,1126004304
2004-03-22,1096329227
2004-03-23,1088086150
2004-03-24,1074897227
2004-03-25,1126004304
2004-03-26,1126004304
2004-03-29,1149084919
2004-03-30,1157327996
2004-03-31,1193960724
2004-04-01,1200802905
2004-04-02,1216197814
2004-04-05,1231592724
2004-04-06,1246987633
2004-04-07,1245277087
2004-04-08,1235013814
2004-04-12,1233303269
2004-04-13,1224750542
2004-04-14,1226461087
2004-04-15,1217908360
2004-04-16,1216197814
2004-04-19,1240145451
2004-04-20,1226461087
2004-04-21,1243566542
2004-04-22,1281198542
2004-04-23,1258961451
2004-04-26,1252119269
2004-04-27,1286330178
2004-04-28,1245277087
2004-04-29,1245277087
2004-04-30,1217908360
2004-05-03,1226461087
2004-05-04,1231592724
2004-05-05,1228171633
2004-05-06,1204223996
2004-05-07,1173434178
2004-05-10,1151197087
2004-05-11,1171723633
2004-05-12,1176855269
2004-05-13,1170013087
2004-05-14,1163170906
2004-05-17,1132381087
2004-05-18,1152907633
2004-05-19,1128959997
2004-05-20,1132381087
2004-05-21,1128959997
2004-05-24,1144354906
2004-05-25,1192250178
2004-05-26,1166591996
2004-05-27,1192250178
2004-05-28,1193960724
2004-06-01,1235013814
2004-06-02,1250408723
2004-06-03,1276066905
2004-06-04,1288040723
2004-06-07,1346199269
2004-06-08,1347909814
2004-06-09,1325672723
2004-06-10,1330804360
2004-06-14,1308567269
2004-06-15,1320541087
2004-06-16,1315409451
2004-06-17,1329093814
2004-06-18,1320541087
2004-06-21,1317119996
2004-06-22,1334225451
2004-06-23,1337646541
2004-06-24,1337646541
2004-06-25,1344488723
2004-06-28,1344488723
2004-06-29,1411199996
2004-06-30,1322952000
2004-07-01,1318176000
2004-07-02,1303848000
2004-07-06,1276784000
2004-07-07,1289520000
2004-07-08,1235392000
2004-07-09,1235392000
2004-07-12,1233800000
2004-07-13,1238576000
2004-07-14,1221064000
2004-07-15,1214696000
2004-07-16,1198776000
2004-07-19,1190816000
2004-07-20,1192408000
2004-07-21,1168528000
2004-07-22,1144648000
2004-07-23,1151016000
2004-07-26,1141464000
2004-07-27,1158976000
2004-07-28,1158976000
2004-07-29,1268824000
2004-07-30,1270416000
2004-08-02,1276784000
2004-08-03,1256088000
2004-08-04,1254496000
2004-08-05,1214696000
2004-08-06,1194000000
2004-08-09,1170120000
2004-08-10,1194000000
2004-08-11,1209920000
2004-08-12,1184448000
2004-08-13,1168528000
2004-08-16,1213104000
2004-08-17,1219472000
2004-08-18,1229024000
2004-08-19,1217880000
2004-08-20,1221064000
2004-08-23,1208328000
2004-08-24,1211512000
2004-08-25,1213104000
2004-08-26,1219472000
2004-08-27,1219472000
2004-08-30,1201960000
2004-08-31,1217880000
2004-09-01,1213104000
2004-09-02,1238576000
2004-09-03,1227432000
2004-09-07,1252904000
2004-09-08,1256088000
2004-09-09,1273600000
2004-09-10,1270416000
2004-09-13,1268824000
2004-09-14,1262456000
2004-09-15,1264048000
2004-09-16,1283152000
2004-09-17,1281560000
2004-09-20,1287928000
2004-09-21,1292703999
2004-09-22,1276784000
2004-09-23,1278376000
2004-09-24,1273600000
2004-09-27,1249720000
2004-09-28,1267232000
2004-09-29,1292703999
2004-09-30,1340192620
2004-10-01,1358483090
2004-10-04,1375110790
2004-10-05,1356820320
2004-10-06,1375110790
2004-10-07,1356820320
2004-10-08,1338529850
2004-10-11,1351832010
2004-10-12,1343518160
2004-10-13,1330216000
2004-10-14,1320239380
2004-10-15,1326890460
2004-10-18,1318576610
2004-10-19,1291972290
2004-10-20,1281995670
2004-10-21,1300286140
2004-10-22,1283658440
2004-10-25,1301948910
2004-10-26,1318576610
2004-10-27,1167264540
2004-10-28,1207171020
2004-10-29,1195531630
2004-11-01,1232112570
2004-11-02,1228787030
