,WAT
2003-05-16,3325109000
2003-05-19,3237346023
2003-05-20,3312747876
2003-05-21,3264540100
2003-05-22,3362192123
2003-05-23,3386914000
2003-05-27,3398038900
2003-05-28,3393094623
2003-05-29,3347358800
2003-05-30,3505579723
2003-06-02,3500635200
2003-06-03,3550079076
2003-06-04,3577273523
2003-06-05,3658856000
2003-06-06,3665036500
2003-06-09,3557495923
2003-06-10,3548842976
2003-06-11,3584690000
2003-06-12,3582217800
2003-06-13,3548842976
2003-06-16,3626717400
2003-06-17,3663800276
2003-06-18,3689758500
2003-06-19,3634134000
2003-06-20,3553787500
2003-06-23,3510524000
2003-06-24,3491982500
2003-06-25,3535246000
2003-06-26,3584690000
2003-06-27,3524121100
2003-06-30,3560851077
2003-07-01,3511955200
2003-07-02,3522956800
2003-07-03,3522956800
2003-07-07,3544960000
2003-07-08,3585299200
2003-07-09,3591411077
2003-07-10,3575520000
2003-07-11,3598745722
2003-07-14,3648864000
2003-07-15,3651308922
2003-07-16,3587744000
2003-07-17,3536403200
2003-07-18,3532736000
2003-07-21,3500953477
2003-07-22,3475283200
2003-07-23,3470393477
2003-07-24,3640307322
2003-07-25,3771104000
2003-07-28,3756435200
2003-07-29,3771104000
2003-07-30,3764991877
2003-07-31,3876230277
2003-08-01,3860339200
2003-08-04,3870118400
2003-08-05,3808998400
2003-08-06,3716096000
2003-08-07,3703871877
2003-08-08,3712428922
2003-08-11,3789440000
2003-08-12,3842003200
2003-08-13,3831001600
2003-08-14,3808998400
2003-08-15,3777216000
2003-08-18,3727097600
2003-08-19,3709984000
2003-08-20,3687980800
2003-08-21,3752768122
2003-08-22,3678201600
2003-08-25,3681868922
2003-08-26,3653753477
2003-08-27,3663532677
2003-08-28,3691648122
2003-08-29,3728320000
2003-09-02,3753990277
2003-09-03,3676979200
2003-09-04,3722208122
2003-09-05,3664755200
2003-09-08,3694092677
2003-09-09,3725875200
2003-09-10,3636640000
2003-09-11,3664755200
2003-09-12,3667200000
2003-09-15,3642752000
2003-09-16,3654976000
2003-09-17,3619526400
2003-09-18,3606080000
2003-09-19,3570630400
2003-09-22,3465504000
2003-09-23,3472838400
2003-09-24,3415385600
2003-09-25,3428832000
2003-09-26,3269920000
2003-09-29,3302924800
2003-09-30,3296537400
2003-10-01,3413112000
2003-10-02,3441955200
2003-10-03,3458780400
2003-10-06,3492430800
2003-10-07,3526081200
2003-10-08,3503247000
2003-10-09,3556126200
2003-10-10,3590978400
2003-10-13,3604198200
2003-10-14,3546511800
2003-10-15,3526081200
2003-10-16,3521274000
2003-10-17,3422726400
2003-10-20,3381865200
2003-10-21,3404699400
2003-10-22,3395085000
2003-10-23,3530888400
2003-10-24,3586171200
2003-10-27,3569346000
2003-10-28,3673902600
2003-10-29,3743607000
2003-10-30,3761634000
2003-10-31,3777257400
2003-11-03,3783266400
2003-11-04,3776055600
2003-11-05,3701544000
2003-11-06,3743607000
2003-11-07,3740001600
2003-11-10,3669095400
2003-11-11,3655875600
2003-11-12,3717167400
2003-11-13,3725580000
2003-11-14,3682315200
2003-11-17,3649866600
2003-11-18,3639050400
2003-11-19,3675104400
2003-11-20,3599391000
2003-11-21,3623427000
2003-11-24,3749616000
2003-11-25,3748414200
2003-11-26,3785670000
2003-11-28,3843356400
2003-12-01,3947913000
2003-12-02,3938298600
2003-12-03,3899841000
2003-12-04,3922675200
2003-12-05,3855374400
2003-12-08,3855374400
2003-12-09,3895033799
2003-12-10,3860181599
2003-12-11,3989976000
2003-12-12,3939500400
2003-12-15,3965940000
2003-12-16,3891428400
2003-12-17,3830136600
2003-12-18,3842154600
2003-12-19,3784468200
2003-12-22,3824127600
2003-12-23,3845760000
2003-12-24,3848163600
2003-12-26,3904648200
2003-12-29,3979159800
2003-12-30,3974352600
2003-12-31,3985168799
2004-01-02,3980361599
2004-01-05,4047662400
2004-01-06,4039249800
2004-01-07,4065689400
2004-01-08,4080111000
2004-01-09,4072900200
2004-01-12,4080111000
2004-01-13,4138999199
2004-01-14,4314462000
2004-01-15,4326480000
2004-01-16,4471897800
2004-01-20,4488723000
2004-01-21,4505548200
2004-01-22,4509153600
2004-01-23,4462283400
2004-01-26,4493530200
2004-01-27,4670194800
2004-01-28,4652167800
2004-01-29,4666589400
2004-01-30,4556023800
2004-02-02,4572849000
2004-02-03,4576454400
2004-02-04,4584867000
2004-02-05,4602894000
2004-02-06,4623324600
2004-02-09,4596885000
2004-02-10,4571647200
2004-02-11,4558427400
2004-02-12,4556023800
2004-02-13,4582463400
2004-02-17,4606499400
2004-02-18,4574050800
2004-02-19,4482714000
2004-02-20,4510355400
