,INVH
2018-03-02,11427345346
2018-03-05,11458525005
2018-03-06,11489704665
2018-03-07,11630013135
2018-03-08,11718355504
2018-03-09,11775518214
2018-03-12,11791108044
2018-03-13,11775518214
2018-03-14,11749535164
2018-03-15,11759928384
2018-03-16,11837877534
2018-03-19,11744338554
2018-03-20,11598833475
2018-03-21,11536474155
2018-03-22,11474114835
2018-03-23,11380575856
2018-03-26,11541670765
2018-03-27,11671586015
2018-03-28,11780714824
2018-03-29,11863860584
2018-04-02,11747889439
2018-04-03,11841581069
2018-04-04,11878016703
2018-04-05,11784325073
2018-04-06,11758299620
2018-04-09,11737479257
2018-04-10,11836375978
2018-04-11,11799940344
2018-04-12,11732274167
2018-04-13,11753094529
2018-04-16,11825965797
2018-04-17,11945682881
2018-04-18,11956093062
2018-04-19,11716658895
2018-04-20,11747889439
2018-04-23,11768709801
2018-04-24,11909247247
2018-04-25,11956093062
2018-04-26,12008143968
2018-04-27,12086220326
2018-04-30,12044579602
2018-05-01,12127861051
2018-05-02,12107040689
2018-05-03,12065399964
2018-05-04,12247578134
2018-05-07,12247578134
2018-05-08,12231962863
2018-05-09,12351679946
2018-05-10,12330859584
2018-05-11,12325654493
2018-05-14,12112245779
2018-05-15,11617762174
2018-05-16,11550095997
2018-05-17,11524070544
2018-05-18,11440789094
2018-05-21,11409558551
2018-05-22,11331482192
2018-05-23,11367917826
2018-05-24,11393943279
2018-05-25,11357507645
2018-05-29,11388738189
2018-05-30,11669813080
2018-05-31,11456404366
2018-06-01,11492840000
2018-06-04,11633377446
2018-06-05,11477224728
2018-06-06,11378328007
2018-06-07,11565711268
2018-06-08,11534480725
2018-06-11,11524070544
2018-06-12,11529275634
2018-06-13,11529275634
2018-06-14,11669813080
2018-06-15,11664607989
2018-06-18,11695838533
2018-06-19,11581326540
2018-06-20,11737479257
2018-06-21,11768709801
2018-06-22,11763504710
2018-06-25,11841581069
2018-06-26,11945682881
2018-06-27,11878016703
2018-06-28,11987323605
2018-06-29,12002938877
2018-07-02,11864941628
2018-07-03,12010715373
2018-07-05,12005509168
2018-07-06,12052365014
2018-07-09,12062777425
2018-07-10,12047158809
2018-07-11,12099220861
2018-07-12,12192932554
2018-07-13,12156489118
2018-07-16,12114839477
2018-07-17,12062777425
2018-07-18,12208551170
2018-07-19,12271025632
2018-07-20,12244994606
2018-07-23,12208551170
2018-07-24,11974271937
2018-07-25,11969065731
2018-07-26,12114839477
2018-07-27,12000302962
2018-07-30,11969065731
2018-07-31,12031540194
2018-08-01,12057571220
2018-08-02,12088808451
2018-08-03,12218963580
2018-08-06,12260613222
2018-08-07,12276231838
2018-08-08,12260613222
2018-08-09,12395974557
2018-08-10,12146076708
2018-08-13,11948240911
2018-08-14,11786848550
2018-08-15,11833704396
2018-08-16,12088808451
2018-08-17,12078396040
2018-08-20,12036746399
2018-08-21,11969065731
2018-08-22,11917003679
2018-08-23,12120045682
2018-08-24,12099220861
2018-08-27,12005509168
2018-08-28,12218963580
2018-08-29,12182520144
2018-08-30,12177313939
2018-08-31,12166901529
2018-09-04,12057571220
2018-09-05,12099220861
2018-09-06,12140870503
2018-09-07,12161695323
2018-09-10,12239788401
2018-09-11,12380355941
2018-09-12,12218963580
2018-09-13,12385562147
2018-09-14,12265819427
2018-09-17,12343912505
2018-09-18,12317881479
2018-09-19,12192932554
2018-09-20,12312675274
2018-09-21,12463655224
2018-09-24,12146076708
2018-09-25,12120045682
2018-09-26,11828498191
2018-09-27,11828498191
2018-09-28,11927416090
2018-10-01,11835580212
2018-10-02,11840787243
2018-10-03,11705404451
2018-10-04,11564814629
2018-10-05,11502330264
2018-10-08,11648127116
2018-10-09,11653334147
2018-10-10,11439845898
2018-10-11,11023283462
2018-10-12,10986834249
2018-10-15,11143045163
2018-10-16,11356533411
2018-10-17,11340912320
2018-10-18,11392982624
2018-10-19,11398189655
2018-10-22,11304463106
2018-10-23,11445052929
2018-10-24,11465881050
2018-10-25,11450259959
2018-10-26,11382568563
2018-10-29,11632506025
2018-10-30,11512744324
2018-10-31,11392982624
2018-11-01,11377361533
2018-11-02,11054525645
2018-11-05,10794174122
2018-11-06,10950385036
2018-11-07,11101388919
2018-11-08,11283634985
2018-11-09,11304463106
2018-11-12,11278427954
2018-11-13,11278427954
2018-11-14,11127424071
2018-11-15,10986834249
2018-11-16,10882693640
2018-11-19,10893107701
2018-11-20,10788967092
2018-11-21,10851451457
2018-11-23,10846244427
2018-11-26,10908728792
2018-11-27,11070146736
2018-11-28,11205529528
2018-11-29,11137838132
2018-11-30,11174287345
2018-12-03,11200322497
2018-12-04,11059732675
2018-12-06,11377361533
2018-12-07,11340912320
2018-12-10,11304463106
2018-12-11,11257599832
2018-12-12,11064939706
2018-12-13,11189908437
2018-12-14,11127424071
2018-12-17,10804588183
2018-12-18,10861865518
2018-12-19,10747310848
2018-12-20,10622342118
2018-12-21,10440096052
2018-12-24,10112053133
2018-12-26,10434889021
2018-12-27,10476545265
2018-12-28,10419267930
2018-12-31,10470531705
2019-01-02,10272384193
2019-01-03,10340171500
2019-01-04,10381886766
2019-01-07,10324528275
2019-01-08,10522675787
2019-01-09,10460102889
2019-01-10,10600891911
2019-01-11,10705180075
2019-01-14,10637392768
2019-01-15,10689536851
2019-01-16,10819897056
2019-01-17,11064974242
2019-01-18,11080617467
2019-01-22,10991972527
2019-01-23,11002401344
2019-01-24,11038902201
2019-01-25,11268336163
2019-01-28,11445626042
2019-01-29,11612487105
2019-01-30,11638559147
2019-01-31,11727204086
2019-02-01,11753276127
2019-02-04,11951423640
2019-02-05,11956638048
2019-02-06,11732418495
2019-02-07,11789776985
2019-02-08,11899279558
2019-02-11,11951423640
2019-02-12,11914922782
2019-02-13,11956638048
2019-02-14,11862778700
2019-02-15,12264288133
2019-02-19,12321646623
2019-02-20,12113070295
2019-02-21,12107855886
2019-02-22,12019210947
2019-02-25,11993138906
2019-02-26,12013996538
2019-02-27,12024425355
2019-02-28,11993138906
2019-03-01,11883636333
2019-03-04,12086998253
2019-03-05,12133927927
2019-03-06,12175643193
2019-03-07,12170428785
2019-03-08,12222572867
2019-03-11,12269502541
2019-03-12,12264288133
2019-03-13,12332075440
2019-03-14,12441578012
2019-03-15,12436363604
2019-03-18,12274716949
2019-03-19,12149571152
2019-03-20,12149571152
2019-03-21,12436363604
2019-03-22,12525008544
2019-03-25,12551080585
2019-03-26,12686655199
2019-03-27,12592795851
2019-03-28,12608439075
2019-03-29,12686655199
2019-04-01,12774953975
2019-04-02,12816959578
2019-04-03,12853714481
2019-04-04,12832711679
2019-04-05,12869466582
2019-04-08,12790706076
2019-04-09,12638435766
2019-04-10,12732948373
2019-04-11,12864215882
2019-04-12,13063742495
2019-04-15,13095246697
2019-04-16,12790706076
2019-04-17,12685692069
2019-04-18,12806458178
2019-04-22,12596430163
2019-04-23,12748700474
2019-04-24,12937725687
2019-04-25,13005984791
2019-04-26,13126750900
2019-04-29,12990232690
2019-04-30,13053241094
2019-05-01,13011235492
2019-05-02,13000734091
2019-05-03,13068993196
2019-05-06,13047990394
2019-05-07,12921973585
2019-05-08,12832711679
2019-05-09,12958728488
2019-05-10,13142503001
2019-05-13,13042739694
2019-05-14,13000734091
2019-05-15,13110998798
2019-05-16,13289522611
2019-05-17,13310525412
2019-05-20,13195010004
2019-05-21,13357781715
