,HCA
2013-09-09,17383750856
2013-09-10,17607537556
2013-09-11,17768663980
2013-09-12,17786566916
2013-09-13,18032732286
2013-09-16,18395266740
2013-09-17,18489257154
2013-09-18,19133762850
2013-09-19,18950257756
2013-09-20,18869694544
2013-09-23,18802558534
2013-09-24,18551917430
2013-09-25,18811510002
2013-09-26,18963684958
2013-09-27,18829412938
2013-09-30,18793071000
2013-10-01,19606338400
2013-10-02,19931645360
2013-10-03,20195407760
2013-10-04,20265744400
2013-10-07,20336081040
2013-10-08,20138259240
2013-10-09,20226180040
2013-10-10,20067922600
2013-10-11,20467962240
2013-10-14,20366853320
2013-10-15,20177823600
2013-10-16,20318496880
2013-10-17,20828437520
2013-10-18,21338378160
2013-10-21,20894378120
2013-10-22,20661388000
2013-10-23,20560279080
2013-10-24,20133863200
2013-10-25,20626219680
2013-10-28,20670180080
2013-10-29,20810853360
2013-10-30,20516318680
2013-10-31,20722932560
2013-11-01,20797665240
2013-11-04,20986694960
2013-11-05,20419605800
2013-11-06,19914061200
2013-11-07,19448080960
2013-11-08,19839328520
2013-11-11,20001982000
2013-11-12,19975605760
2013-11-13,20059130520
2013-11-14,20155843400
2013-11-15,19812952280
2013-11-18,19478853240
2013-11-19,19245863120
2013-11-20,19430496800
2013-11-21,19536001760
2013-11-22,19676675040
2013-11-25,19496437400
2013-11-26,19993189920
2013-11-27,20450378080
2013-11-29,20406417680
2013-12-02,20538298880
2013-12-03,20687764240
2013-12-04,20661388000
2013-12-05,20472358280
2013-12-06,20766892960
2013-12-09,20652595920
2013-12-10,20793269200
2013-12-11,20542694920
2013-12-12,20362457280
2013-12-13,20586655320
2013-12-16,20740516720
2013-12-17,20019566160
2013-12-18,20463566200
2013-12-19,20072318640
2013-12-20,20613031560
2013-12-23,20239368160
2013-12-24,20454774120
2013-12-26,20494338480
2013-12-27,20428397880
2013-12-30,20744912760
2013-12-31,21192834481
2014-01-02,21219486547
2014-01-03,21663687647
2014-01-06,21557079383
2014-01-07,22143424835
2014-01-08,22454365605
2014-01-09,22609835990
2014-01-10,22796400452
2014-01-13,22636488056
2014-01-14,22836378551
2014-01-15,22685350177
2014-01-16,22751980342
2014-01-17,22836378551
2014-01-21,22210055000
2014-01-22,22130098802
2014-01-23,22116772769
2014-01-24,21499333240
2014-01-27,21810274010
2014-01-28,21996838472
2014-01-29,21899114230
2014-01-30,21983512439
2014-01-31,22329989297
2014-02-03,21525985306
2014-02-04,21552637372
2014-02-05,21308326767
2014-02-06,21486007207
2014-02-07,21468239163
2014-02-10,21752527867
2014-02-11,21748085856
2014-02-12,21796947977
2014-02-13,22210055000
2014-02-14,22103446736
2014-02-18,22138982824
2014-02-19,22014606516
2014-02-20,22312221253
2014-02-21,22214497011
2014-02-24,22374409407
2014-02-25,22014606516
2014-02-26,22423271528
2014-02-27,22885240672
2014-02-28,22743096320
2014-03-03,22960754859
2014-03-04,22680908166
2014-03-05,22338873319
2014-03-06,22041258582
2014-03-07,22045700593
2014-03-10,22010164505
2014-03-11,21872462164
2014-03-12,21859136131
2014-03-13,21321652800
2014-03-14,21166182415
2014-03-17,21441587097
2014-03-18,21868020153
2014-03-19,22187844945
2014-03-20,21956860373
2014-03-21,22272243154
2014-03-24,21672571669
2014-03-25,21694781724
2014-03-26,22365525385
2014-03-27,22369967396
2014-03-28,22716444254
2014-03-31,22647072000
2014-04-01,22388248320
2014-04-02,22534915072
2014-04-03,22064718720
2014-04-04,21641973376
2014-04-07,21033737728
2014-04-08,21560012544
2014-04-09,21892169600
2014-04-10,21227855488
2014-04-11,20796482688
