,VTR
2001-10-05,750182160
2001-10-08,757738940
2001-10-09,746060280
2001-10-10,748808200
2001-10-11,738503500
2001-10-12,728198800
2001-10-15,743312360
2001-10-16,743999340
2001-10-17,738503500
2001-10-18,739877460
2001-10-19,757738940
2001-10-22,753617060
2001-10-23,739877460
2001-10-24,726137860
2001-10-25,730946720
2001-10-26,739877460
2001-10-29,731633700
2001-10-30,754991020
2001-10-31,748808200
2001-11-01,761173840
2001-11-02,761173840
2001-11-05,746060280
2001-11-06,763921760
2001-11-07,754991020
2001-11-08,743312360
2001-11-09,726137860
2001-11-12,726137860
2001-11-13,722015980
2001-11-14,727511820
2001-11-15,725450880
2001-11-16,748808200
2001-11-19,761173840
2001-11-20,739877460
2001-11-21,738503500
2001-11-23,733694640
2001-11-26,728198800
2001-11-27,726824840
2001-11-28,724763900
2001-11-29,735755580
2001-11-30,733694640
2001-12-03,722702960
2001-12-04,730946720
2001-12-05,726137860
2001-12-06,736442560
2001-12-07,730946720
2001-12-10,726137860
2001-12-11,733694640
2001-12-12,724076920
2001-12-13,723389940
2001-12-14,724763900
2001-12-17,750182160
2001-12-18,737816520
2001-12-19,728885780
2001-12-20,713085240
2001-12-21,715833160
2001-12-24,722015980
2001-12-26,728198800
2001-12-27,726824840
2001-12-28,722702960
2001-12-31,691788860
2002-01-02,713772220
2002-01-03,747434240
2002-01-04,733694640
2002-01-07,743312360
2002-01-08,757738940
2002-01-09,750869140
2002-01-10,726824840
2002-01-11,719955040
2002-01-14,776287400
2002-01-15,752243100
2002-01-16,753617060
2002-01-17,739190480
2002-01-18,737129540
2002-01-22,728885780
2002-01-23,721329000
2002-01-24,730946720
2002-01-25,726824840
2002-01-28,715833160
2002-01-29,711024300
2002-01-30,732320680
2002-01-31,729572760
2002-02-01,722015980
2002-02-04,711024300
2002-02-05,708963360
2002-02-06,707589400
2002-02-07,694536780
2002-02-08,713085240
2002-02-11,715833160
2002-02-12,717207120
2002-02-13,728198800
2002-02-14,722702960
2002-02-15,723389940
2002-02-19,728885780
2002-02-20,733694640
2002-02-21,718581080
2002-02-22,739190480
2002-02-25,722702960
2002-02-26,732320680
2002-02-27,743312360
2002-02-28,763234780
2002-03-01,748808200
2002-03-04,753617060
2002-03-05,761173840
2002-03-06,761173840
2002-03-07,757051960
2002-03-08,739190480
2002-03-11,748808200
2002-03-12,763234780
2002-03-13,760486860
2002-03-14,766669680
2002-03-15,767356660
2002-03-18,767356660
2002-03-19,772852500
2002-03-20,761860820
2002-03-21,775600420
2002-03-22,762547800
2002-03-25,752930080
2002-03-26,754991020
2002-03-27,746060280
2002-03-28,761173840
2002-04-01,766989000
2002-04-02,764923500
2002-04-03,762858000
2002-04-04,763546500
2002-04-05,771808500
2002-04-08,774562500
2002-04-09,775251000
2002-04-10,791086500
2002-04-11,793152000
2002-04-12,802102500
2002-04-15,806922000
2002-04-16,815184000
2002-04-17,806922000
2002-04-18,813118500
2002-04-19,808987500
2002-04-22,812430000
2002-04-23,811741500
2002-04-24,802102500
2002-04-25,813118500
2002-04-26,809676000
2002-04-29,811741500
2002-04-30,813807000
2002-05-01,813807000
2002-05-02,816561000
2002-05-03,811053000
2002-05-06,801414000
2002-05-07,795217500
2002-05-08,794529000
2002-05-09,778005000
2002-05-10,789709500
2002-05-13,810364500
2002-05-14,809676000
2002-05-15,797283000
2002-05-16,788332500
2002-05-17,786267000
2002-05-20,791775000
2002-05-21,787644000
2002-05-22,784201500
2002-05-23,795906000
2002-05-24,778693500
2002-05-28,778005000
2002-05-29,789709500
2002-05-30,802791000
2002-05-31,793152000
2002-06-03,784201500
2002-06-04,789709500
2002-06-05,793840500
2002-06-06,794529000
2002-06-07,802102500
2002-06-10,803479500
2002-06-11,801414000
2002-06-12,804856500
2002-06-13,790398000
2002-06-14,802102500
2002-06-17,797971500
2002-06-18,798660000
2002-06-19,791086500
2002-06-20,791775000
2002-06-21,798660000
2002-06-24,803479500
2002-06-25,802791000
2002-06-26,789709500
2002-06-27,788332500
2002-06-28,769054500
2002-07-01,791172100
2002-07-02,784953280
2002-07-03,774588580
2002-07-05,771824660
2002-07-08,764914860
2002-07-09,780807400
2002-07-10,776661520
2002-07-11,760078000
2002-07-12,741421540
2002-07-15,699271760
2002-07-16,726910960
2002-07-17,742803500
2002-07-18,741421540
2002-07-19,762150940
2002-07-22,723456060
2002-07-23,703417640
2002-07-24,706872540
2002-07-25,751095260
2002-07-26,786335240
2002-07-29,786335240
2002-07-30,800845820
2002-07-31,786335240
2002-08-01,790481120
2002-08-02,796008960
2002-08-05,798772880
2002-08-06,777352500
2002-08-07,784953280
2002-08-08,775970540
2002-08-09,787717200
2002-08-12,792554060
2002-08-13,796008960
2002-08-14,801536800
2002-08-15,786335240
2002-08-16,798772880
2002-08-19,801536800
2002-08-20,801536800
2002-08-21,804991700
2002-08-22,802227780
2002-08-23,792554060
2002-08-26,801536800
2002-08-27,793936020
2002-08-28,792554060
2002-08-29,798772880
2002-08-30,786335240
2002-09-03,783571320
2002-09-04,794627000
2002-09-05,784953280
2002-09-06,798772880
2002-09-09,792554060
2002-09-10,792554060
2002-09-11,787026220
2002-09-12,788408180
2002-09-13,789790140
2002-09-16,789790140
2002-09-17,782880340
2002-09-18,781498380
2002-09-19,784262300
2002-09-20,791863080
2002-09-23,789099160
2002-09-24,783571320
2002-09-25,786335240
2002-09-26,804300720
2002-09-27,809137580
2002-09-30,925511160
2002-10-01,946008000
2002-10-02,927087840
2002-10-03,914474400
2002-10-04,905014320
2002-10-07,897130920
2002-10-08,897130920
2002-10-09,876634079
2002-10-10,883729140
2002-10-11,756018060
2002-10-14,698469240
2002-10-15,728426160
2002-10-16,741827940
2002-10-17,748923000
2002-10-18,731579520
2002-10-21,725272800
2002-10-22,728426160
2002-10-23,749711340
2002-10-24,752076359
2002-10-25,757594740
2002-10-28,748923000
2002-10-29,759171420
2002-10-30,769419840
2002-10-31,786763320
2002-11-01,772573200
2002-11-04,808048500
2002-11-05,815931900
2002-11-06,836428740
2002-11-07,841947120
2002-11-08,818296920
2002-11-11,808836840
2002-11-12,825391980
2002-11-13,834852060
2002-11-14,862443960
2002-11-15,856925579
2002-11-18,841947120
2002-11-19,838793760
2002-11-20,863232300
2002-11-21,869539020
2002-11-22,859290600
2002-11-25,867174000
2002-11-26,861655620
2002-11-27,863232300
2002-11-29,863232300
2002-12-02,866385660
2002-12-03,828545340
2002-12-04,838793760
2002-12-05,832487040
2002-12-06,835640400
2002-12-09,819873600
2002-12-10,813566880
2002-12-11,814355220
2002-12-12,814355220
2002-12-13,789916680
2002-12-16,773361540
2002-12-17,763113120
2002-12-18,773361540
2002-12-19,773361540
2002-12-20,772573200
2002-12-23,767054820
2002-12-24,752864700
2002-12-26,763901460
2002-12-27,767843160
2002-12-30,790705020
2002-12-31,790705020
2003-01-02,786763320
2003-01-03,782033280
2003-01-06,808048500
2003-01-07,790705020
2003-01-08,782821620
2003-01-09,797800079
2003-01-10,798588420
2003-01-13,788340000
2003-01-14,793858380
2003-01-15,797800079
2003-01-16,793858380
2003-01-17,804106800
2003-01-21,778879920
2003-01-22,784398300
2003-01-23,793070040
2003-01-24,786763320
2003-01-27,783609960
2003-01-28,773361540
2003-01-29,776514900
2003-01-30,773361540
2003-01-31,783609960
2003-02-03,774938220
2003-02-04,778879920
2003-02-05,784398300
2003-02-06,795435060
2003-02-07,778879920
2003-02-10,788340000
2003-02-11,782033280
2003-02-12,778091579
2003-02-13,778879920
2003-02-14,773361540
2003-02-18,777303240
2003-02-19,775726560
2003-02-20,776514900
2003-02-21,781244940
2003-02-24,792281700
2003-02-25,807260160
2003-02-26,819085260
2003-02-27,834063720
2003-02-28,828545340
2003-03-03,834063720
2003-03-04,841947120
2003-03-05,843523800
2003-03-06,824603640
2003-03-07,829333680
2003-03-10,821450280
2003-03-11,823815300
2003-03-12,818296920
2003-03-13,823815300
2003-03-14,808048500
2003-03-17,830910359
2003-03-18,826180320
2003-03-19,834852060
2003-03-20,828545340
2003-03-21,834852060
2003-03-24,821450280
2003-03-25,790705020
2003-03-26,821450280
2003-03-27,814355220
2003-03-28,808048500
2003-03-31,801979600
2003-04-01,814609200
2003-04-02,828817500
2003-04-03,820924000
2003-04-04,815398550
2003-04-07,832764250
2003-04-08,835921650
2003-04-09,843025800
2003-04-10,852498000
2003-04-11,846183200
2003-04-14,856444750
2003-04-15,862759550
2003-04-16,871442399
2003-04-17,876178500
2003-04-21,890386800
2003-04-22,902227050
2003-04-23,900648350
2003-04-24,905384450
2003-04-25,898280300
2003-04-28,888018750
2003-04-29,881703950
2003-04-30,898280300
2003-05-01,895912250
2003-05-02,904595100
2003-05-05,916435350
2003-05-06,918014050
2003-05-07,929064950
2003-05-08,926696900
2003-05-09,945641300
2003-05-12,943273250
2003-05-13,952745450
2003-05-14,957481550
2003-05-15,950377399
2003-05-16,955113500
2003-05-19,950377399
2003-05-20,960638950
2003-05-21,968532450
2003-05-22,979583350
2003-05-23,994581000
2003-05-27,1004053200
2003-05-28,1002474500
2003-05-29,967743100
2003-05-30,978004650
2003-06-02,977215300
2003-06-03,985108800
2003-06-04,1004053200
2003-06-05,985108800
2003-06-06,988266200
2003-06-09,988266200
2003-06-10,1016682800
2003-06-11,1026944350
2003-06-12,1019840200
2003-06-13,1022208250
2003-06-16,1019050850
2003-06-17,1020629550
2003-06-18,1018261500
2003-06-19,1006421250
2003-06-20,1022997600
2003-06-23,998527750
2003-06-24,1015893449
2003-06-25,1020629550
2003-06-26,1043520700
2003-06-27,1045888750
2003-06-30,1053492030
2003-07-01,1055079809
2003-07-02,1077308730
2003-07-03,1081278180
2003-07-07,1109064330
2003-07-08,1127323800
2003-07-09,1144789380
2003-07-10,1117003230
2003-07-11,1134468810
2003-07-14,1129705470
2003-07-15,1116209340
2003-07-16,1137644370
2003-07-17,1109064330
2003-07-18,1109064330
2003-07-21,1101919320
2003-07-22,1119384900
2003-07-23,1105094880
2003-07-24,1126529910
2003-07-25,1119384900
2003-07-28,1144789380
2003-07-29,1143995490
2003-07-30,1147171050
2003-07-31,1150346610
2003-08-01,1140026040
2003-08-04,1109858220
2003-08-05,1078896510
2003-08-06,1082865960
2003-08-07,1091598750
2003-08-08,1116209340
2003-08-11,1129705470
2003-08-12,1126529910
2003-08-13,1132881030
2003-08-14,1140026040
2003-08-15,1139232150
2003-08-18,1143201600
2003-08-19,1150346610
2003-08-20,1150346610
2003-08-21,1155109950
2003-08-22,1130499360
2003-08-25,1125736020
2003-08-26,1159873290
2003-08-27,1178132760
2003-08-28,1177338870
2003-08-29,1175751090
2003-09-02,1199567790
2003-09-03,1230529500
2003-09-04,1250376750
2003-09-05,1247201190
2003-09-08,1243231740
2003-09-09,1230529500
2003-09-10,1192422780
2003-09-11,1199567790
2003-09-12,1205918910
2003-09-15,1206712800
2003-09-16,1205918910
2003-09-17,1217033370
2003-09-18,1217033370
2003-09-19,1230529500
2003-09-22,1211476140
2003-09-23,1234498950
2003-09-24,1202743350
2003-09-25,1193216670
2003-09-26,1164636630
2003-09-29,1213857810
2003-09-30,1224727970
2003-10-01,1281103040
2003-10-02,1273749770
2003-10-03,1290907400
2003-10-06,1293358490
2003-10-07,1305613940
2003-10-08,1293358490
2003-10-09,1298260670
2003-10-10,1294992550
2003-10-13,1302345820
2003-10-14,1294992550
2003-10-15,1274566800
2003-10-16,1287639280
2003-10-17,1287639280
2003-10-20,1296626610
2003-10-21,1291724430
2003-10-22,1269664620
2003-10-23,1272932740
2003-10-24,1256592140
2003-10-27,1273749770
2003-10-28,1302345820
2003-10-29,1361989010
2003-10-30,1362806040
2003-10-31,1338295140
2003-11-03,1389768030
2003-11-04,1393853180
2003-11-05,1388133969
2003-11-06,1437155770
2003-11-07,1424083290
2003-11-10,1413461900
2003-11-11,1402840510
2003-11-12,1419998140
2003-11-13,1423266260
2003-11-14,1423266260
2003-11-17,1416730020
2003-11-18,1411010810
2003-11-19,1409376750
2003-11-20,1400389420
2003-11-21,1377512580
2003-11-24,1393853180
2003-11-25,1406108630
2003-11-26,1432253590
2003-11-28,1432253590
2003-12-01,1445326070
2003-12-02,1464934790
2003-12-03,1442874980
2003-12-04,1424083290
2003-12-05,1427351410
2003-12-08,1466568850
2003-12-09,1454313400
2003-12-10,1451045280
2003-12-11,1484543510
2003-12-12,1499250050
2003-12-15,1473922120
2003-12-16,1502518170
2003-12-17,1504969260
2003-12-18,1515590650
2003-12-19,1539284520
2003-12-22,1580953050
2003-12-23,1588306320
2003-12-24,1609549100
2003-12-26,1622621580
2003-12-29,1613634250
2003-12-30,1609549100
2003-12-31,1574416810
2004-01-02,1592391469
2004-01-05,1585038200
2004-01-06,1580953050
2004-01-07,1588306320
2004-01-08,1580953050
2004-01-09,1595659590
2004-01-12,1638962180
2004-01-13,1645498420
2004-01-14,1678996650
2004-01-15,1678996650
2004-01-16,1669192290
2004-01-20,1656936840
2004-01-21,1715763000
2004-01-22,1686349920
2004-01-23,1703507550
2004-01-26,1708409730
2004-01-27,1726384390
2004-01-28,1730469540
2004-01-29,1766418860
2004-01-30,1788478670
2004-02-02,1799917090
2004-02-03,1777857280
2004-02-04,1731286570
2004-02-05,1765601830
2004-02-06,1835049380
2004-02-09,1835049380
2004-02-10,1875083850
2004-02-11,1919203469
2004-02-12,1932275950
2004-02-13,1903679900
2004-02-17,1913484260
2004-02-18,1929007830
2004-02-19,1909399110
2004-02-20,1906948020
2004-02-23,1847304830
2004-02-24,1853024040
2004-02-25,1903679900
2004-02-26,1896326630
2004-02-27,1892241480
2004-03-01,1924922680
2004-03-02,1920837530
2004-03-03,1931458920
2004-03-04,1917569410
2004-03-05,1935544070
2004-03-08,1916752380
2004-03-09,1894692570
2004-03-10,1871815730
2004-03-11,1853024040
2004-03-12,1852207010
2004-03-15,1847304830
2004-03-16,1847304830
2004-03-17,1867730580
2004-03-18,1903679900
2004-03-19,1917569410
2004-03-22,1915118320
2004-03-23,1920020500
2004-03-24,1869364640
2004-03-25,1896326630
2004-03-26,1874266820
2004-03-29,1885705239
2004-03-30,1945348430
2004-03-31,2017547400
2004-04-01,2025929400
2004-04-02,2030958600
2004-04-05,1917801600
2004-04-06,1804644600
2004-04-07,1844040000
2004-04-08,1778660400
2004-04-12,1684782000
2004-04-13,1647063000
2004-04-14,1607667600
2004-04-15,1637004600
2004-04-16,1688134800
2004-04-19,1678076400
2004-04-20,1637004600
2004-04-21,1645386600
2004-04-22,1677238200
2004-04-23,1651254000
2004-04-26,1652092200
2004-04-27,1677238200
2004-04-28,1656283200
2004-04-29,1640357400
2004-04-30,1621917000
2004-05-03,1647901200
2004-05-04,1674723600
2004-05-05,1669694400
2004-05-06,1687296600
2004-05-07,1611020400
2004-05-10,1548993600
2004-05-11,1576654200
2004-05-12,1568272200
2004-05-13,1551508200
2004-05-14,1564081200
2004-05-17,1585874400
2004-05-18,1611020400
2004-05-19,1592580000
2004-05-20,1606829400
2004-05-21,1624431600
2004-05-24,1637842800
2004-05-25,1667179800
2004-05-26,1673885400
2004-05-27,1704898800
2004-05-28,1711604400
2004-06-01,1695678600
2004-06-02,1733397600
2004-06-03,1693164000
2004-06-04,1681429200
2004-06-07,1730883000
2004-06-08,1720824600
2004-06-09,1668018000
2004-06-10,1643710200
2004-06-14,1605153000
2004-06-15,1651254000
2004-06-16,1655445000
2004-06-17,1711604400
2004-06-18,1702384200
2004-06-21,1735912200
2004-06-22,1680591000
2004-06-23,1703222400
2004-06-24,1668856200
2004-06-25,1710766200
2004-06-28,1706575200
2004-06-29,1695678600
2004-06-30,1719292850
2004-07-01,1722655769
2004-07-02,1765533000
2004-07-06,1804206580
2004-07-07,1834472860
2004-07-08,1792436360
2004-07-09,1781506870
2004-07-12,1781506870
2004-07-13,1763010810
2004-07-14,1779825410
2004-07-15,1820180449
2004-07-16,1858854030
2004-07-19,1852968920
2004-07-20,1891642500
2004-07-21,1840357970
2004-07-22,1798321470
2004-07-23,1780666140
2004-07-26,1768895920
2004-07-27,1763010810
2004-07-28,1857172570
2004-07-29,1862216949
2004-07-30,1879031550
2004-08-02,1917705130
2004-08-03,1919386589
2004-08-04,1914342210
2004-08-05,1905094180
2004-08-06,1899209070
2004-08-09,1899209070
2004-08-10,1903412720
2004-08-11,1895846150
2004-08-12,1887438850
2004-08-13,1869783519
2004-08-16,1884916660
2004-08-17,1909297830
2004-08-18,1940404839
2004-08-19,1917705130
2004-08-20,1973193310
2004-08-23,1947130680
2004-08-24,1973193310
2004-08-25,1952175060
2004-08-26,1980759880
2004-08-27,1982441339
2004-08-30,2002618860
2004-08-31,2013548350
2004-09-01,2005981780
2004-09-02,2021955650
2004-09-03,2010185430
2004-09-07,2035407330
2004-09-08,2024477839
2004-09-09,2024477839
2004-09-10,2027840760
2004-09-13,1974874769
2004-09-14,1935360460
2004-09-15,1967308199
2004-09-16,2002618860
2004-09-17,1973193310
2004-09-20,1943767760
2004-09-21,1974874769
2004-09-22,1950493600
2004-09-23,1914342210
2004-09-24,1908457100
2004-09-27,1891642500
2004-09-28,1897527610
2004-09-29,1895005420
2004-09-30,1921713900
2004-10-01,1962349260
2004-10-04,1993672350
2004-10-05,1979280660
2004-10-06,2002138049
2004-10-07,1959809549
2004-10-08,1957269840
2004-10-11,1907322210
2004-10-12,1925946750
2004-10-13,1923407040
2004-10-14,1942878150
2004-10-15,1957269840
2004-10-18,1985206650
2004-10-19,1997058630
2004-10-20,1956423270
2004-10-21,2002138049
2004-10-22,1966582110
2004-10-25,1946264429
2004-10-26,2008910610
2004-10-27,2006370900
2004-10-28,2020762590
2004-10-29,1994518920
2004-11-01,2025842010
2004-11-02,2037693990
2004-11-03,2095260750
2004-11-04,2116425000
2004-11-05,2025842010
2004-11-08,2044466549
2004-11-09,2024995440
2004-11-10,2079175920
2004-11-11,2081715630
2004-11-12,2151980940
2004-11-15,2157060360
2004-11-16,2139282390
2004-11-17,2064784230
2004-11-18,2072403360
2004-11-19,2049545970
2004-11-22,2005524330
2004-11-23,2024148870
2004-11-24,2024148870
2004-11-26,2022455730
2004-11-29,1983513510
2004-11-30,2008910610
2004-12-01,2075789640
2004-12-02,2057165100
2004-12-03,2090181330
