,AN
2001-04-04,2931972000
2001-04-05,3005606000
2001-04-06,3002259000
2001-04-09,3012300000
2001-04-10,3035729000
2001-04-11,3005606000
2001-04-12,3005606000
2001-04-16,2992218000
2001-04-17,3005606000
2001-04-18,2995565000
2001-04-19,3112710000
2001-04-20,3280060000
2001-04-23,3500962000
2001-04-24,3618107000
2001-04-25,3598025000
2001-04-26,3440716000
2001-04-27,3681700000
2001-04-30,3631495000
2001-05-01,3413940000
2001-05-02,3343653000
2001-05-03,3273366000
2001-05-04,3353694000
2001-05-07,3447410000
2001-05-08,3480880000
2001-05-09,3423981000
2001-05-10,3377123000
2001-05-11,3397205000
2001-05-14,3480880000
2001-05-15,3547820000
2001-05-16,3584637000
2001-05-17,3624801000
2001-05-18,3531085000
2001-05-21,3571249000
2001-05-22,3531085000
2001-05-23,3614760000
2001-05-24,3581290000
2001-05-25,3641536000
2001-05-29,3678353000
2001-05-30,3641536000
2001-05-31,3899255000
2001-06-01,3775416000
2001-06-04,3731905000
2001-06-05,3681700000
2001-06-06,3634842000
2001-06-07,3531085000
2001-06-08,3521044000
2001-06-11,3524391000
2001-06-12,3614760000
2001-06-13,3654924000
2001-06-14,3648230000
2001-06-15,3584637000
2001-06-18,3748640000
2001-06-19,3748640000
2001-06-20,3875826000
2001-06-21,4056563999
2001-06-22,4016400000
2001-06-25,3992971000
2001-06-26,3832315000
2001-06-27,3835662000
2001-06-28,3969542000
2001-06-29,3882520000
2001-07-02,3908160000
2001-07-03,3808800000
2001-07-05,3802176000
2001-07-06,3742560000
2001-07-09,3676320000
2001-07-10,3610080000
2001-07-11,3593520000
2001-07-12,3755808000
2001-07-13,3742560000
2001-07-16,3841920000
2001-07-17,3888288000
2001-07-18,3967776000
2001-07-19,3884976000
2001-07-20,3726000000
2001-07-23,3676320000
2001-07-24,3659760000
2001-07-25,3639888000
2001-07-26,3649824000
2001-07-27,3735936000
2001-07-30,3729312000
2001-07-31,3792240000
2001-08-01,3355056000
2001-08-02,3530592000
2001-08-03,3643200000
2001-08-06,3663072000
2001-08-07,3742560000
2001-08-08,3775680000
2001-08-09,3875040000
2001-08-10,3785616000
2001-08-13,3709440000
2001-08-14,3726000000
2001-08-15,3712752000
2001-08-16,3735936000
2001-08-17,3679632000
2001-08-20,3673008000
2001-08-21,3633264000
2001-08-22,3527280000
2001-08-23,3361680000
2001-08-24,3378240000
2001-08-27,3394800000
2001-08-28,3451104000
2001-08-29,3364992000
2001-08-30,3351743999
2001-08-31,3563712000
2001-09-04,3639888000
2001-09-05,3567024000
2001-09-06,3477600000
2001-09-07,3494160000
2001-09-10,3378240000
2001-09-17,3047040000
2001-09-18,3146400000
2001-09-19,3047040000
2001-09-20,2815200000
2001-09-21,2772143999
2001-09-24,2947680000
2001-09-25,2831760000
2001-09-26,2679408000
2001-09-27,2765520000
2001-09-28,2911247999
2001-10-01,2879744000
2001-10-02,2863674000
2001-10-03,2982592000
2001-10-04,3069370000
2001-10-05,3001876000
2001-10-08,3008304000
2001-10-09,2960094000
2001-10-10,3021160000
2001-10-11,3152934000
2001-10-12,3178646000
2001-10-15,3204358000
2001-10-16,3230070000
2001-10-17,3214000000
2001-10-18,3217214000
2001-10-19,3226855999
2001-10-22,3249354000
2001-10-23,3249354000
2001-10-24,3252567999
2001-10-25,3201144000
2001-10-26,3214000000
2001-10-29,3217214000
2001-10-30,3258996000
2001-10-31,3307205999
2001-11-01,3365058000
2001-11-02,3406840000
2001-11-05,3538614000
2001-11-06,3760380000
2001-11-07,3654317999
2001-11-08,3535400000
2001-11-09,3583610000
2001-11-12,3551470000
2001-11-13,3570754000
2001-11-14,3593252000
2001-11-15,3564326000
2001-11-16,3583610000
2001-11-19,3609322000
2001-11-20,3535400000
2001-11-21,3519330000
2001-11-23,3577182000
2001-11-26,3583610000
2001-11-27,3590038000
2001-11-28,3483976000
2001-11-29,3612536000
2001-11-30,3554684000
2001-12-03,3567540000
2001-12-04,3551470000
2001-12-05,3625392000
2001-12-06,3888940000
2001-12-07,3663960000
2001-12-10,3728240000
2001-12-11,3696100000
2001-12-12,3689672000
2001-12-13,3725026000
2001-12-14,3728240000
2001-12-17,3872870000
2001-12-18,3946792000
2001-12-19,3776450000
2001-12-20,3882512000
2001-12-21,3985360000
2001-12-24,3953220000
2001-12-26,4030355999
2001-12-27,4062496000
2001-12-28,4078566000
2001-12-31,3962862000
2002-01-02,3888940000
2002-01-03,3953220000
2002-01-04,4027142000
2002-01-07,4046426000
2002-01-08,4020714000
2002-01-09,4097850000
2002-01-10,4113920000
2002-01-11,4091422000
2002-01-14,4142846000
2002-01-15,4056067999
2002-01-16,4165344000
2002-01-17,4178200000
2002-01-18,4194270000
2002-01-22,4113920000
2002-01-23,4129990000
2002-01-24,4110705999
2002-01-25,4117134000
2002-01-28,4049640000
2002-01-29,3905010000
2002-01-30,3921080000
2002-01-31,4081780000
2002-02-01,3856800000
2002-02-04,3721812000
2002-02-05,3586824000
2002-02-06,3580396000
2002-02-07,3477548000
2002-02-08,3577182000
2002-02-11,3596466000
2002-02-12,3612536000
2002-02-13,3651104000
2002-02-14,3683244000
2002-02-15,3519330000
2002-02-19,3657532000
2002-02-20,3583610000
2002-02-21,3663960000
2002-02-22,3824660000
2002-02-25,3930722000
2002-02-26,3953220000
2002-02-27,4011072000
2002-02-28,4014286000
2002-03-01,4081780000
2002-03-04,4075352000
2002-03-05,4059282000
2002-03-06,4358184000
2002-03-07,4306760000
2002-03-08,4354970000
2002-03-11,4393538000
2002-03-12,4531740000
2002-03-13,4499600000
2002-03-14,4454604000
2002-03-15,4467460000
2002-03-18,4399966000
2002-03-19,4441748000
2002-03-20,4319616000
2002-03-21,4229624000
2002-03-22,4428892000
2002-03-25,4274620000
2002-03-26,4335686000
2002-03-27,4403180000
2002-03-28,4493172000
2002-04-01,4448540000
2002-04-02,4480590000
2002-04-03,4477385000
2002-04-04,4775450000
2002-04-05,4762630000
2002-04-08,4836345000
2002-04-09,4794680000
2002-04-10,4813910000
2002-04-11,4701735000
2002-04-12,4647250000
2002-04-15,4573535000
2002-04-16,4676095000
2002-04-17,4650455000
2002-04-18,4583150000
2002-04-19,4551100000
2002-04-22,4503025000
2002-04-23,4746605000
2002-04-24,4977365000
2002-04-25,4871600000
2002-04-26,4935700000
2002-04-29,4977365000
2002-04-30,5128000000
2002-05-01,5095950000
2002-05-02,5144024679
2002-05-03,5410039679
2002-05-06,5432475320
2002-05-07,5483755320
2002-05-08,5669645320
2002-05-09,5855535000
2002-05-10,5842715000
2002-05-13,5801050000
2002-05-14,5797845000
2002-05-15,5906815000
2002-05-16,5903610000
2002-05-17,5900405000
2002-05-20,5913225320
2002-05-21,5682465000
2002-05-22,5724130320
2002-05-23,5704899679
2002-05-24,5717720000
2002-05-28,5592725320
2002-05-29,5410039679
2002-05-30,5342735000
2002-05-31,5522215000
2002-06-03,5323505320
2002-06-04,4967750000
2002-06-05,5144024679
2002-06-06,5108770000
2002-06-07,5079925000
2002-06-10,5025440000
2002-06-11,5047875000
2002-06-12,4913265000
2002-06-13,4759425000
2002-06-14,4762630000
2002-06-17,5028645000
2002-06-18,5031850000
2002-06-19,5179280000
2002-06-20,4861985000
2002-06-21,4887625000
2002-06-24,4801090000
2002-06-25,4602380000
2002-06-26,4573535000
2002-06-27,4727375000
2002-06-28,4647250000
2002-07-01,4431915000
2002-07-02,4228587000
2002-07-03,4209525000
2002-07-05,4508163000
2002-07-08,4365198000
2002-07-09,4352490000
2002-07-10,4301658000
2002-07-11,4082445000
2002-07-12,4219056000
2002-07-15,4165047000
2002-07-16,3996666000
2002-07-17,3996666000
2002-07-18,3923595000
2002-07-19,3933126000
2002-07-22,3631311000
2002-07-23,3447045000
2002-07-24,3907710000
2002-07-25,3875940000
2002-07-26,3939480000
2002-07-29,4206348000
2002-07-30,4387437000
2002-07-31,4285773000
2002-08-01,4257180000
2002-08-02,3891825000
2002-08-05,3831462000
2002-08-06,3971250000
2002-08-07,3904532999
2002-08-08,3860055000
2002-08-09,3856878000
2002-08-12,3799692000
2002-08-13,3761568000
2002-08-14,3850523999
2002-08-15,3961719000
2002-08-16,3907710000
2002-08-19,4050675000
2002-08-20,4168223999
2002-08-21,4136454000
2002-08-22,4288950000
2002-08-23,4184109000
2002-08-26,4225410000
2002-08-27,4199994000
2002-08-28,4123746000
2002-08-29,4219056000
2002-08-30,4193640000
2002-09-03,4126923000
2002-09-04,4228587000
2002-09-05,4101507000
2002-09-06,4161870000
2002-09-09,4098330000
2002-09-10,4114215000
2002-09-11,4072914000
2002-09-12,4082445000
2002-09-13,3990312000
2002-09-16,4114215000
2002-09-17,3964896000
2002-09-18,3898179000
2002-09-19,3783807000
2002-09-20,3786984000
2002-09-23,3691673999
2002-09-24,3701205000
2002-09-25,3774276000
2002-09-26,3929948999
2002-09-27,3802869000
2002-09-30,3345408000
2002-10-01,3368640000
2002-10-02,3336696000
2002-10-03,3203112000
2002-10-04,3113088000
2002-10-07,2758800000
2002-10-08,2729760000
2002-10-09,2787840000
2002-10-10,2904000000
2002-10-11,3081144000
2002-10-14,2964984000
2002-10-15,3208920000
2002-10-16,3104376000
2002-10-17,3150840000
2002-10-18,3046296000
2002-10-21,3200208000
2002-10-22,3023064000
2002-10-23,3150840000
2002-10-24,3049200000
2002-10-25,3025968000
2002-10-28,2636832000
2002-10-29,2947560000
2002-10-30,2953368000
2002-10-31,3081144000
2002-11-01,3072432000
2002-11-04,3052104000
2002-11-05,3063720000
2002-11-06,3208920000
2002-11-07,3049200000
2002-11-08,2962080000
2002-11-11,2845920000
2002-11-12,2904000000
2002-11-13,3028872000
2002-11-14,3223440000
2002-11-15,3235056000
2002-11-18,3214728000
2002-11-19,3179880000
2002-11-20,3307656000
2002-11-21,3403488000
2002-11-22,3383160000
2002-11-25,3557400000
2002-11-26,3470280000
2002-11-27,3609672000
2002-11-29,3583536000
2002-12-02,3612576000
2002-12-03,3490608000
2002-12-04,3542880000
2002-12-05,3461568000
2002-12-06,3478992000
2002-12-09,3458664000
2002-12-10,3513840000
2002-12-11,3513840000
2002-12-12,3569015999
2002-12-13,3571920000
2002-12-16,3656136000
2002-12-17,3348312000
2002-12-18,3327984000
2002-12-19,3333792000
2002-12-20,3377352000
2002-12-23,3412200000
2002-12-24,3487704000
2002-12-26,3542880000
2002-12-27,3566112000
2002-12-30,3589344000
2002-12-31,3647424000
2003-01-02,3670656000
2003-01-03,3656136000
2003-01-06,3571920000
2003-01-07,3627096000
2003-01-08,3630000000
2003-01-09,3583536000
2003-01-10,3592248000
2003-01-13,3592248000
2003-01-14,3627096000
2003-01-15,3644520000
2003-01-16,3618384000
2003-01-17,3641615999
2003-01-21,3603864000
2003-01-22,3487704000
2003-01-23,3484800000
2003-01-24,3464472000
2003-01-27,3420912000
2003-01-28,3505128000
2003-01-29,3481896000
2003-01-30,3455760000
2003-01-31,3455760000
2003-02-03,3499320000
2003-02-04,3455760000
2003-02-05,3423815999
2003-02-06,3441240000
2003-02-07,3432528000
2003-02-10,3499320000
2003-02-11,3592248000
2003-02-12,3551592000
2003-02-13,3545784000
2003-02-14,3627096000
2003-02-18,3670656000
2003-02-19,3661944000
2003-02-20,3949440000
2003-02-21,3923304000
2003-02-24,3847800000
2003-02-25,3844896000
2003-02-26,3789720000
2003-02-27,3833280000
2003-02-28,3841992000
2003-03-03,3731640000
2003-03-04,3656136000
2003-03-05,3638712000
2003-03-06,3525456000
2003-03-07,3493512000
2003-03-10,3444144000
2003-03-11,3400584000
2003-03-12,3388968000
2003-03-13,3490608000
2003-03-14,3487704000
2003-03-17,3583536000
2003-03-18,3656136000
2003-03-19,3624192000
2003-03-20,3717120000
2003-03-21,3865224000
2003-03-24,3731640000
2003-03-25,3830376000
2003-03-26,3772296000
2003-03-27,3737448000
2003-03-28,3711312000
2003-03-31,3559800000
2003-04-01,3573760000
2003-04-02,3643560000
2003-04-03,3657520000
2003-04-04,3651936000
2003-04-07,3637976000
2003-04-08,3660312000
2003-04-09,3635184000
2003-04-10,3718944000
2003-04-11,3693816000
2003-04-14,3732904000
2003-04-15,3713360000
2003-04-16,3713360000
2003-04-17,3827832000
2003-04-21,3811080000
2003-04-22,3986976000
2003-04-23,3967432000
2003-04-24,3880880000
2003-04-25,3755240000
2003-04-28,3936720000
2003-04-29,3872504000
2003-04-30,3866920000
2003-05-01,3811080000
2003-05-02,3769200000
2003-05-05,3763616000
2003-05-06,3771992000
2003-05-07,3763616000
2003-05-08,3727320000
2003-05-09,3769200000
2003-05-12,3799912000
2003-05-13,3816664000
2003-05-14,3819456000
2003-05-15,3897632000
2003-05-16,3883672000
2003-05-19,3744072000
2003-05-20,3769200000
2003-05-21,3771992000
2003-05-22,3805496000
2003-05-23,3797120000
2003-05-27,3833416000
2003-05-28,3858544000
2003-05-29,3889256000
2003-05-30,3886464000
2003-06-02,3892048000
2003-06-03,3936720000
2003-06-04,3953472000
2003-06-05,4288512000
2003-06-06,4316432000
2003-06-09,4324808000
2003-06-10,4375064000
2003-06-11,4469992000
2003-06-12,4447656000
2003-06-13,4447656000
2003-06-16,4433696000
2003-06-17,4450448000
2003-06-18,4405776000
2003-06-19,4327600000
2003-06-20,4464408000
2003-06-23,4397400000
2003-06-24,4425320000
2003-06-25,4347144000
2003-06-26,4402984000
2003-06-27,4397400000
2003-06-30,4329288000
2003-07-01,4378860000
2003-07-02,4428432000
2003-07-03,4387122000
2003-07-07,4519314000
2003-07-08,4582655724
2003-07-09,4461480275
2003-07-10,4469742000
2003-07-11,4544100000
2003-07-14,4684554000
2003-07-15,4668030275
2003-07-16,4585410000
2003-07-17,4557869724
2003-07-18,4566132000
2003-07-21,4544100000
2003-07-22,4574394275
2003-07-23,4645998275
2003-07-24,4668030275
2003-07-25,4681800000
2003-07-28,4654260000
2003-07-29,4717601724
2003-07-30,4706586000
2003-07-31,4734126275
2003-08-01,4670783724
2003-08-04,4681800000
2003-08-05,4736880275
2003-08-06,4786451724
2003-08-07,4819500000
2003-08-08,4745142000
2003-08-11,4855301724
2003-08-12,4926905724
2003-08-13,4995755724
2003-08-14,5006772000
2003-08-15,4984740000
2003-08-18,5012280275
2003-08-19,5083883724
2003-08-20,5100408000
2003-08-21,5119686000
2003-08-22,5092146000
2003-08-25,5125194275
2003-08-26,5119686000
2003-08-27,5122440000
2003-08-28,5160996000
2003-08-29,5174766275
2003-09-02,5221583724
2003-09-03,5232600000
2003-09-04,5205060000
2003-09-05,5158242000
2003-09-08,5108669724
2003-09-09,5125194275
2003-09-10,5075622000
2003-09-11,5056344000
2003-09-12,5028804000
2003-09-15,5048082000
2003-09-16,5067360000
2003-09-17,5072868000
2003-09-18,5138964000
2003-09-19,5149980000
2003-09-22,5122440000
2003-09-23,5251878000
2003-09-24,5108670000
2003-09-25,5020542000
2003-09-26,4921398000
2003-09-29,4935168000
2003-09-30,4723522000
2003-10-01,4882409000
2003-10-02,4903953000
2003-10-03,4928190000
2003-10-06,4976664000
2003-10-07,5008980000
2003-10-08,4992822000
2003-10-09,5022445000
2003-10-10,5014366000
2003-10-13,5054761000
2003-10-14,5081691000
2003-10-15,4930883000
2003-10-16,5003594000
2003-10-17,5027831000
2003-10-20,5049375000
2003-10-21,5025138000
2003-10-22,4930883000
2003-10-23,4957813000
2003-10-24,4839321000
2003-10-27,4957813000
2003-10-28,4863558000
2003-10-29,4825856000
2003-10-30,5038603000
2003-10-31,5035910000
2003-11-03,5030524000
2003-11-04,5035910000
2003-11-05,4957813000
2003-11-06,4971278000
2003-11-07,4990129000
2003-11-10,4949734000
2003-11-11,4909339000
2003-11-12,4901260000
2003-11-13,4847400000
2003-11-14,4836628000
2003-11-17,4780075000
2003-11-18,4720829000
2003-11-19,4712750000
2003-11-20,4675048000
2003-11-21,4707364000
2003-11-24,4731601000
2003-11-25,4728908000
2003-11-26,4734294000
2003-11-28,4734294000
2003-12-01,4742373000
2003-12-02,4656197000
2003-12-03,4685820000
2003-12-04,4685820000
2003-12-05,4664276000
2003-12-08,4688513000
2003-12-09,4664276000
2003-12-10,4672355000
2003-12-11,4712750000
2003-12-12,4720829000
2003-12-15,4726215000
2003-12-16,4747759000
2003-12-17,4804312000
2003-12-18,4882409000
2003-12-19,4874330000
2003-12-22,4847400000
2003-12-23,4933576000
2003-12-24,4887795000
2003-12-26,4868944000
2003-12-29,4912032000
2003-12-30,4955120000
2003-12-31,4947041000
2004-01-02,4847400000
2004-01-05,4855479000
2004-01-06,4839321000
2004-01-07,4863558000
2004-01-08,4882409000
2004-01-09,4812391000
2004-01-12,4777382000
2004-01-13,4771996000
2004-01-14,4780075000
2004-01-15,4758531000
2004-01-16,4807005000
2004-01-20,4782768000
2004-01-21,4777382000
2004-01-22,4755838000
2004-01-23,4763917000
2004-01-26,4782768000
2004-01-27,4591565000
2004-01-28,4510775000
2004-01-29,4497310000
2004-01-30,4411134000
2004-02-02,4429985000
2004-02-03,4427292000
2004-02-04,4386897000
2004-02-05,4548477000
2004-02-06,4615802000
2004-02-09,4634653000
2004-02-10,4467687000
2004-02-11,4486538000
2004-02-12,4459608000
2004-02-13,4394976000
2004-02-17,4427292000
2004-02-18,4429985000
2004-02-19,4478459000
2004-02-20,4416520000
2004-02-23,4526933000
2004-02-24,4481152000
2004-02-25,4462301000
2004-02-26,4438064000
2004-02-27,4491924000
2004-03-01,4540398000
2004-03-02,4443450000
2004-03-03,4456915000
2004-03-04,4438064000
2004-03-05,4491924000
2004-03-08,4421906000
2004-03-09,4413827000
2004-03-10,4359967000
2004-03-11,4343809000
2004-03-12,4416520000
2004-03-15,4451529000
2004-03-16,4448836000
2004-03-17,4489231000
2004-03-18,4464994000
2004-03-19,4473073000
2004-03-22,4427292000
2004-03-23,4443450000
2004-03-24,4443450000
2004-03-25,4526933000
2004-03-26,4561942000
2004-03-29,4559249000
2004-03-30,4564635000
2004-03-31,4555760000
2004-04-01,4550416000
2004-04-02,4603856000
2004-04-05,4702720000
2004-04-06,4697376000
2004-04-07,4659968000
2004-04-08,4622560000
2004-04-12,4635920000
2004-04-13,4574464000
2004-04-14,4521024000
2004-04-15,4523696000
2004-04-16,4569120000
2004-04-19,4542400000
2004-04-20,4502320000
2004-04-21,4542400000
2004-04-22,4595840000
2004-04-23,4542400000
2004-04-26,4478272000
2004-04-27,4515680000
2004-04-28,4545072000
2004-04-29,4496976000
2004-04-30,4547744000
2004-05-03,4547744000
2004-05-04,4550416000
2004-05-05,4510336000
2004-05-06,4422160000
2004-05-07,4355360000
2004-05-10,4253824000
2004-05-11,4267184000
2004-05-12,4165648000
2004-05-13,4179008000
2004-05-14,4170992000
2004-05-17,4109536000
2004-05-18,4144272000
2004-05-19,4162976000
2004-05-20,4192368000
2004-05-21,4304592000
2004-05-24,4307264000
2004-05-25,4411472000
2004-05-26,4432848000
2004-05-27,4446208000
2004-05-28,4454224000
2004-06-01,4472928000
2004-06-02,4545072000
2004-06-03,4529040000
2004-06-04,4523696000
2004-06-07,4563776000
2004-06-08,4561104000
2004-06-09,4555760000
2004-06-10,4534384000
2004-06-14,4523696000
2004-06-15,4550416000
2004-06-16,4542400000
2004-06-17,4569120000
2004-06-18,4558432000
2004-06-21,4555760000
2004-06-22,4545072000
2004-06-23,4555760000
2004-06-24,4563776000
2004-06-25,4561104000
2004-06-28,4542400000
2004-06-29,4547744000
2004-06-30,4541760000
2004-07-01,4499264000
2004-07-02,4472704000
2004-07-06,4400992000
2004-07-07,4403648000
2004-07-08,4318656000
2004-07-09,4228352000
2004-07-12,4209760000
2004-07-13,4151328000
2004-07-14,4153984000
2004-07-15,4153984000
2004-07-16,4138048000
2004-07-19,4108832000
2004-07-20,4138048000
2004-07-21,4063680000
2004-07-22,4092896000
2004-07-23,4095552000
2004-07-26,4037120000
2004-07-27,4148672000
2004-07-28,4172576000
2004-07-29,4212416000
2004-07-30,4281472000
2004-08-02,4302720000
2004-08-03,4260224000
2004-08-04,4238976000
2004-08-05,4177888000
2004-08-06,4185856000
2004-08-09,4193824000
2004-08-10,4273504000
2004-08-11,4262880000
2004-08-12,4161952000
2004-08-13,4161952000
2004-08-16,4273504000
2004-08-17,4268192000
2004-08-18,4342560000
2004-08-19,4286784000
2004-08-20,4262880000
2004-08-23,4262880000
