,FCX
2002-12-31,2437127200
2003-01-02,2535890400
2003-01-03,2559128800
2003-01-06,2556224000
2003-01-07,2480699199
2003-01-08,2416793600
2003-01-09,2469080000
2003-01-10,2599796000
2003-01-13,2512652000
2003-01-14,2466175200
2003-01-15,2469080000
2003-01-16,2660796800
2003-01-17,2657892000
2003-01-21,2562033600
2003-01-22,2649177600
2003-01-23,2742131200
2003-01-24,2698559199
2003-01-27,2730512000
2003-01-28,2721797600
2003-01-29,2739226400
2003-01-30,2747940800
2003-01-31,2727607200
2003-02-03,2660796800
2003-02-04,2756655200
2003-02-05,2637558400
2003-02-06,2445841600
2003-02-07,2460365600
2003-02-10,2428412800
2003-02-11,2440032000
2003-02-12,2390650400
2003-02-13,2442936800
2003-02-14,2454556000
2003-02-18,2416793600
2003-02-19,2486508800
2003-02-20,2509747200
2003-02-21,2503937600
2003-02-24,2454556000
2003-02-25,2442936800
2003-02-26,2469080000
2003-02-27,2480699199
2003-02-28,2471984800
2003-03-03,2466175200
2003-03-04,2463270400
2003-03-05,2477794400
2003-03-06,2457460800
2003-03-07,2474889600
2003-03-10,2323840000
2003-03-11,2349983200
2003-03-12,2361602400
2003-03-13,2440032000
2003-03-14,2483604000
2003-03-17,2506842400
2003-03-18,2567843200
2003-03-19,2515556800
2003-03-20,2486508800
2003-03-21,2541700000
2003-03-24,2428412800
2003-03-25,2440032000
2003-03-26,2466175200
2003-03-27,2384840800
2003-03-28,2518461600
2003-03-31,2489173420
2003-04-01,2486255280
2003-04-02,2553372500
2003-04-03,2532945520
2003-04-04,2541699940
2003-04-07,2582553900
2003-04-08,2640916700
2003-04-09,2693443220
2003-04-10,2710952059
2003-04-11,2699279500
2003-04-14,2670098100
2003-04-15,2719706480
2003-04-16,2725542760
2003-04-17,2652589260
2003-04-21,2667179960
2003-04-22,2652589260
2003-04-23,2690525080
2003-04-24,2582553900
2003-04-25,2527109240
2003-04-28,2538781800
2003-04-29,2547536220
2003-04-30,2524191100
2003-05-01,2635080420
2003-05-02,2655507400
2003-05-05,2652589260
2003-05-06,2655507400
2003-05-07,2617571580
2003-05-08,2670098100
2003-05-09,2702197640
2003-05-12,2772233000
2003-05-13,2810168820
2003-05-14,2778069280
2003-05-15,2818923240
2003-05-16,2888958600
2003-05-19,2845186500
2003-05-20,2915221860
2003-05-21,3014438620
2003-05-22,2999847920
2003-05-23,3046538160
2003-05-27,3195363300
2003-05-28,3119491660
2003-05-29,3212872140
2003-05-30,3204117720
2003-06-02,3320843320
2003-06-03,3344188440
2003-06-04,3350024720
2003-06-05,3382124260
2003-06-06,3373369840
2003-06-09,3329597740
2003-06-10,3355861000
2003-06-11,3422978220
2003-06-12,3449241480
2003-06-13,3425896360
2003-06-16,3551376380
2003-06-17,3636002440
2003-06-18,3720628500
2003-06-19,3554294520
2003-06-20,3560130800
2003-06-23,3446323340
2003-06-24,3516358700
2003-06-25,3493013580
2003-06-26,3557212660
2003-06-27,3528031260
2003-06-30,3905471500
2003-07-01,3835332420
2003-07-02,3879966380
2003-07-03,3864025679
2003-07-07,3905471500
2003-07-08,3899095220
2003-07-09,3943729179
2003-07-10,3972422440
2003-07-11,3962858020
2003-07-14,3905471500
2003-07-15,3813015440
2003-07-16,3765193340
2003-07-17,3905471500
2003-07-18,3985175000
2003-07-21,4001115700
2003-07-22,3972422440
2003-07-23,4131829440
2003-07-24,4189215960
2003-07-25,4399633200
2003-07-28,4345434820
2003-07-29,4303989000
2003-07-30,4224285500
2003-07-31,4268919460
2003-08-01,4272107600
2003-08-04,4278483880
2003-08-05,4217909220
2003-08-06,4224285500
2003-08-07,4176463400
2003-08-08,4399633200
2003-08-11,4527158800
2003-08-12,4441079020
2003-08-13,4517594380
2003-08-14,4606862300
2003-08-15,4574980900
2003-08-18,4514406240
2003-08-19,4702506500
2003-08-20,4702506500
2003-08-21,4629179280
2003-08-22,4348622960
2003-08-25,4303989000
2003-08-26,4533535080
2003-08-27,4737576040
2003-08-28,4782210000
2003-08-29,4782210000
2003-09-02,4823655820
2003-09-03,4810903260
2003-09-04,4906547460
2003-09-05,4858725360
2003-09-08,4896983040
2003-09-09,4963933980
2003-09-10,4954369560
2003-09-11,4986250960
2003-09-12,5021320500
2003-09-15,5081895160
2003-09-16,5065954460
2003-09-17,5053201900
2003-09-18,5222173320
2003-09-19,5372015900
2003-09-22,5448531260
2003-09-23,5451719400
2003-09-24,5470848240
2003-09-25,5254054720
2003-09-26,5136093540
2003-09-29,5324193800
2003-09-30,6551747800
2003-10-01,6789273399
2003-10-02,7074304120
2003-10-03,6686345640
2003-10-06,6927830000
2003-10-07,7208901960
2003-10-08,7402881200
2003-10-09,7125768000
2003-10-10,7098056680
2003-10-13,7478097640
2003-10-14,7351417320
2003-10-15,7363293600
2003-10-16,7402881200
2003-10-17,7228695760
2003-10-20,7232654520
2003-10-21,7513726480
2003-10-22,7394963680
2003-10-23,7339541040
2003-10-24,7339541040
2003-10-27,7394963680
2003-10-28,7434551280
2003-10-29,7513726480
2003-10-30,7612695480
2003-10-31,7672076880
2003-11-03,7664159360
2003-11-04,8127334280
2003-11-05,7917520000
2003-11-06,7858138600
2003-11-07,8115458000
2003-11-10,7715623239
2003-11-11,7616654239
2003-11-12,7988777680
2003-11-13,8012530239
2003-11-14,7818551000
2003-11-17,7636448040
2003-11-18,7953148840
2003-11-19,8143169320
2003-11-20,8024406520
2003-11-21,8044200320
2003-11-24,8155045600
2003-11-25,8396529960
2003-11-26,8440076320
2003-11-28,8618220520
2003-12-01,8859704880
2003-12-02,8934921320
2003-12-03,8899292480
2003-12-04,8756777120
2003-12-05,8958673880
2003-12-08,9152653120
2003-12-09,9049725360
2003-12-10,8487581440
2003-12-11,8887416200
2003-12-12,8855746120
2003-12-15,8903251240
2003-12-16,8736983320
