,TXN
2001-03-12,55023076915
2001-03-13,58048461530
2001-03-14,55748461531
2001-03-15,55695384608
2001-03-16,55465384608
2001-03-19,57517692300
2001-03-20,57057692300
2001-03-21,60189230761
2001-03-22,67000769222
2001-03-23,68663846144
2001-03-26,64576923068
2001-03-27,64134615376
2001-03-28,57464615377
2001-03-29,55589230761
2001-03-30,54810769223
2001-04-02,50772272729
2001-04-03,49250000002
2001-04-04,49590272729
2001-04-05,55786818184
2001-04-06,50611090911
2001-04-09,49267909093
2001-04-10,53010909093
2001-04-11,60890909094
2001-04-12,63487727275
2001-04-16,59117909093
2001-04-17,60890909094
2001-04-18,64723454548
2001-04-19,69505181821
2001-04-20,67159090912
2001-04-23,63899636366
2001-04-24,61696818184
2001-04-25,62771363639
2001-04-26,61786363639
2001-04-27,66227818185
2001-04-30,69308181821
2001-05-01,70866272730
2001-05-02,71546818185
2001-05-03,68000818185
2001-05-04,67785909094
2001-05-07,68824636367
2001-05-08,70024545458
2001-05-09,67248636367
2001-05-10,67660545457
2001-05-11,67105363639
2001-05-14,65887545457
2001-05-15,66317363639
2001-05-16,68950000003
2001-05-17,71278181821
2001-05-18,71117000003
2001-05-21,74967454549
2001-05-22,73982454549
2001-05-23,70884181821
2001-05-24,68788818185
2001-05-25,67785909094
2001-05-29,65457727276
2001-05-30,59261181821
2001-05-31,61105818184
2001-06-01,61338636366
2001-06-04,61338636366
2001-06-05,64454818185
2001-06-06,63595181821
2001-06-07,70543909094
2001-06-08,68036636367
2001-06-11,65923363639
2001-06-12,62502727275
2001-06-13,60926727275
2001-06-14,56431545457
2001-06-15,57559818184
2001-06-18,55751000002
2001-06-19,53010909093
2001-06-20,53637727275
2001-06-21,54443636366
2001-06-22,54264545457
2001-06-25,55249545457
2001-06-26,55357000002
2001-06-27,55357000002
2001-06-28,56807636366
2001-06-29,57130000002
2001-07-02,54872999985
2001-07-03,54020571414
2001-07-05,52415999986
2001-07-06,48889285701
2001-07-09,49139999987
2001-07-10,49557857130
2001-07-11,50226428558
2001-07-12,55391142842
2001-07-13,55491428557
2001-07-16,52716857129
2001-07-17,53017714272
2001-07-18,50309999987
2001-07-19,54755999985
2001-07-20,52666714272
2001-07-23,51479999986
2001-07-24,50477142844
2001-07-25,52833857129
2001-07-26,56527714271
2001-07-27,58249285699
2001-07-30,58416428556
2001-07-31,57664285699
2001-08-01,61224428555
2001-08-02,63764999983
2001-08-03,62678571412
2001-08-06,61408285698
2001-08-07,59252142841
2001-08-08,56260285699
2001-08-09,57162857128
2001-08-10,57914999985
2001-08-13,58132285699
2001-08-14,58265999985
2001-08-15,55859142842
2001-08-16,58031999985
2001-08-17,55391142842
2001-08-20,55758857128
2001-08-21,54338142843
2001-08-22,56243571414
2001-08-23,56761714271
2001-08-24,59335714270
2001-08-27,60171428556
2001-08-28,59686714270
2001-08-29,56912142842
2001-08-30,55140428557
2001-08-31,55324285700
2001-09-04,53652857129
2001-09-05,51546857129
2001-09-06,49307142844
2001-09-07,47836285702
2001-09-10,47819571416
2001-09-17,45128571417
2001-09-18,40615714275
2001-09-19,39947142846
2001-09-20,36320142847
2001-09-21,38442857133
2001-09-24,40866428560
2001-09-25,40782857132
2001-09-26,39696428561
2001-09-27,39696428561
2001-09-28,41752285703
2001-10-01,39984000000
2001-10-02,37024000000
2001-10-03,40416000000
2001-10-04,43280000000
2001-10-05,43376000000
2001-10-08,46000000000
2001-10-09,42896000000
2001-10-10,45680000000
2001-10-11,49360000000
2001-10-12,50240000000
2001-10-15,48544000000
2001-10-16,50384000000
2001-10-17,47856000000
2001-10-18,44800000000
2001-10-19,44384000000
2001-10-22,46256000000
2001-10-23,45760000000
2001-10-24,47760000000
2001-10-25,50016000000
2001-10-26,49360000000
2001-10-29,45600000000
2001-10-30,43632000000
2001-10-31,44784000000
2001-11-01,46880000000
2001-11-02,47888000000
2001-11-05,47840000000
2001-11-06,50384000000
2001-11-07,50960000000
2001-11-08,51056000000
2001-11-09,49600000000
2001-11-12,51040000000
2001-11-13,54112000000
2001-11-14,54208000000
2001-11-15,53232000000
2001-11-16,52208000000
2001-11-19,52736000000
2001-11-20,50000000000
2001-11-21,49760000000
2001-11-23,50784000000
2001-11-26,51920000000
2001-11-27,52128000000
2001-11-28,49648000000
2001-11-29,51312000000
2001-11-30,51279999999
2001-12-03,49568000000
2001-12-04,49600000000
2001-12-05,53600000000
2001-12-06,53600000000
2001-12-07,52320000000
2001-12-10,49440000000
2001-12-11,49680000000
2001-12-12,51520000000
2001-12-13,47872000000
2001-12-14,48560000000
2001-12-17,48272000000
2001-12-18,47696000000
2001-12-19,44640000000
2001-12-20,42400000000
2001-12-21,44800000000
2001-12-24,44528000000
2001-12-26,44880000000
2001-12-27,46000000000
2001-12-28,45856000000
2001-12-31,53200000000
2002-01-02,54758000000
2002-01-03,58330000000
2002-01-04,57760000000
2002-01-07,55879000000
2002-01-08,55100000000
2002-01-09,53599000000
2002-01-10,52345000000
2002-01-11,51756000000
2002-01-14,51471000000
2002-01-15,50179000000
2002-01-16,49989000000
2002-01-17,52155000000
2002-01-18,52326000000
2002-01-22,48925000000
2002-01-23,49400000000
2002-01-24,52155000000
2002-01-25,52155000000
2002-01-28,53960000000
2002-01-29,56924000000
2002-01-30,58368000000
2002-01-31,59299000000
2002-02-01,57950000000
2002-02-04,56525000000
2002-02-05,56525000000
2002-02-06,56050000000
2002-02-07,56126000000
2002-02-08,57551000000
2002-02-11,60705000000
2002-02-12,60458000000
2002-02-13,62528999999
2002-02-14,61769000000
2002-02-15,59850000000
2002-02-19,56886000000
2002-02-20,56981000000
2002-02-21,54834000000
2002-02-22,56069000000
2002-02-25,58615000000
2002-02-26,58881000000
2002-02-27,57684000000
2002-02-28,55765000000
2002-03-01,59850000000
2002-03-04,64581000000
2002-03-05,64581000000
2002-03-06,64980000000
2002-03-07,66025000000
2002-03-08,67849000000
2002-03-11,64809000000
2002-03-12,62225000000
2002-03-13,61560000000
2002-03-14,62491000000
2002-03-15,64771000000
2002-03-18,64600000000
2002-03-19,65683000000
2002-03-20,63650000000
2002-03-21,64903999999
2002-03-22,63003999999
2002-03-25,60894999999
2002-03-26,63688000000
2002-03-27,62890000000
2002-03-28,62890000000
2002-04-01,64771000000
2002-04-02,64125000000
2002-04-03,62681000000
2002-04-04,63308000000
2002-04-05,63498000000
2002-04-08,62700000000
2002-04-09,61408000000
2002-04-10,61085000000
2002-04-11,58805000000
2002-04-12,60420000000
2002-04-15,61047000000
2002-04-16,64201000000
2002-04-17,64694999999
2002-04-18,63877999999
2002-04-19,63269999999
2002-04-22,61940000000
2002-04-23,61617000000
2002-04-24,60325000000
2002-04-25,59850000000
2002-04-26,57779000000
2002-04-29,58235000000
2002-04-30,58767000000
2002-05-01,59280000000
2002-05-02,56601000000
2002-05-03,53770000000
2002-05-06,52345000000
2002-05-07,52269000000
2002-05-08,58140000000
2002-05-09,56601000000
2002-05-10,54530000000
2002-05-13,57513000000
2002-05-14,59470000000
2002-05-15,60230000000
2002-05-16,61009000000
2002-05-17,61446000000
2002-05-20,60230000000
2002-05-21,58159000000
2002-05-22,58254000000
2002-05-23,58178000000
2002-05-24,56962000000
2002-05-28,56791000000
2002-05-29,54568000000
2002-05-30,54720000000
2002-05-31,54473000000
2002-06-03,52706000000
2002-06-04,53390000000
2002-06-05,54036000000
2002-06-06,52611000000
2002-06-07,50160000000
2002-06-10,48963000000
2002-06-11,47405000000
2002-06-12,48716000000
2002-06-13,48545000000
2002-06-14,48260000000
2002-06-17,50616000000
2002-06-18,49571000000
2002-06-19,47215000000
2002-06-20,46493000000
2002-06-21,43567000000
2002-06-24,45866000000
2002-06-25,44517000000
2002-06-26,46037000000
2002-06-27,46873000000
2002-06-28,45030000000
2002-07-01,40078181816
2002-07-02,37924727270
2002-07-03,39548363634
2002-07-05,42693090906
2002-07-08,41274545452
2002-07-09,39821818179
2002-07-10,37907636361
2002-07-11,39599636361
2002-07-12,40573818179
2002-07-15,42043636361
2002-07-16,42932363634
2002-07-17,44060363634
2002-07-18,43069090906
2002-07-19,42470909088
2002-07-22,39975636361
2002-07-23,40129454543
2002-07-24,41018181816
2002-07-25,37839272725
2002-07-26,38181090907
2002-07-29,40163636361
2002-07-30,40419999997
2002-07-31,39565454543
2002-08-01,36078909088
2002-08-02,34130545452
2002-08-05,31105454543
2002-08-06,32284727271
2002-08-07,33327272725
2002-08-08,35019272725
2002-08-09,35754181816
2002-08-12,34438181816
2002-08-13,32814545452
2002-08-14,33976727270
2002-08-15,34694545452
2002-08-16,37582909088
2002-08-19,38625454543
2002-08-20,37275272725
2002-08-21,38830545452
2002-08-22,39274909088
2002-08-23,37258181816
2002-08-26,37770909088
2002-08-27,35258545452
2002-08-28,34591999998
2002-08-29,34096363634
2002-08-30,33669090907
2002-09-03,31652363634
2002-09-04,32780363634
2002-09-05,31823272725
2002-09-06,34250181816
2002-09-09,34027999998
2002-09-10,35002181816
2002-09-11,35292727270
2002-09-12,32831636361
2002-09-13,32472727271
2002-09-16,31225090907
2002-09-17,30763636362
2002-09-18,30097090907
2002-09-19,29105818180
2002-09-20,26969454544
2002-09-23,25550909089
2002-09-24,25807272725
2002-09-25,27943636362
2002-09-26,28182909089
2002-09-27,26627636362
2002-09-30,24075100000
2002-10-01,26275600000
2002-10-02,25900700000
2002-10-03,24841200000
2002-10-04,23928400000
2002-10-07,23227500000
2002-10-08,22820000000
2002-10-09,21564900000
2002-10-10,23146000000
2002-10-11,26259300000
2002-10-14,26063700000
2002-10-15,28736900000
2002-10-16,26340800000
2002-10-17,28019700000
2002-10-18,27873000000
2002-10-21,27905600000
2002-10-22,22820000000
2002-10-23,24254400000
2002-10-24,23781700000
2002-10-25,25265000000
2002-10-28,25591000000
2002-10-29,24531500000
2002-10-30,25884400000
2002-10-31,25851800000
2002-11-01,27367700000
2002-11-04,27775200000
2002-11-05,26438600000
2002-11-06,26731999999
2002-11-07,24384800000
2002-11-08,24450000000
2002-11-11,23211200000
2002-11-12,24140300000
2002-11-13,24613000000
2002-11-14,26487500000
2002-11-15,26715700000
2002-11-18,27710000000
2002-11-19,28003400000
2002-11-20,30024600000
2002-11-21,32078400000
2002-11-22,31328600000
2002-11-25,31817600000
2002-11-26,30073500000
2002-11-27,33040100000
2002-11-29,32779300000
2002-12-02,32225100000
2002-12-03,30888500000
2002-12-04,29714900000
2002-12-05,29829000000
2002-12-06,29714900000
2002-12-09,27612200000
2002-12-10,27889300000
2002-12-11,28068600000
2002-12-12,28427200000
2002-12-13,27221000000
2002-12-16,28117500000
2002-12-17,28264200000
2002-12-18,26536400000
2002-12-19,25558400000
2002-12-20,25656200000
2002-12-23,25802900000
2002-12-24,25721400000
2002-12-26,25428000000
2002-12-27,24922700000
2002-12-30,24629300000
2002-12-31,25088142850
2003-01-02,26809714278
2003-01-03,26960142850
2003-01-06,28481142849
2003-01-07,27578571421
2003-01-08,26742857136
2003-01-09,26508857136
2003-01-10,26826428564
2003-01-13,26909999993
2003-01-14,26943428564
2003-01-15,26592428564
2003-01-16,25188428564
2003-01-17,24319285708
2003-01-21,23650714279
2003-01-22,23817857136
2003-01-23,26943428564
2003-01-24,26508857136
2003-01-27,25773428564
2003-01-28,26742857136
2003-01-29,27327857135
2003-01-30,26174571421
2003-01-31,26575714278
2003-02-03,26492142850
2003-02-04,25890428564
2003-02-05,25890428564
2003-02-06,25171714279
2003-02-07,25054714279
2003-02-10,25154999993
2003-02-11,25806857136
2003-02-12,25489285707
2003-02-13,24920999993
2003-02-14,25873714279
2003-02-18,27143999993
2003-02-19,27428142850
2003-02-20,26726142850
2003-02-21,26558999993
2003-02-24,26625857136
2003-02-25,26792999993
2003-02-26,26324999993
2003-02-27,27244285707
2003-02-28,27996428564
2003-03-03,27077142850
2003-03-04,26742857136
2003-03-05,27077142850
2003-03-06,27494999992
2003-03-07,27244285707
2003-03-10,26776285707
2003-03-11,27361285707
2003-03-12,27896142849
2003-03-13,29935285706
2003-03-14,29099571421
2003-03-17,30520285706
2003-03-18,30854571420
2003-03-19,30520285706
2003-03-20,30553714277
2003-03-21,31205571420
2003-03-24,29634428563
2003-03-25,29918571420
2003-03-26,29667857135
2003-03-27,29667857135
2003-03-28,29049428563
2003-03-31,28296714292
2003-04-01,28417714292
2003-04-02,30388285721
2003-04-03,30682142864
2003-04-04,29212857150
2003-04-07,29731428578
2003-04-08,28331285721
2003-04-09,28072000006
2003-04-10,28573285721
2003-04-11,28054714292
2003-04-14,29282000007
2003-04-15,29766000007
2003-04-16,32842857151
2003-04-17,33534285722
2003-04-21,33482428579
2003-04-22,34415857151
2003-04-23,34035571437
2003-04-24,33447857151
2003-04-25,31788428579
2003-04-28,32462571436
2003-04-29,32946571436
2003-04-30,31961285722
2003-05-01,32065000007
2003-05-02,33344142865
2003-05-05,33689857151
2003-05-06,34917142865
2003-05-07,33361428579
2003-05-08,32618142865
2003-05-09,34571428580
2003-05-12,34001000008
2003-05-13,34052857151
2003-05-14,33568857151
2003-05-15,33880000008
2003-05-16,33862714294
2003-05-19,32445285722
2003-05-20,32376142865
2003-05-21,32445285722
2003-05-22,32203285722
2003-05-23,32341571436
2003-05-27,33326857151
2003-05-28,34865285722
2003-05-29,34986285722
2003-05-30,35435714294
2003-06-02,34744285722
2003-06-03,35643142865
2003-06-04,36472857151
2003-06-05,36023428580
2003-06-06,36213571437
2003-06-09,34951714294
2003-06-10,35245571437
2003-06-11,32600857150
2003-06-12,31961285722
2003-06-13,31114285722
2003-06-16,31874857150
2003-06-17,31857571436
2003-06-18,32151428579
2003-06-19,32479857150
2003-06-20,31978571436
2003-06-23,31269857150
2003-06-24,30716714293
2003-06-25,29990714293
2003-06-26,31097000007
2003-06-27,31131571436
2003-06-30,30258461534
2003-07-01,30292846149
2003-07-02,31324384611
2003-07-03,30516346149
2003-07-07,32476269226
2003-07-08,32785730764
2003-07-09,33507807687
2003-07-10,32338730764
2003-07-11,32252769226
2003-07-14,32871692303
2003-07-15,33421846149
2003-07-16,33060807687
2003-07-17,31375961534
2003-07-18,32132423072
2003-07-21,30739846149
2003-07-22,33095192303
2003-07-23,33163961534
2003-07-24,32269961534
2003-07-25,32751346149
2003-07-28,32957653841
2003-07-29,32183999995
2003-07-30,32149615380
2003-07-31,32441884611
2003-08-01,32441884611
2003-08-04,32321538457
2003-08-05,31444730765
2003-08-06,31375961534
2003-08-07,31307192303
2003-08-08,31032115380
2003-08-11,31771384611
2003-08-12,32476269226
2003-08-13,33215538457
2003-08-14,34470576918
2003-08-15,34694076918
2003-08-18,35949115379
2003-08-19,36258576918
2003-08-20,35759999995
2003-08-21,38080961533
2003-08-22,39215653840
2003-08-25,38871807687
2003-08-26,38992153840
2003-08-27,40384730763
2003-08-28,40848923071
2003-08-29,41003653840
2003-09-02,41330307686
2003-09-03,40659807686
2003-09-04,41536615379
2003-09-05,43204269224
2003-09-08,44751576917
2003-09-09,43530923071
2003-09-10,40264384609
2003-09-11,40728576917
2003-09-12,41055230763
2003-09-15,40625423071
2003-09-16,42550961532
2003-09-17,41674153840
2003-09-18,41932038455
2003-09-19,41553807686
2003-09-22,40315961533
2003-09-23,41450653840
2003-09-24,39679846148
2003-09-25,39645461533
2003-09-26,38820230764
2003-09-29,39800192302
2003-09-30,59086935482
2003-10-01,60253124998
2003-10-02,60901008063
2003-10-03,63881270159
2003-10-06,63362963708
2003-10-07,64062677417
2003-10-08,63959016127
2003-10-09,64762391127
2003-10-10,66032241933
2003-10-13,66291395159
2003-10-14,66965193546
2003-10-15,66213649191
2003-10-16,66343225804
2003-10-17,64684645159
2003-10-20,66524633062
2003-10-21,70696999998
2003-10-22,69997286288
2003-10-23,70774745965
2003-10-24,71137560482
2003-10-27,72822056449
2003-10-28,76061471772
2003-10-29,75620911288
2003-10-30,76502032256
2003-10-31,74947112901
2003-11-03,77564560481
2003-11-04,77331322578
2003-11-05,78860326610
2003-11-06,79793278223
2003-11-07,80130177417
2003-11-10,77979205643
2003-11-11,76864846772
2003-11-12,79560040320
2003-11-13,78238358869
2003-11-14,74713874998
2003-11-17,73444024191
2003-11-18,72200088707
2003-11-19,73158955643
2003-11-20,72200088707
2003-11-21,73469939514
2003-11-24,76294709675
2003-11-25,76320624998
2003-11-26,76683439514
2003-11-28,77123999998
2003-12-01,78212443546
2003-12-02,78031036288
2003-12-03,76450201611
2003-12-04,75517249998
2003-12-05,73495854836
2003-12-08,73184870965
2003-12-09,71241221772
2003-12-10,72355580643
2003-12-11,74117822578
2003-12-12,74428806449
2003-12-15,73444024191
2003-12-16,72355580643
2003-12-17,71733612901
2003-12-18,74843451611
2003-12-19,73444024191
2003-12-22,74428806449
2003-12-23,75594995965
2003-12-24,75102604836
2003-12-26,74713874998
2003-12-29,76242879030
2003-12-30,76372455643
2003-12-31,50915540000
2004-01-02,50794230000
2004-01-05,51868690000
2004-01-06,51972670000
2004-01-07,51903350000
2004-01-08,55196050000
2004-01-09,55074740000
2004-01-12,56842399999
2004-01-13,55785269999
2004-01-14,56287839999
2004-01-15,58315450000
2004-01-16,58107490000
2004-01-20,57934190000
2004-01-21,55993230000
2004-01-22,54988090000
2004-01-23,53671010000
2004-01-26,55438670000
2004-01-27,52856500000
2004-01-28,53203100000
2004-01-29,53012470000
2004-01-30,54329550000
2004-02-02,53567030000
2004-02-03,53307080000
2004-02-04,52111310000
2004-02-05,52041990000
2004-02-06,54260230000
2004-02-09,54104260000
2004-02-10,54329550000
2004-02-11,54797460000
2004-02-12,54242900000
2004-02-13,53324410000
2004-02-17,54017610000
2004-02-18,54485520000
2004-02-19,53549700000
2004-02-20,53064460000
2004-02-23,51539420000
2004-02-24,51834030000
2004-02-25,53133780000
2004-02-26,54156250000
2004-02-27,53116450000
2004-03-01,53757660000
2004-03-02,54208240000
2004-03-03,53272420000
2004-03-04,53930960000
2004-03-05,54537510000
2004-03-08,53029800000
2004-03-09,52440580000
2004-03-10,51435440000
2004-03-11,50603600000
2004-03-12,51660730000
2004-03-15,50464960000
2004-03-16,51244810000
2004-03-17,51556750000
2004-03-18,50759570000
2004-03-19,48160070000
2004-03-22,47328230000
2004-03-23,47050950000
2004-03-24,47796140000
2004-03-25,49927730000
2004-03-26,49546470000
2004-03-29,50412970000
2004-03-30,50343650000
2004-03-31,51544080000
2004-04-01,52743600000
2004-04-02,53643240000
2004-04-05,54578160000
2004-04-06,51438240000
2004-04-07,51685200000
2004-04-08,51473520000
2004-04-12,51985080000
2004-04-13,51120720000
2004-04-14,50591520000
2004-04-15,49427280000
2004-04-16,48792240000
2004-04-19,50097600000
2004-04-20,48245400000
2004-04-21,48263040000
2004-04-22,48756960000
2004-04-23,49286160000
2004-04-26,48439440000
2004-04-27,47804400000
2004-04-28,47134080000
2004-04-29,44858520000
2004-04-30,44276400000
2004-05-03,43129800000
2004-05-04,43570800000
2004-05-05,43941240000
2004-05-06,44241120000
2004-05-07,44840880000
2004-05-10,45211320000
2004-05-11,46463760000
2004-05-12,45828720000
2004-05-13,45334800000
2004-05-14,44735040000
2004-05-17,44364600000
2004-05-18,44505720000
2004-05-19,44876160000
2004-05-20,44399880000
2004-05-21,43994160000
2004-05-24,43835400000
2004-05-25,44682120000
2004-05-26,44170560000
2004-05-27,45581760000
2004-05-28,46058040000
2004-06-01,45617040000
2004-06-02,44417520000
2004-06-03,42935760000
2004-06-04,44470440000
2004-06-07,46269720000
2004-06-08,45934560000
2004-06-09,44488080000
2004-06-10,44329320000
2004-06-14,43147440000
2004-06-15,43447320000
2004-06-16,42618240000
2004-06-17,41013000000
2004-06-18,40889520000
2004-06-21,40572000000
2004-06-22,42071400000
2004-06-23,42900480000
2004-06-24,42530040000
2004-06-25,42388920000
2004-06-28,41947920000
2004-06-29,42424200000
2004-06-30,41831400000
2004-07-01,40724200000
2004-07-02,39824600000
2004-07-06,38579000000
2004-07-07,39115300000
2004-07-08,38561700000
2004-07-09,39444000000
2004-07-12,38648200000
2004-07-13,38786600000
2004-07-14,38734700000
2004-07-15,37817800000
2004-07-16,36572200000
2004-07-19,36208900000
2004-07-20,37644800000
2004-07-21,35689900000
2004-07-22,36762500000
2004-07-23,35966700000
2004-07-26,35689900000
2004-07-27,35620700000
2004-07-28,35914800000
2004-07-29,36918200000
2004-07-30,36900900000
2004-08-02,36676000000
2004-08-03,35240100000
2004-08-04,35170900000
2004-08-05,34634600000
2004-08-06,34029100000
2004-08-09,33908000000
2004-08-10,34444300000
2004-08-11,32074200000
2004-08-12,31831999999
2004-08-13,31901200000
2004-08-16,32472100000
2004-08-17,32870000000
2004-08-18,34271299999
2004-08-19,34340500000
2004-08-20,34427000000
2004-08-23,35049800000
