,MPC
2011-12-19,11115120000
2011-12-20,11205600000
2011-12-21,11365679999
2011-12-22,11595360000
2011-12-23,11664960000
2011-12-27,11713679999
2011-12-28,11532720000
2011-12-29,11581440000
2011-12-30,11588399999
2012-01-03,11623200000
2012-01-04,11748480000
2012-01-05,11108160000
2012-01-06,11017680000
2012-01-09,10774080000
2012-01-10,11080320000
2012-01-11,11449200000
2012-01-12,11358720000
2012-01-13,11490960000
2012-01-17,11671920000
2012-01-18,12340080000
2012-01-19,12472320000
2012-01-20,12931679999
2012-01-23,13175280000
2012-01-24,13585920000
2012-01-25,13488480000
2012-01-26,13050000000
2012-01-27,13056960000
2012-01-30,13043039999
2012-01-31,13300560000
2012-02-01,14574240000
2012-02-02,14810880000
2012-02-03,15305039999
2012-02-06,15458160000
2012-02-07,15284160000
2012-02-08,15646080000
2012-02-09,15604320000
2012-02-10,15339840000
2012-02-13,15131039999
2012-02-14,15318960000
2012-02-15,15207600000
2012-02-16,15346800000
2012-02-17,15117120000
2012-02-21,15249360000
2012-02-22,15144960000
2012-02-23,15200640000
2012-02-24,14915280000
2012-02-27,14831760000
2012-02-28,14497679999
2012-02-29,14462880000
2012-03-01,14866560000
2012-03-02,14678640000
2012-03-05,14880480000
2012-03-06,14616000000
2012-03-07,14810880000
2012-03-08,15186720000
2012-03-09,15277200000
2012-03-12,15235440000
2012-03-13,15325920000
2012-03-14,15284160000
2012-03-15,15277200000
2012-03-16,15374640000
2012-03-19,15506880000
2012-03-20,15242399999
2012-03-21,15200640000
2012-03-22,15089280000
2012-03-23,15312000000
2012-03-26,15736560000
2012-03-27,15312000000
2012-03-28,15158880000
2012-03-29,15047520000
2012-03-30,15089280000
2012-04-02,14769600000
2012-04-03,14416000000
2012-04-04,14484000000
2012-04-05,14327600000
2012-04-09,14436400000
2012-04-10,14225600000
2012-04-11,14110000000
2012-04-12,14198400000
2012-04-13,14150800000
2012-04-16,13600000000
2012-04-17,13600000000
2012-04-18,13552400000
2012-04-19,13511600000
2012-04-20,13566000000
2012-04-23,13600000000
2012-04-24,13688400000
2012-04-25,13640800000
2012-04-26,13824399999
2012-04-27,14041999999
2012-04-30,14150800000
2012-05-01,14014800000
2012-05-02,14110000000
2012-05-03,13722400000
2012-05-04,13511600000
2012-05-07,13484399999
2012-05-08,13096800000
2012-05-09,12994800000
2012-05-10,12988000000
2012-05-11,12654800000
2012-05-14,12178800000
2012-05-15,12001999999
2012-05-16,11995200000
2012-05-17,11852400000
2012-05-18,11872800000
2012-05-21,12226400000
2012-05-22,12036000000
2012-05-23,12042800000
2012-05-24,12171999999
2012-05-25,12539200000
2012-05-29,12654800000
2012-05-30,12437200000
2012-05-31,12267200000
2012-06-01,11981600000
2012-06-04,11655200000
2012-06-05,11968000000
2012-06-06,12348800000
2012-06-07,12661600000
2012-06-08,12702400000
2012-06-11,12879200000
2012-06-12,13287200000
2012-06-13,13178400000
2012-06-14,13396000000
2012-06-15,13654399999
2012-06-18,13545600000
2012-06-19,13892400000
2012-06-20,14551999999
2012-06-21,14055600000
2012-06-22,14211999999
2012-06-25,14055600000
2012-06-26,14470400000
2012-06-27,14456800000
2012-06-28,15021200000
2012-06-29,15272800000
2012-07-02,15667200000
2012-07-03,15422400000
2012-07-05,15028000000
2012-07-06,15130000000
2012-07-09,15096000000
2012-07-10,14960000000
2012-07-11,15089200000
2012-07-12,14769600000
2012-07-13,15286400000
2012-07-16,15245600000
2012-07-17,15456400000
2012-07-18,15925600000
2012-07-19,15470000000
2012-07-20,15490400000
2012-07-23,15592400000
2012-07-24,15109600000
2012-07-25,15130000000
2012-07-26,15578800000
2012-07-27,15993600000
2012-07-30,16143199999
2012-07-31,16081999999
2012-08-01,15911999999
2012-08-02,16320000000
2012-08-03,16796000000
2012-08-06,16775600000
2012-08-07,17149600000
2012-08-08,16823199999
2012-08-09,16591999999
2012-08-10,16850400000
2012-08-13,16850400000
2012-08-14,16707600000
2012-08-15,16904800000
2012-08-16,16904800000
2012-08-17,16748400000
2012-08-20,16850400000
2012-08-21,16632800000
2012-08-22,16748400000
2012-08-23,16673600000
2012-08-24,16578400000
2012-08-27,16864000000
2012-08-28,16945600000
2012-08-29,16904800000
2012-08-30,17278800000
2012-08-31,17598400000
2012-09-04,17272000000
2012-09-05,17108800000
2012-09-06,17312800000
2012-09-07,17646000000
2012-09-10,17802400000
2012-09-11,18135600000
2012-09-12,18183200000
2012-09-13,18584400000
2012-09-14,18910800000
2012-09-17,18237600000
2012-09-18,17707200000
2012-09-19,18094800000
2012-09-20,18142400000
2012-09-21,18264800000
2012-09-24,18176400000
2012-09-25,18244400000
2012-09-26,18020000000
2012-09-27,18536800000
2012-09-28,18564000000
2012-10-01,18594240000
2012-10-02,18614400000
2012-10-03,18318720000
2012-10-04,18681600000
2012-10-05,18432960000
2012-10-08,19461120000
2012-10-09,19199040000
2012-10-10,18580800000
2012-10-11,18365760000
2012-10-12,18244800000
2012-10-15,18271680000
2012-10-16,18500160000
2012-10-17,18735360000
2012-10-18,18412800000
2012-10-19,18459840000
2012-10-22,18318720000
2012-10-23,17895360000
2012-10-24,18043200000
2012-10-25,18130560000
2012-10-26,18688320000
2012-10-31,18459840000
2012-11-01,18150720000
2012-11-02,17828160000
2012-11-05,18399360000
2012-11-06,19145280000
2012-11-07,18634560000
2012-11-08,18251520000
2012-11-09,17848320000
2012-11-12,18103680000
2012-11-13,18110400000
2012-11-14,17855040000
2012-11-15,18164160000
2012-11-16,18258240000
2012-11-19,19010880000
2012-11-20,19152000000
2012-11-21,19434240000
2012-11-23,19817280000
2012-11-26,19844160000
2012-11-27,19689600000
2012-11-28,19911360000
2012-11-29,19978560000
2012-11-30,20005440000
2012-12-03,20012160000
2012-12-04,19877760000
2012-12-05,19528320000
2012-12-06,19958400000
2012-12-07,20395200000
2012-12-10,20832000000
2012-12-11,20637120000
2012-12-12,20670720000
2012-12-13,20758080000
2012-12-14,21114240000
2012-12-17,21154560000
2012-12-18,21168000000
2012-12-19,20905920000
2012-12-20,20919360000
2012-12-21,20879040000
2012-12-24,20952960000
2012-12-26,20717760000
2012-12-27,20838720000
2012-12-28,20536320000
2012-12-31,20979000000
2013-01-02,21318660000
2013-01-03,20719260000
2013-01-04,20832480000
2013-01-07,20066580000
2013-01-08,20499480000
2013-01-09,20785860000
2013-01-10,20912400000
2013-01-11,20646000000
2013-01-14,20852460000
2013-01-15,21398580000
2013-01-16,21558420000
2013-01-17,21771540000
2013-01-18,21711600000
2013-01-22,22350960000
2013-01-23,22504140000
2013-01-24,22863780000
2013-01-25,22863780000
2013-01-28,22863780000
2013-01-29,23969340000
2013-01-30,24275700000
2013-01-31,24708600000
2013-02-01,25374600000
2013-02-04,25574400000
2013-02-05,25534440000
2013-02-06,25907400000
2013-02-07,26313660000
2013-02-08,27119520000
2013-02-11,27206100000
2013-02-12,26939700000
2013-02-13,27192780000
2013-02-14,27692280000
2013-02-15,27492480000
2013-02-19,28045260000
2013-02-20,26719920000
2013-02-21,26833140000
2013-02-22,27146160000
2013-02-25,26400240000
2013-02-26,26826480000
2013-02-27,27552420000
2013-02-28,27599040000
2013-03-01,28311660000
2013-03-04,29903400000
2013-03-05,29557080000
2013-03-06,29483820000
2013-03-07,29397240000
2013-03-08,29643660000
2013-03-11,29270700000
2013-03-12,29630340000
2013-03-13,28917720000
2013-03-14,29204100000
2013-03-15,29284020000
2013-03-18,29550420000
2013-03-19,29403900000
2013-03-20,30342960000
2013-03-21,29656980000
2013-03-22,30276360000
2013-03-25,30036600000
2013-03-26,30283020000
2013-03-27,29856780000
2013-03-28,29836800000
2013-04-01,29062994512
2013-04-02,27652546425
2013-04-03,26332677574
2013-04-04,26727344240
2013-04-05,26649704896
2013-04-08,26966732218
2013-04-09,27432568284
2013-04-10,27283759540
2013-04-11,26552655716
2013-04-12,25976830580
2013-04-15,25077508176
2013-04-16,25517464460
2013-04-17,24786360635
2013-04-18,24902819652
2013-04-19,25478644788
2013-04-22,25873311454
2013-04-23,26384437137
2013-04-24,26727344240
2013-04-25,26403846973
2013-04-26,26313267738
2013-04-29,26662644787
2013-04-30,25349245881
2013-05-01,23770579215
2013-05-02,24521092876
2013-05-03,25265136591
2013-05-06,25989770470
2013-05-07,26345617465
2013-05-08,25433355170
2013-05-09,25388065553
2013-05-10,25032218559
2013-05-13,24728131127
2013-05-14,25181027302
2013-05-15,25679213094
2013-05-16,25401005444
2013-05-17,26746754076
2013-05-20,27367868830
2013-05-21,26811453530
2013-05-22,26669114732
2013-05-23,26643234951
2013-05-24,26546185771
2013-05-28,27096131125
2013-05-29,27083191235
2013-05-30,27024961726
2013-05-31,26688524568
2013-06-03,26533245880
2013-06-04,26080349705
2013-06-05,25860371563
2013-06-06,26772633858
2013-06-07,27050841508
2013-06-10,26662644787
2013-06-11,25834491782
2013-06-12,25646863367
2013-06-13,26138579214
2013-06-14,25756852438
2013-06-17,25556284132
2013-06-18,25530404351
2013-06-19,25329836045
2013-06-20,23874098341
2013-06-21,23550601074
2013-06-24,22767737686
2013-06-25,23317683041
2013-06-26,23434142057
2013-06-27,22987715828
2013-06-28,22987715828
2013-07-01,21888180000
2013-07-02,21552300000
2013-07-03,22000140000
2013-07-05,21452780000
2013-07-08,21595840000
2013-07-09,21807320000
2013-07-10,21241300000
2013-07-11,22242720000
2013-07-12,22777640000
2013-07-15,22734100000
2013-07-16,21751340000
2013-07-17,21695360000
2013-07-18,21241300000
2013-07-19,21645600000
2013-07-22,21720240000
2013-07-23,22317360000
2013-07-24,21894400000
2013-07-25,22410660000
2013-07-26,22367120000
2013-07-29,22466640000
2013-07-30,22709220000
2013-07-31,22808740000
2013-08-01,23349880000
2013-08-02,22373340000
2013-08-05,22298700000
2013-08-06,22118320000
2013-08-07,22304920000
2013-08-08,22541280000
2013-08-09,22777640000
2013-08-12,22721660000
2013-08-13,23306340000
2013-08-14,22920700000
2013-08-15,21975260000
2013-08-16,21770000000
2013-08-19,21477660000
2013-08-20,22074780000
2013-08-21,22342240000
2013-08-22,23281460000
2013-08-23,23343660000
2013-08-26,23262800000
2013-08-27,22734100000
2013-08-28,23026440000
2013-08-29,22895820000
2013-08-30,22553720000
2013-09-03,22839840000
2013-09-04,22908260000
2013-09-05,22423100000
2013-09-06,22031240000
2013-09-09,21651820000
2013-09-10,21179100000
2013-09-11,21054700000
2013-09-12,20818340000
2013-09-13,21116900000
2013-09-16,20818340000
2013-09-17,20588200000
2013-09-18,20606860000
2013-09-19,20345620000
2013-09-20,20065720000
2013-09-23,19593000000
2013-09-24,19997300000
2013-09-25,20053280000
2013-09-26,19947540000
2013-09-27,20196340000
2013-09-30,19360319999
2013-10-01,19354300000
2013-10-02,19667340000
2013-10-03,19637240000
2013-10-04,19637240000
2013-10-07,19239920000
2013-10-08,18812500000
2013-10-09,18692100000
2013-10-10,19655300000
2013-10-11,20245260000
2013-10-14,20227200000
2013-10-15,20600440000
2013-10-16,20750940000
2013-10-17,21124180000
2013-10-18,21292740000
2013-10-21,21352940000
2013-10-22,21822500000
2013-10-23,21696080000
2013-10-24,20829200000
2013-10-25,21039900000
2013-10-28,21431200000
2013-10-29,21316819999
2013-10-30,21828520000
2013-10-31,21569660000
2013-11-01,21328860000
2013-11-04,21581700000
2013-11-05,21286720000
2013-11-06,21190400000
2013-11-07,21202440000
2013-11-08,21569660000
2013-11-11,21732200000
2013-11-12,22280020000
2013-11-13,22605100000
2013-11-14,23736860000
2013-11-15,23730840000
2013-11-18,23309440000
2013-11-19,23730840000
2013-11-20,23297400000
2013-11-21,23712780000
2013-11-22,24158260000
2013-11-25,24615780000
2013-11-26,24549560000
2013-11-27,25386340000
2013-11-29,24904740000
2013-12-02,26313420000
2013-12-03,26180980000
2013-12-04,25061260000
2013-12-05,25235840000
2013-12-06,26247200000
2013-12-09,25753560000
2013-12-10,26343520000
2013-12-11,25879980000
2013-12-12,25795700000
2013-12-13,25651220000
2013-12-16,25988340000
2013-12-17,25910080000
2013-12-18,26313420000
2013-12-19,25801720000
2013-12-20,26265260000
2013-12-23,26716760000
2013-12-24,26891340000
2013-12-26,26951540000
2013-12-27,26825120000
2013-12-30,26638500000
2013-12-31,27063300000
2014-01-02,26396600000
2014-01-03,26036700000
2014-01-06,26172400000
2014-01-07,26255000000
2014-01-08,26160600000
2014-01-09,26856800000
2014-01-10,26839100000
2014-01-13,26007200000
2014-01-14,26284500000
2014-01-15,25564700000
2014-01-16,25281500000
2014-01-17,25157600000
2014-01-21,25470300000
2014-01-22,25246100000
2014-01-23,25204800000
2014-01-24,24479100000
2014-01-27,24632500000
2014-01-28,24532200000
2014-01-29,25523400000
2014-01-30,25812500000
2014-01-31,25682700000
2014-02-03,24880300000
2014-02-04,24561700000
2014-02-05,24278500000
2014-02-06,24585300000
2014-02-07,24921600000
2014-02-10,24343400000
2014-02-11,24915700000
2014-02-12,24839000000
2014-02-13,25246100000
2014-02-14,25877400000
2014-02-18,25871500000
2014-02-19,25670900000
2014-02-20,25942300000
2014-02-21,25753500000
2014-02-24,25995400000
2014-02-25,26520500000
2014-02-26,25971800000
2014-02-27,24827200000
2014-02-28,24780000000
2014-03-03,24597100000
2014-03-04,24986500000
2014-03-05,25423100000
2014-03-06,26396600000
2014-03-07,26550000000
2014-03-10,26868600000
2014-03-11,26933500000
2014-03-12,27877500000
2014-03-13,27305200000
2014-03-14,27724100000
2014-03-17,27606100000
2014-03-18,27771300000
2014-03-19,27039700000
2014-03-20,27116400000
2014-03-21,26756500000
2014-03-24,26437900000
2014-03-25,26738800000
2014-03-26,26284500000
2014-03-27,25753500000
2014-03-28,25859700000
2014-03-31,25112216215
2014-04-01,25833499998
2014-04-02,25146837836
2014-04-03,25146837836
2014-04-04,25129527025
2014-04-07,24546729728
2014-04-08,24206283782
2014-04-09,24558270269
2014-04-10,24385162161
2014-04-11,24033175674
2014-04-14,24402472971
2014-04-15,24979499998
2014-04-16,25614229728
2014-04-17,25943135133
2014-04-21,26006608106
2014-04-22,26081621620
2014-04-23,26208567566
2014-04-24,26179716214
2014-04-25,26179716214
2014-04-28,26808675674
2014-04-29,26941391890
2014-04-30,26814445944
2014-05-01,27535729728
2014-05-02,27628054052
2014-05-05,27639594593
2014-05-06,27899256755
2014-05-07,27466486485
2014-05-08,26774054052
2014-05-09,26341283782
2014-05-12,26549013512
2014-05-13,26473999998
2014-05-14,26491310809
2014-05-15,25937364863
2014-05-16,25695013512
2014-05-19,25643081079
2014-05-20,25568067566
2014-05-21,25302635133
2014-05-22,25077594593
2014-05-23,25141067566
2014-05-27,25083364863
2014-05-28,25210310809
2014-05-29,25908513512
2014-05-30,25793108106
2014-06-02,25885432431
2014-06-03,25412270269
2014-06-04,25343027025
2014-06-05,25360337836
2014-06-06,25302635133
2014-06-09,25244932431
2014-06-10,24725608106
2014-06-11,24725608106
2014-06-12,25002581079
2014-06-13,24933337836
2014-06-16,24777540539
2014-06-17,24979499998
2014-06-18,25573837836
2014-06-19,25856581079
2014-06-20,25856581079
2014-06-23,25671932431
2014-06-24,24939108106
2014-06-25,23363824323
2014-06-26,23352283782
2014-06-27,22907972971
2014-06-30,22194177935
2014-07-01,22353398273
2014-07-02,22711644035
2014-07-03,23001652510
2014-07-07,22597915222
2014-07-08,22131627087
2014-07-09,22199864375
2014-07-10,22012211833
2014-07-11,22421635561
2014-07-14,22199864375
2014-07-15,22467127087
2014-07-16,22302220307
2014-07-17,21824559291
2014-07-18,21870050816
2014-07-21,21591415223
2014-07-22,21551610139
2014-07-23,21784754206
2014-07-24,22017898274
2014-07-25,22342025392
2014-07-28,22120254206
2014-07-29,22637720307
2014-07-30,22455754205
2014-07-31,23735203356
2014-08-01,23763635559
2014-08-04,24019525390
2014-08-05,24173059288
2014-08-06,24667779626
2014-08-07,24593855897
2014-08-08,24878177931
2014-08-11,24758762677
2014-08-12,24616601660
2014-08-13,24861118609
2014-08-14,25281915218
2014-08-15,25327406744
2014-08-18,25611728777
2014-08-19,26043898268
2014-08-20,25958601658
2014-08-21,25606042337
2014-08-22,25714084709
2014-08-25,25753889794
2014-08-26,25714084709
2014-08-27,25645847421
2014-08-28,25810754201
2014-08-29,25878991489
2014-09-02,25452508438
2014-09-03,25708398269
2014-09-04,25867618607
2014-09-05,26049584709
2014-09-08,26271355895
2014-09-09,26078016912
2014-09-10,25714084709
2014-09-11,25276228778
2014-09-12,24696211829
2014-09-15,25168186405
2014-09-16,25071516914
2014-09-17,25077203354
2014-09-18,24832686405
2014-09-19,25202305049
2014-09-22,24474440643
2014-09-23,24082076237
2014-09-24,24019525390
2014-09-25,23962660983
2014-09-26,24173059288
2014-09-29,23996779627
2014-09-30,23620140000
2014-10-01,23000760000
2014-10-02,22582260000
2014-10-03,22548780000
2014-10-06,22565520000
2014-10-07,22548780000
2014-10-08,23508540000
2014-10-09,22822200000
2014-10-10,22760820000
2014-10-13,22269780000
2014-10-14,21884760000
2014-10-15,21276540000
2014-10-16,21884760000
2014-10-17,22113540000
2014-10-20,22498560000
2014-10-21,23698260000
2014-10-22,23318820000
2014-10-23,23581080000
2014-10-24,23938200000
2014-10-27,24111180000
2014-10-28,24864480000
2014-10-29,24390180000
2014-10-30,25294140000
2014-10-31,25361100000
2014-11-03,25561980000
2014-11-04,25282980000
2014-11-05,25310880000
2014-11-06,25980480000
2014-11-07,26248320000
2014-11-10,26253900000
2014-11-11,26398980000
2014-11-12,26510580000
2014-11-13,26103240000
2014-11-14,25774020000
2014-11-17,25813080000
2014-11-18,26192520000
2014-11-19,26170200000
2014-11-20,26549640000
2014-11-21,27040680000
2014-11-24,26817480000
2014-11-25,26571960000
2014-11-26,26689140000
2014-11-28,25132320000
2014-12-01,25333200000
2014-12-02,26265060000
2014-12-03,26789580000
2014-12-04,26968140000
2014-12-05,25712640000
2014-12-08,24752880000
2014-12-09,24764040000
2014-12-10,23731740000
2014-12-11,23402520000
2014-12-12,23212800000
2014-12-15,22705020000
2014-12-16,22933800000
2014-12-17,23642460000
2014-12-18,23441580000
2014-12-19,24328800000
2014-12-22,24356700000
2014-12-23,24658020000
2014-12-24,24724980000
2014-12-26,25031880000
2014-12-29,25405740000
2014-12-30,25288560000
2014-12-31,24776370000
2015-01-02,25155180000
2015-01-05,24452460000
2015-01-06,24216390000
2015-01-07,24414030000
2015-01-08,24984990000
2015-01-09,24287760000
2015-01-12,23447790000
2015-01-13,22196070000
2015-01-14,21306690000
2015-01-15,21092580000
2015-01-16,21290220000
2015-01-20,22075290000
2015-01-21,22218030000
2015-01-22,23052510000
2015-01-23,23925420000
2015-01-26,24210900000
2015-01-27,24342660000
2015-01-28,24512850000
2015-01-29,24710490000
2015-01-30,25413210000
2015-02-02,25786530000
2015-02-03,26302590000
2015-02-04,26406900000
2015-02-05,26708850000
2015-02-06,27142560000
2015-02-09,27493920000
2015-02-10,28048410000
2015-02-11,27702540000
2015-02-12,27834300000
2015-02-13,28405260000
2015-02-17,28498590000
2015-02-18,28718190000
2015-02-19,29003670000
2015-02-20,28981710000
2015-02-23,29190330000
2015-02-24,28871910000
2015-02-25,28729170000
2015-02-26,29382480000
2015-02-27,28822500000
2015-03-02,27938610000
2015-03-03,28207620000
2015-03-04,28004490000
2015-03-05,27933120000
2015-03-06,27032760000
2015-03-09,27384120000
2015-03-10,26384940000
2015-03-11,26593560000
2015-03-12,26258670000
2015-03-13,26406900000
2015-03-16,26917470000
2015-03-17,26829630000
2015-03-18,27729990000
2015-03-19,27466470000
2015-03-20,28070370000
2015-03-23,28114290000
2015-03-24,27916650000
2015-03-25,28295460000
2015-03-26,27691560000
2015-03-27,27356670000
2015-03-30,28246050000
2015-03-31,27852800000
2015-04-01,27678720000
2015-04-02,26405760000
2015-04-06,26802880000
2015-04-07,26721280000
2015-04-08,26830080000
2015-04-09,27161920000
2015-04-10,27314240000
2015-04-13,26443840000
2015-04-14,26666880000
2015-04-15,26661440000
2015-04-16,27200000000
2015-04-17,26851840000
2015-04-20,27020480000
2015-04-21,27205440000
2015-04-22,27776640000
2015-04-23,27662400000
2015-04-24,28059520000
2015-04-27,27999680000
2015-04-28,27885440000
2015-04-29,27885440000
2015-04-30,26813760000
2015-05-01,27923520000
2015-05-04,27542720000
2015-05-05,27700480000
2015-05-06,27477440000
2015-05-07,27934400000
2015-05-08,28527360000
2015-05-11,27820160000
2015-05-12,27564480000
2015-05-13,27820160000
2015-05-14,28483840000
2015-05-15,28135680000
2015-05-18,28358720000
2015-05-19,28358720000
2015-05-20,28380480000
2015-05-21,28195520000
2015-05-22,28037760000
2015-05-26,27319680000
2015-05-27,27461120000
2015-05-28,27950720000
2015-05-29,28141120000
2015-06-01,28168320000
2015-06-02,28021440000
2015-06-03,27798400000
2015-06-04,27292480000
2015-06-05,27450240000
2015-06-08,27325120000
2015-06-09,27020480000
2015-06-10,27689600000
2015-06-11,28304320000
2015-06-12,27760320000
2015-06-15,27776640000
2015-06-16,27847360000
2015-06-17,27907200000
2015-06-18,28255360000
2015-06-19,28233600000
2015-06-22,28228160000
2015-06-23,28391360000
2015-06-24,28113920000
2015-06-25,27983360000
2015-06-26,28271680000
2015-06-29,27662400000
2015-06-30,28142780000
2015-07-01,28928260000
2015-07-02,29057380000
2015-07-06,29460880000
2015-07-07,29880520000
2015-07-08,29035860000
2015-07-09,28718440000
2015-07-10,29315620000
2015-07-13,31623640000
2015-07-14,31629020000
2015-07-15,30940380000
2015-07-16,31462240000
2015-07-17,31516040000
2015-07-20,30951140000
2015-07-21,30746700000
2015-07-22,30703660000
2015-07-23,30305540000
2015-07-24,30300160000
2015-07-27,29299480000
2015-07-28,29326380000
2015-07-29,30025780000
2015-07-30,29019720000
2015-07-31,29412460000
2015-08-03,28621600000
2015-08-04,28078220000
2015-08-05,27803840000
2015-08-06,28056700000
2015-08-07,27529460000
2015-08-10,28653880000
2015-08-11,30052680000
2015-08-12,31096400000
2015-08-13,30660620000
2015-08-14,29945080000
2015-08-17,30058060000
2015-08-18,29848240000
2015-08-19,29321000000
2015-08-20,28670020000
2015-08-21,26028440000
2015-08-24,24651160000
2015-08-25,23548260000
2015-08-26,24489760000
2015-08-27,25108460000
2015-08-28,25404360000
2015-08-31,25452780000
2015-09-01,24780280000
2015-09-02,25183780000
2015-09-03,25275240000
2015-09-04,24930920000
2015-09-08,25673360000
2015-09-09,25528100000
2015-09-10,25910080000
2015-09-11,25754060000
2015-09-14,25027760000
2015-09-15,25420500000
2015-09-16,25108460000
2015-09-17,25194540000
2015-09-18,24796420000
2015-09-21,24839460000
2015-09-22,24715720000
2015-09-23,24887880000
2015-09-24,25108460000
2015-09-25,25463540000
2015-09-28,24226140000
2015-09-29,24500520000
2015-09-30,24786550000
2015-10-01,25642550000
2015-10-02,25888650000
2015-10-05,27060300000
2015-10-06,26771400000
2015-10-07,26905150000
2015-10-08,27327800000
2015-10-09,26557400000
2015-10-12,26626950000
2015-10-13,26097300000
2015-10-14,25995650000
2015-10-15,26803500000
2015-10-16,27354550000
2015-10-19,26247100000
2015-10-20,25326900000
2015-10-21,25027300000
2015-10-22,25492750000
2015-10-23,25995650000
2015-10-26,26065200000
2015-10-27,26204300000
2015-10-28,26664400000
2015-10-29,27413400000
2015-10-30,27713000000
2015-11-02,28312200000
2015-11-03,29227050000
2015-11-04,29318000000
2015-11-05,29772750000
2015-11-06,29943950000
2015-11-09,29061200000
2015-11-10,29301950000
2015-11-11,29344750000
2015-11-12,29269850000
2015-11-13,28718800000
2015-11-16,28766950000
2015-11-17,29029100000
2015-11-18,29788800000
2015-11-19,29858350000
2015-11-20,29922550000
2015-11-23,30179350000
2015-11-24,30596650000
2015-11-25,31056750000
2015-11-27,31334950000
2015-11-30,31249350000
2015-12-01,31746900000
2015-12-02,31035350000
2015-12-03,29125400000
2015-12-04,29762050000
2015-12-07,28724150000
2015-12-08,28210550000
2015-12-09,27809300000
2015-12-10,28007250000
2015-12-11,26546700000
2015-12-14,25674650000
2015-12-15,26300600000
2015-12-16,26589500000
2015-12-17,27456200000
2015-12-18,26937250000
2015-12-21,27499000000
2015-12-22,27606000000
2015-12-23,28199850000
2015-12-24,28162400000
2015-12-28,27606000000
2015-12-29,27905600000
2015-12-30,27980500000
2015-12-31,27428571423
2016-01-04,27111111105
2016-01-05,26772486767
2016-01-06,25777777772
2016-01-07,25391534386
2016-01-08,24439153434
2016-01-11,24190476185
2016-01-12,24544973540
2016-01-13,22370370366
2016-01-14,23100529096
2016-01-15,21915343911
2016-01-19,21798941794
2016-01-20,21428571424
2016-01-21,20957671953
2016-01-22,22661375657
2016-01-25,21571428567
2016-01-26,21989417985
2016-01-27,21089947085
2016-01-28,21280423276
2016-01-29,22111111106
2016-02-01,22100529096
2016-02-02,21306878302
2016-02-03,19682539678
2016-02-04,18486772483
2016-02-05,17089947086
2016-02-08,16259259256
2016-02-09,16613756610
