,PVH
2000-05-17,210041860
2000-05-18,222059860
2000-05-19,238994315
2000-05-22,242545087
2000-05-23,223698678
2000-05-24,218509088
2000-05-25,223698678
2000-05-26,222059860
2000-05-30,226976315
2000-05-31,237355496
2000-06-01,238994315
2000-06-02,244183905
2000-06-05,247461542
2000-06-06,249373496
2000-06-07,263030314
2000-06-08,256201905
2000-06-09,254289951
2000-06-12,256201905
2000-06-13,263030314
2000-06-14,266307951
2000-06-15,283515541
2000-06-16,276687132
2000-06-19,271497541
2000-06-20,266307951
2000-06-21,261118360
2000-06-22,252651133
2000-06-23,251012314
2000-06-26,251012314
2000-06-27,249373496
2000-06-28,245822724
2000-06-29,249373496
2000-06-30,259479542
2000-07-03,257840723
2000-07-05,245822724
2000-07-06,252651133
2000-07-07,240633133
2000-07-10,261118360
2000-07-11,259479542
2000-07-12,269858723
2000-07-13,264669132
2000-07-14,257840723
2000-07-17,259479542
2000-07-18,257840723
2000-07-19,254289951
2000-07-20,245822724
2000-07-21,249373496
2000-07-24,252651133
2000-07-25,254289951
2000-07-26,261118360
2000-07-27,252651133
2000-07-28,251012314
2000-07-31,245642220
2000-08-01,252465615
2000-08-02,254103229
2000-08-03,245642220
2000-08-04,249190385
2000-08-07,249190385
2000-08-08,245642220
2000-08-09,244004605
2000-08-10,238818825
2000-08-11,244004605
2000-08-14,240456439
2000-08-15,237181210
2000-08-16,242366990
2000-08-17,240456439
2000-08-18,237181210
2000-08-21,237181210
2000-08-22,237181210
2000-08-23,230357815
2000-08-24,230357815
2000-08-25,242366990
2000-08-28,244004605
2000-08-29,247279834
2000-08-30,256013780
2000-08-31,249190385
2000-09-01,245642220
2000-09-05,244004605
2000-09-06,250828000
2000-09-07,266112405
2000-09-08,274573414
2000-09-11,271298185
2000-09-12,278121580
2000-09-13,301866994
2000-09-14,315513784
2000-09-15,315513784
2000-09-18,300229380
2000-09-19,313876170
2000-09-20,315513784
2000-09-21,308690389
2000-09-22,305415160
2000-09-25,295043599
2000-09-26,308690389
2000-09-27,298591765
2000-09-28,290130755
2000-09-29,281396809
2000-10-02,313876170
2000-10-03,308690389
2000-10-04,305415160
2000-10-05,301866994
2000-10-06,310600940
2000-10-09,312238555
2000-10-10,310600940
2000-10-11,300229380
2000-10-12,288220204
2000-10-13,288220204
2000-10-16,295043599
2000-10-17,291768370
2000-10-18,290130755
2000-10-19,293405985
2000-10-20,295043599
2000-10-23,298591765
2000-10-24,296954150
2000-10-25,303777545
2000-10-26,303777545
2000-10-27,317424335
2000-10-30,313852698
2000-10-31,324223483
2000-11-01,313852698
2000-11-02,310577713
2000-11-03,320675583
2000-11-06,327498468
2000-11-07,334321352
2000-11-08,341144237
2000-11-09,332683860
2000-11-10,325860975
2000-11-13,327498468
2000-11-14,322313075
2000-11-15,320675583
2000-11-16,349604614
2000-11-17,344692137
2000-11-20,346329629
2000-11-21,353152514
2000-11-22,347967122
2000-11-24,349604614
2000-11-27,361612891
2000-11-28,376896153
2000-11-29,361612891
2000-11-30,351515022
2000-12-01,359975399
2000-12-04,371983676
2000-12-05,371983676
2000-12-06,359975399
2000-12-07,351515022
2000-12-08,361612891
2000-12-11,368435776
2000-12-12,368435776
2000-12-13,375258661
2000-12-14,371983676
2000-12-15,365160791
2000-12-18,335958845
2000-12-19,341144237
2000-12-20,341144237
2000-12-21,334321352
2000-12-22,332683860
2000-12-26,325860975
2000-12-27,347967122
2000-12-28,353152514
2000-12-29,354790007
2001-01-02,315490190
2001-01-03,332683860
2001-01-04,317400598
2001-01-05,315490190
2001-01-08,308667306
2001-01-09,327498468
2001-01-10,317400598
2001-01-11,312215206
2001-01-12,325860975
2001-01-16,329135960
2001-01-17,327498468
2001-01-18,325860975
2001-01-19,322313075
2001-01-22,334321352
2001-01-23,351515022
2001-01-24,354790007
2001-01-25,354790007
2001-01-26,356427499
2001-01-29,332410945
2001-01-30,361885807
2001-01-31,352333768
2001-02-01,376623238
2001-02-02,383446122
2001-02-05,420180000
2001-02-06,430050000
2001-02-07,430332000
2001-02-08,430050000
2001-02-09,442740000
2001-02-12,424692000
2001-02-13,424410000
2001-02-14,421308000
2001-02-15,419052000
2001-02-16,416796000
2001-02-20,424974000
2001-02-21,423282000
2001-02-22,424128000
2001-02-23,430050000
2001-02-26,430050000
2001-02-27,421590000
2001-02-28,420180000
2001-03-01,417360000
2001-03-02,423000000
2001-03-05,430050000
2001-03-06,450072000
2001-03-07,457122000
2001-03-08,455994000
2001-03-09,459660000
2001-03-12,430050000
2001-03-13,437382000
2001-03-14,415950000
2001-03-15,408336000
2001-03-16,399030000
2001-03-19,421590000
2001-03-20,415668000
2001-03-21,411720000
2001-03-22,389160000
2001-03-23,377880000
2001-03-26,395646000
2001-03-27,425820000
2001-03-28,403260000
2001-03-29,396210000
2001-03-30,425256000
2001-04-02,432870000
2001-04-03,429768000
2001-04-04,431460000
2001-04-05,437100000
2001-04-06,431460000
2001-04-09,445560000
2001-04-10,441330000
2001-04-11,435408000
2001-04-12,425820000
2001-04-16,426102000
2001-04-17,425820000
2001-04-18,444150000
2001-04-19,434280000
2001-04-20,414540000
2001-04-23,417360000
2001-04-24,425538000
2001-04-25,418770000
2001-04-26,417924000
2001-04-27,427230000
2001-04-30,423000000
2001-05-01,479400000
2001-05-02,465300000
2001-05-03,455712000
2001-05-04,464736000
2001-05-07,475633619
2001-05-08,472319100
2001-05-09,477843300
2001-05-10,477843300
2001-05-11,480605399
2001-05-14,490272750
2001-05-15,488063070
2001-05-16,479224350
2001-05-17,486129600
2001-05-18,509607450
2001-05-21,509607450
2001-05-22,509607450
2001-05-23,487510649
2001-05-24,433373490
2001-05-25,440002530
2001-05-29,462099330
2001-05-30,457127550
2001-05-31,428125500
2001-06-01,439450110
2001-06-04,441936000
2001-06-05,441936000
2001-06-06,432268650
2001-06-07,423429930
2001-06-08,406028700
2001-06-11,386694000
2001-06-12,386141580
2001-06-13,389732310
2001-06-14,397742400
2001-06-15,393599250
2001-06-18,390837150
2001-06-19,392218200
2001-06-20,400504500
2001-06-21,403266600
2001-06-22,389179890
2001-06-25,381169800
2001-06-26,407133540
2001-06-27,390008520
2001-06-28,393599250
2001-06-29,397742400
2001-07-02,390837150
2001-07-03,394980300
2001-07-05,388351260
2001-07-06,363216150
2001-07-09,339185880
2001-07-10,334766520
2001-07-11,398018610
2001-07-12,383931900
2001-07-13,394704090
2001-07-16,392218200
2001-07-17,400504500
2001-07-18,404647650
2001-07-19,408790800
2001-07-20,409067010
2001-07-23,411552900
2001-07-24,396361350
2001-07-25,394980300
2001-07-26,386417790
2001-07-27,368464140
2001-07-30,386694000
2001-07-31,378407700
2001-08-01,357691950
2001-08-02,334214100
2001-08-03,343881450
2001-08-06,328973250
2001-08-07,324826529
2001-08-08,317915326
2001-08-09,339201830
2001-08-10,337543142
2001-08-13,340584071
2001-08-14,348601066
2001-08-15,370164019
2001-08-16,360764783
2001-08-17,360764783
2001-08-20,365740849
2001-08-21,359658991
2001-08-22,362147024
2001-08-23,375140085
2001-08-24,382051288
2001-08-27,394215004
2001-08-28,393385660
2001-08-29,392003419
2001-08-30,392832764
2001-08-31,408313858
2001-09-04,387027354
2001-09-05,390621179
2001-09-06,387303802
2001-09-07,368781778
2001-09-10,349983307
2001-09-17,309621883
2001-09-18,303540024
2001-09-19,294970133
2001-09-20,268154666
2001-09-21,252120676
2001-09-24,276171661
2001-09-25,268154666
2001-09-26,260137671
2001-09-27,255438053
2001-09-28,273683628
2001-10-01,260967015
2001-10-02,255161605
2001-10-03,262625704
2001-10-04,267325322
2001-10-05,270919147
2001-10-08,270919147
2001-10-09,257096742
2001-10-10,265113737
2001-10-11,275065869
2001-10-12,267878218
2001-10-15,274512973
2001-10-16,274512973
2001-10-17,265390185
2001-10-18,263731496
2001-10-19,273407180
2001-10-22,272301388
2001-10-23,269536907
2001-10-24,263731496
2001-10-25,257926086
2001-10-26,258478982
2001-10-29,248803299
2001-10-30,234980893
2001-10-31,236086685
2001-11-01,240509855
2001-11-02,235257341
2001-11-05,244986174
2001-11-06,250614959
2001-11-07,264284866
2001-11-08,255975707
2001-11-09,263480754
2001-11-12,255171595
2001-11-13,274738324
2001-11-14,296717390
2001-11-15,308242998
2001-11-16,301810101
2001-11-19,302078138
2001-11-20,294573091
2001-11-21,294037016
2001-11-23,297521502
2001-11-26,296181315
2001-11-27,294841129
2001-11-28,294573091
2001-11-29,296717390
2001-11-30,294841129
2001-12-03,287068044
2001-12-04,295913278
2001-12-05,300201876
2001-12-06,297521502
2001-12-07,296181315
2001-12-10,300201876
2001-12-11,293768979
2001-12-12,306902811
2001-12-13,310119260
2001-12-14,310923372
2001-12-17,308242998
2001-12-18,302614213
2001-12-19,295645241
2001-12-20,291624680
2001-12-21,294037016
2001-12-24,289212343
2001-12-26,286800007
2001-12-27,285459820
2001-12-28,287604119
2001-12-31,292160755
2002-01-02,290284493
2002-01-03,313603746
2002-01-04,331562251
2002-01-07,333438513
2002-01-08,347108420
2002-01-09,335046737
2002-01-10,328613840
2002-01-11,325665428
2002-01-14,301542063
2002-01-15,314675895
2002-01-16,310655335
2002-01-17,307974961
2002-01-18,303418325
2002-01-22,299397764
2002-01-23,302346175
2002-01-24,298861689
2002-01-25,299665802
2002-01-28,314943933
2002-01-29,314943933
2002-01-30,314943933
2002-01-31,329685989
2002-02-01,306902811
2002-02-04,313287000
2002-02-05,311348000
2002-02-06,293897000
2002-02-07,288911000
2002-02-08,316611000
2002-02-11,353175000
2002-02-12,350682000
2002-02-13,336555000
2002-02-14,350405000
2002-02-15,361485000
2002-02-19,377551000
2002-02-20,393340000
2002-02-21,371180000
2002-02-22,390570000
2002-02-25,385030000
2002-02-26,387246000
2002-02-27,386969000
2002-02-28,401373000
2002-03-01,398880000
2002-03-04,402758000
2002-03-05,383645000
2002-03-06,387800000
2002-03-07,403035000
2002-03-08,405528000
2002-03-11,402204000
2002-03-12,402481000
2002-03-13,401650000
2002-03-14,414946000
2002-03-15,417439000
2002-03-18,417716000
2002-03-19,421871000
2002-03-20,408298000
2002-03-21,421040000
2002-03-22,407744000
2002-03-25,397495000
2002-03-26,393340000
2002-03-27,409960000
2002-03-28,390847000
2002-04-01,400265000
2002-04-02,403866000
2002-04-03,402204000
2002-04-04,404974000
2002-04-05,405528000
2002-04-08,408575000
2002-04-09,414669000
2002-04-10,420763000
2002-04-11,412730000
2002-04-12,419378000
2002-04-15,409129000
2002-04-16,426580000
2002-04-17,417162000
2002-04-18,414669000
2002-04-19,413284000
2002-04-22,419655000
2002-04-23,420763000
2002-04-24,412176000
2002-04-25,414115000
2002-04-26,411622000
2002-04-29,412730000
2002-04-30,422148000
2002-05-01,422425000
2002-05-02,433505000
2002-05-03,435444000
2002-05-06,434719649
2002-05-07,441170328
2002-05-08,437804756
2002-05-09,434158720
2002-05-10,429110363
2002-05-13,423501077
2002-05-14,441731256
2002-05-15,438926613
2002-05-16,440048471
2002-05-17,447060078
2002-05-20,448462399
2002-05-21,431915006
2002-05-22,441731256
2002-05-23,450425649
2002-05-24,449023328
2002-05-28,439207078
2002-05-29,437804756
2002-05-30,438926613
2002-05-31,440328935
2002-06-03,441450792
2002-06-04,422098756
2002-06-05,428829899
2002-06-06,409477863
2002-06-07,405270899
2002-06-10,396576506
2002-06-11,404990434
2002-06-12,396856970
2002-06-13,403868577
2002-06-14,401063934
2002-06-17,422098756
2002-06-18,423501077
2002-06-19,420696435
2002-06-20,420415970
2002-06-21,415087149
2002-06-24,412562970
2002-06-25,413684827
2002-06-26,420696435
2002-06-27,443414042
2002-06-28,437524292
2002-07-01,443133578
2002-07-02,431073613
2002-07-03,415087149
2002-07-05,417891792
2002-07-08,410880184
2002-07-09,417891792
2002-07-10,406392756
2002-07-11,397137434
2002-07-12,372456577
2002-07-15,351982683
2002-07-16,352824076
2002-07-17,364603577
2002-07-18,343568755
2002-07-19,354787326
2002-07-22,336557148
2002-07-23,322533933
2002-07-24,330386933
2002-07-25,333191576
2002-07-26,339361790
2002-07-29,371895648
2002-07-30,356189648
2002-07-31,330947862
2002-08-01,341605505
2002-08-02,329545540
2002-08-05,319836965
2002-08-06,333186681
2002-08-07,326789942
2002-08-08,328736776
2002-08-09,333186681
2002-08-12,328458657
2002-08-13,322896275
2002-08-14,339027182
2002-08-15,340695897
2002-08-16,347926994
2002-08-19,345702041
2002-08-20,348205113
2002-08-21,362111068
2002-08-22,354879971
2002-08-23,343477088
2002-08-26,366560973
2002-08-27,349039470
2002-08-28,342642731
2002-08-29,342920850
2002-08-30,347648875
2002-09-03,354601852
2002-09-04,378241976
2002-09-05,362945425
2002-09-06,366004735
2002-09-09,368507807
2002-09-10,375460785
2002-09-11,377129499
2002-09-12,375460785
2002-09-13,374070189
2002-09-16,375738904
2002-09-17,353489376
2002-09-18,364336021
2002-09-19,348205113
2002-09-20,344311445
2002-09-23,351820661
2002-09-24,338470944
2002-09-25,348483232
2002-09-26,369620283
2002-09-27,359051758
2002-09-30,350430066
2002-10-01,357104924
2002-10-02,346258279
2002-10-03,356270567
2002-10-04,335411634
2002-10-07,339305302
2002-10-08,330961729
2002-10-09,315387059
2002-10-10,312327749
2002-10-11,324008751
2002-10-14,324564989
2002-10-15,347648875
2002-10-16,340695897
2002-10-17,368507807
2002-10-18,371288998
2002-10-21,367673450
2002-10-22,359886115
2002-10-23,368507807
2002-10-24,371288998
2002-10-25,381023167
2002-10-28,370454641
2002-10-29,377963856
2002-10-30,382413762
2002-10-31,376017023
2002-11-01,389366740
2002-11-04,378834627
2002-11-05,379382868
2002-11-06,372803975
2002-11-07,365950960
2002-11-08,368966287
2002-11-11,359920308
2002-11-12,360468549
2002-11-13,365128599
2002-11-14,367869804
2002-11-15,361839152
2002-11-18,359646187
2002-11-19,356356741
2002-11-20,356356741
2002-11-21,346762521
2002-11-22,339087145
2002-11-25,342650712
2002-11-26,342650712
2002-11-27,359097946
2002-11-29,360468549
2002-12-02,350874329
2002-12-03,339909506
2002-12-04,352244932
2002-12-05,342650712
2002-12-06,348681365
2002-12-09,342924833
2002-12-10,344843677
2002-12-11,348955485
2002-12-12,352793173
2002-12-13,331960010
2002-12-16,347584882
2002-12-17,343747194
2002-12-18,342376591
2002-12-19,344021315
2002-12-20,328122322
2002-12-23,325655237
2002-12-24,323736393
2002-12-26,328944684
2002-12-27,326203478
2002-12-30,315238655
2002-12-31,316883378
2003-01-02,339361265
2003-01-03,325655237
2003-01-06,332508251
2003-01-07,333056492
2003-01-08,332234130
2003-01-09,331137648
2003-01-10,323462272
2003-01-13,324558754
2003-01-14,324010513
2003-01-15,315238655
2003-01-16,310304485
2003-01-17,315238655
2003-01-21,316609258
2003-01-22,315238655
2003-01-23,331685889
2003-01-24,325929357
2003-01-27,307563279
2003-01-28,322091669
2003-01-29,330315286
2003-01-30,318528102
2003-01-31,324832875
2003-02-03,357225154
2003-02-04,366019322
2003-02-05,356315413
2003-02-06,362986850
2003-02-07,349947222
2003-02-10,362077109
2003-02-11,339636819
2003-02-12,343882279
2003-02-13,346308256
2003-02-14,357225154
2003-02-18,357831648
2003-02-19,355405671
2003-02-20,355102424
2003-02-21,357831648
2003-02-24,354799177
2003-02-25,364503086
2003-02-26,357831648
2003-02-27,362380356
2003-02-28,362380356
2003-03-03,369658288
2003-03-04,363896592
2003-03-05,359954378
2003-03-06,359954378
2003-03-07,371477771
2003-03-10,362380356
2003-03-11,359651131
2003-03-12,359651131
2003-03-13,369355040
2003-03-14,363593344
2003-03-17,365716074
2003-03-18,369658288
2003-03-19,367838805
2003-03-20,373903748
2003-03-21,379058950
2003-03-24,369355040
2003-03-25,367232310
2003-03-26,364503086
2003-03-27,373600501
2003-03-28,373600501
2003-03-31,374510242
2003-04-01,374206995
2003-04-02,383304410
2003-04-03,383304410
2003-04-04,383910904
2003-04-07,382394668
2003-04-08,385123893
2003-04-09,385123893
2003-04-10,385427140
2003-04-11,388459611
2003-04-14,398466768
2003-04-15,398770015
2003-04-16,396950532
2003-04-17,399073262
2003-04-21,399679756
2003-04-22,398770015
2003-04-23,404834958
2003-04-24,396647285
2003-04-25,394221308
2003-04-28,399679756
2003-04-29,400589498
2003-04-30,402712228
2003-05-01,400286251
2003-05-02,411506396
2003-05-05,400302611
2003-05-06,398802226
2003-05-07,399702457
2003-05-08,395501380
2003-05-09,400002534
2003-05-12,401802995
2003-05-13,408404688
2003-05-14,394000995
2003-05-15,403303380
2003-05-16,393700919
2003-05-19,391900457
2003-05-20,396101534
2003-05-21,389799919
2003-05-22,399102303
2003-05-23,397901995
2003-05-27,393700919
2003-05-28,405103842
2003-05-29,419507534
2003-05-30,423408534
2003-06-02,420107688
2003-06-03,415606534
2003-06-04,427309534
2003-06-05,441413149
2003-06-06,428209764
2003-06-09,420107688
2003-06-10,429710149
2003-06-11,428509841
2003-06-12,436611918
2003-06-13,424308764
2003-06-16,429410072
2003-06-17,427009457
2003-06-18,419807611
2003-06-19,412005611
2003-06-20,420407764
2003-06-23,417106918
2003-06-24,421608072
2003-06-25,418907380
2003-06-26,419807611
2003-06-27,413806072
2003-06-30,409004841
2003-07-01,418907380
2003-07-02,430310303
2003-07-03,428209764
2003-07-07,439912764
2003-07-08,448314918
2003-07-09,453116149
2003-07-10,435111534
2003-07-11,447114610
2003-07-14,441713226
2003-07-15,442313380
2003-07-16,430910457
2003-07-17,428809918
2003-07-18,424608841
2003-07-21,424008687
2003-07-22,421007918
2003-07-23,421608072
2003-07-24,429109995
2003-07-25,428509841
2003-07-28,436611918
2003-07-29,432110764
2003-07-30,432710918
2003-07-31,431510610
2003-08-01,432110764
2003-08-04,428307820
2003-08-05,424660060
2003-08-06,425572000
2003-08-07,425572000
2003-08-08,428611800
2003-08-11,428915780
2003-08-12,438947120
2003-08-13,440771000
2003-08-14,445330700
2003-08-15,438035180
2003-08-18,440467020
2003-08-19,443810800
2003-08-20,456577960
2003-08-21,458401840
2003-08-22,443202840
2003-08-25,449586420
2003-08-26,447154580
2003-08-27,456881940
2003-08-28,465089400
2003-08-29,462049600
2003-09-02,468737160
2003-09-03,465089400
2003-09-04,467825220
2003-09-05,457489900
2003-09-08,465697360
2003-09-09,453538160
2003-09-10,439251100
2003-09-11,440467020
2003-09-12,446850600
2003-09-15,439555080
2003-09-16,437427220
2003-09-17,443810800
2003-09-18,438643140
2003-09-19,443810800
2003-09-22,451410300
2003-09-23,453538160
2003-09-24,453234180
2003-09-25,434995380
2003-09-26,454450100
2003-09-29,457793880
2003-09-30,456273980
2003-10-01,468433180
2003-10-02,463569500
2003-10-03,472384920
2003-10-06,483936160
2003-10-07,486064020
2003-10-08,480896360
2003-10-09,486368000
2003-10-10,488495860
2003-10-13,500959040
2003-10-14,504606800
2003-10-15,493359540
2003-10-16,507038640
2003-10-17,494271480
2003-10-20,487887900
2003-10-21,486368000
2003-10-22,482416260
2003-10-23,482112280
2003-10-24,480288400
2003-10-27,490319739
2003-10-28,506430680
2003-10-29,519501820
2003-10-30,521325699
2003-10-31,521021720
2003-11-03,521118000
2003-11-04,524789999
2003-11-05,510714000
2003-11-06,514385999
2003-11-07,511020000
2003-11-10,503064000
2003-11-11,504900000
2003-11-12,522342000
2003-11-13,521424000
2003-11-14,513468000
2003-11-17,502758000
2003-11-18,497862000
2003-11-19,503064000
2003-11-20,518670000
2003-11-21,509184000
2003-11-24,523260000
2003-11-25,528462000
2003-11-26,538866000
2003-11-28,538560000
2003-12-01,550800000
2003-12-02,553248000
2003-12-03,554472000
2003-12-04,530910000
2003-12-05,532439999
2003-12-08,537336000
2003-12-09,531827999
2003-12-10,524789999
2003-12-11,533970000
2003-12-12,543456000
2003-12-15,531827999
2003-12-16,532746000
2003-12-17,539172000
2003-12-18,538866000
2003-12-19,545904000
2003-12-22,544068000
2003-12-23,550494000
2003-12-24,543150000
2003-12-26,550800000
2003-12-29,548658000
2003-12-30,554166000
2003-12-31,542844000
2004-01-02,542538000
2004-01-05,541314000
2004-01-06,546516000
2004-01-07,542844000
2004-01-08,537642000
2004-01-09,533970000
2004-01-12,541620000
2004-01-13,540396000
2004-01-14,548658000
2004-01-15,546822000
2004-01-16,545292000
2004-01-20,547128000
2004-01-21,550800000
2004-01-22,544068000
2004-01-23,551106000
2004-01-26,552024000
2004-01-27,544374000
2004-01-28,528768000
2004-01-29,531827999
2004-01-30,533970000
2004-02-02,538227203
2004-02-03,540073608
2004-02-04,525610098
2004-02-05,540381343
2004-02-06,554537118
2004-02-09,546843762
2004-02-10,563461411
2004-02-11,558229929
2004-02-12,562538209
2004-02-13,551152041
2004-02-17,574847579
2004-02-18,567154222
2004-02-19,564692348
2004-02-20,578540390
2004-02-23,565307817
2004-02-24,583464138
2004-02-25,593003899
2004-02-26,595773508
2004-02-27,588387886
2004-03-01,606236472
2004-03-02,604697801
2004-03-03,605313269
2004-03-04,609929283
2004-03-05,609929283
2004-03-08,604390067
2004-03-09,586541480
2004-03-10,564692348
2004-03-11,572693439
2004-03-12,578540390
2004-03-15,564384614
2004-03-16,561307272
2004-03-17,570847033
2004-03-18,576386250
2004-03-19,583156403
2004-03-22,558229929
2004-03-23,554844852
2004-03-24,560076335
2004-03-25,563153677
2004-03-26,561615006
2004-03-29,564076880
2004-03-30,570231565
2004-03-31,569308362
2004-04-01,584079606
2004-04-02,583156403
2004-04-05,590849760
2004-04-06,587464683
2004-04-07,585618277
2004-04-08,577001718
2004-04-12,601620458
2004-04-13,582540935
2004-04-14,573308907
2004-04-15,575463047
2004-04-16,585618277
2004-04-19,575463047
2004-04-20,577001718
2004-04-21,581925466
2004-04-22,594850305
2004-04-23,590849760
2004-04-26,587772417
2004-04-27,587772417
2004-04-28,570231565
2004-04-29,566231020
2004-04-30,556075789
2004-05-03,560671200
2004-05-04,559129200
2004-05-05,554811600
2004-05-06,542475600
2004-05-07,525205200
2004-05-10,520579199
2004-05-11,523046400
2004-05-12,524896800
2004-05-13,520270800
2004-05-14,518728800
2004-05-17,515336400
2004-05-18,518420399
2004-05-19,512252400
2004-05-20,541550400
2004-05-21,570231600
2004-05-24,578866800
2004-05-25,588118800
2004-05-26,575166000
2004-05-27,577633200
2004-05-28,583801200
2004-06-01,585034800
2004-06-02,585651600
2004-06-03,567764400
2004-06-04,571156800
2004-06-07,581025600
2004-06-08,579792000
2004-06-09,570848400
2004-06-10,576708000
2004-06-14,578250000
2004-06-15,576091200
2004-06-16,581642400
2004-06-17,581025600
2004-06-18,579483600
2004-06-21,585651600
2004-06-22,584726400
2004-06-23,585343200
2004-06-24,592744800
2004-06-25,589044000
2004-06-28,590277600
2004-06-29,591511200
2004-06-30,593670000
2004-07-01,589660800
2004-07-02,585034800
2004-07-06,582876000
2004-07-07,592744800
2004-07-08,575782800
2004-07-09,577324800
2004-07-12,582876000
2004-07-13,587810400
2004-07-14,582567600
2004-07-15,577941600
2004-07-16,565914000
2004-07-19,571465200
2004-07-20,598912800
2004-07-21,585960000
2004-07-22,568689600
2004-07-23,566222400
2004-07-26,563755200
2004-07-27,583492800
2004-07-28,568072800
2004-07-29,578866800
2004-07-30,585034800
2004-08-02,582557298
2004-08-03,570738196
2004-08-04,569183051
2004-08-05,558297037
2004-08-06,556119834
2004-08-09,557052921
2004-08-10,559541153
2004-08-11,556430863
2004-08-12,550832341
2004-08-13,549277196
2004-08-16,565450703
2004-08-17,565450703
2004-08-18,569183051
2004-08-19,580069066
2004-08-20,605884472
2004-08-23,601219037
2004-08-24,611482994
2004-08-25,606506530
2004-08-26,607439617
2004-08-27,624546211
2004-08-30,621435922
2004-08-31,627034443
2004-09-01,622369008
2004-09-02,640408690
2004-09-03,637298400
2004-09-07,636054284
2004-09-08,641963835
2004-09-09,640719719
2004-09-10,646007212
2004-09-13,651916763
2004-09-14,646940299
2004-09-15,652849850
2004-09-16,657204255
2004-09-17,660936603
2004-09-20,658759400
2004-09-21,686752009
2004-09-22,679287314
2004-09-23,683330691
2004-09-24,669023357
2004-09-27,660936603
2004-09-28,667157183
2004-09-29,696704937
2004-09-30,692972589
2004-10-01,706968894
2004-10-04,682086575
2004-10-05,680842459
2004-10-06,684263778
2004-10-07,687374067
2004-10-08,674621879
2004-10-11,672133647
2004-10-12,690173328
2004-10-13,681464517
2004-10-14,671822618
2004-10-15,674932908
2004-10-18,673999821
2004-10-19,687374067
2004-10-20,690484357
2004-10-21,699504198
2004-10-22,684885835
2004-10-25,690173328
2004-10-26,699504198
2004-10-27,717543879
2004-10-28,712567416
2004-10-29,708835068
2004-11-01,733613041
2004-11-02,725489557
2004-11-03,733613041
2004-11-04,754859074
2004-11-05,747985357
2004-11-08,726739324
2004-11-09,774542899
2004-11-10,770481158
2004-11-11,809223925
2004-11-12,785478358
2004-11-15,804537300
2004-11-16,784228591
2004-11-17,842967625
2004-11-18,819846942
2004-11-19,816722525
2004-11-22,818597175
2004-11-23,839843208
2004-11-24,853903084
2004-11-26,852965759
2004-11-29,856090175
2004-11-30,852965759
2004-12-01,859214592
2004-12-02,854527967
2004-12-03,856402617
2004-12-06,838905883
2004-12-07,804224858
2004-12-08,804224858
2004-12-09,812660783
2004-12-10,805162183
2004-12-13,798600908
2004-12-14,809848808
2004-12-15,813285667
2004-12-16,803287533
2004-12-17,814222992
2004-12-20,820159383
2004-12-21,825470892
2004-12-22,830157517
2004-12-23,842342742
2004-12-27,832657050
2004-12-28,845154717
2004-12-29,842967625
2004-12-30,840780533
2004-12-31,843592509
2005-01-03,849216459
2005-01-04,851403550
2005-01-05,824846008
2005-01-06,823596242
2005-01-07,829532633
2005-01-10,830157517
2005-01-11,824533567
2005-01-12,841092975
2005-01-13,834844142
2005-01-14,847341809
2005-01-18,857027500
2005-01-19,851091109
2005-01-20,829845075
2005-01-21,815472758
2005-01-24,815160317
