,FRT
2002-07-17,1136393100
2002-07-18,1121412400
2002-07-19,1108571800
2002-07-22,1069621979
2002-07-23,1014407400
2002-07-24,1025107900
2002-07-25,1061489600
2002-07-26,1102151500
2002-07-29,1155225980
2002-07-30,1177055000
2002-07-31,1168494600
2002-08-01,1176626980
2002-08-02,1134253000
2002-08-05,1120128340
2002-08-06,1121412400
2002-08-07,1155654000
2002-08-08,1140673300
2002-08-09,1126976660
2002-08-12,1164214400
2002-08-13,1153513900
2002-08-14,1168494600
2002-08-15,1162074300
2002-08-16,1166354500
2002-08-19,1162074300
2002-08-20,1112852000
2002-08-21,1136393100
2002-08-22,1133396960
2002-08-23,1132112900
2002-08-26,1142813400
2002-08-27,1134253000
2002-08-28,1138533200
2002-08-29,1144953500
2002-08-30,1155654000
2002-09-03,1153513900
2002-09-04,1161646280
2002-09-05,1147521620
2002-09-06,1162074300
2002-09-09,1162074300
2002-09-10,1158222120
2002-09-11,1157794100
2002-09-12,1159506180
2002-09-13,1167638560
2002-09-16,1159934200
2002-09-17,1151373800
2002-09-18,1157366080
2002-09-19,1159078160
2002-09-20,1169350640
2002-09-23,1170634700
2002-09-24,1133396960
2002-09-25,1135537060
2002-09-26,1157794100
2002-09-27,1151373800
2002-09-30,1161837000
2002-10-01,1166140100
2002-10-02,1149358010
2002-10-03,1144624600
2002-10-04,1129563750
2002-10-07,1091266160
2002-10-08,1080078100
2002-10-09,1056411050
2002-10-10,1080078100
2002-10-11,1102454220
2002-10-14,1088684300
2002-10-15,1118806000
2002-10-16,1105896700
2002-10-17,1127412200
2002-10-18,1129563750
2002-10-21,1123109100
2002-10-22,1099442050
2002-10-23,1105896700
2002-10-24,1114502900
2002-10-25,1138169950
2002-10-28,1131715300
2002-10-29,1125260650
2002-10-30,1133866850
2002-10-31,1133866850
2002-11-01,1151079250
2002-11-04,1161406690
2002-11-05,1166140100
2002-11-06,1170443200
2002-11-07,1148927700
2002-11-08,1162697620
2002-11-11,1151509560
2002-11-12,1166140100
2002-11-13,1157533900
2002-11-14,1179479710
2002-11-15,1170873510
2002-11-18,1170443200
2002-11-19,1173885680
2002-11-20,1179049400
2002-11-21,1179049400
2002-11-22,1179049400
2002-11-25,1172594750
2002-11-26,1178188780
2002-11-27,1181200950
2002-11-29,1174315990
2002-12-02,1183352500
2002-12-03,1185504050
2002-12-04,1189376840
2002-12-05,1186794980
2002-12-06,1187655600
2002-12-09,1196261800
2002-12-10,1198413350
2002-12-11,1201855830
2002-12-12,1200564900
2002-12-13,1200564900
2002-12-16,1213474200
2002-12-17,1208740790
2002-12-18,1196261800
2002-12-19,1194110250
2002-12-20,1200564900
2002-12-23,1232838150
2002-12-24,1237141250
2002-12-26,1232407840
2002-12-27,1234989700
2002-12-30,1207019550
2002-12-31,1244900520
2003-01-02,1255082850
2003-01-03,1252869300
2003-01-06,1254640140
2003-01-07,1240030710
2003-01-08,1232947350
2003-01-09,1232947350
2003-01-10,1220108760
2003-01-13,1213468110
2003-01-14,1205499330
2003-01-15,1184249250
2003-01-16,1202400360
2003-01-17,1195317000
2003-01-21,1196202420
2003-01-22,1199744100
2003-01-23,1205942040
2003-01-24,1197530550
2003-01-27,1186905510
2003-01-28,1194431580
2003-01-29,1210811850
2003-01-30,1222765020
2003-01-31,1241358840
2003-02-03,1237374450
2003-02-04,1243129680
2003-02-05,1252426590
2003-02-06,1252869300
2003-02-07,1234275480
2003-02-10,1250655750
2003-02-11,1235160900
2003-02-12,1240030710
2003-02-13,1244015100
2003-02-14,1244015100
2003-02-18,1261723500
2003-02-19,1268806860
2003-02-20,1279431900
2003-02-21,1281645450
2003-02-24,1277218350
2003-02-25,1283859000
2003-02-26,1289171520
2003-02-27,1301567400
2003-02-28,1297583010
2003-03-03,1298468430
2003-03-04,1296254880
2003-03-05,1298468430
2003-03-06,1292713200
2003-03-07,1296697590
2003-03-10,1288286100
2003-03-11,1300681980
2003-03-12,1300239270
2003-03-13,1319718510
2003-03-14,1305109080
