,CME
2004-12-02,7120992264
2004-12-03,7267011657
2004-12-06,7351906653
2004-12-07,7306063355
2004-12-08,7307761255
2004-12-09,7458874348
2004-12-10,7552258844
2004-12-13,7664320238
2004-12-14,7606591641
2004-12-15,7609987441
2004-12-16,7555654644
2004-12-17,7489436547
2004-12-20,7396052051
2004-12-21,7479249147
2004-12-22,7514905045
2004-12-23,7521696645
2004-12-27,7423218450
2004-12-28,7645643339
2004-12-29,7739027835
2004-12-30,7744121535
2004-12-31,7813801935
2005-01-03,7444807353
2005-01-04,7328642392
2005-01-05,7431140887
2005-01-06,7567805547
2005-01-07,7434557504
2005-01-10,7361100249
2005-01-11,7258601754
2005-01-12,7075812771
2005-01-13,7087770929
2005-01-14,7098020778
2005-01-18,7050188147
2005-01-19,6978439201
2005-01-20,6732442813
2005-01-21,6568445221
2005-01-24,6322448833
2005-01-25,6346365148
2005-01-26,6734151121
2005-01-27,7171478033
2005-01-28,7157811567
2005-01-31,7328642392
2005-02-01,6542820597
2005-02-02,6640194167
2005-02-03,6669235408
2005-02-04,7002355516
2005-02-07,7128770327
2005-02-08,7188561116
2005-02-09,6935731495
2005-02-10,7045063223
2005-02-11,7157811567
2005-02-14,7217602356
2005-02-15,7246643596
2005-02-16,7383308256
2005-02-17,7279101453
2005-02-18,7328642392
2005-02-22,7171478033
2005-02-23,7101437395
2005-02-24,7174894650
2005-02-25,7214185739
2005-02-28,7058729689
2005-03-01,7516556300
2005-03-02,6799066834
2005-03-03,6616277852
2005-03-04,6730734505
2005-03-07,6653860633
2005-03-08,6647027400
2005-03-09,6553070447
2005-03-10,6761484053
2005-03-11,6740984354
2005-03-14,6725609580
2005-03-15,6781983752
2005-03-16,6727317888
2005-03-17,6621402777
2005-03-18,6607736311
2005-03-21,6785400369
2005-03-22,6621402777
2005-03-23,6510362740
2005-03-24,6602611386
2005-03-28,6662402175
2005-03-29,6479613192
2005-03-30,6612861235
2005-03-31,6646303897
2005-04-01,6284961428
2005-04-04,6468201448
2005-04-05,6466488924
2005-04-06,6497314348
2005-04-07,6435663500
2005-04-08,6382575270
2005-04-11,6343187229
2005-04-12,6353462370
2005-04-13,6362024988
2005-04-14,6130834308
2005-04-15,5858543064
2005-04-18,5915056341
2005-04-19,5988694854
2005-04-20,5865393158
2005-04-21,5820867546
2005-04-22,5856830541
2005-04-25,6096583838
2005-04-26,6487039207
2005-04-27,6785018305
2005-04-28,6671991750
2005-04-29,6695967080
2005-05-02,6608628379
2005-05-03,6567527814
2005-05-04,6776455687
2005-05-05,6778168210
2005-05-06,6795293446
2005-05-09,6826118870
2005-05-10,6723367457
2005-05-11,6687404462
2005-05-12,6490464254
2005-05-13,6546977531
2005-05-16,6781593258
2005-05-17,6887769718
2005-05-18,7000796272
2005-05-19,7017921507
2005-05-20,7158348438
2005-05-23,7254249757
2005-05-24,7307337987
2005-05-25,7213149192
2005-05-26,7271374993
2005-05-27,7288500228
2005-05-31,7404951830
2005-06-01,7329600793
2005-06-02,7946109272
2005-06-03,8432465960
2005-06-06,8624268597
2005-06-07,8386227824
2005-06-08,8339989688
2005-06-09,8528367278
2005-06-10,8470141478
2005-06-13,8644818880
2005-06-14,8629406168
2005-06-15,8843471612
2005-06-16,8764695528
2005-06-17,8737295152
2005-06-20,8567755320
2005-06-21,8691057016
2005-06-22,9047261914
2005-06-23,8715032345
2005-06-24,8697907110
2005-06-27,8750995340
2005-06-28,9281877641
2005-06-29,10478931602
2005-06-30,10156335000
2005-07-01,10109935500
2005-07-05,10276630000
2005-07-06,10111654000
2005-07-07,10082439500
2005-07-08,9986203500
2005-07-11,10017136500
2005-07-12,10264600500
2005-07-13,10362555000
2005-07-14,10365992000
2005-07-15,10482850000
2005-07-18,10405517500
2005-07-19,10585960000
2005-07-20,10475976000
2005-07-21,10551590000
2005-07-22,10424421000
2005-07-25,10207890000
2005-07-26,10431295000
2005-07-27,10151179500
2005-07-28,10328185000
2005-07-29,10347088500
2005-08-01,10426139500
2005-08-02,10615174500
2005-08-03,10484568500
2005-08-04,10372866000
2005-08-05,10180394000
2005-08-08,9972455500
2005-08-09,10073847000
2005-08-10,9953552000
2005-08-11,9984485000
2005-08-12,10075565500
2005-08-15,9424254000
2005-08-16,9417380000
2005-08-17,9137264500
2005-08-18,9168197500
2005-08-19,9400195000
2005-08-22,9407069000
2005-08-23,9468935000
2005-08-24,9453468500
2005-08-25,9305677500
2005-08-26,9245530000
2005-08-29,9247248500
2005-08-30,9383010000
2005-08-31,9541112000
2005-09-01,10350525500
2005-09-02,10266319000
2005-09-06,10238823000
2005-09-07,10314437000
2005-09-08,10438169000
2005-09-09,10455354000
2005-09-12,10436450500
2005-09-13,10376303000
2005-09-14,10355681000
2005-09-15,10328185000
2005-09-16,10671885000
2005-09-19,10517220000
2005-09-20,10960593000
2005-09-21,11003555500
2005-09-22,11376470000
2005-09-23,11225241999
2005-09-26,11465832000
2005-09-27,11290545000
2005-09-28,11182279499
2005-09-29,11446928500
2005-09-30,11628080199
2005-10-03,11836647900
2005-10-04,11743568100
2005-10-05,11583264000
2005-10-06,11555684800
2005-10-07,11567750700
2005-10-10,11372972600
2005-10-11,11435025800
2005-10-12,10997206000
2005-10-13,10700729600
2005-10-14,10935152800
2005-10-17,11121312400
2005-10-18,11409170300
2005-10-19,11486736800
2005-10-20,11514316000
2005-10-21,11996951999
2005-10-24,12250335899
2005-10-25,12376166000
2005-10-26,12467522100
2005-10-27,12176216800
2005-10-28,12496825000
2005-10-31,12588181100
2005-11-01,12410640000
2005-11-02,12850183500
2005-11-03,12893276000
2005-11-04,13165620600
2005-11-07,13381083100
2005-11-08,13375911999
2005-11-09,13120804400
2005-11-10,13506913200
2005-11-11,13334543200
2005-11-14,13243187100
2005-11-15,13337990600
2005-11-16,13029448300
2005-11-17,13039790500
2005-11-18,12958776600
2005-11-21,13217331600
2005-11-22,13165620600
2005-11-23,13329372100
2005-11-25,13682730600
2005-11-28,12800196200
2005-11-29,12758827400
2005-11-30,12208967100
2005-12-01,12703669000
2005-12-02,12748485199
2005-12-05,12479588000
2005-12-06,12400297800
2005-12-07,11962478000
2005-12-08,12343415700
2005-12-09,12408916300
2005-12-12,12665747600
2005-12-13,12729524499
2005-12-14,12732971900
2005-12-15,12689879400
2005-12-16,12720906000
2005-12-19,12657129100
2005-12-20,12813985800
2005-12-21,12894999700
2005-12-22,12969118800
2005-12-23,13091501500
2005-12-27,13055303800
2005-12-28,12893276000
2005-12-29,12686431999
2005-12-30,12669195000
2006-01-03,12554632050
2006-01-04,12373081800
2006-01-05,12587484000
2006-01-06,12966145950
2006-01-09,13175361000
2006-01-10,13125218550
2006-01-11,13348266000
2006-01-12,13145967150
2006-01-13,13218587250
2006-01-17,13209942000
2006-01-18,13021475550
2006-01-19,13209942000
2006-01-20,13024933650
2006-01-23,13294665450
2006-01-24,14122880400
2006-01-25,13910207250
2006-01-26,14133254700
2006-01-27,13889458650
2006-01-30,13970724000
2006-01-31,14636408250
2006-02-01,14321721150
2006-02-02,14390883150
2006-02-03,14385696000
2006-02-06,14447941800
2006-02-07,13832400000
2006-02-08,13967265900
2006-02-09,13785715650
2006-02-10,13841045250
2006-02-13,13932684900
2006-02-14,14235268650
2006-02-15,14247372000
2006-02-16,14212791000
2006-02-17,14316534000
2006-02-21,14252559150
2006-02-22,14612201550
2006-02-23,14425464150
2006-02-24,14615659650
2006-02-27,15042735000
2006-02-28,14717673600
2006-03-01,14918243400
2006-03-02,14990863500
2006-03-03,15016799249
2006-03-06,14807584200
2006-03-07,14627762999
2006-03-08,14515374750
2006-03-09,14408173650
2006-03-10,14814500400
2006-03-13,14658885900
2006-03-14,14885391450
2006-03-15,14956282500
2006-03-16,14797209900
2006-03-17,14677905450
2006-03-20,14835249000
2006-03-21,14584536749
2006-03-22,14717673600
2006-03-23,14859455700
2006-03-24,15051380250
2006-03-27,15471539400
2006-03-28,15366067350
2006-03-29,15495746100
2006-03-30,15490558950
2006-03-31,15500952500
2006-04-03,15194397350
2006-04-04,15412623050
2006-04-05,15374520150
2006-04-06,15774600600
2006-04-07,16644039499
2006-04-10,16772203800
2006-04-11,16713317500
2006-04-12,16969646100
2006-04-13,16978305850
2006-04-17,17052779699
2006-04-18,17156696700
2006-04-19,17264077600
2006-04-20,17142841100
2006-04-21,17322963900
2006-04-24,17094346500
2006-04-25,16462184750
2006-04-26,16237031250
2006-04-27,16195464450
2006-04-28,15864661999
2006-05-01,15708786500
2006-05-02,15968579000
2006-05-03,15623920949
2006-05-04,16527998850
2006-05-05,16834554000
2006-05-08,16747956500
2006-05-09,16666554850
2006-05-10,16626720000
2006-05-11,16029197250
2006-05-12,15985898500
2006-05-15,15823095200
2006-05-16,15949527550
2006-05-17,15402231350
2006-05-18,15345076999
2006-05-19,15573694400
2006-05-22,15090480350
2006-05-23,15137243000
2006-05-24,15003882850
2006-05-25,15377984050
2006-05-26,15537323449
2006-05-30,15133779100
2006-05-31,15286190700
2006-06-01,15802311800
2006-06-02,15788456200
2006-06-05,15381447950
2006-06-06,15256747550
2006-06-07,15416086950
2006-06-08,15587550000
2006-06-09,15701858700
2006-06-12,15448994000
2006-06-13,15279262900
2006-06-14,15263675350
2006-06-15,15535591500
2006-06-16,15734765749
2006-06-19,15405695250
2006-06-20,15584086100
2006-06-21,16557441999
2006-06-22,16304577300
2006-06-23,16550514200
2006-06-26,16775667700
2006-06-27,16403298449
2006-06-28,16366927500
2006-06-29,16893440300
2006-06-30,17066971350
2006-07-03,17265040650
2006-07-05,17464847400
2006-07-06,17400561750
2006-07-07,17202492450
2006-07-10,16974886500
2006-07-11,16702106850
2006-07-12,16450176600
2006-07-13,16187821650
2006-07-14,16128748350
2006-07-17,16034926050
2006-07-18,16019289000
2006-07-19,16366779000
2006-07-20,16088786999
2006-07-21,15706548000
2006-07-24,16158285000
2006-07-25,15819482250
2006-07-26,15637050000
2006-07-27,15475467149
2006-07-28,15758671500
2006-07-31,16026238800
2006-08-01,16031451150
2006-08-02,15814269900
2006-08-03,15916779450
2006-08-04,16877589300
2006-08-07,16915813200
2006-08-08,17027010000
2006-08-09,16860214800
2006-08-10,16557898500
2006-08-11,16154810100
2006-08-14,16033188600
2006-08-15,16227783000
2006-08-16,16253844750
2006-08-17,16158285000
2006-08-18,16031451150
2006-08-21,15816007350
2006-08-22,15685698600
2006-08-23,15484154400
2006-08-24,15480679499
2006-08-25,15584926500
2006-08-28,15194000250
2006-08-29,15200950050
2006-08-30,15089753249
2006-08-31,15289560000
2006-09-01,15362532900
2006-09-05,15442455600
2006-09-06,15442455600
2006-09-07,15324309000
2006-09-08,15418131300
2006-09-11,15392069550
2006-09-12,15793420500
2006-09-13,15880293000
2006-09-14,15767358750
2006-09-15,16410215250
2006-09-18,16439751900
2006-09-19,16250369850
2006-09-20,15988014900
2006-09-21,16125273450
2006-09-22,16041875850
2006-09-25,16305968249
2006-09-26,16351141950
2006-09-27,16656933150
2006-09-28,16564848300
2006-09-29,16618709250
2006-10-02,16252449050
2006-10-03,16570988000
2006-10-04,17032260249
2006-10-05,17119292749
2006-10-06,17086220400
2006-10-09,18154979500
2006-10-10,17510939000
2006-10-11,17371687000
2006-10-12,17406500000
2006-10-13,17437831700
2006-10-16,17519642250
2006-10-17,17980914500
2006-10-18,17658894250
2006-10-19,17441313000
2006-10-20,17065332600
2006-10-23,17519642250
2006-10-24,17580565000
2006-10-25,17284654500
2006-10-26,17387352850
2006-10-27,17591008900
2006-10-30,17406500000
2006-10-31,17441313000
2006-11-01,17453497550
2006-11-02,17446534950
2006-11-03,17443053650
2006-11-06,17819034050
2006-11-07,17742445450
2006-11-08,17570121100
2006-11-09,17242878900
2006-11-10,17260285400
2006-11-13,17371687000
2006-11-14,17883438100
2006-11-15,18537922500
2006-11-16,18800760650
2006-11-17,18624955000
2006-11-20,18854720800
2006-11-21,19216776000
2006-11-22,19281180050
2006-11-24,19260292250
2006-11-27,18546625750
2006-11-28,18694581000
2006-11-29,18765947650
2006-11-30,18645842800
2006-12-01,18499628200
2006-12-04,18558810300
2006-12-05,18861683400
2006-12-06,18849498850
2006-12-07,18752022450
2006-12-08,19013119950
2006-12-11,18908680950
2006-12-12,18859942750
2006-12-13,18517034700
2006-12-14,18433483500
2006-12-15,18555329000
2006-12-18,18346451000
2006-12-19,18623214350
2006-12-20,18259418500
2006-12-21,17895622650
2006-12-22,17789443000
2006-12-26,17690225950
2006-12-27,17782480400
2006-12-28,17857328350
2006-12-29,17745926750
2007-01-03,18227073000
2007-01-04,18359506800
2007-01-05,18444891750
2007-01-08,18641799900
2007-01-09,18749838000
2007-01-10,19284800850
2007-01-11,19399809150
2007-01-12,20004474000
2007-01-16,19856357250
2007-01-17,20283282000
2007-01-18,20126452500
2007-01-19,20121224850
2007-01-22,19865070000
2007-01-23,20365181850
2007-01-24,20616109050
2007-01-25,20178729000
2007-01-26,20522011350
2007-01-29,20068948350
2007-01-30,19804080750
2007-01-31,19631568300
2007-02-01,20136907800
2007-02-02,20175243900
2007-02-05,20129937600
2007-02-06,20182214100
2007-02-07,20469734850
2007-02-08,20359954200
2007-02-09,19978335750
2007-02-12,19655964000
2007-02-13,19934772000
2007-02-14,19969623000
2007-02-15,19955682600
2007-02-16,20030612250
2007-02-20,20109027000
2007-02-21,19769229750
2007-02-22,19168050000
2007-02-23,18988567350
2007-02-26,18701046600
2007-02-27,17808861000
2007-02-28,18789916650
2007-03-01,19002507750
2007-03-02,18828252750
2007-03-05,19321394400
2007-03-06,19675132050
2007-03-07,19553153550
2007-03-08,19784912700
2007-03-09,19793625450
2007-03-12,19777942500
2007-03-13,19183732950
2007-03-14,19654221450
2007-03-15,18572097900
2007-03-16,18366477000
2007-03-19,18479742750
2007-03-20,18556414950
2007-03-21,18836965500
2007-03-22,18964171650
2007-03-23,18849163350
2007-03-26,18756808200
2007-03-27,18728927400
2007-03-28,18444891750
2007-03-29,18509366100
2007-03-30,18556414950
2007-04-02,18972319800
2007-04-03,19216493800
2007-04-04,19432762200
2007-04-05,19307187000
2007-04-09,19202541000
2007-04-10,19202541000
2007-04-11,19202541000
2007-04-12,19301954700
2007-04-13,19237423000
2007-04-16,19490317500
2007-04-17,19471132400
2007-04-18,19485085200
2007-04-19,19319395700
2007-04-20,19390903800
2007-04-23,19094406800
2007-04-24,18532806600
2007-04-25,18511877400
2007-04-26,18095037500
2007-04-27,18208404000
2007-04-30,18025273500
2007-05-01,17880513200
2007-05-02,17974694600
2007-05-03,18173522000
2007-05-04,17960741800
2007-05-07,17718311900
2007-05-08,17746217500
2007-05-09,17683429900
2007-05-10,17369491900
2007-05-11,18707216600
2007-05-14,18470019000
2007-05-15,18257238800
2007-05-16,18192707100
2007-05-17,18271191600
2007-05-18,18135151800
2007-05-21,17964230000
2007-05-22,18213636300
2007-05-23,18117710800
2007-05-24,17868304500
2007-05-25,17911907000
2007-05-29,18347932000
2007-05-30,18412463700
2007-05-31,18522342000
2007-06-01,18731634000
2007-06-04,18670590500
2007-06-05,18810118500
2007-06-06,18919996800
2007-06-07,18817094900
2007-06-08,19172891300
2007-06-11,19431018100
2007-06-12,19132777000
2007-06-13,19228702500
2007-06-14,19097895000
2007-06-15,19279281400
2007-06-18,19045572000
2007-06-19,19056036600
2007-06-20,18972319800
2007-06-21,19158938500
2007-06-22,18834535900
2007-06-25,18606058800
2007-06-26,18518853800
2007-06-27,18911276300
2007-06-28,18853721000
2007-06-29,18639196700
2007-07-02,27555810000
2007-07-03,27910283800
2007-07-05,28756363600
2007-07-06,29744750400
2007-07-09,29527408800
2007-07-10,29020278400
2007-07-11,30016427400
2007-07-12,30417474400
2007-07-13,30246706000
2007-07-16,30339852400
2007-07-17,30207895000
2007-07-18,29892232200
2007-07-19,29599856000
2007-07-20,29082376000
2007-07-23,28958180800
2007-07-24,28409652000
2007-07-25,28332030000
2007-07-26,27814550000
