,HRB
2001-07-25,6438742180
2001-07-26,6530671680
2001-07-27,6512285780
2001-07-30,6556411939
2001-07-31,6504035840
2001-08-01,6606117120
2001-08-02,6555076480
2001-08-03,6580596800
2001-08-06,6456640960
2001-08-07,6394663040
2001-08-08,6270707200
2001-08-09,6354559680
2001-08-10,6354559680
2001-08-13,6613408640
2001-08-14,6627991680
2001-08-15,6624345920
2001-08-16,6700906880
2001-08-17,6653512000
2001-08-20,6799342399
2001-08-21,6642574720
2001-08-22,6792050880
2001-08-23,6883194880
2001-08-24,6977984640
2001-08-27,6828508480
2001-08-28,6879549120
2001-08-29,7091003200
2001-08-30,7032671040
2001-08-31,7091003200
2001-09-04,6737364480
2001-09-05,7065482880
2001-09-06,7083711680
2001-09-07,6908715200
2001-09-10,6726427200
2001-09-17,6679032320
2001-09-18,6744656000
2001-09-19,6602471360
2001-09-20,6376434239
2001-09-21,6252478399
2001-09-24,6602471360
2001-09-25,6755593280
2001-09-26,6828508480
2001-09-27,6912360960
2001-09-28,7029025280
2001-10-01,7291520000
2001-10-02,7484745280
2001-10-03,7492036800
2001-10-04,7484745280
2001-10-05,7419121600
2001-10-08,7171209920
2001-10-09,6908715200
2001-10-10,7032671040
2001-10-11,7225896320
2001-10-12,7193084480
2001-10-15,7185792960
2001-10-16,7214959040
2001-10-17,7010796480
2001-10-18,7105586239
2001-10-19,6726427200
2001-10-22,6507681600
2001-10-23,5975400640
2001-10-24,6055607360
2001-10-25,6157688640
2001-10-26,6190500480
2001-10-29,6197792000
2001-10-30,6197792000
2001-10-31,6234458880
2001-11-01,6307633279
2001-11-02,6318609440
2001-11-05,6494228000
2001-11-06,6783266880
2001-11-07,6680822720
2001-11-08,6651552960
2001-11-09,6852782560
2001-11-12,7017424960
2001-11-13,6966202880
2001-11-14,6958885440
2001-11-15,7017424960
2001-11-16,6955226720
2001-11-19,6819854080
2001-11-20,6889369759
2001-11-21,6819854080
2001-11-23,6860100000
2001-11-26,6805219200
2001-11-27,6728386080
2001-11-28,6585696000
2001-11-29,7379638240
2001-11-30,7288170240
2001-12-03,7379638240
2001-12-04,7390614400
2001-12-05,7500376000
2001-12-06,7547939360
2001-12-07,7547939360
2001-12-10,7463788799
2001-12-11,7474764960
2001-12-12,7482082400
2001-12-13,7445495200
2001-12-14,7299146400
2001-12-17,7317440000
2001-12-18,7562574240
2001-12-19,7793073600
2001-12-20,7690629440
2001-12-21,7793073600
2001-12-24,7833319520
2001-12-26,7866248000
2001-12-27,8162604320
2001-12-28,8243096160
2001-12-31,8177239200
2002-01-02,7994303200
2002-01-03,7862589279
2002-01-04,7847954400
2002-01-07,7822343360
2002-01-08,8030890400
2002-01-09,7884541600
2002-01-10,7719899200
2002-01-11,7749168960
2002-01-14,7654042240
2002-01-15,7818684640
2002-01-16,7771121279
2002-01-17,7965033440
2002-01-18,8133334560
2002-01-22,8250413600
2002-01-23,8462619360
2002-01-24,8415056000
2002-01-25,8462619360
2002-01-28,8407738560
2002-01-29,8345540320
2002-01-30,8334564160
2002-01-31,8432642880
2002-02-01,8432642880
2002-02-04,8359727680
2002-02-05,8476392000
2002-02-06,8560244480
2002-02-07,8527432640
2002-02-08,8611285120
2002-02-11,8647742720
2002-02-12,8593056320
2002-02-13,8618576640
2002-02-14,8520141120
2002-02-15,8483683520
2002-02-19,8563890239
2002-02-20,8950340800
2002-02-21,8932112000
2002-02-22,8884717120
2002-02-25,9256584640
2002-02-26,9125337280
2002-02-27,9161794880
2002-02-28,9198252480
2002-03-01,9114400000
2002-03-04,9172732160
2002-03-05,9045130560
2002-03-06,9015964480
2002-03-07,8640451200
2002-03-08,8487329280
2002-03-11,8487329280
2002-03-12,8483683520
2002-03-13,8560244480
2002-03-14,8574827520
2002-03-15,8261292160
2002-03-18,8093587200
2002-03-19,8108170239
2002-03-20,8082649920
2002-03-21,8148273600
2002-03-22,8246709120
2002-03-25,8020672000
2002-03-26,8020672000
2002-03-27,8068066880
2002-03-28,8104524480
2002-04-01,7852967040
2002-04-02,7812863680
2002-04-03,7929528000
2002-04-04,7951402560
2002-04-05,8162856640
2002-04-08,8148273600
2002-04-09,8235771840
2002-04-10,8341498880
2002-04-11,8184731200
2002-04-12,8184731200
2002-04-15,8108170239
2002-04-16,7648804480
2002-04-17,7364435200
2002-04-18,7619638399
2002-04-19,7634221440
2002-04-22,7532140160
2002-04-23,7521202880
2002-04-24,7543077440
2002-04-25,7375372480
2002-04-26,7349852160
2002-04-29,7149335360
2002-04-30,7270105080
2002-05-01,7248360000
2002-05-02,7940578380
2002-05-03,7864470600
2002-05-06,8060176319
2002-05-07,8121787380
2002-05-08,8389976699
2002-05-09,8212391880
2002-05-10,8089169760
2002-05-13,8161653360
2002-05-14,8313868920
2002-05-15,8408097600
2002-05-16,8379104160
2002-05-17,8495077920
2002-05-20,8342862360
2002-05-21,8342862360
2002-05-22,8317493100
2002-05-23,8382728340
2002-05-24,8426218500
2002-05-28,8386352520
2002-05-29,8321117280
2002-05-30,8139908280
2002-05-31,8136284100
2002-06-03,8063800500
2002-06-04,7929705840
2002-06-05,8034807060
2002-06-06,7955075100
2002-06-07,8089169760
2002-06-10,8418970140
2002-06-11,8382728340
2002-06-12,8476957020
2002-06-13,7933330020
2002-06-14,8056552140
2002-06-17,8237761140
2002-06-18,8150780819
2002-06-19,8360983260
2002-06-20,8408097600
2002-06-21,8245009500
2002-06-24,8310244740
2002-06-25,8067424680
2002-06-26,8161653360
2002-06-27,8245009500
2002-06-28,8360983260
2002-07-01,8266754580
2002-07-02,8259506220
2002-07-03,8382728340
2002-07-05,8574809880
2002-07-08,8563937340
2002-07-09,8582058240
2002-07-10,8335614000
2002-07-11,8632796760
2002-07-12,8679911100
2002-07-15,8679911100
2002-07-16,8451587760
2002-07-17,8451587760
2002-07-18,8194270980
2002-07-19,7636147260
2002-07-22,7309971060
2002-07-23,7429569000
2002-07-24,8042055420
2002-07-25,8063800500
2002-07-26,7973196000
2002-07-29,8480581199
2002-07-30,8353734900
2002-07-31,8636326400
2002-08-01,8528998400
2002-08-02,8393049600
2002-08-05,8139040000
2002-08-06,8496800000
2002-08-07,8407360000
2002-08-08,8836672000
2002-08-09,8611283200
2002-08-12,8672102400
2002-08-13,8611283200
2002-08-14,8632748800
2002-08-15,8765120000
2002-08-16,9069216000
2002-08-19,9187276800
2002-08-20,9505683200
2002-08-21,9248096000
2002-08-22,9416243200
2002-08-23,9176544000
2002-08-26,9122880000
2002-08-27,9104992000
2002-08-28,8944000000
2002-08-29,8944000000
2002-08-30,8747232000
2002-09-03,8797318400
2002-09-04,9158656000
2002-09-05,9273139200
2002-09-06,9108569600
2002-09-09,9158656000
2002-09-10,9248096000
2002-09-11,9176544000
2002-09-12,9230208000
2002-09-13,9165811200
2002-09-16,9087104000
2002-09-17,8847404800
2002-09-18,8969043200
2002-09-19,8664947200
2002-09-20,8139040000
2002-09-23,8446713600
2002-09-24,8407360000
2002-09-25,7956582399
2002-09-26,7559468800
2002-09-27,7448563200
2002-09-30,7512960000
2002-10-01,7691840000
2002-10-02,7677529600
2002-10-03,7419942399
2002-10-04,7266105600
2002-10-07,7394899200
2002-10-08,7448563200
2002-10-09,6700844800
2002-10-10,6901190400
2002-10-11,7459296000
2002-10-14,7602400000
2002-10-15,8139040000
2002-10-16,7870720000
2002-10-17,8028134400
2002-10-18,7960160000
2002-10-21,8103263999
2002-10-22,8267833600
2002-10-23,8164083200
2002-10-24,7648908800
2002-10-25,7852832000
2002-10-28,7906496000
2002-10-29,7806323200
2002-10-30,7877875200
2002-10-31,7935203979
2002-11-01,7323703357
2002-11-04,7184238303
2002-11-05,7127021870
2002-11-06,7330855411
2002-11-07,6322415789
2002-11-08,5739523383
2002-11-11,6014877464
2002-11-12,5757403518
2002-11-13,5496353545
2002-11-14,5893292545
2002-11-15,5964813086
2002-11-18,6290231545
2002-11-19,6712202735
2002-11-20,6697898627
2002-11-21,6858819843
2002-11-22,6966100654
2002-11-25,6862395870
2002-11-26,6883852032
2002-11-27,6855243816
2002-11-29,6855243816
2002-12-02,6980404762
2002-12-03,7019741059
2002-12-04,7080533519
2002-12-05,7009012978
2002-12-06,6901732167
2002-12-09,6708626708
2002-12-10,6865971897
2002-12-11,7023317086
2002-12-12,6801603411
2002-12-13,6930340384
2002-12-16,7034045168
2002-12-17,7169934195
2002-12-18,7173510222
2002-12-19,7144902005
