,CNX
2001-10-01,1508070562
2001-10-02,1477935304
2001-10-03,1512656249
2001-10-04,1567030747
2001-10-05,1556548884
2001-10-08,1549342691
2001-10-09,1683640785
2001-10-10,1758978852
2001-10-11,1808112340
2001-10-12,1684951117
2001-10-15,1704604512
2001-10-16,1752427668
2001-10-17,1778632247
2001-10-18,1668573235
2001-10-19,1675779427
2001-10-22,1749152155
2001-10-23,1768805550
2001-10-24,1735394778
2001-10-25,1738015283
2001-10-26,1782562926
2001-10-29,1857245827
2001-10-30,1757013513
2001-10-31,1808112340
2001-11-01,1804181661
2001-11-02,1794354963
2001-11-05,1729498760
2001-11-06,1711155538
2001-11-07,1692812475
2001-11-08,1637782969
2001-11-09,1637782969
2001-11-12,1605027205
2001-11-13,1627301106
2001-11-14,1630576619
2001-11-15,1509380736
2001-11-16,1503484717
2001-11-19,1539515994
2001-11-20,1572271600
2001-11-21,1532964810
2001-11-23,1523138112
2001-11-26,1553928378
2001-11-27,1540171002
2001-11-28,1513966580
2001-11-29,1458937074
2001-11-30,1441249019
2001-12-03,1490382506
2001-12-04,1506760230
2001-12-05,1542136341
2001-12-06,1494968193
2001-12-07,1552618205
2001-12-10,1493658020
2001-12-11,1433387661
2001-12-12,1441249019
2001-12-13,1442559193
2001-12-14,1476625130
2001-12-17,1431422321
2001-12-18,1470729111
2001-12-19,1502174543
2001-12-20,1513311415
2001-12-21,1543446673
2001-12-24,1565065407
2001-12-26,1586028976
2001-12-27,1572271600
2001-12-28,1614198895
2001-12-31,1629236349
2002-01-02,1574797344
2002-01-03,1567582425
2002-01-04,1598409465
2002-01-07,1673836969
2002-01-08,1622677374
2002-01-09,1610871313
2002-01-10,1583323839
2002-01-11,1532164243
2002-01-14,1465263234
2002-01-15,1481660592
2002-01-16,1498713738
2002-01-17,1463295557
2002-01-18,1447554143
2002-01-22,1438371704
2002-01-23,1423942022
2002-01-24,1469198587
2002-01-25,1475757562
2002-01-28,1474445830
2002-01-29,1469198587
2002-01-30,1460672093
2002-01-31,1498713738
2002-02-01,1487563623
2002-02-04,1494122597
2002-02-05,1428533320
2002-02-06,1409512497
2002-02-07,1397050492
2002-02-08,1456080795
2002-02-11,1506584445
2002-02-12,1469198587
2002-02-13,1471822209
2002-02-14,1440339381
2002-02-15,1430500997
2002-02-19,1446242411
2002-02-20,1437059972
2002-02-21,1477725239
2002-02-22,1505928658
2002-02-25,1525605425
2002-02-26,1505928658
2002-02-27,1508552122
2002-02-28,1524949481
2002-03-01,1542002627
2002-03-04,1606935960
2002-03-05,1600377142
2002-03-06,1589226869
2002-03-07,1682363621
2002-03-08,1692202005
2002-03-11,1774188483
2002-03-12,1754511716
2002-03-13,1692857949
2002-03-14,1698760979
2002-03-15,1741393923
2002-03-18,1714502393
2002-03-19,1745985221
2002-03-20,1680395944
2002-03-21,1698105035
2002-03-22,1664654530
2002-03-25,1644977763
2002-03-26,1667278151
2002-03-27,1712534717
2002-03-28,1721717156
2002-04-01,1760766082
2002-04-02,1839488860
2002-04-03,1782414846
2002-04-04,1739773393
2002-04-05,1699755929
2002-04-08,1774542568
2002-04-09,1745677602
2002-04-10,1738461399
2002-04-11,1750925734
2002-04-12,1700412004
2002-04-15,1710252352
2002-04-16,1748301747
2002-04-17,1689259663
2002-04-18,1711564345
2002-04-19,1701068080
2002-04-22,1645306060
2002-04-23,1680731310
2002-04-24,1646618054
2002-04-25,1640713845
2002-04-26,1645306060
2002-04-29,1544934518
2002-04-30,1508197274
2002-05-01,1514757400
2002-05-02,1574455560
2002-05-03,1590856191
2002-05-06,1575111635
2002-05-07,1560679073
2002-05-08,1575767553
2002-05-09,1565271288
2002-05-10,1551494802
2002-05-13,1554774865
2002-05-14,1588232046
2002-05-15,1550838726
2002-05-16,1543622524
2002-05-17,1521317684
2002-05-20,1574455560
2002-05-21,1557399010
2002-05-22,1563303218
2002-05-23,1588888121
2002-05-24,1608568816
2002-05-28,1625625365
2002-05-29,1577735623
2002-05-30,1581015843
2002-05-31,1584951982
2002-06-03,1564615212
2002-06-04,1559367080
2002-06-05,1535094171
2002-06-06,1488516579
2002-06-07,1508197274
2002-06-10,1482612371
2002-06-11,1476708163
2002-06-12,1476708163
2002-06-13,1535094171
2002-06-14,1518693539
2002-06-17,1525909899
2002-06-18,1516069552
2002-06-19,1482612371
2002-06-20,1483268289
2002-06-21,1478020156
2002-06-24,1448499115
2002-06-25,1459651456
2002-06-26,1462275601
2002-06-27,1434722629
2002-06-28,1394049246
2002-07-01,1384428497
2002-07-02,1339155718
2002-07-03,1318159542
2002-07-05,1339155718
2002-07-08,1327345428
2002-07-09,1324064687
2002-07-10,1281416470
2002-07-11,1283384852
2002-07-12,1272886764
2002-07-15,1219740458
2002-07-16,1213179291
2002-07-17,1221052818
2002-07-18,1249922363
2002-07-19,851653085
2002-07-22,821471338
2002-07-23,734862544
2002-07-24,747985036
2002-07-25,744704452
2002-07-26,816878395
2002-07-29,843779558
2002-07-30,892333078
2002-07-31,918578062
2002-08-01,886427933
2002-08-02,863463375
2002-08-05,852965444
2002-08-06,856246028
2002-08-07,793913994
2002-08-08,839186773
2002-08-09,868712498
2002-08-12,878554406
2002-08-13,853621467
2002-08-14,860182791
2002-08-15,918578062
2002-08-16,889052337
2002-08-19,921858803
2002-08-20,913329097
2002-08-21,946135405
2002-08-22,1015028764
2002-08-23,1007155237
2002-08-26,1013716562
2002-08-27,988783780
2002-08-28,946135405
2002-08-29,931700711
2002-08-30,927107768
2002-09-03,864775735
2002-09-04,883803372
2002-09-05,862807353
2002-09-06,898894245
2002-09-09,897582043
2002-09-10,892989100
2002-09-11,922514825
2002-09-12,897582043
2002-09-13,889052337
2002-09-16,876586025
2002-09-17,855589848
2002-09-18,861494993
2002-09-19,843779558
2002-09-20,822127360
2002-09-23,801787521
2002-09-24,813597811
2002-09-25,838530593
2002-09-26,852309265
2002-09-27,829344864
2002-09-30,830800008
2002-10-01,865580683
2002-10-02,857049666
2002-10-03,838018597
2002-10-04,817018966
2002-10-07,797331762
2002-10-08,748113752
2002-10-09,700864462
2002-10-10,715301797
2002-10-11,753363620
2002-10-14,772394689
2002-10-15,822268834
2002-10-16,807831656
2002-10-17,813737817
2002-10-18,817018966
2002-10-21,817018966
2002-10-22,813737817
2002-10-23,817018966
2002-10-24,826862568
2002-10-25,870830709
2002-10-28,869518124
2002-10-29,821612699
2002-10-30,842612331
2002-10-31,846549772
2002-11-01,859674522
2002-11-04,872143137
2002-11-05,820300114
2002-11-06,859674522
2002-11-07,836706170
2002-11-08,830800008
2002-11-11,811112804
2002-11-12,793394321
2002-11-13,779613278
2002-11-14,786175732
2002-11-15,805862936
2002-11-18,807831656
2002-11-19,801269202
2002-11-20,811112804
2002-11-21,853768360
2002-11-22,854424653
2002-11-25,878705591
2002-11-26,872799429
2002-11-27,891830341
2002-11-29,917423706
2002-12-02,956141821
2002-12-03,941704643
2002-12-04,951548245
2002-12-05,975829025
2002-12-06,979110331
2002-12-09,981079051
2002-12-10,984360200
2002-12-11,994203802
2002-12-12,1040796798
2002-12-13,1161545036
2002-12-16,1120201907
2002-12-17,1090671101
2002-12-18,1069671469
2002-12-19,1076890058
2002-12-20,1112327026
2002-12-23,1105764572
2002-12-24,1151045141
2002-12-26,1128733081
2002-12-27,1109702012
2002-12-30,1111014598
2002-12-31,1133988192
2003-01-02,1161550405
2003-01-03,1168769027
2003-01-06,1167456593
2003-01-07,1127425707
2003-01-08,1082144929
2003-01-09,1099207356
2003-01-10,1111675871
2003-01-13,1102488520
2003-01-14,1089363709
2003-01-15,1075582602
2003-01-16,1114300897
2003-01-17,1096582331
2003-01-21,1103800953
2003-01-22,1061145200
2003-01-23,1080176199
2003-01-24,1014551988
2003-01-27,968614914
2003-01-28,1033582987
2003-01-29,1023739340
2003-01-30,1030301824
2003-01-31,1015864422
2003-02-03,1031614258
2003-02-04,1048020389
2003-02-05,1022426906
2003-02-06,1015864422
2003-02-07,1007989504
2003-02-10,1046707798
2003-02-11,1019145585
2003-02-12,1015864422
2003-02-13,991583372
2003-02-14,992239668
2003-02-18,1009958233
2003-02-19,992895963
2003-02-20,993552101
2003-02-21,1064426363
2003-02-24,1104457249
2003-02-25,1116269626
2003-02-26,1111019733
2003-02-27,1105769683
2003-02-28,1168112889
2003-03-03,1139238084
2003-03-04,1175987807
2003-03-05,1163519134
2003-03-06,1152363053
2003-03-07,1158925379
2003-03-10,1149081732
2003-03-11,1142519405
2003-03-12,1034895421
2003-03-13,1061801496
2003-03-14,1030301824
2003-03-17,1037520446
2003-03-18,1051301553
2003-03-19,1053926578
2003-03-20,1062457634
2003-03-21,1052613986
2003-03-24,1038832880
2003-03-25,1051301553
2003-03-26,1049989119
2003-03-27,1050645257
2003-03-28,1072301281
2003-03-31,1084917278
2003-04-01,1100669253
2003-04-02,1083604666
2003-04-03,1091480653
2003-04-04,1084917278
2003-04-07,1059976703
2003-04-08,1058007706
2003-04-09,1071790684
2003-04-10,1088198887
2003-04-11,1077041290
2003-04-14,1089511656
2003-04-15,1095418647
2003-04-16,1109857852
2003-04-17,1125609827
2003-04-21,1137423808
2003-04-22,1132829587
2003-04-23,1128235209
2003-04-24,1125609827
2003-04-25,1118390225
2003-04-28,1109201625
2003-04-29,1117077612
2003-04-30,1128891594
2003-05-01,1130204206
2003-05-02,1143987184
2003-05-05,1149237790
2003-05-06,1173522137
2003-05-07,1182054509
2003-05-08,1177460131
2003-05-09,1247031406
2003-05-12,1269346599
2003-05-13,1248344018
2003-05-14,1294287331
2003-05-15,1378297812
2003-05-16,1378297812
2003-05-19,1376985200
2003-05-20,1342199483
2003-05-21,1415708753
2003-05-22,1385517415
2003-05-23,1399300393
2003-05-27,1414396141
2003-05-28,1416365137
2003-05-29,1439993100
2003-05-30,1466902671
2003-06-02,1416365137
2003-06-03,1433429725
2003-06-04,1478060268
2003-06-05,1510876987
2003-06-06,1506282609
2003-06-09,1503001000
2003-06-10,1514814981
2003-06-11,1575197500
2003-06-12,1573884887
2003-06-13,1541724553
2003-06-16,1529254187
2003-06-17,1504313612
2003-06-18,1552225922
2003-06-19,1539099171
2003-06-20,1450494312
2003-06-23,1438680330
2003-06-24,1449838084
2003-06-25,1437367718
2003-06-26,1447869087
2003-06-27,1497094009
2003-06-30,1506540027
2003-07-01,1503889947
2003-07-02,1517140186
2003-07-03,1499914908
2003-07-07,1490639868
2003-07-08,1487989789
2003-07-09,1458839551
2003-07-10,1424389154
2003-07-11,1396563877
2003-07-14,1417101635
2003-07-15,1401864036
2003-07-16,1384638758
2003-07-17,1381326278
2003-07-18,1391263877
2003-07-21,1374701159
2003-07-22,1348863401
2003-07-23,1324350763
2003-07-24,1287250286
2003-07-25,1332963242
2003-07-28,1310438124
2003-07-29,1272012688
2003-07-30,1244187410
2003-07-31,1235574771
2003-08-01,1235574771
2003-08-04,1224974771
2003-08-05,1236899890
2003-08-06,1226299732
2003-08-07,1232262291
2003-08-08,1279962767
2003-08-11,1280625326
2003-08-12,1290562926
2003-08-13,1302488044
2003-08-14,1290562926
2003-08-15,1284600366
2003-08-18,1272012688
2003-08-19,1273337648
2003-08-20,1289900366
2003-08-21,1292550445
2003-08-22,1285262767
2003-08-25,1278637807
2003-08-26,1278637807
2003-08-27,1279962767
2003-08-28,1310438124
2003-08-29,1338263401
2003-09-02,1329650762
2003-09-03,1301825485
2003-09-04,1277975247
2003-09-05,1275325168
2003-09-08,1282612846
2003-09-09,1299837965
2003-09-10,1568550645
2003-09-11,1574910709
2003-09-12,1556625526
2003-09-15,1516080122
2003-09-16,1469969662
2003-09-17,1470764670
2003-09-18,1500179963
2003-09-19,1508130043
2003-09-22,1486664829
2003-09-23,1495409916
2003-09-24,1506540027
2003-09-25,1473944702
2003-09-26,1477124733
2003-09-29,1480304765
2003-09-30,1670569567
2003-10-01,1704736222
2003-10-02,1814429164
2003-10-03,1969078231
2003-10-06,1950196659
2003-10-07,1962784373
2003-10-08,1993354538
2003-10-09,2004144007
2003-10-10,1967279986
2003-10-13,1998749273
2003-10-14,2059889601
2003-10-15,1969078231
2003-10-16,2014034355
2003-10-17,1998749273
2003-10-20,1959187883
2003-10-21,1946600169
2003-10-22,1894451065
2003-10-23,1917828249
2003-10-24,1939407189
2003-10-27,1917828249
2003-10-28,1902543167
2003-10-29,1928617719
2003-10-30,1949297536
2003-10-31,1951095781
2003-11-03,1953793149
2003-11-04,1958288761
2003-11-05,1946600169
2003-11-06,1949297536
2003-11-07,1937608944
2003-11-10,1883661595
2003-11-11,1881863350
2003-11-12,1912433514
2003-11-13,1925021229
2003-11-14,1944801924
2003-11-17,1914231759
2003-11-18,1915130882
2003-11-19,1931315087
2003-11-20,1905240535
2003-11-21,1878266860
2003-11-24,1837806349
2003-11-25,1864780023
2003-11-26,1865679146
2003-11-28,1910635270
2003-12-01,1788354612
2003-12-02,1796446715
2003-12-03,1827016879
2003-12-04,1863880901
2003-12-05,1978069456
2003-12-08,2120130807
2003-12-09,2073376438
2003-12-10,2074275561
2003-12-11,2054494866
2003-12-12,2067981704
2003-12-15,2121929052
2003-12-16,2177674646
2003-12-17,2232521117
2003-12-18,2301753548
2003-12-19,2408749123
2003-12-22,2326029855
2003-12-23,2247806200
2003-12-24,2244209710
2003-12-26,2274779874
2003-12-29,2328727223
2003-12-30,2319735998
2003-12-31,2329117225
2004-01-02,2365088147
2004-01-05,2379476516
2004-01-06,2369584513
2004-01-07,2354296871
2004-01-08,2363289601
2004-01-09,2430735081
2004-01-12,2454116180
2004-01-13,2401958343
2004-01-14,2420843077
2004-01-15,2309333218
2004-01-16,2327318679
2004-01-20,2450519088
2004-01-21,2481993645
2004-01-22,2471202368
2004-01-23,2398361251
2004-01-26,2334512863
2004-01-27,2335412136
2004-01-28,2068328038
2004-01-29,2003580377
2004-01-30,2077320768
2004-02-02,2000882558
2004-02-03,1999983285
2004-02-04,1953221086
2004-02-05,2018868019
2004-02-06,2097104775
2004-02-09,2137572063
2004-02-10,2112392417
2004-02-11,2068328038
2004-02-12,2166348801
2004-02-13,2144766248
2004-02-17,2238290646
2004-02-18,2142068428
2004-02-19,2091709137
2004-02-20,2060234580
2004-02-23,2037752753
2004-02-24,2043148392
2004-02-25,2151960432
2004-02-26,2211312454
2004-02-27,2268865930
2004-03-01,2383073609
2004-03-02,2297642668
2004-03-03,2309333218
2004-03-04,2294045576
2004-03-05,2347102686
2004-03-08,2300340487
2004-03-09,2292247029
2004-03-10,2230197188
2004-03-11,2239189919
2004-03-12,2286851391
2004-03-15,2249081923
2004-03-16,2248182650
2004-03-17,2244585557
2004-03-18,2230197188
2004-03-19,2251779742
2004-03-22,2194226266
2004-03-23,2181636443
2004-03-24,2157356070
2004-03-25,2257175380
2004-03-26,2249981196
2004-03-29,2279657207
2004-03-30,2311131764
2004-03-31,2414088148
2004-04-01,2433004511
2004-04-02,2510471518
2004-04-05,2560915151
2004-04-06,2570823722
2004-04-07,2547403464
2004-04-08,2535693335
2004-04-12,2563617489
2004-04-13,2434806069
2004-04-14,2427599836
2004-04-15,2476241910
2004-04-16,2517677752
2004-04-19,2567220606
2004-04-20,2508669960
2004-04-21,2493356714
2004-04-22,2611358784
2004-04-23,2698734363
2004-04-26,2779804487
2004-04-27,2772598254
2004-04-28,2655496963
2004-04-29,2572625280
2004-04-30,2578930735
2004-05-03,2664504755
2004-05-04,2687024234
2004-05-05,2702337480
2004-05-06,2633878263
2004-05-07,2504166064
2004-05-10,2368148411
2004-05-11,2444714640
2004-05-12,2512273077
2004-05-13,2521280868
2004-05-14,2527586322
2004-05-17,2498761389
2004-05-18,2553708918
2004-05-19,2575327618
2004-05-20,2543800347
2004-05-21,2543800347
2004-05-24,2647389951
2004-05-25,2709543713
2004-05-26,2731162413
2004-05-27,2729360854
2004-05-28,2778903708
2004-06-01,2849164483
2004-06-02,2837454354
2004-06-03,2766292800
2004-06-04,2763590462
2004-06-07,2841958249
2004-06-08,2823942666
2004-06-09,2742872542
2004-06-10,2793316175
2004-06-14,2818537991
2004-06-15,2926631490
2004-06-16,2987884473
2004-06-17,3037427327
2004-06-18,3009503173
2004-06-21,3076160831
2004-06-22,3131108360
2004-06-23,3196865238
2004-06-24,3186055888
2004-06-25,3287843934
2004-06-28,3129306801
2004-06-29,3242804976
2004-06-30,3252996864
2004-07-01,3223177726
2004-07-02,3227695777
2004-07-06,3270165458
2004-07-07,3335225395
2004-07-08,3361430092
2004-07-09,3421971978
2004-07-12,3407514215
2004-07-13,3361430092
2004-07-14,3468056101
2004-07-15,3478899424
2004-07-16,3433718912
2004-07-19,3434622522
2004-07-20,3434622522
2004-07-21,3274683509
2004-07-22,3264743797
2004-07-23,3226792167
2004-07-26,2880709445
2004-07-27,2959323536
2004-07-28,3070467595
2004-07-29,3109322835
2004-07-30,3238539100
2004-08-02,3159021399
2004-08-03,3199683859
2004-08-04,3095768682
2004-08-05,2966552417
2004-08-06,2872576952
2004-08-09,2945769382
2004-08-10,2943058551
2004-08-11,2936733280
2004-08-12,2896070819
2004-08-13,2902396090
2004-08-16,3050588170
2004-08-17,2986431843
2004-08-18,3046070119
2004-08-19,3068660375
2004-08-20,3053299000
2004-08-23,3021672642
2004-08-24,3008118488
2004-08-25,2741553468
2004-08-26,2801191744
2004-08-27,2892456378
2004-08-30,2811131456
2004-08-31,2898781649
2004-09-01,2952998264
2004-09-02,3030708744
2004-09-03,3022576252
2004-09-07,3040648457
2004-09-08,3011732929
2004-09-09,3124684209
2004-09-10,3084925359
2004-09-13,3167153891
2004-09-14,3131009481
2004-09-15,3092154241
2004-09-16,3103901174
2004-09-17,3094865072
2004-09-20,3133720312
