,ALB
2000-12-12,1024187141
2000-12-13,1032468977
2000-12-14,1037990202
2000-12-15,1001182039
2000-12-18,1024187141
2000-12-19,1063755916
2000-12-20,1024187141
2000-12-21,1058234692
2000-12-22,1047192243
2000-12-26,1055474079
2000-12-27,1089521630
2000-12-28,1173260202
2000-12-29,1139212651
2001-01-02,1075718569
2001-01-03,1043511426
2001-01-04,1084000406
2001-01-05,1066516528
2001-01-08,1072957957
2001-01-09,1040750814
2001-01-10,1086761018
2001-01-11,1043511426
2001-01-12,1058234692
2001-01-16,1072957957
2001-01-17,1066516528
2001-01-18,1084000406
2001-01-19,1049952855
2001-01-22,1116207549
2001-01-23,1116207549
2001-01-24,1098723671
2001-01-25,1121728773
2001-01-26,1086761018
2001-01-29,1090441834
2001-01-30,1109766120
2001-01-31,1153015712
2001-02-01,1133691426
2001-02-02,1121728773
2001-02-05,1127249998
2001-02-06,1120808569
2001-02-07,1128170202
2001-02-08,1120808569
2001-02-09,1127249998
2001-02-12,1125409589
2001-02-13,1115287344
2001-02-14,1118047957
2001-02-15,1127249998
2001-02-16,1121728773
2001-02-20,1099643875
2001-02-21,1049032651
2001-02-22,1062835712
2001-02-23,1045351834
2001-02-26,1107005508
2001-02-27,1093202447
2001-02-28,1097803467
2001-03-01,1102404487
2001-03-02,1107005508
2001-03-05,1120808569
2001-03-06,1104244896
2001-03-07,1085840814
2001-03-08,1095963059
2001-03-09,1095963059
2001-03-12,1081239794
2001-03-13,1070197345
2001-03-14,1068356936
2001-03-15,1065596324
2001-03-16,1067436732
2001-03-19,1085840814
2001-03-20,1076638773
2001-03-21,1042591222
2001-03-22,1018665916
2001-03-23,1037069998
2001-03-26,1007623467
2001-03-27,1039830610
2001-03-28,1018665916
2001-03-29,1012224488
2001-03-30,1033389181
2001-04-02,1031723437
2001-04-03,1011366562
2001-04-04,1034499375
2001-04-05,1047453750
2001-04-06,1040976562
2001-04-09,1040976562
2001-04-10,1082615625
2001-04-11,1053930937
2001-04-12,1046528437
2001-04-16,1053005625
2001-04-17,1043752500
2001-04-18,1034499375
2001-04-19,1045603125
2001-04-20,1066885312
2001-04-23,1064109375
2001-04-24,1064109375
2001-04-25,1052080312
2001-04-26,1063184062
2001-04-27,1069661250
2001-04-30,1080765000
2001-05-01,1047453750
2001-05-02,1026171562
2001-05-03,1024320937
2001-05-04,1040976562
2001-05-07,1023395625
2001-05-08,1029872812
2001-05-09,1032648750
2001-05-10,1028022187
2001-05-11,1040051250
2001-05-14,1040051250
2001-05-15,1032648750
2001-05-16,1065034687
2001-05-17,1075213125
2001-05-18,1062258750
2001-05-21,1081690312
2001-05-22,1088167500
2001-05-23,1059482812
2001-05-24,1062258750
2001-05-25,1068735937
2001-05-29,1063184062
2001-05-30,1051155000
2001-05-31,1059482812
2001-06-01,1060408125
2001-06-04,1077989062
2001-06-05,1083540937
2001-06-06,1056706875
2001-06-07,1057632187
2001-06-08,1051155000
2001-06-11,1051155000
2001-06-12,1030798125
2001-06-13,1046528437
2001-06-14,1035424687
2001-06-15,1016918437
2001-06-18,1022470312
2001-06-19,1022470312
2001-06-20,1045603125
2001-06-21,1040976562
2001-06-22,991009687
2001-06-25,1000262812
2001-06-26,1046528437
2001-06-27,1047453750
2001-06-28,1038200625
2001-06-29,1072437187
2001-07-02,1043712000
2001-07-03,1034652000
2001-07-05,1031934000
2001-07-06,997506000
2001-07-09,986634000
2001-07-10,1008378000
2001-07-11,990258000
2001-07-12,976668000
2001-07-13,961266000
2001-07-16,947676000
2001-07-17,945864000
2001-07-18,946769999
2001-07-19,952206000
2001-07-20,947676000
2001-07-23,928650000
2001-07-24,933180000
2001-07-25,935898000
2001-07-26,951300000
2001-07-27,934086000
2001-07-30,936804000
2001-07-31,940428000
2001-08-01,969419999
2001-08-02,944958000
2001-08-03,927744000
2001-08-06,923214000
2001-08-07,912342000
2001-08-08,900564000
2001-08-09,928650000
2001-08-10,946769999
2001-08-13,942240000
2001-08-14,925932000
2001-08-15,944958000
2001-08-16,944958000
2001-08-17,943146000
2001-08-20,944958000
2001-08-21,956736000
2001-08-22,947676000
2001-08-23,947676000
2001-08-24,965796000
2001-08-27,978480000
2001-08-28,956736000
2001-08-29,938616000
2001-08-30,942240000
2001-08-31,957642000
2001-09-04,947676000
2001-09-05,933180000
2001-09-06,904188000
2001-09-07,889692000
2001-09-10,881538000
2001-09-17,828084000
2001-09-18,807246000
2001-09-19,811776000
2001-09-20,786408000
2001-09-21,796373999
2001-09-24,834426000
2001-09-25,826271999
2001-09-26,804528000
2001-09-27,828990000
2001-09-28,856169999
2001-10-01,789075284
2001-10-02,812334053
2001-10-03,808026874
2001-10-04,752033540
2001-10-05,806304002
2001-10-08,806304002
2001-10-09,826978464
2001-10-10,854544412
2001-10-11,893309028
2001-10-12,878664617
2001-10-15,892447592
2001-10-16,890724720
2001-10-17,860574464
2001-10-18,852821541
2001-10-19,863158771
2001-10-22,884694669
2001-10-23,891586156
2001-10-24,879526053
2001-10-25,874357438
2001-10-26,865743079
2001-10-29,874357438
2001-10-30,864020207
2001-10-31,858851592
2001-11-01,882971797
2001-11-02,878664617
2001-11-05,891586156
2001-11-06,904507695
2001-11-07,898477643
2001-11-08,889001848
2001-11-09,895031900
2001-11-12,898477643
2001-11-13,910537746
2001-11-14,922597848
2001-11-15,931212207
2001-11-16,939826566
2001-11-19,938965131
2001-11-20,942410874
2001-11-21,947579490
2001-11-23,953609541
2001-11-26,969115387
2001-11-27,969115387
2001-11-28,973422567
2001-11-29,976006874
2001-11-30,959639592
2001-12-03,947579490
2001-12-04,957916720
2001-12-05,976868310
2001-12-06,975145438
2001-12-07,976006874
2001-12-10,968253951
2001-12-11,1014771490
2001-12-12,1004434259
2001-12-13,974284002
2001-12-14,989789849
2001-12-17,1017355797
2001-12-18,1032000208
2001-12-19,1007880002
2001-12-20,1010464310
2001-12-21,1018217233
2001-12-24,1023385849
2001-12-26,1036307387
2001-12-27,1046644618
2001-12-28,1039753131
2001-12-31,1042512000
2002-01-02,1038168199
2002-01-03,1051199600
2002-01-04,1060755960
2002-01-07,1038168199
2002-01-08,1038168199
2002-01-09,1028611840
2002-01-10,1048593320
2002-01-11,1022530520
2002-01-14,999074000
2002-01-15,994730199
2002-01-16,973011199
2002-01-17,980830039
2002-01-18,986042600
2002-01-22,987780119
2002-01-23,1020793000
2002-01-24,989517640
2002-01-25,1031218119
2002-01-28,1022530520
2002-01-29,994730199
2002-01-30,1014711680
2002-01-31,1019055480
2002-02-01,1004286560
2002-02-04,1013842920
2002-02-05,1032086880
2002-02-06,1033824400
2002-02-07,999074000
2002-02-08,1031218119
2002-02-11,1032955640
2002-02-12,1038168199
2002-02-13,1048593320
2002-02-14,1053805880
2002-02-15,1072918600
2002-02-19,1023399280
2002-02-20,1058149680
2002-02-21,1021661760
2002-02-22,1045987039
2002-02-25,1046855800
2002-02-26,1043380760
2002-02-27,1044249520
2002-02-28,1030349360
2002-03-01,1053805880
2002-03-04,1092031320
2002-03-05,1089425040
2002-03-06,1107669000
2002-03-07,1107669000
2002-03-08,1117225360
2002-03-11,1125044200
2002-03-12,1106800240
2002-03-13,1117225360
2002-03-14,1131125520
2002-03-15,1147631960
2002-03-18,1161532120
2002-03-19,1139813120
2002-03-20,1145025680
2002-03-21,1137206840
2002-03-22,1131994280
2002-03-25,1131125520
2002-03-26,1131125520
2002-03-27,1170219720
2002-03-28,1197151280
2002-04-01,1150321520
2002-04-02,1123686000
2002-04-03,1126183080
2002-04-04,1122021280
2002-04-05,1138668480
2002-04-08,1125350720
2002-04-09,1137003760
2002-04-10,1200263120
2002-04-11,1171962880
2002-04-12,1208586720
2002-04-15,1198598400
2002-04-16,1221072120
2002-04-17,1233557520
2002-04-18,1176957040
2002-04-19,1191939520
2002-04-22,1174459960
2002-04-23,1174459960
2002-04-24,1182783560
2002-04-25,1196101320
2002-04-26,1194436600
2002-04-29,1185280640
2002-04-30,1233557520
2002-05-01,1222736840
2002-05-02,1266019560
2002-05-03,1261025400
2002-05-06,1269349000
2002-05-07,1275175520
2002-05-08,1310967000
2002-05-09,1309302280
2002-05-10,1264354840
2002-05-13,1294319800
2002-05-14,1353417360
2002-05-15,1305140480
2002-05-16,1321787680
2002-05-17,1310134640
2002-05-20,1323452400
2002-05-21,1310134640
2002-05-22,1309302280
2002-05-23,1352585000
2002-05-24,1323452400
2002-05-28,1295984520
2002-05-29,1290158000
2002-05-30,1322620040
2002-05-31,1326781840
2002-06-03,1310967000
2002-06-04,1305140480
2002-06-05,1342596680
2002-06-06,1333440720
2002-06-07,1352585000
2002-06-10,1369232200
2002-06-11,1347590840
2002-06-12,1325949480
2002-06-13,1295984520
2002-06-14,1338434879
2002-06-17,1342596680
2002-06-18,1346758480
2002-06-19,1311799360
2002-06-20,1310967000
2002-06-21,1310134640
2002-06-24,1300146320
2002-06-25,1267684280
2002-06-26,1244378200
2002-06-27,1256863600
2002-06-28,1280169680
2002-07-01,1311665636
2002-07-02,1290898289
2002-07-03,1277607187
2002-07-05,1314157718
2002-07-08,1306681473
2002-07-09,1266808167
2002-07-10,1246040820
2002-07-11,1248532901
2002-07-12,1244379432
2002-07-15,1236072493
2002-07-16,1216135840
2002-07-17,1210320983
2002-07-18,1193707105
2002-07-19,1157156574
2002-07-22,1123928819
2002-07-23,1098177309
2002-07-24,1158817962
2002-07-25,1200352656
2002-07-26,1158817962
2002-07-29,1241887350
2002-07-30,1212813064
2002-07-31,1227765554
2002-08-01,1225273473
2002-08-02,1176262534
2002-08-05,1180416003
2002-08-06,1215305146
2002-08-07,1244379432
2002-08-08,1277607187
2002-08-09,1275115105
2002-08-12,1281760656
2002-08-13,1260993309
2002-08-14,1291728983
2002-08-15,1281760656
2002-08-16,1290067595
2002-08-19,1287575514
2002-08-20,1280099269
2002-08-21,1287575514
2002-08-22,1287575514
2002-08-23,1266808167
2002-08-26,1277607187
2002-08-27,1264316085
2002-08-28,1246040820
2002-08-29,1255178452
2002-08-30,1280929962
2002-09-03,1249363595
2002-09-04,1275115105
2002-09-05,1204506126
2002-09-06,1211982370
2002-09-09,1225273473
2002-09-10,1231088330
2002-09-11,1226934860
2002-09-12,1202844738
2002-09-13,1202014044
2002-09-16,1203675432
2002-09-17,1186230860
2002-09-18,1167124901
2002-09-19,1115621880
2002-09-20,1124759513
2002-09-23,1120606044
2002-09-24,1075748574
2002-09-25,1082394125
2002-09-26,1099008003
2002-09-27,1063288166
2002-09-30,1040643767
2002-10-01,1130382826
2002-10-02,1094981179
2002-10-03,1083455061
2002-10-04,1050523297
2002-10-07,1020061414
2002-10-08,1029117650
2002-10-09,974780238
2002-10-10,1030764238
2002-10-11,1077692003
2002-10-14,1062872708
2002-10-15,1126266356
2002-10-16,1090864709
2002-10-17,1136145885
2002-10-18,1120503297
2002-10-21,1150141885
2002-10-22,1122149885
2002-10-23,1132852709
2002-10-24,1102390826
2002-10-25,1142732238
2002-10-28,1135322591
2002-10-29,1143555532
2002-10-30,1148495297
2002-10-31,1157551532
2002-11-01,1182250356
2002-11-04,1174017415
2002-11-05,1192953179
2002-11-06,1218475297
2002-11-07,1204479297
2002-11-08,1181427062
2002-11-11,1155081650
2002-11-12,1170724238
2002-11-13,1187190121
2002-11-14,1205302591
2002-11-15,1234117885
2002-11-18,1224238356
2002-11-19,1230001415
2002-11-20,1229178121
2002-11-21,1271166121
2002-11-22,1246467297
2002-11-25,1261286591
2002-11-26,1233294591
2002-11-27,1272812709
2002-11-29,1281868944
2002-12-02,1282692238
2002-12-03,1257170121
2002-12-04,1276105886
2002-12-05,1248113885
2002-12-06,1275282591
2002-12-09,1251407062
2002-12-10,1266226356
2002-12-11,1243174121
2002-12-12,1237411062
2002-12-13,1210242356
2002-12-16,1212712238
2002-12-17,1212712238
2002-12-18,1184720238
2002-12-19,1158374826
2002-12-20,1146848709
2002-12-23,1154258356
2002-12-24,1149318591
2002-12-26,1169900944
2002-12-27,1153435062
2002-12-30,1162491297
2002-12-31,1180378500
2003-01-02,1186185000
2003-01-03,1197798000
2003-01-06,1227660000
2003-01-07,1213558500
2003-01-08,1190332500
2003-01-09,1221853500
2003-01-10,1206093000
2003-01-13,1221853500
2003-01-14,1202775000
2003-01-15,1163788500
2003-01-16,1211899500
2003-01-17,1196968500
2003-01-21,1177890000
2003-01-22,1164618000
2003-01-23,1171254000
2003-01-24,1153834500
2003-01-27,1095769500
2003-01-28,1084986000
2003-01-29,1100746500
2003-01-30,1071714000
2003-01-31,1089133500
2003-02-03,1112359500
2003-02-04,1101576000
2003-02-05,1064248500
2003-02-06,1075032000
2003-02-07,1070884500
2003-02-10,1073373000
2003-02-11,1042681500
2003-02-12,1035216000
2003-02-13,1044340500
2003-02-14,1039363500
2003-02-18,1036045500
2003-02-19,1028580000
2003-02-20,1003695000
2003-02-21,1027750500
2003-02-24,995400000
2003-02-25,1002865500
2003-02-26,986275500
2003-02-27,985446000
2003-02-28,1016137500
2003-03-03,1000377000
2003-03-04,965538000
2003-03-05,958902000
2003-03-06,956413500
2003-03-07,948118500
2003-03-10,937335000
2003-03-11,933187500
2003-03-12,924063000
2003-03-13,964708500
2003-03-14,949777500
2003-03-17,979639500
2003-03-18,1010331000
2003-03-19,1011160500
2003-03-20,1007013000
2003-03-21,1060101000
2003-03-24,1020285000
2003-03-25,995400000
2003-03-26,1010331000
2003-03-27,996229500
2003-03-28,1002865500
2003-03-31,1000221600
2003-04-01,998579200
2003-04-02,1022394000
2003-04-03,1013360800
2003-04-04,996115600
2003-04-07,1019109200
2003-04-08,1008433600
2003-04-09,991188400
2003-04-10,998579200
2003-04-11,987082400
2003-04-14,1009254799
2003-04-15,1012539600
2003-04-16,1015003200
2003-04-17,1011718400
2003-04-21,1010076000
2003-04-22,1031427200
2003-04-23,1030606000
2003-04-24,1061811600
2003-04-25,1053599600
2003-04-28,1086447600
2003-04-29,1087268800
2003-04-30,1108620000
2003-05-01,1073308400
2003-05-02,1093838400
2003-05-05,1100408000
2003-05-06,1096302000
2003-05-07,1087268800
2003-05-08,1065917600
2003-05-09,1086447600
2003-05-12,1106977600
2003-05-13,1090553600
2003-05-14,1075772000
2003-05-15,1068381200
2003-05-16,1066738800
2003-05-19,1058526800
2003-05-20,1064275200
2003-05-21,1051957200
2003-05-22,1060169200
2003-05-23,1062632800
2003-05-27,1079056800
2003-05-28,1083162800
2003-05-29,1074129600
2003-05-30,1099586800
2003-06-02,1108620000
2003-06-03,1114368400
2003-06-04,1133256000
2003-06-05,1130792400
2003-06-06,1117653200
2003-06-09,1095480800
2003-06-10,1107798800
2003-06-11,1103692800
2003-06-12,1116010800
2003-06-13,1114368400
2003-06-16,1152143600
2003-06-17,1169388800
2003-06-18,1161176800
2003-06-19,1148037600
2003-06-20,1155428400
2003-06-23,1139825600
2003-06-24,1155428400
2003-06-25,1141468000
2003-06-26,1164461600
2003-06-27,1157070800
2003-06-30,1149045328
2003-07-01,1165471995
2003-07-02,1173685328
2003-07-03,1163007995
2003-07-07,1186826661
2003-07-08,1195861328
2003-07-09,1183541328
2003-07-10,1166293328
2003-07-11,1172042661
2003-07-14,1170399995
2003-07-15,1167114661
2003-07-16,1160543995
2003-07-17,1149866662
2003-07-18,1170399995
2003-07-21,1154794661
2003-07-22,1175327995
2003-07-23,1140010662
2003-07-24,1125226662
2003-07-25,1130154662
2003-07-28,1127690662
2003-07-29,1117013328
2003-07-30,1125226662
2003-07-31,1120298662
2003-08-01,1106335995
2003-08-04,1107157328
2003-08-05,1091551995
2003-08-06,1104693328
2003-08-07,1083338662
2003-08-08,1093194662
2003-08-11,1101407995
2003-08-12,1113727995
2003-08-13,1103871995
2003-08-14,1114549328
2003-08-15,1126047995
2003-08-18,1124405328
2003-08-19,1146581328
2003-08-20,1149866662
2003-08-21,1149866662
2003-08-22,1148223995
2003-08-25,1135082662
2003-08-26,1141653328
2003-08-27,1147402662
2003-08-28,1153151995
2003-08-29,1148223995
2003-09-02,1166293328
2003-09-03,1179434661
2003-09-04,1181077328
2003-09-05,1160543995
2003-09-08,1174506661
2003-09-09,1186005328
2003-09-10,1159722661
2003-09-11,1161365328
2003-09-12,1164650661
2003-09-15,1155615995
2003-09-16,1170399995
2003-09-17,1155615995
2003-09-18,1165471995
2003-09-19,1161365328
2003-09-22,1161365328
2003-09-23,1165471995
2003-09-24,1155615995
2003-09-25,1136725328
2003-09-26,1128511995
2003-09-29,1142474662
2003-09-30,1132267337
2003-10-01,1174325338
2003-10-02,1175150004
2003-10-03,1185870671
2003-10-06,1183396671
2003-10-07,1186695338
2003-10-08,1165254004
2003-10-09,1166903338
2003-10-10,1164429338
2003-10-13,1170202004
2003-10-14,1166078671
2003-10-15,1167728004
2003-10-16,1171851338
2003-10-17,1175974671
2003-10-20,1163604671
2003-10-21,1147936004
2003-10-22,1100930004
2003-10-23,1086910671
2003-10-24,1066294004
2003-10-27,1075365337
2003-10-28,1099280671
2003-10-29,1091858671
2003-10-30,1117423337
2003-10-31,1105878004
2003-11-03,1123196004
2003-11-04,1115774004
2003-11-05,1121546671
2003-11-06,1135566004
2003-11-07,1136390671
2003-11-10,1115774004
2003-11-11,1105878004
2003-11-12,1133916671
2003-11-13,1135566004
2003-11-14,1127319337
2003-11-17,1120722004
2003-11-18,1104228671
2003-11-19,1117423337
2003-11-20,1100105337
2003-11-21,1109176671
2003-11-24,1146286671
2003-11-25,1150410004
2003-11-26,1167728004
2003-11-28,1166903338
2003-12-01,1180922671
2003-12-02,1175150004
2003-12-03,1156182671
2003-12-04,1169377338
2003-12-05,1152884004
2003-12-08,1210610671
2003-12-09,1195766671
2003-12-10,1197416004
2003-12-11,1219682004
2003-12-12,1236175338
2003-12-15,1225454671
2003-12-16,1232052004
2003-12-17,1222156004
2003-12-18,1235350671
2003-12-19,1238649338
2003-12-22,1242772671
2003-12-23,1251019338
2003-12-24,1249370005
2003-12-26,1255142671
2003-12-29,1254318005
2003-12-30,1251844005
2003-12-31,1236175338
2004-01-02,1247720671
2004-01-05,1255967338
2004-01-06,1255142671
2004-01-07,1257616671
2004-01-08,1256792005
2004-01-09,1228753338
2004-01-12,1244422005
2004-01-13,1251019338
2004-01-14,1264214005
2004-01-15,1256792005
2004-01-16,1246071338
2004-01-20,1250194671
2004-01-21,1262564671
2004-01-22,1249370005
2004-01-23,1253493338
2004-01-26,1250194671
2004-01-27,1249370005
2004-01-28,1248545338
2004-01-29,1237000005
2004-01-30,1220506671
2004-02-02,1212260004
2004-02-03,1199065338
2004-02-04,1188344671
2004-02-05,1185870671
2004-02-06,1199890004
2004-02-09,1201539338
2004-02-10,1191643338
2004-02-11,1199890004
2004-02-12,1192468004
2004-02-13,1185046004
2004-02-17,1198240671
2004-02-18,1171851338
2004-02-19,1152884004
2004-02-20,1139689337
2004-02-23,1132267337
2004-02-24,1144637337
2004-02-25,1139689337
2004-02-26,1142163337
2004-02-27,1165254004
2004-03-01,1186695338
2004-03-02,1198240671
2004-03-03,1192468004
2004-03-04,1204013338
2004-03-05,1208961338
2004-03-08,1198240671
2004-03-09,1186695338
2004-03-10,1167728004
2004-03-11,1165254004
2004-03-12,1188344671
2004-03-15,1154533338
2004-03-16,1157832004
2004-03-17,1178448671
2004-03-18,1171026671
2004-03-19,1158656671
2004-03-22,1130618004
2004-03-23,1142163337
2004-03-24,1133092004
2004-03-25,1172676004
2004-03-26,1159481338
2004-03-29,1182572004
2004-03-30,1204838004
2004-03-31,1204544000
2004-04-01,1232788480
2004-04-02,1236111360
2004-04-05,1233619200
2004-04-06,1214512640
2004-04-07,1210359040
2004-04-08,1202882560
2004-04-12,1231127040
2004-04-13,1207866880
2004-04-14,1192913920
2004-04-15,1207036160
2004-04-16,1223650560
2004-04-19,1225312000
2004-04-20,1204544000
2004-04-21,1192913920
2004-04-22,1241926400
2004-04-23,1233619200
2004-04-26,1251895040
2004-04-27,1270170880
2004-04-28,1240264960
2004-04-29,1227804160
2004-04-30,1215343360
2004-05-03,1221158400
2004-05-04,1209528320
2004-05-05,1201221120
2004-05-06,1187929600
2004-05-07,1157192960
2004-05-10,1153039360
2004-05-11,1168823040
2004-05-12,1177130240
2004-05-13,1168823040
2004-05-14,1148055040
2004-05-17,1136424960
2004-05-18,1140578560
2004-05-19,1138917120
2004-05-20,1152208640
2004-05-21,1155531520
2004-05-24,1155531520
2004-05-25,1190421760
2004-05-26,1189591040
2004-05-27,1196236800
2004-05-28,1195406080
2004-06-01,1212020480
2004-06-02,1203713280
2004-06-03,1194575360
2004-06-04,1202882560
2004-06-07,1230296320
2004-06-08,1227804160
2004-06-09,1199559680
2004-06-10,1208697600
2004-06-14,1194575360
2004-06-15,1212851200
2004-06-16,1223650560
2004-06-17,1231127040
2004-06-18,1254387200
2004-06-21,1240264960
2004-06-22,1251064320
2004-06-23,1261032960
2004-06-24,1264355840
2004-06-25,1287616000
2004-06-28,1302568960
2004-06-29,1306722560
2004-06-30,1308314000
2004-07-01,1291774000
2004-07-02,1292601000
2004-07-06,1270272000
2004-07-07,1281850000
2004-07-08,1261175000
2004-07-09,1272753000
2004-07-12,1271099000
2004-07-13,1278542000
2004-07-14,1277715000
2004-07-15,1278542000
2004-07-16,1271926000
2004-07-19,1261175000
2004-07-20,1271926000
2004-07-21,1240500000
2004-07-22,1281850000
2004-07-23,1266137000
2004-07-26,1262829000
2004-07-27,1271099000
2004-07-28,1266964000
2004-07-29,1291774000
2004-07-30,1273580000
2004-08-02,1297563000
2004-08-03,1301698000
2004-08-04,1313276000
2004-08-05,1267791000
2004-08-06,1255386000
2004-08-09,1281023000
2004-08-10,1319065000
2004-08-11,1313276000
2004-08-12,1290947000
2004-08-13,1284331000
2004-08-16,1319065000
2004-08-17,1312449000
2004-08-18,1334778000
2004-08-19,1311622000
2004-08-20,1328989000
2004-08-23,1312449000
2004-08-24,1329815999
2004-08-25,1348837000
2004-08-26,1352972000
2004-08-27,1353799000
2004-08-30,1364550000
2004-08-31,1375301000
2004-09-01,1394322000
2004-09-02,1416651000
2004-09-03,1418305000
2004-09-07,1446422999
2004-09-08,1407554000
2004-09-09,1423267000
2004-09-10,1414170000
2004-09-13,1405900000
2004-09-14,1390187000
2004-09-15,1398457000
2004-09-16,1428229000
2004-09-17,1424921000
2004-09-20,1418305000
2004-09-21,1428229000
2004-09-22,1422440000
2004-09-23,1414997000
2004-09-24,1410862000
