,ODFL
2000-09-26,157707423
2000-09-27,85080547
2000-09-28,86118668
2000-09-29,84044317
2000-10-02,82091092
2000-10-03,82221762
2000-10-04,82091092
2000-10-05,76116251
2000-10-06,82091092
2000-10-09,77674823
2000-10-10,74817126
2000-10-11,74298233
2000-10-12,70660303
2000-10-13,75076572
2000-10-16,74817126
2000-10-17,74817126
2000-10-18,70660303
2000-10-19,77674823
2000-10-20,82091092
2000-10-23,74817126
2000-10-24,77934269
2000-10-25,76896484
2000-10-26,78455056
2000-10-27,76116251
2000-10-30,78455056
2000-10-31,78973948
2000-11-01,75076572
2000-11-02,150151251
2000-11-03,75856805
2000-11-06,82091092
2000-11-07,83130771
2000-11-08,83130771
2000-11-09,82091092
2000-11-10,81572199
2000-11-13,81572199
2000-11-14,85208236
2000-11-15,82091092
2000-11-16,84689343
2000-11-17,86247915
2000-11-20,85208236
2000-11-21,85208236
2000-11-22,85208236
2000-11-24,170412684
2000-11-27,84689343
2000-11-28,86247915
2000-11-29,82091092
2000-11-30,85208236
2000-12-01,85208236
2000-12-04,81051413
2000-12-05,162100933
2000-12-06,83130771
2000-12-07,85729022
2000-12-08,85208236
2000-12-11,84170450
2000-12-12,85208236
2000-12-13,86247915
2000-12-14,172492042
2000-12-15,86247915
2000-12-18,86247915
2000-12-19,84170450
2000-12-20,83130771
2000-12-21,78973948
2000-12-22,80013628
2000-12-26,160021574
2000-12-27,160021574
2000-12-28,160021574
2000-12-29,78973948
2001-01-02,84044317
2001-01-03,85600553
2001-01-04,86636783
2001-01-05,86118668
2001-01-08,85080547
2001-01-09,86118668
2001-01-10,87156789
2001-01-11,86118668
2001-01-12,81968075
2001-01-16,80670896
2001-01-17,79893723
2001-01-18,88193019
2001-01-19,87156789
2001-01-22,81968075
2001-01-23,78855602
2001-01-24,79893723
2001-01-25,80929954
2001-01-26,80411839
2001-01-29,78855602
2001-01-30,80411839
2001-01-31,81968075
2001-02-01,79373717
2001-02-02,79893723
2001-02-05,79373717
2001-02-06,79893723
2001-02-07,159781775
2001-02-08,159781775
2001-02-09,81968075
2001-02-12,83006196
2001-02-13,81968075
2001-02-14,85080547
2001-02-15,85080547
2001-02-16,81968075
2001-02-20,85080547
2001-02-21,84044317
2001-02-22,83006196
2001-02-23,81968075
2001-02-26,83524311
2001-02-27,86118668
2001-02-28,85080547
2001-03-01,83006196
2001-03-02,81449960
2001-03-05,78855602
2001-03-06,79373717
2001-03-07,80411839
2001-03-08,89231141
2001-03-09,85080547
2001-03-12,84562432
2001-03-13,80929954
2001-03-14,83524311
2001-03-15,83006196
2001-03-16,84562432
2001-03-19,79893723
2001-03-20,79893723
2001-03-21,81968075
2001-03-22,83006196
2001-03-23,83006196
2001-03-26,85080547
2001-03-27,84562432
2001-03-28,84562432
2001-03-29,83006196
2001-03-30,83006196
2001-04-02,166008610
2001-04-03,166008610
2001-04-04,80929954
2001-04-05,83006196
2001-04-06,81968075
2001-04-09,80515840
2001-04-10,78025484
2001-04-11,77611370
2001-04-12,82176077
2001-04-16,82922995
2001-04-17,83836315
2001-04-18,83006196
2001-04-19,82176077
2001-04-20,79602520
2001-04-23,80929954
2001-04-24,78855602
2001-04-25,71384534
2001-04-26,74705009
2001-04-27,78855602
2001-04-30,81345958
2001-05-01,82508881
2001-05-02,84666433
2001-05-03,84666433
2001-05-04,82176077
2001-05-07,164348373
2001-05-08,82259278
2001-05-09,84333629
2001-05-10,85080547
2001-05-11,86326671
2001-05-14,85496552
2001-05-15,85910666
2001-05-16,85080547
2001-05-17,87073588
2001-05-18,85496552
2001-05-21,85579753
2001-05-22,88817027
2001-05-23,88981538
2001-05-24,177961185
2001-05-25,177961185
2001-05-29,90560465
2001-05-30,87986908
2001-05-31,93381734
2001-06-01,91307383
2001-06-04,112058459
2001-06-05,106247628
2001-06-06,99606679
2001-06-07,97532327
2001-06-08,97532327
2001-06-11,98776560
2001-06-12,196656819
2001-06-13,97532327
2001-06-14,194765888
2001-06-15,91307383
2001-06-18,91307383
2001-06-19,80101726
2001-06-20,80929954
2001-06-21,83006196
2001-06-22,89978058
2001-06-25,90227661
2001-06-26,85579753
2001-06-27,80929954
2001-06-28,85080547
2001-06-29,80929954
2001-07-02,89198407
2001-07-03,81301390
2001-07-05,83130771
2001-07-06,83962136
2001-07-09,89365058
2001-07-10,86456229
2001-07-11,86122926
2001-07-12,172242065
2001-07-13,89365058
2001-07-16,87287594
2001-07-17,89531710
2001-07-18,90196423
2001-07-19,93438555
2001-07-20,93107146
2001-07-23,93107146
2001-07-24,99756168
2001-07-25,98676720
2001-07-26,196951961
2001-07-27,93521881
2001-07-30,96099300
2001-07-31,96015974
2001-08-01,89781687
2001-08-02,102250262
2001-08-03,93107146
2001-08-06,89781687
2001-08-07,90196423
2001-08-08,90613052
2001-08-09,90613052
2001-08-10,90613052
2001-08-13,99756168
2001-08-14,105575720
2001-08-15,95682671
2001-08-16,99922820
2001-08-17,107903162
2001-08-20,215889650
2001-08-21,99922820
2001-08-22,92275781
2001-08-23,92275781
2001-08-24,184545881
2001-08-27,105909023
2001-08-28,105909023
2001-08-29,97178749
2001-08-30,99508084
2001-08-31,198845730
2001-09-04,103912991
2001-09-05,95599345
2001-09-06,191270654
2001-09-07,92690516
2001-09-10,103663013
2001-09-17,87702329
2001-09-18,101418897
2001-09-19,91444416
2001-09-20,83130771
2001-09-21,83130771
2001-09-24,85208236
2001-09-25,99756168
2001-09-26,91525849
2001-09-27,87287594
2001-09-28,99589516
2001-10-01,103663013
2001-10-02,91444416
2001-10-03,93521881
2001-10-04,97262074
2001-10-05,85624865
2001-10-08,86039600
2001-10-09,86456229
2001-10-10,87494015
2001-10-11,91444416
2001-10-12,95267936
2001-10-15,95682671
2001-10-16,95599345
2001-10-17,191270654
2001-10-18,92523865
2001-10-19,185043942
2001-10-22,95599345
2001-10-23,92690516
2001-10-24,89865013
2001-10-25,96847339
2001-10-26,98385079
2001-10-29,93521881
2001-10-30,95434587
2001-10-31,101752200
2001-11-01,94686549
2001-11-02,94767981
2001-11-05,189376886
2001-11-06,189376886
2001-11-07,189376886
2001-11-08,95434587
2001-11-09,93605207
2001-11-12,93605207
2001-11-13,187204733
2001-11-14,96847339
2001-11-15,99756168
2001-11-16,102998300
2001-11-19,99922820
2001-11-20,100337555
2001-11-21,101004162
2001-11-23,96597362
2001-11-26,100587532
2001-11-27,98760046
2001-11-28,92690516
2001-11-29,100587532
2001-11-30,103912991
2001-12-03,208314574
2001-12-04,102998300
2001-12-05,105492394
2001-12-06,210208343
2001-12-07,103912991
2001-12-10,97845355
2001-12-11,100587532
2001-12-12,102914974
2001-12-13,102666891
2001-12-14,103746339
2001-12-17,96847339
2001-12-18,193164423
2001-12-19,98924803
2001-12-20,99756168
2001-12-21,96847339
2001-12-24,193164423
2001-12-26,99756168
2001-12-27,100754184
2001-12-28,103498255
2001-12-31,105412783
2002-01-02,111399197
2002-01-03,108073622
2002-01-04,215897258
2002-01-07,110734461
2002-01-08,114308129
2002-01-09,114224800
2002-01-10,110151160
2002-01-11,110151160
2002-01-14,111232540
2002-01-15,110151160
2002-01-16,103999981
2002-01-17,112147262
2002-01-18,112147262
2002-01-22,110899225
2002-01-23,109329235
2002-01-24,108073622
2002-01-25,108073622
2002-01-28,110151160
2002-01-29,105996084
2002-01-30,104748047
2002-01-31,113726721
2002-02-01,114141471
2002-02-04,114141471
2002-02-05,229154107
2002-02-06,108905016
2002-02-07,108905016
2002-02-08,217791093
2002-02-11,108073622
2002-02-12,107242228
2002-02-13,107075570
2002-02-14,214003422
2002-02-15,214003422
2002-02-19,103999981
2002-02-20,107656978
2002-02-21,108073622
2002-02-22,215897258
2002-02-25,110151160
2002-02-26,105996084
2002-02-27,109736410
2002-02-28,107242228
2002-03-01,109736410
2002-03-04,110067831
2002-03-05,107242228
2002-03-06,109319766
2002-03-07,109319766
2002-03-08,108905016
2002-03-11,112230591
2002-03-12,116304231
2002-03-13,122538738
2002-03-14,126779036
2002-03-15,123620118
2002-03-18,121874002
2002-03-19,116387560
2002-03-20,118631755
2002-03-21,118050348
2002-03-22,118050348
2002-03-25,122622067
2002-03-26,120542635
2002-03-27,117300389
2002-03-28,117052296
2002-04-01,118922906
2002-04-02,116020314
2002-04-03,115595914
2002-04-04,114032834
2002-04-05,119764127
2002-04-08,121425729
2002-04-09,122590934
2002-04-10,119764127
2002-04-11,116437135
2002-04-12,118017267
2002-04-15,117875169
2002-04-16,118100631
2002-04-17,117268883
2002-04-18,234935642
2002-04-19,118515558
2002-04-22,118932379
2002-04-23,118515558
2002-04-24,118515558
2002-04-25,118932379
2002-04-26,118182101
2002-04-29,117268883
2002-04-30,118932379
2002-05-01,121925914
2002-05-02,127996348
2002-05-03,129826572
2002-05-06,123255953
2002-05-07,124752720
2002-05-08,126582945
2002-05-09,123837608
2002-05-10,123506046
2002-05-13,246303496
2002-05-14,129826572
2002-05-15,128994824
2002-05-16,132071724
2002-05-17,132238452
2002-05-20,126249488
2002-05-21,128828096
2002-05-22,123098698
2002-05-23,128079712
2002-05-24,131573433
2002-05-28,117268883
2002-05-29,124661778
2002-05-30,116187043
2002-05-31,115605387
2002-06-03,117683810
2002-06-04,116395453
2002-06-05,115563705
2002-06-06,120844073
2002-06-07,119680763
2002-06-10,123837608
2002-06-11,118316621
2002-06-12,119347306
2002-06-13,119347306
2002-06-14,118932379
2002-06-17,120686818
2002-06-18,120593981
2002-06-19,125169542
2002-06-20,130160029
2002-06-21,133901948
2002-06-24,130991777
2002-06-25,130658320
2002-06-26,133153564
2002-06-27,130574956
2002-06-28,125169542
2002-07-01,121438504
2002-07-02,121023534
2002-07-03,128925023
2002-07-05,133167574
2002-07-08,267172668
2002-07-09,133084201
2002-07-10,122778157
2002-07-11,118944893
2002-07-12,119026371
2002-07-15,117281222
2002-07-16,118528027
2002-07-17,119359863
2002-07-18,121438504
2002-07-19,117281222
2002-07-22,115200685
2002-07-23,116449386
2002-07-24,112290209
2002-07-25,123185548
2002-07-26,125931174
2002-07-29,133091780
2002-07-30,135162842
2002-07-31,124765846
2002-08-01,135155263
2002-08-02,133084201
2002-08-05,133084201
2002-08-06,131005559
2002-08-07,125266084
2002-08-08,126005072
2002-08-09,124765846
2002-08-12,128925023
2002-08-13,128925023
2002-08-14,124765846
2002-08-15,128925023
2002-08-16,257698460
2002-08-19,133084201
2002-08-20,265277826
2002-08-21,132252365
2002-08-22,265277826
2002-08-23,128093188
2002-08-26,133076621
2002-08-27,129349468
2002-08-28,130264676
2002-08-29,132659756
2002-08-30,127261352
2002-09-03,134747872
2002-09-04,131503903
2002-09-05,131503903
2002-09-06,131670649
2002-09-09,131670649
2002-09-10,263382985
2002-09-11,131587276
2002-09-12,134747872
2002-09-13,132669230
2002-09-16,137658348
2002-09-17,137243378
2002-09-18,137243378
2002-09-19,274752034
2002-09-20,141319182
2002-09-23,133417693
2002-09-24,137160005
2002-09-25,139155273
2002-09-26,140570720
2002-09-27,135994677
2002-09-30,197313947
2002-10-01,202227448
2002-10-02,205644266
2002-10-03,208209313
2002-10-04,205644266
2002-10-07,212054451
2002-10-08,211735645
2002-10-09,206447364
2002-10-10,202867493
2002-10-11,211521485
2002-10-14,209501572
2002-10-15,212054451
2002-10-16,213658214
2002-10-17,245796747
2002-10-18,250664009
2002-10-21,250664009
2002-10-22,242180371
2002-10-23,245796747
2002-10-24,236091426
2002-10-25,235023062
2002-10-28,235130141
2002-10-29,237052710
2002-10-30,245796747
2002-10-31,248230378
2002-11-01,250664009
2002-11-04,242608690
2002-11-05,242501610
2002-11-06,235130141
2002-11-07,236519745
2002-11-08,235558460
2002-11-11,236081691
2002-11-12,235130141
2002-11-13,238975279
2002-11-14,245796747
2002-11-15,248230378
2002-11-18,255531271
2002-11-19,253097640
2002-11-20,255531271
2002-11-21,255531271
2002-11-22,253097640
2002-11-25,253097640
2002-11-26,250664009
2002-11-27,257964902
2002-11-29,262832165
2002-12-02,275000321
2002-12-03,279867583
2002-12-04,279867583
2002-12-05,284734845
2002-12-06,282301214
2002-12-09,277433952
2002-12-10,277433952
2002-12-11,275000321
2002-12-12,277433952
2002-12-13,275000321
2002-12-16,275000321
2002-12-17,267699427
2002-12-18,255531271
2002-12-19,272566689
2002-12-20,289602108
2002-12-23,292035739
2002-12-24,289602108
2002-12-26,299336632
2002-12-27,306637526
2002-12-30,304203895
2002-12-31,304203902
2003-01-02,309071164
2003-01-03,309071164
2003-01-06,309071164
2003-01-07,311504796
2003-01-08,321239321
2003-01-09,318805689
2003-01-10,323672952
2003-01-13,318805689
2003-01-14,326106583
2003-01-15,328540214
2003-01-16,338274739
2003-01-17,345575633
2003-01-21,323672952
2003-01-22,318805689
2003-01-23,321239321
2003-01-24,321239321
2003-01-27,321239321
2003-01-28,321239321
2003-01-29,335841108
2003-01-30,338274739
2003-01-31,330973845
2003-02-03,328540214
2003-02-04,330973845
2003-02-05,330973845
2003-02-06,326106583
2003-02-07,321239321
2003-02-10,326106583
2003-02-11,330973845
2003-02-12,321239321
2003-02-13,318805689
2003-02-14,313938427
2003-02-18,279867590
2003-02-19,292035746
2003-02-20,289602115
2003-02-21,294469377
2003-02-24,289602115
2003-02-25,289602115
2003-02-26,287168483
2003-02-27,289602115
2003-02-28,296903008
2003-03-03,292035746
2003-03-04,296903008
2003-03-05,306637533
2003-03-06,299336640
2003-03-07,289602115
2003-03-10,282301221
2003-03-11,287168483
2003-03-12,284734852
2003-03-13,299336640
2003-03-14,318805689
2003-03-17,326106583
2003-03-18,330973845
2003-03-19,318805689
2003-03-20,318805689
2003-03-21,311504796
2003-03-24,316372058
2003-03-25,318805689
2003-03-26,313938427
2003-03-27,321239321
2003-03-28,321239321
2003-03-31,336216101
2003-04-01,350834192
2003-04-02,360579586
2003-04-03,358143238
2003-04-04,353270541
2003-04-07,367888632
2003-04-08,348397844
2003-04-09,358143238
2003-04-10,358143238
2003-04-11,355706889
2003-04-14,358143238
2003-04-15,358143238
2003-04-16,355706889
2003-04-17,358143238
2003-04-21,358143238
2003-04-22,358143238
2003-04-23,375197678
2003-04-24,338652449
2003-04-25,326470707
2003-04-28,333779752
2003-04-29,345961495
2003-04-30,355706889
2003-05-01,350834192
2003-05-02,350834192
2003-05-05,350834192
2003-05-06,353270541
2003-05-07,350834192
2003-05-08,355706889
2003-05-09,367888632
2003-05-12,365452284
2003-05-13,384943072
2003-05-14,380070375
2003-05-15,375197678
2003-05-16,377634026
2003-05-19,365452284
2003-05-20,365452284
2003-05-21,372761329
2003-05-22,367888632
2003-05-23,384943072
2003-05-27,392252118
2003-05-28,406870209
2003-05-29,414179255
2003-05-30,421488300
2003-06-02,416615603
2003-06-03,397124815
2003-06-04,392252118
2003-06-05,365452284
2003-06-06,363015935
2003-06-09,358143238
2003-06-10,365452284
2003-06-11,370324981
2003-06-12,404433860
2003-06-13,392252118
2003-06-16,392252118
2003-06-17,399561163
2003-06-18,380070375
2003-06-19,363015935
2003-06-20,363015935
2003-06-23,353270541
2003-06-24,355706889
2003-06-25,358143238
2003-06-26,348397844
2003-06-27,343525146
2003-06-30,343774539
2003-07-01,343774539
2003-07-02,351088891
2003-07-03,341336422
2003-07-07,360841360
2003-07-08,399851237
2003-07-09,399851237
2003-07-10,431546762
2003-07-11,443737348
2003-07-14,458366052
2003-07-15,463242287
2003-07-16,470556638
2003-07-17,465680404
2003-07-18,475432873
2003-07-21,472994756
2003-07-22,482747225
2003-07-23,497375929
2003-07-24,494937811
2003-07-25,499814046
2003-07-28,507128398
2003-07-29,524195219
2003-07-30,514442750
2003-07-31,514442750
2003-08-01,509566515
2003-08-04,502252163
2003-08-05,494937811
2003-08-06,487623460
2003-08-07,504690281
2003-08-08,502252163
2003-08-11,494937811
2003-08-12,514442750
2003-08-13,507128398
2003-08-14,519318984
2003-08-15,519318984
2003-08-18,529071454
2003-08-19,546138275
2003-08-20,548576392
2003-08-21,555890744
2003-08-22,543700157
2003-08-25,548576392
2003-08-26,551014509
2003-08-27,553452627
2003-08-28,570519448
2003-08-29,572957565
2003-09-02,565643213
2003-09-03,563205096
2003-09-04,555890744
2003-09-05,551014509
2003-09-08,563205096
2003-09-09,560766979
2003-09-10,553452627
2003-09-11,548576392
2003-09-12,546138275
2003-09-15,538823923
2003-09-16,533947688
2003-09-17,533947688
2003-09-18,541262040
2003-09-19,514442750
2003-09-22,507128398
2003-09-23,507128398
2003-09-24,499814046
2003-09-25,487623460
2003-09-26,480309108
2003-09-29,472994756
2003-09-30,470729678
2003-10-01,480485734
2003-10-02,473168692
2003-10-03,478046720
2003-10-06,468290664
2003-10-07,475607706
2003-10-08,517070942
2003-10-09,529266011
2003-10-10,521948970
2003-10-13,548778123
2003-10-14,551217136
2003-10-15,543900095
2003-10-16,534144039
2003-10-17,529266011
2003-10-20,519509956
2003-10-21,504875873
2003-10-22,485363762
2003-10-23,497558831
2003-10-24,492680803
2003-10-27,504875873
2003-10-28,524387984
2003-10-29,539022067
2003-10-30,521948970
2003-10-31,514631928
2003-11-03,526826998
2003-11-04,521948970
2003-11-05,512192914
2003-11-06,514631928
2003-11-07,512192914
2003-11-10,504875873
2003-11-11,502436859
2003-11-12,507314887
2003-11-13,502436859
2003-11-14,502436859
2003-11-17,504875873
2003-11-18,497558831
2003-11-19,499997845
2003-11-20,497558831
2003-11-21,497558831
2003-11-24,514631928
2003-11-25,509753900
2003-11-26,524387984
2003-11-28,512192914
2003-12-01,524387984
2003-12-02,529266011
2003-12-03,536583053
2003-12-04,531705025
2003-12-05,543900095
2003-12-08,556095164
2003-12-09,551217136
2003-12-10,541461081
2003-12-11,529266011
2003-12-12,517070942
2003-12-15,514631928
2003-12-16,517070942
2003-12-17,526826998
2003-12-18,539022067
2003-12-19,534144039
2003-12-22,551217136
2003-12-23,560973192
2003-12-24,553656150
2003-12-26,553656150
2003-12-29,575607275
2003-12-30,570729247
2003-12-31,546339153
2004-01-02,551217182
2004-01-05,556095210
2004-01-06,553656196
2004-01-07,565851266
2004-01-08,570729294
2004-01-09,565851266
2004-01-12,570729294
2004-01-13,573168308
2004-01-14,560973238
2004-01-15,568290280
2004-01-16,543900139
2004-01-20,570729294
2004-01-21,558534224
2004-01-22,543900139
2004-01-23,553656196
2004-01-26,551217182
2004-01-27,524388027
2004-01-28,504875914
2004-01-29,499997886
2004-01-30,497558872
2004-02-02,495119858
2004-02-03,497558872
2004-02-04,490241830
2004-02-05,502436900
2004-02-06,502436900
2004-02-09,517070984
2004-02-10,524388027
2004-02-11,531705069
2004-02-12,521949013
2004-02-13,526827041
2004-02-17,534144083
2004-02-18,534144083
2004-02-19,534144083
2004-02-20,539022111
2004-02-23,534144083
2004-02-24,536583097
2004-02-25,529266055
2004-02-26,524388027
2004-02-27,536583097
2004-03-01,536583097
2004-03-02,539022111
2004-03-03,526827041
2004-03-04,519509999
2004-03-05,526827041
2004-03-08,524388027
2004-03-09,517070984
2004-03-10,524388027
2004-03-11,526827041
2004-03-12,534144083
2004-03-15,524388027
2004-03-16,502436900
2004-03-17,534144083
2004-03-18,529266055
2004-03-19,524388027
2004-03-22,507314928
2004-03-23,504875914
2004-03-24,514631970
2004-03-25,536583097
2004-03-26,526827041
2004-03-29,556095210
2004-03-30,546339153
2004-03-31,544003527
2004-04-01,568398304
2004-04-02,587914125
2004-04-05,578156214
2004-04-06,561079871
2004-04-07,556200915
2004-04-08,558640393
2004-04-12,553761437
2004-04-13,553761437
2004-04-14,561079871
2004-04-15,553761437
2004-04-16,570837781
2004-04-19,561079871
2004-04-20,580595692
2004-04-21,592793081
2004-04-22,607429947
2004-04-23,609869425
2004-04-26,607429947
2004-04-27,617187858
2004-04-28,597672036
2004-04-29,587914125
2004-04-30,597672036
2004-05-03,607429947
2004-05-04,609869425
2004-05-05,595232558
2004-05-06,587914125
2004-05-07,570837781
2004-05-10,565958826
2004-05-11,585474648
2004-05-12,583035170
2004-05-13,600111514
2004-05-14,600111514
2004-05-17,597672036
2004-05-18,597672036
2004-05-19,592793081
2004-05-20,595232558
2004-05-21,590353603
2004-05-24,622066813
2004-05-25,695251144
2004-05-26,697690622
2004-05-27,697690622
2004-05-28,668416889
2004-06-01,658658979
2004-06-02,653780023
2004-06-03,648901068
2004-06-04,653780023
2004-06-07,673295845
2004-06-08,683053756
2004-06-09,668416889
2004-06-10,653780023
2004-06-14,624506291
2004-06-15,644022112
2004-06-16,646461590
2004-06-17,648901068
2004-06-18,661098456
2004-06-21,663537934
2004-06-22,670856367
2004-06-23,697690622
2004-06-24,687932711
2004-06-25,697690622
2004-06-28,717206443
2004-06-29,700130099
2004-06-30,724820943
2004-07-01,712366975
2004-07-02,722330149
2004-07-06,697422213
2004-07-07,702403800
2004-07-08,704894594
2004-07-09,692440626
2004-07-12,702403800
2004-07-13,729802530
2004-07-14,722330149
2004-07-15,697422213
2004-07-16,697422213
2004-07-19,692440626
2004-07-20,722330149
2004-07-21,704894594
2004-07-22,704894594
2004-07-23,697422213
2004-07-26,694931419
2004-07-27,707385388
2004-07-28,694931419
2004-07-29,719839356
2004-07-30,714857768
2004-08-02,717348562
2004-08-03,722330149
2004-08-04,709876181
2004-08-05,694931419
2004-08-06,652587928
2004-08-09,652587928
2004-08-10,684968245
2004-08-11,712366975
2004-08-12,692440626
2004-08-13,675005071
2004-08-16,667532690
2004-08-17,670023483
2004-08-18,684968245
2004-08-19,672514277
2004-08-20,689949832
2004-08-23,650097134
2004-08-24,650097134
2004-08-25,660060309
2004-08-26,670023483
2004-08-27,694931419
2004-08-30,677495864
2004-08-31,692440626
2004-09-01,684968245
2004-09-02,704894594
2004-09-03,707385388
2004-09-07,719839356
2004-09-08,714857768
2004-09-09,717348562
2004-09-10,717348562
2004-09-13,722330149
2004-09-14,712366975
2004-09-15,709876181
2004-09-16,707385388
2004-09-17,694931419
2004-09-20,692440626
2004-09-21,712366975
2004-09-22,682477451
2004-09-23,682477451
2004-09-24,687459039
2004-09-27,670023483
2004-09-28,699913007
2004-09-29,707385388
2004-09-30,716912159
2004-10-01,721943121
2004-10-04,726974084
2004-10-05,732005046
2004-10-06,729489565
2004-10-07,709365715
2004-10-08,701819271
2004-10-11,714396677
2004-10-12,711881196
2004-10-13,691757346
2004-10-14,709365715
2004-10-15,742066971
2004-10-18,734520527
2004-10-19,726974084
2004-10-20,729489565
2004-10-21,719427640
2004-10-22,686726383
2004-10-25,696788309
2004-10-26,699303790
2004-10-27,711881196
2004-10-28,699303790
2004-10-29,696788309
2004-11-01,696788309
2004-11-02,686726383
2004-11-03,686726383
2004-11-04,704334752
2004-11-05,701819271
2004-11-08,696788309
2004-11-09,706850234
2004-11-10,739551490
2004-11-11,739551490
2004-11-12,752128896
2004-11-15,747097934
2004-11-16,729489565
2004-11-17,762190821
2004-11-18,769737265
2004-11-19,752128896
2004-11-22,762190821
2004-11-23,767221784
2004-11-24,769737265
2004-11-26,774768228
2004-11-29,767221784
2004-11-30,779799190
2004-12-01,822562372
2004-12-02,830108815
2004-12-03,799923040
2004-12-06,804954003
2004-12-07,802438521
2004-12-08,832624297
2004-12-09,822562372
2004-12-10,827593334
2004-12-13,830108815
2004-12-14,820046890
2004-12-15,822562372
2004-12-16,817531409
2004-12-17,815015928
2004-12-20,815015928
2004-12-21,845201703
2004-12-22,872871997
2004-12-23,865325553
2004-12-27,847717184
2004-12-28,875387478
2004-12-29,870356515
2004-12-30,860294590
2004-12-31,865359540
2005-01-03,875421860
2005-01-04,870390700
2005-01-05,820079099
2005-01-06,822594679
2005-01-07,807501199
2005-01-10,842719320
2005-01-11,847750480
2005-01-12,837688159
2005-01-13,847750480
2005-01-14,852781640
2005-01-18,852781640
2005-01-19,847750480
2005-01-20,827625839
2005-01-21,822594679
2005-01-24,825110259
