,DVA
2001-07-13,1784744085
2001-07-16,1847754914
2001-07-17,1852012500
2001-07-18,1903953914
2001-07-19,1890330000
2001-07-20,1869042585
2001-07-23,1886072414
2001-07-24,1800922500
2001-07-25,1760050500
2001-07-26,1801773914
2001-07-27,1837536914
2001-07-30,1872448500
2001-07-31,1825616085
2001-08-01,1873299914
2001-08-02,1697039414
2001-08-03,1714069500
2001-08-06,1741317585
2001-08-07,1690227585
2001-08-08,1703000085
2001-08-09,1670643000
2001-08-10,1677455085
2001-08-13,1699593914
2001-08-14,1766862585
2001-08-15,1758347414
2001-08-16,1731099585
2001-08-17,1737060000
2001-08-20,1779635085
2001-08-21,1757496000
2001-08-22,1806882914
2001-08-23,1812843585
2001-08-24,1744723500
2001-08-27,1771119914
2001-08-28,1765159500
2001-08-29,1779635085
2001-08-30,1779635085
2001-08-31,1758347414
2001-09-04,1782189585
2001-09-05,1779635085
2001-09-06,1737911414
2001-09-07,1703000085
2001-09-10,1711515000
2001-09-17,1634880000
2001-09-18,1600820085
2001-09-19,1600820085
2001-09-20,1559096414
2001-09-21,1566759914
2001-09-24,1575275085
2001-09-25,1667237085
2001-09-26,1703000085
2001-09-27,1706406000
2001-09-28,1732802414
2001-10-01,1680925709
2001-10-02,1681762323
2001-10-03,1650804593
2001-10-04,1588888881
2001-10-05,1581358602
2001-10-08,1544543821
2001-10-09,1510239384
2001-10-10,1506055812
2001-10-11,1480954881
2001-10-12,1504382332
2001-10-15,1561277858
2001-10-16,1568808137
2001-10-17,1489321774
2001-10-18,1514422705
2001-10-19,1564624565
2001-10-22,1572991709
2001-10-23,1447487058
2001-10-24,1443303486
2001-10-25,1426569449
2001-10-26,1498525532
2001-10-29,1475934695
2001-10-30,1455853951
2001-10-31,1522789849
2001-11-01,1557931151
2001-11-02,1514422705
2001-11-05,1588888881
2001-11-06,1656661393
2001-11-07,1631560463
2001-11-08,1589725495
2001-11-09,1631560463
2001-11-12,1686782509
2001-11-13,1757901728
2001-11-14,1765432007
