,WDC
2000-11-02,1037748437
2000-11-03,1016351562
2000-11-06,1016351562
2000-11-07,994954687
2000-11-08,1027050000
2000-11-09,984256250
2000-11-10,952160937
2000-11-13,887970312
2000-11-14,920065625
2000-11-15,962859375
2000-11-16,952160937
2000-11-17,952160937
2000-11-20,973557812
2000-11-21,952160937
2000-11-22,920065625
2000-11-24,920065625
2000-11-27,866573437
2000-11-28,727493750
2000-11-29,599112500
2000-11-30,556318750
2000-12-01,567017187
2000-12-04,385143750
2000-12-05,427937500
2000-12-06,417239062
2000-12-07,417239062
2000-12-08,438635937
2000-12-11,556318750
2000-12-12,588414062
2000-12-13,502826562
2000-12-14,481429687
2000-12-15,470731250
2000-12-18,449334375
2000-12-19,417239062
2000-12-20,395842187
2000-12-21,449334375
2000-12-22,481429687
2000-12-26,427937500
2000-12-27,406540625
2000-12-28,427937500
2000-12-29,429609375
2001-01-02,407578125
2001-01-03,495703125
2001-01-04,572812500
2001-01-05,572812500
2001-01-08,572812500
2001-01-09,627890625
2001-01-10,671953125
2001-01-11,693984375
2001-01-12,671953125
2001-01-16,671953125
2001-01-17,671953125
2001-01-18,682968750
2001-01-19,649921875
2001-01-22,771093750
2001-01-23,859218750
2001-01-24,914296875
2001-01-25,848203125
2001-01-26,727031250
2001-01-29,793125000
2001-01-30,842475000
2001-01-31,930600000
2001-02-01,897112500
2001-02-02,828375000
2001-02-05,846000000
2001-02-06,807225000
2001-02-07,768450000
2001-02-08,756112500
2001-02-09,740250000
2001-02-12,856575000
2001-02-13,884774999
2001-02-14,863625000
2001-02-15,921787500
2001-02-16,877725000
2001-02-20,793125000
2001-02-21,759637499
2001-02-22,766687499
2001-02-23,757875000
2001-02-26,789600000
2001-02-27,756112500
2001-02-28,726150000
2001-03-01,678562500
2001-03-02,687375000
2001-03-05,669750000
2001-03-06,729675000
2001-03-07,779025000
2001-03-08,775500000
2001-03-09,740250000
2001-03-12,722624999
2001-03-13,669750000
2001-03-14,678562500
2001-03-15,727912500
2001-03-16,708524999
2001-03-19,749062500
2001-03-20,687375000
2001-03-21,699712500
2001-03-22,705000000
2001-03-23,743775000
2001-03-26,740250000
2001-03-27,773737500
2001-03-28,763162500
2001-03-29,803699999
2001-03-30,888382600
2001-04-02,895848000
2001-04-03,791332400
2001-04-04,718544750
2001-04-05,768936200
2001-04-06,746540000
2001-04-09,754005400
2001-04-10,871585450
2001-04-11,893981650
2001-04-12,935041350
2001-04-16,977967400
2001-04-17,942506750
2001-04-18,996630900
2001-04-19,1002229950
2001-04-20,955571200
2001-04-23,938774050
2001-04-24,951838499
2001-04-25,974234700
2001-04-26,944373099
2001-04-27,942506750
2001-04-30,992898200
2001-05-01,1024626150
2001-05-02,1000363600
2001-05-03,1005962649
2001-05-04,994764550
2001-05-07,994764550
2001-05-08,977967400
2001-05-09,953704850
2001-05-10,942506750
2001-05-11,927575950
2001-05-14,923843250
2001-05-15,931308650
2001-05-16,979833750
2001-05-17,949972150
2001-05-18,936907699
2001-05-21,951838499
2001-05-22,918244200
2001-05-23,908912450
2001-05-24,914511500
2001-05-25,908912450
2001-05-29,839857500
2001-05-30,787599700
2001-05-31,804396849
2001-06-01,828659400
2001-06-04,815594950
2001-06-05,819327649
2001-06-06,755871750
2001-06-07,746540000
2001-06-08,742807300
2001-06-11,673752350
2001-06-12,653222500
2001-06-13,614029150
2001-06-14,600964700
2001-06-15,647623450
2001-06-18,578568500
2001-06-19,578568500
2001-06-20,599098350
2001-06-21,640158050
2001-06-22,630826300
2001-06-25,597232000
2001-06-26,634559000
2001-06-27,643890750
2001-06-28,681217750
2001-06-29,737208250
2001-07-02,647623450
2001-07-03,658821550
2001-07-05,660687900
2001-07-06,610296450
2001-07-09,625227250
2001-07-10,582301200
2001-07-11,586033900
2001-07-12,595365650
2001-07-13,595365650
2001-07-16,589766600
2001-07-17,584167550
2001-07-18,584167550
2001-07-19,591632950
2001-07-20,597232000
2001-07-23,578568500
2001-07-24,550573250
2001-07-25,559905000
2001-07-26,625227250
2001-07-27,640158050
2001-07-30,627093600
2001-07-31,655088850
2001-08-01,701747600
2001-08-02,688683150
2001-08-03,707346650
2001-08-06,748406350
2001-08-07,733475550
2001-08-08,694282200
2001-08-09,707346650
2001-08-10,688683150
2001-08-13,694282200
2001-08-14,690549500
2001-08-15,664420600
2001-08-16,681217750
2001-08-17,679351400
2001-08-20,675618700
2001-08-21,653222500
2001-08-22,688683150
2001-08-23,670019650
2001-08-24,677485050
2001-08-27,658821550
2001-08-28,651356150
2001-08-29,628959950
2001-08-30,599098350
2001-08-31,593499300
2001-09-04,571103100
2001-09-05,666286950
2001-09-06,597232000
2001-09-07,610296450
2001-09-10,610296450
2001-09-17,535642450
2001-09-18,513246250
2001-09-19,522577999
2001-09-20,474052900
2001-09-21,412463350
2001-09-24,438592250
2001-09-25,442324950
2001-09-26,391933500
2001-09-27,382601749
2001-09-28,407289470
2001-10-01,457966040
2001-10-02,446704580
2001-10-03,525534799
2001-10-04,506765700
2001-10-05,497381150
2001-10-08,486119690
2001-10-09,465473680
2001-10-10,469227500
2001-10-11,506765700
2001-10-12,487996600
2001-10-15,476735140
2001-10-16,478612049
2001-10-17,497381150
2001-10-18,516150250
2001-10-19,581842100
2001-10-22,587472830
2001-10-23,608118840
2001-10-24,656918500
2001-10-25,625011030
2001-10-26,655041590
2001-10-29,613749570
2001-10-30,638149400
2001-10-31,628764850
2001-11-01,638149400
2001-11-02,748887090
2001-11-05,718856530
2001-11-06,750764000
2001-11-07,741379450
2001-11-08,797686750
2001-11-09,763902370
2001-11-12,793932930
2001-11-13,801440569
2001-11-14,822086580
2001-11-15,795809840
2001-11-16,782671470
2001-11-19,816455849
2001-11-20,735748720
2001-11-21,808948209
2001-11-23,853994050
2001-11-26,927193540
2001-11-27,870886239
2001-11-28,829594220
2001-11-29,850240230
2001-11-30,884024610
2001-12-03,870886239
2001-12-04,887778430
2001-12-05,912178260
2001-12-06,985377750
2001-12-07,1054823420
2001-12-10,1015408310
2001-12-11,1126146000
2001-12-12,1152422740
2001-12-13,1135530550
2001-12-14,1073592520
2001-12-17,1124269090
2001-12-18,1171191840
2001-12-19,1111130720
2001-12-20,1036054319
2001-12-21,1144915100
2001-12-24,1144915100
2001-12-26,1210606950
2001-12-27,1272544980
2001-12-28,1235591500
2001-12-31,1191870570
2002-01-02,1167158740
2002-01-03,1167158740
2002-01-04,1226086950
2002-01-07,1304024260
2002-01-08,1330637000
2002-01-09,1425682500
2002-01-10,1397168850
2002-01-11,1406673400
2002-01-14,1298321530
2002-01-15,1326835180
2002-01-16,1332537910
2002-01-17,1321132450
2002-01-18,1227987860
2002-01-22,1328736090
2002-01-23,1340141550
2002-01-24,1351547010
2002-01-25,1309726990
2002-01-28,1290717890
2002-01-29,1302123350
2002-01-30,1233690590
2002-01-31,1188068750
2002-02-01,1087320520
2002-02-04,1051203230
2002-02-05,1068311420
2002-02-06,1112032350
2002-02-07,1129140540
2002-02-08,1091122340
2002-02-11,1188068750
2002-02-12,1178564200
2002-02-13,1140546000
2002-02-14,1165257830
2002-02-15,1136744180
2002-02-19,1016986849
2002-02-20,1188068750
2002-02-21,1104428710
2002-02-22,1083518700
2002-02-25,1119635990
2002-02-26,1148149640
2002-02-27,1182366020
2002-02-28,1104428710
2002-03-01,1169059650
2002-03-04,1298321530
2002-03-05,1256501510
2002-03-06,1321132450
2002-03-07,1262204240
2002-03-08,1250798780
2002-03-11,1283114250
2002-03-12,1260303330
2002-03-13,1180465110
2002-03-14,1140546000
2002-03-15,1142446910
2002-03-18,1148149640
2002-03-19,1129140540
2002-03-20,1132942360
2002-03-21,1144347820
2002-03-22,1150050550
2002-03-25,1142446910
2002-03-26,1178564200
2002-03-27,1170960560
2002-03-28,1184266930
2002-04-01,1177879680
2002-04-02,1152859360
2002-04-03,1154784000
2002-04-04,1270262400
2002-04-05,1277960960
2002-04-08,1301056640
2002-04-09,1272187040
2002-04-10,1272187040
2002-04-11,1241392800
2002-04-12,1299132000
2002-04-15,1360720480
2002-04-16,1385740800
2002-04-17,1404987200
2002-04-18,1441555360
2002-04-19,1430007520
2002-04-22,1374192960
2002-04-23,1358795840
2002-04-24,1251016000
2002-04-25,1279885600
2002-04-26,1164407200
2002-04-29,1191352160
2002-04-30,1191352160
2002-05-01,1170181120
2002-05-02,1172105760
2002-05-03,1145160800
2002-05-06,981566399
2002-05-07,804499520
2002-05-08,937299680
2002-05-09,952696800
2002-05-10,939224320
2002-05-13,923827200
2002-05-14,1010436000
2002-05-15,1035456320
2002-05-16,1091270880
2002-05-17,1064325920
2002-05-20,1016209920
2002-05-21,941148959
2002-05-22,941148959
2002-05-23,929601120
2002-05-24,854540160
2002-05-28,914204000
2002-05-29,894957600
2002-05-30,891108320
2002-05-31,885334399
2002-06-03,827595200
2002-06-04,856464800
2002-06-05,866088000
2002-06-06,866088000
2002-06-07,854540160
2002-06-10,792951680
2002-06-11,742911040
2002-06-12,760232800
2002-06-13,773705279
2002-06-14,787177760
2002-06-17,816047360
2002-06-18,816047360
2002-06-19,789102399
2002-06-20,750609600
2002-06-21,679397920
2002-06-24,733287840
2002-06-25,654377600
2002-06-26,608186240
2002-06-27,615884800
2002-06-28,625508000
2002-07-01,673624000
2002-07-02,696719680
2002-07-03,673624000
2002-07-05,783328480
2002-07-08,733287840
2002-07-09,750609600
2002-07-10,779479200
2002-07-11,789102399
2002-07-12,823745920
2002-07-15,812198080
2002-07-16,816047360
2002-07-17,831444480
2002-07-18,748684960
2002-07-19,754458880
2002-07-22,596638400
2002-07-23,612035520
2002-07-24,587015200
2002-07-25,594713760
2002-07-26,700568960
2002-07-29,894957600
2002-07-30,881485120
2002-07-31,854540160
2002-08-01,846841600
2002-08-02,827595200
2002-08-05,798725600
2002-08-06,883409760
2002-08-07,900731520
2002-08-08,998888160
2002-08-09,933450399
2002-08-12,960395360
2002-08-13,923827200
2002-08-14,983491040
2002-08-15,1000812800
2002-08-16,1010436000
2002-08-19,1047004160
2002-08-20,1029682399
2002-08-21,1010436000
2002-08-22,1027757760
2002-08-23,981566399
2002-08-26,962320000
2002-08-27,852615520
2002-08-28,764082080
2002-08-29,773705279
2002-08-30,779479200
2002-09-03,787177760
2002-09-04,796800959
2002-09-05,796800959
2002-09-06,827595200
2002-09-09,854540160
2002-09-10,894957600
2002-09-11,910354720
2002-09-12,869937279
2002-09-13,893032959
2002-09-16,850690880
2002-09-17,873786560
2002-09-18,866088000
2002-09-19,831444480
2002-09-20,798725600
2002-09-23,740986400
2002-09-24,769856000
2002-09-25,823745920
2002-09-26,869937279
2002-09-27,838829250
2002-09-30,910507500
2002-10-01,955064250
2002-10-02,955064250
2002-10-03,927942750
2002-10-04,926005500
2002-10-07,920193750
2002-10-08,922131000
2002-10-09,926005500
2002-10-10,958938750
2002-10-11,987997499
2002-10-14,958938750
2002-10-15,987997499
2002-10-16,958938750
2002-10-17,1104232500
2002-10-18,1160412750
2002-10-21,1239840000
2002-10-22,1224342000
2002-10-23,1235965500
2002-10-24,1201095000
2002-10-25,1172036250
2002-10-28,1235965500
2002-10-29,1218530250
2002-10-30,1210781250
2002-10-31,1199157750
2002-11-01,1356075000
2002-11-04,1365761250
2002-11-05,1356075000
2002-11-06,1439376750
2002-11-07,1394820000
2002-11-08,1443251250
2002-11-11,1425816000
2002-11-12,1431627750
2002-11-13,1495557000
2002-11-14,1532364750
2002-11-15,1526553000
2002-11-18,1522678500
2002-11-19,1491682500
2002-11-20,1518804000
2002-11-21,1565298000
2002-11-22,1584670500
2002-11-25,1627290000
2002-11-26,1594356750
2002-11-27,1683470250
2002-11-29,1636976249
2002-12-02,1724152500
2002-12-03,1619541000
2002-12-04,1505243250
2002-12-05,1414192500
2002-12-06,1431627750
2002-12-09,1282459500
2002-12-10,1431627750
2002-12-11,1421941500
2002-12-12,1392882750
2002-12-13,1317330000
2002-12-16,1365761250
2002-12-17,1342514250
2002-12-18,1255338000
2002-12-19,1253400750
2002-12-20,1305706500
2002-12-23,1249526250
2002-12-24,1307643750
2002-12-26,1284396750
2002-12-27,1267826680
2002-12-30,1240350560
2002-12-31,1254088620
2003-01-02,1348292460
2003-01-03,1391469220
2003-01-06,1524924660
2003-01-07,1599502700
2003-01-08,1509224020
2003-01-09,1597540120
2003-01-10,1491560800
2003-01-13,1462122100
2003-01-14,1511186600
2003-01-15,1471935000
2003-01-16,1499411120
2003-01-17,1377731160
2003-01-21,1397356960
2003-01-22,1401282120
2003-01-23,1452309200
2003-01-24,1599502700
2003-01-27,1568101420
2003-01-28,1632866560
2003-01-29,1646604620
2003-01-30,1589689800
2003-01-31,1560251100
2003-02-03,1552400780
2003-02-04,1546513040
2003-02-05,1536700140
2003-02-06,1520999500
2003-02-07,1454271780
2003-02-10,1452309200
2003-02-11,1481747900
2003-02-12,1422870500
2003-02-13,1377731160
2003-02-14,1393431800
2003-02-18,1462122100
2003-02-19,1432683400
2003-02-20,1436608560
2003-02-21,1473897580
2003-02-24,1507261440
2003-02-25,1540625300
2003-02-26,1560251100
2003-02-27,1572026580
2003-02-28,1595577540
2003-03-03,1540625300
2003-03-04,1501373700
2003-03-05,1519036920
2003-03-06,1558288520
2003-03-07,1528849820
2003-03-10,1526887240
2003-03-11,1519036920
2003-03-12,1405207280
2003-03-13,1458196940
2003-03-14,1401282120
2003-03-17,1493523380
2003-03-18,1562213680
2003-03-19,1520999500
2003-03-20,1522962080
2003-03-21,1599502700
2003-03-24,1564176260
2003-03-25,1628941400
2003-03-26,1681931060
2003-03-27,1813423920
2003-03-28,1873638000
2003-03-31,1849146000
2003-04-01,1924663000
2003-04-02,2026713000
2003-04-03,2032836000
2003-04-04,1906294000
2003-04-07,1838941000
2003-04-08,1751178000
2003-04-09,1755260000
2003-04-10,1781793000
2003-04-11,1816490000
2003-04-14,1867515000
2003-04-15,1892007000
2003-04-16,1906294000
2003-04-17,1938950000
2003-04-21,1971606000
2003-04-22,1989975000
2003-04-23,1926704000
2003-04-24,1885884000
2003-04-25,1887925000
2003-04-28,1887925000
2003-04-29,1898130000
2003-04-30,1904253000
2003-05-01,1912416999
2003-05-02,1951196000
2003-05-05,2012426000
2003-05-06,2008344000
2003-05-07,1975688000
2003-05-08,1918540000
2003-05-09,1932827000
2003-05-12,2138968000
2003-05-13,2277756000
2003-05-14,2251223000
2003-05-15,2304289000
2003-05-16,2316535000
2003-05-19,2187952000
2003-05-20,2145091000
2003-05-21,2141009000
2003-05-22,2216526000
2003-05-23,2183870000
2003-05-27,2387970000
2003-05-28,2420626000
2003-05-29,2536963000
2003-05-30,2555332000
2003-06-02,2575742000
2003-06-03,2581865000
2003-06-04,2532881000
2003-06-05,2616562000
2003-06-06,2420626000
2003-06-09,2377765000
2003-06-10,2312453000
2003-06-11,2336945000
2003-06-12,2377765000
2003-06-13,2312453000
2003-06-16,2426749000
2003-06-17,2469610000
2003-06-18,2547168000
2003-06-19,2406339000
2003-06-20,2310412000
2003-06-23,2296125000
2003-06-24,2194075000
2003-06-25,2181829000
2003-06-26,2236936000
2003-06-27,2179788000
2003-06-30,2102230000
2003-07-01,2426749000
2003-07-02,2618603000
2003-07-03,2592070000
2003-07-07,2683915000
2003-07-08,2608398000
2003-07-09,2587988000
2003-07-10,2520635000
2003-07-11,2520635000
2003-07-14,2649218000
2003-07-15,2585947000
2003-07-16,2539004000
2003-07-17,2526758000
2003-07-18,2387970000
2003-07-21,2259387000
2003-07-22,2412462000
2003-07-23,2504307000
2003-07-24,2387970000
2003-07-25,2028754000
2003-07-28,1985893000
2003-07-29,1943032000
2003-07-30,1979769999
2003-07-31,2032836000
2003-08-01,1992016000
2003-08-04,1928744999
2003-08-05,1877719999
2003-08-06,1853228000
2003-08-07,1763424000
2003-08-08,1773629000
2003-08-11,1838941000
2003-08-12,1875679000
2003-08-13,1918540000
2003-08-14,1926704000
2003-08-15,1887925000
2003-08-18,1981811000
2003-08-19,2008344000
2003-08-20,2010385000
2003-08-21,1979769999
2003-08-22,1887925000
2003-08-25,1820572000
2003-08-26,1867515000
2003-08-27,1938950000
2003-08-28,2343068000
2003-08-29,2345109000
2003-09-02,2357355000
2003-09-03,2277756000
2003-09-04,2336945000
2003-09-05,2347150000
2003-09-08,2420626000
2003-09-09,2430831000
2003-09-10,2261428000
2003-09-11,2298166000
2003-09-12,2283879000
2003-09-15,2241018000
2003-09-16,2343068000
2003-09-17,2551250000
2003-09-18,2575742000
2003-09-19,2690038000
2003-09-22,2687997000
2003-09-23,2769637000
2003-09-24,2667587000
2003-09-25,2571660000
2003-09-26,2610634000
2003-09-29,2653768000
2003-09-30,2647606000
2003-10-01,2752360000
2003-10-02,2764684000
2003-10-03,2865330000
2003-10-06,2968030000
2003-10-07,3046082000
2003-10-08,2978300000
2003-10-09,3037866000
2003-10-10,2945436000
2003-10-13,2924896000
2003-10-14,2974192000
2003-10-15,2875600000
2003-10-16,2929004000
2003-10-17,2834520000
2003-10-20,2762630000
2003-10-21,2931058000
2003-10-22,2526420000
2003-10-23,2546960000
2003-10-24,2637336000
2003-10-27,2641444000
2003-10-28,2729766000
2003-10-29,2922842000
2003-10-30,2830412000
2003-10-31,2762630000
2003-11-03,2861222000
2003-11-04,2881762000
2003-11-05,2877654000
2003-11-06,2859168000
2003-11-07,2694848000
2003-11-10,2612688000
2003-11-11,2557230000
2003-11-12,2783170000
2003-11-13,2701010000
2003-11-14,2590094000
2003-11-17,2526420000
2003-11-18,2431936000
2003-11-19,2394964000
2003-11-20,2384694000
2003-11-21,2423720000
2003-11-24,2546960000
2003-11-25,2507934000
2003-11-26,2536690000
2003-11-28,2555176000
2003-12-01,2614742000
2003-12-02,2501772000
2003-12-03,2339506000
2003-12-04,2341560000
2003-12-05,2364154000
2003-12-08,2333344000
2003-12-09,2238860000
2003-12-10,2154646000
2003-12-11,2312804000
2003-12-12,2349776000
2003-12-15,2136160000
2003-12-16,2197780000
2003-12-17,2183402000
2003-12-18,2197780000
2003-12-19,2140268000
2003-12-22,2191618000
2003-12-23,2240914000
2003-12-24,2242968000
2003-12-26,2279901000
2003-12-29,2327442000
2003-12-30,2387385000
2003-12-31,2436993000
2004-01-02,2534142000
2004-01-05,2561013000
2004-01-06,2618889000
2004-01-07,2639559000
2004-01-08,2738775000
2004-01-09,2687100000
2004-01-12,2705703000
2004-01-13,2670564000
2004-01-14,2651961000
2004-01-15,2606487000
2004-01-16,2670564000
2004-01-20,2680899000
2004-01-21,2308839000
2004-01-22,2222025000
2004-01-23,2286102000
2004-01-26,2310906000
2004-01-27,2275767000
2004-01-28,2232360000
2004-01-29,2129010000
2004-01-30,2114541000
2004-02-02,2114541000
2004-02-03,2083536000
2004-02-04,2000856000
2004-02-05,2077335000
2004-02-06,2257164000
2004-02-09,2182752000
2004-02-10,2180685000
2004-02-11,2222025000
2004-02-12,2244762000
2004-02-13,2312973000
2004-02-17,2302638000
2004-02-18,2333643000
2004-02-19,2352246000
2004-02-20,2271633000
2004-02-23,2213757000
2004-02-24,2168283000
2004-02-25,2294370000
2004-02-26,2387385000
2004-02-27,2354313000
2004-03-01,2397720000
2004-03-02,2325375000
2004-03-03,2325375000
2004-03-04,2352246000
2004-03-05,2319174000
2004-03-08,2230293000
2004-03-09,2188953000
2004-03-10,2139345000
2004-03-11,2075267999
2004-03-12,2178618000
2004-03-15,2137278000
2004-03-16,2213757000
2004-03-17,2246829000
2004-03-18,2222025000
2004-03-19,2174484000
2004-03-22,2102139000
2004-03-23,2102139000
2004-03-24,2106273000
2004-03-25,2197221000
2004-03-26,2162808000
2004-03-29,2279772000
2004-03-30,2296188000
2004-03-31,2304396000
2004-04-01,2349540000
2004-04-02,2386476000
2004-04-05,2370060000
2004-04-06,2343384000
2004-04-07,2333124000
2004-04-08,2343384000
2004-04-12,2368008000
2004-04-13,2333124000
2004-04-14,2290032000
2004-04-15,2246940000
2004-04-16,2160756000
2004-04-19,2193588000
2004-04-20,2156652000
2004-04-21,2103300000
2004-04-22,1842696000
2004-04-23,1822176000
2004-04-26,1764720000
2004-04-27,1719576000
2004-04-28,1744200000
2004-04-29,1690848000
2004-04-30,1658016000
2004-05-03,1619028000
2004-05-04,1670328000
2004-05-05,1746252000
2004-05-06,1713420000
2004-05-07,1729836000
2004-05-10,1672380000
2004-05-11,1707264000
2004-05-12,1699055999
2004-05-13,1684692000
2004-05-14,1645704000
2004-05-17,1639548000
2004-05-18,1651860000
2004-05-19,1666223999
2004-05-20,1672380000
2004-05-21,1692900000
2004-05-24,1777032000
2004-05-25,1838592000
2004-05-26,1877580000
2004-05-27,1846800000
2004-05-28,1875528000
2004-06-01,1881684000
2004-06-02,1836539999
2004-06-03,1828332000
2004-06-04,1869372000
2004-06-07,1881684000
2004-06-08,1908360000
2004-06-09,1863216000
2004-06-10,1869372000
2004-06-14,1844748000
2004-06-15,1889892000
2004-06-16,1852955999
2004-06-17,1848852000
2004-06-18,1887839999
2004-06-21,1824228000
2004-06-22,1811916000
2004-06-23,1863216000
2004-06-24,1826280000
2004-06-25,1777032000
2004-06-28,1766772000
2004-06-29,1779084000
2004-06-30,1777032000
2004-07-01,1760616000
2004-07-02,1723680000
2004-07-06,1655964000
2004-07-07,1678536000
2004-07-08,1662120000
2004-07-09,1670328000
2004-07-12,1637496000
2004-07-13,1670328000
2004-07-14,1635444000
2004-07-15,1649807999
2004-07-16,1629288000
2004-07-19,1670328000
2004-07-20,1738044000
2004-07-21,1625184000
2004-07-22,1658016000
2004-07-23,1616976000
2004-07-26,1598508000
2004-07-27,1660068000
2004-07-28,1623132000
2004-07-29,1688796000
2004-07-30,1438452000
2004-08-02,1471284000
2004-08-03,1424088000
2004-08-04,1442556000
2004-08-05,1440504000
2004-08-06,1395360000
2004-08-09,1350216000
2004-08-10,1411776000
2004-08-11,1399464000
2004-08-12,1342008000
2004-08-13,1337904000
2004-08-16,1344060000
2004-08-17,1348164000
2004-08-18,1440504000
2004-08-19,1471284000
2004-08-20,1534896000
2004-08-23,1549260000
2004-08-24,1506168000
2004-08-25,1547208000
2004-08-26,1528740000
2004-08-27,1536948000
2004-08-30,1532844000
2004-08-31,1530792000
2004-09-01,1608768000
2004-09-02,1645704000
2004-09-03,1643652000
2004-09-07,1670328000
2004-09-08,1690848000
2004-09-09,1707264000
2004-09-10,1754460000
2004-09-13,1731888000
2004-09-14,1774980000
2004-09-15,1713420000
2004-09-16,1774980000
2004-09-17,1822176000
2004-09-20,1824228000
2004-09-21,1836539999
2004-09-22,1801655999
2004-09-23,1787292000
2004-09-24,1746252000
2004-09-27,1707264000
2004-09-28,1744200000
2004-09-29,1799604000
2004-09-30,1803707999
2004-10-01,1870511999
2004-10-04,1921786999
2004-10-05,1905378999
2004-10-06,1952552000
2004-10-07,1948450000
2004-10-08,1936144000
2004-10-11,1944348000
2004-10-12,1907430000
2004-10-13,1866410000
2004-10-14,1856155000
2004-10-15,1845900000
2004-10-18,1886919999
2004-10-19,1862308000
2004-10-20,1835644999
2004-10-21,1644902000
2004-10-22,1675667000
2004-10-25,1698227999
2004-10-26,1646952999
2004-10-27,1685922000
