,ORCL
2002-06-24,46485390000
2002-06-25,46971299999
2002-06-26,49508830000
2002-06-27,52262320000
2002-06-28,51128530000
2002-07-01,48591000000
2002-07-02,46863320000
2002-07-03,51560450000
2002-07-05,53882020000
2002-07-08,50264690000
2002-07-09,50750600000
2002-07-10,48483020000
2002-07-11,50858580000
2002-07-12,52262320000
2002-07-15,54799850000
2002-07-16,53936010000
2002-07-17,56527530000
2002-07-18,54259950000
2002-07-19,52478280000
2002-07-22,49832770000
2002-07-23,47511200000
2002-07-24,50750600000
2002-07-25,48644990000
2002-07-26,50372670000
2002-07-29,51560450000
2002-07-30,53288129999
2002-07-31,54043990000
2002-08-01,52208330000
2002-08-02,50804590000
2002-08-05,48644990000
2002-08-06,50372670000
2002-08-07,51398480000
2002-08-08,54043990000
2002-08-09,52964190000
2002-08-12,52532270000
2002-08-13,49076910000
2002-08-14,54259950000
2002-08-15,54637879999
2002-08-16,56095610000
2002-08-19,59011070000
2002-08-20,58093240000
2002-08-21,58093240000
2002-08-22,60414810000
2002-08-23,58255209999
2002-08-26,57067430000
2002-08-27,54799850000
2002-08-28,53504090000
2002-08-29,53774040000
2002-08-30,51776410000
2002-09-03,48099540000
2002-09-04,50966400000
2002-09-05,48418079999
2002-09-06,51125670000
2002-09-09,51922020000
2002-09-10,51975109999
2002-09-11,52028200000
2002-09-12,50329320000
2002-09-13,51656570000
2002-09-16,49267520000
2002-09-17,47940270000
2002-09-18,44170880000
2002-09-19,43055990000
2002-09-20,42418910000
2002-09-23,40560760000
2002-09-24,42472000000
2002-09-25,45604310000
2002-09-26,44011609999
2002-09-27,44595600000
2002-09-30,41728740000
2002-10-01,45338859999
2002-10-02,44117790000
2002-10-03,44223970000
2002-10-04,43533800000
2002-10-07,40879300000
2002-10-08,42843630000
2002-10-09,42843630000
2002-10-10,45179590000
2002-10-11,48046450000
2002-10-14,49108250000
2002-10-15,51444210000
2002-10-16,49479880000
2002-10-17,52399829999
2002-10-18,50382410000
2002-10-21,51178760000
2002-10-22,52506010000
2002-10-23,52877640000
2002-10-24,52346740000
2002-10-25,54470340000
2002-10-28,53461630000
2002-10-29,52877640000
2002-10-30,53143090000
2002-10-31,54098710000
2002-11-01,53780170000
2002-11-04,54364160000
2002-11-05,53992530000
2002-11-06,55001240000
2002-11-07,54151800000
2002-11-08,50700950000
2002-11-11,48046450000
2002-11-12,50435500000
2002-11-13,51072579999
2002-11-14,54948150000
2002-11-15,56859390000
2002-11-18,54417250000
2002-11-19,55054329999
2002-11-20,57018660000
2002-11-21,60841140000
2002-11-22,61478220000
2002-11-25,63230190000
2002-11-26,61743670000
2002-11-27,63708000000
2002-11-29,64504350000
2002-12-02,62582100000
2002-12-03,59794829999
2002-12-04,58111950000
2002-12-05,56218710000
2002-12-06,59321520000
2002-12-09,55377270000
2002-12-10,56271300000
2002-12-11,59426700000
2002-12-12,59952600000
2002-12-13,56008350000
2002-12-16,59426700000
2002-12-17,57954180000
2002-12-18,55903170000
2002-12-19,57849000000
2002-12-20,56481660000
2002-12-23,58164540000
2002-12-24,57796410000
2002-12-26,56954970000
2002-12-27,56744609999
2002-12-30,57533460000
2002-12-31,56797200000
2003-01-02,58953390000
2003-01-03,60794040000
2003-01-06,62897640000
2003-01-07,66736710000
2003-01-08,63739079999
2003-01-09,68419590000
2003-01-10,68735130000
2003-01-13,67998870000
2003-01-14,68945490000
2003-01-15,65895270000
2003-01-16,64002030000
2003-01-17,60162960000
2003-01-21,60846630000
2003-01-22,61109579999
2003-01-23,65527140000
2003-01-24,61898430000
2003-01-27,62739870000
2003-01-28,62950230000
2003-01-29,63213180000
2003-01-30,61793250000
2003-01-31,63265770000
2003-02-03,63160590000
2003-02-04,61688070000
2003-02-05,60583680000
2003-02-06,60636270000
2003-02-07,59637060000
2003-02-10,61793250000
2003-02-11,62687280000
2003-02-12,60478500000
2003-02-13,60688859999
2003-02-14,61530300000
2003-02-18,65316780000
2003-02-19,64790880000
2003-02-20,64738290000
2003-02-21,65159010000
2003-02-24,62161380000
2003-02-25,62792460000
2003-02-26,61635480000
2003-02-27,62529510000
2003-02-28,62897640000
2003-03-03,61278980000
2003-03-04,60964460000
2003-03-05,58553140000
2003-03-06,58500720000
2003-03-07,57976520000
2003-03-10,56403920000
2003-03-11,55984560000
2003-03-12,57662000000
2003-03-13,62537060000
2003-03-14,62589480000
2003-03-17,64738700000
2003-03-18,64214500000
2003-03-19,59287020000
2003-03-20,60283000000
2003-03-21,59496700000
2003-03-24,57819260000
2003-03-25,59234600000
2003-03-26,59968480000
2003-03-27,59549120000
2003-03-28,58186200000
2003-03-31,56875700000
2003-04-01,56403920000
2003-04-02,60073320000
2003-04-03,60912039999
2003-04-04,59601539999
2003-04-07,61383820000
2003-04-08,60283000000
2003-04-09,58553140000
2003-04-10,59601539999
2003-04-11,59182179999
2003-04-14,61121720000
2003-04-15,60492679999
2003-04-16,60702360000
2003-04-17,62904000000
2003-04-21,62065280000
2003-04-22,63585460000
2003-04-23,62904000000
2003-04-24,63061260000
2003-04-25,61803179999
2003-04-28,62746740000
2003-04-29,63008840000
2003-04-30,62274960000
2003-05-01,62484640000
2003-05-02,63952400000
2003-05-05,63323360000
2003-05-06,65053220000
2003-05-07,63899980000
2003-05-08,63428200000
2003-05-09,65105640000
2003-05-12,65315320000
2003-05-13,65105640000
2003-05-14,65682260000
2003-05-15,67674220000
2003-05-16,65839520000
2003-05-19,63795140000
2003-05-20,63742720000
2003-05-21,63428200000
2003-05-22,64476600000
2003-05-23,63428200000
2003-05-27,66311300000
2003-05-28,69508920000
2003-05-29,67254860000
2003-05-30,68198420000
2003-06-02,66944000000
2003-06-03,68094600000
2003-06-04,71023400000
2003-06-05,69872800000
2003-06-06,68460700000
2003-06-09,67257800000
2003-06-10,68094600000
2003-06-11,69402100000
2003-06-12,69715900000
2003-06-13,70500400000
2003-06-16,71389500000
2003-06-17,69820500000
2003-06-18,70186600000
2003-06-19,69768200000
2003-06-20,67623900000
2003-06-23,66787100000
2003-06-24,66159500000
2003-06-25,64747400000
2003-06-26,65479600000
2003-06-27,65008900000
2003-06-30,62812300000
2003-07-01,64485900000
2003-07-02,65113500000
2003-07-03,63701400000
2003-07-07,65741100000
2003-07-08,66577900000
2003-07-09,66264100000
2003-07-10,65898000000
2003-07-11,67153200000
2003-07-14,66107200000
2003-07-15,66054900000
2003-07-16,64904300000
2003-07-17,63230700000
2003-07-18,63178400000
2003-07-21,61138700000
2003-07-22,63126100000
2003-07-23,63283000000
2003-07-24,61086400000
2003-07-25,63283000000
2003-07-28,62132400000
2003-07-29,62341600000
2003-07-30,62132400000
2003-07-31,62707700000
2003-08-01,61818600000
2003-08-04,62027800000
2003-08-05,60877200000
2003-08-06,59883500000
2003-08-07,59569700000
2003-08-08,59046699999
2003-08-11,61086400000
2003-08-12,63596800000
2003-08-13,62237000000
2003-08-14,63387599999
2003-08-15,63178400000
2003-08-18,63701400000
2003-08-19,63544500000
2003-08-20,63387599999
2003-08-21,63596800000
2003-08-22,64329000000
2003-08-25,64695099999
2003-08-26,65061200000
2003-08-27,65113500000
2003-08-28,66787100000
2003-08-29,67100900000
2003-09-02,69976140000
2003-09-03,71909760000
2003-09-04,71700720000
2003-09-05,68356080000
2003-09-08,70446480000
2003-09-09,69819360000
2003-09-10,67154100000
2003-09-11,67833480000
2003-09-12,65586300000
2003-09-15,65063700000
2003-09-16,65481780000
2003-09-17,64175280000
2003-09-18,64593360000
2003-09-19,63339119999
2003-09-22,62555220000
2003-09-23,62868780000
2003-09-24,60621600000
2003-09-25,60412560000
2003-09-26,59628660000
2003-09-29,60830640000
2003-09-30,58792500000
2003-10-01,61091940000
2003-10-02,59576400000
2003-10-03,62607480000
2003-10-06,63704940000
2003-10-07,63757200000
2003-10-08,66004380000
2003-10-09,64436580000
2003-10-10,64436580000
2003-10-13,64175280000
2003-10-14,64436580000
2003-10-15,63339119999
2003-10-16,62555220000
2003-10-17,61248720000
2003-10-20,62241660000
2003-10-21,62607480000
2003-10-22,61248720000
2003-10-23,61405500000
2003-10-24,61300980000
2003-10-27,61144200000
2003-10-28,62607480000
2003-10-29,62137140000
2003-10-30,63704940000
2003-10-31,62555220000
2003-11-03,63704940000
2003-11-04,63809460000
2003-11-05,64541100000
2003-11-06,66370200000
2003-11-07,65115960000
2003-11-10,65690820000
2003-11-11,65534039999
2003-11-12,66736020000
2003-11-13,65690820000
2003-11-14,64227539999
2003-11-17,63182340000
2003-11-18,61719060000
2003-11-19,62868780000
2003-11-20,61771320000
2003-11-21,62084880000
2003-11-24,62973300000
2003-11-25,62032619999
2003-11-26,62921039999
2003-11-28,62816520000
2003-12-01,65277180000
2003-12-02,64703200000
2003-12-03,67312200000
2003-12-04,67781820000
2003-12-05,66477320000
2003-12-08,66842580000
2003-12-09,65798980000
2003-12-10,66686040000
2003-12-11,66946940000
2003-12-12,66946940000
2003-12-15,66268600000
2003-12-16,68460159999
2003-12-17,69138500000
2003-12-18,69555940000
2003-12-19,68303620000
2003-12-22,68877600000
2003-12-23,68094900000
2003-12-24,67677460000
2003-12-26,67834000000
2003-12-29,68773240000
2003-12-30,68825420000
2003-12-31,69034140000
2004-01-02,68564520000
2004-01-05,70703900000
2004-01-06,70964800000
2004-01-07,72895460000
2004-01-08,74304320000
2004-01-09,73939060000
2004-01-12,76495880000
2004-01-13,74930480000
2004-01-14,76130620000
2004-01-15,77696020000
2004-01-16,77487300000
2004-01-20,76756780000
2004-01-21,76756780000
2004-01-22,75817540000
2004-01-23,75869720000
2004-01-26,75504460000
2004-01-27,74095600000
2004-01-28,72738920000
2004-01-29,74043420000
2004-01-30,72321480000
2004-02-02,71173520000
2004-02-03,72582380000
2004-02-04,69242860000
2004-02-05,70756080000
2004-02-06,70025560000
2004-02-09,69295040000
2004-02-10,69869020000
2004-02-11,71486600000
2004-02-12,71590960000
2004-02-13,71956220000
2004-02-17,71799680000
2004-02-18,73365080000
2004-02-19,72008400000
2004-02-20,71538780000
2004-02-23,69608120000
2004-02-24,69190680000
2004-02-25,68825420000
2004-02-26,69295040000
2004-02-27,67155659999
2004-03-01,67819800000
2004-03-02,67301300000
2004-03-03,67456850000
2004-03-04,67405000000
2004-03-05,65901350000
2004-03-08,64086600000
2004-03-09,63827350000
2004-03-10,64345850000
2004-03-11,63516250000
2004-03-12,62531100000
2004-03-15,60457100000
2004-03-16,60664500000
2004-03-17,61442250000
2004-03-18,60197850000
2004-03-19,59627500000
2004-03-22,58797900000
2004-03-23,59109000000
2004-03-24,59783050000
2004-03-25,61908900000
2004-03-26,61805200000
2004-03-29,62634800000
2004-03-30,62634800000
2004-03-31,62220000000
2004-04-01,63723649999
2004-04-02,65227300000
2004-04-05,66212450000
2004-04-06,64605100000
2004-04-07,64034750000
2004-04-08,64190300000
2004-04-12,64345850000
2004-04-13,63827350000
2004-04-14,64138449999
2004-04-15,62634800000
2004-04-16,62168150000
2004-04-19,63879200000
2004-04-20,62220000000
2004-04-21,62582950000
2004-04-22,64138449999
2004-04-23,64968050000
2004-04-26,63827350000
2004-04-27,62997750000
2004-04-28,61701500000
2004-04-29,59264550000
2004-04-30,58331250000
2004-05-03,58746050000
2004-05-04,58849750000
2004-05-05,58849750000
2004-05-06,59575650000
2004-05-07,59109000000
2004-05-10,59109000000
2004-05-11,60508950000
2004-05-12,60094150000
2004-05-13,61183000000
2004-05-14,60146000000
2004-05-17,58901600000
2004-05-18,58953449999
2004-05-19,58538649999
2004-05-20,58227550000
2004-05-21,58227550000
2004-05-24,58901600000
2004-05-25,59627500000
2004-05-26,59523800000
2004-05-27,59523800000
2004-05-28,59109000000
2004-06-01,57312479999
2004-06-02,57467100000
2004-06-03,56539380000
2004-06-04,56900159999
2004-06-07,58858680000
2004-06-08,59734860000
2004-06-09,59477159999
2004-06-10,60353340000
2004-06-14,59528700000
2004-06-15,60353340000
2004-06-16,58497900000
2004-06-17,57415560000
2004-06-18,57415560000
2004-06-21,57467100000
2004-06-22,57312479999
2004-06-23,57467100000
2004-06-24,59271000000
2004-06-25,60817200000
2004-06-28,59941020000
2004-06-29,60662580000
2004-06-30,61487220000
2004-07-01,60868740000
2004-07-02,60044100000
2004-07-06,57724800000
2004-07-07,57724800000
2004-07-08,56281680000
2004-07-09,56848620000
2004-07-12,57157860000
2004-07-13,56694000000
2004-07-14,55611659999
2004-07-15,55250880000
2004-07-16,52673880000
2004-07-19,53240820000
2004-07-20,54117000000
2004-07-21,53343900000
2004-07-22,53395440000
2004-07-23,52055400000
2004-07-26,51952320000
2004-07-27,53498520000
2004-07-28,52828500000
2004-07-29,53498520000
2004-07-30,54168540000
2004-08-02,54993180000
2004-08-03,54426240000
2004-08-04,55869360000
2004-08-05,54838560000
2004-08-06,52519260000
2004-08-09,53446979999
2004-08-10,54632400000
2004-08-11,52519260000
2004-08-12,51024600000
2004-08-13,52828500000
2004-08-16,52828500000
2004-08-17,52983120000
2004-08-18,54168540000
2004-08-19,53704680000
2004-08-20,53137740000
2004-08-23,53086200000
