,AVY
2000-08-10,5591700000
2000-08-11,5757489000
2000-08-14,5751603000
2000-08-15,5683914000
2000-08-16,5671161000
2000-08-17,5727078000
2000-08-18,5579928000
2000-08-21,5438664000
2000-08-22,5444550000
2000-08-23,5401386000
2000-08-24,5432778000
2000-08-25,5432778000
2000-08-28,5420025000
2000-08-29,5370975000
2000-08-30,5327811000
2000-08-31,5303286000
2000-09-01,5187528000
2000-09-05,5217939000
2000-09-06,5089428000
2000-09-07,4886361000
2000-09-08,4757850000
2000-09-11,4647978000
2000-09-12,4684275000
2000-09-13,4647978000
2000-09-14,4506714000
2000-09-15,4395861000
2000-09-18,4285989000
2000-09-19,4255578000
2000-09-20,4316400000
2000-09-21,4346811000
2000-09-22,4359564000
2000-09-25,4346811000
2000-09-26,4389975000
2000-09-27,4378203000
2000-09-28,4512600000
2000-09-29,4549878000
2000-10-02,4551088000
2000-10-03,4605744000
2000-10-04,4599888000
2000-10-05,4477888000
2000-10-06,4556944000
2000-10-09,4758000000
2000-10-10,4581344000
2000-10-11,4514000000
2000-10-12,4349056000
2000-10-13,4331488000
2000-10-16,4459344000
2000-10-17,4227056000
2000-10-18,4471056000
2000-10-19,4575488000
2000-10-20,4397856000
2000-10-23,4275856000
2000-10-24,4275856000
2000-10-25,4502288000
2000-10-26,4624288000
2000-10-27,4709200000
2000-10-30,4941488000
2000-10-31,4928800000
2000-11-01,4917088000
2000-11-02,4934656000
2000-11-03,4947344000
2000-11-06,4947344000
2000-11-07,4965888000
2000-11-08,5026400000
2000-11-09,4934656000
2000-11-10,4880000000
2000-11-13,5014688000
2000-11-14,5112288000
2000-11-15,5124000000
2000-11-16,5044944000
2000-11-17,5246000000
2000-11-20,5368000000
2000-11-21,5416800000
2000-11-22,5490000000
2000-11-24,5581744000
2000-11-27,5527088000
2000-11-28,5422656000
2000-11-29,5373856000
2000-11-30,5368000000
2000-12-01,5508544000
2000-12-04,5508544000
2000-12-05,5416800000
2000-12-06,5422656000
2000-12-07,5191344000
2000-12-08,5142544000
2000-12-11,5026400000
2000-12-12,5081056000
2000-12-13,5026400000
2000-12-14,4892688000
2000-12-15,4837056000
2000-12-18,4819488000
2000-12-19,4898544000
2000-12-20,4825344000
2000-12-21,4965888000
2000-12-22,4977600000
2000-12-26,5142544000
2000-12-27,5221600000
2000-12-28,5325056000
2000-12-29,5356288000
2001-01-02,5307488000
2001-01-03,5490000000
2001-01-04,5471456000
2001-01-05,5124000000
2001-01-08,5343600000
2001-01-09,5172800000
2001-01-10,5270400000
2001-01-11,5129856000
2001-01-12,5240144000
2001-01-16,5307488000
2001-01-17,5197200000
2001-01-18,5014688000
2001-01-19,4928800000
2001-01-22,4965888000
2001-01-23,5002000000
2001-01-24,4965888000
2001-01-25,5039088000
2001-01-26,4977600000
2001-01-29,5076176000
2001-01-30,5179632000
2001-01-31,5291872000
2001-02-01,5261616000
2001-02-02,5232336000
2001-02-05,5207936000
2001-02-06,5242096000
2001-02-07,5228432000
2001-02-08,5239168000
2001-02-09,5138640000
2001-02-12,5199152000
2001-02-13,5332864000
2001-02-14,5219648000
2001-02-15,5387520000
2001-02-16,5256736000
2001-02-20,5279184000
2001-02-21,5229408000
2001-02-22,5104480000
2001-02-23,5084960000
2001-02-26,5263568000
2001-02-27,5221600000
2001-02-28,5172800000
2001-03-01,5164016000
2001-03-02,5265520000
2001-03-05,5270400000
2001-03-06,5268448000
2001-03-07,5304560000
2001-03-08,5368000000
2001-03-09,5416800000
2001-03-12,5382640000
2001-03-13,5200128000
2001-03-14,5085936000
2001-03-15,5135712000
2001-03-16,5123024000
2001-03-19,5175728000
2001-03-20,5162064000
2001-03-21,5124000000
2001-03-22,5008832000
2001-03-23,5076176000
2001-03-26,5044944000
2001-03-27,5074224000
2001-03-28,5074224000
2001-03-29,5070320000
2001-03-30,5077152000
2001-04-02,5042568000
2001-04-03,4928142000
2001-04-04,5070930000
2001-04-05,5183400000
2001-04-06,5051370000
2001-04-09,5179488000
2001-04-10,5380956000
2001-04-11,5281200000
2001-04-12,5336946000
2001-04-16,5265552000
2001-04-17,5387802000
2001-04-18,5569710000
2001-04-19,5466042000
2001-04-20,5379000000
2001-04-23,5393670000
2001-04-24,5403450000
2001-04-25,5330100000
2001-04-26,5599050000
2001-04-27,5491470000
2001-04-30,5483646000
2001-05-01,5472888000
2001-05-02,5584380000
2001-05-03,5472888000
2001-05-04,5583402000
2001-05-07,5450394000
2001-05-08,5535480000
2001-05-09,5526678000
2001-05-10,5573622000
2001-05-11,5432790000
2001-05-14,5467020000
2001-05-15,5507118000
2001-05-16,5764332000
2001-05-17,5852352000
2001-05-18,5794650000
2001-05-21,5891472000
2001-05-22,5831814000
2001-05-23,5759442000
2001-05-24,5678268000
2001-05-25,5647950000
2001-05-29,5574600000
2001-05-30,5594160000
2001-05-31,5719344000
2001-06-01,5691960000
2001-06-04,5691960000
2001-06-05,5613720000
2001-06-06,5567754000
2001-06-07,5551128000
2001-06-08,5555040000
2001-06-11,5501250000
2001-06-12,5433768000
2001-06-13,5475822000
2001-06-14,5400516000
2001-06-15,5371176000
2001-06-18,5290980000
2001-06-19,5281200000
2001-06-20,5351616000
2001-06-21,4780464000
2001-06-22,4939878000
2001-06-25,4924230000
2001-06-26,5022030000
2001-06-27,5052348000
2001-06-28,5017140000
2001-06-29,4992690000
2001-07-02,5066325000
2001-07-03,5015417000
2001-07-05,5022270000
2001-07-06,4875420000
2001-07-09,4925349000
2001-07-10,4903811000
2001-07-11,4945908000
2001-07-12,4934160000
2001-07-13,4963530000
2001-07-16,4937097000
2001-07-17,4997795000
2001-07-18,4978215000
2001-07-19,5046745000
2001-07-20,4965488000
2001-07-23,4880315000
2001-07-24,4772625000
2001-07-25,5017375000
2001-07-26,5003669000
2001-07-27,4999753000
2001-07-30,4971362000
2001-07-31,5018354000
2001-08-01,4997795000
2001-08-02,5019333000
2001-08-03,5022270000
2001-08-06,4974299000
2001-08-07,4961572000
2001-08-08,4888147000
2001-08-09,4831365000
2001-08-10,4872483000
2001-08-13,4841155000
2001-08-14,4884231000
2001-08-15,4887168000
2001-08-16,4916538000
2001-08-17,4943950000
2001-08-20,5039892000
2001-08-21,5066325000
2001-08-22,5042829000
2001-08-23,5004648000
2001-08-24,5114296000
2001-08-27,5113317000
2001-08-28,5075136000
2001-08-29,5103527000
2001-08-30,4996816000
2001-08-31,5033039000
2001-09-04,5013459000
2001-09-05,5045766000
2001-09-06,4932202000
2001-09-07,4895000000
2001-09-10,4873462000
2001-09-17,4571930000
2001-09-18,4603258000
2001-09-19,4509274000
2001-09-20,4399626000
2001-09-21,4345781000
2001-09-24,4513190000
2001-09-25,4620880000
2001-09-26,4471093000
2001-09-27,4434870000
2001-09-28,4631649000
2001-10-01,4630500000
2001-10-02,4731440000
2001-10-03,4830420000
2001-10-04,4831400000
2001-10-05,4857860000
2001-10-08,4778480000
2001-10-09,4779460000
2001-10-10,4858840000
2001-10-11,4954880000
2001-10-12,4913720000
2001-10-15,4900000000
2001-10-16,4882360000
2001-10-17,4902940000
2001-10-18,4759860000
2001-10-19,4672640000
2001-10-22,4770640000
2001-10-23,4768680000
2001-10-24,4856880000
2001-10-25,4782400000
2001-10-26,4737320000
2001-10-29,4650100000
2001-10-30,4614820000
2001-10-31,4537400000
2001-11-01,4690280000
2001-11-02,4786320000
2001-11-05,4875500000
2001-11-06,5008780000
2001-11-07,5016620000
2001-11-08,5065620000
2001-11-09,5056800000
2001-11-12,4998980000
2001-11-13,5150880000
2001-11-14,5229280000
2001-11-15,5323360000
2001-11-16,5295920000
2001-11-19,5341000000
2001-11-20,5301800000
2001-11-21,5203800000
2001-11-23,5244960000
2001-11-26,5228300000
2001-11-27,5230260000
2001-11-28,5202820000
2001-11-29,5236140000
2001-11-30,5290040000
2001-12-03,5317480000
2001-12-04,5356680000
2001-12-05,5479180000
2001-12-06,5458600000
2001-12-07,5341000000
2001-12-10,5285140000
2001-12-11,5359620000
2001-12-12,5329240000
2001-12-13,5311600000
2001-12-14,5266520000
2001-12-17,5392940000
2001-12-18,5567380000
2001-12-19,5537000000
2001-12-20,5483100000
2001-12-21,5468400000
2001-12-24,5483100000
2001-12-26,5466440000
2001-12-27,5481140000
2001-12-28,5507600000
2001-12-31,5539940000
2002-01-02,5569340000
2002-01-03,5643820000
2002-01-04,5678120000
2002-01-07,5685960000
2002-01-08,5636960000
2002-01-09,5593840000
2002-01-10,5594820000
2002-01-11,5520340000
2002-01-14,5452720000
2002-01-15,5399800000
2002-01-16,5293960000
2002-01-17,5341000000
2002-01-18,5285140000
2002-01-22,5255740000
2002-01-23,5420380000
2002-01-24,5611480000
2002-01-25,5659500000
2002-01-28,5701640000
2002-01-29,5698700000
2002-01-30,5796700000
2002-01-31,5831000000
2002-02-01,5766320000
2002-02-04,5635000000
2002-02-05,5706540000
2002-02-06,5710460000
2002-02-07,5751620000
2002-02-08,5889800000
2002-02-11,5855500000
2002-02-12,5936840000
2002-02-13,6000540000
2002-02-14,6048560000
2002-02-15,6121080000
2002-02-19,5891760000
2002-02-20,5929000000
2002-02-21,5935860000
2002-02-22,6028960000
2002-02-25,6184780000
2002-02-26,6171060000
2002-02-27,6167140000
2002-02-28,6272000000
2002-03-01,6192620000
2002-03-04,6244560000
2002-03-05,6169100000
2002-03-06,6174000000
2002-03-07,6173020000
2002-03-08,6159300000
2002-03-11,6125000000
2002-03-12,6000540000
2002-03-13,5772200000
2002-03-14,5780040000
2002-03-15,5963300000
2002-03-18,6044640000
2002-03-19,6062280000
2002-03-20,6064240000
2002-03-21,5928020000
2002-03-22,5983880000
2002-03-25,5968200000
2002-03-26,5996620000
2002-03-27,6040720000
2002-03-28,5980940000
2002-04-01,5957963000
2002-04-02,5951082000
2002-04-03,5943218000
2002-04-04,5862612000
2002-04-05,6056263000
2002-04-08,6088702000
2002-04-09,6145716000
2002-04-10,6354112000
2002-04-11,6302013000
2002-04-12,6349197000
2002-04-15,6354112000
2002-04-16,6391466000
2002-04-17,6320690000
2002-04-18,6276455000
2002-04-19,6330520000
2002-04-22,6119175000
2002-04-23,6296115000
2002-04-24,6346248000
2002-04-25,6288251000
2002-04-26,6331503000
2002-04-29,6291200000
2002-04-30,6296115000
2002-05-01,6435701000
2002-05-02,6580202000
2002-05-03,6596913000
2002-05-06,6529086000
2002-05-07,6598879000
2002-05-08,6594947000
2002-05-09,6621488000
2002-05-10,6586100000
2002-05-13,6676536000
2002-05-14,6830866999
2002-05-15,6758125000
2002-05-16,6681451000
2002-05-17,6740430999
2002-05-20,6611658000
2002-05-21,6566440000
2002-05-22,6626403000
2002-05-23,6791547000
2002-05-24,6742397000
2002-05-28,6664740000
2002-05-29,6533017999
2002-05-30,6297098000
2002-05-31,6425871000
2002-06-03,6281370000
2002-06-04,6233203000
2002-06-05,6249914000
2002-06-06,6099515000
2002-06-07,6111311000
2002-06-10,6111311000
2002-06-11,6100498000
2002-06-12,6266625000
2002-06-13,6254829000
2002-06-14,6232220000
2002-06-17,6365908000
2002-06-18,6386551000
2002-06-19,6364925000
2002-06-20,6406211000
2002-06-21,6267608000
2002-06-24,6389500000
2002-06-25,6384585000
2002-06-26,6244999000
2002-06-27,6187002000
2002-06-28,6168325000
2002-07-01,6167085000
2002-07-02,5995695000
2002-07-03,6011455000
2002-07-05,6180875000
2002-07-08,6060705000
2002-07-09,5919850000
2002-07-10,5802635000
2002-07-11,5663750000
2002-07-12,5789830000
2002-07-15,5800665000
2002-07-16,5741565000
2002-07-17,5760280000
2002-07-18,5671630000
2002-07-19,5299300000
2002-07-22,5206710000
2002-07-23,5309150000
2002-07-24,5624350000
2002-07-25,5485465000
2002-07-26,5480540000
2002-07-29,6050855000
2002-07-30,6066615000
2002-07-31,6127685000
2002-08-01,5969100000
2002-08-02,5779980000
2002-08-05,5609575000
2002-08-06,5787860000
2002-08-07,5904090000
2002-08-08,6173980000
2002-08-09,6189740000
2002-08-12,6179890000
2002-08-13,6155265000
2002-08-14,6234065000
2002-08-15,6307940000
2002-08-16,6277405000
2002-08-19,6425155000
2002-08-20,6351280000
2002-08-21,6313849999
2002-08-22,6403485000
2002-08-23,6271495000
2002-08-26,6338474999
2002-08-27,6368025000
2002-08-28,6217320000
2002-08-29,6177920000
2002-08-30,6217320000
2002-09-03,6072525000
2002-09-04,6196635000
2002-09-05,5959250000
2002-09-06,6107000000
2002-09-09,6068585000
2002-09-10,6111925000
2002-09-11,6096165000
2002-09-12,5980920000
2002-09-13,5910000000
2002-09-16,5901135000
2002-09-17,5839080000
2002-09-18,5798695000
2002-09-19,5577070000
2002-09-20,5683450000
2002-09-23,5599725000
2002-09-24,5390905000
2002-09-25,5639125000
2002-09-26,5860750000
2002-09-27,5824305000
2002-09-30,5658114000
2002-10-01,6020559000
2002-10-02,5833875000
2002-10-03,5823945000
2002-10-04,5714715000
2002-10-07,5614422000
2002-10-08,5723652000
2002-10-09,5482353000
2002-10-10,5771316000
2002-10-11,5928210000
2002-10-14,5996727000
2002-10-15,6166530000
2002-10-16,6093048000
2002-10-17,6145677000
2002-10-18,6114894000
2002-10-21,6146670000
2002-10-22,6120852000
2002-10-23,6184404000
2002-10-24,6210222000
2002-10-25,6450527999
2002-10-28,6395913000
2002-10-29,6214194000
2002-10-30,6243984000
2002-10-31,6180432000
2002-11-01,6373074000
2002-11-04,6284697000
2002-11-05,6307536000
2002-11-06,6320445000
2002-11-07,6179439000
2002-11-08,6093048000
2002-11-11,5929203000
2002-11-12,5992755000
2002-11-13,5913315000
2002-11-14,6134754000
2002-11-15,6346263000
2002-11-18,6245970000
2002-11-19,6244977000
2002-11-20,6242991000
2002-11-21,6523017000
2002-11-22,6423717000
2002-11-25,6472374000
2002-11-26,6301578000
2002-11-27,6451521000
2002-11-29,6398892000
2002-12-02,6316473000
2002-12-03,6231075000
2002-12-04,6241005000
2002-12-05,6224124000
2002-12-06,6195327000
2002-12-09,5992755000
2002-12-10,6097020000
2002-12-11,6160572000
2002-12-12,6032475000
2002-12-13,5925231000
2002-12-16,6131775000
2002-12-17,6027510000
2002-12-18,5937147000
2002-12-19,5889483000
2002-12-20,5982825000
2002-12-23,5996727000
2002-12-24,5987790000
2002-12-26,6025524000
2002-12-27,5863665000
2002-12-30,6022545000
2002-12-31,6065244000
2003-01-02,6243984000
2003-01-03,6181425000
2003-01-06,6306543000
2003-01-07,6225117000
2003-01-08,6110922000
2003-01-09,6247956000
2003-01-10,6209229000
2003-01-13,6250935000
2003-01-14,6221145000
2003-01-15,6040419000
2003-01-16,6136740000
2003-01-17,6081132000
2003-01-21,6047370000
2003-01-22,5983818000
2003-01-23,6076167000
2003-01-24,6045384000
2003-01-27,5900406000
2003-01-28,5873595000
2003-01-29,5916294000
2003-01-30,5726631000
2003-01-31,5917287000
2003-02-03,5933175000
2003-02-04,5883525000
2003-02-05,5869623000
2003-02-06,5846784000
2003-02-07,5821959000
2003-02-10,5862672000
2003-02-11,5775288000
2003-02-12,5700813000
2003-02-13,5698827000
2003-02-14,5770323000
2003-02-18,5827917000
2003-02-19,5728617000
2003-02-20,5656128000
2003-02-21,5843805000
2003-02-24,5665065000
2003-02-25,5721666000
2003-02-26,5685918000
2003-02-27,5731596000
2003-02-28,5699820000
2003-03-03,5569737000
2003-03-04,5426745000
2003-03-05,5378088000
2003-03-06,5270844000
2003-03-07,5287725000
2003-03-10,5158635000
2003-03-11,5462493000
2003-03-12,5393976000
2003-03-13,5670030000
2003-03-14,5680953000
2003-03-17,5815008000
2003-03-18,5992755000
2003-03-19,6019566000
2003-03-20,5981832000
2003-03-21,6165537000
2003-03-24,6003678000
2003-03-25,6047370000
2003-03-26,6002685000
2003-03-27,5950056000
2003-03-28,5910336000
2003-03-31,5831798000
2003-04-01,5860624000
2003-04-02,6070358000
2003-04-03,6013700000
2003-04-04,5979904000
2003-04-07,5950084000
2003-04-08,5914300000
2003-04-09,5813906000
2003-04-10,5835774000
2003-04-11,5845714000
2003-04-14,5976922000
2003-04-15,5560436000
2003-04-16,5218500000
2003-04-17,4754302000
2003-04-21,5003796000
2003-04-22,5013736000
2003-04-23,5204584000
2003-04-24,5271182000
2003-04-25,5298020000
2003-04-28,5301996000
2003-04-29,5270188000
2003-04-30,5269194000
2003-05-01,5192656000
2003-05-02,5192656000
2003-05-05,5215518000
2003-05-06,5284104000
2003-05-07,5224464000
2003-05-08,5168800000
2003-05-09,5278140000
2003-05-12,5296032000
2003-05-13,5317900000
2003-05-14,5340762000
2003-05-15,5371576000
2003-05-16,5375552000
2003-05-19,5293050000
2003-05-20,5253290000
2003-05-21,5253290000
2003-05-22,5310942000
2003-05-23,5275158000
2003-05-27,5402390000
2003-05-28,5452090000
2003-05-29,5454078000
2003-05-30,5514712000
2003-06-02,5537574000
2003-06-03,5547514000
2003-06-04,5556460000
2003-06-05,5457060000
2003-06-06,5427240000
2003-06-09,5360642000
2003-06-10,5413324000
2003-06-11,5611130000
2003-06-12,5668782000
2003-06-13,5583298000
2003-06-16,5547514000
2003-06-17,5574352000
2003-06-18,5476940000
2003-06-19,5471970000
2003-06-20,5396426000
2003-06-23,4907378000
2003-06-24,4999820000
2003-06-25,4883522000
2003-06-26,4746350000
2003-06-27,4815930000
2003-06-30,4989880000
2003-07-01,5029640000
2003-07-02,5129040000
2003-07-03,5178740000
2003-07-07,5311936000
2003-07-08,5258260000
2003-07-09,5250308000
2003-07-10,5162836000
2003-07-11,5218500000
2003-07-14,5233410000
2003-07-15,5178740000
2003-07-16,5182716000
2003-07-17,5168800000
2003-07-18,5213530000
2003-07-21,5170788000
2003-07-22,5342750000
2003-07-23,5251302000
2003-07-24,5286092000
2003-07-25,5272176000
2003-07-28,5165818000
2003-07-29,5178740000
2003-07-30,5228440000
2003-07-31,5363624000
2003-08-01,5315912000
2003-08-04,5332810000
2003-08-05,5276152000
2003-08-06,5265218000
2003-08-07,5287086000
2003-08-08,5307960000
2003-08-11,5335792000
2003-08-12,5395432000
2003-08-13,5379528000
2003-08-14,5447120000
2003-08-15,5434198000
2003-08-18,5384498000
2003-08-19,5381516000
2003-08-20,5393444000
2003-08-21,5450102000
2003-08-22,5420282000
2003-08-25,5420282000
2003-08-26,5380522000
2003-08-27,5361636000
2003-08-28,5444138000
2003-08-29,5442150000
2003-09-02,5547514000
2003-09-03,5501790000
2003-09-04,5498808000
2003-09-05,5450102000
2003-09-08,5481910000
2003-09-09,5444138000
2003-09-10,5324858000
2003-09-11,5315912000
2003-09-12,5278140000
2003-09-15,5354678000
2003-09-16,5496820000
2003-09-17,5454078000
2003-09-18,5207566000
2003-09-19,5075364000
2003-09-22,4956084000
2003-09-23,4970000000
2003-09-24,4934216000
2003-09-25,4855690000
2003-09-26,4914336000
2003-09-29,5013913000
2003-09-30,5036844000
2003-10-01,5212316000
2003-10-02,5224280000
2003-10-03,5239235000
2003-10-06,5229265000
2003-10-07,5285097000
2003-10-08,5287091000
2003-10-09,5364857000
2003-10-10,5261169000
2003-10-13,5265157000
2003-10-14,5259175000
2003-10-15,5339932000
2003-10-16,5264160000
2003-10-17,5207331000
2003-10-20,5234250000
2003-10-21,5012916000
2003-10-22,5024880000
2003-10-23,5043823000
2003-10-24,5066754000
2003-10-27,5084700000
2003-10-28,5087691000
2003-10-29,5133553000
2003-10-30,5192376000
2003-10-31,5242226000
2003-11-03,5225277000
2003-11-04,5198358000
2003-11-05,5192376000
2003-11-06,5215307000
2003-11-07,5143523000
2003-11-10,5084700000
2003-11-11,5044820000
2003-11-12,5069745000
2003-11-13,5089685000
2003-11-14,5108628000
2003-11-17,5232256000
2003-11-18,5224280000
2003-11-19,5295067000
2003-11-20,5215307000
2003-11-21,5178418000
2003-11-24,5308028000
2003-11-25,5465554000
2003-11-26,5488485000
2003-11-28,5491476000
2003-12-01,5513410000
2003-12-02,5508425000
2003-12-03,5505434000
2003-12-04,5575224000
2003-12-05,5499452000
2003-12-08,5543320000
2003-12-09,5538335000
2003-12-10,5524377000
2003-12-11,5604137000
2003-12-12,5608125000
2003-12-15,5583200000
2003-12-16,5541326000
2003-12-17,5454587000
2003-12-18,5514407000
2003-12-19,5442623000
2003-12-22,5414707000
2003-12-23,5468545000
2003-12-24,5440629000
2003-12-26,5454587000
2003-12-29,5532353000
2003-12-30,5539332000
2003-12-31,5585194000
2004-01-02,5575224000
2004-01-05,5776618000
2004-01-06,5764654000
2004-01-07,5802540000
2004-01-08,5762660000
2004-01-09,5662960000
2004-01-12,5662960000
2004-01-13,5633050000
2004-01-14,5742720000
2004-01-15,5782600000
2004-01-16,5811513000
2004-01-20,5753687000
2004-01-21,5804534000
2004-01-22,5732750000
2004-01-23,5674924000
2004-01-26,5686888000
2004-01-27,6100643000
2004-01-28,5897255000
2004-01-29,5982000000
2004-01-30,6197352000
2004-02-02,6091670000
2004-02-03,6216295000
2004-02-04,6237232000
2004-02-05,6292067000
2004-02-06,6198349000
2004-02-09,6163454000
2004-02-10,6168439000
2004-02-11,6106625000
2004-02-12,6061760000
2004-02-13,6043814000
2004-02-17,6061760000
2004-02-18,6086685000
2004-02-19,6129556000
2004-02-20,6145508000
2004-02-23,6178409000
2004-02-24,6198349000
2004-02-25,6197352000
2004-02-26,6291070000
2004-02-27,6317989000
2004-03-01,6364848000
2004-03-02,6430650000
2004-03-03,6336932000
2004-03-04,6331947000
2004-03-05,6330950000
2004-03-08,6253184000
2004-03-09,6131550000
2004-03-10,6081700000
2004-03-11,6056775000
2004-03-12,6112607000
2004-03-15,6055778000
2004-03-16,6050793000
2004-03-17,6071730000
2004-03-18,6202337000
2004-03-19,6182397000
2004-03-22,6111610000
2004-03-23,6119586000
2004-03-24,6093664000
2004-03-25,6156475000
2004-03-26,6119586000
2004-03-29,6178815000
2004-03-30,6201792000
2004-03-31,6214779000
2004-04-01,6297696000
2004-04-02,6315678000
2004-04-05,6346647000
2004-04-06,6292701000
2004-04-07,6237756000
2004-04-08,6155838000
2004-04-12,6209784000
2004-04-13,6181812000
2004-04-14,6264729000
2004-04-15,6268725000
2004-04-16,6333660000
2004-04-19,6328665000
2004-04-20,6189804000
2004-04-21,6243750000
2004-04-22,6432561000
2004-04-23,6487506000
2004-04-26,6479514000
2004-04-27,6470523000
2004-04-28,6411582000
2004-04-29,6335658000
2004-04-30,6416577000
2004-05-03,6335658000
2004-05-04,6307686000
2004-05-05,6283710000
2004-05-06,6259734000
2004-05-07,6124869000
2004-05-10,5988006000
2004-05-11,6029964000
2004-05-12,6027966000
2004-05-13,6012981000
2004-05-14,5994999000
2004-05-17,5970024000
2004-05-18,6020973000
2004-05-19,5994999000
2004-05-20,5898096000
2004-05-21,5981013000
2004-05-24,5996997000
2004-05-25,6067926000
2004-05-26,6014979000
2004-05-27,5954040000
2004-05-28,5898096000
2004-06-01,5857137000
2004-06-02,5889105000
2004-06-03,5923071000
2004-06-04,5956038000
2004-06-07,5997996000
2004-06-08,6060933000
2004-06-09,6016977000
2004-06-10,5994999000
2004-06-14,6003990000
2004-06-15,6014979000
2004-06-16,6033960000
2004-06-17,6081912000
2004-06-18,6103890000
2004-06-21,6183810000
2004-06-22,6253740000
2004-06-23,6319674000
2004-06-24,6274719000
2004-06-25,6345648000
2004-06-28,6433560000
2004-06-29,6422571000
2004-06-30,6394599000
2004-07-01,6392601000
2004-07-02,6347646000
2004-07-06,6245748000
2004-07-07,6279714000
2004-07-08,6171822000
2004-07-09,6154839000
2004-07-12,6163830000
2004-07-13,6164829000
2004-07-14,6113880000
2004-07-15,6147846000
2004-07-16,6146847000
2004-07-19,6162831000
2004-07-20,6099894000
2004-07-21,5989005000
2004-07-22,6009984000
2004-07-23,5993001000
2004-07-26,5982012000
2004-07-27,6098895000
2004-07-28,6069924000
2004-07-29,6075918000
2004-07-30,6050943000
2004-08-02,6063930000
2004-08-03,6016977000
2004-08-04,6070923000
2004-08-05,5958036000
2004-08-06,5875119000
2004-08-09,5850144000
2004-08-10,5902092000
2004-08-11,5936058000
2004-08-12,5921073000
2004-08-13,5931063000
2004-08-16,6053940000
2004-08-17,6047946000
2004-08-18,6052941000
2004-08-19,6016977000
2004-08-20,6033960000
2004-08-23,6017976000
