,STT
2001-05-04,17398949000
2001-05-07,17317645500
2001-05-08,16881858739
2001-05-09,17060726440
2001-05-10,17223333440
2001-05-11,17116012820
2001-05-14,17067230719
2001-05-15,17281871960
2001-05-16,18049377000
2001-05-17,18172958320
2001-05-18,18055881280
2001-05-21,18426625240
2001-05-22,18647770760
2001-05-23,18293287500
2001-05-24,18241253260
2001-05-25,18172958320
2001-05-29,18078646260
2001-05-30,17646111640
2001-05-31,17877013580
2001-06-01,17675380900
2001-06-04,17837987900
2001-06-05,17883517860
2001-06-06,17584320980
2001-06-07,17603833820
2001-06-08,17441226820
2001-06-11,17428218260
2001-06-12,17382688300
2001-06-13,17226585580
2001-06-14,16790798820
2001-06-15,16624939680
2001-06-18,16501358360
2001-06-19,16446071980
2001-06-20,16319238520
2001-06-21,16618435400
2001-06-22,16429811280
2001-06-25,15854182500
2001-06-26,15610272000
2001-06-27,15581002739
2001-06-28,15594011300
2001-06-29,16094840860
2001-07-02,16578330940
2001-07-03,16660013690
2001-07-05,16663281000
2001-07-06,16300609590
2001-07-09,16578330940
2001-07-10,15911799700
2001-07-11,16009819000
2001-07-12,16336550000
2001-07-13,16771102230
2001-07-16,15843186190
2001-07-17,16996546620
2001-07-18,16767834920
2001-07-19,17199119840
2001-07-20,16836448430
2001-07-23,16999813930
2001-07-24,16849517670
2001-07-25,17653275930
2001-07-26,17313475690
2001-07-27,17578127800
2001-07-30,17512781600
2001-07-31,17568325870
2001-08-01,17607533590
2001-08-02,17937531900
2001-08-03,17826443360
2001-08-06,17551989320
2001-08-07,17463771950
2001-08-08,17156644810
2001-08-09,17127239020
2001-08-10,17094565920
2001-08-13,17427831540
2001-08-14,16891992700
2001-08-15,16771102230
2001-08-16,16859319600
2001-08-17,16467242400
2001-08-20,16859319600
2001-08-21,16486846260
2001-08-22,16715557959
2001-08-23,16614271350
2001-08-24,16552192459
2001-08-27,16248332629
2001-08-28,16137244090
2001-08-29,15947740110
2001-08-30,15689622620
2001-08-31,15866057360
2001-09-04,15656949520
2001-09-05,15274674250
2001-09-06,14702895000
2001-09-07,14562400670
2001-09-10,14807448920
2001-09-17,13967750250
2001-09-18,13957948320
2001-09-19,13467851820
2001-09-20,12631420459
2001-09-21,13150922750
2001-09-24,13984086800
2001-09-25,13977552180
2001-09-26,14029829140
2001-09-27,14026561830
2001-09-28,14866260500
2001-10-01,14494690700
2001-10-02,14941079300
2001-10-03,15073702000
2001-10-04,14646721600
2001-10-05,14226210599
2001-10-08,13650434000
2001-10-09,13847750700
2001-10-10,14103292000
2001-10-11,14465578400
2001-10-12,14261792300
2001-10-15,13970669300
2001-10-16,13805699600
2001-10-17,14300608700
2001-10-18,14232680000
2001-10-19,14054771500
2001-10-22,14407353800
2001-10-23,14475282500
2001-10-24,14669364500
2001-10-25,15258079900
2001-10-26,15316304500
2001-10-29,14779344300
2001-10-30,14805221900
2001-10-31,14730823800
2001-11-01,14724354400
2001-11-02,14624078700
2001-11-05,15254845199
2001-11-06,15736815500
2001-11-07,15966479200
2001-11-08,16212316400
2001-11-09,16199377600
2001-11-12,16157326500
2001-11-13,16432276000
2001-11-14,16632827400
2001-11-15,16817205300
2001-11-16,16477561800
2001-11-19,17192430500
2001-11-20,16894838099
2001-11-21,16946593300
2001-11-23,17273298000
2001-11-26,17612941500
2001-11-27,17370339000
2001-11-28,17095389500
2001-11-29,17179491700
2001-11-30,16930419800
2001-12-03,16464623000
2001-12-04,16788093000
2001-12-05,17176257000
2001-12-06,17418859500
2001-12-07,17564421000
2001-12-10,17266828600
2001-12-11,17240951000
2001-12-12,17105093600
2001-12-13,16762215400
2001-12-14,16474327100
2001-12-17,16529317000
2001-12-18,16723399000
2001-12-19,16859256400
2001-12-20,16813970599
2001-12-21,16807501200
2001-12-24,16746041900
2001-12-26,16784858300
2001-12-27,16836613500
2001-12-28,16933654500
2001-12-31,16901307500
2002-01-02,16867433790
2002-01-03,17123148100
2002-01-04,17530996240
2002-01-07,17848211460
2002-01-08,17621629160
2002-01-09,17776999880
2002-01-10,18045661750
2002-01-11,18042424860
2002-01-14,17754341650
2002-01-15,17945318160
2002-01-16,17731683420
2002-01-17,17770526100
2002-01-18,17543943800
2002-01-22,17802895000
2002-01-23,17641050500
2002-01-24,17670182510
2002-01-25,17709025190
2002-01-28,17563365140
2002-01-29,16770327090
2002-01-30,17094016090
2002-01-31,17407994420
2002-02-01,17178175230
2002-02-04,16411032300
2002-02-05,16300978040
2002-02-06,16407795410
2002-02-07,16608482590
2002-02-08,16825354219
2002-02-11,16848012450
2002-02-12,16792985320
2002-02-13,16828591110
2002-02-14,16754142640
2002-02-15,16841538670
2002-02-19,16148844210
2002-02-20,16271846030
2002-02-21,15844576550
2002-02-22,15844576550
2002-02-25,15954630810
2002-02-26,15970815260
2002-02-27,16436927420
2002-02-28,16411032300
2002-03-01,16504902110
2002-03-04,17161990780
2002-03-05,17482442890
2002-03-06,17838500790
2002-03-07,18113636440
2002-03-08,18285191610
2002-03-11,18443799220
2002-03-12,18094215100
2002-03-13,17809368780
2002-03-14,17916186150
2002-03-15,18586222380
2002-03-18,18359640080
2002-03-19,18641249510
2002-03-20,18158952900
2002-03-21,18100688880
2002-03-22,18133057780
2002-03-25,17757578540
2002-03-26,17912949260
2002-03-27,18094215100
2002-03-28,17925896820
2002-04-01,17815428580
2002-04-02,17795997100
2002-04-03,17397651760
2002-04-04,17507763480
2002-04-05,17611398040
2002-04-08,17634068100
2002-04-09,17750656980
2002-04-10,17906108820
2002-04-11,17261631400
2002-04-12,17523956380
2002-04-15,17281062880
2002-04-16,17569296500
2002-04-17,17779804200
2002-04-18,17634068100
2002-04-19,17795997100
2002-04-22,17342595900
2002-04-23,17222768440
2002-04-24,17106179560
2002-04-25,16921580500
2002-04-26,16801753040
2002-04-29,16383976220
2002-04-30,16552382380
2002-05-01,16513519420
2002-05-02,16477895040
2002-05-03,16056879640
2002-05-06,15078828480
2002-05-07,15253711800
2002-05-08,15752453120
2002-05-09,15467458080
2002-05-10,15059397000
2002-05-13,14965478180
2002-05-14,15091782800
2002-05-15,15545184000
2002-05-16,15690920100
2002-05-17,15946767920
2002-05-20,15422117960
2002-05-21,15460980920
2002-05-22,15075589900
2002-05-23,15324960560
2002-05-24,15240757480
2002-05-28,14978432500
2002-05-29,15065874160
2002-05-30,14962239600
2002-05-31,15046442680
2002-06-03,14748493320
2002-06-04,14385772360
2002-06-05,14486168339
2002-06-06,14317762180
2002-06-07,14502361240
2002-06-10,14612472960
2002-06-11,14275660640
2002-06-12,14499122660
2002-06-13,14052198620
2002-06-14,14013335660
2002-06-17,14499122660
2002-06-18,14573610000
2002-06-19,14385772360
2002-06-20,14136401700
2002-06-21,13980949860
2002-06-24,14100777320
2002-06-25,14006858500
2002-06-26,13844929500
2002-06-27,14379295200
2002-06-28,14476452600
2002-07-01,14245314300
2002-07-02,14025658660
2002-07-03,13705865890
2002-07-05,14497272240
2002-07-08,14251774760
2002-07-09,13793082100
2002-07-10,13218101160
2002-07-11,13502361400
2002-07-12,13466828870
2002-07-15,13447447490
2002-07-16,13631570600
2002-07-17,13754319340
2002-07-18,13195489550
2002-07-19,12662501600
2002-07-22,12268413539
2002-07-23,11670820990
2002-07-24,12594666770
2002-07-25,12449306420
2002-07-26,12471918030
2002-07-29,13421605650
2002-07-30,13524973010
2002-07-31,13728477500
2002-08-01,13424835880
2002-08-02,13088891960
2002-08-05,12504220330
2002-08-06,13111503570
2002-08-07,13172877940
2002-08-08,14112874870
2002-08-09,14161328320
2002-08-12,14119335330
2002-08-13,13602498530
2002-08-14,14206551539
2002-08-15,14536035000
2002-08-16,14229163150
2002-08-19,14552186150
2002-08-20,14180709700
2002-08-21,14368063039
2002-08-22,14432667640
2002-08-23,14267925910
2002-08-26,14503732700
2002-08-27,14332530510
2002-08-28,13980435440
2002-08-29,13977205210
2002-08-30,13993356360
2002-09-03,13011366440
2002-09-04,13231022080
2002-09-05,13085661730
2002-09-06,13457138179
2002-09-09,13634800830
2002-09-10,13437756800
2002-09-11,13440987030
2002-09-12,12904768850
2002-09-13,13140575640
2002-09-16,13088891960
2002-09-17,12949992070
2002-09-18,13043668740
2002-09-19,12333018140
2002-09-20,12597897000
2002-09-23,12604357460
2002-09-24,12116592730
2002-09-25,12568824929
2002-09-26,13001675750
2002-09-27,12458997110
2002-09-30,12481608720
2002-10-01,12798332520
2002-10-02,12138357840
2002-10-03,11361917040
2002-10-04,10986637320
2002-10-07,10485185969
2002-10-08,10957520790
2002-10-09,10475480460
2002-10-10,11096633100
2002-10-11,11869838730
2002-10-14,12080124780
2002-10-15,12714218100
2002-10-16,12626868510
2002-10-17,13196258430
2002-10-18,13079792310
2002-10-21,13377427950
2002-10-22,13138025370
2002-10-23,13238315640
2002-10-24,13031264760
2002-10-25,13616830530
2002-10-28,13506834750
2002-10-29,13312724550
2002-10-30,13594184340
2002-10-31,13383898290
2002-11-01,13817411070
2002-11-04,13995345420
2002-11-05,14105341200
2002-11-06,14377095480
2002-11-07,13878879300
2002-11-08,13778589030
2002-11-11,13413014820
2002-11-12,13516540260
2002-11-13,13561832640
2002-11-14,13988875080
2002-11-15,14205631469
2002-11-18,14005050930
2002-11-19,14024461950
2002-11-20,14419152690
2002-11-21,15273237570
2002-11-22,14800902750
2002-11-25,14687671800
2002-11-26,14250923850
2002-11-27,14606792550
2002-11-29,14558265000
2002-12-02,14286510719
2002-12-03,13966228890
2002-12-04,13820646240
2002-12-05,13425955500
2002-12-06,13726826310
2002-12-09,13309489380
2002-12-10,13578008490
2002-12-11,13471247880
2002-12-12,13361252100
2002-12-13,13157436390
2002-12-16,13506834750
2002-12-17,13383898290
2002-12-18,12998913060
2002-12-19,12921268980
2002-12-20,13021559250
2002-12-23,12866271090
2002-12-24,12694807080
2002-12-26,12778921500
2002-12-27,12555694770
2002-12-30,12672160890
2002-12-31,12617163000
2003-01-02,13406866920
2003-01-03,13278335010
2003-01-06,13716661780
2003-01-07,13568355730
2003-01-08,13182760000
2003-01-09,13245378110
2003-01-10,13258560869
2003-01-13,13337657430
2003-01-14,13215716900
2003-01-15,13215716900
2003-01-16,13301404840
2003-01-17,13387092780
2003-01-21,13281630700
2003-01-22,13162985860
2003-01-23,13380501400
2003-01-24,13097072060
2003-01-27,13021271190
2003-01-28,13232195350
2003-01-29,13139916030
2003-01-30,12764207369
2003-01-31,13047636710
2003-02-03,12971835840
2003-02-04,12671928050
2003-02-05,12457708200
2003-02-06,12322584910
2003-02-07,12197348690
2003-02-10,12339063360
2003-02-11,12246784039
2003-02-12,12045746950
2003-02-13,11973241770
2003-02-14,12286332320
2003-02-18,12428046990
2003-02-19,12418159920
2003-02-20,12256671110
2003-02-21,12431342680
2003-02-24,11920510730
2003-02-25,11917215039
2003-02-26,11801865890
2003-02-27,12055634020
2003-02-28,12144617650
2003-03-03,11956763320
2003-03-04,11726065020
2003-03-05,11867779690
2003-03-06,11600828800
2003-03-07,11567871900
2003-03-10,11073518400
2003-03-11,10931803730
2003-03-12,11040561500
2003-03-13,11627194320
2003-03-14,11620602940
2003-03-17,12233601280
2003-03-18,12223714210
2003-03-19,12378611640
2003-03-20,12688406500
2003-03-21,11241598590
2003-03-24,10856002860
2003-03-25,10796680440
2003-03-26,10730766640
2003-03-27,10430858850
2003-03-28,10526433860
2003-03-31,10479809750
2003-04-01,10605713250
2003-04-02,10910532250
2003-04-03,10850893750
2003-04-04,10966857500
2003-04-07,11069568249
2003-04-08,11009929749
2003-04-09,10708424000
2003-04-10,10817761250
2003-04-11,10840954000
2003-04-14,10996676750
2003-04-15,11159026000
2003-04-16,10943664750
2003-04-17,10993363500
2003-04-21,11099387500
2003-04-22,11430712500
2003-04-23,11523483500
2003-04-24,11510230500
2003-04-25,11404206500
2003-04-28,11603001500
2003-04-29,11622881000
2003-04-30,11606314750
2003-05-01,11656013500
2003-05-02,11977398750
2003-05-05,12053603500
2003-05-06,12196073250
2003-05-07,12159627500
2003-05-08,11884627750
2003-05-09,12090049250
2003-05-12,12381615250
2003-05-13,12371675500
2003-05-14,12321976750
2003-05-15,12451193500
2003-05-16,12540651250
2003-05-19,12056916750
2003-05-20,12037037250
2003-05-21,11927700000
2003-05-22,11811736250
2003-05-23,12176193750
2003-05-27,12206013000
2003-05-28,12341856250
2003-05-29,12378302000
2003-05-30,12693060750
2003-06-02,13021072500
2003-06-03,12901795500
2003-06-04,13209927750
2003-06-05,13286132500
2003-06-06,13319265000
2003-06-09,12838843750
2003-06-10,13123783250
2003-06-11,13425289000
2003-06-12,13461734750
2003-06-13,13388843249
2003-06-16,13501493750
2003-06-17,13527999750
2003-06-18,13581011750
2003-06-19,13276192750
2003-06-20,13276192750
2003-06-23,13001193000
2003-06-24,13047578500
2003-06-25,12928301500
2003-06-26,13014446000
2003-06-27,13064144750
2003-06-30,13054205000
2003-07-01,13166908980
2003-07-02,13406126100
2003-07-03,13399481180
2003-07-07,13701825040
2003-07-08,14057328260
2003-07-09,14123777460
2003-07-10,14113810079
2003-07-11,14210161420
2003-07-14,14618824000
2003-07-15,14884620800
2003-07-16,15007551820
2003-07-17,14721820260
2003-07-18,14838106359
2003-07-21,14708530420
2003-07-22,14791591920
2003-07-23,14768334700
2003-07-24,14947747540
2003-07-25,15283316000
2003-07-28,15130482840
2003-07-29,15054066260
2003-07-30,15093935780
2003-07-31,15250091400
2003-08-01,14848073740
2003-08-04,14841428820
2003-08-05,14402864100
2003-08-06,14552374800
2003-08-07,14801559300
2003-08-08,14701885500
2003-08-11,14671983359
2003-08-12,14784947000
2003-08-13,14608856620
2003-08-14,14831461440
2003-08-15,14708530420
2003-08-18,14788269460
2003-08-19,14818171600
2003-08-20,14877975880
2003-08-21,14964359840
2003-08-22,14814849140
2003-08-25,14758367320
2003-08-26,14695240579
2003-08-27,14459345920
2003-08-28,14492570520
2003-08-29,14602211700
2003-09-02,14911200480
2003-09-03,14967682300
2003-09-04,14901233100
2003-09-05,14509182820
2003-09-08,14652048600
2003-09-09,14967682300
2003-09-10,14612179079
2003-09-11,14761689780
2003-09-12,14824816520
2003-09-15,14801559300
2003-09-16,15070678560
2003-09-17,15250091400
2003-09-18,15981032600
2003-09-19,15848134200
2003-09-22,15582337400
2003-09-23,15505920820
2003-09-24,15206899420
2003-09-25,15067356100
2003-09-26,14917845400
2003-09-29,15000906900
2003-09-30,14951070000
2003-10-01,15345600000
2003-10-02,15368952000
2003-10-03,15572448000
2003-10-06,15822648000
2003-10-07,15859344000
2003-10-08,15812640000
2003-10-09,16002792000
2003-10-10,16046160000
2003-10-13,16609944000
2003-10-14,17567376000
2003-10-15,17477304000
2003-10-16,17740848000
2003-10-17,17430600000
2003-10-20,17347200000
2003-10-21,17127024000
2003-10-22,16680000000
2003-10-23,16780080000
2003-10-24,16820112000
2003-10-27,16950216000
2003-10-28,17514000000
2003-10-29,17427264000
2003-10-30,17400576000
2003-10-31,17467296000
2003-11-03,17634096000
2003-11-04,17470632000
2003-11-05,16926864000
2003-11-06,16980240000
2003-11-07,16990248000
2003-11-10,16786752000
2003-11-11,16820112000
2003-11-12,16796760000
2003-11-13,17083656000
2003-11-14,16930200000
2003-11-17,16846800000
2003-11-18,16629960000
2003-11-19,16663320000
2003-11-20,16536552000
2003-11-21,16506527999
2003-11-24,16720032000
2003-11-25,16813440000
2003-11-26,17036952000
2003-11-28,17000256000
2003-12-01,17307168000
2003-12-02,17283816000
2003-12-03,17250456000
2003-12-04,17253792000
2003-12-05,16840127999
2003-12-08,17170392000
2003-12-09,16813440000
2003-12-10,16703352000
2003-12-11,16966896000
2003-12-12,16706688000
2003-12-15,16619952000
2003-12-16,16796760000
2003-12-17,16623288000
2003-12-18,16796760000
2003-12-19,16910184000
2003-12-22,17003592000
2003-12-23,17170392000
2003-12-24,17160384000
2003-12-26,17193744000
2003-12-29,17333856000
2003-12-30,17417256000
2003-12-31,17373888000
2004-01-02,17237048850
2004-01-05,17953167750
2004-01-06,18190758600
2004-01-07,17949821400
2004-01-08,18070290000
2004-01-09,18321266250
2004-01-12,18478544700
2004-01-13,17836045500
2004-01-14,18662593950
2004-01-15,18823218750
2004-01-16,18649208550
2004-01-20,18732867300
2004-01-21,18890145750
2004-01-22,18783062550
2004-01-23,18441734850
2004-01-26,18465159300
2004-01-27,18073636350
2004-01-28,17846084550
2004-01-29,17953167750
2004-01-30,18020094750
2004-02-02,17815967400
2004-02-03,17795889300
2004-02-04,17708884200
2004-02-05,17588415600
2004-02-06,17856123600
2004-02-09,17718923250
2004-02-10,17856123600
2004-02-11,18080329050
2004-02-12,18137217000
2004-02-13,18180719550
2004-02-17,18230914800
2004-02-18,18140563350
2004-02-19,18187412250
2004-02-20,18160641450
2004-02-23,17879548050
2004-02-24,17896279800
2004-02-25,18097060800
2004-02-26,17926396950
2004-02-27,17979938550
2004-03-01,17872855350
2004-03-02,17698845150
2004-03-03,17682113400
2004-03-04,17722269600
2004-03-05,18167334150
2004-03-08,17852777250
2004-03-09,17534874000
2004-03-10,17096502150
2004-03-11,16681554750
2004-03-12,17039614200
2004-03-15,16691593800
2004-03-16,17404366350
2004-03-17,17889587100
2004-03-18,17862816300
2004-03-19,17494717800
2004-03-22,17307322200
2004-03-23,17253780600
2004-03-24,17237048850
2004-03-25,17437829850
2004-03-26,17528181300
2004-03-29,17755733100
2004-03-30,17534874000
2004-03-31,17459900900
2004-04-01,17510140400
2004-04-02,17603920800
2004-04-05,17958946600
2004-04-06,17895309900
2004-04-07,17757988600
2004-04-08,17838371800
2004-04-12,18203445500
2004-04-13,17463250200
2004-04-14,16716356299
2004-04-15,16528795500
2004-04-16,16666116800
2004-04-19,16428316500
2004-04-20,16200564100
2004-04-21,16073290700
2004-04-22,16445063000
2004-04-23,16810136700
2004-04-26,16629274500
2004-04-27,16739801399
2004-04-28,16418268600
2004-04-29,16374727700
2004-04-30,16344584000
2004-05-03,16280947300
2004-05-04,16461809500
2004-05-05,16803438100
2004-05-06,16619226600
2004-05-07,15942668000
2004-05-10,15668025400
2004-05-11,15580943600
2004-05-12,15674724000
2004-05-13,15684771900
2004-05-14,15624484500
2004-05-17,15406780000
2004-05-18,15724963500
2004-05-19,15828791800
2004-05-20,15791949500
2004-05-21,16013003300
2004-05-24,15966113100
2004-05-25,16287645900
2004-05-26,16311091000
2004-05-27,16217310600
2004-05-28,16217310600
2004-06-01,16213961299
2004-06-02,16217310600
2004-06-03,16046496299
2004-06-04,16146975300
2004-06-07,16478556000
2004-06-08,16378077000
2004-06-09,16240755700
2004-06-10,16264200800
2004-06-14,15999606100
2004-06-15,16013003300
2004-06-16,15929270800
2004-06-17,16093386500
2004-06-18,16274248700
2004-06-21,16438364400
2004-06-22,16542192700
2004-06-23,16672815400
2004-06-24,16749849300
2004-06-25,16612528000
2004-06-28,16368029100
2004-06-29,16304392400
2004-06-30,16424967200
2004-07-01,16472524080
2004-07-02,16663830900
2004-07-06,16408755140
2004-07-07,16415467659
2004-07-08,16334917420
2004-07-09,16395330100
2004-07-12,16616843260
2004-07-13,15086388700
2004-07-14,14895081880
2004-07-15,14717200100
2004-07-16,14640006120
2004-07-19,14546030840
2004-07-20,14777612780
2004-07-21,14697062540
2004-07-22,14586305960
2004-07-23,14210404840
2004-07-26,14116429560
2004-07-27,14351367760
2004-07-28,14267461260
2004-07-29,14613156040
2004-07-30,14368149060
2004-08-02,14656787420
2004-08-03,14619868560
2004-08-04,14750762700
2004-08-05,14435274260
2004-08-06,14250679960
2004-08-09,14196979799
2004-08-10,14441986780
2004-08-11,14445343040
2004-08-12,14334586460
2004-08-13,14378217840
2004-08-16,14780969040
2004-08-17,15005838460
2004-08-18,15270983000
2004-08-19,15156870159
2004-08-20,15200501540
2004-08-23,15156870159
2004-08-24,15089744960
