,DELL
2016-12-16,9060480000
2016-12-19,9054760000
2016-12-20,9157720000
2016-12-21,9197759999
2016-12-22,8963240000
2016-12-23,9003280000
2016-12-27,8997560000
2016-12-28,8883160000
2016-12-29,8871720000
2016-12-30,8825960000
2017-01-03,8757320000
2017-01-04,8831680000
2017-01-05,8871720000
2017-01-06,9117680000
2017-01-09,9066200000
2017-01-10,9146280000
2017-01-11,9243520000
2017-01-12,9254960000
2017-01-13,9340759999
2017-01-17,9300720000
2017-01-18,9403680000
2017-01-19,9438000000
2017-01-20,9512360000
2017-01-23,9357920000
2017-01-24,9592440000
2017-01-25,9643920000
2017-01-26,9569560000
2017-01-27,10038600000
2017-01-30,10021440000
2017-01-31,10112960000
2017-02-01,10130120000
2017-02-02,10267400000
2017-02-03,12974928966
2017-02-06,13032403734
2017-02-07,13075509811
2017-02-08,13075509811
2017-02-09,13104247195
2017-02-10,13053956772
2017-02-13,13068325464
2017-02-14,13075509811
2017-02-15,13132984579
2017-02-16,13132984579
2017-02-17,13025219388
2017-02-21,13125800233
2017-02-22,13061141118
2017-02-23,12924638543
2017-02-24,12953375928
2017-02-27,12910269851
2017-02-28,12802504661
2017-03-01,12917454197
2017-03-02,12795320315
2017-03-03,12788135969
2017-03-06,12644449048
2017-03-07,12709108162
2017-03-08,12809689007
2017-03-09,12730661200
2017-03-10,12802504661
2017-03-13,12802504661
2017-03-14,12802504661
2017-03-15,12852795083
2017-03-16,12903085505
2017-03-17,12939007236
2017-03-20,12917454197
2017-03-21,12586974279
2017-03-22,12694739470
2017-03-23,12716292508
2017-03-24,12773767276
2017-03-27,12773767276
2017-03-28,12816873353
2017-03-29,12881532467
2017-03-30,12903085505
2017-03-31,12917454197
2017-04-03,12874348121
2017-04-04,12939007236
2017-04-05,12910269851
2017-04-06,12946191582
2017-04-07,13082694157
2017-04-10,13089878503
2017-04-11,13125800233
2017-04-12,12881532467
2017-04-13,12888716813
2017-04-17,12953375928
2017-04-18,12982113312
2017-04-19,13010850696
2017-04-20,13082694157
2017-04-21,12989297658
2017-04-24,13341330614
2017-04-25,13377252345
2017-04-26,13520939266
2017-04-27,13592782726
2017-04-28,13528123612
2017-05-01,13621520110
2017-05-02,13492201881
2017-05-03,13341330614
2017-05-04,13370067999
2017-05-05,13564045342
2017-05-08,13635888802
2017-05-09,13556860996
2017-05-10,13506570574
2017-05-11,13326961922
2017-05-12,13097062849
2017-05-15,13362883653
2017-05-16,13413174075
2017-05-17,13082694157
2017-05-18,13039588080
2017-05-19,13089878503
2017-05-22,13585598380
2017-05-23,13585598380
2017-05-24,13722100955
2017-05-25,13844234838
2017-05-26,13872972222
2017-05-30,13858603530
2017-05-31,13987921759
2017-06-01,13966368721
2017-06-02,13758022685
2017-06-05,13427542767
2017-06-06,13535307958
2017-06-07,13678994879
2017-06-08,13125800233
2017-06-09,12615711663
2017-06-12,12551052549
2017-06-13,12666002086
2017-06-14,12536683857
2017-06-15,12472024742
2017-06-16,12522315165
2017-06-19,12637264701
2017-06-20,12543868203
2017-06-21,12766582930
2017-06-22,12816873353
2017-06-23,12824057699
2017-06-26,12795320315
2017-06-27,12493577780
2017-06-28,12644449048
2017-06-29,12256494361
2017-06-30,12321153475
2017-07-03,12170282208
2017-07-05,12256494361
2017-07-06,12263678707
2017-07-07,12400181282
2017-07-10,12400181282
2017-07-11,12407365628
2017-07-12,12414549974
2017-07-13,12357075206
2017-07-14,12342706513
2017-07-17,12687555124
2017-07-18,12644449048
2017-07-19,12831242045
2017-07-20,12888716813
2017-07-21,12831242045
2017-07-24,12838426391
2017-07-25,12845610737
2017-07-26,12910269851
2017-07-27,12809689007
2017-07-28,12845610737
2017-07-31,12960560274
2017-08-01,12996482004
2017-08-02,12874348121
2017-08-03,12903085505
2017-08-04,12982113312
2017-08-07,12996482004
2017-08-08,12996482004
2017-08-09,12924638543
2017-08-10,12737845546
2017-08-11,12709108162
2017-08-14,13657441841
2017-08-15,13348514960
2017-08-16,13549676650
2017-08-17,13384436691
2017-08-18,13470648843
2017-08-21,13520939266
2017-08-22,13851419184
2017-08-23,13952000029
2017-08-24,14095686950
2017-08-25,14462088598
2017-08-28,14677618980
2017-08-29,14706356364
2017-08-30,14964992822
2017-08-31,15108679743
2017-09-01,15072758012
2017-09-05,15079942358
2017-09-06,15058389320
2017-09-07,15015283244
2017-09-08,14972177168
2017-09-11,15216444933
2017-09-12,15374500546
2017-09-13,15467897045
2017-09-14,15597215274
2017-09-15,15518187468
2017-09-18,15496634429
2017-09-19,15489450083
2017-09-20,15489450083
2017-09-21,15446344007
2017-09-22,15525371814
2017-09-25,15309841432
2017-09-26,15345763162
2017-09-27,15546924852
2017-09-28,15554109198
2017-09-29,15568477890
2017-10-02,15712164811
2017-10-03,15784008271
2017-10-04,15769639579
2017-10-05,15934879538
2017-10-06,15934879538
2017-10-09,15977985615
2017-10-10,15942063884
2017-10-11,15999538653
2017-10-12,16186331650
2017-10-13,16265359457
2017-10-16,16351571609
2017-10-17,16330018571
2017-10-18,16401862032
2017-10-19,16459336800
2017-10-20,16581470683
2017-10-23,16674867182
2017-10-24,16782632372
2017-10-25,16653314143
2017-10-26,16732341950
2017-10-27,16911950601
2017-10-30,16768263680
2017-10-31,16689235874
2017-11-01,16617392413
2017-11-02,16502442876
2017-11-03,12870900000
2017-11-06,12972960000
2017-11-07,13126050000
2017-11-08,13097700000
2017-11-09,13029660000
2017-11-10,13143060000
2017-11-13,13018320000
2017-11-14,12967290000
2017-11-15,12774510000
2017-11-16,12938940000
2017-11-17,12967290000
2017-11-20,12933270000
2017-11-21,13086359999
2017-11-22,12853890000
2017-11-24,12882240000
2017-11-27,13035330000
2017-11-28,13137390000
2017-11-29,12411630000
2017-11-30,12451320000
2017-12-01,12723480000
2017-12-04,11918340000
2017-12-05,11850300000
2017-12-06,11946690000
2017-12-07,12077100000
2017-12-08,12292560000
2017-12-11,12615750000
2017-12-12,12610080000
2017-12-13,12757500000
2017-12-14,12689460000
2017-12-15,12887910000
2017-12-18,13488930000
2017-12-19,13262130000
2017-12-20,13262130000
2017-12-21,13131720000
2017-12-22,13063680000
2017-12-26,12950280000
2017-12-27,12933270000
2017-12-28,12893580000
2017-12-29,12933270000
2018-01-02,13114710000
2018-01-03,13256460000
2018-01-04,13488930000
2018-01-05,13590990000
2018-01-08,13585320000
2018-01-09,13409550000
2018-01-10,13466250000
2018-01-11,13817790000
2018-01-12,13806450000
2018-01-16,13698720000
2018-01-17,14021910000
2018-01-18,14067270000
2018-01-19,14078609999
2018-01-22,14152320000
2018-01-23,14180670000
2018-01-24,14061600000
2018-01-25,14072940000
2018-01-26,13165740000
2018-01-29,11901330000
2018-01-30,11152890000
2018-01-31,11408040000
2018-02-01,11181240000
2018-02-02,14296848639
2018-02-05,13628704456
2018-02-06,13556860996
2018-02-07,13463464497
2018-02-08,13233565424
2018-02-09,13571229688
2018-02-12,13714916609
2018-02-13,13772391377
2018-02-14,14088502604
2018-02-15,13916078298
2018-02-16,14074133911
2018-02-20,14074133911
2018-02-21,14095686950
2018-02-22,14225005179
2018-02-23,14469272944
2018-02-26,14598591173
2018-02-27,14663250288
2018-02-28,14979361514
2018-03-01,15194891895
2018-03-02,14850043285
2018-03-05,14921886745
2018-03-06,15245182318
2018-03-07,15582846582
2018-03-08,15611583966
2018-03-09,15819930002
2018-03-12,15683427427
2018-03-13,15590030928
2018-03-14,15690611773
2018-03-15,15647505696
2018-03-16,15719349157
2018-03-19,15719349157
2018-03-20,15776823925
2018-03-21,15324210124
2018-03-22,15015283244
2018-03-23,14749462440
2018-03-26,15144601473
2018-03-27,14857227631
2018-03-28,14533932059
2018-03-29,14763831132
2018-04-02,14627328557
2018-04-03,14684803326
2018-04-04,14713540710
2018-04-05,14677618980
2018-04-06,14375876446
2018-04-09,14498010328
2018-04-10,14677618980
2018-04-11,14505194674
2018-04-12,14656065941
2018-04-13,14699172018
2018-04-16,14993730206
2018-04-17,15202076241
2018-04-18,15281104048
2018-04-19,14900333707
2018-04-20,14648881595
2018-04-23,14735093748
2018-04-24,14605775519
2018-04-25,14469272944
2018-04-26,14713540710
2018-04-27,14641697249
2018-04-30,14469272944
2018-05-01,14397429484
2018-05-02,14253742563
2018-05-03,14354323407
2018-05-04,14706356364
2018-05-07,14612959865
2018-05-08,14519563367
2018-05-09,14663250288
2018-05-10,15058389320
2018-05-11,14986545860
2018-05-14,14850043285
2018-05-15,14907518053
2018-05-16,14964992822
2018-05-17,14986545860
2018-05-18,15891773462
2018-05-21,16222253380
2018-05-22,16286912495
2018-05-23,16509627222
2018-05-24,16667682836
2018-05-25,16538364607
2018-05-29,16243806419
2018-05-30,16337202917
2018-05-31,16265359457
2018-06-01,17105927945
2018-06-04,17141849675
2018-06-05,17472329593
2018-06-06,17608832168
2018-06-07,17752519089
2018-06-08,17809993857
2018-06-11,17673491283
2018-06-12,17479513939
2018-06-13,17723781705
2018-06-14,17723781705
2018-06-15,17824362550
2018-06-18,18061445969
2018-06-19,17946496432
2018-06-20,17982418163
2018-06-21,17960865125
2018-06-22,17903390356
2018-06-25,17328642672
2018-06-26,17429223517
2018-06-27,16933503639
2018-06-28,17192140097
2018-06-29,17055637522
2018-07-02,18593087577
2018-07-03,19117544839
2018-07-05,18923567495
2018-07-06,18822986651
2018-07-09,18880461419
2018-07-10,19024148340
2018-07-11,18973857918
2018-07-12,19175019607
2018-07-13,19131913531
2018-07-16,19110360493
2018-07-17,19124729185
2018-07-18,19167835261
2018-07-19,19103176146
2018-07-20,19016963994
2018-07-23,18873277073
2018-07-24,18772696228
2018-07-25,18909198803
2018-07-26,19031332686
2018-07-27,18887645765
2018-07-30,18693668422
2018-07-31,18657746691
2018-08-01,18693668422
2018-08-02,18758327536
2018-08-03,18772696228
2018-08-06,18837355343
2018-08-07,18894830111
2018-08-08,18981042264
2018-08-09,19103176146
2018-08-10,19060070070
2018-08-13,18952304879
2018-08-14,19124729185
2018-08-15,19088807454
2018-08-16,19268416106
2018-08-17,19153466569
2018-08-20,19160650915
2018-08-21,19175019607
2018-08-22,19304337836
2018-08-23,19218125683
2018-08-24,19225310029
2018-08-27,19239678721
2018-08-28,19203756991
2018-08-29,19368996950
2018-08-30,19483946487
2018-08-31,19390549988
2018-09-04,19383365642
2018-09-05,19289969144
2018-09-06,19333075220
2018-09-07,19404918681
2018-09-10,19527052563
2018-09-11,19498315179
2018-09-12,19606080370
2018-09-13,19627633408
2018-09-14,19893454212
2018-09-17,19620449062
2018-09-18,19433656065
2018-09-19,19246863067
2018-09-20,19347443912
2018-09-21,19397734335
2018-09-24,19397734335
2018-09-25,19548605602
2018-09-26,19476762141
2018-09-27,19606080370
2018-09-28,19584527332
2018-10-01,19498315179
2018-10-02,19512683871
2018-10-03,19476762141
2018-10-04,19498315179
2018-10-05,19548605602
2018-10-08,19268416106
2018-10-09,19067254416
2018-10-10,18643377999
2018-10-11,18499691078
2018-10-12,19052885724
2018-10-15,19153466569
2018-10-16,19289969144
2018-10-17,19175019607
2018-10-18,19052885724
2018-10-19,18909198803
2018-10-22,19095991800
2018-10-23,18722405806
2018-10-24,18118920738
2018-10-25,18320082427
2018-10-26,17838731242
2018-10-29,17493882631
2018-10-30,17881837318
2018-10-31,18226685928
2018-11-01,18377557195
2018-11-02,18399210000
2018-11-05,18507060000
2018-11-06,18586150000
2018-11-07,19743740000
2018-11-08,19959440000
2018-11-09,19786880000
2018-11-12,19873160000
2018-11-13,20491500000
2018-11-14,21325540000
2018-11-15,21196120000
2018-11-16,21081080000
2018-11-19,20843810000
2018-11-20,20714390000
2018-11-21,20779100000
2018-11-23,20966040000
2018-11-26,21311160000
2018-11-27,21117030000
2018-11-28,21512480000
2018-11-29,21390250000
2018-11-30,21282400000
2018-12-03,21296780000
2018-12-04,21081080000
2018-12-06,21311160000
2018-12-07,20987610000
2018-12-10,21009180000
2018-12-11,21131410000
2018-12-12,21188930000
2018-12-13,21289590000
2018-12-14,21347110000
2018-12-17,21203310000
2018-12-18,21361490000
2018-12-19,21160170000
2018-12-20,20865380000
2018-12-21,15357840000
2018-12-24,16242210000
2018-12-26,16371630000
2018-12-27,16141550000
2018-12-28,16544190000
2018-12-31,17802440000
2019-01-02,17162530000
2019-01-03,16436340000
2019-01-04,16759890000
2019-01-07,16867740000
2019-01-08,17069059999
2019-01-09,17097820000
2019-01-10,16457910000
2019-01-11,16199070000
2019-01-14,15587920000
2019-01-15,15667010000
2019-01-16,15523210000
2019-01-17,15918660000
2019-01-18,15789240000
2019-01-22,16048080000
2019-01-23,16249400000
2019-01-24,16378820000
2019-01-25,16723940000
2019-01-28,17083440000
2019-01-29,17061870000
2019-01-30,17486080000
2019-01-31,17694590000
2019-02-01,18032550000
2019-02-04,18462750000
2019-02-05,18548790000
2019-02-06,18505770000
2019-02-07,18319350000
2019-02-08,18699360000
2019-02-11,18892950000
2019-02-12,19466550000
2019-02-13,19595610000
2019-02-14,19753350000
2019-02-15,19975620000
2019-02-19,19989960000
2019-02-20,20176380000
2019-02-21,20176380000
2019-02-22,20405820000
2019-02-25,20570730000
2019-02-26,20606580000
2019-02-27,20434500000
2019-02-28,20276760000
2019-03-01,20577900000
2019-03-04,20097510000
2019-03-05,20018640000
2019-03-06,19516740000
2019-03-07,19294470000
2019-03-08,19014840000
2019-03-11,19667310000
2019-03-12,19868070000
2019-03-13,19961280000
2019-03-14,20771490000
2019-03-15,21875670000
2019-03-18,21968880000
2019-03-19,21954540000
2019-03-20,21660570000
2019-03-21,22047750000
2019-03-22,21631890000
2019-03-25,20807340000
2019-03-26,21388110000
2019-03-27,20900550000
2019-03-28,20671110000
2019-03-29,21316410000
2019-04-01,21947370000
2019-04-02,22255680000
2019-04-03,22370400000
2019-04-04,21918690000
2019-04-05,22592670000
2019-04-08,22700220000
2019-04-09,22420590000
2019-04-10,22987020000
2019-04-11,23194950000
2019-04-12,23065890000
2019-04-15,23202120000
2019-04-16,22807770000
2019-04-17,22793430000
2019-04-18,22829280000
2019-04-22,22972680000
2019-04-23,23610810000
2019-04-24,24062520000
2019-04-25,24334980000
2019-04-26,23739870000
2019-04-29,23811570000
2019-04-30,24485550000
2019-05-01,24908580000
2019-05-02,24750840000
2019-05-03,25021199999
2019-05-06,24834260000
2019-05-07,24582610000
2019-05-08,24438810000
2019-05-09,24438810000
2019-05-10,24460380000
2019-05-13,23324360000
2019-05-14,24093690000
2019-05-15,24733600000
2019-05-16,25423840000
2019-05-17,25287230000
2019-05-20,24769550000
2019-05-21,25366320000
2019-05-22,25129050000
2019-05-23,23928320000
2019-05-24,24086500000
2019-05-28,24187160000
2019-05-29,24115260000
2019-05-30,24187160000
2019-05-31,21692230000
2019-06-03,20347700000
2019-06-04,21009180000
2019-06-05,19851590000
2019-06-06,19391430000
2019-06-07,19779690000
2019-06-10,19743740000
2019-06-11,19794070000
2019-06-12,19312340000
2019-06-13,19607130000
2019-06-14,18694000000
2019-06-17,18442350000
2019-06-18,18758710000
2019-06-19,19456140000
2019-06-20,19815640000
2019-06-21,19664650000
2019-06-24,19413000000
2019-06-25,19053500000
2019-06-26,19391430000
2019-06-27,19017550000
2019-06-28,18499870000
2019-07-01,18780280000
2019-07-02,19003170000
2019-07-03,19276390000
2019-07-05,19075070000
2019-07-08,18679620000
2019-07-09,18614910000
2019-07-10,19046310000
2019-07-11,19477710000
2019-07-12,19585560000
2019-07-15,20110430000
2019-07-16,20398030000
2019-07-17,20577780000
2019-07-18,20901330000
2019-07-19,20685630000
2019-07-22,20549020000
2019-07-23,20203900000
2019-07-24,20477120000
2019-07-25,20060100000
2019-07-26,20132000000
2019-07-29,20383650000
2019-07-30,20843810000
2019-07-31,21030750000
2019-08-01,21009180000
2019-08-02,19248750000
2019-08-05,18516500000
2019-08-06,18647000000
2019-08-07,18502000000
2019-08-08,18850000000
2019-08-09,18523750000
2019-08-12,18183000000
2019-08-13,18190250000
2019-08-14,17849500000
2019-08-15,17226000000
2019-08-16,17784250000
2019-08-19,18016250000
2019-08-20,17798750000
2019-08-21,17987250000
2019-08-22,18009000000
2019-08-23,16827250000
2019-08-26,17044750000
2019-08-27,16747500000
2019-08-28,16638750000
2019-08-29,17175250000
2019-08-30,18922500000
2019-09-03,18755750000
2019-09-04,18806500000
2019-09-05,19437250000
2019-09-06,19596750000
2019-09-09,19937500000
2019-09-10,20379750000
2019-09-11,20307250000
2019-09-12,19886750000
2019-09-13,19654750000
2019-09-16,19872250000
2019-09-17,19778000000
2019-09-18,19393750000
2019-09-19,19480750000
2019-09-20,19045750000
2019-09-23,19444500000
2019-09-24,19169000000
2019-09-25,19734500000
2019-09-26,19154500000
2019-09-27,18712250000
2019-09-30,19045750000
2019-10-01,18966000000
2019-10-02,18647000000
2019-10-03,18755750000
2019-10-04,18465750000
2019-10-07,18552750000
2019-10-08,17929250000
2019-10-09,18168500000
2019-10-10,17994500000
2019-10-11,18473000000
2019-10-14,18610750000
2019-10-15,18777500000
2019-10-16,18560000000
2019-10-17,18502000000
2019-10-18,18313500000
2019-10-21,18357000000
2019-10-22,18357000000
2019-10-23,18473000000
2019-10-24,18734000000
2019-10-25,18980500000
2019-10-28,18944250000
2019-10-29,19560500000
2019-10-30,19741750000
2019-10-31,19422750000
2019-11-01,19795980000
2019-11-04,20016180000
2019-11-05,20236380000
2019-11-06,20199680000
2019-11-07,20192340000
2019-11-08,20192340000
2019-11-11,20273080000
2019-11-12,20610720000
2019-11-13,20368500000
2019-11-14,20471260000
2019-11-15,20691460000
2019-11-18,20662100000
2019-11-19,20896980000
2019-11-20,20552000000
2019-11-21,19972140000
2019-11-22,19935440000
2019-11-25,20471260000
2019-11-26,19781300000
2019-11-27,18709660000
2019-11-29,18027040000
2019-12-02,17740780000
2019-12-03,17623340000
2019-12-04,17726100000
2019-12-05,17601320000
2019-12-06,17520580000
2019-12-09,17718760000
2019-12-10,17608660000
2019-12-11,17740780000
2019-12-12,18408720000
2019-12-13,18350000000
2019-12-16,18401380000
2019-12-17,18562860000
2019-12-18,18592220000
2019-12-19,18548180000
2019-12-20,18452760000
2019-12-23,18761040000
2019-12-24,18900500000
2019-12-26,19340900000
2019-12-27,18959220000
2019-12-30,18929860000
2019-12-31,19106020000
2020-01-02,19443660000
2020-01-03,18805080000
2020-01-06,18995920000
2020-01-07,18518820000
2020-01-08,18592220000
2020-01-09,18452760000
2020-01-10,18408720000
2020-01-13,18526160000
2020-01-14,18907840000
2020-01-15,18812420000
2020-01-16,19091340000
2020-01-17,18717000000
2020-01-21,18327980000
2020-01-22,18570200000
2020-01-23,18731680000
2020-01-24,18584880000
2020-01-27,17902260000
2020-01-28,18100440000
2020-01-29,18203200000
2020-01-30,18364680000
2020-01-31,18285400000
2020-02-03,18433400000
2020-02-04,19129000000
2020-02-05,19040200000
2020-02-06,19809800000
2020-02-07,19351000000
2020-02-10,19536000000
2020-02-11,19587800000
2020-02-12,19980000000
2020-02-13,19698800000
2020-02-14,19824600000
2020-02-18,19780200000
2020-02-19,19994800000
2020-02-20,19846800000
2020-02-21,19388000000
2020-02-24,18107800000
2020-02-25,17323400000
2020-02-26,17219800000
2020-02-27,16331800000
2020-02-28,15170000000
2020-03-02,15887800000
2020-03-03,15658400000
2020-03-04,16265200000
2020-03-05,15310600000
2020-03-06,14851800000
2020-03-09,13586400000
2020-03-10,14674199999
2020-03-11,13845400000
2020-03-12,12276600000
2020-03-13,13475400000
2020-03-16,12076800000
2020-03-17,11743800000
2020-03-18,10826200000
2020-03-19,11980600000
2020-03-20,12180400000
2020-03-23,12720600000
2020-03-24,14563200000
2020-03-25,14748200000
2020-03-26,15947000000
2020-03-27,14526200000
2020-03-30,14918400000
2020-03-31,14829600000
2020-04-01,13830600000
2020-04-02,13919400000
2020-04-03,13660400000
2020-04-06,14585400000
2020-04-07,14385600000
2020-04-08,15140400000
2020-04-09,15577000000
2020-04-13,15170000000
2020-04-14,15495600000
2020-04-15,15162599999
2020-04-16,15406800000
2020-04-17,15562200000
2020-04-20,15355000000
2020-04-21,14023000000
2020-04-22,14526200000
2020-04-23,14585400000
2020-04-24,14881400000
2020-04-27,15066400000
2020-04-28,15310600000
2020-04-29,16265200000
2020-04-30,16006200000
2020-05-01,15012660000
2020-05-04,15220140000
2020-05-05,15086760000
2020-05-06,15197910000
2020-05-07,15672149999
2020-05-08,16383510000
2020-05-11,16279770000
2020-05-12,15857399999
2020-05-13,15405390000
2020-05-14,15716610000
2020-05-15,15798120000
2020-05-18,16435380000
2020-05-19,16531710000
2020-05-20,16761420000
2020-05-21,16665089999
2020-05-22,16168620000
2020-05-26,16687320000
2020-05-27,17102279999
2020-05-28,17109690000
2020-05-29,18636150000
2020-06-01,18532410000
2020-06-02,18450900000
2020-06-03,18324930000
2020-06-04,18465720000
2020-06-05,18962190000
2020-06-08,19391970000
2020-06-09,18776940000
2020-06-10,18539820000
2020-06-11,17487600000
2020-06-12,17606160000
2020-06-15,17665440000
2020-06-16,17895150000
2020-06-17,17835870000
2020-06-18,17798820000
2020-06-19,18361980000
2020-06-22,18124860000
2020-06-23,18399030000
2020-06-24,19932900000
2020-06-25,19369740000
2020-06-26,19614270000
2020-06-29,20177430000
2020-06-30,20622030000
2020-07-01,20377500000
2020-07-02,20177430000
2020-07-06,20295990000
2020-07-07,19873620000
2020-07-08,20325630000
2020-07-09,20155200000
2020-07-10,20058870000
2020-07-13,19436430000
2020-07-14,19710600000
2020-07-15,19777290000
2020-07-16,22185540000
2020-07-17,22659780000
2020-07-20,23067330000
2020-07-21,22919130000
2020-07-22,23185890000
2020-07-23,23089560000
2020-07-24,22822800000
2020-07-27,22882080000
2020-07-28,22289280000
2020-07-29,22407840000
2020-07-30,22207770000
2020-07-31,22641570000
2020-08-03,22888080000
2020-08-04,22828320000
2020-08-05,22932900000
2020-08-06,23067360000
2020-08-07,23007600000
2020-08-10,23396040000
2020-08-11,23291460000
2020-08-12,23396040000
2020-08-13,22536990000
2020-08-14,22671450000
2020-08-17,22589280000
2020-08-18,22716270000
2020-08-19,22649040000
2020-08-20,22574340000
2020-08-21,22880610000
2020-08-24,23298930000
2020-08-25,22947840000
2020-08-26,23508090000
2020-08-27,23627610000
2020-08-28,25054380000
2020-08-31,25002090000
2020-09-01,25114139999
2020-09-02,25913430000
2020-09-03,24800400000
2020-09-04,24464250000
2020-09-08,24277500000
2020-09-09,25293420000
2020-09-10,24763050000
2020-09-11,25121610000
2020-09-14,25300889999
2020-09-15,25390530000
2020-09-16,25495110000
2020-09-17,25188840000
2020-09-18,25114139999
2020-09-21,24785460000
2020-09-22,25091730000
2020-09-23,24830280000
2020-09-24,24740639999
2020-09-25,24867630000
2020-09-28,25472700000
2020-09-29,25883550000
2020-09-30,25614630000
2020-10-01,25554870000
2020-10-02,25412940000
2020-10-05,25808849999
2020-10-06,25532460000
2020-10-07,25510050000
2020-10-08,25980660000
2020-10-09,25883550000
2020-10-12,26204760000
2020-10-13,26682840000
2020-10-14,26735130000
2020-10-15,26503559999
2020-10-16,26548380000
2020-10-19,26301870000
2020-10-20,26264519999
2020-10-21,26421389999
2020-10-22,26025480000
2020-10-23,25801380000
2020-10-26,24501599999
2020-10-27,24053400000
2020-10-28,22970250000
2020-10-29,22903020000
2020-10-30,22897500000
2020-11-02,22905000000
2020-11-03,23460000000
2020-11-04,23640000000
2020-11-05,24510000000
2020-11-06,24540000000
2020-11-09,24405000000
2020-11-10,24547499999
2020-11-11,24652499999
2020-11-12,24472500000
2020-11-13,25117500000
2020-11-16,25589999999
2020-11-17,25785000000
2020-11-18,25680000000
2020-11-19,26025000000
2020-11-20,25964999999
2020-11-23,26362500000
2020-11-24,26722500000
2020-11-25,26347500000
2020-11-27,26527499999
2020-11-30,26227500000
2020-12-01,26790000000
2020-12-02,26790000000
2020-12-03,26940000000
2020-12-04,27390000000
2020-12-07,26737500000
2020-12-08,27307499999
2020-12-09,27180000000
2020-12-10,27412499999
2020-12-11,27217500000
2020-12-14,27517500000
2020-12-15,28020000000
2020-12-16,28065000000
2020-12-17,28387500000
2020-12-18,27705000000
2020-12-21,27757500000
2020-12-22,27630000000
2020-12-23,27885000000
2020-12-24,27734999999
2020-12-28,27675000000
2020-12-29,27165000000
2020-12-30,27547499999
2020-12-31,27847500000
2021-01-04,27540000000
2021-01-05,27907500000
2021-01-06,28140000000
2021-01-07,29002500000
2021-01-08,29339999999
2021-01-11,28732500000
2021-01-12,29160000000
2021-01-13,27060000000
2021-01-14,27832500000
2021-01-15,28214999999
2021-01-19,28440000000
2021-01-20,29272500000
2021-01-21,29220000000
2021-01-22,28852500000
2021-01-25,28755000000
2021-01-26,28890000000
2021-01-27,28065000000
2021-01-28,28087500000
2021-01-29,27948440000
2021-02-01,28357220000
2021-02-02,29591130000
2021-02-03,29818230000
2021-02-04,30416260000
2021-02-05,30529810000
2021-02-08,30658500000
2021-02-09,30522240000
2021-02-10,30514670000
2021-02-11,30484390000
2021-02-12,30696349999
2021-02-16,30461680000
2021-02-17,30393550000
2021-02-18,30560089999
2021-02-19,30976440000
2021-02-22,30976440000
2021-02-23,30893170000
2021-02-24,31324660000
2021-02-25,30552520000
2021-02-26,31089990000
2021-03-01,31862130000
2021-03-02,31718300000
2021-03-03,32058950000
2021-03-04,31748580000
2021-03-05,32732680000
2021-03-08,32641839999
2021-03-09,33164170000
2021-03-10,33625940000
2021-03-11,33981730000
2021-03-12,34057430000
2021-03-15,34246680000
2021-03-16,34163410000
2021-03-17,35003680000
2021-03-18,33784910000
2021-03-19,33603230000
2021-03-22,33497250000
2021-03-23,32884080000
2021-03-24,33111180000
2021-03-25,32974920000
2021-03-26,34125560000
2021-03-29,33830330000
2021-03-30,33974160000
2021-03-31,33807619999
2021-04-01,34163410000
2021-04-05,34269390000
