,HPQ
2000-09-14,46460235301
2000-09-15,45109647065
2000-09-18,45148235301
2000-09-19,46325176477
2000-09-20,44916705889
2000-09-21,43778352947
2000-09-22,45418352948
2000-09-25,44376470595
2000-09-26,43025882359
2000-09-27,44993882359
2000-09-28,46807529418
2000-09-29,42485647065
2000-10-02,41096470594
2000-10-03,40942117653
2000-10-04,41887529418
2000-10-05,38646117652
2000-10-06,38183058829
2000-10-09,39823058829
2000-10-10,39167058829
2000-10-11,37469176476
2000-10-12,36658823535
2000-10-13,39688000006
2000-10-16,40594823535
2000-10-17,39630117653
2000-10-18,37469176476
2000-10-19,39823058829
2000-10-20,42041882359
2000-10-23,43083764712
2000-10-24,40517647065
2000-10-25,38028705888
2000-10-26,37662117652
2000-10-27,38183058829
2000-10-30,40131764712
2000-10-31,40742300000
2000-11-01,38928100000
2000-11-02,39487800000
2000-11-03,40530000000
2000-11-06,40259800000
2000-11-07,41572200000
2000-11-08,40028200000
2000-11-09,37615700000
2000-11-10,34276800000
2000-11-13,29895700000
2000-11-14,32424000000
2000-11-15,30937900000
2000-11-16,30725600000
2000-11-17,31208100000
2000-11-20,30281700000
2000-11-21,29741300000
2000-11-22,29509700000
2000-11-24,31169499999
2000-11-27,31266000000
2000-11-28,30397500000
2000-11-29,30281700000
2000-11-30,27714800000
2000-12-01,28197300000
2000-12-04,28911400000
2000-12-05,30667700000
2000-12-06,28042900000
2000-12-07,27386700000
2000-12-08,29297400000
2000-12-11,29027200000
2000-12-12,30880000000
2000-12-13,29085100000
2000-12-14,29355300000
2000-12-15,27714800000
2000-12-18,27270900000
2000-12-19,27444600000
2000-12-20,26672600000
2000-12-21,25746200000
2000-12-22,28197300000
2000-12-26,27811300000
2000-12-27,28428900000
2000-12-28,28428900000
2000-12-29,27656900000
2001-01-02,26498900000
2001-01-03,29837800000
2001-01-04,30339600000
2001-01-05,26827000000
2001-01-08,27483200000
2001-01-09,27656900000
2001-01-10,27811300000
2001-01-11,28371000000
2001-01-12,26884900000
2001-01-16,26614700000
2001-01-17,27714800000
2001-01-18,30397500000
2001-01-19,31323900000
2001-01-22,30223800000
2001-01-23,30069400000
2001-01-24,30667700000
2001-01-25,30165900000
2001-01-26,30165900000
2001-01-29,32887200000
2001-01-30,33118800000
2001-01-31,32372550000
2001-02-01,32372550000
2001-02-02,31405050000
2001-02-05,31018050000
2001-02-06,32333850000
2001-02-07,31617900000
2001-02-08,30611700000
2001-02-09,29431350000
2001-02-12,28638000000
2001-02-13,29160450000
2001-02-14,30205350000
2001-02-15,31927500000
2001-02-16,29102400000
2001-02-20,26799750000
2001-02-21,26354700000
2001-02-22,26161200000
2001-02-23,26354700000
2001-02-26,26354700000
2001-02-27,25116300000
2001-02-28,25348500000
2001-03-01,25483950000
2001-03-02,25929000000
2001-03-05,26683650000
2001-03-06,28251000000
2001-03-07,28425150000
2001-03-08,27825300000
2001-03-09,26567550000
2001-03-12,26257950000
2001-03-13,27767250000
2001-03-14,27186750000
2001-03-15,26973900000
2001-03-16,24690600000
2001-03-19,26799750000
2001-03-20,25754850000
2001-03-21,25677450000
2001-03-22,27128700000
2001-03-23,27380250000
2001-03-26,27805950000
2001-03-27,28367100000
2001-03-28,26644950000
2001-03-29,26915850000
2001-03-30,27477000000
2001-04-02,25406550000
2001-04-03,24071400000
2001-04-04,24110100000
2001-04-05,27031950000
2001-04-06,25251750000
2001-04-09,25038900000
2001-04-10,26199900000
2001-04-11,26567550000
2001-04-12,26896500000
2001-04-16,26354700000
2001-04-17,25696800000
2001-04-18,28018800000
2001-04-19,28560600000
2001-04-20,27844650000
2001-04-23,27206100000
2001-04-24,25851600000
2001-04-25,25658100000
2001-04-26,24555150000
2001-04-27,24942150000
2001-04-30,24993760000
2001-05-01,25013120000
2001-05-02,25187360000
2001-05-03,24238720000
2001-05-04,24374240000
2001-05-07,24316160000
2001-05-08,24025760000
2001-05-09,23735360000
2001-05-10,23367520000
2001-05-11,23019040000
2001-05-14,22767360000
2001-05-15,22322080000
2001-05-16,23503040000
2001-05-17,27162080000
2001-05-18,26232800000
2001-05-21,27026560000
2001-05-22,27065280000
2001-05-23,26000480000
2001-05-24,26445760000
2001-05-25,26407040000
2001-05-29,26561920000
2001-05-30,25342240000
2001-05-31,25768160000
2001-06-01,25710080000
2001-06-04,26019840000
2001-06-05,26407040000
2001-06-06,25226080000
2001-06-07,25710080000
2001-06-08,25090560000
2001-06-11,24432320000
2001-06-12,24877600000
2001-06-13,24529120000
2001-06-14,23561120000
2001-06-15,23735360000
2001-06-18,23483680000
2001-06-19,22844800000
2001-06-20,23677280000
2001-06-21,23425600000
2001-06-22,23173920000
2001-06-25,23599840000
2001-06-26,23309440000
2001-06-27,23251360000
2001-06-28,23948320000
2001-06-29,25129280000
2001-07-02,25226080000
2001-07-03,24955040000
2001-07-05,24277440000
2001-07-06,23232000000
2001-07-09,23464320000
2001-07-10,22360800000
2001-07-11,22670560000
2001-07-12,23754720000
2001-07-13,24587200000
2001-07-16,23212640000
2001-07-17,23212640000
2001-07-18,23057760000
2001-07-19,23309440000
2001-07-20,23212640000
2001-07-23,23019040000
2001-07-24,22631840000
2001-07-25,22573760000
2001-07-26,21102400000
2001-07-27,21412160000
2001-07-30,21276640000
2001-07-31,21683200000
2001-08-01,22418880000
2001-08-02,22767360000
2001-08-03,22225280000
2001-08-06,22167200000
2001-08-07,22070400000
2001-08-08,21760640000
2001-08-09,21702560000
2001-08-10,22070400000
2001-08-13,21857440000
2001-08-14,21857440000
2001-08-15,21179840000
2001-08-16,21218560000
2001-08-17,21141120000
2001-08-20,21741280000
2001-08-21,21702560000
2001-08-22,21528320000
2001-08-23,21102400000
2001-08-24,22089760000
2001-08-27,21992960000
2001-08-28,21625120000
2001-08-29,21044320000
2001-08-30,20560320000
2001-08-31,20405440000
2001-09-04,16591520000
2001-09-05,16010720000
2001-09-06,15565439999
2001-09-07,15894560000
2001-09-10,15720319999
2001-09-17,14074720000
2001-09-18,14229600000
2001-09-19,13532640000
2001-09-20,12738880000
2001-09-21,13145440000
2001-09-24,14152160000
2001-09-25,14074720000
2001-09-26,14055360000
2001-09-27,14229600000
2001-09-28,14113440000
2001-10-01,13706880000
2001-10-02,13397120000
2001-10-03,14055360000
2001-10-04,14055360000
2001-10-05,14461920000
2001-10-08,14907200000
2001-10-09,14694240000
2001-10-10,14945920000
2001-10-11,15913920000
2001-10-12,16126880000
2001-10-15,15933280000
2001-10-16,16262400000
2001-10-17,15836480000
2001-10-18,15468640000
2001-10-19,16068800000
2001-10-22,16088160000
2001-10-23,15759040000
2001-10-24,15836480000
2001-10-25,15952640000
2001-10-26,15681600000
2001-10-29,15294400000
2001-10-30,14907200000
2001-10-31,14791040000
2001-11-01,15197600000
2001-11-02,14868480000
2001-11-05,14849120000
2001-11-06,17404640000
2001-11-07,16862560000
2001-11-08,16126880000
2001-11-09,16688319999
2001-11-12,16959360000
2001-11-13,17772480000
2001-11-14,19398720000
2001-11-15,19418080000
2001-11-16,18895360000
2001-11-19,18934080000
2001-11-20,18411360000
2001-11-21,18043520000
2001-11-23,18411360000
2001-11-26,18566240000
2001-11-27,17849920000
2001-11-28,17733760000
2001-11-29,18817920000
2001-11-30,19321280000
2001-12-03,18895360000
2001-12-04,19785920000
2001-12-05,20502240000
2001-12-06,20502240000
2001-12-07,20676480000
2001-12-10,20211840000
2001-12-11,19321280000
2001-12-12,19166400000
2001-12-13,18527520000
2001-12-14,18450080000
2001-12-17,18256480000
2001-12-18,18024160000
2001-12-19,18198400000
2001-12-20,18198400000
2001-12-21,18450080000
2001-12-24,18256480000
2001-12-26,18372640000
2001-12-27,18275840000
2001-12-28,18295200000
2001-12-31,18062880000
2002-01-02,19030880000
2002-01-03,20173120000
2002-01-04,20347360000
2002-01-07,20231200000
2002-01-08,20018240000
2002-01-09,20618400000
2002-01-10,20502240000
2002-01-11,20115040000
2002-01-14,19785920000
2002-01-15,20289280000
2002-01-16,19708480000
2002-01-17,20676480000
2002-01-18,19882720000
2002-01-22,19166400000
2002-01-23,19476160000
2002-01-24,19882720000
2002-01-25,19747200000
2002-01-28,19398720000
2002-01-29,18411360000
2002-01-30,19301920000
2002-01-31,19462153841
2002-02-01,19365230764
2002-02-04,19403999995
2002-02-05,18822461533
2002-02-06,18357230764
2002-02-07,18299076918
2002-02-08,17950153841
2002-02-11,18357230764
2002-02-12,18279692303
2002-02-13,18473538457
2002-02-14,18376615380
2002-02-15,17911384611
2002-02-19,17387999995
2002-02-20,17446153842
2002-02-21,17116615380
2002-02-22,16980923072
2002-02-25,17581846149
2002-02-26,17601230765
2002-02-27,17620615380
2002-02-28,17698153841
2002-03-01,17795076918
2002-03-04,18085846149
2002-03-05,18124615380
2002-03-06,17756307688
2002-03-07,17601230765
2002-03-08,18124615380
2002-03-11,18473538457
2002-03-12,18085846149
2002-03-13,17698153841
2002-03-14,17077846149
2002-03-15,16767692303
2002-03-18,16942153842
2002-03-19,16554461534
2002-03-20,16011692303
2002-03-21,16283076919
2002-03-22,15972923073
2002-03-25,15953538457
2002-03-26,15914769226
2002-03-27,15643384611
2002-03-28,15779076919
2002-04-01,15759692303
2002-04-02,15352615380
2002-04-03,15294461534
2002-04-04,15178153842
2002-04-05,14945538457
2002-04-08,15061846150
2002-04-09,15313846150
2002-04-10,15585230765
2002-04-11,15759692303
2002-04-12,15662769227
2002-04-15,15740307688
2002-04-16,16360615380
2002-04-17,16418769226
2002-04-18,16011692303
2002-04-19,16457538457
2002-04-22,16069846150
2002-04-23,15875999996
2002-04-24,15139384611
2002-04-25,15294461534
2002-04-26,14926153842
2002-04-29,14926153842
2002-04-30,23500059701
2002-05-01,23166940298
2002-05-02,23500059701
2002-05-03,23984597015
2002-05-06,25044522388
2002-05-07,25317074627
2002-05-08,27497492537
2002-05-09,27497492537
2002-05-10,26467850746
2002-05-13,27467208955
2002-05-14,28194014925
2002-05-15,26619268657
2002-05-16,26952388060
2002-05-17,27043238806
2002-05-20,26800970149
2002-05-21,26134731343
2002-05-22,26467850746
2002-05-23,26528417910
2002-05-24,25710761194
2002-05-28,25710761194
2002-05-29,25529059701
2002-05-30,26407283582
2002-05-31,26255865672
2002-06-03,25922746269
2002-06-04,26074164179
2002-06-05,25831895522
2002-06-06,25226223880
2002-06-07,25710761194
2002-06-10,25135373134
2002-06-11,25226223880
2002-06-12,24681119403
2002-06-13,24075447761
2002-06-14,23863462686
2002-06-17,24378283582
2002-06-18,24559985074
2002-06-19,23318358209
2002-06-20,22894388060
2002-06-21,22621835821
2002-06-24,21864746268
2002-06-25,20623119403
2002-06-26,20380850746
2002-06-27,20865388060
2002-06-28,21016805970
2002-07-01,20774537313
2002-07-02,20108298507
2002-07-03,20925955224
2002-07-05,22409850746
2002-07-08,22016164179
2002-07-09,21743611940
2002-07-10,20956238806
2002-07-11,20925955224
2002-07-12,20986522388
2002-07-15,20623119403
2002-07-16,19593477612
2002-07-17,18654686567
2002-07-18,18351850746
2002-07-19,17594761194
2002-07-22,16504552239
2002-07-23,15838313433
2002-07-24,16504552239
2002-07-25,16232000000
2002-07-26,16020014925
2002-07-29,17837029851
2002-07-30,19048373134
2002-07-31,19286750002
2002-08-01,18685916668
2002-08-02,17454208335
2002-08-05,16492875001
2002-08-06,17243916668
2002-08-07,17634458335
2002-08-08,18475625002
2002-08-09,18295375002
2002-08-12,18145166668
2002-08-13,18025000002
2002-08-14,19947666668
2002-08-15,20458375002
2002-08-16,20548500002
2002-08-19,20458375002
2002-08-20,19797458335
2002-08-21,20037791668
2002-08-22,20878958335
2002-08-23,20037791668
2002-08-26,20248083335
2002-08-27,19376875002
2002-08-28,19467000002
2002-08-29,18866166668
2002-08-30,18325416668
2002-09-03,17123750001
2002-09-04,17844750001
2002-09-05,17514291668
2002-09-06,18415541668
2002-09-09,18415541668
2002-09-10,19316791668
2002-09-11,19587166668
2002-09-12,18535708335
2002-09-13,18415541668
2002-09-16,18625833335
2002-09-17,18205250002
2002-09-18,18265333335
2002-09-19,17514291668
2002-09-20,17634458335
2002-09-23,17574375001
2002-09-24,16763250001
2002-09-25,17514291668
2002-09-26,16462833335
2002-09-27,16402750001
2002-09-30,15922083335
2002-10-01,16943500001
2002-10-02,16222500001
2002-10-03,16312625001
2002-10-04,15621666668
2002-10-07,15741833335
2002-10-08,15741833335
2002-10-09,15231125001
2002-10-10,16102333335
2002-10-11,16402750001
2002-10-14,16673125001
2002-10-15,18415541668
2002-10-16,17634458335
2002-10-17,17724583335
2002-10-18,17844750001
2002-10-21,19076458335
2002-10-22,18926250002
2002-10-23,19617208335
2002-10-24,18836125002
2002-10-25,19947666668
2002-10-28,20818875002
2002-10-29,20458375002
2002-10-30,21359625002
2002-10-31,21539875002
2002-11-01,22230833335
2002-11-04,24153500002
2002-11-05,23372416669
2002-11-06,23883125002
2002-11-07,22801625002
2002-11-08,22741541669
2002-11-11,20248083335
2002-11-12,21149333335
2002-11-13,21960458335
2002-11-14,23041958335
2002-11-15,23041958335
2002-11-18,22981875002
2002-11-19,22561291669
2002-11-20,22981875002
2002-11-21,25895916669
2002-11-22,26106208336
2002-11-25,26316500002
2002-11-26,25565458336
2002-11-27,26707041669
2002-11-29,26556833336
2002-12-02,27037500003
2002-12-03,26226375002
2002-12-04,25054750002
2002-12-05,24904541669
2002-12-06,25685625002
2002-12-09,24604125002
2002-12-10,25475333336
2002-12-11,24874500002
2002-12-12,25595500002
2002-12-13,25355166669
2002-12-16,25835833336
2002-12-17,25895916669
2002-12-18,25715666669
2002-12-19,25835833336
2002-12-20,25805791669
2002-12-23,25475333336
2002-12-24,25114833336
2002-12-26,24934583336
2002-12-27,24453916669
2002-12-30,23793000002
2002-12-31,23672833335
2003-01-02,24814416669
2003-01-03,25325125002
2003-01-06,26797166669
2003-01-07,27217750003
2003-01-08,26586875002
2003-01-09,27938750003
2003-01-10,28449458336
2003-01-13,27758500003
2003-01-14,28088958336
2003-01-15,27608291669
2003-01-16,27277833336
2003-01-17,26226375002
2003-01-21,25805791669
2003-01-22,25835833336
2003-01-23,26737083336
2003-01-24,25565458336
2003-01-27,25054750002
2003-01-28,25625541669
2003-01-29,26316500002
2003-01-30,24814416669
2003-01-31,24071300000
2003-02-03,24193180000
2003-02-04,24223650000
2003-02-05,23675190000
2003-02-06,23553310000
2003-02-07,22791560000
2003-02-10,23004850000
2003-02-11,23309550000
2003-02-12,23004850000
2003-02-13,23461900000
2003-02-14,24619760000
2003-02-18,25503389999
2003-02-19,24650230000
2003-02-20,24711170000
2003-02-21,25137750000
2003-02-24,24558820000
2003-02-25,25137750000
2003-02-26,21268060000
2003-02-27,21511820000
2003-02-28,21938400000
2003-03-03,21938400000
2003-03-04,21511820000
2003-03-05,21511820000
2003-03-06,21511820000
2003-03-07,21846990000
2003-03-10,21420410000
2003-03-11,21329000000
2003-03-12,21542290000
2003-03-13,20750070000
2003-03-14,21664170000
2003-03-17,22700150000
2003-03-18,23157200000
2003-03-19,23461900000
2003-03-20,23766600000
2003-03-21,24223650000
2003-03-24,22882970000
2003-03-25,22852500000
2003-03-26,22943910000
2003-03-27,22730620000
2003-03-28,22486860000
2003-03-31,21511820000
2003-04-01,21603230000
2003-04-02,22121220000
2003-04-03,22639210000
2003-04-04,22547800000
2003-04-07,22425920000
2003-04-08,21786050000
2003-04-09,21237590000
2003-04-10,21542290000
2003-04-11,21176650000
2003-04-14,21968870000
2003-04-15,21542290000
2003-04-16,21572760000
2003-04-17,21176650000
2003-04-21,21298530000
2003-04-22,21907930000
2003-04-23,22243100000
2003-04-24,21846990000
2003-04-25,21938400000
2003-04-28,22273570000
2003-04-29,22822030000
2003-04-30,22555200000
2003-05-01,22829520000
2003-05-02,23042880000
2003-05-05,23256240000
2003-05-06,23987760000
2003-05-07,23835360000
2003-05-08,23652480000
2003-05-09,23987760000
2003-05-12,24079200000
2003-05-13,23926800000
2003-05-14,24109680000
2003-05-15,24384000000
2003-05-16,24841200000
2003-05-19,23347680000
2003-05-20,23591520000
2003-05-21,24810720000
2003-05-22,25542240000
2003-05-23,25572720000
2003-05-27,25847040000
2003-05-28,26822400000
2003-05-29,26365200000
2003-05-30,26974800000
2003-06-02,27736800000
2003-06-03,27767280000
2003-06-04,29108400000
2003-06-05,30297120000
2003-06-06,30480000000
2003-06-09,29778960000
2003-06-10,29931360000
2003-06-11,29321759999
2003-06-12,29382720000
2003-06-13,29047439999
2003-06-16,29596080000
2003-06-17,29931360000
2003-06-18,30388560000
2003-06-19,29900880000
2003-06-20,30022800000
2003-06-23,29565599999
2003-06-24,29199840000
2003-06-25,28773120000
2003-06-26,29474160000
2003-06-27,28895040000
2003-06-30,29474160000
2003-07-01,29321759999
2003-07-02,29839919999
2003-07-03,29474160000
2003-07-07,30510480000
2003-07-08,30601919999
2003-07-09,31729680000
2003-07-10,30510480000
2003-07-11,31638240000
2003-07-14,32552640000
2003-07-15,31699200000
2003-07-16,31424880000
2003-07-17,30175200000
2003-07-18,31211520000
2003-07-21,30205680000
2003-07-22,30388560000
2003-07-23,30632400000
2003-07-24,29199840000
2003-07-25,29626560000
2003-07-28,29596080000
2003-07-29,29443680000
2003-07-30,29077919999
2003-07-31,29252840000
2003-08-01,28978880000
2003-08-04,28735360000
2003-08-05,27609080000
2003-08-06,27487319999
2003-08-07,26695880000
2003-08-08,27761279999
2003-08-11,27578640000
2003-08-12,28948440000
2003-08-13,29100640000
2003-08-14,29222400000
2003-08-15,29587680000
2003-08-18,30592200000
2003-08-19,30561759999
2003-08-20,27365560000
2003-08-21,27426440000
2003-08-22,26878520000
2003-08-25,26817640000
2003-08-26,27061160000
2003-08-27,26969840000
2003-08-28,27335120000
2003-08-29,27548200000
2003-09-02,27913480000
2003-09-03,28522279999
2003-09-04,28704920000
2003-09-05,27943920000
2003-09-08,28339640000
2003-09-09,28278759999
2003-09-10,27730840000
2003-09-11,27883040000
2003-09-12,27761279999
2003-09-15,27396000000
2003-09-16,28187440000
2003-09-17,28126560000
2003-09-18,28978880000
2003-09-19,29222400000
2003-09-22,28065680000
2003-09-23,28187440000
2003-09-24,27578640000
2003-09-25,26604560000
2003-09-26,26817640000
2003-09-29,27122040000
2003-09-30,26756759999
2003-10-01,27091600000
2003-10-02,26969840000
2003-10-03,28065680000
2003-10-06,28309200000
2003-10-07,28126560000
2003-10-08,27974360000
2003-10-09,29070200000
2003-10-10,29100640000
2003-10-13,29344160000
2003-10-14,29557240000
2003-10-15,30287799999
2003-10-16,29405040000
2003-10-17,28948440000
2003-10-20,29679000000
2003-10-21,30013840000
2003-10-22,29405040000
2003-10-23,29009319999
2003-10-24,28278759999
2003-10-27,29009319999
2003-10-28,29922520000
2003-10-29,30166040000
2003-10-30,30500880000
2003-10-31,30896500000
2003-11-03,31445500000
2003-11-04,31811500000
2003-11-05,31994500000
2003-11-06,32513000000
2003-11-07,31842000000
2003-11-10,30469500000
2003-11-11,30683000000
2003-11-12,30835500000
2003-11-13,30957500000
2003-11-14,30591499999
2003-11-17,30469500000
2003-11-18,29981500000
2003-11-19,30744000000
2003-11-20,29890000000
2003-11-21,29463000000
2003-11-24,30317000000
2003-11-25,29981500000
2003-11-26,30256000000
2003-11-28,30103499999
2003-12-01,30256000000
2003-12-02,31079500000
2003-12-03,31018500000
2003-12-04,31293000000
2003-12-05,30621999999
2003-12-08,31140500000
2003-12-09,30408500000
2003-12-10,30469500000
2003-12-11,30744000000
2003-12-12,30896500000
2003-12-15,30469500000
2003-12-16,30621999999
2003-12-17,30408500000
2003-12-18,30774500000
2003-12-19,30713500000
2003-12-22,30744000000
2003-12-23,31384499999
2003-12-24,31445500000
2003-12-26,31293000000
2003-12-29,31750500000
2003-12-30,31750500000
2003-12-31,31811500000
2004-01-02,32055500000
2004-01-05,32787500000
2004-01-06,32909499999
2004-01-07,32360500000
2004-01-08,34190500000
2004-01-09,33458500000
2004-01-12,34159999999
2004-01-13,33580500000
2004-01-14,34190500000
2004-01-15,35044500000
2004-01-16,35349500000
2004-01-20,34709000000
2004-01-21,34953000000
2004-01-22,35288500000
2004-01-23,35044500000
2004-01-26,36173000000
2004-01-27,35471500000
2004-01-28,33611000000
2004-01-29,33611000000
2004-01-30,32940000000
2004-02-02,33290420000
2004-02-03,33046980000
2004-02-04,32042789999
2004-02-05,32194940000
2004-02-06,32864400000
2004-02-09,32833969999
2004-02-10,33320849999
2004-02-11,32925260000
2004-02-12,31647200000
2004-02-13,31799349999
2004-02-17,32316659999
2004-02-18,32468810000
2004-02-19,32955690000
2004-02-20,31951500000
2004-02-23,31647200000
2004-02-24,31099460000
2004-02-25,31434190000
2004-02-26,32073219999
2004-02-27,31373330000
2004-03-01,31768920000
2004-03-02,31555909999
2004-03-03,31738490000
2004-03-04,31525480000
2004-03-05,31403760000
2004-03-08,31312469999
2004-03-09,30856020000
2004-03-10,30825590000
2004-03-11,30430000000
2004-03-12,30886450000
2004-03-15,30003980000
2004-03-16,30095270000
2004-03-17,30551719999
2004-03-18,30490860000
2004-03-19,29882260000
2004-03-22,29547530000
2004-03-23,29547530000
2004-03-24,29882260000
2004-03-25,30947310000
2004-03-26,30886450000
2004-03-29,32012360000
2004-03-30,31951500000
2004-03-31,31555909999
2004-04-01,31677630000
2004-04-02,31890640000
2004-04-05,32651390000
2004-04-06,32255800000
2004-04-07,31951500000
2004-04-08,31586340000
2004-04-12,31251610000
2004-04-13,30734300000
2004-04-14,30369140000
2004-04-15,30247420000
2004-04-16,30399570000
2004-04-19,30003980000
2004-04-20,29243230000
2004-04-21,29456240000
2004-04-22,30125700000
2004-04-23,29943120000
2004-04-26,29943120000
2004-04-27,29364950000
2004-04-28,28604200000
2004-04-29,27965170000
2004-04-30,27150780000
2004-05-03,27090040000
2004-05-04,27424109999
2004-05-05,27575960000
2004-05-06,27272260000
2004-05-07,27575960000
2004-05-10,27454479999
2004-05-11,27727810000
2004-05-12,27727810000
2004-05-13,27606330000
2004-05-14,27029300000
2004-05-17,26877450000
2004-05-18,27333000000
2004-05-19,28335210000
2004-05-20,28578170000
2004-05-21,28699649999
2004-05-24,28608540000
2004-05-25,28972979999
2004-05-26,29307050000
2004-05-27,29155200000
2004-05-28,29276680000
2004-06-01,29185570000
2004-06-02,29367790000
2004-06-03,29124830000
2004-06-04,29307050000
2004-06-07,29853710000
2004-06-08,30339630000
2004-06-09,30218149999
2004-06-10,29975189999
2004-06-14,29762600000
2004-06-15,29914450000
2004-06-16,29641120000
2004-06-17,29064090000
2004-06-18,28851500000
2004-06-21,28669280000
2004-06-22,28790760000
2004-06-23,29124830000
2004-06-24,28972979999
2004-06-25,28699649999
2004-06-28,28942609999
2004-06-29,29094460000
2004-06-30,29094460000
2004-07-01,28365580000
2004-07-02,28152990000
2004-07-06,27636700000
2004-07-07,27940399999
2004-07-08,27575960000
2004-07-09,27758180000
2004-07-12,27727810000
2004-07-13,27910030000
2004-07-14,27424109999
2004-07-15,27090040000
2004-07-16,27090040000
2004-07-19,27241890000
2004-07-20,27575960000
2004-07-21,27150780000
2004-07-22,27515220000
2004-07-23,26998930000
2004-07-26,27211520000
2004-07-27,27575960000
2004-07-28,27484850000
2004-07-29,27879660000
2004-07-30,27788550000
2004-08-02,26899000000
2004-08-03,26724520000
2004-08-04,26986240000
2004-08-05,27073480000
2004-08-06,26259240000
2004-08-09,26259240000
2004-08-10,26346480000
2004-08-11,25764880000
2004-08-12,22391600000
2004-08-13,21780920000
2004-08-16,22304360000
2004-08-17,22304360000
2004-08-18,23147680000
2004-08-19,23380319999
2004-08-20,23903760000
2004-08-23,23612959999
