,CCEP
2000-12-20,8316993468
2000-12-21,8263764710
2000-12-22,8343607847
2000-12-26,8263764710
2000-12-27,8401272335
2000-12-28,8374657956
2000-12-29,8427886715
2001-01-02,7682840000
2001-01-03,7707920000
2001-01-04,7628500000
2001-01-05,7578340000
2001-01-08,7524000000
2001-01-09,7628500000
2001-01-10,7603420000
2001-01-11,7235579999
2001-01-12,7369340000
2001-01-16,7185420000
2001-01-17,7210500000
2001-01-18,7080920000
2001-01-19,7210500000
2001-01-22,7498920000
2001-01-23,7862579999
2001-01-24,8151000000
2001-01-25,8125920000
2001-01-26,8151000000
2001-01-29,8196980000
2001-01-30,8347460000
2001-01-31,8447780000
2001-02-01,8627520000
2001-02-02,8594080000
2001-02-05,8886680000
2001-02-06,8786360000
2001-02-07,8920120000
2001-02-08,9141660000
2001-02-09,9032980000
2001-02-12,9112400000
2001-02-13,9020440000
2001-02-14,8936840000
2001-02-15,8740380000
2001-02-16,9187640000
2001-02-20,9150020000
2001-02-21,9542940000
2001-02-22,9593100000
2001-02-23,9091500000
2001-02-26,9434260000
2001-02-27,9425900000
2001-02-28,9488600000
2001-03-01,9881520000
2001-03-02,9668340000
2001-03-05,9522040000
2001-03-06,9421720000
2001-03-07,9505320000
2001-03-08,9789560000
2001-03-09,9781200000
2001-03-12,9559660000
2001-03-13,9400820000
2001-03-14,9145840000
2001-03-15,9304680000
2001-03-16,9170920000
2001-03-19,9183460000
2001-03-20,8953560000
2001-03-21,8790540000
2001-03-22,8807260000
2001-03-23,8899220000
2001-03-26,8903400000
2001-03-27,9003720000
2001-03-28,8828160000
2001-03-29,7565800000
2001-03-30,7432040000
2001-04-02,7449820000
2001-04-03,7081099999
2001-04-04,6955400000
2001-04-05,6812940000
2001-04-06,6787800000
2001-04-09,6791990000
2001-04-10,6913500000
2001-04-11,6854840000
2001-04-12,7060150000
2001-04-16,7500099999
2001-04-17,7487530000
2001-04-18,7613230000
2001-04-19,7500099999
2001-04-20,7516860000
2001-04-23,7625800000
2001-04-24,7659320000
2001-04-25,7701220000
2001-04-26,7546190000
2001-04-27,7805970000
2001-04-30,7596470000
2001-05-01,7780830000
2001-05-02,7554570000
2001-05-03,7378590000
2001-05-04,7479150000
2001-05-07,7542000000
2001-05-08,7420490000
2001-05-09,7290599999
2001-05-10,7190040000
2001-05-11,7282220000
2001-05-14,7378590000
2001-05-15,7378590000
2001-05-16,7600660000
2001-05-17,7491720000
2001-05-18,7525240000
2001-05-21,7345070000
2001-05-22,7190040000
2001-05-23,7110430000
2001-05-24,7160710000
2001-05-25,7110430000
2001-05-29,7076910000
2001-05-30,7014059999
2001-05-31,6988920000
2001-06-01,7131380000
2001-06-04,7076910000
2001-06-05,7060150000
2001-06-06,7123000000
2001-06-07,7148139999
2001-06-08,7164900000
2001-06-11,7102050000
2001-06-12,7047580000
2001-06-13,7039200000
2001-06-14,6867410000
2001-06-15,6796180000
2001-06-18,6670480000
2001-06-19,6704000000
2001-06-20,6704000000
2001-06-21,6791990000
2001-06-22,6724950000
2001-06-25,6829700000
2001-06-26,6724950000
2001-06-27,6796180000
2001-06-28,6955400000
2001-06-29,6850650000
2001-07-02,7319519999
2001-07-03,7407920000
2001-07-05,7337200000
2001-07-06,7359299999
2001-07-09,7456540000
2001-07-10,7452120000
2001-07-11,7889700000
2001-07-12,7832239999
2001-07-13,7845500000
2001-07-16,7836660000
2001-07-17,6652100000
2001-07-18,6744920000
2001-07-19,6660940000
2001-07-20,6784700000
2001-07-23,6466460000
2001-07-24,6431100000
2001-07-25,6572540000
2001-07-26,6599060000
2001-07-27,6404580000
2001-07-30,6364800000
2001-07-31,6462040000
2001-08-01,6227780000
2001-08-02,6444360000
2001-08-03,6364800000
2001-08-06,6369220000
2001-08-07,6510660000
2001-08-08,6630000000
2001-08-09,6630000000
2001-08-10,6630000000
2001-08-13,6625580000
2001-08-14,6621160000
2001-08-15,6687460000
2001-08-16,6758180000
2001-08-17,6780280000
2001-08-20,6740500000
2001-08-21,6594640000
2001-08-22,6594640000
2001-08-23,6568120000
2001-08-24,6806800000
2001-08-27,6767020000
2001-08-28,6740500000
2001-08-29,6621160000
2001-08-30,6652100000
2001-08-31,6705140000
2001-09-04,6828900000
2001-09-05,6855420000
2001-09-06,6762600000
2001-09-07,6656520000
2001-09-10,6873100000
2001-09-17,6652100000
2001-09-18,6643260000
2001-09-19,6696300000
2001-09-20,6453200000
2001-09-21,6453200000
2001-09-24,6718400000
2001-09-25,6643260000
2001-09-26,6457620000
2001-09-27,6616740000
2001-09-28,6780280000
2001-10-01,6637950000
2001-10-02,6705000000
2001-10-03,6682650000
2001-10-04,6637950000
2001-10-05,6865920000
2001-10-08,7111770000
2001-10-09,7268220000
2001-10-10,7295040000
2001-10-11,7236930000
2001-10-12,7129650000
2001-10-15,7084950000
2001-10-16,7523009999
2001-10-17,7724160000
2001-10-18,7978950000
2001-10-19,7849319999
2001-10-22,8037060000
2001-10-23,8001299999
2001-10-24,8206920000
2001-10-25,8493000000
2001-10-26,8484060000
2001-10-29,8403600000
2001-10-30,8314200000
2001-10-31,8202450000
2001-11-01,8493000000
2001-11-02,8479589999
2001-11-05,8515350000
2001-11-06,8488529999
2001-11-07,8542170000
2001-11-08,8662860000
2001-11-09,8564520000
2001-11-12,8555580000
2001-11-13,8546640000
2001-11-14,8528759999
2001-11-15,8399130000
2001-11-16,8381250000
2001-11-19,8403600000
2001-11-20,8059410000
2001-11-21,8014710000
2001-11-23,7996830000
2001-11-26,8001299999
2001-11-27,7777799999
2001-11-28,7599000000
2001-11-29,7634759999
2001-11-30,7800150000
2001-12-03,7607940000
2001-12-04,7987890000
2001-12-05,8716500000
2001-12-06,8493000000
2001-12-07,8707560000
2001-12-10,8618160000
2001-12-11,8609220000
2001-12-12,8622630000
2001-12-13,8555580000
2001-12-14,8493000000
2001-12-17,8542170000
2001-12-18,8555580000
2001-12-19,8577930000
2001-12-20,8582400000
2001-12-21,8613690000
2001-12-24,8573460000
2001-12-26,8591340000
2001-12-27,8600280000
2001-12-28,8537700000
2001-12-31,8466180000
2002-01-02,8662860000
2002-01-03,8712030000
2002-01-04,8837190000
2002-01-07,8667330000
2002-01-08,8622630000
2002-01-09,8582400000
2002-01-10,8537700000
2002-01-11,8568990000
2002-01-14,8729910000
2002-01-15,8917650000
2002-01-16,8886360000
2002-01-17,8953410000
2002-01-18,8948940000
2002-01-22,9141150000
2002-01-23,8180100000
2002-01-24,7523009999
2002-01-25,7442549999
2002-01-28,7509600000
2002-01-29,7210110000
2002-01-30,7219049999
2002-01-31,7263750000
2002-02-01,7227990000
2002-02-04,7308450000
2002-02-05,7384440000
2002-02-06,7563240000
2002-02-07,7464900000
2002-02-08,7353150000
2002-02-11,7500660000
2002-02-12,7482779999
2002-02-13,7420200000
2002-02-14,7531950000
2002-02-15,7603470000
2002-02-19,7666049999
2002-02-20,7795680000
2002-02-21,7701810000
2002-02-22,7934250000
2002-02-25,7961069999
2002-02-26,7813560000
2002-02-27,7840380000
2002-02-28,7791210000
2002-03-01,7777799999
2002-03-04,7674990000
2002-03-05,7603470000
2002-03-06,7634759999
2002-03-07,7652640000
2002-03-08,7764390000
2002-03-11,7755450000
2002-03-12,7710750000
2002-03-13,7666049999
2002-03-14,7965540000
2002-03-15,7992360000
2002-03-18,7934250000
2002-03-19,7835910000
2002-03-20,7800150000
2002-03-21,7970009999
2002-03-22,8269500000
2002-03-25,8180100000
2002-03-26,8224799999
2002-03-27,8318670000
2002-03-28,8394660000
2002-04-01,8382830000
2002-04-02,8378340000
2002-04-03,8373849999
2002-04-04,8531000000
2002-04-05,8553450000
2002-04-08,8522020000
2002-04-09,8396300000
2002-04-10,8575900000
2002-04-11,8468140000
2002-04-12,8432220000
2002-04-15,8427730000
2002-04-16,8683660000
2002-04-17,8719580000
2002-04-18,8706110000
2002-04-19,8957550000
2002-04-22,8971020000
2002-04-23,8845300000
2002-04-24,8935100000
2002-04-25,8751010000
2002-04-26,8719580000
2002-04-29,8719580000
2002-04-30,8809380000
2002-05-01,9042860000
2002-05-02,9285320000
2002-05-03,9204500000
2002-05-06,9285320000
2002-05-07,9217970000
2002-05-08,9271850000
2002-05-09,9262870000
2002-05-10,9200010000
2002-05-13,9402060000
2002-05-14,9420020000
2002-05-15,9460430000
2002-05-16,9752280000
2002-05-17,10071070000
2002-05-20,9976780000
2002-05-21,10039640000
2002-05-22,10178830000
2002-05-23,10214750000
2002-05-24,10124950000
2002-05-28,9869020000
2002-05-29,9613090000
2002-05-30,9707380000
2002-05-31,9765750000
2002-06-03,9752280000
2002-06-04,9384100000
2002-06-05,9509820000
2002-06-06,9366140000
2002-06-07,9473900000
2002-06-10,9518800000
2002-06-11,9406550000
2002-06-12,9913920000
2002-06-13,10268630000
2002-06-14,10304550000
2002-06-17,10488640000
2002-06-18,10318020000
2002-06-19,10421290000
2002-06-20,10731100000
2002-06-21,10695180000
2002-06-24,10618850000
2002-06-25,10291080000
2002-06-26,10304550000
2002-06-27,10147400000
2002-06-28,9913920000
2002-07-01,10089000000
2002-07-02,9747000000
2002-07-03,9553500000
2002-07-05,9594000000
2002-07-08,9787500000
2002-07-09,9337500000
2002-07-10,9292500000
2002-07-11,9180000000
2002-07-12,8779500000
2002-07-15,8910000000
2002-07-16,8626500000
2002-07-17,8491500000
2002-07-18,8262000000
2002-07-19,7785000000
2002-07-22,8100000000
2002-07-23,8014499999
2002-07-24,7906500000
2002-07-25,8095499999
2002-07-26,8149500000
2002-07-29,8608500000
2002-07-30,8415000000
2002-07-31,8379000000
2002-08-01,8576999999
2002-08-02,8406000000
2002-08-05,8504999999
2002-08-06,8469000000
2002-08-07,8734500000
2002-08-08,9162000000
2002-08-09,9112500000
2002-08-12,9081000000
2002-08-13,9049500000
2002-08-14,9432000000
2002-08-15,9450000000
2002-08-16,9616500000
2002-08-19,9675000000
2002-08-20,9571500000
2002-08-21,9567000000
2002-08-22,9562500000
2002-08-23,9441000000
2002-08-26,9522000000
2002-08-27,9477000000
2002-08-28,9121500000
2002-08-29,9076500000
2002-08-30,9094500000
2002-09-03,8779500000
2002-09-04,8910000000
2002-09-05,8932500000
2002-09-06,9126000000
2002-09-09,9436500000
2002-09-10,9387000000
2002-09-11,9319500000
2002-09-12,9162000000
2002-09-13,9495000000
2002-09-16,9801000000
2002-09-17,9567000000
2002-09-18,9639000000
2002-09-19,9328500000
2002-09-20,9634500000
2002-09-23,9468000000
2002-09-24,9207000000
2002-09-25,9540000000
2002-09-26,9643500000
2002-09-27,9558000000
2002-09-30,9558000000
2002-10-01,10044130000
2002-10-02,10156380000
2002-10-03,10178830000
2002-10-04,10192300000
2002-10-07,9967800000
2002-10-08,10246180000
2002-10-09,10322510000
2002-10-10,10291080000
2002-10-11,10062090000
2002-10-14,10057600000
2002-10-15,10448230000
2002-10-16,9698400000
2002-10-17,10461700000
2002-10-18,10717630000
2002-10-21,10955600000
2002-10-22,10358430000
2002-10-23,10677220000
2002-10-24,10564970000
2002-10-25,10856820000
2002-10-28,10461700000
2002-10-29,10529050000
2002-10-30,10722120000
2002-10-31,10704160000
2002-11-01,10982540000
2002-11-04,10762530000
2002-11-05,10641300000
2002-11-06,10349450000
2002-11-07,10457210000
2002-11-08,10376390000
2002-11-11,10178830000
2002-11-12,10075560000
2002-11-13,10358430000
2002-11-14,10434760000
2002-11-15,10542520000
2002-11-18,10304550000
2002-11-19,10169850000
2002-11-20,10003720000
2002-11-21,9617580000
2002-11-22,9451450000
2002-11-25,9249400000
2002-11-26,9047350000
2002-11-27,9563700000
2002-11-29,9559210000
2002-12-02,9698400000
2002-12-03,9747790000
2002-12-04,9653500000
2002-12-05,9792690000
2002-12-06,9810650000
2002-12-09,9711870000
2002-12-10,9895960000
2002-12-11,9702890000
2002-12-12,9729830000
2002-12-13,9626560000
2002-12-16,9680440000
2002-12-17,9675950000
2002-12-18,9640030000
2002-12-19,9451450000
2002-12-20,9451450000
2002-12-23,9698400000
2002-12-24,9622070000
2002-12-26,9675950000
2002-12-27,9635540000
2002-12-30,9752280000
2002-12-31,9752280000
2003-01-02,10061520000
2003-01-03,9993720000
2003-01-06,10106720000
2003-01-07,10016320000
2003-01-08,10079600000
2003-01-09,10337240000
2003-01-10,10242320000
2003-01-13,10287520000
2003-01-14,10382440000
2003-01-15,10165480000
2003-01-16,10396000000
2003-01-17,10405040000
2003-01-21,10278480000
2003-01-22,10264920000
2003-01-23,10319160000
2003-01-24,10011800000
2003-01-27,9844560000
2003-01-28,9835520000
2003-01-29,9957560000
2003-01-30,9799360000
2003-01-31,9957560000
2003-02-03,9898800000
2003-02-04,9853600000
2003-02-05,9767720000
2003-02-06,9568840000
2003-02-07,9469400000
2003-02-10,9469400000
2003-02-11,9406120000
2003-02-12,9266000000
2003-02-13,9306680000
2003-02-14,9482960000
2003-02-18,9482960000
2003-02-19,9514600000
2003-02-20,9469400000
2003-02-21,9492000000
2003-02-24,9270520000
2003-02-25,9256960000
2003-02-26,9021920000
2003-02-27,9216280000
2003-02-28,9121360000
2003-03-03,8913440000
2003-03-04,8637720000
2003-03-05,8249000000
2003-03-06,8181200000
2003-03-07,8294200000
2003-03-10,8276119999
2003-03-11,8348439999
2003-03-12,8429799999
2003-03-13,8691960000
2003-03-14,8606080000
2003-03-17,8804960000
2003-03-18,8759760000
2003-03-19,8985760000
2003-03-20,8854680000
2003-03-21,9153000000
2003-03-24,8863720000
2003-03-25,8936040000
2003-03-26,8768800000
2003-03-27,8660320000
2003-03-28,8574439999
2003-03-31,8447880000
2003-04-01,8442491229
2003-04-02,9046824563
2003-04-03,8983210528
2003-04-04,9028649124
2003-04-07,8919596492
2003-04-08,9024105264
2003-04-09,8974122808
2003-04-10,8946859650
2003-04-11,8883245615
2003-04-14,9069543861
2003-04-15,9246754387
2003-04-16,9024105264
2003-04-17,9019561405
2003-04-21,8965035089
2003-04-22,9151333335
2003-04-23,8851438598
2003-04-24,8842350878
2003-04-25,8724210528
2003-04-28,8892333335
2003-04-29,8974122808
2003-04-30,8855982457
2003-05-01,8815087721
2003-05-02,8756017545
2003-05-05,8683315791
2003-05-06,8719666668
2003-05-07,8769649124
2003-05-08,8592438598
2003-05-09,8983210528
2003-05-12,8874157896
2003-05-13,8874157896
2003-05-14,8828719299
2003-05-15,8792368422
2003-05-16,8751473685
2003-05-19,8633333335
2003-05-20,8619701756
2003-05-21,8646964913
2003-05-22,8637877194
2003-05-23,8487929826
2003-05-27,8419771931
2003-05-28,8456122808
2003-05-29,8687859650
2003-05-30,8519736843
2003-06-02,8596982457
2003-06-03,8519736843
2003-06-04,8578807019
2003-06-05,8601526317
2003-06-06,8756017545
2003-06-09,8656052633
2003-06-10,8551543861
2003-06-11,8578807019
2003-06-12,9074087721
2003-06-13,9001385966
2003-06-16,9015017545
2003-06-17,8815087721
2003-06-18,8924140352
2003-06-19,8846894738
2003-06-20,8810543861
2003-06-23,8660596492
2003-06-24,8719666668
2003-06-25,8537912282
2003-06-26,8556087720
2003-06-27,8487929826
2003-06-30,8247105264
2003-07-01,8519736843
2003-07-02,8337982457
2003-07-03,8242561405
2003-07-07,8178947370
2003-07-08,8519736843
2003-07-09,8619701756
2003-07-10,8560631580
2003-07-11,8742385966
2003-07-14,8751473685
2003-07-15,8905964914
2003-07-16,8178947370
2003-07-17,7851789475
2003-07-18,7942666668
2003-07-21,7860877194
2003-07-22,7942666668
2003-07-23,7992649124
2003-07-24,7988105264
2003-07-25,8110789475
2003-07-28,8056263159
2003-07-29,7860877194
2003-07-30,7806350878
2003-07-31,7747280703
2003-08-01,7906315790
2003-08-04,7819982457
2003-08-05,7760912282
2003-08-06,7788175440
2003-08-07,8024456141
2003-08-08,7938122808
2003-08-11,7901771931
2003-08-12,7942666668
2003-08-13,7960842106
2003-08-14,8206210527
2003-08-15,8306175440
2003-08-18,8247105264
2003-08-19,8337982457
2003-08-20,8219842106
2003-08-21,8337982457
2003-08-22,8310719299
2003-08-25,8269824563
2003-08-26,8251649124
2003-08-27,8301631580
2003-08-28,8324350878
2003-08-29,8401596492
2003-09-02,8501561405
2003-09-03,8360701755
2003-09-04,8565175440
2003-09-05,8601526317
2003-09-08,8497017545
2003-09-09,8460666668
2003-09-10,8542456142
2003-09-11,8547000001
2003-09-12,8501561405
2003-09-15,8451578949
2003-09-16,8415228071
2003-09-17,8651508773
2003-09-18,8578807019
2003-09-19,8651508773
2003-09-22,8724210528
2003-09-23,8828719299
2003-09-24,8746929826
2003-09-25,8806000001
2003-09-26,8610614036
2003-09-29,8642421054
2003-09-30,8660596492
2003-10-01,8852320000
2003-10-02,8838715000
2003-10-03,8924880000
2003-10-06,8992905000
2003-10-07,8961160000
2003-10-08,8956625000
2003-10-09,8920345000
2003-10-10,8906740000
2003-10-13,8974765000
2003-10-14,8933950000
2003-10-15,9092675000
2003-10-16,9042790000
2003-10-17,9051860000
2003-10-20,9206050000
2003-10-21,9278610000
2003-10-22,9151630000
2003-10-23,9156165000
2003-10-24,9156165000
2003-10-27,9088140000
2003-10-28,9133490000
2003-10-29,9088140000
2003-10-30,9079070000
2003-10-31,9142560000
2003-11-03,9296750000
2003-11-04,9156165000
2003-11-05,9110815000
2003-11-06,9283145000
2003-11-07,9206050000
2003-11-10,9219655000
2003-11-11,9233260000
2003-11-12,9196980000
2003-11-13,9165235000
2003-11-14,9160700000
2003-11-17,9210585000
2003-11-18,9292215000
2003-11-19,9283145000
2003-11-20,9215120000
2003-11-21,9278610000
2003-11-24,9351170000
2003-11-25,9351170000
2003-11-26,9373845000
2003-11-28,9364775000
2003-12-01,9428265000
2003-12-02,9450940000
2003-12-03,9382915000
2003-12-04,9432800000
2003-12-05,9559780000
2003-12-08,9695830000
2003-12-09,9650480000
2003-12-10,9659550000
2003-12-11,9895370000
2003-12-12,9913510000
2003-12-15,10008745000
2003-12-16,9981535000
2003-12-17,9927115000
2003-12-18,9818275000
2003-12-19,9877230000
2003-12-22,9822810000
2003-12-23,9791065000
2003-12-24,9772925000
2003-12-26,9777460000
2003-12-29,9818275000
2003-12-30,9886300000
2003-12-31,9918045000
2004-01-02,9974070000
2004-01-05,10111770000
2004-01-06,10249470000
2004-01-07,10042920000
2004-01-08,9873090000
2004-01-09,9730800000
2004-01-12,9776700000
2004-01-13,9680310000
2004-01-14,9721620000
2004-01-15,9661950000
2004-01-16,9721620000
2004-01-20,9818010000
2004-01-21,10010790000
2004-01-22,9992430000
2004-01-23,9914400000
2004-01-26,10024560000
2004-01-27,10134720000
2004-01-28,9882270000
2004-01-29,10506510000
2004-01-30,10511100000
2004-02-02,10768140000
2004-02-03,10460610000
2004-02-04,10405530000
2004-02-05,10694700000
2004-02-06,10680930000
2004-02-09,10717650000
2004-02-10,10841580000
2004-02-11,10956330000
2004-02-12,10846170000
2004-02-13,10855350000
2004-02-17,10956330000
2004-02-18,11016000000
2004-02-19,10919610000
2004-02-20,10740600000
2004-02-23,10740600000
2004-02-24,10736010000
2004-02-25,10763550000
2004-02-26,10915020000
2004-02-27,10699290000
2004-03-01,11048130000
2004-03-02,10919610000
2004-03-03,11094030000
2004-03-04,11057310000
2004-03-05,11020590000
2004-03-08,11075670000
2004-03-09,11084850000
2004-03-10,10809450000
2004-03-11,10552410000
2004-03-12,10671750000
2004-03-15,10520280000
2004-03-16,10506510000
2004-03-17,10630440000
2004-03-18,10869120000
2004-03-19,10846170000
2004-03-22,10736010000
2004-03-23,10703880000
2004-03-24,10515690000
2004-03-25,10703880000
2004-03-26,10717650000
2004-03-29,10993050000
2004-03-30,10993050000
2004-03-31,11094030000
2004-04-01,11359950000
2004-04-02,11304150000
2004-04-05,11490150000
2004-04-06,11313450000
2004-04-07,11457600000
2004-04-08,11452950000
2004-04-12,11369250000
2004-04-13,11318100000
2004-04-14,11253000000
2004-04-15,11239050000
2004-04-16,11378550000
2004-04-19,11462250000
2004-04-20,11369250000
2004-04-21,11355300000
2004-04-22,11452950000
2004-04-23,11550600000
2004-04-26,11378550000
2004-04-27,11448300000
2004-04-28,11466900000
2004-04-29,12220200000
2004-04-30,12555000000
2004-05-03,12410850000
2004-05-04,12183000000
2004-05-05,12382950000
2004-05-06,12438750000
2004-05-07,12410850000
2004-05-10,12303900000
2004-05-11,12475950000
2004-05-12,12424800000
2004-05-13,12513150000
2004-05-14,12564300000
2004-05-17,12550350000
2004-05-18,12564300000
2004-05-19,12424800000
2004-05-20,12452700000
2004-05-21,12624750000
2004-05-24,12582900000
2004-05-25,12652650000
2004-05-26,12661950000
2004-05-27,12741000000
2004-05-28,12810750000
2004-06-01,12685200000
2004-06-02,13006050000
2004-06-03,12913050000
2004-06-04,12954900000
2004-06-07,13029300000
2004-06-08,13243200000
2004-06-09,13043250000
2004-06-10,13126950000
2004-06-14,13071150000
2004-06-15,13150200000
2004-06-16,13164150000
2004-06-17,13173450000
2004-06-18,13066500000
2004-06-21,13182750000
2004-06-22,13494300000
2004-06-23,13433850000
2004-06-24,13392000000
2004-06-25,13289700000
2004-06-28,13238550000
2004-06-29,13359450000
2004-06-30,13480350000
2004-07-01,13324290000
2004-07-02,13352430000
2004-07-06,13347740000
2004-07-07,13117930000
2004-07-08,13253940000
2004-07-09,13211730000
2004-07-12,13235180000
2004-07-13,13343050000
2004-07-14,13169520000
2004-07-15,12935020000
2004-07-16,12784940000
2004-07-19,12916260000
2004-07-20,12925640000
2004-07-21,12709900000
2004-07-22,12250280000
2004-07-23,11795350000
2004-07-26,11940740000
2004-07-27,11856320000
2004-07-28,11739070000
2004-07-29,9675470000
2004-07-30,9567600000
2004-08-02,9816170000
2004-08-03,9520700000
2004-08-04,9525390000
2004-08-05,9403450000
2004-08-06,9262750000
2004-08-09,9192400000
2004-08-10,9295580000
2004-08-11,9483180000
2004-08-12,9506630000
2004-08-13,9469110000
2004-08-16,9548840000
2004-08-17,9553530000
2004-08-18,9576980000
2004-08-19,9483180000
2004-08-20,9417520000
2004-08-23,9380000000
